gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,accuratePullBack,attFreekickTotal,shotFastbreak,postScoringAtt,attIboxPost,penaltyWon,ptsGainedLosingPos,totalFastbreak,freekickCross,freekickTotal,crosses18yardplus,contentiousDecision,attHdTarget,hitWoodwork,bigChanceMissed,attPenGoal,attAssistSetplay,attFastbreak,attCmissLeft,overrun,attOboxPost,attPostHigh,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,handBall,attSvLowCentre,attGoalHighRight,attOneOnOne,attMissHighRight,errorLeadToShot,fastestPlayer_topSpeed,attObxdLeft,totalDistance,attCmissHigh,ownGoals,attMissHigh,punches,attCmissHighRight,attFreekickMiss,attPostRight,attIboxOwnGoal,goalsConcededIbox,attSvHighRight,attPostLeft,sixYardBlock,attSvLowRight,errorLeadToGoal,attBxRight,attFreekickPost,attGoalHighCentre,subsGoals,attMissHighLeft,attCmissHighLeft,ptsDroppedWinningPos,accurateFreekickCross,attSetpiece,penaltyConceded,defenderGoals,foulThrowIn,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attHdGoal,goodHighClaim,attGoalHighLeft,goalFastbreak,secondYellow,attObxRight,attPenTarget,attHdPost,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attObxLeft,attFreekickTarget,winningGoal,keeperGoals,attObpGoal,attFreekickGoal
26,2444727,2025-02-23 16:30:00,"Etihad Stadium, Manchester",52803,Home,Manchester City,Liverpool,0,2,L,0,2,0,0,3.0,,50.0,,1.0,3.0,15.0,17.0,9.0,7.0,6.0,2.0,,2.0,156.0,,3.0,23.0,,3.0,13.0,1.0,5.0,200.0,123.0,41.0,16.0,5.0,4.0,2.0,,,1.0,22.0,2.0,3.0,17.0,6.0,9.0,29.0,381.0,,,0.0,252.0,3.0,2.0,,,,89.0,83.0,11.0,88.0,,1.0,16.0,19.0,10.0,2.0,123.0,,6.0,215.0,848.0,13.0,1.0,40.0,3.0,586.0,16.0,1.0,9.0,,,0.0,2.0,2.0,20.0,642.0,75.0,,438234,1.0,225.0,10.0,232.0,2.0,,3.0,7.0,1.0,35.0,3.0,2.0,1.0,,21.0,2.0,1.0,31.0,603.0,9.0,6.0,5.0,1.0,48.0,0.0,5.0,1.0,,1.0,0.0,2.0,,,66.3,20.0,3.0,3.0,1.0,8.0,35.0,7.0,,659.0,3.0,9.0,15.0,3.0,36.0,1.0,449.0,8.0,9.0,4.0,211.0,30.0,,,9.0,5.0,14.0,4.0,36.0,,7.0,7.0,,,,1.0,,,,,,,1.0,1.0,5.0,,,,,,,,,3.0,,,2.0,1.0,,1.0,1.0,,3.0,,,,2.0,33.21,,108621.87,,,,,,,,,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.4069,1.3782,0.768798,0.0415,0.6517,1.0,1.0,,,,
27,2444734,2025-02-26 19:30:00,"Tottenham Hotspur Stadium, London",60820,Away,Manchester City,Tottenham Hotspur,1,0,W,1,0,0,0,2.0,1.0,48.0,1.0,,2.0,23.0,17.0,4.0,8.0,8.0,6.0,1.0,2.0,122.0,,2.0,7.0,1.0,6.0,8.0,,5.0,110.0,108.0,44.0,12.0,3.0,8.0,3.0,,,,12.0,13.0,1.0,17.0,3.0,4.0,25.0,175.0,1.0,,0.0,111.0,15.0,1.0,,,1.0,56.0,50.0,7.0,70.0,1.0,1.0,9.0,13.0,4.0,,108.0,3.0,11.0,114.0,605.0,8.0,3.0,29.0,10.0,350.0,18.0,2.0,6.0,,,0.0,2.0,1.0,18.0,402.0,40.0,,223094,6.0,190.0,7.0,209.0,8.0,,1.0,6.0,4.0,57.0,1.0,2.0,12.0,1.0,13.0,,3.0,39.0,363.0,12.0,9.0,11.0,,39.0,0.0,8.0,6.0,1.0,1.0,0.0,2.0,,1.0,44.4,15.0,5.0,1.0,12.0,5.0,24.0,3.0,,416.0,10.0,14.0,16.0,2.0,19.0,2.0,219.0,4.0,3.0,5.0,94.0,12.0,1.0,2.0,6.0,20.0,9.0,5.0,19.0,2.0,6.0,3.0,,,1.0,1.0,,,,,,,2.0,1.0,,,,,3.0,,,,,1.0,,,,,,,,1.0,3.0,,,,,36.01,,112950.31,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0869,1.7001,0.820272,0.0483,2.1173,,,,,,
28,2444746,2025-03-08 12:30:00,"The City Ground, Nottingham",30252,Away,Manchester City,Nottingham Forest,0,1,L,0,0,0,0,,,47.0,,1.0,2.0,13.0,19.0,8.0,7.0,6.0,3.0,,3.0,157.0,,1.0,13.0,,1.0,10.0,2.0,3.0,170.0,111.0,47.0,14.0,1.0,10.0,,2.0,,2.0,17.0,12.0,3.0,19.0,1.0,13.0,14.0,309.0,,,0.0,205.0,7.0,1.0,,,1.0,79.0,95.0,5.0,103.0,,2.0,16.0,19.0,8.0,3.0,111.0,,6.0,179.0,787.0,10.0,1.0,24.0,5.0,529.0,23.0,4.0,6.0,,2.0,2.0,2.0,5.0,17.0,591.0,56.0,,578153,4.0,239.0,10.0,253.0,4.0,,1.0,4.0,6.0,41.0,1.0,1.0,8.0,,10.0,3.0,6.0,24.0,547.0,9.0,7.0,9.0,2.0,44.0,0.0,3.0,2.0,,,0.0,,,1.0,69.1,15.0,4.0,1.0,8.0,3.0,33.0,2.0,1.0,609.0,5.0,12.0,7.0,8.0,22.0,4.0,373.0,7.0,12.0,8.0,171.0,12.0,,2.0,6.0,18.0,10.0,4.0,18.0,2.0,4.0,2.0,,,,1.0,,1.0,,,,,,1.0,6.0,,,1.0,,,,,1.0,3.0,1.0,,1.0,,,,1.0,,2.0,,,,,36.27,,104088.63,,,2.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.5451,0.8592,0.646767,0.0432,0.8633,,1.0,,,,
29,2444757,2025-03-15 15:00:00,"Etihad Stadium, Manchester",52471,Home,Manchester City,Brighton and Hove Albion,2,2,D,2,1,0,0,1.0,1.0,45.0,1.0,,,18.0,27.0,3.0,4.0,8.0,2.0,1.0,,135.0,0.0,5.0,21.0,2.0,3.0,8.0,1.0,3.0,145.0,128.0,59.0,11.0,1.0,12.0,1.0,2.0,1.0,2.0,11.0,11.0,,27.0,4.0,11.0,31.0,208.0,,1.0,0.0,141.0,10.0,1.0,,1.0,,49.0,54.0,3.0,76.0,1.0,2.0,8.0,17.0,3.0,1.0,128.0,3.0,13.0,146.0,703.0,5.0,2.0,35.0,4.0,397.0,13.0,2.0,16.0,1.0,2.0,2.0,2.0,5.0,15.0,478.0,46.0,2.0,578153,4.0,215.0,3.0,242.0,6.0,1.0,4.0,12.0,10.0,54.0,2.0,1.0,6.0,1.0,8.0,3.0,8.0,44.0,418.0,9.0,6.0,17.0,2.0,52.0,0.0,5.0,2.0,1.0,2.0,0.0,3.0,,,60.4,14.0,5.0,,6.0,1.0,31.0,4.0,1.0,502.0,4.0,13.0,12.0,7.0,25.0,5.0,271.0,5.0,10.0,12.0,105.0,19.0,1.0,2.0,16.0,17.0,7.0,3.0,35.0,2.0,12.0,4.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,4.0,,,1.0,3.0,1.0,2.0,,,1.0,,,2.0,2.0,1.0,,2.0,,1.0,0.0,,,2.0,34.7,,107372.23,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,3.0,,0.0,0.0,1.0,,2.0,1.0,1.0,,0.0,,,,,,0.0,1.0,0.0,,,,,1.0,,1.2998,0.4396,0.908136,,1.7214,,,0.0,0.0,0.0,0.0
30,2444767,2025-04-02 19:45:00,"Etihad Stadium, Manchester",51983,Home,Manchester City,Leicester City,2,0,W,2,0,0,0,1.0,2.0,39.0,1.0,,4.0,15.0,16.0,6.0,9.0,11.0,,,1.0,142.0,,3.0,12.0,2.0,5.0,13.0,,5.0,248.0,102.0,39.0,18.0,4.0,8.0,2.0,1.0,1.0,1.0,12.0,6.0,1.0,16.0,3.0,11.0,18.0,512.0,1.0,,0.0,304.0,11.0,,1.0,1.0,,109.0,108.0,10.0,154.0,,2.0,9.0,8.0,7.0,2.0,102.0,1.0,1.0,240.0,940.0,11.0,1.0,46.0,3.0,725.0,9.0,3.0,6.0,1.0,1.0,1.0,,3.0,10.0,774.0,76.0,1.0,438234,9.0,226.0,3.0,234.0,6.0,2.0,5.0,4.0,3.0,41.0,1.0,2.0,2.0,2.0,22.0,1.0,3.0,22.0,735.0,8.0,4.0,5.0,1.0,60.0,0.0,,,2.0,1.0,0.0,3.0,1.0,,72.0,9.0,11.0,2.0,2.0,8.0,53.0,5.0,,784.0,3.0,10.0,7.0,5.0,34.0,3.0,562.0,8.0,10.0,10.0,271.0,16.0,1.0,,6.0,9.0,11.0,4.0,21.0,,4.0,5.0,,,3.0,2.0,1.0,,,,,1.0,3.0,2.0,3.0,,1.0,,,,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,35.47,,106694.04,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,2.0,4.0,,,,,,,,,,1.0,,,,,,,2.717,,2.12012,0.099,2.244,1.0,1.0,,,,
31,2444777,2025-04-06 16:30:00,"Old Trafford, Manchester",73738,Away,Manchester City,Manchester United,0,0,D,0,0,0,0,2.0,,43.0,,,1.0,15.0,21.0,5.0,5.0,4.0,2.0,,3.0,123.0,,,5.0,,3.0,5.0,1.0,5.0,189.0,123.0,45.0,9.0,,7.0,2.0,,,2.0,6.0,13.0,3.0,21.0,3.0,11.0,18.0,292.0,1.0,,0.0,149.0,9.0,1.0,,,1.0,65.0,64.0,3.0,76.0,1.0,1.0,3.0,10.0,5.0,2.0,123.0,,8.0,176.0,747.0,5.0,3.0,15.0,8.0,475.0,14.0,3.0,12.0,,,2.0,6.0,2.0,18.0,542.0,69.0,2.0,465351,1.0,205.0,2.0,226.0,8.0,,,4.0,9.0,54.0,3.0,2.0,6.0,,14.0,5.0,9.0,32.0,497.0,12.0,6.0,13.0,1.0,38.0,0.0,5.0,2.0,,,0.0,,,,58.7,16.0,8.0,2.0,6.0,1.0,31.0,3.0,1.0,564.0,8.0,18.0,10.0,3.0,21.0,1.0,344.0,4.0,11.0,7.0,109.0,15.0,,,12.0,21.0,6.0,3.0,19.0,,4.0,3.0,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,3.0,,,,1.0,34.72,,107847.98,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,0.2856,0.159,0.457287,0.0581,0.4874,,1.0,,,,
32,2444785,2025-04-12 12:30:00,"Etihad Stadium, Manchester",52489,Home,Manchester City,Crystal Palace,5,2,W,2,2,0,0,2.0,2.0,49.0,4.0,,3.0,13.0,11.0,5.0,8.0,16.0,1.0,2.0,2.0,166.0,,2.0,13.0,5.0,8.0,12.0,1.0,9.0,241.0,104.0,47.0,21.0,2.0,6.0,4.0,,3.0,1.0,12.0,7.0,,11.0,1.0,13.0,29.0,383.0,,2.0,0.0,204.0,10.0,,,3.0,2.0,81.0,86.0,8.0,108.0,,2.0,11.0,10.0,5.0,,104.0,9.0,6.0,226.0,892.0,9.0,4.0,32.0,7.0,652.0,14.0,1.0,6.0,3.0,,2.0,,4.0,11.0,718.0,68.0,2.0,472769,12.0,292.0,5.0,307.0,4.0,3.0,1.0,6.0,4.0,33.0,7.0,1.0,3.0,4.0,10.0,2.0,4.0,27.0,673.0,15.0,6.0,7.0,,40.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,,68.0,11.0,5.0,,3.0,5.0,32.0,1.0,,741.0,7.0,8.0,13.0,7.0,31.0,6.0,446.0,11.0,12.0,9.0,163.0,27.0,1.0,1.0,6.0,10.0,19.0,5.0,17.0,1.0,6.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,3.0,2.0,2.0,1.0,4.0,,,1.0,10.0,,,2.0,,3.0,1.0,,2.0,2.0,2.0,,,1.0,2.0,,2.0,,,33.59,,108474.01,,,2.0,1.0,,,,,2.0,,1.0,1.0,,,3.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,4.0106,2.1573,1.83733,0.0685,3.8112,,,,,,1.0
33,2444793,2025-04-19 15:00:00,"Goodison Park, Liverpool",39332,Away,Manchester City,Everton,2,0,W,0,0,0,0,3.0,1.0,52.0,1.0,,,30.0,22.0,4.0,5.0,8.0,2.0,1.0,2.0,149.0,,3.0,14.0,2.0,2.0,8.0,1.0,7.0,217.0,125.0,38.0,12.0,2.0,21.0,3.0,,2.0,,15.0,4.0,2.0,22.0,4.0,12.0,33.0,338.0,1.0,,0.0,188.0,6.0,1.0,1.0,,2.0,80.0,95.0,5.0,108.0,,2.0,11.0,14.0,4.0,,125.0,2.0,7.0,200.0,843.0,4.0,1.0,25.0,5.0,577.0,13.0,7.0,13.0,2.0,,0.0,4.0,3.0,16.0,655.0,73.0,,477424,6.0,261.0,6.0,279.0,1.0,1.0,6.0,7.0,6.0,57.0,1.0,,6.0,2.0,14.0,1.0,6.0,58.0,596.0,7.0,12.0,21.0,1.0,60.0,0.0,2.0,3.0,2.0,,0.0,2.0,2.0,1.0,67.4,15.0,2.0,,6.0,2.0,41.0,5.0,2.0,674.0,5.0,13.0,14.0,3.0,30.0,3.0,410.0,6.0,11.0,10.0,153.0,30.0,,1.0,13.0,7.0,10.0,3.0,20.0,1.0,7.0,5.0,,,,,,,,,,,1.0,,4.0,,,,2.0,,2.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,34.87,,110345.83,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,1.0,2.8881,0.8913,1.20044,,2.0413,,,,,,
34,2444805,2025-04-22 20:00:00,"Etihad Stadium, Manchester",52192,Home,Manchester City,Aston Villa,2,1,W,1,1,0,0,,2.0,44.0,,1.0,1.0,16.0,13.0,4.0,2.0,10.0,2.0,,2.0,117.0,,9.0,7.0,2.0,2.0,11.0,1.0,6.0,146.0,99.0,37.0,14.0,1.0,10.0,2.0,,1.0,2.0,24.0,7.0,2.0,13.0,10.0,7.0,33.0,275.0,,,0.0,163.0,9.0,1.0,,1.0,2.0,58.0,70.0,7.0,78.0,,1.0,16.0,18.0,4.0,1.0,99.0,2.0,6.0,147.0,661.0,5.0,2.0,25.0,4.0,423.0,12.0,,7.0,1.0,,3.0,1.0,4.0,15.0,471.0,61.0,1.0,465351,7.0,172.0,9.0,179.0,5.0,2.0,2.0,15.0,3.0,40.0,3.0,2.0,6.0,2.0,14.0,1.0,3.0,37.0,438.0,10.0,6.0,10.0,5.0,45.0,0.0,2.0,1.0,2.0,,0.0,4.0,1.0,,61.6,13.0,6.0,1.0,7.0,2.0,30.0,10.0,1.0,488.0,4.0,8.0,19.0,6.0,33.0,5.0,333.0,7.0,7.0,8.0,132.0,19.0,,2.0,7.0,12.0,8.0,2.0,14.0,2.0,15.0,10.0,,2.0,,,,,,,,,2.0,,5.0,,2.0,,1.0,,5.0,,1.0,,,,1.0,5.0,3.0,1.0,6.0,,1.0,,,,,35.2,,111952.11,,,2.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.6289,1.1697,1.4171,,1.332,,,,,,
35,2444818,2025-05-02 20:00:00,"Etihad Stadium, Manchester",53282,Home,Manchester City,Wolverhampton Wanderers,1,0,W,1,0,0,0,1.0,1.0,35.0,1.0,,,35.0,15.0,4.0,2.0,5.0,,,,170.0,,3.0,9.0,1.0,2.0,8.0,,2.0,200.0,124.0,43.0,9.0,2.0,6.0,1.0,1.0,1.0,3.0,16.0,10.0,,15.0,2.0,11.0,28.0,356.0,1.0,,0.0,221.0,7.0,,,,,93.0,100.0,4.0,126.0,,,14.0,22.0,4.0,2.0,124.0,1.0,4.0,188.0,866.0,7.0,3.0,40.0,6.0,602.0,10.0,1.0,5.0,1.0,1.0,0.0,2.0,4.0,21.0,663.0,74.0,,472769,3.0,269.0,9.0,283.0,6.0,1.0,2.0,8.0,7.0,49.0,2.0,,3.0,1.0,17.0,2.0,6.0,47.0,622.0,11.0,8.0,7.0,2.0,48.0,0.0,5.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,63.9,17.0,4.0,1.0,3.0,2.0,39.0,4.0,,684.0,6.0,16.0,22.0,5.0,32.0,3.0,417.0,6.0,11.0,5.0,187.0,18.0,1.0,3.0,5.0,19.0,6.0,5.0,21.0,3.0,8.0,4.0,,,,,1.0,,,,,2.0,1.0,,4.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,34.52,,111692.14,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,0.5776,,0.677558,,0.7123,,,,,,
36,2444827,2025-05-10 15:00:00,"St. Mary's Stadium, Southampton",30937,Away,Manchester City,Southampton,0,0,D,0,0,0,0,1.0,,37.0,,,6.0,15.0,8.0,12.0,5.0,14.0,,,2.0,147.0,,10.0,13.0,,5.0,17.0,1.0,5.0,190.0,123.0,51.0,26.0,7.0,17.0,3.0,,,3.0,44.0,6.0,2.0,8.0,13.0,9.0,28.0,504.0,1.0,,0.0,417.0,8.0,,,,3.0,103.0,114.0,11.0,94.0,,2.0,31.0,12.0,12.0,3.0,123.0,,2.0,210.0,818.0,15.0,3.0,76.0,3.0,563.0,10.0,,4.0,,,0.0,2.0,6.0,20.0,630.0,64.0,1.0,438234,10.0,79.0,17.0,88.0,2.0,,4.0,3.0,1.0,40.0,1.0,1.0,1.0,,7.0,,1.0,26.0,573.0,9.0,3.0,7.0,5.0,38.0,0.0,1.0,,,1.0,0.0,4.0,,,71.8,20.0,5.0,1.0,1.0,13.0,25.0,15.0,,641.0,3.0,5.0,14.0,8.0,64.0,4.0,597.0,16.0,9.0,17.0,366.0,20.0,,1.0,4.0,12.0,18.0,4.0,21.0,1.0,3.0,15.0,,,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,2.0,12.0,,2.0,1.0,,,2.0,1.0,3.0,,,1.0,,5.0,3.0,1.0,6.0,,,,,,,35.04,,106852.17,1.0,,1.0,,,1.0,,,,,,2.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.6609,,2.45171,0.1844,1.8228,,,,,,
37,2444838,2025-05-20 20:00:00,"Etihad Stadium, Manchester",52487,Home,Manchester City,Bournemouth,3,1,W,2,0,1,1,1.0,1.0,44.0,,,1.0,23.0,19.0,7.0,4.0,5.0,1.0,1.0,1.0,159.0,,2.0,3.0,3.0,3.0,8.0,,5.0,166.0,100.0,27.0,12.0,1.0,7.0,1.0,1.0,3.0,1.0,7.0,3.0,1.0,19.0,2.0,9.0,19.0,283.0,,1.0,0.0,164.0,7.0,,,2.0,,65.0,69.0,5.0,111.0,,1.0,5.0,18.0,7.0,4.0,100.0,3.0,6.0,173.0,766.0,5.0,2.0,21.0,7.0,530.0,23.0,6.0,9.0,3.0,1.0,1.0,2.0,3.0,15.0,587.0,56.0,2.0,465351,1.0,269.0,3.0,286.0,4.0,2.0,2.0,7.0,5.0,28.0,3.0,2.0,7.0,3.0,19.0,2.0,3.0,43.0,550.0,12.0,4.0,20.0,1.0,56.0,0.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,57.3,12.0,3.0,,7.0,2.0,37.0,3.0,2.0,609.0,7.0,6.0,16.0,5.0,18.0,,330.0,8.0,9.0,4.0,139.0,9.0,,1.0,9.0,8.0,9.0,5.0,7.0,1.0,7.0,3.0,,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,2.0,,,,1.0,2.0,,1.0,1.0,,,,1.0,,2.0,,,,2.0,35.51,,112606.19,1.0,,2.0,,,1.0,,,1.0,,,,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,1.4839,0.8504,1.50624,0.0751,1.5373,,,,,,
38,2444841,2025-05-25 16:00:00,"Craven Cottage, London",27671,Away,Manchester City,Fulham,2,0,W,1,0,0,0,,1.0,42.0,1.0,,7.0,36.0,14.0,4.0,4.0,16.0,3.0,1.0,2.0,148.0,,3.0,7.0,2.0,4.0,14.0,,5.0,124.0,124.0,42.0,20.0,1.0,12.0,2.0,2.0,,1.0,18.0,9.0,1.0,14.0,5.0,8.0,33.0,234.0,1.0,,0.0,150.0,5.0,3.0,,1.0,,65.0,92.0,9.0,99.0,1.0,2.0,13.0,10.0,4.0,2.0,124.0,2.0,11.0,124.0,679.0,11.0,1.0,46.0,13.0,409.0,12.0,8.0,4.0,,3.0,0.0,3.0,5.0,17.0,476.0,57.0,,477424,5.0,193.0,10.0,206.0,1.0,1.0,3.0,2.0,7.0,41.0,,,9.0,1.0,15.0,2.0,7.0,60.0,424.0,11.0,7.0,24.0,4.0,62.0,0.0,1.0,3.0,2.0,,0.0,,,,53.2,12.0,4.0,3.0,9.0,8.0,45.0,6.0,,495.0,13.0,11.0,22.0,7.0,31.0,5.0,307.0,13.0,8.0,10.0,106.0,17.0,1.0,,4.0,14.0,13.0,4.0,14.0,,2.0,6.0,,,1.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,2.0,,1.0,,2.0,1.0,3.0,2.0,,,,,,3.0,2.0,2.0,3.0,,,,1.0,1.0,1.0,33.5,,107723.18,,,3.0,,1.0,1.0,,,,,,,1.0,,4.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.6387,1.3306,1.16425,0.0479,2.9902,,,,,,
