gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attOboxBlocked,postScoringAtt,attMissLeft,attIboxPost,totalCornersIntobox,attMissHighRight,attSvHighLeft,midfielderGoals,hitWoodwork,sixYardBlock,attSetpiece,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,attPostHigh,goalsConceded,shieldBallOop,attHdMiss,accurateCornersIntobox,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,savedObox,accuratePullBack,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attCmissHighLeft,punches,effectiveBlockedCross,blockedCross,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,freekickCross,freekickTotal,clearanceOffLine,attFreekickMiss,attPostLeft,attHdPost,attCmissHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,defenderGoals,attGoalHighLeft,attFreekickGoal,attPostRight,attSvHighRight,attFreekickPost,accurateFreekickCross,attOboxPost,secondYellow,ptsGainedLosingPos,goalAssistDeadball,attObxLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdRight,attPenTarget,attCmissHighRight,ownGoals,attIboxOwnGoal,attObxdLeft,attLgCentre,foulThrowIn
26,1059957,2020-02-19 19:30:00,"Etihad Stadium, Manchester",52159.0,Home,Manchester City,West Ham United,2,0,W,1,0,0,0,1.0,,58.0,,2.0,5.0,36.0,12.0,6.0,5.0,13.0,,,4.0,221.0,,3.0,18.0,2.0,2.0,16.0,,7.0,286.0,132.0,43.0,20.0,11.0,2.0,,3.0,1.0,4.0,,35.0,7.0,3.0,12.0,10.0,40.0,1.0,562.0,1.0,,0.0,304.0,5.0,,,1.0,,108.0,95.0,11.0,109.0,1.0,1.0,31.0,13.0,7.0,7.0,1.0,132.0,3.0,,2.0,280.0,1070.0,13.0,1.0,48.0,,7.0,805.0,25.0,2.0,7.0,2.0,0.0,4.0,16.0,879.0,69.0,3.0,97299,6.0,263.0,3.0,23.0,275.0,2.0,1.0,,13.0,5.0,38.0,7.0,1.0,1.0,1.0,9.0,1.0,5.0,1.0,,47.0,822.0,6.0,8.0,9.0,73.0,,0.0,1.0,1.0,,2.0,,0.0,2.0,1.0,1.0,77.3,16.0,6.0,,1.0,8.0,63.0,6.0,,896.0,7.0,9.0,34.0,5.0,48.0,4.0,656.0,14.0,9.0,8.0,258.0,26.0,,7.0,11.0,17.0,3.0,24.0,4.0,6.0,,,3.0,,2.0,,5.0,1.0,,2.0,,3.0,1.0,,2.0,,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
27,1059966,2020-02-22 17:30:00,"King Power Stadium, Leicester",32068.0,Away,Manchester City,Leicester City,1,0,W,0,0,0,0,3.0,1.0,66.0,,1.0,3.0,33.0,14.0,8.0,8.0,10.0,3.0,,3.0,150.0,,2.0,12.0,1.0,6.0,14.0,1.0,7.0,221.0,121.0,49.0,18.0,8.0,5.0,,3.0,1.0,2.0,,20.0,11.0,1.0,14.0,7.0,26.0,1.0,343.0,1.0,1.0,0.0,198.0,10.0,1.0,,2.0,,113.0,57.0,10.0,101.0,3.0,2.0,13.0,17.0,8.0,2.0,5.0,121.0,3.0,2.0,5.0,205.0,871.0,12.0,1.0,31.0,,15.0,589.0,30.0,2.0,7.0,1.0,0.0,4.0,20.0,660.0,50.0,2.0,97299,6.0,262.0,3.0,11.0,278.0,7.0,1.0,1.0,17.0,4.0,50.0,4.0,1.0,6.0,1.0,13.0,5.0,4.0,1.0,,54.0,603.0,13.0,18.0,14.0,64.0,,0.0,1.0,3.0,1.0,1.0,1.0,0.0,,1.0,1.0,68.1,20.0,8.0,,6.0,5.0,48.0,7.0,,677.0,15.0,12.0,15.0,6.0,31.0,1.0,419.0,9.0,7.0,9.0,160.0,22.0,,7.0,15.0,12.0,2.0,14.0,6.0,7.0,,,2.0,,,,7.0,1.0,,,,,,1.0,3.0,2.0,,,,,1.0,2.0,,,,2.0,1.0,2.0,,3.0,,1.0,1.0,1.0,1.0,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
28,1059976,2020-06-17 20:15:00,"Etihad Stadium, Manchester",,Home,Manchester City,Arsenal,3,0,W,1,0,0,1,3.0,1.0,38.0,,1.0,1.0,35.0,6.0,4.0,5.0,15.0,,1.0,6.0,173.0,1.0,3.0,13.0,3.0,4.0,14.0,1.0,12.0,194.0,86.0,33.0,20.0,2.0,6.0,,5.0,,3.0,,9.0,3.0,3.0,6.0,13.0,31.0,1.0,365.0,1.0,1.0,0.0,196.0,9.0,,,1.0,,98.0,88.0,10.0,118.0,2.0,2.0,8.0,12.0,5.0,,,86.0,3.0,1.0,2.0,207.0,834.0,13.0,,34.0,,13.0,623.0,12.0,,5.0,,1.0,4.0,18.0,674.0,51.0,3.0,61366,8.0,277.0,3.0,7.0,293.0,5.0,2.0,1.0,12.0,5.0,29.0,5.0,1.0,4.0,2.0,10.0,1.0,3.0,1.0,1.0,49.0,639.0,7.0,3.0,6.0,62.0,,0.0,1.0,2.0,,3.0,,0.0,3.0,,,67.1,18.0,2.0,1.0,4.0,3.0,55.0,5.0,,692.0,13.0,8.0,24.0,5.0,22.0,5.0,408.0,15.0,13.0,6.0,170.0,20.0,1.0,5.0,7.0,15.0,5.0,20.0,4.0,5.0,,,2.0,,2.0,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,1.0,
29,1059988,2020-03-08 16:30:00,"Old Trafford, Manchester",73288.0,Away,Manchester City,Manchester United,0,2,L,0,1,0,0,1.0,,52.0,,,,44.0,8.0,3.0,3.0,4.0,4.0,,3.0,175.0,,2.0,18.0,,3.0,7.0,,4.0,227.0,151.0,54.0,7.0,8.0,2.0,,,,2.0,,31.0,5.0,2.0,8.0,6.0,44.0,,356.0,,,0.0,195.0,9.0,1.0,,,,132.0,86.0,4.0,122.0,,,25.0,15.0,3.0,9.0,1.0,151.0,1.0,2.0,8.0,237.0,948.0,6.0,5.0,14.0,,8.0,655.0,23.0,1.0,4.0,,4.0,3.0,27.0,738.0,69.0,,59859,2.0,322.0,1.0,16.0,337.0,5.0,,,15.0,2.0,47.0,2.0,2.0,3.0,,14.0,4.0,2.0,1.0,,68.0,676.0,10.0,12.0,11.0,78.0,,0.0,1.0,2.0,4.0,,2.0,0.0,1.0,,1.0,72.3,27.0,3.0,2.0,4.0,,58.0,11.0,,761.0,8.0,11.0,28.0,3.0,36.0,2.0,455.0,3.0,4.0,11.0,148.0,21.0,,4.0,15.0,5.0,3.0,26.0,2.0,11.0,1.0,,,,1.0,,8.0,,,,,,,1.0,2.0,1.0,,,2.0,,1.0,3.0,,1.0,,,,1.0,1.0,4.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1059996,2020-06-22 20:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Burnley,5,0,W,3,0,0,0,1.0,3.0,47.0,3.0,1.0,3.0,41.0,8.0,8.0,9.0,11.0,,4.0,1.0,191.0,,3.0,9.0,5.0,3.0,17.0,2.0,7.0,231.0,97.0,46.0,19.0,11.0,,,2.0,2.0,2.0,,9.0,8.0,2.0,8.0,12.0,48.0,,381.0,1.0,1.0,0.0,201.0,8.0,,,,,88.0,109.0,10.0,138.0,,3.0,9.0,10.0,8.0,1.0,3.0,97.0,3.0,1.0,,256.0,938.0,13.0,,29.0,,2.0,733.0,16.0,3.0,6.0,4.0,1.0,7.0,17.0,803.0,74.0,,61366,7.0,368.0,1.0,7.0,390.0,5.0,1.0,,10.0,3.0,37.0,1.0,1.0,5.0,2.0,9.0,1.0,3.0,,1.0,54.0,746.0,7.0,8.0,8.0,66.0,,0.0,,1.0,,4.0,,0.0,3.0,1.0,1.0,71.7,17.0,4.0,1.0,5.0,5.0,57.0,3.0,,816.0,2.0,4.0,29.0,7.0,27.0,4.0,435.0,9.0,11.0,18.0,164.0,22.0,4.0,6.0,12.0,15.0,4.0,16.0,3.0,3.0,,1.0,2.0,,2.0,,,1.0,,1.0,,5.0,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
31,1060003,2020-06-25 20:15:00,"Stamford Bridge, London",,Away,Manchester City,Chelsea,1,2,L,0,1,1,0,,,50.0,,,,45.0,8.0,6.0,4.0,5.0,5.0,,,187.0,,5.0,10.0,1.0,8.0,10.0,2.0,2.0,204.0,114.0,35.0,11.0,11.0,1.0,1.0,1.0,,,,20.0,5.0,,8.0,13.0,40.0,,381.0,,,0.0,224.0,3.0,3.0,1.0,,1.0,115.0,78.0,4.0,120.0,1.0,2.0,14.0,15.0,6.0,5.0,1.0,114.0,1.0,,14.0,202.0,875.0,8.0,1.0,28.0,1.0,5.0,630.0,18.0,,3.0,,1.0,6.0,16.0,692.0,99.0,,61366,2.0,274.0,1.0,6.0,286.0,1.0,1.0,,15.0,4.0,36.0,,1.0,5.0,,17.0,1.0,4.0,1.0,,67.0,650.0,13.0,10.0,8.0,73.0,1.0,0.0,3.0,5.0,8.0,,1.0,1.0,4.0,,1.0,64.7,14.0,7.0,2.0,5.0,3.0,53.0,7.0,1.0,713.0,5.0,8.0,22.0,6.0,36.0,4.0,447.0,6.0,13.0,5.0,188.0,20.0,,3.0,7.0,6.0,4.0,15.0,6.0,7.0,1.0,1.0,3.0,1.0,1.0,,6.0,,,1.0,1.0,,3.0,2.0,1.0,,1.0,,2.0,2.0,,1.0,,1.0,,,,1.0,,4.0,1.0,,,,,1.0,,,1.0,3.0,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
32,1060018,2020-07-02 20:15:00,"Etihad Stadium, Manchester",,Home,Manchester City,Liverpool,4,0,W,3,0,0,0,1.0,2.0,65.0,2.0,,1.0,35.0,19.0,4.0,3.0,10.0,3.0,,2.0,133.0,,4.0,9.0,4.0,2.0,11.0,1.0,6.0,133.0,120.0,36.0,14.0,11.0,1.0,4.0,1.0,2.0,2.0,1.0,11.0,7.0,2.0,19.0,2.0,39.0,,128.0,1.0,1.0,0.0,77.0,8.0,3.0,5.0,1.0,,65.0,24.0,5.0,89.0,1.0,3.0,8.0,11.0,4.0,2.0,1.0,120.0,3.0,1.0,9.0,135.0,662.0,9.0,2.0,22.0,,8.0,402.0,28.0,2.0,4.0,2.0,2.0,6.0,23.0,473.0,40.0,,97299,8.0,288.0,2.0,6.0,316.0,5.0,3.0,,11.0,6.0,36.0,,3.0,10.0,2.0,12.0,2.0,3.0,,1.0,60.0,412.0,7.0,5.0,11.0,64.0,4.0,0.0,2.0,3.0,2.0,4.0,,0.0,4.0,2.0,2.0,47.0,19.0,6.0,,10.0,2.0,38.0,3.0,,490.0,8.0,9.0,27.0,6.0,17.0,5.0,185.0,9.0,2.0,10.0,51.0,18.0,,4.0,10.0,13.0,4.0,13.0,3.0,3.0,,1.0,1.0,,3.0,,3.0,,,3.0,,1.0,,,,,2.0,,,,2.0,,,,,1.0,,,2.0,5.0,2.0,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
33,1060029,2020-07-05 19:00:00,"St. Mary's Stadium, Southampton",,Away,Manchester City,Southampton,0,1,L,0,1,0,0,3.0,,66.0,,,7.0,55.0,12.0,7.0,12.0,19.0,3.0,,,233.0,,7.0,12.0,,2.0,18.0,1.0,6.0,226.0,163.0,54.0,26.0,16.0,6.0,,1.0,,3.0,,42.0,10.0,,12.0,8.0,44.0,,426.0,,,0.0,267.0,7.0,1.0,,1.0,,121.0,91.0,12.0,152.0,,1.0,36.0,14.0,7.0,10.0,2.0,163.0,4.0,,3.0,197.0,1022.0,17.0,2.0,55.0,3.0,9.0,705.0,25.0,2.0,5.0,,2.0,6.0,23.0,789.0,89.0,,97299,11.0,304.0,5.0,26.0,331.0,4.0,,2.0,14.0,2.0,48.0,,3.0,6.0,,16.0,5.0,2.0,3.0,,73.0,723.0,6.0,6.0,11.0,75.0,,0.0,2.0,2.0,1.0,,2.0,0.0,6.0,,4.0,73.7,21.0,10.0,3.0,6.0,11.0,63.0,13.0,,808.0,9.0,14.0,30.0,9.0,73.0,6.0,519.0,10.0,8.0,20.0,226.0,25.0,,5.0,16.0,22.0,2.0,18.0,3.0,13.0,1.0,,4.0,1.0,4.0,,7.0,,1.0,,1.0,2.0,,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,1060038,2020-07-08 18:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Newcastle United,5,0,W,2,0,0,0,3.0,3.0,56.0,1.0,3.0,5.0,41.0,11.0,7.0,12.0,16.0,1.0,2.0,1.0,185.0,,4.0,14.0,5.0,3.0,21.0,1.0,9.0,265.0,100.0,40.0,23.0,5.0,3.0,1.0,3.0,3.0,2.0,,21.0,1.0,2.0,11.0,9.0,35.0,,440.0,1.0,,0.0,232.0,13.0,1.0,1.0,1.0,,117.0,85.0,15.0,150.0,,2.0,17.0,17.0,7.0,4.0,1.0,100.0,4.0,,3.0,243.0,1000.0,18.0,1.0,46.0,1.0,15.0,778.0,15.0,1.0,5.0,3.0,0.0,6.0,10.0,832.0,70.0,2.0,97299,12.0,352.0,1.0,12.0,367.0,6.0,2.0,1.0,17.0,,39.0,3.0,2.0,2.0,3.0,10.0,3.0,,1.0,,48.0,788.0,7.0,8.0,4.0,73.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,4.0,3.0,2.0,73.6,10.0,10.0,,2.0,8.0,68.0,8.0,,843.0,15.0,10.0,31.0,6.0,39.0,5.0,497.0,9.0,8.0,14.0,204.0,28.0,2.0,5.0,5.0,19.0,5.0,19.0,7.0,8.0,,2.0,3.0,,2.0,,5.0,,,1.0,,,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,5.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,1060044,2020-07-11 20:00:00,"American Express Stadium, Falmer",,Away,Manchester City,Brighton and Hove Albion,5,0,W,2,0,0,0,1.0,3.0,59.0,4.0,1.0,4.0,47.0,9.0,6.0,9.0,20.0,,2.0,1.0,185.0,,6.0,19.0,5.0,1.0,22.0,,8.0,239.0,113.0,52.0,26.0,10.0,3.0,,3.0,3.0,3.0,,21.0,13.0,,9.0,8.0,46.0,,355.0,1.0,,0.0,207.0,3.0,,,,,113.0,83.0,12.0,153.0,,2.0,16.0,17.0,6.0,3.0,2.0,113.0,7.0,,3.0,222.0,975.0,15.0,5.0,40.0,1.0,12.0,705.0,16.0,1.0,6.0,4.0,0.0,10.0,20.0,780.0,64.0,1.0,97299,7.0,374.0,4.0,13.0,393.0,1.0,1.0,,17.0,4.0,27.0,2.0,1.0,5.0,4.0,7.0,,3.0,1.0,,70.0,723.0,7.0,4.0,11.0,79.0,,0.0,2.0,2.0,,4.0,1.0,0.0,2.0,1.0,6.0,70.2,20.0,12.0,3.0,5.0,6.0,58.0,7.0,,799.0,12.0,6.0,34.0,12.0,31.0,8.0,427.0,11.0,8.0,10.0,170.0,26.0,4.0,6.0,16.0,19.0,5.0,25.0,8.0,7.0,,2.0,2.0,2.0,4.0,1.0,5.0,3.0,,1.0,3.0,1.0,2.0,3.0,4.0,,3.0,,,,3.0,4.0,2.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
36,1060058,2020-07-15 18:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Bournemouth,2,1,W,2,0,0,0,1.0,,54.0,,1.0,,25.0,25.0,2.0,4.0,6.0,2.0,1.0,,173.0,,2.0,12.0,2.0,1.0,6.0,,4.0,240.0,125.0,56.0,8.0,28.0,2.0,,2.0,1.0,1.0,,14.0,9.0,,25.0,6.0,31.0,,368.0,,,0.0,174.0,10.0,1.0,,,2.0,102.0,101.0,3.0,119.0,1.0,1.0,12.0,11.0,2.0,,1.0,125.0,,1.0,13.0,224.0,923.0,5.0,3.0,18.0,,8.0,649.0,21.0,2.0,13.0,1.0,1.0,3.0,5.0,729.0,53.0,,97299,2.0,303.0,,12.0,333.0,4.0,1.0,,11.0,10.0,53.0,,2.0,9.0,1.0,13.0,2.0,6.0,1.0,,56.0,669.0,8.0,9.0,21.0,85.0,,0.0,1.0,5.0,1.0,1.0,,0.0,2.0,1.0,,72.5,5.0,5.0,1.0,10.0,,58.0,3.0,3.0,756.0,8.0,7.0,20.0,4.0,20.0,3.0,437.0,3.0,5.0,21.0,150.0,15.0,1.0,13.0,15.0,7.0,5.0,14.0,5.0,3.0,,1.0,,,2.0,,2.0,,,1.0,,,,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,5.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,1060070,2020-07-21 18:00:00,"Vicarage Road, Watford",,Away,Manchester City,Watford,4,0,W,2,0,0,0,,3.0,55.0,,1.0,7.0,28.0,11.0,9.0,12.0,17.0,,2.0,6.0,178.0,2.0,5.0,13.0,4.0,7.0,18.0,1.0,10.0,247.0,127.0,61.0,26.0,17.0,2.0,,2.0,1.0,2.0,,25.0,10.0,4.0,11.0,8.0,44.0,1.0,493.0,1.0,1.0,0.0,271.0,11.0,,,1.0,,122.0,134.0,13.0,112.0,,3.0,18.0,14.0,9.0,3.0,2.0,127.0,3.0,1.0,2.0,227.0,941.0,15.0,4.0,39.0,,7.0,665.0,22.0,1.0,8.0,2.0,0.0,5.0,9.0,742.0,90.0,1.0,97299,10.0,199.0,4.0,12.0,216.0,3.0,1.0,,14.0,7.0,55.0,2.0,3.0,2.0,2.0,9.0,,7.0,1.0,,49.0,687.0,14.0,9.0,12.0,54.0,,0.0,,,,4.0,,0.0,4.0,2.0,2.0,76.9,9.0,4.0,3.0,2.0,10.0,39.0,8.0,,764.0,7.0,8.0,26.0,6.0,43.0,4.0,573.0,12.0,8.0,12.0,226.0,27.0,3.0,8.0,22.0,18.0,3.0,23.0,5.0,8.0,,,3.0,,1.0,,7.0,,1.0,,,,3.0,1.0,3.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,3.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,
38,1060078,2020-07-26 16:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Norwich City,5,0,W,2,0,0,0,3.0,2.0,59.0,1.0,1.0,7.0,35.0,5.0,7.0,15.0,24.0,4.0,1.0,2.0,166.0,1.0,6.0,19.0,5.0,2.0,25.0,1.0,10.0,224.0,106.0,44.0,31.0,7.0,4.0,1.0,2.0,2.0,1.0,,24.0,8.0,1.0,5.0,9.0,27.0,1.0,467.0,1.0,,0.0,320.0,7.0,1.0,1.0,2.0,,110.0,84.0,14.0,125.0,1.0,3.0,19.0,15.0,7.0,4.0,3.0,106.0,1.0,,2.0,207.0,900.0,20.0,2.0,87.0,,10.0,647.0,14.0,2.0,3.0,2.0,1.0,11.0,17.0,707.0,75.0,1.0,97299,15.0,200.0,,14.0,208.0,3.0,4.0,3.0,15.0,4.0,31.0,2.0,,7.0,5.0,13.0,3.0,4.0,4.0,,45.0,661.0,4.0,4.0,7.0,57.0,1.0,0.0,,,2.0,4.0,1.0,0.0,3.0,1.0,4.0,73.1,17.0,12.0,4.0,7.0,9.0,49.0,9.0,,722.0,10.0,9.0,21.0,12.0,56.0,9.0,538.0,12.0,7.0,9.0,277.0,25.0,2.0,3.0,12.0,27.0,4.0,24.0,8.0,9.0,,1.0,2.0,,3.0,,6.0,1.0,,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,4.0,4.0,,,,2.0,,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
