gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,attGoalHighRight,attMissHighRight,attSvHighLeft,goodHighClaim,interceptionsInBox,attOboxMiss,errorLeadToShot,sixYardBlock,attCmissHighLeft,attCmissLeft,punches,savedIbox,goalsConceded,goalAssistIntentional,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,attGoalLowCentre,attOboxBlocked,shotFastbreak,attBxRight,totalFastbreak,accurateFreekickCross,attSetpiece,attFastbreak,attFreekickMiss,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,foulThrowIn,attPenTarget,penaltyWon,hitWoodwork,postScoringAtt,attIboxPost,attPostHigh,attPostLeft,attSvHighRight,attHdPost,attObxdRight,ownGoals,attPenGoal,attIboxOwnGoal,attemptsIbox,attemptsObox,attGoalHighCentre,touchesInOppBox,attCorner,defenderGoals,goalFastbreak,attFreekickTarget,attCmissHighRight,attOboxPost,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded
28,695175,2014-03-25 19:45:00,"Old Trafford, Manchester",75203,Away,Manchester City,Manchester United,3,0,W,1,0,0,0,,1.0,69.0,1.0,,,2.0,28.0,24.0,3.0,3.0,4.0,,1.0,154.0,4.0,7.0,3.0,1.0,10.0,,,4.0,134.0,139.0,48.0,,13.0,12.0,1.0,2.0,,,,20.0,13.0,,24.0,8.0,29.0,25.0,,280.0,1.0,,0.0,200.0,8.0,2.0,1.0,,,101.0,88.0,5.0,74.0,2.0,12.0,28.0,,1.0,139.0,2.0,,7.0,129.0,705.0,8.0,11.0,,25.0,389.0,22.0,,5.0,11.0,1.0,2.0,2.0,3.0,5.0,13.0,473.0,69.0,,7551,6.0,126.0,2.0,11.0,141.0,7.0,3.0,,28.0,12.0,43.0,,3.0,3.0,3.0,2.0,6.0,3.0,5.0,1.0,43.0,402.0,12.0,7.0,1.0,17.0,83.0,,1.0,,0.0,1.0,5.0,3.0,2.0,0.0,,2.0,2.0,47.3,12.0,2.0,10.0,1.0,,3.0,4.0,55.0,8.0,491.0,25.0,10.0,13.0,5.0,19.0,4.0,3.0,370.0,8.0,24.0,15.0,151.0,27.0,2.0,11.0,15.0,,11.0,3.0,13.0,18.0,8.0,,1.0,1.0,,3.0,4.0,1.0,,,,,4.0,4.0,,1.0,3.0,6.0,,,6.0,,2.0,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,
29,695185,2014-05-07 19:45:00,"Etihad Stadium, Manchester",47023,Home,Manchester City,Aston Villa,4,0,W,0,0,0,0,4.0,3.0,44.0,,2.0,,3.0,37.0,20.0,6.0,6.0,,1.0,1.0,239.0,5.0,6.0,4.0,5.0,14.0,2.0,1.0,9.0,187.0,120.0,42.0,2.0,18.0,10.0,3.0,,3.0,2.0,,30.0,8.0,2.0,20.0,6.0,17.0,29.0,,459.0,1.0,1.0,0.0,285.0,8.0,,1.0,1.0,2.0,103.0,149.0,10.0,114.0,3.0,24.0,8.0,2.0,3.0,120.0,4.0,,2.0,199.0,910.0,10.0,3.0,,5.0,664.0,19.0,2.0,,14.0,3.0,,1.0,3.0,4.0,27.0,732.0,91.0,1.0,7551,8.0,217.0,2.0,19.0,227.0,3.0,3.0,2.0,8.0,4.0,35.0,,5.0,3.0,3.0,4.0,7.0,3.0,3.0,,49.0,671.0,9.0,3.0,1.0,8.0,84.0,,1.0,,0.0,,2.0,3.0,1.0,0.0,4.0,,1.0,73.3,27.0,1.0,4.0,1.0,,3.0,4.0,66.0,7.0,739.0,5.0,13.0,16.0,5.0,30.0,1.0,3.0,542.0,11.0,16.0,17.0,242.0,18.0,3.0,14.0,10.0,,14.0,3.0,9.0,3.0,7.0,1.0,,,,,,2.0,,2.0,1.0,,,,,2.0,,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,
30,695194,2014-03-15 12:45:00,"The MKM Stadium, Hull",24895,Away,Manchester City,Hull City,2,0,W,1,0,1,0,1.0,1.0,64.0,1.0,,2.0,1.0,17.0,31.0,2.0,6.0,5.0,2.0,,174.0,1.0,3.0,2.0,,6.0,,1.0,3.0,103.0,140.0,35.0,,8.0,17.0,1.0,2.0,2.0,1.0,,10.0,12.0,,31.0,4.0,13.0,31.0,3.0,201.0,1.0,1.0,0.0,159.0,14.0,,1.0,,,68.0,64.0,4.0,80.0,1.0,6.0,21.0,,,140.0,2.0,,9.0,99.0,631.0,3.0,9.0,,15.0,339.0,23.0,,5.0,16.0,2.0,2.0,2.0,3.0,2.0,17.0,431.0,78.0,1.0,7551,3.0,153.0,2.0,6.0,175.0,6.0,,1.0,21.0,12.0,44.0,,1.0,,5.0,2.0,7.0,6.0,2.0,1.0,47.0,353.0,9.0,5.0,1.0,26.0,83.0,1.0,,,0.0,,3.0,1.0,3.0,1.0,,1.0,,45.7,16.0,,4.0,1.0,,5.0,1.0,36.0,4.0,456.0,15.0,6.0,12.0,4.0,14.0,1.0,3.0,291.0,2.0,13.0,11.0,101.0,21.0,1.0,16.0,14.0,,6.0,3.0,7.0,10.0,4.0,1.0,,1.0,,6.0,3.0,,,,,,,3.0,,1.0,6.0,3.0,,,3.0,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
31,695206,2014-03-22 15:00:00,"Etihad Stadium, Manchester",47262,Home,Manchester City,Fulham,5,0,W,1,0,0,1,4.0,3.0,55.0,2.0,,,4.0,42.0,21.0,6.0,9.0,,,2.0,187.0,2.0,10.0,5.0,6.0,17.0,,1.0,12.0,177.0,122.0,56.0,,22.0,13.0,6.0,,,1.0,1.0,30.0,9.0,1.0,21.0,8.0,24.0,24.0,,333.0,1.0,1.0,0.0,197.0,8.0,,4.0,3.0,1.0,88.0,144.0,13.0,97.0,2.0,24.0,10.0,,5.0,122.0,1.0,,3.0,158.0,810.0,12.0,7.0,1.0,14.0,533.0,22.0,1.0,4.0,18.0,2.0,,0.0,2.0,4.0,13.0,596.0,78.0,,80235,5.0,221.0,2.0,18.0,232.0,4.0,5.0,1.0,10.0,7.0,42.0,,1.0,,6.0,,6.0,3.0,3.0,1.0,54.0,552.0,14.0,6.0,3.0,14.0,76.0,,1.0,,0.0,,2.0,4.0,2.0,0.0,1.0,1.0,2.0,67.6,12.0,1.0,6.0,2.0,1.0,6.0,5.0,53.0,13.0,619.0,14.0,13.0,16.0,5.0,31.0,3.0,2.0,417.0,11.0,22.0,17.0,153.0,20.0,,18.0,17.0,,12.0,3.0,13.0,4.0,13.0,,2.0,,1.0,2.0,,3.0,,,,,,,,1.0,2.0,2.0,,,2.0,1.0,1.0,,7.0,,,1.0,,,,2.0,1.0,,,2.0,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,
32,695211,2014-03-29 17:30:00,"Emirates Stadium, London",60060,Away,Manchester City,Arsenal,1,1,D,1,0,0,0,1.0,1.0,64.0,,1.0,1.0,2.0,37.0,27.0,6.0,5.0,2.0,,2.0,207.0,2.0,3.0,1.0,4.0,9.0,,,4.0,130.0,147.0,49.0,,15.0,33.0,2.0,,,1.0,5.0,18.0,18.0,1.0,27.0,4.0,23.0,30.0,,280.0,,,0.0,174.0,11.0,2.0,1.0,2.0,,76.0,108.0,4.0,94.0,,14.0,20.0,,1.0,147.0,,,5.0,123.0,743.0,7.0,6.0,,17.0,436.0,25.0,,7.0,12.0,,,4.0,1.0,5.0,19.0,530.0,78.0,1.0,7551,2.0,173.0,,13.0,195.0,3.0,1.0,5.0,13.0,7.0,62.0,1.0,3.0,,6.0,1.0,10.0,4.0,1.0,2.0,69.0,451.0,8.0,8.0,2.0,25.0,94.0,,,,0.0,,6.0,1.0,2.0,0.0,1.0,1.0,1.0,52.2,13.0,1.0,3.0,2.0,,6.0,3.0,53.0,6.0,554.0,17.0,8.0,12.0,8.0,32.0,1.0,3.0,377.0,9.0,22.0,18.0,118.0,27.0,,12.0,21.0,,12.0,3.0,7.0,13.0,6.0,1.0,,1.0,,2.0,1.0,5.0,,,,1.0,2.0,1.0,1.0,,2.0,6.0,1.0,,6.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,8.0,7.0,,24.0,2.0,,1.0,,,,2.0,,,
33,695226,2014-04-05 12:45:00,"Etihad Stadium, Manchester",47009,Home,Manchester City,Southampton,4,1,W,3,1,0,0,2.0,4.0,54.0,,2.0,,,32.0,31.0,4.0,3.0,,,2.0,151.0,6.0,7.0,4.0,6.0,14.0,1.0,1.0,8.0,107.0,123.0,53.0,,15.0,14.0,2.0,,3.0,3.0,,12.0,15.0,2.0,31.0,4.0,8.0,39.0,1.0,212.0,,,0.0,152.0,9.0,,2.0,1.0,2.0,76.0,67.0,9.0,70.0,3.0,8.0,12.0,,1.0,123.0,6.0,,3.0,97.0,608.0,8.0,10.0,,10.0,326.0,21.0,1.0,3.0,18.0,3.0,,3.0,1.0,4.0,21.0,404.0,62.0,3.0,7551,6.0,134.0,4.0,5.0,152.0,6.0,3.0,3.0,12.0,6.0,40.0,,7.0,1.0,4.0,3.0,17.0,2.0,3.0,,54.0,340.0,14.0,9.0,2.0,17.0,61.0,,,,0.0,,9.0,4.0,4.0,0.0,5.0,,3.0,43.6,20.0,1.0,5.0,1.0,,4.0,2.0,37.0,5.0,425.0,10.0,5.0,22.0,5.0,15.0,1.0,4.0,285.0,9.0,7.0,14.0,108.0,18.0,2.0,18.0,19.0,1.0,12.0,3.0,12.0,8.0,5.0,1.0,,,,,,,,,,,1.0,,1.0,3.0,,4.0,1.0,,4.0,2.0,2.0,,1.0,1.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0
34,695233,2014-04-13 13:37:00,"Anfield, Liverpool",44601,Away,Manchester City,Liverpool,2,3,L,0,2,0,1,1.0,1.0,69.0,1.0,,,2.0,22.0,18.0,4.0,4.0,1.0,1.0,1.0,178.0,4.0,6.0,2.0,2.0,11.0,1.0,2.0,5.0,130.0,153.0,46.0,1.0,13.0,16.0,4.0,,1.0,,1.0,27.0,16.0,,18.0,7.0,20.0,36.0,,263.0,,,0.0,204.0,9.0,1.0,1.0,3.0,1.0,90.0,98.0,7.0,51.0,2.0,20.0,17.0,1.0,1.0,153.0,2.0,4.0,6.0,106.0,680.0,8.0,5.0,2.0,18.0,371.0,28.0,,3.0,11.0,1.0,,3.0,,4.0,29.0,451.0,58.0,1.0,7551,7.0,121.0,1.0,18.0,140.0,4.0,,3.0,17.0,7.0,53.0,,4.0,1.0,6.0,1.0,14.0,4.0,3.0,,37.0,380.0,7.0,10.0,2.0,12.0,67.0,,,,0.0,2.0,7.0,2.0,3.0,0.0,2.0,1.0,3.0,53.4,25.0,1.0,3.0,1.0,1.0,6.0,4.0,42.0,7.0,465.0,18.0,14.0,16.0,4.0,21.0,2.0,2.0,352.0,6.0,17.0,10.0,152.0,31.0,,11.0,24.0,,10.0,3.0,12.0,10.0,7.0,1.0,,1.0,,1.0,4.0,2.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,695246,2014-04-21 20:00:00,"Etihad Stadium, Manchester",46564,Home,Manchester City,West Bromwich Albion,3,1,W,3,1,0,0,1.0,2.0,62.0,1.0,1.0,2.0,4.0,39.0,17.0,8.0,6.0,2.0,,2.0,215.0,3.0,13.0,3.0,2.0,15.0,,,6.0,176.0,137.0,57.0,,19.0,8.0,2.0,,,2.0,3.0,20.0,17.0,1.0,17.0,8.0,18.0,29.0,,339.0,,1.0,0.0,200.0,9.0,1.0,,,,85.0,101.0,11.0,111.0,,12.0,13.0,,2.0,137.0,2.0,,3.0,182.0,883.0,14.0,7.0,,16.0,594.0,25.0,,2.0,10.0,1.0,,1.0,2.0,4.0,16.0,670.0,62.0,,7551,5.0,269.0,1.0,10.0,287.0,4.0,2.0,,13.0,7.0,49.0,,2.0,3.0,4.0,2.0,8.0,7.0,6.0,1.0,54.0,605.0,7.0,6.0,,11.0,84.0,1.0,,,0.0,1.0,2.0,2.0,2.0,0.0,1.0,,1.0,69.0,15.0,,4.0,2.0,1.0,5.0,8.0,59.0,8.0,684.0,16.0,13.0,21.0,5.0,18.0,2.0,3.0,417.0,12.0,16.0,17.0,169.0,25.0,1.0,10.0,21.0,1.0,18.0,3.0,26.0,6.0,8.0,,,1.0,,5.0,,2.0,,1.0,,1.0,,,1.0,1.0,5.0,1.0,1.0,,1.0,,4.0,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
36,695252,2014-04-27 16:10:00,"Selhurst Park, London",24769,Away,Manchester City,Crystal Palace,2,0,W,2,0,0,0,1.0,1.0,68.0,1.0,,2.0,2.0,22.0,28.0,6.0,4.0,2.0,1.0,3.0,173.0,8.0,11.0,2.0,4.0,14.0,,1.0,6.0,115.0,159.0,67.0,1.0,16.0,17.0,2.0,,2.0,4.0,1.0,24.0,19.0,2.0,28.0,7.0,19.0,25.0,,204.0,1.0,,0.0,161.0,10.0,2.0,1.0,,,53.0,83.0,9.0,64.0,2.0,17.0,15.0,1.0,6.0,159.0,1.0,,,116.0,694.0,9.0,12.0,,17.0,361.0,28.0,,2.0,16.0,2.0,,1.0,,5.0,22.0,452.0,67.0,2.0,7551,7.0,178.0,,11.0,188.0,7.0,,1.0,15.0,7.0,54.0,,2.0,,2.0,2.0,17.0,3.0,3.0,2.0,48.0,374.0,9.0,7.0,3.0,24.0,86.0,1.0,,,0.0,3.0,4.0,2.0,4.0,0.0,4.0,5.0,4.0,53.6,18.0,3.0,4.0,1.0,,2.0,4.0,45.0,8.0,468.0,17.0,10.0,13.0,6.0,20.0,4.0,4.0,304.0,7.0,16.0,24.0,107.0,25.0,1.0,16.0,24.0,1.0,9.0,3.0,22.0,10.0,8.0,,,1.0,,4.0,1.0,2.0,,,,,1.0,,,1.0,4.0,4.0,,,4.0,,2.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,695265,2014-05-03 17:30:00,"Goodison Park, Liverpool",39454,Away,Manchester City,Everton,3,2,W,2,1,0,0,1.0,1.0,63.0,,2.0,,1.0,12.0,22.0,6.0,4.0,2.0,,1.0,171.0,6.0,9.0,3.0,,16.0,1.0,,6.0,100.0,108.0,42.0,,18.0,17.0,3.0,1.0,3.0,1.0,1.0,15.0,12.0,,22.0,2.0,15.0,20.0,,217.0,,,0.0,130.0,9.0,2.0,,,,69.0,57.0,10.0,71.0,2.0,13.0,16.0,,2.0,108.0,1.0,,4.0,114.0,642.0,11.0,4.0,1.0,18.0,385.0,27.0,,,9.0,3.0,1.0,3.0,2.0,6.0,16.0,444.0,50.0,1.0,7551,7.0,182.0,,11.0,191.0,4.0,2.0,1.0,16.0,8.0,64.0,,7.0,,3.0,3.0,10.0,5.0,3.0,2.0,28.0,393.0,3.0,23.0,2.0,9.0,68.0,,1.0,,0.0,1.0,4.0,3.0,1.0,0.0,4.0,1.0,5.0,40.7,12.0,3.0,3.0,1.0,1.0,3.0,6.0,42.0,3.0,456.0,18.0,9.0,8.0,6.0,21.0,2.0,5.0,280.0,9.0,14.0,13.0,96.0,27.0,3.0,9.0,17.0,1.0,14.0,3.0,16.0,10.0,3.0,,,1.0,,2.0,,1.0,,,,1.0,,2.0,2.0,2.0,2.0,3.0,1.0,,3.0,1.0,5.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,695275,2014-05-11 15:00:00,"Etihad Stadium, Manchester",47300,Home,Manchester City,West Ham United,2,0,W,1,0,0,0,3.0,1.0,54.0,1.0,,,7.0,19.0,15.0,12.0,11.0,,,2.0,173.0,11.0,10.0,2.0,3.0,26.0,1.0,1.0,7.0,167.0,99.0,50.0,,28.0,9.0,2.0,2.0,1.0,1.0,3.0,29.0,13.0,3.0,15.0,9.0,19.0,15.0,,367.0,1.0,1.0,0.0,242.0,7.0,,1.0,1.0,2.0,40.0,108.0,15.0,93.0,3.0,20.0,4.0,,1.0,99.0,3.0,,1.0,152.0,772.0,20.0,5.0,,15.0,526.0,26.0,3.0,,12.0,1.0,2.0,2.0,,10.0,17.0,573.0,50.0,1.0,7551,9.0,180.0,3.0,17.0,191.0,5.0,2.0,1.0,3.0,7.0,32.0,,5.0,2.0,2.0,1.0,10.0,2.0,1.0,1.0,32.0,536.0,9.0,4.0,4.0,10.0,63.0,,2.0,,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,3.0,68.1,16.0,3.0,1.0,,,2.0,11.0,42.0,12.0,585.0,15.0,10.0,9.0,10.0,21.0,3.0,6.0,423.0,13.0,19.0,14.0,218.0,23.0,,12.0,17.0,,19.0,3.0,12.0,2.0,12.0,,,,,1.0,1.0,4.0,,3.0,,,1.0,,,,2.0,3.0,,,3.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
