gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,freekickTotal,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateThroughBall,attSetpiece,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attFastbreak,attIboxGoal,goalAssistIntentional,attSvHighCentre,penaltyFaced,attFreekickMiss,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attMissHighRight,accurateFreekickCross,totalPullBack,attMissHigh,attGoalHighLeft,goalsConcededObox,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attHdPost,hitWoodwork,attBxLeft,penGoalsConceded,attPostRight,attLgCentre,attFreekickTarget,clearanceOffLine,penaltyWon,ownGoals,attPenGoal,attCmissHighRight,attIboxOwnGoal,attGoalHighCentre,attCmissHigh,attGoalLowCentre,defenderGoals,punches,sixYardBlock,attPostHigh,foulThrowIn,errorLeadToShot,errorLeadToGoal,attPostLeft,attSvHighLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCmissHighLeft,attObxdLeft,attObxRight,attObxLeft,goalFastbreak,attObpGoal
28,321931,2011-02-26 15:00:00,"St. James' Park, Newcastle",48062,Home,Newcastle United,Bolton Wanderers,1,1,D,1,1,1,0,,1.0,70.0,2.0,18.0,26.0,4.0,5.0,2.0,147.0,8.0,15.0,1.0,11.0,4.0,41.0,184.0,67.0,13.0,19.0,3.0,,1.0,,1.0,22.0,15.0,,14.0,3.0,4.0,25.0,110.0,0.0,99.0,10.0,1.0,2.0,2.0,2.0,28.0,55.0,5.0,48.0,,,19.0,4.0,172.0,2.0,10.0,71.0,530.0,8.0,10.0,22.0,27.0,9.0,18.0,1.0,0.0,6.0,6.0,18.0,67.0,7933,8.0,104.0,4.0,13.0,127.0,13.0,64.0,2.0,3.0,13.0,10.0,4.0,51.0,206.0,14.0,13.0,2.0,35.0,86.0,1.0,1.0,0.0,3.0,6.0,2.0,1.0,3.0,1.0,6.0,,3.0,44.9,14.0,2.0,4.0,3.0,3.0,31.0,3.0,2.0,307.0,18.0,10.0,10.0,6.0,19.0,2.0,3.0,202.0,5.0,4.0,20.0,48.0,24.0,3.0,8.0,18.0,,10.0,3.0,27.0,3.0,3.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,3.0,,2.0,1.0,1.0,1.0,,,6.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
29,321944,2011-03-05 15:00:00,"St. James' Park, Newcastle",50128,Home,Newcastle United,Everton,1,2,L,1,2,0,0,,2.0,59.0,1.0,28.0,29.0,4.0,5.0,,181.0,8.0,7.0,3.0,8.0,3.0,73.0,186.0,56.0,13.0,14.0,2.0,,1.0,1.0,2.0,35.0,9.0,,16.0,4.0,16.0,20.0,186.0,0.0,139.0,12.0,4.0,1.0,3.0,1.0,77.0,25.0,4.0,53.0,2.0,4.0,31.0,15.0,173.0,,13.0,94.0,611.0,8.0,19.0,8.0,20.0,12.0,24.0,1.0,2.0,5.0,4.0,23.0,81.0,93625,4.0,127.0,,13.0,149.0,11.0,57.0,3.0,3.0,12.0,5.0,5.0,56.0,305.0,15.0,10.0,,35.0,82.0,,1.0,0.0,3.0,4.0,3.0,2.0,9.0,0.0,8.0,,3.0,59.7,21.0,2.0,1.0,3.0,4.0,50.0,5.0,1.0,401.0,7.0,10.0,10.0,6.0,38.0,,5.0,287.0,5.0,13.0,18.0,81.0,30.0,2.0,12.0,16.0,2.0,6.0,3.0,18.0,2.0,5.0,1.0,,1.0,,1.0,,1.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,4.0,,,6.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,321952,2011-03-19 15:00:00,"bet365 Stadium, Stoke",27505,Away,Newcastle United,Stoke City,0,4,L,0,1,0,0,2.0,1.0,53.0,3.0,27.0,31.0,7.0,4.0,3.0,127.0,3.0,8.0,6.0,9.0,4.0,97.0,169.0,55.0,15.0,18.0,3.0,1.0,1.0,1.0,,30.0,19.0,1.0,13.0,7.0,8.0,37.0,148.0,0.0,97.0,11.0,2.0,1.0,4.0,1.0,57.0,47.0,8.0,50.0,2.0,,24.0,7.0,151.0,,6.0,88.0,568.0,7.0,4.0,13.0,29.0,6.0,18.0,1.0,1.0,,1.0,29.0,60.0,7933,5.0,135.0,,13.0,154.0,3.0,51.0,1.0,6.0,12.0,2.0,1.0,57.0,280.0,16.0,4.0,2.0,34.0,72.0,1.0,,0.0,1.0,3.0,1.0,4.0,,0.0,1.0,,1.0,60.4,24.0,1.0,3.0,6.0,8.0,35.0,7.0,2.0,362.0,13.0,16.0,24.0,3.0,24.0,3.0,2.0,238.0,10.0,7.0,11.0,56.0,11.0,2.0,5.0,20.0,3.0,8.0,3.0,12.0,2.0,7.0,,,,,,,2.0,5.0,1.0,,,,,1.0,,2.0,1.0,,1.0,,,2.0,,,2.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,
31,321962,2011-04-02 15:00:00,"St. James' Park, Newcastle",49939,Home,Newcastle United,Wolverhampton Wanderers,4,1,W,2,0,0,0,1.0,1.0,51.0,1.0,19.0,29.0,7.0,3.0,1.0,140.0,8.0,2.0,3.0,15.0,8.0,49.0,161.0,40.0,18.0,20.0,3.0,1.0,,1.0,,23.0,10.0,1.0,16.0,4.0,3.0,20.0,106.0,0.0,100.0,18.0,1.0,1.0,1.0,2.0,50.0,44.0,12.0,35.0,3.0,2.0,19.0,7.0,148.0,4.0,10.0,49.0,476.0,8.0,9.0,18.0,18.0,14.0,19.0,,5.0,8.0,3.0,25.0,72.0,7933,6.0,85.0,3.0,11.0,105.0,9.0,57.0,5.0,5.0,8.0,6.0,4.0,51.0,183.0,10.0,1.0,3.0,39.0,83.0,,,0.0,2.0,4.0,2.0,1.0,3.0,0.0,6.0,3.0,4.0,42.6,19.0,1.0,2.0,5.0,5.0,31.0,5.0,2.0,273.0,14.0,10.0,8.0,5.0,25.0,2.0,2.0,191.0,11.0,3.0,14.0,55.0,16.0,3.0,11.0,14.0,1.0,14.0,3.0,11.0,3.0,5.0,3.0,1.0,2.0,,4.0,,1.0,4.0,4.0,4.0,,,1.0,5.0,2.0,1.0,2.0,2.0,,4.0,3.0,2.0,,3.0,3.0,4.0,4.0,3.0,3.0,2.0,,1.0,2.0,1.0,,,,,1.0,,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,
32,321967,2011-04-10 16:00:00,"Villa Park, Birmingham",37090,Away,Newcastle United,Aston Villa,0,1,L,0,1,0,0,,1.0,67.0,,17.0,30.0,3.0,2.0,1.0,171.0,1.0,5.0,2.0,5.0,3.0,77.0,203.0,56.0,7.0,27.0,3.0,1.0,1.0,2.0,,17.0,9.0,,15.0,2.0,11.0,29.0,167.0,0.0,124.0,10.0,2.0,,1.0,,69.0,40.0,4.0,48.0,1.0,,15.0,5.0,188.0,,7.0,92.0,591.0,5.0,13.0,15.0,28.0,6.0,18.0,1.0,2.0,5.0,1.0,31.0,76.0,93625,2.0,113.0,,9.0,140.0,14.0,68.0,2.0,4.0,13.0,9.0,2.0,47.0,279.0,9.0,6.0,,25.0,95.0,1.0,,0.0,1.0,9.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,50.3,22.0,1.0,2.0,4.0,2.0,40.0,2.0,,388.0,12.0,15.0,13.0,2.0,26.0,,1.0,265.0,3.0,11.0,26.0,74.0,29.0,3.0,9.0,16.0,1.0,5.0,2.0,15.0,3.0,2.0,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,3.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
33,321982,2011-04-19 19:45:00,"St. James' Park, Newcastle",49025,Home,Newcastle United,Manchester United,0,0,D,0,0,0,0,1.0,,55.0,2.0,19.0,25.0,5.0,1.0,3.0,129.0,7.0,10.0,3.0,8.0,3.0,60.0,156.0,46.0,12.0,19.0,1.0,1.0,2.0,,2.0,26.0,11.0,2.0,15.0,6.0,17.0,32.0,138.0,0.0,104.0,10.0,1.0,3.0,1.0,1.0,54.0,55.0,3.0,44.0,1.0,2.0,21.0,14.0,146.0,,10.0,72.0,510.0,8.0,17.0,11.0,18.0,4.0,11.0,2.0,2.0,4.0,5.0,17.0,64.0,7933,3.0,92.0,,6.0,110.0,13.0,58.0,2.0,4.0,9.0,9.0,5.0,44.0,223.0,10.0,9.0,,18.0,82.0,,2.0,0.0,1.0,8.0,4.0,,6.0,0.0,5.0,1.0,3.0,40.6,12.0,3.0,2.0,5.0,2.0,38.0,6.0,2.0,305.0,7.0,12.0,15.0,7.0,19.0,3.0,4.0,221.0,8.0,13.0,13.0,60.0,19.0,4.0,8.0,13.0,,10.0,2.0,19.0,4.0,6.0,,,,,,,1.0,,,,,1.0,,,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
34,321989,2011-04-23 15:00:00,"Bloomfield Road, Blackpool",16003,Away,Newcastle United,Blackpool,1,1,D,1,1,0,0,,,57.0,1.0,23.0,33.0,5.0,3.0,1.0,156.0,5.0,3.0,1.0,10.0,2.0,72.0,184.0,58.0,11.0,18.0,1.0,,1.0,,3.0,14.0,12.0,,18.0,4.0,10.0,22.0,129.0,0.0,116.0,8.0,,1.0,3.0,1.0,55.0,24.0,5.0,50.0,1.0,1.0,10.0,2.0,169.0,,9.0,50.0,542.0,6.0,17.0,21.0,35.0,13.0,15.0,1.0,1.0,4.0,5.0,29.0,79.0,7933,4.0,97.0,,5.0,122.0,17.0,52.0,1.0,,12.0,8.0,6.0,62.0,221.0,17.0,8.0,3.0,46.0,112.0,,1.0,0.0,4.0,4.0,,1.0,3.0,0.0,3.0,3.0,2.0,42.9,23.0,2.0,1.0,,4.0,54.0,4.0,1.0,328.0,16.0,11.0,13.0,5.0,19.0,2.0,4.0,220.0,6.0,9.0,13.0,67.0,16.0,6.0,7.0,24.0,1.0,8.0,3.0,10.0,6.0,4.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
35,322002,2011-05-01 12:00:00,"Anfield, Liverpool",44923,Away,Newcastle United,Liverpool,0,3,L,0,1,0,0,,1.0,55.0,1.0,44.0,14.0,6.0,3.0,,145.0,8.0,9.0,8.0,9.0,1.0,101.0,150.0,43.0,11.0,8.0,,2.0,5.0,,2.0,38.0,4.0,1.0,6.0,10.0,17.0,40.0,192.0,0.0,123.0,10.0,1.0,,5.0,1.0,96.0,49.0,3.0,62.0,2.0,3.0,28.0,12.0,142.0,,8.0,98.0,620.0,6.0,8.0,18.0,23.0,8.0,9.0,5.0,2.0,4.0,6.0,24.0,57.0,7933,3.0,162.0,,11.0,175.0,7.0,56.0,4.0,7.0,17.0,6.0,4.0,64.0,346.0,15.0,12.0,3.0,20.0,77.0,1.0,,0.0,2.0,3.0,1.0,3.0,3.0,0.0,4.0,3.0,1.0,53.7,20.0,1.0,2.0,7.0,3.0,53.0,12.0,2.0,406.0,15.0,11.0,26.0,7.0,24.0,4.0,4.0,269.0,6.0,17.0,12.0,94.0,17.0,2.0,1.0,7.0,3.0,6.0,3.0,24.0,2.0,12.0,,,,,,1.0,1.0,2.0,,,,,,,,1.0,3.0,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36,322012,2011-05-07 15:00:00,"St. James' Park, Newcastle",47409,Home,Newcastle United,Birmingham City,2,1,W,2,1,0,1,,1.0,58.0,3.0,40.0,29.0,5.0,2.0,6.0,174.0,10.0,7.0,7.0,15.0,10.0,107.0,145.0,44.0,21.0,10.0,6.0,1.0,,1.0,2.0,33.0,6.0,2.0,19.0,7.0,25.0,27.0,245.0,0.0,150.0,11.0,,2.0,1.0,2.0,86.0,59.0,9.0,72.0,2.0,3.0,26.0,16.0,135.0,5.0,5.0,117.0,657.0,12.0,9.0,11.0,23.0,7.0,22.0,,1.0,2.0,6.0,18.0,62.0,7933,13.0,160.0,4.0,9.0,175.0,8.0,33.0,2.0,7.0,13.0,1.0,2.0,62.0,395.0,12.0,4.0,2.0,27.0,91.0,1.0,1.0,0.0,4.0,2.0,,1.0,5.0,0.0,7.0,,5.0,62.6,16.0,3.0,1.0,7.0,3.0,52.0,8.0,3.0,470.0,8.0,5.0,16.0,8.0,28.0,3.0,5.0,328.0,12.0,24.0,15.0,113.0,24.0,1.0,13.0,10.0,1.0,12.0,1.0,10.0,1.0,8.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,,,2.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
37,322021,2011-05-15 13:30:00,"Stamford Bridge, London",41739,Away,Newcastle United,Chelsea,2,2,D,1,1,0,0,,,61.0,2.0,18.0,31.0,9.0,3.0,2.0,130.0,5.0,5.0,5.0,7.0,4.0,36.0,144.0,52.0,16.0,11.0,,,1.0,,1.0,16.0,18.0,2.0,18.0,3.0,6.0,16.0,102.0,0.0,100.0,13.0,,1.0,1.0,,46.0,41.0,6.0,41.0,4.0,1.0,13.0,4.0,131.0,1.0,8.0,57.0,452.0,5.0,7.0,21.0,31.0,5.0,14.0,2.0,3.0,6.0,1.0,13.0,66.0,999,4.0,89.0,,8.0,104.0,10.0,56.0,4.0,2.0,8.0,8.0,4.0,48.0,186.0,17.0,12.0,,27.0,76.0,1.0,,0.0,1.0,7.0,,2.0,1.0,0.0,4.0,1.0,2.0,35.8,9.0,1.0,5.0,2.0,7.0,33.0,4.0,,264.0,16.0,12.0,8.0,5.0,7.0,1.0,1.0,176.0,9.0,4.0,7.0,53.0,17.0,2.0,6.0,23.0,2.0,7.0,3.0,13.0,2.0,4.0,1.0,1.0,,,2.0,,6.0,5.0,,,1.0,,,,1.0,6.0,4.0,,2.0,2.0,,1.0,,,3.0,,,2.0,1.0,,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0
38,322032,2011-05-22 16:00:00,"St. James' Park, Newcastle",51678,Home,Newcastle United,West Bromwich Albion,3,3,D,2,0,0,0,,2.0,47.0,3.0,56.0,13.0,5.0,6.0,4.0,134.0,6.0,9.0,1.0,12.0,8.0,98.0,117.0,55.0,17.0,9.0,2.0,,1.0,2.0,1.0,31.0,23.0,4.0,7.0,6.0,15.0,32.0,178.0,0.0,123.0,3.0,1.0,,1.0,,103.0,41.0,9.0,71.0,2.0,3.0,25.0,7.0,111.0,2.0,13.0,99.0,593.0,10.0,5.0,15.0,24.0,9.0,5.0,1.0,0.0,4.0,3.0,18.0,61.0,999,7.0,179.0,2.0,17.0,188.0,10.0,27.0,2.0,8.0,11.0,3.0,4.0,70.0,351.0,8.0,4.0,,17.0,74.0,2.0,,0.0,,6.0,3.0,3.0,2.0,0.0,4.0,,2.0,54.6,14.0,2.0,1.0,8.0,4.0,51.0,7.0,,402.0,10.0,8.0,22.0,5.0,15.0,2.0,5.0,245.0,8.0,14.0,9.0,94.0,14.0,1.0,2.0,29.0,3.0,12.0,3.0,12.0,1.0,7.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,1.0,3.0,1.0,1.0,3.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,2.0,,,2.0,,,,,,,,,,,,
