gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,saves,attLfGoal,accuratePullBack,attOboxTarget,attOboxGoal,midfielderGoals,interceptionsInBox,attGoalHighCentre,attMissHighLeft,accurateThroughBall,attRfGoal,totalThroughBall,attGoalHighLeft,savedIbox,accurateFlickOn,shieldBallOop,possWonAtt3rd,goalsConcededIbox,errorLeadToGoal,handBall,attRfTarget,cleanSheet,goodHighClaim,attSvHighCentre,totalHighClaim,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attCmissRight,attOneOnOne,attMissHighRight,attSvHighRight,contentiousDecision,attCmissHigh,defenderGoals,attSvLowRight,attCmissLeft,accurateFreekickCross,attSetpiece,attSvLowLeft,errorLeadToShot,attGoalLowRight,attFreekickTotal,freekickTotal,attSvHighLeft,attFreekickPost,attPostLeft,sixYardBlock,attOboxPost,foulThrowIn,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,clearanceOffLine,ptsGainedLosingPos,attLgCentre,attCmissHighRight,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,penaltyWon,attPenGoal,attFreekickMiss,attFreekickTarget,secondYellow
28,855450,2017-04-26 19:45:00,"Riverside Stadium, Middlesbrough",30742,Home,Middlesbrough,Sunderland,1,0,W,1,0,0,0,,1.0,67.0,,34.0,32.0,4.0,4.0,2.0,167.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,65.0,168.0,55.0,6.0,1.0,39.0,1.0,,,,1.0,1.0,1.0,18.0,,8.0,32.0,2.0,10.0,38.0,160.0,0.0,114.0,15.0,2.0,1.0,52.0,67.0,1.0,70.0,,16.0,16.0,4.0,2.0,3.0,168.0,1.0,4.0,95.0,577.0,2.0,12.0,8.0,,,14.0,262.0,31.0,11.0,20.0,1.0,,3.0,2.0,2.0,23.0,365.0,55.0,83312,1.0,125.0,1.0,13.0,160.0,9.0,,16.0,7.0,77.0,1.0,4.0,1.0,14.0,6.0,2.0,1.0,82.0,282.0,10.0,9.0,,38.0,1.0,85.0,,0.0,3.0,5.0,1.0,,0.0,3.0,1.0,,48.9,18.0,,1.0,4.0,1.0,43.0,3.0,397.0,14.0,12.0,22.0,3.0,,27.0,,,255.0,2.0,8.0,28.0,71.0,18.0,,1.0,20.0,13.0,,4.0,2.0,8.0,,1.0,6.0,3.0,1.0,2.0,4.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,2.0,3.0,,6.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
29,855456,2017-03-19 12:00:00,"Riverside Stadium, Middlesbrough",32689,Home,Middlesbrough,Manchester United,1,3,L,0,1,0,0,1.0,1.0,59.0,3.0,38.0,11.0,1.0,3.0,9.0,183.0,1.0,9.0,14.0,1.0,1.0,7.0,3.0,137.0,148.0,57.0,10.0,,22.0,2.0,,,,,1.0,2.0,38.0,,12.0,11.0,7.0,16.0,47.0,258.0,0.0,156.0,9.0,1.0,2.0,88.0,78.0,5.0,86.0,1.0,31.0,13.0,1.0,14.0,1.0,148.0,,9.0,149.0,727.0,7.0,3.0,27.0,,,11.0,443.0,22.0,3.0,6.0,,,1.0,4.0,2.0,22.0,535.0,74.0,83312,6.0,211.0,,15.0,225.0,5.0,,13.0,8.0,57.0,,2.0,1.0,7.0,5.0,6.0,1.0,66.0,460.0,8.0,12.0,,14.0,,86.0,,0.0,,3.0,1.0,3.0,0.0,9.0,,3.0,63.9,20.0,2.0,1.0,2.0,3.0,59.0,8.0,555.0,11.0,12.0,28.0,4.0,,49.0,,3.0,368.0,3.0,15.0,19.0,99.0,29.0,,,6.0,16.0,,9.0,2.0,17.0,,,6.0,8.0,,,3.0,,,,,,4.0,,,1.0,1.0,2.0,,3.0,1.0,1.0,6.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,855470,2017-04-02 13:30:00,"Swansea.com Stadium, Swansea",20354,Away,Middlesbrough,Swansea City,0,0,D,0,0,0,0,,,61.0,2.0,35.0,35.0,2.0,4.0,6.0,151.0,,3.0,19.0,,,7.0,1.0,75.0,135.0,69.0,8.0,1.0,23.0,1.0,1.0,,1.0,,1.0,2.0,14.0,,13.0,35.0,3.0,10.0,35.0,134.0,0.0,85.0,16.0,2.0,,41.0,33.0,4.0,62.0,1.0,11.0,9.0,2.0,3.0,1.0,135.0,1.0,6.0,70.0,552.0,7.0,15.0,13.0,,,13.0,243.0,31.0,14.0,18.0,,2.0,3.0,6.0,3.0,14.0,329.0,51.0,83312,3.0,128.0,1.0,8.0,152.0,10.0,,9.0,10.0,54.0,,2.0,,15.0,9.0,4.0,1.0,73.0,259.0,9.0,10.0,,30.0,,82.0,3.0,0.0,1.0,11.0,,,0.0,3.0,,1.0,44.3,13.0,1.0,,2.0,3.0,47.0,3.0,358.0,13.0,5.0,20.0,4.0,,21.0,,3.0,220.0,3.0,9.0,23.0,45.0,16.0,,7.0,18.0,19.0,,8.0,2.0,21.0,,7.0,6.0,3.0,1.0,3.0,3.0,,,,,,2.0,,,1.0,,2.0,,,6.0,1.0,1.0,,,2.0,,1.0,4.0,,4.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,855474,2017-04-05 19:45:00,"The MKM Stadium, Hull",20380,Away,Middlesbrough,Hull City,2,4,L,2,3,0,0,,2.0,52.0,1.0,45.0,16.0,5.0,3.0,7.0,158.0,,6.0,10.0,2.0,1.0,11.0,4.0,103.0,154.0,74.0,12.0,3.0,19.0,2.0,1.0,,1.0,1.0,1.0,2.0,26.0,,12.0,16.0,4.0,5.0,46.0,161.0,0.0,117.0,12.0,1.0,1.0,50.0,52.0,7.0,65.0,1.0,22.0,11.0,5.0,9.0,2.0,154.0,2.0,15.0,107.0,622.0,9.0,14.0,17.0,1.0,1.0,17.0,306.0,17.0,11.0,8.0,2.0,1.0,1.0,5.0,4.0,24.0,404.0,73.0,90263,4.0,171.0,,12.0,195.0,7.0,,11.0,9.0,48.0,1.0,5.0,1.0,12.0,2.0,6.0,,88.0,326.0,12.0,12.0,,33.0,1.0,89.0,,0.0,1.0,8.0,2.0,4.0,0.0,4.0,,3.0,52.2,17.0,1.0,,5.0,4.0,47.0,4.0,433.0,17.0,6.0,23.0,4.0,,29.0,2.0,2.0,264.0,6.0,3.0,35.0,63.0,26.0,1.0,8.0,8.0,17.0,1.0,11.0,3.0,10.0,3.0,8.0,8.0,4.0,,,1.0,1.0,,,,1.0,3.0,,,,,,1.0,1.0,3.0,1.0,3.0,4.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
32,855486,2017-04-08 15:00:00,"Riverside Stadium, Middlesbrough",29547,Home,Middlesbrough,Burnley,0,0,D,0,0,0,0,,,61.0,1.0,45.0,25.0,5.0,6.0,8.0,152.0,,7.0,8.0,,2.0,8.0,5.0,114.0,134.0,60.0,13.0,2.0,17.0,4.0,1.0,,,,1.0,3.0,26.0,,10.0,25.0,3.0,18.0,36.0,160.0,0.0,101.0,9.0,,1.0,44.0,54.0,5.0,66.0,1.0,23.0,14.0,5.0,9.0,2.0,134.0,,5.0,119.0,635.0,6.0,11.0,15.0,2.0,,9.0,357.0,28.0,14.0,16.0,,,0.0,,3.0,21.0,424.0,66.0,83312,6.0,219.0,,13.0,240.0,4.0,1.0,14.0,9.0,45.0,2.0,4.0,,14.0,2.0,5.0,,85.0,372.0,12.0,5.0,2.0,40.0,5.0,75.0,,0.0,2.0,3.0,,,0.0,6.0,,5.0,57.3,19.0,3.0,,4.0,3.0,42.0,4.0,451.0,9.0,13.0,28.0,5.0,,29.0,1.0,3.0,237.0,2.0,16.0,30.0,71.0,23.0,,4.0,16.0,12.0,,5.0,3.0,11.0,,4.0,6.0,4.0,3.0,,2.0,,1.0,1.0,,,,,,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,3.0,1.0,3.0,,,,,,1.0,,1.0,,,,,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
33,855495,2017-04-17 20:00:00,"Riverside Stadium, Middlesbrough",31298,Home,Middlesbrough,Arsenal,1,2,L,0,1,0,0,1.0,1.0,59.0,1.0,32.0,20.0,3.0,7.0,9.0,145.0,,5.0,13.0,1.0,4.0,8.0,5.0,64.0,148.0,69.0,13.0,1.0,25.0,4.0,1.0,,1.0,1.0,1.0,2.0,22.0,,13.0,20.0,2.0,13.0,42.0,118.0,0.0,84.0,11.0,1.0,4.0,36.0,57.0,5.0,43.0,1.0,20.0,15.0,4.0,8.0,3.0,148.0,2.0,7.0,56.0,514.0,5.0,9.0,23.0,2.0,,14.0,201.0,28.0,11.0,10.0,1.0,1.0,2.0,4.0,3.0,20.0,279.0,50.0,83312,6.0,103.0,1.0,8.0,121.0,6.0,,15.0,12.0,62.0,3.0,1.0,1.0,13.0,5.0,6.0,1.0,70.0,216.0,15.0,8.0,2.0,24.0,2.0,65.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,3.0,35.2,18.0,1.0,,1.0,2.0,34.0,2.0,308.0,14.0,14.0,16.0,6.0,,32.0,1.0,3.0,209.0,3.0,12.0,24.0,50.0,23.0,1.0,4.0,10.0,18.0,,5.0,3.0,18.0,,4.0,9.0,2.0,2.0,,2.0,1.0,,,,,5.0,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,2.0,,,,,1.0,,2.0,5.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,
34,855502,2017-04-22 15:00:00,"Vitality Stadium, Bournemouth",10890,Away,Middlesbrough,Bournemouth,0,4,L,0,2,1,0,,,48.0,,38.0,31.0,4.0,2.0,1.0,106.0,,2.0,7.0,,,5.0,2.0,64.0,105.0,45.0,5.0,,12.0,,,,,,1.0,2.0,11.0,,13.0,31.0,3.0,10.0,26.0,88.0,0.0,53.0,14.0,2.0,,25.0,39.0,2.0,48.0,,8.0,10.0,4.0,3.0,2.0,105.0,,11.0,58.0,457.0,4.0,12.0,6.0,,,17.0,200.0,28.0,15.0,14.0,,,2.0,3.0,3.0,21.0,251.0,29.0,83312,,129.0,,5.0,145.0,9.0,,10.0,11.0,61.0,2.0,5.0,,7.0,10.0,8.0,1.0,63.0,215.0,4.0,14.0,1.0,27.0,2.0,60.0,,0.0,2.0,4.0,,4.0,1.0,,,1.0,31.9,19.0,1.0,,5.0,,36.0,3.0,276.0,17.0,12.0,15.0,3.0,,12.0,2.0,1.0,142.0,2.0,8.0,14.0,30.0,10.0,,1.0,14.0,20.0,,3.0,3.0,17.0,,1.0,7.0,3.0,1.0,4.0,6.0,,,2.0,,,,,,1.0,,2.0,,2.0,6.0,,1.0,4.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
35,855515,2017-04-30 14:05:00,"Riverside Stadium, Middlesbrough",29763,Home,Middlesbrough,Manchester City,2,2,D,1,0,0,0,,1.0,52.0,2.0,23.0,46.0,7.0,9.0,7.0,116.0,,1.0,11.0,2.0,2.0,8.0,6.0,44.0,120.0,48.0,14.0,,17.0,1.0,2.0,,,1.0,2.0,,15.0,,10.0,46.0,4.0,10.0,20.0,105.0,0.0,77.0,9.0,,1.0,35.0,59.0,5.0,35.0,3.0,11.0,7.0,7.0,7.0,4.0,120.0,,14.0,61.0,443.0,6.0,8.0,22.0,,,13.0,162.0,25.0,5.0,22.0,1.0,,4.0,7.0,3.0,13.0,227.0,37.0,83312,3.0,70.0,,3.0,81.0,6.0,1.0,7.0,11.0,50.0,1.0,2.0,1.0,9.0,8.0,4.0,,64.0,174.0,9.0,14.0,1.0,26.0,1.0,63.0,,0.0,1.0,11.0,2.0,2.0,0.0,,,,31.9,10.0,,1.0,2.0,2.0,24.0,4.0,256.0,13.0,7.0,11.0,6.0,,23.0,1.0,2.0,190.0,5.0,7.0,14.0,42.0,16.0,1.0,2.0,22.0,15.0,,8.0,2.0,14.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,,3.0,,,3.0,1.0,2.0,,,,,1.0,4.0,,2.0,2.0,,,2.0,,2.0,,2.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,4.0,2.0,,,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,
36,855525,2017-05-08 20:00:00,"Stamford Bridge, London",41500,Away,Middlesbrough,Chelsea,0,3,L,0,2,0,0,,,52.0,1.0,41.0,24.0,1.0,,1.0,128.0,,1.0,6.0,,2.0,1.0,1.0,110.0,117.0,39.0,2.0,,7.0,,,,1.0,,,,8.0,,9.0,24.0,1.0,27.0,48.0,195.0,0.0,97.0,21.0,3.0,,46.0,69.0,1.0,84.0,,7.0,16.0,1.0,6.0,,117.0,,13.0,144.0,620.0,1.0,6.0,6.0,,,12.0,374.0,26.0,2.0,8.0,,1.0,2.0,3.0,,16.0,441.0,59.0,83312,1.0,199.0,,1.0,214.0,12.0,,16.0,13.0,53.0,2.0,6.0,,15.0,8.0,9.0,,69.0,393.0,8.0,14.0,,15.0,,74.0,,0.0,1.0,8.0,,3.0,0.0,1.0,,,42.9,11.0,,,6.0,1.0,43.0,1.0,466.0,12.0,6.0,30.0,,,20.0,,,260.0,2.0,23.0,12.0,63.0,16.0,,,8.0,13.0,,2.0,3.0,14.0,,,10.0,1.0,,1.0,4.0,,,1.0,,,2.0,,,,,1.0,,3.0,,,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,855536,2017-05-13 15:00:00,"Riverside Stadium, Middlesbrough",28203,Home,Middlesbrough,Southampton,1,2,L,0,1,0,0,,1.0,62.0,3.0,26.0,14.0,6.0,7.0,8.0,134.0,,8.0,10.0,1.0,2.0,13.0,3.0,77.0,129.0,51.0,14.0,3.0,27.0,1.0,,,1.0,,1.0,,20.0,,7.0,14.0,6.0,13.0,41.0,166.0,0.0,114.0,19.0,,1.0,44.0,51.0,8.0,53.0,3.0,14.0,18.0,6.0,8.0,2.0,129.0,2.0,10.0,103.0,531.0,10.0,4.0,21.0,1.0,,10.0,269.0,24.0,3.0,6.0,1.0,2.0,3.0,4.0,5.0,15.0,340.0,55.0,83312,6.0,123.0,1.0,5.0,146.0,11.0,1.0,18.0,11.0,60.0,2.0,3.0,,12.0,4.0,3.0,2.0,66.0,281.0,9.0,5.0,2.0,19.0,3.0,61.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,5.0,1.0,5.0,41.8,12.0,2.0,1.0,3.0,6.0,35.0,6.0,367.0,10.0,8.0,21.0,5.0,,34.0,3.0,3.0,241.0,2.0,12.0,21.0,76.0,28.0,1.0,3.0,6.0,11.0,1.0,8.0,2.0,14.0,,3.0,9.0,6.0,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
38,855547,2017-05-21 15:00:00,"Anfield, Liverpool",53191,Away,Middlesbrough,Liverpool,0,3,L,0,1,0,0,1.0,,54.0,1.0,29.0,30.0,3.0,2.0,6.0,125.0,,3.0,6.0,,2.0,5.0,3.0,51.0,116.0,54.0,9.0,2.0,10.0,2.0,,,,,1.0,,10.0,,9.0,30.0,3.0,8.0,41.0,96.0,0.0,90.0,8.0,3.0,1.0,29.0,39.0,2.0,35.0,3.0,7.0,14.0,3.0,4.0,,116.0,2.0,12.0,49.0,434.0,4.0,13.0,12.0,1.0,,16.0,153.0,28.0,5.0,19.0,,,1.0,6.0,3.0,12.0,225.0,61.0,83312,6.0,81.0,2.0,2.0,102.0,6.0,,14.0,13.0,40.0,,6.0,,5.0,13.0,10.0,,68.0,174.0,13.0,8.0,1.0,23.0,,67.0,,0.0,1.0,3.0,,3.0,0.0,3.0,,3.0,26.2,9.0,2.0,,6.0,3.0,33.0,3.0,260.0,16.0,10.0,16.0,3.0,,22.0,,3.0,168.0,4.0,6.0,21.0,44.0,9.0,,,19.0,15.0,,6.0,2.0,10.0,,,7.0,3.0,,6.0,7.0,,,1.0,,,2.0,,,1.0,,2.0,,1.0,5.0,1.0,,2.0,,,2.0,,2.0,,2.0,,,,2.0,,,,1.0,,,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
