gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,attRfTarget,attPenTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attOboxGoal,penaltyWon,totalFastbreak,attSvLowLeft,freekickCross,interceptionsInBox,attHdTarget,totalKeeperSweeper,accurateFreekickCross,totalPullBack,attCmissHigh,attAssistSetplay,attFastbreak,attCmissLeft,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,goalsConcededIbox,accuratePullBack,attSvHighLeft,attObxdRight,hitWoodwork,attPenGoal,attGoalHighLeft,punches,attGoalLowCentre,postScoringAtt,goalFastbreak,defenderGoals,attOboxPost,attPostRight,attHdGoal,goalsConcededObox,goalAssistDeadball,attIboxPost,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,foulThrowIn,attPostLeft,attHdPost,attMissHighLeft,ownGoals,attSvLowRight,attFreekickTarget,attIboxOwnGoal,errorLeadToGoal,attPostHigh,attGoalHighCentre,shieldBallOop,sixYardBlock,attPenMiss,attObxRight,clearanceOffLine,secondYellow,attCmissHighRight,attFreekickGoal
28,321935,2011-02-26 15:00:00,"DW Stadium, Wigan",18140,Away,Manchester United,Wigan Athletic,4,0,W,1,0,0,0,,4.0,66.0,3.0,1.0,1.0,2.0,32.0,29.0,4.0,6.0,1.0,156.0,5.0,12.0,4.0,2.0,13.0,1.0,8.0,116.0,160.0,60.0,2.0,18.0,1.0,18.0,4.0,4.0,4.0,1.0,1.0,18.0,18.0,18.0,3.0,21.0,29.0,165.0,1.0,1.0,0.0,103.0,11.0,2.0,,1.0,55.0,61.0,9.0,53.0,3.0,15.0,2.0,2.0,3.0,149.0,4.0,8.0,108.0,648.0,9.0,9.0,20.0,33.0,8.0,17.0,4.0,1.0,2.0,4.0,22.0,55.0,3.0,2.0,8595,6.0,181.0,1.0,13.0,,202.0,3.0,9.0,60.0,6.0,1.0,2.0,4.0,13.0,3.0,4.0,1.0,52.0,341.0,13.0,10.0,28.0,83.0,0.0,1.0,8.0,3.0,4.0,2.0,0.0,5.0,4.0,52.0,19.0,1.0,2.0,2.0,3.0,47.0,3.0,1.0,433.0,15.0,2.0,12.0,17.0,7.0,9.0,3.0,249.0,10.0,18.0,6.0,63.0,26.0,3.0,3.0,9.0,29.0,15.0,3.0,21.0,3.0,3.0,,,3.0,,,1.0,,,,,,2.0,1.0,,,1.0,,,3.0,,,1.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,
29,321942,2011-03-06 13:30:00,"Anfield, Liverpool",44753,Away,Manchester United,Liverpool,1,3,L,0,2,0,0,,1.0,58.0,1.0,,1.0,2.0,45.0,27.0,4.0,3.0,,169.0,7.0,5.0,1.0,4.0,9.0,1.0,3.0,133.0,173.0,48.0,2.0,13.0,2.0,14.0,2.0,1.0,1.0,1.0,,28.0,15.0,12.0,4.0,15.0,45.0,234.0,1.0,,0.0,154.0,13.0,2.0,,,68.0,81.0,5.0,53.0,1.0,24.0,2.0,11.0,1.0,158.0,1.0,8.0,145.0,699.0,6.0,6.0,7.0,23.0,7.0,15.0,1.0,3.0,2.0,4.0,19.0,71.0,1.0,,8595,5.0,181.0,1.0,11.0,1.0,208.0,,9.0,61.0,1.0,3.0,7.0,1.0,12.0,8.0,4.0,2.0,64.0,408.0,12.0,11.0,17.0,86.0,0.0,,6.0,2.0,1.0,2.0,0.0,4.0,1.0,57.6,18.0,1.0,1.0,7.0,4.0,53.0,4.0,,500.0,4.0,1.0,18.0,31.0,6.0,22.0,4.0,320.0,6.0,11.0,11.0,111.0,25.0,1.0,4.0,4.0,20.0,7.0,3.0,11.0,4.0,4.0,1.0,,1.0,,,,1.0,,,,,,1.0,2.0,,1.0,1.0,,,2.0,2.0,,,3.0,3.0,1.0,,3.0,3.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,,,,1.0,,,,,,
30,321951,2011-03-19 15:00:00,"Old Trafford, Manchester",75486,Home,Manchester United,Bolton Wanderers,1,0,W,0,0,1,0,1.0,,67.0,1.0,,1.0,3.0,21.0,28.0,8.0,2.0,,178.0,7.0,7.0,1.0,1.0,13.0,2.0,6.0,123.0,218.0,46.0,,16.0,,27.0,1.0,1.0,,2.0,2.0,28.0,13.0,16.0,8.0,13.0,39.0,209.0,1.0,1.0,0.0,185.0,9.0,,,,69.0,69.0,7.0,58.0,3.0,20.0,,6.0,4.0,206.0,,5.0,96.0,689.0,13.0,9.0,19.0,23.0,8.0,14.0,,0.0,4.0,6.0,30.0,79.0,1.0,,8595,6.0,126.0,,14.0,,145.0,1.0,9.0,72.0,6.0,4.0,4.0,1.0,9.0,8.0,3.0,1.0,57.0,328.0,11.0,1.0,32.0,99.0,0.0,,5.0,1.0,1.0,2.0,1.0,6.0,,57.5,26.0,5.0,1.0,4.0,3.0,39.0,12.0,,455.0,15.0,,20.0,13.0,7.0,24.0,3.0,338.0,14.0,11.0,11.0,118.0,31.0,1.0,7.0,9.0,17.0,13.0,2.0,22.0,7.0,12.0,,,4.0,,,,1.0,4.0,,,,,2.0,,1.0,,1.0,,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
31,321965,2011-04-02 12:45:00,"Boleyn Ground, London",34546,Away,Manchester United,West Ham United,4,2,W,0,2,0,0,2.0,1.0,61.0,1.0,1.0,1.0,2.0,21.0,39.0,10.0,3.0,,184.0,12.0,11.0,4.0,,18.0,,8.0,138.0,181.0,54.0,2.0,23.0,4.0,7.0,3.0,2.0,1.0,,,43.0,12.0,22.0,10.0,9.0,39.0,290.0,2.0,,0.0,210.0,10.0,,,2.0,55.0,95.0,9.0,67.0,,33.0,2.0,7.0,4.0,164.0,,4.0,152.0,771.0,12.0,10.0,18.0,24.0,3.0,24.0,1.0,2.0,3.0,9.0,17.0,78.0,1.0,,8595,7.0,163.0,1.0,26.0,,182.0,4.0,6.0,39.0,5.0,1.0,7.0,,7.0,6.0,2.0,4.0,38.0,441.0,10.0,2.0,17.0,83.0,0.0,,,,3.0,3.0,0.0,6.0,,66.0,17.0,6.0,1.0,7.0,6.0,48.0,16.0,3.0,541.0,14.0,,13.0,20.0,9.0,24.0,5.0,402.0,17.0,9.0,18.0,157.0,23.0,4.0,2.0,14.0,15.0,,3.0,19.0,2.0,16.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,1.0,,,,,5.0,,,2.0,3.0,2.0,,6.0,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,2.0,2.0,2.0,,,,3.0,,1.0,,,,,,,,,,,,,1.0
32,321973,2011-04-09 15:00:00,"Old Trafford, Manchester",75339,Home,Manchester United,Fulham,2,0,W,2,0,0,0,3.0,2.0,65.0,,1.0,2.0,4.0,36.0,20.0,7.0,4.0,,152.0,7.0,16.0,2.0,3.0,13.0,,8.0,138.0,146.0,45.0,,19.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,18.0,8.0,11.0,6.0,21.0,25.0,200.0,1.0,1.0,0.0,136.0,12.0,2.0,1.0,2.0,57.0,80.0,9.0,55.0,3.0,12.0,,2.0,2.0,137.0,3.0,2.0,127.0,670.0,10.0,4.0,13.0,32.0,3.0,13.0,1.0,0.0,3.0,4.0,23.0,58.0,1.0,,8595,6.0,200.0,2.0,9.0,1.0,220.0,1.0,13.0,46.0,7.0,3.0,6.0,2.0,9.0,10.0,1.0,1.0,57.0,393.0,8.0,7.0,22.0,89.0,0.0,1.0,3.0,,2.0,1.0,0.0,1.0,1.0,47.8,21.0,1.0,1.0,6.0,5.0,50.0,7.0,3.0,472.0,11.0,,13.0,16.0,6.0,15.0,4.0,270.0,12.0,20.0,9.0,94.0,21.0,1.0,1.0,6.0,12.0,12.0,3.0,23.0,1.0,7.0,,,3.0,,,4.0,1.0,4.0,,,,4.0,2.0,1.0,,,1.0,,1.0,,2.0,4.0,1.0,,1.0,,,6.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,
33,321982,2011-04-19 19:45:00,"St. James' Park, Newcastle",49025,Away,Manchester United,Newcastle United,0,0,D,0,0,0,0,,,50.0,,,2.0,1.0,34.0,31.0,9.0,6.0,,157.0,5.0,9.0,,2.0,15.0,1.0,5.0,140.0,151.0,58.0,2.0,19.0,3.0,13.0,4.0,3.0,,2.0,3.0,26.0,14.0,17.0,6.0,17.0,36.0,219.0,2.0,1.0,0.0,150.0,11.0,,,1.0,50.0,83.0,7.0,49.0,3.0,20.0,2.0,9.0,5.0,137.0,1.0,7.0,124.0,669.0,14.0,10.0,14.0,18.0,6.0,19.0,,2.0,2.0,8.0,18.0,68.0,,,55909,5.0,175.0,2.0,11.0,,197.0,,11.0,46.0,5.0,2.0,4.0,,12.0,5.0,6.0,1.0,53.0,389.0,9.0,10.0,20.0,73.0,0.0,1.0,6.0,1.0,,5.0,0.0,4.0,,59.4,16.0,,1.0,4.0,4.0,43.0,7.0,1.0,470.0,11.0,,10.0,18.0,10.0,22.0,5.0,299.0,10.0,16.0,19.0,113.0,24.0,,2.0,11.0,21.0,16.0,2.0,12.0,2.0,8.0,,,3.0,,,1.0,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,
34,321993,2011-04-23 12:45:00,"Old Trafford, Manchester",75300,Home,Manchester United,Everton,1,0,W,0,0,0,0,1.0,1.0,66.0,1.0,,2.0,2.0,49.0,19.0,10.0,2.0,,184.0,6.0,6.0,1.0,3.0,16.0,,6.0,138.0,184.0,47.0,1.0,21.0,4.0,18.0,4.0,1.0,1.0,1.0,4.0,45.0,13.0,5.0,7.0,18.0,42.0,255.0,,1.0,0.0,194.0,10.0,1.0,,1.0,89.0,79.0,9.0,54.0,2.0,38.0,1.0,9.0,5.0,170.0,4.0,1.0,149.0,729.0,12.0,8.0,17.0,24.0,5.0,14.0,1.0,1.0,,7.0,18.0,78.0,2.0,,54772,5.0,177.0,3.0,28.0,1.0,197.0,,4.0,43.0,8.0,2.0,6.0,1.0,11.0,4.0,2.0,2.0,83.0,426.0,9.0,1.0,26.0,78.0,0.0,,1.0,1.0,1.0,1.0,0.0,4.0,1.0,59.1,16.0,3.0,3.0,6.0,6.0,42.0,13.0,1.0,526.0,15.0,,12.0,20.0,9.0,36.0,4.0,374.0,15.0,17.0,17.0,140.0,29.0,1.0,3.0,3.0,15.0,13.0,3.0,8.0,3.0,13.0,,,3.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,2.0,,3.0,,,,4.0,2.0,,2.0,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
35,321997,2011-05-01 14:05:00,"Emirates Stadium, London",60107,Away,Manchester United,Arsenal,0,1,L,0,0,0,0,2.0,,66.0,,,1.0,1.0,30.0,23.0,7.0,5.0,,138.0,2.0,6.0,,,6.0,,4.0,111.0,167.0,57.0,4.0,12.0,2.0,18.0,1.0,,,,3.0,23.0,18.0,14.0,4.0,12.0,37.0,132.0,,,0.0,116.0,8.0,,,1.0,38.0,60.0,3.0,39.0,1.0,19.0,4.0,4.0,2.0,158.0,,6.0,88.0,580.0,3.0,11.0,9.0,27.0,5.0,14.0,,3.0,2.0,3.0,26.0,63.0,,1.0,8595,2.0,158.0,,12.0,1.0,171.0,,9.0,55.0,5.0,4.0,8.0,,9.0,4.0,5.0,,52.0,288.0,15.0,8.0,23.0,75.0,0.0,5.0,3.0,,,4.0,0.0,,,45.1,21.0,,2.0,8.0,3.0,33.0,6.0,1.0,376.0,7.0,1.0,16.0,17.0,5.0,24.0,3.0,228.0,5.0,12.0,11.0,70.0,29.0,,5.0,10.0,25.0,,3.0,12.0,5.0,6.0,1.0,,2.0,,,1.0,,3.0,,,,,3.0,,2.0,,,,1.0,,3.0,1.0,3.0,1.0,2.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,
36,322011,2011-05-08 16:10:00,"Old Trafford, Manchester",75445,Home,Manchester United,Chelsea,2,1,W,2,0,0,0,,2.0,60.0,1.0,,4.0,2.0,26.0,26.0,5.0,1.0,,130.0,5.0,12.0,2.0,4.0,13.0,,5.0,78.0,155.0,63.0,,13.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,17.0,25.0,15.0,2.0,12.0,34.0,163.0,,,0.0,130.0,13.0,3.0,,,51.0,66.0,8.0,67.0,1.0,15.0,,5.0,3.0,144.0,6.0,10.0,92.0,573.0,11.0,4.0,13.0,25.0,3.0,22.0,2.0,2.0,4.0,5.0,16.0,62.0,,,8595,4.0,121.0,4.0,9.0,1.0,135.0,1.0,9.0,51.0,2.0,3.0,,1.0,11.0,10.0,3.0,2.0,70.0,279.0,14.0,9.0,31.0,86.0,0.0,2.0,2.0,2.0,2.0,,0.0,5.0,2.0,47.4,13.0,4.0,,,3.0,31.0,7.0,,367.0,10.0,,12.0,16.0,5.0,10.0,2.0,249.0,10.0,11.0,5.0,83.0,21.0,1.0,2.0,13.0,32.0,10.0,2.0,19.0,2.0,7.0,,1.0,3.0,,1.0,1.0,,2.0,,,,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
37,322019,2011-05-14 12:45:00,"Ewood Park, Blackburn",29867,Away,Manchester United,Blackburn Rovers,1,1,D,0,1,0,0,1.0,1.0,40.0,1.0,,1.0,2.0,80.0,22.0,6.0,1.0,,166.0,4.0,3.0,1.0,1.0,9.0,,2.0,221.0,156.0,35.0,,12.0,3.0,11.0,,,,,2.0,29.0,16.0,9.0,6.0,18.0,32.0,297.0,1.0,,0.0,181.0,11.0,,,1.0,92.0,98.0,5.0,80.0,,23.0,,4.0,2.0,143.0,2.0,5.0,252.0,891.0,7.0,2.0,12.0,17.0,4.0,12.0,,0.0,,4.0,33.0,70.0,1.0,,8595,3.0,339.0,2.0,19.0,,361.0,1.0,6.0,39.0,3.0,1.0,3.0,,8.0,1.0,4.0,1.0,101.0,632.0,11.0,2.0,11.0,81.0,0.0,1.0,2.0,,1.0,1.0,0.0,3.0,,75.5,29.0,,1.0,3.0,5.0,56.0,6.0,1.0,719.0,10.0,,9.0,17.0,5.0,19.0,2.0,387.0,9.0,16.0,3.0,138.0,17.0,1.0,,3.0,18.0,9.0,2.0,9.0,,6.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,,,
38,322031,2011-05-22 16:00:00,"Old Trafford, Manchester",75400,Home,Manchester United,Blackpool,4,2,W,1,1,0,0,1.0,2.0,50.0,,2.0,1.0,1.0,47.0,20.0,5.0,4.0,2.0,190.0,8.0,5.0,4.0,1.0,13.0,1.0,7.0,145.0,137.0,35.0,,20.0,3.0,7.0,3.0,2.0,3.0,3.0,4.0,27.0,11.0,15.0,5.0,16.0,49.0,252.0,,,0.0,175.0,9.0,1.0,2.0,,79.0,58.0,7.0,82.0,2.0,22.0,,2.0,1.0,132.0,6.0,8.0,144.0,745.0,6.0,4.0,17.0,27.0,3.0,14.0,3.0,2.0,5.0,6.0,16.0,70.0,2.0,,8595,10.0,240.0,4.0,20.0,2.0,250.0,1.0,11.0,42.0,6.0,3.0,4.0,3.0,10.0,7.0,9.0,3.0,64.0,484.0,6.0,7.0,11.0,79.0,0.0,1.0,8.0,1.0,4.0,3.0,0.0,5.0,3.0,58.5,16.0,2.0,1.0,4.0,4.0,53.0,8.0,,561.0,14.0,,15.0,36.0,9.0,17.0,8.0,338.0,12.0,13.0,9.0,133.0,17.0,1.0,2.0,10.0,15.0,14.0,3.0,9.0,2.0,8.0,,,2.0,,,,1.0,1.0,,,,,,,3.0,1.0,1.0,,,,4.0,,2.0,2.0,4.0,3.0,,3.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
