gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,accuratePullBack,shotFastbreak,attBxRight,accurateKeeperSweeper,goalFastbreak,attMissHighRight,totalFastbreak,attGoalHighCentre,totalKeeperSweeper,errorLeadToShot,totalPullBack,attFastbreak,punches,savedIbox,accurateCrossNocorner,shieldBallOop,attBxLeft,effectiveBlockedCross,attHdGoal,blockedCross,attLfTarget,attPenTarget,postScoringAtt,attIboxPost,penaltyWon,attMissRight,hitWoodwork,attMissHighLeft,attCmissHighLeft,attPenGoal,attGoalHighLeft,attPostHigh,clearanceOffLine,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attObxLeft,freekickCross,interceptionsInBox,accurateFreekickCross,attCmissLeft,attOboxPost,goalsConceded,errorLeadToGoal,attCmissRight,attSvHighRight,attHdPost,attCmissHighRight,attPostRight,attGoalHighRight,defenderGoals,foulThrowIn,attPostLeft,attSvHighLeft,goalsConcededIbox,attObxRight,attObxdRight,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,penaltySave,attLgCentre
28,321928,2011-04-20 19:45:00,"Stamford Bridge, London",40848,Home,Chelsea,Birmingham City,3,1,W,2,0,0,0,,1.0,58.0,,1.0,,2.0,30.0,10.0,7.0,2.0,1.0,2.0,175.0,1.0,10.0,7.0,3.0,3.0,17.0,6.0,144.0,148.0,49.0,1.0,20.0,,7.0,2.0,3.0,1.0,3.0,25.0,7.0,1.0,4.0,7.0,29.0,33.0,242.0,,1.0,0.0,160.0,9.0,1.0,2.0,,,69.0,59.0,7.0,75.0,18.0,1.0,8.0,5.0,142.0,1.0,5.0,154.0,717.0,9.0,5.0,1.0,19.0,25.0,5.0,4.0,3.0,0.0,3.0,10.0,16.0,65.0,,8442,9.0,230.0,,9.0,1.0,1.0,248.0,1.0,6.0,37.0,2.0,8.0,2.0,6.0,3.0,12.0,3.0,2.0,3.0,45.0,462.0,11.0,2.0,5.0,10.0,76.0,2.0,,0.0,,1.0,4.0,2.0,1.0,0.0,1.0,6.0,57.1,13.0,4.0,3.0,,6.0,2.0,48.0,7.0,,548.0,14.0,1.0,8.0,19.0,12.0,26.0,3.0,7.0,325.0,11.0,28.0,17.0,107.0,21.0,1.0,,14.0,15.0,3.0,18.0,7.0,,,1.0,,,1.0,,,,,,,1.0,1.0,7.0,1.0,,2.0,1.0,2.0,,,,,,3.0,,2.0,,,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,
29,321939,2011-03-07 20:00:00,"Bloomfield Road, Blackpool",15584,Away,Chelsea,Blackpool,3,1,W,1,0,0,0,1.0,3.0,72.0,1.0,1.0,2.0,3.0,34.0,31.0,6.0,7.0,,2.0,196.0,1.0,7.0,8.0,3.0,2.0,16.0,9.0,113.0,171.0,44.0,1.0,20.0,3.0,15.0,4.0,1.0,2.0,,25.0,14.0,2.0,14.0,12.0,24.0,30.0,238.0,,,0.0,160.0,9.0,1.0,2.0,2.0,3.0,76.0,55.0,11.0,57.0,14.0,1.0,2.0,1.0,153.0,3.0,8.0,122.0,710.0,10.0,11.0,,21.0,35.0,4.0,20.0,2.0,0.0,2.0,5.0,19.0,77.0,3.0,88821,9.0,173.0,1.0,12.0,1.0,,191.0,2.0,13.0,51.0,,9.0,3.0,3.0,1.0,15.0,7.0,2.0,1.0,53.0,404.0,5.0,7.0,4.0,17.0,84.0,1.0,,0.0,,1.0,3.0,3.0,5.0,0.0,2.0,2.0,56.0,19.0,1.0,2.0,,3.0,6.0,51.0,13.0,3.0,488.0,19.0,,15.0,20.0,5.0,16.0,6.0,4.0,322.0,11.0,21.0,14.0,113.0,27.0,,8.0,17.0,11.0,3.0,14.0,13.0,,1.0,2.0,,,3.0,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
30,321949,2011-03-20 16:00:00,"Stamford Bridge, London",41741,Home,Chelsea,Manchester City,2,0,W,0,0,0,0,,2.0,68.0,1.0,1.0,1.0,4.0,41.0,21.0,10.0,6.0,,1.0,173.0,,6.0,12.0,2.0,6.0,17.0,4.0,134.0,163.0,64.0,1.0,20.0,5.0,12.0,2.0,1.0,1.0,2.0,27.0,20.0,,11.0,3.0,23.0,34.0,241.0,1.0,,0.0,172.0,15.0,1.0,1.0,,3.0,81.0,59.0,12.0,61.0,24.0,1.0,8.0,5.0,152.0,4.0,1.0,126.0,727.0,15.0,12.0,,16.0,38.0,4.0,11.0,2.0,2.0,2.0,5.0,31.0,66.0,,8442,7.0,182.0,2.0,13.0,1.0,1.0,200.0,1.0,3.0,60.0,,2.0,3.0,7.0,1.0,16.0,4.0,,1.0,61.0,417.0,13.0,9.0,,16.0,72.0,,,0.0,,2.0,1.0,2.0,3.0,0.0,1.0,1.0,58.7,25.0,,1.0,,7.0,9.0,43.0,5.0,4.0,494.0,13.0,,19.0,18.0,7.0,29.0,1.0,2.0,321.0,12.0,21.0,12.0,131.0,18.0,,4.0,27.0,17.0,3.0,17.0,5.0,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,,,,5.0,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,3.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
31,321963,2011-04-02 15:00:00,"bet365 Stadium, Stoke",27508,Away,Chelsea,Stoke City,1,1,D,1,1,0,0,,1.0,55.0,,,1.0,3.0,30.0,27.0,16.0,5.0,,3.0,188.0,,7.0,4.0,1.0,2.0,19.0,5.0,111.0,198.0,47.0,,28.0,7.0,15.0,1.0,1.0,,4.0,34.0,11.0,3.0,16.0,11.0,22.0,41.0,257.0,,,0.0,184.0,11.0,3.0,,,1.0,59.0,63.0,11.0,73.0,23.0,,11.0,6.0,187.0,2.0,12.0,97.0,716.0,15.0,6.0,1.0,15.0,21.0,10.0,14.0,1.0,2.0,3.0,8.0,30.0,77.0,3.0,8442,7.0,112.0,1.0,12.0,,1.0,145.0,,11.0,53.0,,14.0,1.0,2.0,1.0,19.0,3.0,3.0,,61.0,362.0,10.0,7.0,3.0,35.0,81.0,1.0,,0.0,,4.0,5.0,1.0,3.0,0.0,1.0,4.0,64.3,29.0,2.0,4.0,2.0,2.0,10.0,38.0,12.0,1.0,469.0,13.0,,12.0,22.0,13.0,34.0,2.0,5.0,358.0,18.0,19.0,16.0,136.0,22.0,1.0,9.0,17.0,19.0,3.0,12.0,12.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,3.0,5.0,3.0,,2.0,1.0,2.0,,,2.0,2.0,,4.0,2.0,2.0,,,1.0,1.0,,,,,,,1.0,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
32,321971,2011-04-09 15:00:00,"Stamford Bridge, London",40734,Home,Chelsea,Wigan Athletic,1,0,W,0,0,0,0,1.0,,71.0,1.0,,2.0,,31.0,12.0,9.0,6.0,1.0,8.0,177.0,,5.0,15.0,1.0,5.0,12.0,10.0,106.0,162.0,66.0,3.0,20.0,2.0,9.0,6.0,,4.0,3.0,34.0,22.0,3.0,5.0,8.0,20.0,31.0,228.0,1.0,,0.0,172.0,12.0,1.0,1.0,,,68.0,56.0,6.0,46.0,26.0,3.0,5.0,4.0,155.0,5.0,6.0,103.0,662.0,11.0,8.0,,12.0,37.0,5.0,7.0,,1.0,7.0,6.0,18.0,83.0,4.0,8442,6.0,132.0,5.0,20.0,,1.0,144.0,,9.0,49.0,,11.0,,7.0,,16.0,8.0,3.0,,47.0,355.0,14.0,5.0,1.0,16.0,76.0,4.0,,0.0,2.0,2.0,5.0,1.0,5.0,0.0,,1.0,52.5,17.0,1.0,4.0,1.0,7.0,2.0,48.0,10.0,,432.0,11.0,1.0,14.0,19.0,8.0,22.0,3.0,4.0,322.0,13.0,17.0,7.0,125.0,20.0,,4.0,30.0,13.0,3.0,25.0,10.0,2.0,2.0,1.0,2.0,,1.0,2.0,,2.0,,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,,2.0,1.0,,,,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,321984,2011-04-16 15:00:00,"The Hawthorns, West Bromwich",25163,Away,Chelsea,West Bromwich Albion,3,1,W,3,1,0,0,,1.0,78.0,1.0,1.0,,2.0,48.0,9.0,5.0,7.0,1.0,2.0,164.0,1.0,8.0,2.0,3.0,3.0,14.0,8.0,181.0,130.0,39.0,1.0,21.0,,4.0,3.0,1.0,1.0,6.0,28.0,18.0,2.0,6.0,5.0,25.0,36.0,318.0,,,0.0,188.0,9.0,1.0,1.0,2.0,4.0,90.0,52.0,5.0,75.0,23.0,1.0,5.0,4.0,127.0,,8.0,162.0,780.0,11.0,3.0,1.0,25.0,35.0,1.0,4.0,1.0,0.0,4.0,9.0,18.0,89.0,1.0,8442,7.0,206.0,,18.0,,1.0,217.0,2.0,8.0,30.0,1.0,9.0,9.0,8.0,3.0,10.0,6.0,4.0,2.0,63.0,516.0,8.0,4.0,2.0,5.0,69.0,,,0.0,1.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,59.6,17.0,2.0,6.0,1.0,8.0,2.0,54.0,5.0,5.0,582.0,17.0,,8.0,23.0,11.0,27.0,2.0,7.0,393.0,11.0,24.0,6.0,143.0,26.0,2.0,3.0,23.0,17.0,3.0,7.0,5.0,,1.0,1.0,,1.0,1.0,2.0,,,,3.0,1.0,,1.0,6.0,,6.0,1.0,,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,1.0,,3.0,,2.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
34,321991,2011-04-23 17:30:00,"Stamford Bridge, London",41656,Home,Chelsea,West Ham United,3,0,W,1,0,0,0,,2.0,79.0,1.0,,3.0,3.0,27.0,19.0,5.0,4.0,2.0,5.0,188.0,,7.0,7.0,3.0,1.0,17.0,10.0,172.0,134.0,49.0,,20.0,,9.0,4.0,3.0,2.0,3.0,21.0,17.0,3.0,12.0,5.0,30.0,22.0,336.0,1.0,1.0,0.0,172.0,7.0,1.0,2.0,1.0,2.0,69.0,58.0,12.0,70.0,16.0,,5.0,,126.0,5.0,10.0,164.0,786.0,13.0,8.0,1.0,11.0,40.0,4.0,10.0,3.0,1.0,6.0,5.0,11.0,82.0,3.0,8442,9.0,192.0,4.0,10.0,,,205.0,1.0,8.0,42.0,,10.0,4.0,9.0,3.0,9.0,8.0,3.0,1.0,41.0,521.0,12.0,8.0,1.0,15.0,82.0,3.0,,0.0,,3.0,7.0,2.0,2.0,0.0,2.0,1.0,67.5,11.0,,5.0,1.0,9.0,3.0,65.0,5.0,2.0,594.0,8.0,,12.0,13.0,7.0,26.0,3.0,6.0,410.0,15.0,27.0,11.0,121.0,22.0,1.0,5.0,19.0,17.0,3.0,13.0,5.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,3.0,4.0,,3.0,1.0,,2.0,1.0,,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
35,322001,2011-04-30 17:30:00,"Stamford Bridge, London",41681,Home,Chelsea,Tottenham Hotspur,2,1,W,1,1,0,0,,1.0,72.0,1.0,,,3.0,23.0,9.0,9.0,3.0,1.0,6.0,188.0,1.0,8.0,12.0,2.0,4.0,17.0,10.0,129.0,146.0,70.0,2.0,20.0,1.0,4.0,3.0,2.0,2.0,2.0,28.0,26.0,5.0,4.0,5.0,20.0,28.0,275.0,,1.0,0.0,186.0,12.0,,1.0,2.0,1.0,70.0,53.0,12.0,50.0,23.0,2.0,13.0,2.0,141.0,2.0,3.0,106.0,684.0,12.0,4.0,1.0,11.0,27.0,5.0,8.0,2.0,3.0,7.0,5.0,19.0,92.0,,8442,7.0,136.0,2.0,7.0,,2.0,144.0,1.0,6.0,59.0,1.0,7.0,,4.0,2.0,14.0,10.0,3.0,1.0,38.0,403.0,13.0,12.0,3.0,14.0,76.0,,,0.0,2.0,1.0,5.0,1.0,1.0,0.0,,3.0,52.4,17.0,2.0,4.0,3.0,4.0,4.0,53.0,6.0,1.0,473.0,8.0,,19.0,20.0,6.0,35.0,3.0,4.0,357.0,13.0,18.0,10.0,139.0,36.0,1.0,3.0,35.0,11.0,3.0,24.0,6.0,,,,2.0,,2.0,,,2.0,,2.0,,,,5.0,,2.0,2.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
36,322011,2011-05-08 16:10:00,"Old Trafford, Manchester",75445,Away,Chelsea,Manchester United,1,2,L,0,2,0,0,2.0,1.0,61.0,1.0,,2.0,2.0,32.0,21.0,8.0,6.0,1.0,4.0,147.0,,4.0,9.0,1.0,2.0,14.0,7.0,114.0,152.0,51.0,2.0,20.0,2.0,5.0,2.0,1.0,1.0,5.0,18.0,14.0,4.0,10.0,1.0,21.0,32.0,208.0,,,0.0,140.0,16.0,2.0,1.0,1.0,,51.0,43.0,8.0,38.0,17.0,2.0,8.0,4.0,141.0,2.0,7.0,107.0,613.0,12.0,8.0,1.0,11.0,32.0,1.0,18.0,1.0,4.0,4.0,6.0,27.0,73.0,1.0,8442,6.0,136.0,1.0,8.0,,1.0,145.0,,9.0,63.0,1.0,3.0,3.0,3.0,1.0,11.0,6.0,4.0,1.0,53.0,340.0,13.0,12.0,1.0,17.0,75.0,3.0,,0.0,1.0,2.0,7.0,1.0,2.0,0.0,,4.0,52.6,19.0,3.0,3.0,1.0,3.0,4.0,42.0,2.0,,406.0,7.0,1.0,17.0,18.0,9.0,18.0,1.0,5.0,279.0,9.0,20.0,10.0,98.0,23.0,,8.0,19.0,15.0,3.0,24.0,2.0,,,,1.0,,,,,1.0,,,,,1.0,3.0,2.0,1.0,2.0,,2.0,1.0,,,,,3.0,,,,,,,1.0,,,,,1.0,,,3.0,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,2.0
37,322021,2011-05-15 13:30:00,"Stamford Bridge, London",41739,Home,Chelsea,Newcastle United,2,2,D,1,1,0,0,1.0,1.0,58.0,,1.0,2.0,3.0,35.0,20.0,7.0,4.0,,,159.0,1.0,5.0,12.0,2.0,4.0,12.0,2.0,141.0,142.0,56.0,,16.0,3.0,7.0,,,,2.0,27.0,13.0,,13.0,7.0,29.0,32.0,216.0,,,0.0,121.0,18.0,1.0,,,2.0,60.0,60.0,6.0,65.0,20.0,,5.0,5.0,135.0,1.0,5.0,119.0,685.0,9.0,7.0,,14.0,32.0,4.0,12.0,2.0,4.0,6.0,6.0,19.0,69.0,1.0,88821,1.0,201.0,,13.0,1.0,2.0,213.0,1.0,6.0,52.0,,7.0,2.0,6.0,,10.0,11.0,4.0,1.0,51.0,412.0,13.0,5.0,1.0,14.0,72.0,,,0.0,,1.0,4.0,2.0,4.0,0.0,2.0,2.0,64.2,17.0,1.0,3.0,,7.0,6.0,49.0,7.0,3.0,484.0,14.0,,15.0,19.0,8.0,19.0,2.0,3.0,298.0,9.0,26.0,11.0,77.0,16.0,,8.0,20.0,11.0,3.0,20.0,7.0,,,2.0,,,3.0,,,,,1.0,,,,3.0,1.0,,2.0,1.0,2.0,,,,,,2.0,,,,,,,,,2.0,1.0,,2.0,,,1.0,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,1.0
38,322029,2011-05-22 16:00:00,"Goodison Park, Liverpool",38712,Away,Chelsea,Everton,0,1,L,0,0,0,1,,,64.0,,,,,30.0,22.0,14.0,6.0,,2.0,201.0,,4.0,6.0,,1.0,18.0,5.0,145.0,141.0,50.0,,19.0,5.0,9.0,2.0,,,2.0,28.0,11.0,3.0,13.0,3.0,26.0,24.0,266.0,,,0.0,173.0,16.0,1.0,,,2.0,79.0,47.0,9.0,62.0,25.0,,5.0,5.0,131.0,,7.0,129.0,714.0,16.0,6.0,1.0,11.0,35.0,5.0,17.0,,2.0,2.0,9.0,20.0,61.0,,88821,4.0,200.0,,19.0,,1.0,214.0,,9.0,45.0,,3.0,5.0,4.0,,10.0,5.0,6.0,2.0,56.0,462.0,12.0,7.0,2.0,23.0,83.0,3.0,,0.0,,,6.0,,2.0,0.0,,3.0,63.9,19.0,2.0,,1.0,4.0,5.0,54.0,5.0,3.0,537.0,7.0,,9.0,15.0,9.0,20.0,1.0,3.0,351.0,10.0,23.0,15.0,136.0,23.0,,9.0,17.0,16.0,3.0,10.0,5.0,,,,3.0,,3.0,,,3.0,,,,1.0,1.0,3.0,,1.0,2.0,,3.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
