gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,wonCorners,bigChanceScored,attLfGoal,goals,attCmissRight,possLostAll,attSvHighRight,divingSave,midfielderGoals,possLostCtrl,possWonDef3rd,attMissHighLeft,accurateThroughBall,attCmissHigh,totalThroughBall,attMissHigh,attGoalHighLeft,attIboxGoal,possWonAtt3rd,attFreekickMiss,penAreaEntries,accurateCornersIntobox,possWonMid3rd,effectiveBlockedCross,blockedCross,savedObox,fouledFinalThird,postScoringAtt,attIboxPost,freekickCross,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,accurateFreekickCross,bigChanceMissed,sixYardBlock,totalPullBack,attFreekickTarget,shieldBallOop,attPostRight,attOpenplay,goalsConcededObox,attGoalLowLeft,attGoalLowCentre,shotFastbreak,goalAssistOpenplay,goalFastbreak,totalFastbreak,attFreekickPost,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attFastbreak,attOboxPost,attPostHigh,goalAssistIntentional,attObxRight,attHdGoal,accuratePullBack,attPostLeft,errorLeadToShot,attSvLowRight,overrun,cleanSheet,attObxdLeft,goalAssistSetplay,attCmissHighRight,attGoalHighRight,attOboxGoal,attCmissHighLeft,defenderGoals,attFreekickGoal,attObxLeft,forwardGoals,attSvHighLeft,attGoalLowRight,goalAssistDeadball,attHdPost,penaltyConceded,penaltyFaced,penGoalsConceded,secondYellow,ownGoals,attIboxOwnGoal,foulThrowIn,attLgCentre,clearanceOffLine,penaltyWon,attPenGoal,attPenTarget
28,321929,2011-02-26 15:00:00,"Goodison Park, Liverpool",37776,Home,Everton,Sunderland,2,0,W,2,0,0,0,1.0,2.0,69.0,1.0,22.0,46.0,7.0,8.0,2.0,162.0,3.0,10.0,11.0,6.0,85.0,63.0,1.0,17.0,3.0,18.0,2.0,1.0,1.0,1.0,1.0,18.0,16.0,2.0,22.0,2.0,13.0,20.0,166.0,1.0,0.0,145.0,12.0,,,53.0,59.0,6.0,51.0,4.0,16.0,1.0,5.0,2.0,4.0,75.0,592.0,8.0,12.0,7.0,11.0,20.0,1.0,0.0,5.0,5.0,20.0,83.0,9007,6.0,104.0,11.0,,122.0,8.0,49.0,2.0,9.0,16.0,10.0,4.0,57.0,267.0,9.0,6.0,1.0,42.0,101.0,,1.0,0.0,1.0,,,4.0,0.0,2.0,1.0,46.6,13.0,1.0,2.0,,9.0,4.0,43.0,4.0,,373.0,5.0,10.0,12.0,7.0,5.0,269.0,8.0,13.0,21.0,90.0,7.0,23.0,,3.0,14.0,,4.0,2.0,2.0,2.0,1.0,189.0,,1.0,,165.0,25.0,,1.0,,4.0,1.0,,2.0,1.0,,21.0,1.0,27.0,1.0,1.0,4.0,1.0,,,,,2.0,,,,,,1.0,,1.0,,13.0,,1.0,,,2.0,,,,,2.0,,2.0,,,,2.0,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,
29,321944,2011-03-05 15:00:00,"St. James' Park, Newcastle",50128,Away,Everton,Newcastle United,2,1,W,2,1,0,0,1.0,1.0,57.0,4.0,16.0,46.0,5.0,3.0,4.0,137.0,6.0,10.0,16.0,7.0,44.0,57.0,,18.0,2.0,18.0,3.0,2.0,1.0,,1.0,20.0,15.0,2.0,24.0,3.0,10.0,15.0,121.0,,0.0,105.0,16.0,4.0,4.0,45.0,32.0,11.0,35.0,3.0,17.0,,1.0,1.0,9.0,54.0,503.0,12.0,7.0,22.0,6.0,28.0,1.0,4.0,4.0,5.0,20.0,58.0,9007,6.0,70.0,14.0,2.0,92.0,7.0,56.0,2.0,7.0,13.0,4.0,,48.0,185.0,12.0,7.0,2.0,37.0,80.0,1.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,4.0,3.0,40.3,15.0,3.0,,1.0,7.0,6.0,30.0,4.0,4.0,270.0,15.0,11.0,10.0,5.0,4.0,198.0,12.0,8.0,14.0,63.0,11.0,21.0,1.0,3.0,15.0,1.0,4.0,1.0,,2.0,,171.0,,3.0,1.0,146.0,27.0,,,,,1.0,,2.0,2.0,,13.0,2.0,16.0,,3.0,,2.0,,,2.0,2.0,4.0,,,1.0,3.0,2.0,1.0,,,,12.0,,,,4.0,1.0,,4.0,,1.0,2.0,2.0,1.0,4.0,,,2.0,,,,,,,4.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
30,321950,2011-03-19 17:30:00,"Goodison Park, Liverpool",33239,Home,Everton,Fulham,2,1,W,1,0,0,0,,,45.0,3.0,38.0,41.0,6.0,6.0,2.0,144.0,8.0,10.0,10.0,7.0,85.0,66.0,3.0,15.0,3.0,17.0,4.0,,,1.0,,24.0,12.0,1.0,17.0,7.0,9.0,25.0,184.0,,0.0,160.0,15.0,1.0,,72.0,51.0,9.0,49.0,1.0,17.0,3.0,5.0,1.0,4.0,70.0,568.0,6.0,8.0,5.0,23.0,17.0,,2.0,6.0,1.0,24.0,92.0,9007,6.0,83.0,10.0,1.0,98.0,13.0,59.0,1.0,4.0,8.0,10.0,8.0,69.0,259.0,19.0,5.0,2.0,51.0,96.0,,2.0,0.0,5.0,,1.0,2.0,0.0,4.0,4.0,45.1,19.0,,2.0,,4.0,6.0,59.0,7.0,,348.0,4.0,15.0,14.0,2.0,1.0,274.0,5.0,9.0,15.0,103.0,7.0,22.0,,3.0,17.0,,7.0,1.0,,2.0,,170.0,,,,146.0,13.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,18.0,4.0,16.0,1.0,1.0,1.0,5.0,,,2.0,1.0,2.0,3.0,,,1.0,,,,,,9.0,1.0,1.0,,2.0,1.0,,2.0,,,2.0,1.0,1.0,2.0,,,2.0,,1.0,,,,3.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,
31,321959,2011-04-02 15:00:00,"Goodison Park, Liverpool",37619,Home,Everton,Aston Villa,2,2,D,1,0,0,0,,2.0,56.0,3.0,30.0,31.0,2.0,7.0,,164.0,7.0,10.0,9.0,5.0,48.0,65.0,1.0,14.0,1.0,23.0,3.0,1.0,,,,19.0,11.0,,19.0,4.0,8.0,28.0,132.0,,0.0,140.0,13.0,1.0,2.0,53.0,47.0,6.0,33.0,2.0,15.0,1.0,1.0,1.0,9.0,60.0,500.0,7.0,8.0,7.0,22.0,18.0,1.0,3.0,4.0,3.0,24.0,97.0,9007,7.0,76.0,7.0,1.0,96.0,8.0,57.0,2.0,2.0,17.0,1.0,3.0,68.0,201.0,16.0,4.0,1.0,60.0,98.0,,1.0,0.0,7.0,,2.0,1.0,0.0,6.0,1.0,46.7,17.0,,2.0,,3.0,4.0,44.0,5.0,2.0,305.0,5.0,11.0,19.0,5.0,3.0,228.0,6.0,6.0,21.0,77.0,11.0,18.0,2.0,2.0,16.0,,5.0,1.0,2.0,2.0,,180.0,,,1.0,168.0,23.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,20.0,1.0,25.0,2.0,2.0,,9.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,3.0,5.0,,1.0,,,,8.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,2.0,3.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,
32,321976,2011-04-09 12:45:00,"Molineux Stadium, Wolverhampton",28352,Away,Everton,Wolverhampton Wanderers,3,0,W,3,0,0,0,,1.0,38.0,1.0,13.0,64.0,4.0,5.0,,115.0,7.0,3.0,9.0,5.0,35.0,38.0,,10.0,,7.0,2.0,,1.0,1.0,2.0,21.0,15.0,,35.0,5.0,5.0,21.0,90.0,,0.0,95.0,14.0,,2.0,53.0,32.0,5.0,33.0,,16.0,,6.0,2.0,7.0,33.0,445.0,6.0,2.0,11.0,8.0,36.0,1.0,1.0,7.0,4.0,25.0,77.0,9007,5.0,46.0,7.0,2.0,66.0,11.0,39.0,3.0,8.0,9.0,8.0,5.0,46.0,129.0,13.0,3.0,1.0,39.0,79.0,,1.0,0.0,13.0,1.0,,1.0,0.0,7.0,3.0,35.6,17.0,1.0,,,8.0,1.0,33.0,6.0,3.0,216.0,7.0,9.0,9.0,4.0,2.0,171.0,2.0,5.0,6.0,43.0,22.0,16.0,,3.0,9.0,,6.0,1.0,1.0,3.0,,172.0,,2.0,2.0,143.0,13.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,,19.0,,13.0,4.0,4.0,1.0,4.0,,,3.0,,3.0,1.0,,,2.0,,,,,,8.0,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
33,321979,2011-04-16 15:00:00,"Goodison Park, Liverpool",35857,Home,Everton,Blackburn Rovers,2,0,W,0,0,0,0,,2.0,48.0,1.0,24.0,34.0,8.0,9.0,,154.0,6.0,6.0,16.0,5.0,72.0,54.0,,18.0,4.0,13.0,2.0,4.0,1.0,1.0,2.0,30.0,17.0,1.0,16.0,6.0,8.0,29.0,178.0,1.0,0.0,181.0,10.0,,1.0,66.0,67.0,9.0,53.0,2.0,24.0,,4.0,3.0,6.0,80.0,581.0,15.0,6.0,7.0,14.0,23.0,1.0,1.0,3.0,7.0,35.0,98.0,9007,2.0,86.0,18.0,1.0,101.0,6.0,48.0,1.0,7.0,12.0,1.0,2.0,64.0,258.0,18.0,6.0,,50.0,93.0,1.0,,0.0,1.0,1.0,,2.0,0.0,3.0,1.0,54.2,30.0,,3.0,,7.0,5.0,45.0,10.0,1.0,359.0,6.0,13.0,16.0,8.0,5.0,288.0,8.0,8.0,8.0,114.0,12.0,22.0,,3.0,12.0,,10.0,1.0,1.0,2.0,1.0,184.0,,1.0,1.0,166.0,13.0,,,1.0,2.0,3.0,,2.0,,,20.0,3.0,21.0,4.0,4.0,,3.0,,,2.0,,1.0,1.0,,,1.0,,,,,,14.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,
34,321993,2011-04-23 12:45:00,"Old Trafford, Manchester",75300,Away,Everton,Manchester United,0,1,L,0,0,0,0,,,61.0,,20.0,56.0,4.0,2.0,2.0,144.0,3.0,1.0,4.0,3.0,80.0,43.0,,5.0,,17.0,1.0,,,,1.0,14.0,8.0,2.0,28.0,,17.0,25.0,161.0,,0.0,122.0,9.0,2.0,4.0,73.0,37.0,3.0,57.0,,14.0,,6.0,2.0,11.0,87.0,575.0,4.0,12.0,16.0,4.0,31.0,,2.0,5.0,1.0,20.0,82.0,9007,1.0,115.0,6.0,1.0,125.0,14.0,47.0,,6.0,13.0,10.0,7.0,53.0,273.0,10.0,6.0,,28.0,95.0,,1.0,0.0,13.0,4.0,1.0,,0.0,3.0,1.0,40.9,12.0,,,,6.0,,45.0,1.0,4.0,368.0,13.0,10.0,11.0,2.0,,257.0,2.0,16.0,18.0,69.0,14.0,14.0,1.0,3.0,6.0,,1.0,,,,,178.0,1.0,2.0,,150.0,23.0,1.0,,,1.0,,,,2.0,,15.0,,22.0,8.0,8.0,1.0,2.0,,,2.0,3.0,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,322006,2011-04-30 15:00:00,"DW Stadium, Wigan",17051,Away,Everton,Wigan Athletic,1,1,D,0,1,0,0,3.0,,54.0,1.0,23.0,20.0,2.0,1.0,5.0,140.0,5.0,6.0,4.0,6.0,80.0,46.0,,8.0,,11.0,3.0,2.0,1.0,,,28.0,13.0,2.0,11.0,7.0,17.0,22.0,184.0,,0.0,141.0,15.0,,1.0,67.0,56.0,3.0,56.0,1.0,21.0,,7.0,,12.0,84.0,560.0,1.0,14.0,12.0,8.0,9.0,2.0,2.0,3.0,1.0,31.0,79.0,9007,2.0,96.0,11.0,1.0,112.0,6.0,52.0,1.0,12.0,5.0,3.0,3.0,55.0,275.0,12.0,10.0,3.0,36.0,76.0,,,0.0,3.0,6.0,1.0,5.0,0.0,3.0,1.0,49.7,20.0,1.0,,,12.0,1.0,35.0,8.0,1.0,360.0,8.0,14.0,11.0,1.0,1.0,276.0,5.0,15.0,12.0,88.0,5.0,16.0,1.0,3.0,11.0,,8.0,1.0,1.0,1.0,,161.0,1.0,4.0,,151.0,21.0,,,,,,1.0,1.0,2.0,,17.0,2.0,14.0,1.0,2.0,1.0,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0
36,322009,2011-05-07 15:00:00,"Goodison Park, Liverpool",37351,Home,Everton,Manchester City,2,1,W,0,1,0,0,2.0,,39.0,,27.0,31.0,5.0,3.0,2.0,150.0,9.0,1.0,10.0,4.0,69.0,44.0,2.0,11.0,4.0,14.0,2.0,,,1.0,1.0,31.0,14.0,,15.0,7.0,15.0,11.0,176.0,,0.0,156.0,16.0,,2.0,70.0,73.0,7.0,63.0,1.0,24.0,2.0,5.0,1.0,6.0,64.0,553.0,6.0,11.0,14.0,16.0,16.0,,4.0,4.0,3.0,35.0,84.0,9007,6.0,86.0,17.0,2.0,93.0,12.0,50.0,1.0,6.0,8.0,6.0,6.0,59.0,253.0,15.0,6.0,2.0,49.0,93.0,,2.0,0.0,6.0,1.0,1.0,4.0,0.0,8.0,3.0,48.6,27.0,1.0,,,6.0,4.0,42.0,11.0,2.0,346.0,10.0,13.0,4.0,3.0,2.0,284.0,5.0,15.0,9.0,93.0,6.0,19.0,1.0,3.0,4.0,,11.0,,,2.0,1.0,170.0,,1.0,1.0,154.0,10.0,1.0,,,,,1.0,2.0,,,18.0,1.0,19.0,2.0,2.0,1.0,8.0,,,2.0,1.0,,,,2.0,,,1.0,,1.0,,5.0,,1.0,,,1.0,,,,,2.0,,1.0,,,,2.0,,2.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
37,322025,2011-05-14 12:45:00,"The Hawthorns, West Bromwich",25838,Away,Everton,West Bromwich Albion,0,1,L,0,1,1,0,,,48.0,2.0,52.0,20.0,8.0,3.0,1.0,141.0,14.0,5.0,16.0,2.0,98.0,41.0,,22.0,6.0,10.0,2.0,3.0,1.0,,3.0,40.0,15.0,,9.0,9.0,15.0,29.0,175.0,4.0,0.0,137.0,9.0,,1.0,56.0,70.0,7.0,56.0,1.0,31.0,,13.0,2.0,9.0,93.0,586.0,13.0,7.0,15.0,11.0,11.0,1.0,2.0,5.0,9.0,20.0,84.0,9007,8.0,159.0,16.0,1.0,168.0,7.0,45.0,2.0,5.0,10.0,6.0,4.0,70.0,320.0,15.0,8.0,3.0,28.0,81.0,1.0,,0.0,2.0,3.0,1.0,1.0,1.0,7.0,7.0,52.5,16.0,6.0,1.0,,5.0,8.0,48.0,12.0,1.0,388.0,11.0,10.0,18.0,12.0,10.0,260.0,12.0,15.0,5.0,92.0,4.0,16.0,1.0,3.0,13.0,,12.0,,,,1.0,142.0,,2.0,,131.0,23.0,,,1.0,,4.0,,,1.0,,19.0,7.0,17.0,2.0,2.0,,4.0,,,2.0,1.0,3.0,1.0,,,3.0,,,,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
38,322029,2011-05-22 16:00:00,"Goodison Park, Liverpool",38712,Home,Everton,Chelsea,1,0,W,0,0,1,0,,,60.0,1.0,28.0,32.0,5.0,1.0,1.0,118.0,5.0,7.0,9.0,2.0,56.0,45.0,2.0,12.0,1.0,15.0,1.0,,,1.0,1.0,23.0,9.0,,15.0,5.0,15.0,17.0,139.0,2.0,0.0,115.0,12.0,,,48.0,56.0,3.0,39.0,3.0,18.0,2.0,4.0,4.0,5.0,65.0,465.0,4.0,5.0,15.0,10.0,17.0,,2.0,5.0,6.0,7.0,75.0,9007,5.0,91.0,12.0,,96.0,15.0,50.0,2.0,10.0,8.0,14.0,9.0,51.0,225.0,16.0,6.0,4.0,25.0,75.0,1.0,,0.0,5.0,2.0,,1.0,1.0,1.0,3.0,36.1,4.0,2.0,1.0,,10.0,2.0,43.0,6.0,,278.0,12.0,9.0,10.0,8.0,3.0,205.0,8.0,13.0,9.0,78.0,6.0,13.0,,2.0,15.0,,6.0,1.0,,1.0,,125.0,,2.0,,108.0,22.0,,2.0,1.0,3.0,1.0,,1.0,3.0,1.0,15.0,4.0,22.0,4.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,,1.0,,2.0,,1.0,,1.0,,7.0,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,
