gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attIboxBlocked,attLfTotal,attFreekickTotal,attIboxTarget,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,attCmissHigh,attMissHigh,punches,overrun,totalHighClaim,attFreekickMiss,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,accurateKeeperThrows,attFastbreak,foulThrowIn,possWonAtt3rd,keeperThrows,attLfGoal,goalAssistOpenplay,attGoalHighRight,goalAssist,sixYardBlock,totalPullBack,goalsOpenplay,goalAssistIntentional,goalsConcededObox,accuratePullBack,penaltyConceded,attCmissHighLeft,attSvLowRight,attCmissHighRight,penaltyFaced,errorLeadToGoal,attGoalHighLeft,attHdGoal,attCmissRight,postScoringAtt,attPostLeft,hitWoodwork,attOboxPost,attSvLowCentre,attSvHighRight,attBxLeft,clearanceOffLine,attGoalLowRight,goalAssistSetplay,attObxLeft,penGoalsConceded,attPenTarget,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,attFreekickTarget,attFreekickPost,midfielderGoals,attPostHigh,attIboxPost,attPostRight,ownGoals,attIboxOwnGoal,goalFastbreak,attOboxGoal,attObxdRight,attObpGoal,attFreekickGoal,goalAssistDeadball,attObxdLeft,attLgCentre
28,321929,2011-02-26 15:00:00,"Goodison Park, Liverpool",37776,Away,Sunderland,Everton,0,2,L,0,2,0,0,1.0,,53.0,,2.0,24.0,30.0,10.0,4.0,191.0,2.0,6.0,,1.0,14.0,4.0,94.0,201.0,49.0,14.0,4.0,21.0,1.0,1.0,10.0,10.0,4.0,12.0,1.0,23.0,31.0,199.0,,,0.0,168.0,10.0,,49.0,73.0,9.0,67.0,,3.0,9.0,5.0,2.0,,183.0,1.0,10.0,90.0,654.0,13.0,17.0,20.0,27.0,13.0,19.0,0.0,5.0,5.0,27.0,105.0,2.0,,94738,2.0,126.0,1.0,4.0,148.0,,12.0,63.0,6.0,4.0,14.0,7.0,5.0,,61.0,323.0,11.0,10.0,1.0,42.0,103.0,,0.0,4.0,2.0,,2.0,7.0,0.0,2.0,,1.0,53.4,22.0,1.0,2.0,5.0,46.0,1.0,442.0,18.0,10.0,17.0,5.0,24.0,,3.0,304.0,10.0,18.0,18.0,100.0,16.0,,3.0,5.0,14.0,2.0,13.0,2.0,19.0,3.0,1.0,,1.0,3.0,,,,2.0,,1.0,,,,,1.0,,1.0,2.0,3.0,1.0,,,,,,3.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
29,321937,2011-03-05 15:00:00,"Emirates Stadium, London",60081,Away,Sunderland,Arsenal,0,0,D,0,0,0,0,,,66.0,,1.0,31.0,27.0,3.0,3.0,157.0,3.0,6.0,,,5.0,3.0,59.0,188.0,65.0,8.0,,17.0,1.0,2.0,14.0,24.0,1.0,12.0,4.0,13.0,29.0,122.0,,,0.0,123.0,10.0,4.0,37.0,75.0,3.0,58.0,4.0,1.0,10.0,,2.0,,173.0,,11.0,64.0,551.0,3.0,12.0,29.0,39.0,19.0,15.0,3.0,,2.0,19.0,68.0,,,94738,4.0,111.0,,10.0,128.0,,7.0,56.0,1.0,5.0,18.0,3.0,3.0,,65.0,230.0,13.0,14.0,2.0,42.0,87.0,1.0,0.0,5.0,6.0,,,2.0,0.0,1.0,1.0,1.0,37.4,12.0,1.0,,,40.0,6.0,338.0,26.0,8.0,15.0,5.0,11.0,2.0,3.0,224.0,7.0,10.0,16.0,65.0,16.0,,1.0,7.0,30.0,,4.0,3.0,13.0,1.0,6.0,,,,,2.0,,2.0,,,,,,,,,2.0,,3.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,321953,2011-03-20 13:30:00,"Stadium of Light, Sunderland",47207,Home,Sunderland,Liverpool,0,2,L,0,1,1,0,,,63.0,,1.0,31.0,18.0,3.0,1.0,190.0,6.0,9.0,,2.0,4.0,1.0,97.0,192.0,57.0,6.0,,17.0,1.0,1.0,20.0,15.0,1.0,9.0,2.0,25.0,34.0,228.0,1.0,,0.0,159.0,12.0,3.0,66.0,81.0,2.0,45.0,2.0,2.0,18.0,9.0,2.0,,183.0,,10.0,98.0,654.0,2.0,22.0,23.0,26.0,8.0,7.0,3.0,2.0,2.0,22.0,76.0,,,7195,2.0,100.0,,8.0,122.0,,9.0,65.0,4.0,1.0,16.0,3.0,4.0,,46.0,322.0,9.0,4.0,2.0,28.0,79.0,,0.0,6.0,4.0,,2.0,7.0,1.0,4.0,1.0,1.0,52.2,22.0,1.0,,1.0,46.0,3.0,430.0,19.0,21.0,14.0,4.0,25.0,2.0,2.0,328.0,4.0,22.0,12.0,104.0,27.0,,1.0,4.0,27.0,2.0,3.0,3.0,20.0,1.0,3.0,,1.0,,,,,,1.0,,,,,,,,,,4.0,1.0,,,,,,2.0,,1.0,1.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
31,321961,2011-04-03 16:00:00,"Etihad Stadium, Manchester",44197,Away,Sunderland,Manchester City,0,5,L,0,2,0,0,2.0,,61.0,,3.0,20.0,18.0,6.0,1.0,156.0,4.0,6.0,,1.0,6.0,3.0,94.0,168.0,45.0,8.0,1.0,13.0,,2.0,30.0,13.0,2.0,13.0,4.0,20.0,26.0,172.0,,,0.0,125.0,22.0,2.0,35.0,65.0,3.0,57.0,,1.0,26.0,6.0,3.0,,163.0,1.0,10.0,91.0,609.0,5.0,9.0,18.0,22.0,5.0,8.0,3.0,4.0,3.0,28.0,59.0,,,96114,2.0,140.0,1.0,16.0,162.0,,6.0,61.0,5.0,1.0,17.0,6.0,1.0,,42.0,308.0,9.0,9.0,1.0,23.0,77.0,1.0,0.0,7.0,1.0,,5.0,3.0,0.0,3.0,,1.0,49.9,24.0,1.0,1.0,1.0,38.0,5.0,398.0,18.0,16.0,11.0,4.0,25.0,1.0,1.0,266.0,2.0,17.0,7.0,81.0,31.0,,2.0,7.0,23.0,5.0,7.0,3.0,9.0,2.0,5.0,2.0,,5.0,,1.0,,,4.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,4.0,,,,4.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,
32,321974,2011-04-09 15:00:00,"Stadium of Light, Sunderland",41586,Home,Sunderland,West Bromwich Albion,2,3,L,2,1,0,0,,,59.0,,3.0,25.0,17.0,4.0,,154.0,4.0,10.0,2.0,6.0,5.0,1.0,68.0,204.0,58.0,10.0,3.0,22.0,,,32.0,17.0,,8.0,4.0,10.0,31.0,130.0,,,0.0,137.0,10.0,4.0,57.0,44.0,2.0,44.0,1.0,1.0,28.0,11.0,1.0,,195.0,,6.0,69.0,564.0,3.0,19.0,13.0,26.0,11.0,11.0,3.0,1.0,3.0,34.0,85.0,,,7195,3.0,96.0,,13.0,116.0,1.0,10.0,61.0,2.0,1.0,17.0,6.0,5.0,,64.0,222.0,10.0,5.0,1.0,40.0,98.0,,0.0,2.0,2.0,1.0,3.0,9.0,0.0,4.0,3.0,1.0,50.3,31.0,1.0,,5.0,46.0,5.0,335.0,12.0,9.0,11.0,4.0,40.0,,3.0,251.0,8.0,10.0,17.0,69.0,18.0,,1.0,6.0,21.0,3.0,5.0,3.0,25.0,1.0,5.0,,2.0,,1.0,,,,4.0,4.0,1.0,,1.0,2.0,3.0,1.0,2.0,,4.0,4.0,1.0,,,,,3.0,,,1.0,3.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,
33,321978,2011-04-16 15:00:00,"St. Andrew's Stadium, Birmingham",28108,Away,Sunderland,Birmingham City,0,2,L,0,1,0,0,,,56.0,,,39.0,21.0,11.0,3.0,175.0,7.0,6.0,,2.0,18.0,4.0,76.0,202.0,36.0,23.0,3.0,26.0,1.0,1.0,37.0,11.0,2.0,14.0,8.0,22.0,41.0,188.0,,,0.0,168.0,10.0,1.0,57.0,79.0,8.0,63.0,,6.0,29.0,8.0,6.0,,195.0,,7.0,73.0,601.0,14.0,14.0,9.0,22.0,11.0,11.0,0.0,1.0,10.0,34.0,89.0,,,96114,8.0,102.0,1.0,20.0,129.0,,11.0,64.0,1.0,1.0,12.0,3.0,1.0,,76.0,283.0,7.0,5.0,4.0,36.0,94.0,,0.0,4.0,1.0,,2.0,4.0,0.0,2.0,1.0,4.0,55.2,21.0,3.0,1.0,8.0,38.0,9.0,387.0,8.0,5.0,22.0,11.0,20.0,5.0,5.0,295.0,15.0,22.0,10.0,111.0,24.0,,2.0,6.0,13.0,1.0,18.0,2.0,24.0,2.0,9.0,,5.0,2.0,,2.0,,2.0,1.0,1.0,,1.0,,,,1.0,4.0,,2.0,1.0,,,1.0,,1.0,2.0,1.0,,4.0,2.0,,,,,2.0,,,,1.0,,,,,,,3.0,,,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,321994,2011-04-23 15:00:00,"Stadium of Light, Sunderland",39650,Home,Sunderland,Wigan Athletic,4,2,W,0,0,0,0,1.0,3.0,54.0,2.0,3.0,27.0,19.0,3.0,1.0,140.0,9.0,6.0,4.0,5.0,9.0,6.0,61.0,174.0,52.0,15.0,3.0,13.0,1.0,2.0,30.0,17.0,,11.0,7.0,13.0,18.0,144.0,,1.0,0.0,114.0,12.0,1.0,45.0,33.0,5.0,42.0,1.0,2.0,23.0,6.0,,,166.0,2.0,3.0,51.0,528.0,5.0,11.0,22.0,23.0,7.0,9.0,1.0,1.0,4.0,36.0,63.0,,1.0,66797,7.0,79.0,,16.0,99.0,2.0,9.0,68.0,,1.0,12.0,6.0,4.0,1.0,56.0,214.0,9.0,10.0,1.0,32.0,82.0,1.0,0.0,3.0,,4.0,2.0,1.0,0.0,7.0,2.0,5.0,44.1,25.0,3.0,1.0,4.0,37.0,7.0,294.0,17.0,15.0,12.0,5.0,16.0,2.0,5.0,225.0,7.0,11.0,15.0,73.0,21.0,1.0,1.0,6.0,22.0,1.0,8.0,3.0,25.0,1.0,7.0,,1.0,2.0,,2.0,,,1.0,2.0,,1.0,,,2.0,,1.0,,2.0,2.0,,,1.0,,2.0,1.0,1.0,,3.0,1.0,1.0,2.0,,3.0,1.0,,2.0,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,3.0,,,,,,1.0,,,,,,,
35,322004,2011-04-30 15:00:00,"Stadium of Light, Sunderland",39576,Home,Sunderland,Fulham,0,3,L,0,1,0,0,,,63.0,,,23.0,21.0,9.0,3.0,214.0,7.0,13.0,,5.0,11.0,4.0,97.0,213.0,60.0,16.0,5.0,19.0,1.0,2.0,33.0,16.0,3.0,9.0,5.0,21.0,36.0,207.0,,,0.0,164.0,7.0,,40.0,101.0,7.0,64.0,2.0,2.0,28.0,8.0,2.0,,201.0,1.0,7.0,88.0,689.0,11.0,12.0,25.0,29.0,8.0,14.0,1.0,4.0,4.0,30.0,96.0,,,96114,5.0,134.0,1.0,18.0,161.0,,6.0,44.0,,4.0,15.0,3.0,2.0,,61.0,334.0,14.0,3.0,,37.0,93.0,1.0,0.0,4.0,,,3.0,6.0,0.0,6.0,2.0,2.0,50.3,23.0,2.0,,6.0,42.0,5.0,463.0,18.0,8.0,19.0,6.0,18.0,1.0,4.0,335.0,9.0,17.0,13.0,97.0,24.0,,3.0,6.0,20.0,3.0,13.0,3.0,20.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,,1.0,2.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
36,322008,2011-05-07 15:00:00,"Macron Stadium, Bolton",22597,Away,Sunderland,Bolton Wanderers,2,1,W,1,0,0,0,1.0,1.0,43.0,1.0,2.0,20.0,43.0,5.0,1.0,160.0,1.0,10.0,2.0,5.0,8.0,4.0,49.0,197.0,61.0,10.0,2.0,18.0,,,13.0,9.0,1.0,21.0,5.0,19.0,24.0,116.0,,,0.0,109.0,12.0,2.0,21.0,72.0,6.0,52.0,2.0,2.0,8.0,1.0,2.0,,175.0,2.0,15.0,52.0,532.0,5.0,21.0,19.0,23.0,12.0,29.0,0.0,6.0,2.0,32.0,68.0,4.0,,96114,,102.0,1.0,3.0,118.0,1.0,14.0,62.0,7.0,1.0,14.0,5.0,4.0,,61.0,217.0,14.0,3.0,1.0,46.0,91.0,,0.0,5.0,2.0,2.0,1.0,6.0,0.0,1.0,,1.0,47.6,20.0,1.0,,2.0,34.0,5.0,313.0,15.0,18.0,10.0,4.0,17.0,,2.0,208.0,4.0,17.0,26.0,57.0,15.0,,2.0,10.0,11.0,1.0,7.0,1.0,22.0,2.0,5.0,1.0,,5.0,1.0,1.0,,1.0,4.0,,1.0,,1.0,1.0,1.0,,1.0,3.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,2.0,,1.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
37,322024,2011-05-14 12:45:00,"Stadium of Light, Sunderland",41273,Home,Sunderland,Wolverhampton Wanderers,1,3,L,1,1,0,0,,1.0,57.0,1.0,,32.0,24.0,9.0,2.0,201.0,2.0,6.0,1.0,3.0,12.0,4.0,121.0,187.0,55.0,14.0,3.0,16.0,,1.0,27.0,14.0,3.0,13.0,3.0,27.0,38.0,217.0,,,0.0,158.0,8.0,,59.0,82.0,9.0,61.0,1.0,1.0,24.0,12.0,3.0,,176.0,1.0,9.0,111.0,710.0,10.0,10.0,18.0,26.0,8.0,13.0,0.0,5.0,3.0,23.0,89.0,,3.0,97580,1.0,178.0,,10.0,199.0,1.0,7.0,48.0,4.0,1.0,16.0,4.0,1.0,,71.0,393.0,20.0,1.0,1.0,40.0,101.0,,0.0,5.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,,59.6,20.0,,1.0,5.0,56.0,5.0,494.0,15.0,14.0,25.0,5.0,24.0,1.0,1.0,322.0,9.0,25.0,12.0,102.0,22.0,,3.0,5.0,17.0,3.0,8.0,3.0,15.0,3.0,5.0,1.0,2.0,5.0,1.0,,,,2.0,3.0,1.0,,,,2.0,,2.0,1.0,,3.0,1.0,,,,,1.0,,1.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,
38,322035,2011-05-22 16:00:00,"Boleyn Ground, London",32792,Away,Sunderland,West Ham United,3,0,W,1,0,0,0,1.0,1.0,66.0,1.0,5.0,34.0,30.0,10.0,6.0,164.0,6.0,8.0,3.0,2.0,19.0,12.0,92.0,148.0,60.0,20.0,2.0,10.0,2.0,1.0,15.0,22.0,5.0,14.0,5.0,39.0,32.0,201.0,3.0,,0.0,124.0,8.0,5.0,30.0,104.0,14.0,78.0,,1.0,10.0,4.0,2.0,,132.0,1.0,7.0,90.0,663.0,13.0,19.0,12.0,25.0,15.0,16.0,2.0,4.0,5.0,20.0,71.0,,,96114,5.0,156.0,,5.0,171.0,1.0,12.0,42.0,2.0,,12.0,12.0,3.0,,59.0,351.0,9.0,4.0,3.0,30.0,89.0,,0.0,4.0,4.0,2.0,,6.0,0.0,4.0,2.0,1.0,48.8,18.0,,2.0,3.0,51.0,6.0,424.0,8.0,10.0,20.0,5.0,16.0,2.0,3.0,268.0,14.0,36.0,12.0,84.0,23.0,,4.0,8.0,31.0,,15.0,2.0,19.0,4.0,6.0,3.0,1.0,5.0,1.0,4.0,,4.0,1.0,4.0,1.0,,,,1.0,,,,6.0,4.0,1.0,,2.0,1.0,2.0,6.0,2.0,,1.0,6.0,1.0,3.0,1.0,3.0,,,3.0,2.0,,,,,3.0,,,,,1.0,,,,,,,,2.0,,1.0,,,,,2.0,2.0,,,,3.0,,,,,,,1.0,,,,,,
