gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,accuratePullBack,attCmissRight,attObxLeft,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,penaltyWon,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attMissHighLeft,accurateLaunches,goalAssist,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissLeft,accurateFlickOn,goalAssistIntentional,attSvHighCentre,attFreekickMiss,forwardGoals,attHdGoal,errorLeadToShot,attCmissHigh,punches,attGoalHighRight,defenderGoals,errorLeadToGoal,attPenPost,attOboxGoal,attLgCentre,attHdTarget,attGoalHighLeft,attPostHigh,penaltySave,accurateFreekickCross,penaltyConceded,attCmissHighLeft,penaltyFaced,goalsConcededObox,foulThrowIn,attPenTarget,shieldBallOop,attFreekickPost,attOboxPost,goalFastbreak,attPostRight,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attGoalHighCentre,attPenMiss,attHdPost,attObxdRight,attCmissHighRight
28,321933,2011-04-20 19:45:00,"White Hart Lane, London",36138,Away,Arsenal,Tottenham Hotspur,3,3,D,3,2,0,0,1.0,1.0,64.0,,1.0,13.0,38.0,7.0,6.0,2.0,179.0,1.0,6.0,3.0,2.0,11.0,7.0,102.0,193.0,50.0,1.0,15.0,2.0,20.0,2.0,,2.0,20.0,,15.0,2.0,20.0,6.0,17.0,22.0,206.0,,1.0,0.0,150.0,15.0,6.0,1.0,1.0,1.0,75.0,52.0,7.0,48.0,2.0,2.0,14.0,1.0,2.0,2.0,,175.0,9.0,,116.0,695.0,9.0,9.0,,24.0,26.0,21.0,3.0,1.0,4.0,29.0,72.0,59936,2.0,144.0,11.0,,,161.0,,11.0,73.0,11.0,1.0,3.0,10.0,8.0,2.0,,41.0,349.0,8.0,8.0,,27.0,87.0,,0.0,,2.0,7.0,6.0,2.0,3.0,0.0,1.0,1.0,54.9,22.0,,1.0,1.0,3.0,3.0,,38.0,6.0,1.0,445.0,21.0,21.0,7.0,5.0,15.0,,3.0,304.0,8.0,16.0,15.0,94.0,26.0,1.0,11.0,21.0,2.0,13.0,3.0,16.0,1.0,6.0,2.0,,1.0,,,1.0,1.0,,,,,2.0,1.0,2.0,1.0,,,,2.0,1.0,3.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,,,1.0,3.0,1.0,,,1.0,,,,3.0,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,
29,321937,2011-03-05 15:00:00,"Emirates Stadium, London",60081,Home,Arsenal,Sunderland,0,0,D,0,0,0,0,,1.0,67.0,1.0,,16.0,23.0,3.0,4.0,5.0,197.0,5.0,14.0,,3.0,10.0,7.0,156.0,177.0,56.0,1.0,14.0,,16.0,6.0,1.0,2.0,28.0,1.0,9.0,1.0,11.0,4.0,28.0,28.0,268.0,,,0.0,157.0,13.0,3.0,1.0,2.0,,73.0,90.0,5.0,65.0,,2.0,24.0,1.0,4.0,2.0,,165.0,5.0,,149.0,806.0,9.0,6.0,1.0,30.0,28.0,9.0,3.0,,5.0,24.0,70.0,8597,5.0,220.0,18.0,,1.0,241.0,2.0,7.0,65.0,15.0,6.0,5.0,15.0,3.0,6.0,1.0,22.0,483.0,10.0,6.0,1.0,10.0,85.0,1.0,0.0,1.0,1.0,6.0,2.0,,,0.0,4.0,4.0,62.6,21.0,2.0,5.0,2.0,6.0,,,64.0,5.0,,567.0,27.0,22.0,15.0,7.0,23.0,1.0,4.0,354.0,6.0,28.0,17.0,115.0,28.0,3.0,4.0,15.0,,10.0,2.0,22.0,3.0,5.0,,,,,,,,1.0,,,,2.0,3.0,,3.0,1.0,,,,,4.0,1.0,5.0,,3.0,4.0,4.0,,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,
30,321955,2011-03-19 15:00:00,"The Hawthorns, West Bromwich",25729,Away,Arsenal,West Bromwich Albion,2,2,D,0,1,0,0,,3.0,66.0,,3.0,46.0,17.0,6.0,10.0,,216.0,7.0,13.0,2.0,4.0,11.0,6.0,178.0,169.0,56.0,1.0,17.0,1.0,5.0,3.0,1.0,1.0,42.0,1.0,13.0,1.0,11.0,7.0,32.0,41.0,325.0,,,0.0,210.0,7.0,,1.0,3.0,2.0,123.0,91.0,6.0,77.0,1.0,2.0,35.0,1.0,14.0,4.0,,163.0,3.0,,192.0,877.0,9.0,9.0,2.0,17.0,30.0,10.0,3.0,1.0,5.0,29.0,89.0,90801,5.0,255.0,18.0,1.0,,270.0,1.0,4.0,35.0,7.0,3.0,7.0,13.0,1.0,2.0,,62.0,573.0,9.0,7.0,1.0,20.0,80.0,1.0,0.0,,4.0,2.0,,2.0,2.0,0.0,5.0,4.0,73.9,29.0,2.0,4.0,3.0,7.0,4.0,,59.0,7.0,3.0,663.0,15.0,10.0,29.0,7.0,31.0,2.0,2.0,435.0,3.0,30.0,17.0,153.0,25.0,,6.0,17.0,1.0,13.0,2.0,19.0,,7.0,,1.0,1.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,3.0,5.0,1.0,2.0,,1.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,
31,321957,2011-04-02 17:30:00,"Emirates Stadium, London",60087,Home,Arsenal,Blackburn Rovers,0,0,D,0,0,0,1,1.0,1.0,63.0,1.0,5.0,31.0,29.0,7.0,6.0,2.0,190.0,12.0,11.0,,2.0,19.0,5.0,144.0,159.0,49.0,1.0,22.0,1.0,8.0,3.0,,2.0,44.0,,11.0,2.0,14.0,7.0,18.0,32.0,306.0,2.0,,0.0,204.0,11.0,,,1.0,5.0,71.0,106.0,10.0,59.0,2.0,4.0,37.0,1.0,8.0,4.0,,144.0,5.0,,138.0,755.0,16.0,4.0,,16.0,23.0,18.0,1.0,,9.0,28.0,70.0,8597,9.0,168.0,28.0,,,182.0,1.0,8.0,45.0,8.0,2.0,8.0,12.0,2.0,3.0,3.0,43.0,462.0,11.0,6.0,3.0,8.0,72.0,2.0,0.0,,1.0,4.0,1.0,,,0.0,9.0,7.0,67.5,26.0,5.0,3.0,1.0,8.0,6.0,,54.0,11.0,5.0,531.0,13.0,14.0,20.0,11.0,28.0,3.0,7.0,393.0,9.0,16.0,15.0,172.0,29.0,1.0,10.0,12.0,,15.0,3.0,18.0,1.0,11.0,,,,,,,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,,2.0,4.0,,2.0,,,1.0,4.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,321969,2011-04-10 13:30:00,"Bloomfield Road, Blackpool",16030,Away,Arsenal,Blackpool,3,1,W,2,0,0,0,,1.0,67.0,,2.0,17.0,39.0,3.0,7.0,2.0,180.0,4.0,12.0,3.0,4.0,13.0,6.0,104.0,169.0,62.0,2.0,17.0,,7.0,3.0,1.0,1.0,15.0,1.0,14.0,,20.0,3.0,15.0,31.0,206.0,1.0,,0.0,134.0,9.0,1.0,,2.0,1.0,50.0,55.0,8.0,63.0,2.0,3.0,12.0,2.0,4.0,4.0,,150.0,11.0,1.0,109.0,723.0,9.0,4.0,1.0,24.0,29.0,20.0,2.0,5.0,5.0,30.0,54.0,8597,9.0,177.0,6.0,,1.0,198.0,,10.0,48.0,19.0,5.0,10.0,15.0,4.0,2.0,2.0,37.0,379.0,14.0,4.0,1.0,19.0,92.0,1.0,0.0,,,6.0,2.0,3.0,1.0,0.0,3.0,1.0,58.9,24.0,1.0,3.0,3.0,10.0,2.0,,60.0,4.0,1.0,456.0,24.0,19.0,18.0,9.0,32.0,1.0,4.0,273.0,8.0,13.0,15.0,100.0,21.0,5.0,10.0,21.0,1.0,12.0,3.0,21.0,5.0,4.0,3.0,,1.0,1.0,,2.0,1.0,,,,1.0,,5.0,2.0,2.0,,,2.0,2.0,,6.0,1.0,3.0,3.0,5.0,8.0,3.0,1.0,2.0,,1.0,1.0,3.0,3.0,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
33,321977,2011-04-17 16:00:00,"Emirates Stadium, London",60029,Home,Arsenal,Liverpool,1,1,D,0,0,0,0,,1.0,81.0,3.0,3.0,23.0,23.0,5.0,5.0,2.0,196.0,7.0,7.0,1.0,6.0,14.0,5.0,156.0,178.0,47.0,,16.0,2.0,10.0,3.0,1.0,1.0,44.0,1.0,11.0,1.0,15.0,9.0,11.0,33.0,293.0,,,0.0,212.0,12.0,2.0,,4.0,1.0,63.0,81.0,8.0,45.0,,3.0,35.0,,7.0,2.0,,170.0,4.0,,131.0,758.0,11.0,9.0,1.0,21.0,37.0,11.0,2.0,1.0,6.0,19.0,70.0,59936,8.0,153.0,24.0,1.0,1.0,174.0,,7.0,46.0,13.0,1.0,12.0,14.0,6.0,4.0,,38.0,439.0,12.0,2.0,3.0,17.0,81.0,1.0,0.0,,1.0,3.0,1.0,1.0,1.0,0.0,5.0,5.0,61.7,16.0,3.0,3.0,,12.0,5.0,,47.0,9.0,1.0,528.0,19.0,12.0,18.0,6.0,31.0,2.0,3.0,398.0,6.0,10.0,13.0,166.0,28.0,1.0,6.0,15.0,1.0,9.0,3.0,17.0,1.0,10.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,4.0,,3.0,,1.0,,,,1.0,1.0,4.0,,4.0,3.0,1.0,,,1.0,,1.0,4.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,
34,321990,2011-04-24 16:00:00,"Macron Stadium, Bolton",26881,Away,Arsenal,Bolton Wanderers,1,2,L,0,1,0,0,,,70.0,,4.0,23.0,30.0,9.0,5.0,4.0,198.0,3.0,13.0,1.0,2.0,13.0,6.0,141.0,189.0,54.0,1.0,19.0,2.0,18.0,4.0,1.0,2.0,38.0,,12.0,1.0,17.0,8.0,27.0,28.0,291.0,,,0.0,204.0,14.0,3.0,1.0,3.0,,76.0,61.0,7.0,62.0,1.0,1.0,30.0,1.0,5.0,4.0,,176.0,9.0,1.0,129.0,782.0,10.0,4.0,1.0,13.0,24.0,17.0,3.0,3.0,6.0,35.0,83.0,59936,6.0,152.0,22.0,,,163.0,,6.0,62.0,12.0,,6.0,18.0,3.0,1.0,2.0,40.0,440.0,14.0,4.0,2.0,21.0,99.0,1.0,0.0,,,3.0,5.0,,2.0,0.0,1.0,2.0,67.1,33.0,1.0,5.0,,6.0,6.0,1.0,66.0,9.0,1.0,530.0,12.0,17.0,21.0,7.0,30.0,2.0,2.0,405.0,12.0,25.0,13.0,148.0,30.0,,9.0,14.0,2.0,15.0,3.0,22.0,,9.0,,,1.0,,,1.0,,,,,1.0,2.0,3.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
35,321997,2011-05-01 14:05:00,"Emirates Stadium, London",60107,Home,Arsenal,Manchester United,1,0,W,0,0,0,0,1.0,1.0,64.0,3.0,1.0,15.0,28.0,4.0,5.0,,165.0,4.0,8.0,1.0,,7.0,2.0,135.0,162.0,55.0,1.0,10.0,1.0,11.0,,,2.0,28.0,,20.0,1.0,19.0,2.0,19.0,12.0,241.0,,,0.0,146.0,16.0,3.0,,,1.0,59.0,70.0,2.0,49.0,1.0,2.0,26.0,1.0,7.0,2.0,,153.0,5.0,,113.0,685.0,6.0,3.0,,20.0,17.0,18.0,2.0,3.0,5.0,19.0,64.0,59936,5.0,146.0,19.0,,,166.0,,11.0,57.0,2.0,2.0,4.0,8.0,7.0,3.0,1.0,38.0,383.0,7.0,6.0,,16.0,81.0,,0.0,1.0,3.0,6.0,1.0,1.0,,0.0,3.0,1.0,54.9,16.0,1.0,1.0,,5.0,2.0,,45.0,3.0,1.0,462.0,18.0,20.0,6.0,6.0,18.0,1.0,4.0,324.0,4.0,17.0,18.0,112.0,30.0,3.0,10.0,22.0,,,3.0,13.0,3.0,3.0,,1.0,,,,,,,,,,,2.0,1.0,,1.0,,,1.0,,,1.0,2.0,1.0,2.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
36,322013,2011-05-08 14:05:00,"bet365 Stadium, Stoke",27478,Away,Arsenal,Stoke City,1,3,L,0,2,0,0,,2.0,60.0,1.0,2.0,23.0,23.0,5.0,7.0,,187.0,6.0,9.0,1.0,1.0,14.0,3.0,163.0,149.0,43.0,2.0,18.0,2.0,12.0,2.0,,4.0,25.0,,11.0,,11.0,5.0,24.0,39.0,309.0,1.0,,0.0,196.0,11.0,1.0,,1.0,2.0,47.0,69.0,5.0,64.0,,2.0,20.0,2.0,8.0,3.0,,137.0,8.0,,156.0,773.0,10.0,4.0,,12.0,25.0,18.0,2.0,1.0,9.0,18.0,65.0,8597,5.0,193.0,11.0,,,208.0,,6.0,48.0,9.0,1.0,9.0,13.0,4.0,3.0,4.0,35.0,496.0,7.0,2.0,3.0,12.0,55.0,1.0,0.0,,2.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,73.4,16.0,2.0,2.0,2.0,9.0,4.0,,39.0,5.0,2.0,570.0,8.0,15.0,20.0,11.0,30.0,3.0,8.0,387.0,9.0,24.0,8.0,156.0,22.0,,10.0,19.0,2.0,12.0,3.0,17.0,,5.0,,,,,,,1.0,,2.0,,,5.0,3.0,1.0,1.0,,,,,,,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
37,322017,2011-05-15 16:00:00,"Emirates Stadium, London",60023,Home,Arsenal,Aston Villa,1,2,L,0,2,0,0,,4.0,81.0,2.0,5.0,9.0,13.0,7.0,15.0,1.0,189.0,6.0,10.0,1.0,5.0,16.0,6.0,189.0,177.0,54.0,2.0,24.0,5.0,18.0,5.0,1.0,2.0,40.0,1.0,9.0,,7.0,13.0,23.0,37.0,309.0,1.0,,0.0,204.0,9.0,3.0,,4.0,1.0,65.0,90.0,9.0,58.0,,2.0,27.0,2.0,13.0,2.0,,171.0,3.0,,165.0,834.0,13.0,11.0,1.0,27.0,27.0,4.0,1.0,,7.0,22.0,66.0,90801,6.0,208.0,10.0,,1.0,229.0,2.0,7.0,57.0,7.0,5.0,9.0,11.0,5.0,3.0,2.0,22.0,511.0,10.0,7.0,3.0,11.0,70.0,2.0,0.0,,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,67.7,21.0,2.0,3.0,4.0,9.0,10.0,,47.0,13.0,1.0,601.0,21.0,14.0,16.0,8.0,46.0,4.0,5.0,412.0,7.0,21.0,18.0,158.0,42.0,2.0,2.0,16.0,2.0,15.0,2.0,19.0,2.0,13.0,1.0,,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,,3.0,,,,,,2.0,,3.0,,1.0,2.0,2.0,,1.0,,,,4.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,
38,322030,2011-05-22 16:00:00,"Craven Cottage, London",25674,Away,Arsenal,Fulham,2,2,D,1,1,0,1,,,67.0,,,35.0,30.0,3.0,4.0,1.0,192.0,4.0,12.0,2.0,4.0,9.0,5.0,180.0,157.0,48.0,2.0,13.0,1.0,7.0,2.0,,3.0,23.0,,10.0,1.0,17.0,3.0,12.0,22.0,285.0,1.0,1.0,0.0,181.0,7.0,1.0,1.0,2.0,,86.0,98.0,5.0,63.0,2.0,1.0,20.0,2.0,5.0,2.0,,144.0,8.0,,169.0,802.0,7.0,5.0,,16.0,24.0,14.0,1.0,1.0,4.0,17.0,78.0,90801,8.0,235.0,13.0,,,256.0,,8.0,41.0,16.0,2.0,9.0,7.0,1.0,4.0,1.0,51.0,516.0,14.0,6.0,,20.0,82.0,,0.0,1.0,1.0,5.0,1.0,2.0,2.0,0.0,4.0,4.0,67.8,16.0,2.0,5.0,,9.0,1.0,,59.0,3.0,1.0,604.0,13.0,14.0,10.0,7.0,35.0,,5.0,371.0,5.0,12.0,8.0,130.0,26.0,5.0,8.0,14.0,2.0,9.0,3.0,20.0,5.0,3.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,3.0,2.0,1.0,,,,1.0,,3.0,1.0,8.0,2.0,3.0,3.0,3.0,1.0,2.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0
