gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,goalAssistSetplay,goals,fouledFinalThird,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,attPostLeft,attHdPost,attHdTarget,hitWoodwork,goalAssist,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,overrun,savedIbox,goalsConceded,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,goalsConcededIbox,goalsConcededObox,bigChanceScored,attGoalLowCentre,attCmissRight,attOboxBlocked,penaltyWon,goodHighClaim,attMissHighLeft,accurateThroughBall,sixYardBlock,totalThroughBall,attPenGoal,punches,attIboxGoal,totalHighClaim,forwardGoals,attLfGoal,accuratePullBack,attSvHighLeft,attSvLowLeft,secondYellow,goalsOpenplay,attGoalHighLeft,foulThrowIn,attHdGoal,errorLeadToGoal,attGoalLowRight,goalAssistOpenplay,ownGoals,attIboxOwnGoal,attCmissLeft,goalFastbreak,attOneOnOne,attGoalLowLeft,errorLeadToShot,attLfTarget,attSvHighCentre,attFreekickTotal,freekickTotal,attFreekickTarget,goalAssistDeadball,attPostHigh,attLgCentre,attObxdLeft,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,ptsDroppedWinningPos,attCmissHigh,attFreekickMiss,attObxLeft,attPostRight,attLgRight,attGoalHighCentre,clearanceOffLine,attFreekickPost,attOboxPost,penGoalsConceded
27,1059971,2020-02-23 14:00:00,"Molineux Stadium, Wolverhampton",31046.0,Home,Wolverhampton Wanderers,Norwich City,3,0,W,2,0,0,0,,69.0,1.0,2.0,31.0,12.0,5.0,3.0,13.0,4.0,2.0,155.0,5.0,9.0,13.0,6.0,71.0,135.0,59.0,19.0,7.0,1.0,2.0,1.0,1.0,4.0,15.0,14.0,2.0,12.0,3.0,1.0,40.0,130.0,1.0,1.0,0.0,80.0,11.0,2.0,44.0,59.0,7.0,69.0,,2.0,12.0,18.0,6.0,2.0,2.0,135.0,3.0,1.0,3.0,83.0,592.0,10.0,9.0,21.0,17.0,284.0,29.0,5.0,5.0,2.0,1.0,6.0,25.0,366.0,42.0,94147,6.0,167.0,2.0,9.0,201.0,10.0,1.0,18.0,6.0,44.0,1.0,4.0,18.0,3.0,3.0,62.0,292.0,6.0,10.0,1.0,18.0,5.0,63.0,2.0,,0.0,1.0,2.0,0.0,,3.0,39.8,23.0,2.0,4.0,,4.0,4.0,39.0,4.0,378.0,17.0,7.0,21.0,9.0,20.0,1.0,6.0,192.0,12.0,1.0,12.0,55.0,27.0,2.0,5.0,32.0,12.0,3.0,18.0,2.0,11.0,4.0,,1.0,3.0,3.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,2.0,2.0,,,,2.0,1.0,2.0,3.0,,4.0,1.0,,,,3.0,1.0,1.0,2.0,,,,,,1.0,,,3.0,,3.0,1.0,,,1.0,,2.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,
28,1059979,2020-03-01 14:00:00,"Tottenham Hotspur Stadium, London",58064.0,Away,Wolverhampton Wanderers,Tottenham Hotspur,3,2,W,1,2,0,0,,67.0,,2.0,35.0,28.0,3.0,3.0,11.0,3.0,1.0,138.0,8.0,14.0,10.0,4.0,63.0,130.0,68.0,14.0,21.0,1.0,,1.0,,1.0,16.0,10.0,,28.0,4.0,8.0,43.0,137.0,,,0.0,81.0,14.0,,52.0,52.0,4.0,42.0,3.0,2.0,12.0,12.0,3.0,1.0,2.0,130.0,2.0,,10.0,79.0,535.0,5.0,7.0,25.0,17.0,222.0,34.0,5.0,13.0,2.0,5.0,6.0,19.0,301.0,39.0,94147,8.0,109.0,1.0,8.0,128.0,6.0,,12.0,5.0,68.0,,2.0,11.0,3.0,4.0,72.0,238.0,11.0,11.0,4.0,26.0,3.0,70.0,,,0.0,4.0,1.0,0.0,,2.0,34.5,16.0,2.0,2.0,1.0,2.0,3.0,43.0,5.0,322.0,17.0,10.0,20.0,7.0,22.0,3.0,5.0,210.0,8.0,7.0,18.0,50.0,22.0,3.0,13.0,25.0,10.0,3.0,26.0,3.0,4.0,5.0,,,3.0,1.0,,,,,,3.0,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,1.0,3.0,2.0,3.0,2.0,5.0,1.0,,2.0,,3.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,3.0,1.0,2.0,2.0,,,1.0,,3.0,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
29,1059991,2020-03-07 15:00:00,"Molineux Stadium, Wolverhampton",31490.0,Home,Wolverhampton Wanderers,Brighton and Hove Albion,0,0,D,0,0,0,0,,75.0,1.0,2.0,43.0,14.0,6.0,1.0,5.0,1.0,1.0,164.0,4.0,16.0,7.0,1.0,114.0,170.0,65.0,11.0,20.0,1.0,2.0,1.0,1.0,2.0,17.0,17.0,,14.0,1.0,9.0,58.0,155.0,,1.0,0.0,100.0,4.0,2.0,56.0,52.0,3.0,74.0,,1.0,16.0,23.0,6.0,7.0,5.0,170.0,,,2.0,106.0,668.0,7.0,4.0,19.0,8.0,332.0,37.0,7.0,8.0,1.0,2.0,4.0,25.0,440.0,49.0,94147,4.0,192.0,1.0,8.0,236.0,3.0,,23.0,9.0,57.0,,2.0,13.0,5.0,5.0,84.0,343.0,7.0,10.0,,21.0,,78.0,2.0,,0.0,,1.0,0.0,1.0,,43.1,23.0,,3.0,,2.0,3.0,48.0,2.0,458.0,8.0,11.0,23.0,7.0,19.0,,2.0,239.0,10.0,8.0,20.0,59.0,29.0,3.0,8.0,22.0,11.0,2.0,28.0,3.0,12.0,2.0,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,4.0,4.0,,,4.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1060001,2020-06-20 17:30:00,"London Stadium, London",,Away,Wolverhampton Wanderers,West Ham United,2,0,W,0,0,0,0,,45.0,1.0,1.0,43.0,18.0,4.0,3.0,6.0,2.0,1.0,152.0,6.0,13.0,9.0,6.0,134.0,138.0,60.0,10.0,19.0,3.0,,,,1.0,19.0,11.0,1.0,18.0,5.0,2.0,43.0,189.0,,1.0,0.0,119.0,7.0,,74.0,68.0,8.0,97.0,,,14.0,18.0,4.0,3.0,1.0,138.0,1.0,,3.0,123.0,695.0,7.0,7.0,25.0,10.0,404.0,20.0,4.0,10.0,1.0,3.0,1.0,26.0,493.0,55.0,94147,2.0,231.0,,9.0,263.0,7.0,1.0,18.0,4.0,50.0,1.0,5.0,12.0,4.0,2.0,70.0,414.0,6.0,9.0,,17.0,1.0,68.0,,2.0,0.0,5.0,2.0,0.0,,2.0,57.8,22.0,,1.0,2.0,5.0,3.0,44.0,7.0,506.0,10.0,5.0,31.0,1.0,28.0,1.0,,262.0,5.0,2.0,24.0,83.0,16.0,2.0,10.0,18.0,9.0,4.0,23.0,2.0,11.0,7.0,,,2.0,2.0,,,1.0,,,,1.0,,2.0,,,1.0,,2.0,1.0,,,,,1.0,1.0,,5.0,2.0,,,,1.0,,,2.0,,2.0,,,3.0,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,,1.0,,,2.0,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
31,1060011,2020-06-24 18:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Bournemouth,1,0,W,0,0,0,0,1.0,60.0,,1.0,34.0,24.0,4.0,4.0,5.0,,,139.0,4.0,8.0,6.0,2.0,107.0,124.0,50.0,10.0,21.0,1.0,2.0,1.0,,1.0,22.0,8.0,,24.0,6.0,5.0,45.0,159.0,2.0,1.0,0.0,93.0,11.0,2.0,42.0,77.0,3.0,74.0,,1.0,16.0,23.0,5.0,2.0,5.0,124.0,1.0,,1.0,105.0,613.0,3.0,3.0,14.0,10.0,342.0,23.0,7.0,12.0,3.0,2.0,3.0,21.0,412.0,50.0,94147,2.0,198.0,1.0,11.0,222.0,5.0,,23.0,1.0,60.0,2.0,4.0,8.0,3.0,1.0,64.0,353.0,10.0,12.0,2.0,19.0,1.0,65.0,2.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,55.1,16.0,1.0,4.0,,4.0,1.0,42.0,6.0,425.0,10.0,11.0,22.0,7.0,28.0,2.0,2.0,225.0,4.0,5.0,18.0,61.0,25.0,2.0,12.0,14.0,7.0,4.0,14.0,2.0,12.0,6.0,,,1.0,4.0,,,,,,,,,3.0,,,,,1.0,1.0,1.0,,,1.0,2.0,,,2.0,1.0,,,,,,,,,2.0,2.0,,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,
32,1060014,2020-06-27 12:30:00,"Villa Park, Birmingham",,Away,Wolverhampton Wanderers,Aston Villa,1,0,W,0,0,0,0,3.0,54.0,1.0,1.0,58.0,9.0,2.0,1.0,7.0,1.0,,167.0,4.0,8.0,7.0,2.0,111.0,129.0,60.0,9.0,21.0,1.0,,3.0,,2.0,13.0,6.0,,9.0,1.0,4.0,67.0,232.0,,1.0,0.0,147.0,16.0,,88.0,110.0,3.0,80.0,1.0,3.0,12.0,14.0,2.0,1.0,2.0,129.0,,,9.0,106.0,601.0,3.0,7.0,15.0,7.0,348.0,30.0,4.0,4.0,1.0,2.0,4.0,19.0,430.0,45.0,94147,4.0,145.0,1.0,10.0,172.0,7.0,,14.0,16.0,50.0,2.0,3.0,12.0,2.0,10.0,89.0,373.0,16.0,9.0,3.0,16.0,1.0,74.0,,1.0,0.0,2.0,4.0,0.0,1.0,2.0,52.0,16.0,1.0,2.0,,3.0,1.0,43.0,2.0,464.0,7.0,5.0,46.0,6.0,15.0,1.0,4.0,305.0,5.0,4.0,26.0,118.0,17.0,,4.0,10.0,6.0,2.0,11.0,,3.0,2.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,1.0,4.0,,,3.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
33,1060031,2020-07-04 17:30:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Arsenal,0,2,L,0,1,0,0,,59.0,,1.0,45.0,9.0,4.0,4.0,6.0,2.0,1.0,178.0,5.0,6.0,10.0,1.0,118.0,140.0,47.0,10.0,13.0,1.0,,1.0,1.0,2.0,16.0,7.0,,9.0,2.0,7.0,53.0,219.0,1.0,,0.0,111.0,6.0,,74.0,70.0,5.0,82.0,,1.0,14.0,11.0,4.0,4.0,1.0,140.0,2.0,,6.0,138.0,692.0,9.0,6.0,17.0,8.0,428.0,29.0,4.0,5.0,2.0,3.0,5.0,27.0,497.0,45.0,94147,4.0,227.0,2.0,8.0,252.0,4.0,,11.0,4.0,56.0,1.0,3.0,17.0,2.0,3.0,76.0,441.0,11.0,8.0,1.0,13.0,,81.0,,,0.0,5.0,4.0,0.0,,2.0,51.9,22.0,2.0,1.0,1.0,3.0,4.0,57.0,3.0,516.0,8.0,17.0,30.0,5.0,31.0,,4.0,280.0,4.0,7.0,17.0,83.0,23.0,1.0,5.0,13.0,8.0,3.0,18.0,1.0,4.0,3.0,,,,6.0,,,,,,,2.0,,2.0,,,,,,,1.0,,,,2.0,3.0,2.0,5.0,,,2.0,,,,,3.0,,1.0,1.0,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,
34,1060039,2020-07-08 18:00:00,"Bramall Lane, Sheffield",,Away,Wolverhampton Wanderers,Sheffield United,0,1,L,0,0,0,0,1.0,61.0,,,35.0,27.0,4.0,,2.0,2.0,1.0,191.0,2.0,14.0,4.0,1.0,137.0,148.0,54.0,6.0,27.0,1.0,1.0,,,1.0,12.0,6.0,,27.0,,2.0,49.0,166.0,1.0,,0.0,106.0,6.0,1.0,42.0,80.0,1.0,73.0,1.0,1.0,12.0,16.0,4.0,,3.0,148.0,,,6.0,144.0,731.0,3.0,6.0,14.0,15.0,423.0,37.0,1.0,13.0,0.0,1.0,3.0,21.0,524.0,40.0,94147,1.0,271.0,,11.0,313.0,1.0,2.0,16.0,11.0,58.0,,5.0,12.0,1.0,4.0,78.0,435.0,5.0,10.0,1.0,20.0,,79.0,1.0,1.0,0.0,6.0,2.0,0.0,1.0,1.0,57.2,21.0,1.0,2.0,,5.0,,47.0,1.0,545.0,15.0,7.0,23.0,5.0,19.0,,1.0,244.0,5.0,2.0,22.0,69.0,15.0,3.0,13.0,13.0,3.0,1.0,23.0,3.0,9.0,1.0,,,,2.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,1.0,,2.0,1.0,2.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,
35,1060051,2020-07-12 12:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Everton,3,0,W,1,0,0,0,,52.0,,1.0,39.0,11.0,4.0,3.0,10.0,2.0,3.0,148.0,2.0,15.0,10.0,7.0,169.0,113.0,47.0,14.0,14.0,4.0,4.0,,1.0,1.0,10.0,6.0,,11.0,3.0,10.0,43.0,215.0,,1.0,0.0,122.0,9.0,5.0,84.0,87.0,6.0,86.0,,1.0,7.0,18.0,4.0,3.0,2.0,113.0,4.0,,5.0,161.0,717.0,7.0,5.0,16.0,13.0,472.0,26.0,1.0,7.0,0.0,3.0,4.0,20.0,547.0,45.0,94147,5.0,274.0,2.0,3.0,295.0,4.0,1.0,18.0,6.0,40.0,1.0,3.0,9.0,1.0,4.0,61.0,487.0,9.0,7.0,1.0,8.0,1.0,72.0,4.0,1.0,0.0,2.0,2.0,0.0,,1.0,55.1,14.0,,1.0,3.0,3.0,3.0,53.0,5.0,564.0,13.0,6.0,26.0,4.0,25.0,1.0,1.0,279.0,10.0,9.0,14.0,88.0,18.0,2.0,7.0,9.0,10.0,3.0,19.0,2.0,8.0,5.0,,1.0,3.0,3.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,,,3.0,,,2.0,1.0,1.0,,1.0,,3.0,1.0,,3.0,1.0,1.0,1.0,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
36,1060053,2020-07-15 18:00:00,"Turf Moor, Burnley",,Away,Wolverhampton Wanderers,Burnley,1,1,D,0,0,0,0,1.0,62.0,,1.0,33.0,20.0,4.0,2.0,10.0,,2.0,159.0,5.0,16.0,10.0,5.0,87.0,147.0,61.0,14.0,29.0,3.0,1.0,4.0,1.0,3.0,20.0,7.0,1.0,20.0,7.0,8.0,58.0,188.0,1.0,,0.0,111.0,8.0,1.0,66.0,64.0,6.0,71.0,1.0,,13.0,17.0,4.0,1.0,1.0,147.0,1.0,,7.0,96.0,598.0,8.0,4.0,22.0,13.0,304.0,22.0,4.0,14.0,0.0,3.0,4.0,21.0,390.0,49.0,94147,3.0,134.0,1.0,11.0,162.0,3.0,1.0,17.0,6.0,50.0,1.0,3.0,15.0,2.0,3.0,74.0,317.0,9.0,3.0,2.0,20.0,1.0,79.0,1.0,,0.0,3.0,2.0,0.0,,3.0,53.3,15.0,1.0,1.0,1.0,3.0,3.0,43.0,8.0,413.0,13.0,6.0,31.0,6.0,25.0,1.0,5.0,271.0,9.0,8.0,27.0,78.0,29.0,2.0,14.0,9.0,12.0,4.0,22.0,2.0,6.0,8.0,,,1.0,1.0,,,,,,,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,4.0,,1.0,1.0,,,,,2.0,,2.0,,,,1.0,,,1.0,2.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,2.0,,,,,,2.0,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,1.0
37,1060071,2020-07-20 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Crystal Palace,2,0,W,1,0,0,0,,60.0,2.0,2.0,49.0,14.0,2.0,1.0,9.0,3.0,3.0,151.0,3.0,16.0,8.0,5.0,116.0,133.0,68.0,11.0,18.0,2.0,,2.0,,2.0,18.0,9.0,1.0,14.0,3.0,6.0,65.0,199.0,,1.0,0.0,122.0,11.0,,72.0,98.0,5.0,78.0,1.0,,15.0,19.0,2.0,3.0,,133.0,2.0,,4.0,120.0,651.0,6.0,5.0,21.0,9.0,360.0,22.0,3.0,7.0,2.0,3.0,3.0,20.0,440.0,61.0,94147,3.0,184.0,1.0,10.0,208.0,5.0,2.0,19.0,4.0,49.0,,1.0,13.0,3.0,3.0,81.0,380.0,14.0,8.0,1.0,16.0,1.0,81.0,,2.0,0.0,2.0,3.0,0.0,3.0,2.0,53.4,17.0,1.0,1.0,1.0,1.0,3.0,58.0,5.0,465.0,9.0,6.0,40.0,3.0,18.0,,3.0,275.0,7.0,6.0,22.0,80.0,28.0,,7.0,18.0,9.0,2.0,23.0,,10.0,5.0,,,2.0,3.0,,,,,,,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,4.0,1.0,,3.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,1060074,2020-07-26 16:00:00,"Stamford Bridge, London",,Away,Wolverhampton Wanderers,Chelsea,0,2,L,0,2,0,0,,77.0,1.0,1.0,27.0,6.0,4.0,2.0,1.0,1.0,1.0,153.0,1.0,8.0,4.0,1.0,87.0,180.0,63.0,5.0,21.0,,,,1.0,,9.0,16.0,1.0,6.0,3.0,12.0,54.0,107.0,1.0,,0.0,99.0,16.0,,40.0,61.0,3.0,45.0,1.0,,6.0,17.0,4.0,,1.0,180.0,,2.0,8.0,85.0,561.0,4.0,6.0,9.0,8.0,242.0,42.0,3.0,4.0,3.0,2.0,1.0,29.0,346.0,58.0,94147,1.0,150.0,,6.0,184.0,11.0,,17.0,7.0,75.0,1.0,1.0,18.0,3.0,4.0,69.0,256.0,9.0,8.0,,19.0,2.0,78.0,,,0.0,3.0,,0.0,2.0,1.0,37.1,23.0,,3.0,,1.0,3.0,39.0,3.0,370.0,8.0,15.0,27.0,1.0,14.0,1.0,,195.0,2.0,10.0,26.0,49.0,29.0,1.0,4.0,22.0,2.0,5.0,23.0,1.0,11.0,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,2.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
