gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,savedObox,saves,attLfGoal,attGoalLowCentre,goals,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissHighRight,penaltyWon,divingSave,midfielderGoals,interceptionsInBox,goalAssist,errorLeadToShot,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,goalAssistIntentional,forwardGoals,effectiveBlockedCross,goalsConcededIbox,blockedCross,attHdTarget,accurateThroughBall,overrun,shieldBallOop,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attSetpiece,attGoalLowLeft,attSvLowLeft,attCmissHighLeft,attSvHighCentre,penaltySave,goalAssistSetplay,attGoalHighCentre,penaltyConceded,defenderGoals,penaltyFaced,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,clearanceOffLine,shotFastbreak,attOneOnOne,totalFastbreak,attCorner,attFastbreak,attCmissHighRight,attPostRight,handBall,attFreekickPost,attPostLeft,attHdGoal,ptsDroppedWinningPos,attOboxGoal,punches,goalAssistDeadball,attFreekickTarget,attGoalHighLeft,attObxdLeft,attObxRight,goalFastbreak,attLgCentre,foulThrowIn,penGoalsConceded,attFreekickGoal,attObxdRight,secondYellow
27,919158,2018-02-11 16:30:00,"St. Mary's Stadium, Southampton",31915,Home,Southampton,Liverpool,0,2,L,0,2,0,0,,77.0,,37.0,11.0,1.0,1.0,5.0,1.0,209.0,5.0,15.0,2.0,6.0,,,4.0,133.0,174.0,58.0,,6.0,,20.0,,,2.0,21.0,,9.0,,11.0,3.0,14.0,54.0,216.0,1.0,,0.0,120.0,5.0,,3.0,,118.0,83.0,4.0,84.0,,18.0,29.0,1.0,,7.0,1.0,174.0,2.0,,11.0,119.0,,736.0,5.0,8.0,15.0,,16.0,416.0,26.0,,9.0,3.0,1.0,4.0,2.0,26.0,524.0,51.0,1.0,98914,4.0,216.0,2.0,8.0,,241.0,1.0,,29.0,13.0,49.0,,,4.0,18.0,5.0,4.0,,73.0,427.0,7.0,11.0,1.0,22.0,106.0,1.0,0.0,,3.0,0.0,5.0,3.0,52.2,24.0,,1.0,,4.0,,60.0,3.0,,545.0,16.0,,12.0,33.0,2.0,29.0,,1.0,325.0,2.0,14.0,21.0,83.0,44.0,3.0,15.0,5.0,3.0,17.0,11.0,3.0,,,1.0,2.0,,,,4.0,,2.0,,,2.0,,,,1.0,,5.0,,,1.0,1.0,1.0,,,2.0,,,1.0,2.0,1.0,3.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,919166,2018-02-24 15:00:00,"Turf Moor, Burnley",20982,Away,Southampton,Burnley,1,1,D,0,0,0,0,2.0,71.0,2.0,21.0,37.0,5.0,5.0,8.0,1.0,162.0,5.0,9.0,2.0,10.0,,1.0,6.0,76.0,162.0,62.0,,13.0,2.0,30.0,,,1.0,15.0,,16.0,1.0,37.0,5.0,11.0,34.0,142.0,1.0,,0.0,125.0,14.0,1.0,2.0,,68.0,66.0,7.0,58.0,1.0,11.0,16.0,5.0,,2.0,2.0,162.0,,,8.0,82.0,,574.0,6.0,14.0,18.0,1.0,11.0,241.0,32.0,,6.0,16.0,0.0,2.0,3.0,26.0,355.0,59.0,,98914,8.0,116.0,,7.0,,143.0,9.0,1.0,16.0,10.0,56.0,,1.0,3.0,13.0,1.0,3.0,1.0,82.0,253.0,6.0,6.0,3.0,42.0,90.0,,0.0,,3.0,0.0,3.0,3.0,49.9,21.0,1.0,3.0,,3.0,4.0,31.0,5.0,1.0,378.0,11.0,,5.0,14.0,3.0,17.0,3.0,1.0,250.0,4.0,11.0,24.0,73.0,29.0,16.0,23.0,10.0,3.0,12.0,8.0,5.0,,,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,7.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,2.0,2.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
29,919179,2018-03-03 15:00:00,"St. Mary's Stadium, Southampton",30335,Home,Southampton,Stoke City,0,0,D,0,0,0,0,1.0,58.0,5.0,27.0,13.0,9.0,3.0,9.0,5.0,163.0,10.0,17.0,6.0,13.0,,1.0,6.0,95.0,158.0,62.0,,18.0,2.0,27.0,1.0,,1.0,44.0,,10.0,3.0,13.0,12.0,10.0,30.0,213.0,1.0,1.0,0.0,154.0,8.0,,5.0,2.0,92.0,82.0,10.0,59.0,2.0,32.0,19.0,9.0,,6.0,4.0,158.0,1.0,,3.0,105.0,,639.0,11.0,7.0,35.0,,5.0,310.0,23.0,,4.0,3.0,0.0,,3.0,32.0,398.0,60.0,1.0,98914,5.0,126.0,1.0,21.0,,144.0,4.0,1.0,19.0,11.0,55.0,,2.0,6.0,10.0,9.0,7.0,1.0,62.0,329.0,13.0,8.0,2.0,26.0,71.0,1.0,0.0,,3.0,0.0,7.0,1.0,65.2,31.0,1.0,3.0,2.0,6.0,7.0,39.0,15.0,2.0,422.0,5.0,,12.0,18.0,5.0,51.0,3.0,1.0,322.0,11.0,10.0,15.0,107.0,25.0,3.0,18.0,11.0,3.0,18.0,3.0,15.0,,,1.0,3.0,,,,3.0,,1.0,1.0,,1.0,,,,,,2.0,,,1.0,4.0,2.0,,,,,,1.0,,1.0,,1.0,5.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,919189,2018-03-10 15:00:00,"St. James' Park, Newcastle",52246,Away,Southampton,Newcastle United,0,3,L,0,2,0,0,1.0,62.0,,31.0,12.0,3.0,1.0,3.0,1.0,190.0,5.0,10.0,1.0,5.0,,,2.0,124.0,189.0,54.0,,6.0,1.0,28.0,,,1.0,24.0,,10.0,1.0,12.0,6.0,12.0,52.0,207.0,,,0.0,151.0,10.0,,1.0,,100.0,109.0,3.0,72.0,,18.0,20.0,3.0,,2.0,1.0,189.0,1.0,,5.0,123.0,,692.0,3.0,14.0,12.0,,4.0,360.0,26.0,,5.0,10.0,2.0,,2.0,43.0,485.0,76.0,,98914,3.0,172.0,1.0,15.0,,202.0,7.0,1.0,20.0,8.0,60.0,,,6.0,12.0,2.0,2.0,1.0,81.0,374.0,10.0,8.0,2.0,27.0,94.0,,0.0,,5.0,0.0,3.0,2.0,63.0,40.0,2.0,,,6.0,1.0,43.0,6.0,,509.0,4.0,,10.0,18.0,3.0,33.0,2.0,2.0,331.0,3.0,8.0,20.0,87.0,28.0,10.0,14.0,4.0,3.0,15.0,6.0,6.0,,,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,3.0,,,1.0,2.0,1.0,,,4.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
31,919200,2018-05-08 19:45:00,"Liberty Stadium, Swansea",20858,Away,Southampton,Swansea City,1,0,W,0,0,0,0,1.0,61.0,2.0,22.0,56.0,4.0,3.0,9.0,4.0,175.0,10.0,2.0,,11.0,,1.0,8.0,75.0,151.0,65.0,,13.0,,36.0,2.0,,1.0,18.0,,7.0,2.0,56.0,6.0,9.0,28.0,161.0,,1.0,0.0,121.0,15.0,,,2.0,60.0,69.0,8.0,45.0,2.0,12.0,19.0,4.0,,5.0,2.0,151.0,1.0,,4.0,77.0,,565.0,10.0,12.0,22.0,,7.0,245.0,29.0,,8.0,33.0,1.0,3.0,3.0,20.0,352.0,65.0,,98914,4.0,102.0,1.0,7.0,1.0,122.0,9.0,,19.0,9.0,71.0,,1.0,2.0,10.0,7.0,3.0,,78.0,253.0,7.0,9.0,1.0,40.0,99.0,,0.0,,5.0,0.0,5.0,2.0,46.7,19.0,,2.0,,2.0,2.0,39.0,6.0,2.0,372.0,7.0,,7.0,8.0,3.0,24.0,5.0,1.0,268.0,7.0,8.0,45.0,65.0,24.0,33.0,14.0,8.0,3.0,6.0,7.0,6.0,1.0,1.0,3.0,3.0,1.0,,1.0,5.0,,5.0,,,2.0,,,,,,,,,1.0,7.0,,1.0,,,,,4.0,,4.0,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
32,918912,2018-03-31 15:00:00,"London Stadium, London",56882,Away,Southampton,West Ham United,0,3,L,0,3,0,0,,60.0,4.0,20.0,28.0,3.0,3.0,6.0,,166.0,6.0,12.0,1.0,9.0,,1.0,,84.0,164.0,54.0,,9.0,,20.0,,,1.0,19.0,,12.0,,28.0,8.0,10.0,24.0,174.0,,,0.0,129.0,16.0,,1.0,,79.0,58.0,4.0,52.0,4.0,11.0,18.0,3.0,,3.0,3.0,164.0,,,8.0,102.0,,604.0,7.0,9.0,13.0,,10.0,277.0,22.0,,5.0,10.0,3.0,3.0,5.0,22.0,382.0,59.0,,98914,5.0,125.0,,7.0,,145.0,10.0,,18.0,8.0,64.0,,1.0,2.0,16.0,4.0,5.0,,64.0,293.0,9.0,9.0,2.0,29.0,84.0,,0.0,,2.0,0.0,3.0,2.0,51.9,19.0,2.0,1.0,1.0,2.0,4.0,39.0,9.0,,404.0,10.0,,12.0,6.0,5.0,33.0,3.0,2.0,278.0,4.0,9.0,16.0,79.0,34.0,10.0,17.0,7.0,3.0,19.0,11.0,9.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,5.0,1.0,,,3.0,,,4.0,3.0,4.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,919214,2018-04-08 14:15:00,"Emirates Stadium, London",59374,Away,Southampton,Arsenal,2,3,L,1,2,1,1,3.0,65.0,3.0,26.0,24.0,5.0,6.0,10.0,2.0,158.0,3.0,4.0,2.0,11.0,,1.0,8.0,82.0,155.0,50.0,,15.0,,23.0,1.0,,1.0,23.0,,7.0,2.0,24.0,6.0,13.0,40.0,147.0,,,0.0,129.0,7.0,1.0,,1.0,56.0,62.0,8.0,57.0,3.0,17.0,17.0,5.0,,9.0,3.0,155.0,3.0,,7.0,73.0,,559.0,8.0,7.0,24.0,,22.0,250.0,29.0,,9.0,14.0,1.0,2.0,3.0,19.0,348.0,50.0,,88900,6.0,122.0,1.0,8.0,,143.0,7.0,1.0,17.0,5.0,44.0,,1.0,4.0,15.0,6.0,2.0,,64.0,266.0,11.0,3.0,1.0,33.0,73.0,,0.0,,3.0,1.0,2.0,2.0,35.4,16.0,1.0,5.0,1.0,4.0,3.0,34.0,6.0,1.0,370.0,22.0,,8.0,19.0,4.0,33.0,1.0,1.0,250.0,7.0,11.0,23.0,81.0,23.0,14.0,12.0,12.0,2.0,7.0,8.0,6.0,2.0,,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,,,4.0,,,2.0,,1.0,2.0,1.0,,1.0,8.0,2.0,2.0,,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,
34,919229,2018-04-14 12:30:00,"St. Mary's Stadium, Southampton",31764,Home,Southampton,Chelsea,2,3,L,1,0,0,0,2.0,64.0,1.0,23.0,29.0,2.0,4.0,8.0,2.0,160.0,7.0,8.0,4.0,8.0,1.0,,7.0,79.0,144.0,45.0,,10.0,,23.0,,,,20.0,,12.0,1.0,29.0,4.0,10.0,27.0,149.0,,,0.0,110.0,13.0,1.0,5.0,1.0,103.0,32.0,6.0,61.0,1.0,16.0,24.0,2.0,,1.0,1.0,144.0,2.0,1.0,8.0,77.0,,570.0,4.0,7.0,15.0,,15.0,263.0,25.0,1.0,6.0,19.0,5.0,8.0,2.0,25.0,354.0,64.0,2.0,80447,5.0,135.0,,10.0,,156.0,8.0,1.0,24.0,6.0,61.0,,2.0,4.0,10.0,9.0,2.0,,73.0,277.0,12.0,15.0,2.0,42.0,84.0,,0.0,,2.0,0.0,3.0,2.0,42.0,17.0,1.0,3.0,3.0,4.0,1.0,34.0,4.0,1.0,377.0,15.0,,8.0,10.0,2.0,20.0,4.0,1.0,241.0,4.0,10.0,12.0,61.0,28.0,19.0,14.0,7.0,3.0,11.0,10.0,4.0,2.0,2.0,1.0,2.0,2.0,,2.0,4.0,1.0,1.0,,,2.0,,,2.0,,,1.0,1.0,,,7.0,1.0,2.0,,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,1.0,,1.0,,,1.0,,,,,,2.0,,2.0,,2.0,,,1.0,,,,3.0,,,1.0,,,,,,,1.0,,,,
35,919238,2018-04-19 19:45:00,"King Power Stadium, Leicester",31160,Away,Southampton,Leicester City,0,0,D,0,0,0,0,,57.0,,19.0,33.0,2.0,3.0,4.0,2.0,144.0,3.0,14.0,3.0,4.0,,1.0,2.0,78.0,167.0,54.0,,6.0,,26.0,1.0,,1.0,20.0,,8.0,1.0,33.0,3.0,13.0,25.0,157.0,,1.0,0.0,107.0,10.0,,2.0,1.0,91.0,65.0,1.0,58.0,2.0,17.0,21.0,2.0,,7.0,1.0,167.0,1.0,,5.0,104.0,,610.0,3.0,6.0,10.0,,14.0,269.0,23.0,1.0,4.0,17.0,0.0,4.0,2.0,35.0,361.0,53.0,,83283,2.0,126.0,2.0,8.0,,149.0,7.0,,21.0,9.0,69.0,,,3.0,19.0,6.0,4.0,,54.0,280.0,10.0,16.0,,22.0,78.0,,0.0,,2.0,0.0,2.0,,45.6,30.0,,2.0,,3.0,,37.0,3.0,1.0,384.0,14.0,,13.0,12.0,4.0,23.0,1.0,3.0,255.0,3.0,12.0,13.0,65.0,26.0,17.0,17.0,5.0,3.0,18.0,6.0,3.0,,,2.0,3.0,,,,1.0,,2.0,,,1.0,,1.0,,,,2.0,,,,11.0,1.0,,,,,,7.0,,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
36,919249,2018-04-28 15:00:00,"St. Mary's Stadium, Southampton",31778,Home,Southampton,Bournemouth,2,1,W,1,1,0,0,2.0,66.0,3.0,18.0,31.0,5.0,8.0,8.0,2.0,145.0,1.0,5.0,,8.0,1.0,2.0,6.0,89.0,146.0,59.0,,14.0,1.0,21.0,,,1.0,12.0,,17.0,2.0,31.0,4.0,7.0,28.0,124.0,,,0.0,103.0,12.0,,1.0,2.0,63.0,47.0,6.0,49.0,2.0,8.0,12.0,6.0,,3.0,3.0,146.0,3.0,,6.0,67.0,,539.0,7.0,3.0,23.0,,15.0,238.0,37.0,,6.0,21.0,5.0,2.0,2.0,13.0,322.0,62.0,,88900,7.0,128.0,3.0,4.0,,143.0,7.0,3.0,12.0,7.0,56.0,,1.0,1.0,16.0,8.0,2.0,,74.0,251.0,11.0,12.0,,37.0,83.0,,0.0,,2.0,0.0,1.0,,40.3,8.0,,2.0,,1.0,4.0,29.0,5.0,2.0,350.0,15.0,,7.0,12.0,4.0,25.0,,1.0,219.0,6.0,7.0,22.0,54.0,20.0,21.0,21.0,13.0,3.0,9.0,9.0,5.0,1.0,1.0,2.0,6.0,2.0,,2.0,2.0,1.0,1.0,1.0,,4.0,,,1.0,,,1.0,2.0,,2.0,8.0,4.0,2.0,,1.0,1.0,2.0,4.0,1.0,4.0,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,
37,919257,2018-05-05 17:30:00,"Goodison Park, Liverpool",38225,Away,Southampton,Everton,1,1,D,0,0,1,0,2.0,56.0,1.0,21.0,29.0,8.0,3.0,3.0,2.0,156.0,1.0,11.0,2.0,6.0,,,5.0,81.0,140.0,63.0,2.0,11.0,3.0,31.0,1.0,,,12.0,,12.0,3.0,29.0,4.0,10.0,32.0,136.0,,,0.0,103.0,12.0,,,2.0,46.0,56.0,4.0,57.0,,8.0,12.0,8.0,2.0,1.0,2.0,140.0,1.0,,6.0,64.0,,545.0,5.0,8.0,11.0,,9.0,250.0,28.0,,4.0,19.0,4.0,1.0,2.0,21.0,332.0,59.0,,88900,,129.0,,7.0,,144.0,6.0,1.0,12.0,9.0,62.0,,2.0,3.0,16.0,3.0,4.0,1.0,62.0,264.0,13.0,8.0,,28.0,71.0,,0.0,,2.0,1.0,1.0,1.0,45.6,18.0,,3.0,,3.0,4.0,30.0,4.0,2.0,358.0,9.0,,10.0,15.0,2.0,23.0,,,226.0,7.0,8.0,22.0,55.0,20.0,19.0,17.0,9.0,3.0,12.0,8.0,4.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,4.0,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,1.0,,,,,,,,,,1.0
38,919269,2018-05-13 15:00:00,"St. Mary's Stadium, Southampton",31882,Home,Southampton,Manchester City,0,1,L,0,0,0,0,1.0,54.0,,21.0,30.0,1.0,2.0,7.0,1.0,121.0,2.0,8.0,3.0,5.0,,1.0,3.0,38.0,131.0,55.0,,8.0,,18.0,2.0,1.0,,11.0,1.0,13.0,,30.0,1.0,4.0,20.0,104.0,,,0.0,82.0,8.0,,3.0,,35.0,51.0,1.0,38.0,2.0,10.0,17.0,1.0,,2.0,1.0,131.0,,,6.0,62.0,1.0,441.0,4.0,6.0,12.0,1.0,11.0,159.0,28.0,,5.0,13.0,3.0,6.0,4.0,21.0,235.0,41.0,,88900,4.0,71.0,,5.0,,91.0,5.0,,17.0,12.0,53.0,,1.0,,11.0,7.0,6.0,1.0,62.0,173.0,7.0,14.0,1.0,28.0,64.0,,0.0,1.0,2.0,0.0,1.0,2.0,30.3,16.0,,7.0,1.0,,,28.0,1.0,,259.0,11.0,,9.0,8.0,5.0,23.0,1.0,3.0,179.0,4.0,4.0,17.0,42.0,14.0,13.0,24.0,5.0,3.0,12.0,7.0,1.0,,,,1.0,,,,3.0,,2.0,1.0,,,,1.0,,,,4.0,,,,12.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,3.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
