gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,attOboxTarget,attSvHighRight,overrun,foulThrowIn,attBxLeft,attSvHighCentre,errorLeadToGoal,attObxLeft,cleanSheet,attSvLowLeft,attCmissHigh,attSvLowRight,attObxRight,bigChanceScored,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,midfielderGoals,freekickTotal,attRfGoal,attFreekickTarget,shieldBallOop,attFreekickMiss,attCmissHighRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,hitWoodwork,totalKeeperSweeper,attPostRight,goalAssistSetplay,goalAssistDeadball,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attGoalLowCentre,shotFastbreak,goalFastbreak,attOboxGoal,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,attOneOnOne,attGoalHighCentre,attHdPost,attLgCentre,secondYellow,penaltyWon,attPenGoal,handBall,attOboxPost,attPostHigh,attPostLeft,attFreekickGoal,attObxdRight,attFreekickPost,attPenTarget,attObxdLeft,attCmissHighLeft
28,803436,2016-03-01 19:45:00,"Vitality Stadium, Bournemouth",11033,Away,Southampton,Bournemouth,0,2,L,0,1,0,0,48.0,,1.0,1.0,45.0,38.0,2.0,1.0,2.0,1.0,156.0,1.0,6.0,,1.0,6.0,1.0,1.0,105.0,152.0,55.0,6.0,1.0,20.0,1.0,,,1.0,1.0,16.0,11.0,31.0,2.0,11.0,55.0,171.0,,0.0,130.0,18.0,1.0,,1.0,,68.0,65.0,3.0,70.0,,1.0,14.0,16.0,6.0,1.0,145.0,2.0,4.0,93.0,604.0,6.0,21.0,,9.0,309.0,18.0,,11.0,20.0,,0.0,3.0,3.0,29.0,399.0,72.0,2.0,,,97032,3.0,157.0,2.0,7.0,,169.0,3.0,1.0,16.0,9.0,53.0,2.0,4.0,2.0,,10.0,5.0,7.0,1.0,75.0,327.0,10.0,7.0,,23.0,96.0,,1.0,1.0,0.0,10.0,1.0,,2.0,7.0,0.0,1.0,,,54.6,24.0,,1.0,2.0,2.0,,61.0,2.0,,424.0,9.0,11.0,30.0,3.0,28.0,,2.0,271.0,4.0,9.0,27.0,77.0,25.0,,5.0,17.0,13.0,,2.0,6.0,3.0,7.0,5.0,9.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,3.0,,,,,,,,,
29,803450,2016-03-05 15:00:00,"St. Mary's Stadium, Southampton",31458,Home,Southampton,Sunderland,1,1,D,0,0,1,0,55.0,1.0,1.0,4.0,34.0,40.0,5.0,8.0,2.0,2.0,195.0,4.0,10.0,1.0,2.0,11.0,,5.0,105.0,168.0,50.0,16.0,3.0,19.0,4.0,1.0,1.0,1.0,1.0,34.0,5.0,33.0,12.0,23.0,55.0,237.0,,0.0,174.0,9.0,2.0,1.0,1.0,2.0,77.0,75.0,10.0,76.0,2.0,1.0,22.0,22.0,5.0,3.0,161.0,1.0,7.0,120.0,707.0,9.0,9.0,1.0,14.0,378.0,19.0,,6.0,21.0,1.0,2.0,4.0,1.0,19.0,477.0,81.0,,,1.0,97032,8.0,159.0,1.0,16.0,,182.0,4.0,4.0,22.0,9.0,47.0,2.0,1.0,5.0,1.0,11.0,4.0,6.0,2.0,68.0,392.0,8.0,9.0,1.0,19.0,87.0,,1.0,,0.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,65.1,17.0,,1.0,5.0,7.0,,57.0,12.0,2.0,496.0,14.0,9.0,33.0,4.0,53.0,2.0,1.0,348.0,7.0,20.0,23.0,121.0,29.0,,5.0,21.0,10.0,,1.0,14.0,3.0,13.0,5.0,10.0,12.0,,1.0,,2.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
30,803457,2016-03-12 15:00:00,"bet365 Stadium, Stoke",27833,Away,Southampton,Stoke City,2,1,W,2,0,1,0,61.0,,,1.0,27.0,42.0,5.0,4.0,1.0,1.0,166.0,4.0,9.0,2.0,3.0,9.0,,4.0,68.0,157.0,62.0,11.0,1.0,25.0,2.0,2.0,1.0,,,21.0,15.0,36.0,3.0,7.0,28.0,144.0,1.0,0.0,112.0,12.0,1.0,1.0,1.0,,71.0,43.0,6.0,54.0,,,18.0,13.0,4.0,3.0,151.0,2.0,5.0,57.0,548.0,6.0,8.0,1.0,10.0,236.0,27.0,2.0,6.0,24.0,2.0,2.0,3.0,2.0,24.0,315.0,64.0,1.0,,,97032,2.0,112.0,2.0,13.0,,128.0,6.0,1.0,13.0,16.0,70.0,2.0,1.0,,1.0,12.0,8.0,7.0,1.0,70.0,252.0,13.0,12.0,,22.0,94.0,,,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,39.4,18.0,,2.0,,2.0,,46.0,4.0,,345.0,10.0,20.0,14.0,5.0,27.0,2.0,1.0,238.0,5.0,6.0,20.0,68.0,30.0,2.0,5.0,22.0,20.0,1.0,1.0,8.0,3.0,10.0,5.0,5.0,4.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,2.0,,,2.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,
31,803466,2016-03-20 13:30:00,"St. Mary's Stadium, Southampton",31596,Home,Southampton,Liverpool,3,2,W,0,2,0,0,68.0,1.0,1.0,2.0,38.0,31.0,7.0,6.0,6.0,2.0,180.0,5.0,9.0,3.0,5.0,13.0,1.0,5.0,110.0,136.0,60.0,16.0,3.0,14.0,1.0,1.0,3.0,,2.0,20.0,15.0,23.0,3.0,12.0,29.0,248.0,1.0,0.0,164.0,10.0,2.0,,3.0,,85.0,61.0,9.0,74.0,5.0,1.0,17.0,24.0,8.0,2.0,128.0,,10.0,102.0,680.0,9.0,14.0,,22.0,363.0,21.0,,14.0,12.0,3.0,1.0,4.0,4.0,13.0,444.0,78.0,,,,97032,6.0,136.0,2.0,6.0,1.0,145.0,5.0,,24.0,5.0,48.0,,3.0,3.0,3.0,10.0,7.0,3.0,2.0,62.0,379.0,13.0,14.0,1.0,25.0,84.0,,1.0,,0.0,5.0,5.0,2.0,2.0,7.0,0.0,3.0,2.0,1.0,49.2,12.0,1.0,5.0,3.0,5.0,,57.0,3.0,,466.0,22.0,7.0,20.0,6.0,26.0,2.0,4.0,341.0,8.0,8.0,20.0,114.0,34.0,1.0,2.0,12.0,18.0,,1.0,12.0,3.0,13.0,2.0,16.0,3.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,
32,803477,2016-04-03 13:30:00,"King Power Stadium, Leicester",32071,Away,Southampton,Leicester City,0,1,L,0,1,0,0,55.0,,1.0,3.0,29.0,38.0,3.0,3.0,4.0,2.0,168.0,7.0,8.0,,5.0,8.0,,2.0,99.0,175.0,67.0,10.0,,17.0,1.0,1.0,,1.0,2.0,45.0,17.0,28.0,7.0,11.0,49.0,217.0,1.0,0.0,166.0,13.0,3.0,,5.0,2.0,65.0,62.0,5.0,46.0,,,38.0,22.0,10.0,2.0,165.0,1.0,8.0,94.0,650.0,8.0,11.0,,11.0,308.0,23.0,1.0,3.0,21.0,,2.0,4.0,3.0,28.0,387.0,73.0,1.0,1.0,,97032,4.0,112.0,1.0,23.0,,130.0,5.0,,22.0,7.0,58.0,1.0,2.0,2.0,,13.0,3.0,5.0,1.0,54.0,322.0,12.0,9.0,,11.0,61.0,,1.0,,0.0,7.0,2.0,,1.0,4.0,0.0,6.0,,1.0,54.0,25.0,1.0,4.0,2.0,3.0,,37.0,8.0,2.0,407.0,11.0,21.0,24.0,5.0,56.0,1.0,3.0,322.0,6.0,10.0,28.0,115.0,23.0,,1.0,18.0,20.0,,1.0,7.0,3.0,9.0,1.0,14.0,8.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
33,803488,2016-04-09 15:00:00,"St. Mary's Stadium, Southampton",31542,Home,Southampton,Newcastle United,3,1,W,2,0,0,0,68.0,2.0,2.0,3.0,27.0,21.0,6.0,7.0,2.0,1.0,189.0,10.0,9.0,3.0,4.0,17.0,,6.0,82.0,169.0,43.0,20.0,2.0,6.0,2.0,1.0,2.0,1.0,4.0,30.0,13.0,18.0,10.0,20.0,36.0,197.0,1.0,0.0,162.0,8.0,2.0,,4.0,1.0,76.0,79.0,9.0,65.0,2.0,2.0,20.0,17.0,4.0,3.0,166.0,2.0,1.0,93.0,640.0,13.0,12.0,1.0,19.0,311.0,32.0,,13.0,11.0,2.0,0.0,1.0,8.0,34.0,416.0,73.0,,,1.0,97032,11.0,134.0,1.0,12.0,,152.0,4.0,4.0,17.0,3.0,40.0,2.0,2.0,1.0,2.0,11.0,4.0,2.0,2.0,59.0,321.0,7.0,7.0,2.0,33.0,82.0,,1.0,,0.0,2.0,,3.0,1.0,4.0,0.0,4.0,,5.0,50.6,29.0,4.0,,1.0,5.0,,49.0,11.0,1.0,429.0,19.0,14.0,21.0,9.0,35.0,6.0,6.0,307.0,7.0,18.0,12.0,101.0,31.0,1.0,2.0,10.0,15.0,,,13.0,3.0,15.0,2.0,7.0,11.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,1.0,1.0,1.0,3.0,,,2.0,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,
34,803496,2016-04-16 15:00:00,"Goodison Park, Liverpool",36761,Away,Southampton,Everton,1,1,D,0,0,0,0,56.0,,1.0,2.0,34.0,16.0,5.0,6.0,1.0,2.0,168.0,8.0,8.0,1.0,3.0,13.0,3.0,4.0,71.0,158.0,53.0,17.0,2.0,14.0,2.0,3.0,1.0,1.0,2.0,40.0,13.0,14.0,7.0,9.0,30.0,213.0,,0.0,188.0,14.0,,,2.0,,49.0,90.0,6.0,57.0,,3.0,33.0,17.0,9.0,2.0,156.0,1.0,3.0,82.0,580.0,9.0,7.0,,15.0,279.0,17.0,,12.0,6.0,1.0,1.0,3.0,7.0,23.0,362.0,73.0,1.0,,,97032,6.0,87.0,,22.0,,95.0,7.0,1.0,17.0,5.0,50.0,1.0,3.0,2.0,1.0,16.0,4.0,3.0,3.0,56.0,292.0,8.0,13.0,3.0,23.0,65.0,,2.0,,0.0,3.0,,1.0,1.0,3.0,0.0,6.0,,1.0,50.7,18.0,,6.0,2.0,4.0,,39.0,10.0,1.0,378.0,15.0,9.0,14.0,9.0,54.0,2.0,6.0,323.0,10.0,8.0,23.0,133.0,30.0,,,6.0,15.0,,1.0,13.0,3.0,10.0,,11.0,10.0,,1.0,1.0,,3.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,
35,803507,2016-04-23 15:00:00,"Villa Park, Birmingham",29729,Away,Southampton,Aston Villa,4,2,W,2,1,0,0,71.0,1.0,1.0,2.0,22.0,17.0,4.0,3.0,4.0,3.0,186.0,10.0,7.0,4.0,4.0,13.0,1.0,7.0,141.0,152.0,51.0,17.0,2.0,24.0,1.0,1.0,4.0,1.0,1.0,31.0,18.0,12.0,9.0,17.0,36.0,222.0,,0.0,155.0,9.0,1.0,1.0,1.0,,64.0,69.0,10.0,88.0,3.0,1.0,22.0,13.0,4.0,,147.0,5.0,12.0,121.0,738.0,8.0,8.0,,23.0,431.0,26.0,1.0,5.0,11.0,4.0,0.0,3.0,3.0,13.0,515.0,58.0,,1.0,,97032,10.0,234.0,4.0,17.0,1.0,247.0,5.0,1.0,13.0,8.0,67.0,2.0,4.0,2.0,4.0,10.0,4.0,4.0,1.0,53.0,446.0,7.0,14.0,1.0,20.0,83.0,,,,0.0,6.0,4.0,3.0,2.0,3.0,0.0,8.0,3.0,3.0,58.0,12.0,1.0,5.0,2.0,4.0,1.0,53.0,11.0,,536.0,23.0,12.0,17.0,6.0,46.0,2.0,4.0,320.0,11.0,15.0,16.0,104.0,34.0,1.0,3.0,10.0,21.0,2.0,2.0,13.0,2.0,16.0,3.0,4.0,11.0,,,2.0,,,,,1.0,,,,,,,,3.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,
36,803517,2016-05-01 16:30:00,"St. Mary's Stadium, Southampton",31472,Home,Southampton,Manchester City,4,2,W,2,1,0,0,72.0,,1.0,1.0,25.0,13.0,5.0,3.0,3.0,1.0,165.0,3.0,16.0,4.0,1.0,12.0,2.0,7.0,73.0,149.0,78.0,14.0,1.0,15.0,2.0,1.0,3.0,,1.0,19.0,23.0,11.0,7.0,15.0,16.0,172.0,,0.0,145.0,12.0,2.0,,,,52.0,55.0,8.0,67.0,5.0,4.0,12.0,17.0,2.0,3.0,147.0,4.0,4.0,79.0,594.0,5.0,3.0,1.0,25.0,284.0,28.0,,7.0,5.0,4.0,2.0,,4.0,19.0,364.0,72.0,3.0,,1.0,97032,6.0,127.0,,10.0,,142.0,6.0,2.0,17.0,4.0,63.0,4.0,3.0,1.0,3.0,11.0,2.0,2.0,,58.0,296.0,8.0,13.0,3.0,31.0,76.0,,,,0.0,2.0,2.0,4.0,2.0,2.0,0.0,,3.0,3.0,40.2,16.0,2.0,7.0,1.0,2.0,,39.0,8.0,,384.0,25.0,13.0,10.0,5.0,35.0,3.0,2.0,261.0,8.0,14.0,16.0,97.0,33.0,1.0,2.0,4.0,38.0,,1.0,9.0,3.0,27.0,2.0,7.0,9.0,1.0,1.0,1.0,,2.0,,,2.0,1.0,,,1.0,,,,4.0,3.0,1.0,1.0,,,3.0,,3.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,
37,803527,2016-05-08 13:30:00,"White Hart Lane, London",35748,Away,Southampton,Tottenham Hotspur,2,1,W,1,1,0,0,47.0,,,1.0,28.0,45.0,5.0,3.0,5.0,,126.0,1.0,8.0,2.0,,8.0,,2.0,44.0,133.0,60.0,10.0,2.0,8.0,,1.0,2.0,,,11.0,17.0,31.0,2.0,7.0,30.0,97.0,,0.0,110.0,15.0,4.0,,,,37.0,30.0,3.0,36.0,2.0,2.0,9.0,10.0,2.0,2.0,119.0,2.0,12.0,51.0,461.0,5.0,12.0,,22.0,159.0,23.0,2.0,8.0,14.0,2.0,3.0,5.0,5.0,20.0,233.0,71.0,1.0,,1.0,97032,1.0,79.0,1.0,7.0,,92.0,6.0,,10.0,11.0,48.0,1.0,4.0,1.0,2.0,6.0,8.0,8.0,1.0,62.0,175.0,7.0,11.0,1.0,17.0,63.0,,,,0.0,10.0,5.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,30.2,17.0,1.0,4.0,1.0,3.0,,31.0,2.0,,257.0,22.0,12.0,9.0,5.0,27.0,,3.0,176.0,6.0,7.0,19.0,52.0,17.0,,1.0,12.0,26.0,,1.0,10.0,3.0,10.0,1.0,9.0,2.0,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
38,803534,2016-05-15 15:00:00,"St. Mary's Stadium, Southampton",31313,Home,Southampton,Crystal Palace,4,1,W,1,0,0,0,57.0,,,,33.0,40.0,8.0,9.0,3.0,,147.0,10.0,7.0,4.0,4.0,13.0,2.0,5.0,106.0,120.0,47.0,19.0,2.0,11.0,,1.0,2.0,,2.0,25.0,11.0,30.0,2.0,6.0,23.0,232.0,1.0,0.0,159.0,7.0,2.0,,2.0,,56.0,64.0,4.0,62.0,2.0,3.0,23.0,15.0,3.0,5.0,110.0,1.0,10.0,81.0,612.0,10.0,5.0,,19.0,314.0,29.0,,7.0,17.0,2.0,1.0,8.0,9.0,26.0,380.0,69.0,,1.0,,97032,7.0,107.0,,18.0,1.0,122.0,3.0,2.0,15.0,4.0,35.0,,2.0,,3.0,12.0,6.0,3.0,5.0,51.0,329.0,13.0,6.0,1.0,18.0,65.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,0.0,9.0,2.0,4.0,49.8,23.0,3.0,1.0,,2.0,,43.0,2.0,,396.0,19.0,10.0,12.0,12.0,37.0,1.0,6.0,299.0,6.0,5.0,12.0,122.0,27.0,,3.0,15.0,15.0,1.0,1.0,15.0,3.0,8.0,3.0,6.0,2.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,
