gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attIboxTarget,attSvLowCentre,attMissHighRight,divingSave,attMissRight,freekickTotal,bigChanceCreated,contentiousDecision,attHdTarget,goalAssist,bigChanceMissed,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,goalsConceded,goalAssistIntentional,shieldBallOop,attBxLeft,attFreekickMiss,attHdGoal,goalsConcededIbox,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,hitWoodwork,accurateThroughBall,attSvLowRight,accuratePullBack,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,attHdPost,sixYardBlock,totalPullBack,attFastbreak,attPostRight,savedObox,attGoalLowCentre,attCmissRight,attLfGoal,attObxLeft,goalAssistOpenplay,attOboxGoal,goalsOpenplay,attFreekickGoal,attFreekickTarget,attCmissHighRight,attGoalLowRight,midfielderGoals,attMissHighLeft,attGoalHighLeft,attObpGoal,attGoalHighRight,errorLeadToShot,errorLeadToGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,penaltyConceded,penaltyFaced,penGoalsConceded,attOneOnOne,attCmissHighLeft,goalFastbreak,attOboxPost,clearanceOffLine,ownGoals,attIboxOwnGoal,attGoalHighCentre,ptsGainedLosingPos,ptsDroppedWinningPos,attSvHighLeft,attObxdLeft,attObxRight,attPostHigh,foulThrowIn,attFreekickPost
28,695176,2014-03-01 17:30:00,"St. Mary's Stadium, Southampton",31659,Home,Southampton,Liverpool,0,3,L,0,1,0,0,,1.0,,71.0,,1.0,39.0,35.0,4.0,5.0,2.0,1.0,184.0,8.0,13.0,,1.0,12.0,2.0,136.0,161.0,65.0,13.0,2.0,17.0,,2.0,25.0,27.0,1.0,35.0,3.0,17.0,36.0,216.0,,,0.0,124.0,10.0,1.0,1.0,1.0,91.0,60.0,4.0,80.0,4.0,22.0,17.0,12.0,1.0,161.0,9.0,138.0,787.0,,10.0,8.0,17.0,434.0,27.0,7.0,17.0,,1.0,1.0,8.0,32.0,527.0,65.0,,80447,5.0,236.0,9.0,,257.0,7.0,,17.0,7.0,64.0,1.0,2.0,5.0,16.0,3.0,6.0,,52.0,444.0,6.0,11.0,12.0,73.0,1.0,,0.0,2.0,6.0,1.0,,2.0,0.0,6.0,1.0,57.3,29.0,1.0,4.0,,5.0,3.0,49.0,3.0,1.0,538.0,17.0,18.0,18.0,8.0,30.0,2.0,6.0,306.0,7.0,15.0,14.0,82.0,34.0,,,17.0,33.0,11.0,3.0,21.0,,7.0,3.0,,,,1.0,1.0,,2.0,1.0,,1.0,,,,1.0,1.0,,3.0,2.0,3.0,,,1.0,,,3.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
29,695183,2014-03-08 15:00:00,"Selhurst Park, London",25073,Away,Southampton,Crystal Palace,1,0,W,1,0,0,0,2.0,2.0,1.0,61.0,,3.0,32.0,66.0,5.0,2.0,1.0,,178.0,2.0,7.0,1.0,3.0,8.0,3.0,119.0,170.0,68.0,11.0,1.0,20.0,1.0,,16.0,21.0,1.0,66.0,1.0,31.0,43.0,214.0,1.0,,0.0,163.0,18.0,2.0,1.0,4.0,92.0,69.0,6.0,79.0,1.0,15.0,21.0,4.0,2.0,170.0,4.0,120.0,751.0,,7.0,10.0,12.0,366.0,26.0,7.0,32.0,1.0,5.0,2.0,2.0,24.0,473.0,62.0,,80447,2.0,169.0,10.0,,197.0,10.0,1.0,21.0,7.0,66.0,1.0,1.0,6.0,9.0,2.0,4.0,,65.0,381.0,12.0,9.0,31.0,100.0,,1.0,0.0,1.0,8.0,,,5.0,0.0,1.0,1.0,64.3,21.0,1.0,2.0,,6.0,4.0,51.0,3.0,4.0,496.0,12.0,16.0,21.0,4.0,17.0,1.0,1.0,315.0,8.0,27.0,23.0,104.0,22.0,1.0,2.0,32.0,27.0,8.0,3.0,15.0,2.0,13.0,3.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
30,695196,2014-03-15 15:00:00,"St. Mary's Stadium, Southampton",29828,Home,Southampton,Norwich City,4,2,W,1,0,0,0,,1.0,4.0,63.0,1.0,2.0,35.0,25.0,4.0,3.0,1.0,1.0,191.0,4.0,16.0,4.0,2.0,13.0,6.0,132.0,146.0,66.0,17.0,1.0,18.0,,1.0,15.0,15.0,,25.0,4.0,21.0,31.0,257.0,,,0.0,149.0,11.0,,2.0,,77.0,81.0,6.0,121.0,,11.0,14.0,4.0,2.0,146.0,3.0,123.0,786.0,,7.0,8.0,15.0,468.0,17.0,8.0,17.0,,1.0,,7.0,18.0,543.0,75.0,1.0,80447,11.0,231.0,5.0,1.0,252.0,9.0,4.0,14.0,7.0,57.0,4.0,3.0,5.0,16.0,3.0,4.0,,64.0,484.0,16.0,3.0,31.0,85.0,1.0,,0.0,4.0,1.0,,4.0,2.0,0.0,1.0,3.0,63.1,17.0,3.0,3.0,,5.0,3.0,47.0,6.0,,567.0,15.0,6.0,21.0,8.0,16.0,3.0,5.0,330.0,11.0,19.0,17.0,109.0,34.0,3.0,,17.0,17.0,14.0,3.0,35.0,,5.0,6.0,,,,2.0,2.0,,1.0,5.0,,4.0,,,3.0,2.0,1.0,,1.0,3.0,2.0,3.0,,,,,2.0,,1.0,,,1.0,4.0,,,1.0,1.0,,2.0,,,,1.0,,1.0,2.0,3.0,,,3.0,,4.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,4.0,,1.0,1.0,,,,,,,,,,1.0,,
31,695209,2014-03-23 13:30:00,"White Hart Lane, London",35460,Away,Southampton,Tottenham Hotspur,2,3,L,2,1,0,0,1.0,1.0,2.0,78.0,1.0,2.0,32.0,60.0,5.0,5.0,3.0,1.0,176.0,5.0,7.0,2.0,2.0,11.0,4.0,93.0,171.0,66.0,12.0,3.0,11.0,1.0,1.0,16.0,24.0,1.0,60.0,3.0,13.0,50.0,146.0,,,0.0,118.0,9.0,,2.0,,45.0,67.0,8.0,61.0,3.0,13.0,29.0,1.0,1.0,171.0,8.0,84.0,682.0,,8.0,10.0,21.0,292.0,32.0,6.0,33.0,1.0,2.0,1.0,3.0,23.0,395.0,61.0,1.0,80447,5.0,163.0,10.0,,191.0,4.0,1.0,29.0,11.0,47.0,6.0,8.0,2.0,14.0,7.0,7.0,,63.0,304.0,8.0,8.0,30.0,95.0,,,0.0,2.0,7.0,2.0,2.0,3.0,0.0,4.0,1.0,48.9,21.0,1.0,4.0,,2.0,5.0,48.0,3.0,,414.0,21.0,17.0,27.0,3.0,13.0,1.0,2.0,239.0,5.0,11.0,24.0,69.0,33.0,1.0,6.0,33.0,28.0,11.0,3.0,10.0,6.0,17.0,3.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,2.0,,,2.0,,,,,1.0,3.0,1.0,3.0,1.0,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
32,695216,2014-03-29 15:00:00,"St. Mary's Stadium, Southampton",31360,Home,Southampton,Newcastle United,4,0,W,1,0,0,0,,2.0,2.0,57.0,,1.0,37.0,12.0,6.0,5.0,2.0,4.0,165.0,11.0,8.0,4.0,1.0,21.0,11.0,119.0,126.0,52.0,23.0,1.0,9.0,,3.0,24.0,13.0,1.0,12.0,3.0,11.0,47.0,200.0,1.0,,0.0,141.0,5.0,3.0,,,51.0,82.0,12.0,93.0,,21.0,22.0,4.0,3.0,126.0,2.0,110.0,674.0,,16.0,3.0,12.0,391.0,24.0,5.0,8.0,,0.0,2.0,9.0,18.0,476.0,73.0,,78091,8.0,212.0,17.0,,237.0,3.0,2.0,22.0,7.0,41.0,1.0,2.0,4.0,4.0,3.0,6.0,,71.0,401.0,6.0,13.0,28.0,79.0,3.0,,0.0,3.0,5.0,2.0,3.0,1.0,0.0,8.0,5.0,52.5,15.0,3.0,6.0,,4.0,2.0,46.0,7.0,,487.0,12.0,8.0,30.0,10.0,16.0,3.0,6.0,274.0,12.0,8.0,13.0,105.0,21.0,3.0,5.0,8.0,25.0,21.0,3.0,14.0,5.0,13.0,7.0,,,,6.0,2.0,,1.0,4.0,,8.0,,1.0,4.0,6.0,1.0,,2.0,1.0,,3.0,,5.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,4.0,1.0,4.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,
33,695226,2014-04-05 12:45:00,"Etihad Stadium, Manchester",47009,Away,Southampton,Manchester City,1,4,L,1,3,0,0,1.0,,1.0,55.0,,,27.0,29.0,1.0,,4.0,,174.0,4.0,9.0,1.0,3.0,4.0,1.0,154.0,133.0,40.0,5.0,1.0,14.0,1.0,2.0,22.0,9.0,,29.0,9.0,28.0,44.0,249.0,,1.0,0.0,118.0,15.0,,,1.0,65.0,71.0,1.0,79.0,2.0,13.0,11.0,5.0,1.0,133.0,11.0,138.0,740.0,,2.0,7.0,16.0,461.0,20.0,1.0,13.0,1.0,0.0,2.0,2.0,22.0,532.0,49.0,,57328,1.0,227.0,8.0,,252.0,11.0,1.0,11.0,6.0,53.0,9.0,1.0,6.0,16.0,4.0,5.0,1.0,47.0,472.0,7.0,7.0,10.0,64.0,2.0,,0.0,2.0,5.0,2.0,1.0,3.0,0.0,2.0,1.0,56.4,19.0,1.0,5.0,,6.0,1.0,48.0,9.0,1.0,545.0,16.0,13.0,22.0,3.0,18.0,2.0,2.0,315.0,4.0,27.0,14.0,84.0,24.0,1.0,2.0,13.0,10.0,2.0,3.0,15.0,2.0,4.0,9.0,,,1.0,,,,3.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,4.0,,,,1.0,,4.0,,,,,,2.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
34,695235,2014-04-12 15:07:00,"St. Mary's Stadium, Southampton",30526,Home,Southampton,Cardiff City,0,1,L,0,0,0,0,,3.0,,69.0,,2.0,59.0,11.0,10.0,7.0,3.0,3.0,224.0,5.0,12.0,,1.0,16.0,7.0,192.0,153.0,48.0,19.0,2.0,19.0,,2.0,27.0,8.0,4.0,11.0,5.0,15.0,69.0,358.0,,,0.0,253.0,9.0,2.0,,1.0,83.0,76.0,8.0,88.0,,22.0,16.0,5.0,4.0,153.0,2.0,183.0,886.0,,16.0,5.0,12.0,587.0,21.0,4.0,5.0,,0.0,,8.0,29.0,676.0,104.0,,78091,5.0,244.0,17.0,,259.0,1.0,,16.0,5.0,57.0,1.0,,3.0,17.0,4.0,5.0,,73.0,597.0,7.0,8.0,14.0,81.0,,2.0,0.0,1.0,5.0,1.0,,1.0,0.0,4.0,4.0,67.5,28.0,3.0,7.0,,3.0,4.0,61.0,5.0,1.0,687.0,12.0,10.0,45.0,8.0,35.0,1.0,4.0,455.0,8.0,15.0,16.0,194.0,37.0,,2.0,5.0,13.0,18.0,3.0,24.0,2.0,8.0,5.0,,,1.0,3.0,3.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,3.0,,1.0,,1.0,3.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
35,695241,2014-04-19 15:00:00,"Villa Park, Birmingham",35134,Away,Southampton,Aston Villa,0,0,D,0,0,0,0,,,,59.0,,1.0,51.0,27.0,,1.0,1.0,1.0,193.0,4.0,4.0,,,4.0,2.0,157.0,159.0,54.0,3.0,,18.0,2.0,,15.0,16.0,,27.0,2.0,15.0,55.0,249.0,1.0,,0.0,149.0,11.0,,,,74.0,69.0,3.0,105.0,,13.0,14.0,1.0,,159.0,2.0,159.0,793.0,,3.0,6.0,4.0,496.0,15.0,10.0,17.0,2.0,2.0,1.0,,28.0,596.0,85.0,,57328,3.0,264.0,12.0,,289.0,2.0,,14.0,5.0,50.0,,3.0,8.0,12.0,4.0,3.0,,83.0,509.0,11.0,4.0,38.0,96.0,,,0.0,2.0,5.0,,,3.0,0.0,4.0,1.0,68.4,23.0,,2.0,,8.0,1.0,59.0,3.0,,614.0,4.0,12.0,31.0,,17.0,,,340.0,1.0,15.0,23.0,90.0,33.0,,3.0,17.0,17.0,3.0,3.0,10.0,3.0,7.0,3.0,,,,2.0,2.0,,1.0,,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,695256,2014-04-26 12:45:00,"St. Mary's Stadium, Southampton",31313,Home,Southampton,Everton,2,0,W,2,0,0,0,,,,74.0,,3.0,30.0,31.0,7.0,2.0,2.0,3.0,166.0,6.0,16.0,2.0,1.0,13.0,4.0,142.0,131.0,65.0,14.0,3.0,21.0,1.0,1.0,21.0,23.0,3.0,31.0,3.0,20.0,51.0,217.0,1.0,,0.0,147.0,13.0,1.0,1.0,1.0,87.0,53.0,10.0,89.0,1.0,18.0,19.0,5.0,,131.0,5.0,118.0,745.0,,13.0,8.0,19.0,423.0,28.0,5.0,16.0,1.0,0.0,5.0,3.0,16.0,498.0,56.0,,57328,3.0,221.0,12.0,,232.0,6.0,,19.0,5.0,65.0,7.0,1.0,3.0,8.0,4.0,3.0,,61.0,432.0,11.0,12.0,29.0,90.0,,,0.0,2.0,7.0,1.0,2.0,3.0,0.0,5.0,1.0,53.1,16.0,,4.0,2.0,3.0,6.0,53.0,4.0,1.0,515.0,19.0,13.0,27.0,4.0,21.0,1.0,3.0,304.0,11.0,20.0,10.0,98.0,38.0,,4.0,16.0,28.0,12.0,3.0,23.0,4.0,13.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,3.0,,,,,1.0,,,1.0,1.0,,2.0,,1.0,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
37,695269,2014-05-03 15:00:00,"Swansea.com Stadium, Swansea",20682,Away,Southampton,Swansea City,1,0,W,0,0,0,0,,1.0,1.0,54.0,,2.0,35.0,19.0,10.0,3.0,3.0,2.0,173.0,5.0,11.0,1.0,2.0,11.0,4.0,160.0,150.0,56.0,17.0,5.0,20.0,,2.0,23.0,8.0,3.0,19.0,3.0,19.0,37.0,297.0,1.0,,0.0,181.0,5.0,,1.0,,76.0,111.0,7.0,104.0,,20.0,16.0,6.0,2.0,150.0,6.0,143.0,776.0,,10.0,9.0,15.0,474.0,18.0,9.0,13.0,,1.0,1.0,4.0,23.0,564.0,70.0,,57328,3.0,196.0,13.0,1.0,214.0,3.0,,16.0,5.0,42.0,,1.0,5.0,14.0,6.0,2.0,,58.0,488.0,10.0,1.0,30.0,88.0,,,0.0,5.0,3.0,,1.0,4.0,0.0,4.0,3.0,61.9,23.0,3.0,2.0,,5.0,7.0,59.0,5.0,,580.0,15.0,14.0,25.0,6.0,16.0,1.0,4.0,389.0,9.0,18.0,23.0,130.0,27.0,1.0,1.0,13.0,12.0,13.0,3.0,14.0,1.0,7.0,5.0,,,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0,2.0,,4.0,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,3.0,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,695277,2014-05-11 15:00:00,"St. Mary's Stadium, Southampton",31372,Home,Southampton,Manchester United,1,1,D,1,0,0,0,,2.0,1.0,42.0,1.0,3.0,40.0,16.0,9.0,6.0,1.0,3.0,155.0,8.0,3.0,1.0,2.0,11.0,6.0,140.0,136.0,28.0,15.0,1.0,10.0,1.0,3.0,24.0,13.0,4.0,16.0,6.0,10.0,49.0,239.0,,,0.0,126.0,16.0,1.0,1.0,1.0,60.0,76.0,7.0,85.0,2.0,18.0,12.0,6.0,4.0,136.0,6.0,137.0,687.0,,8.0,10.0,11.0,429.0,19.0,6.0,7.0,1.0,3.0,1.0,4.0,21.0,502.0,66.0,,57328,3.0,207.0,11.0,1.0,222.0,11.0,1.0,12.0,12.0,53.0,,,3.0,13.0,3.0,4.0,,70.0,438.0,5.0,9.0,17.0,80.0,1.0,,0.0,1.0,2.0,1.0,1.0,4.0,0.0,7.0,1.0,58.5,20.0,1.0,3.0,,3.0,4.0,45.0,6.0,1.0,517.0,11.0,12.0,27.0,5.0,26.0,1.0,1.0,319.0,7.0,9.0,6.0,89.0,15.0,1.0,2.0,7.0,14.0,11.0,3.0,9.0,2.0,8.0,6.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
