gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attGoalLowRight,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissHighRight,cleanSheet,totalFastbreak,attLgCentre,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,attSetpiece,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,overrun,savedIbox,goalsConcededObox,postScoringAtt,attIboxPost,attOboxTarget,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,errorLeadToGoal,goalAssistSetplay,accuratePullBack,ptsGainedLosingPos,subsGoals,accurateFreekickCross,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,shieldBallOop,attFreekickTotal,attSvHighRight,attSvLowLeft,freekickTotal,errorLeadToShot,attHdPost,attGoalHighLeft,attPostHigh,attFreekickMiss,forwardGoals,attHdGoal,contentiousDecision,ownGoals,attIboxOwnGoal,ptsDroppedWinningPos,attCmissHighRight,secondYellow,attOneOnOne,attSvHighCentre,goalAssistDeadball,defenderGoals,attFreekickTarget,attGoalHighRight,attOboxGoal,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attGoalHighCentre,clearanceOffLine,expectedGoalsOnTarget,attObxLeft,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,winningGoal,keeperGoals,attObpGoal,attCmissHighLeft
27,2444735,2025-02-27 20:00:00,"London Stadium, London",62455,Home,West Ham United,Leicester City,2,0,W,2,0,0,0,1.0,46.0,0.0,1.0,2.0,17.0,24.0,1.0,3.0,7.0,2.0,1.0,1.0,169.0,4.0,9.0,2.0,,6.0,1.0,2.0,176.0,123.0,43.0,8.0,1.0,16.0,1.0,1.0,1.0,1.0,17.0,9.0,24.0,3.0,15.0,26.0,307.0,,0.0,159.0,12.0,1.0,1.0,1.0,,122.0,89.0,3.0,126.0,2.0,1.0,14.0,15.0,1.0,8.0,,123.0,3.0,5.0,176.0,831.0,5.0,2.0,19.0,,7.0,571.0,18.0,,17.0,0.0,5.0,3.0,17.0,634.0,74.0,224860,2.0,277.0,3.0,5.0,1.0,301.0,3.0,6.0,7.0,53.0,1.0,4.0,14.0,5.0,3.0,1.0,0.0,38.0,580.0,5.0,2.0,13.0,3.0,59.0,,,,0.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,57.8,14.0,2.0,1.0,,4.0,3.0,39.0,3.0,,647.0,7.0,9.0,19.0,3.0,28.0,1.0,3.0,363.0,3.0,14.0,16.0,135.0,22.0,4.0,17.0,13.0,0.0,5.0,5.0,25.0,4.0,6.0,3.0,1.0,,0.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,0.0,,,,,,33.48,111264.29,,,,,0.0,,0.0,1.0,,,1.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,1.6357,,0.2473,0.98742,,1.84292,0.0,0.0,0.0,
28,2444748,2025-03-10 20:00:00,"London Stadium, London",62463,Home,West Ham United,Newcastle United,0,1,L,0,0,0,0,,46.0,,,2.0,22.0,19.0,5.0,7.0,4.0,3.0,,,143.0,4.0,7.0,,1.0,6.0,,2.0,116.0,137.0,53.0,9.0,4.0,13.0,1.0,2.0,2.0,,21.0,9.0,19.0,3.0,12.0,32.0,173.0,,0.0,115.0,7.0,3.0,,2.0,1.0,67.0,58.0,6.0,79.0,1.0,,18.0,27.0,5.0,6.0,,137.0,,6.0,123.0,648.0,5.0,9.0,20.0,,9.0,357.0,20.0,8.0,8.0,0.0,2.0,,16.0,437.0,52.0,460842,2.0,203.0,1.0,10.0,1.0,228.0,3.0,12.0,8.0,42.0,1.0,6.0,13.0,3.0,5.0,1.0,,56.0,372.0,15.0,11.0,29.0,1.0,63.0,,,,0.0,4.0,,1.0,2.0,0.0,3.0,,51.4,11.0,,3.0,,6.0,6.0,35.0,3.0,1.0,461.0,9.0,5.0,16.0,1.0,27.0,1.0,1.0,254.0,2.0,12.0,16.0,74.0,16.0,1.0,8.0,15.0,1.0,8.0,5.0,14.0,1.0,12.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,,1.0,,,2.0,,,,1.0,,,32.47,113719.37,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0503,,2.0493,0.174375,,0.7172,,,,
29,2444753,2025-03-15 15:00:00,"Goodison Park, Liverpool",39343,Away,West Ham United,Everton,1,1,D,0,0,0,0,,46.0,,1.0,,13.0,34.0,2.0,3.0,8.0,4.0,,1.0,157.0,4.0,10.0,1.0,1.0,9.0,1.0,5.0,118.0,128.0,63.0,10.0,1.0,20.0,3.0,,1.0,,15.0,6.0,34.0,5.0,9.0,22.0,158.0,,0.0,119.0,8.0,2.0,1.0,2.0,1.0,42.0,64.0,5.0,60.0,1.0,2.0,10.0,18.0,2.0,,,128.0,,12.0,95.0,640.0,5.0,7.0,24.0,1.0,10.0,335.0,23.0,6.0,17.0,2.0,4.0,4.0,22.0,409.0,46.0,460842,5.0,192.0,1.0,8.0,,226.0,5.0,4.0,8.0,49.0,,7.0,16.0,1.0,4.0,1.0,,48.0,346.0,12.0,6.0,31.0,3.0,53.0,1.0,,2.0,0.0,6.0,1.0,1.0,3.0,0.0,2.0,3.0,46.1,20.0,2.0,1.0,1.0,7.0,1.0,26.0,5.0,1.0,430.0,10.0,10.0,13.0,4.0,23.0,2.0,4.0,219.0,4.0,9.0,24.0,86.0,15.0,3.0,17.0,17.0,1.0,6.0,3.0,15.0,3.0,4.0,5.0,,2.0,1.0,,3.0,,1.0,,,,3.0,,1.0,1.0,,,1.0,,1.0,3.0,3.0,,3.0,,,,1.0,,,32.55,106500.67,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.8235,,1.4561,0.707075,,0.8345,,,,
30,2444764,2025-04-01 19:45:00,"Molineux Stadium, Wolverhampton",30537,Away,West Ham United,Wolverhampton Wanderers,0,1,L,0,1,0,0,,44.0,,,1.0,15.0,26.0,2.0,5.0,8.0,1.0,,,166.0,4.0,2.0,,3.0,6.0,1.0,1.0,159.0,131.0,56.0,10.0,1.0,9.0,1.0,2.0,,3.0,15.0,18.0,26.0,1.0,15.0,38.0,195.0,,0.0,114.0,12.0,1.0,,1.0,,61.0,63.0,2.0,88.0,,2.0,14.0,18.0,2.0,7.0,1.0,131.0,3.0,4.0,159.0,769.0,6.0,5.0,18.0,,13.0,466.0,17.0,1.0,14.0,2.0,1.0,4.0,20.0,548.0,60.0,536109,6.0,297.0,4.0,6.0,1.0,328.0,9.0,8.0,7.0,52.0,,7.0,12.0,5.0,7.0,1.0,,48.0,488.0,16.0,8.0,19.0,,60.0,1.0,,,0.0,1.0,,1.0,1.0,0.0,4.0,2.0,58.6,19.0,1.0,3.0,,7.0,2.0,38.0,2.0,,572.0,13.0,12.0,16.0,7.0,27.0,,5.0,259.0,3.0,14.0,11.0,76.0,17.0,1.0,14.0,27.0,,8.0,5.0,13.0,1.0,8.0,2.0,,1.0,,,,3.0,,,,,,,,,3.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,32.07,110901.54,,,,,,,,,1.0,,2.0,2.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2159,,0.6915,0.862444,0.0793,1.337,,,,
31,2444779,2025-04-05 15:00:00,"London Stadium, London",62459,Home,West Ham United,Bournemouth,2,2,D,0,1,0,0,1.0,49.0,,1.0,1.0,22.0,30.0,3.0,5.0,6.0,4.0,,1.0,175.0,5.0,11.0,2.0,3.0,7.0,,3.0,111.0,155.0,52.0,9.0,,23.0,,1.0,1.0,3.0,17.0,10.0,30.0,4.0,12.0,34.0,173.0,,0.0,118.0,13.0,2.0,,1.0,,63.0,55.0,3.0,80.0,,1.0,13.0,15.0,3.0,4.0,2.0,155.0,1.0,7.0,104.0,679.0,5.0,6.0,16.0,,7.0,359.0,20.0,6.0,17.0,2.0,3.0,4.0,25.0,450.0,58.0,214590,4.0,204.0,,8.0,,236.0,7.0,3.0,6.0,62.0,4.0,9.0,16.0,4.0,2.0,1.0,,56.0,372.0,12.0,4.0,28.0,2.0,62.0,,2.0,,0.0,7.0,2.0,2.0,2.0,0.0,4.0,3.0,55.9,23.0,1.0,2.0,,10.0,1.0,29.0,4.0,,470.0,7.0,13.0,20.0,5.0,25.0,1.0,3.0,251.0,1.0,12.0,18.0,76.0,17.0,2.0,17.0,11.0,2.0,6.0,5.0,20.0,2.0,3.0,4.0,,,1.0,,1.0,,1.0,,,,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,33.23,108641.03,1.0,1.0,,1.0,1.0,,,1.0,,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.4547,,2.0994,0.511982,0.0953,0.6899,,,,
32,2444784,2025-04-13 14:00:00,"Anfield, Liverpool",60376,Away,West Ham United,Liverpool,1,2,L,0,1,0,0,,44.0,,2.0,1.0,15.0,38.0,1.0,7.0,10.0,4.0,,,144.0,1.0,10.0,1.0,1.0,9.0,2.0,4.0,104.0,101.0,47.0,11.0,,11.0,4.0,2.0,3.0,,10.0,3.0,38.0,3.0,5.0,26.0,105.0,,0.0,76.0,8.0,3.0,,,,33.0,27.0,4.0,63.0,2.0,2.0,7.0,8.0,1.0,,1.0,101.0,4.0,11.0,96.0,592.0,8.0,5.0,18.0,,12.0,327.0,30.0,5.0,16.0,2.0,5.0,5.0,9.0,381.0,48.0,178186,4.0,244.0,4.0,7.0,,264.0,5.0,3.0,5.0,43.0,4.0,4.0,10.0,4.0,4.0,2.0,,44.0,348.0,15.0,6.0,20.0,1.0,41.0,,,,0.0,10.0,1.0,2.0,2.0,0.0,,3.0,44.8,9.0,2.0,,2.0,5.0,1.0,20.0,3.0,,407.0,12.0,10.0,11.0,6.0,21.0,1.0,4.0,153.0,1.0,5.0,12.0,48.0,8.0,2.0,16.0,10.0,2.0,10.0,3.0,18.0,2.0,3.0,3.0,,4.0,,,,,,,,,,,1.0,,,2.0,,5.0,,1.0,,,2.0,,1.0,1.0,,,2.0,32.63,105764.02,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,0.5894,,1.7243,0.677731,,1.5021,,,,1.0
33,2444799,2025-04-19 15:00:00,"London Stadium, London",62461,Home,West Ham United,Southampton,1,1,D,0,0,0,0,,38.0,1.0,3.0,4.0,14.0,27.0,4.0,7.0,8.0,3.0,1.0,1.0,158.0,2.0,3.0,1.0,1.0,10.0,,4.0,141.0,89.0,40.0,12.0,1.0,11.0,3.0,,1.0,,13.0,8.0,27.0,2.0,12.0,20.0,201.0,,0.0,120.0,14.0,2.0,1.0,,,64.0,55.0,7.0,71.0,,,11.0,10.0,4.0,2.0,3.0,89.0,,7.0,126.0,651.0,9.0,3.0,24.0,,4.0,427.0,19.0,1.0,17.0,2.0,6.0,3.0,9.0,472.0,54.0,460842,6.0,248.0,,9.0,,257.0,8.0,5.0,9.0,44.0,1.0,4.0,13.0,8.0,8.0,3.0,,28.0,447.0,13.0,5.0,10.0,,48.0,1.0,,1.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,,51.9,9.0,,4.0,2.0,4.0,5.0,30.0,2.0,,496.0,4.0,9.0,7.0,3.0,16.0,,,252.0,5.0,12.0,11.0,90.0,11.0,2.0,17.0,13.0,1.0,12.0,5.0,9.0,2.0,5.0,2.0,,2.0,,,2.0,,1.0,1.0,,,3.0,,,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,,,34.04,109588.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0933,,0.8571,0.81759,,0.909,,,,
34,2444802,2025-04-26 15:00:00,"American Express Stadium, Falmer",31499,Away,West Ham United,Brighton and Hove Albion,2,3,L,0,1,0,0,1.0,39.0,1.0,3.0,1.0,29.0,41.0,4.0,4.0,8.0,6.0,,1.0,126.0,2.0,13.0,2.0,,10.0,1.0,4.0,141.0,107.0,41.0,12.0,3.0,7.0,2.0,1.0,,1.0,14.0,1.0,41.0,1.0,3.0,39.0,204.0,,0.0,123.0,9.0,3.0,1.0,1.0,,48.0,64.0,6.0,67.0,,1.0,13.0,14.0,4.0,4.0,1.0,107.0,2.0,7.0,135.0,668.0,7.0,5.0,24.0,1.0,8.0,398.0,19.0,7.0,19.0,1.0,5.0,4.0,21.0,451.0,51.0,214590,3.0,212.0,1.0,8.0,,228.0,6.0,5.0,5.0,46.0,3.0,4.0,12.0,9.0,5.0,1.0,,51.0,414.0,6.0,6.0,16.0,1.0,56.0,1.0,,1.0,0.0,8.0,2.0,3.0,4.0,0.0,2.0,3.0,47.1,21.0,1.0,4.0,,4.0,4.0,36.0,1.0,,469.0,8.0,12.0,19.0,4.0,21.0,,3.0,255.0,5.0,3.0,13.0,98.0,12.0,1.0,19.0,9.0,1.0,10.0,2.0,25.0,1.0,5.0,1.0,,,1.0,,,1.0,2.0,,,,,,1.0,2.0,1.0,,1.0,,2.0,1.0,,1.0,3.0,2.0,,,,,1.0,34.13,106497.83,,,,,,1.0,1.0,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,1.7378,,3.1414,1.20299,,1.2742,,,,
35,2444819,2025-05-04 14:00:00,"London Stadium, London",62468,Home,West Ham United,Tottenham Hotspur,1,1,D,1,1,0,0,1.0,44.0,,,2.0,23.0,14.0,5.0,4.0,6.0,1.0,1.0,,174.0,5.0,7.0,1.0,4.0,6.0,1.0,2.0,97.0,168.0,67.0,11.0,3.0,25.0,1.0,2.0,1.0,2.0,19.0,18.0,14.0,1.0,10.0,32.0,153.0,,0.0,104.0,18.0,1.0,,2.0,,54.0,81.0,4.0,75.0,1.0,1.0,18.0,22.0,5.0,4.0,2.0,168.0,2.0,4.0,99.0,638.0,3.0,4.0,20.0,1.0,6.0,316.0,10.0,7.0,6.0,2.0,,2.0,29.0,421.0,56.0,214590,2.0,180.0,1.0,12.0,,209.0,9.0,7.0,6.0,61.0,3.0,1.0,17.0,3.0,2.0,1.0,,65.0,328.0,14.0,5.0,34.0,,79.0,,1.0,,0.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,55.5,27.0,1.0,7.0,,1.0,5.0,36.0,1.0,,445.0,6.0,8.0,14.0,4.0,23.0,1.0,2.0,255.0,4.0,9.0,19.0,60.0,24.0,1.0,6.0,27.0,1.0,8.0,5.0,13.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,,34.44,107250.05,1.0,,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5874,,0.4002,0.816675,0.0695,0.8422,,,,
36,2444824,2025-05-11 14:15:00,"Old Trafford, Manchester",73804,Away,West Ham United,Manchester United,2,0,W,1,0,0,0,2.0,50.0,,,2.0,14.0,20.0,1.0,6.0,8.0,5.0,2.0,1.0,134.0,3.0,7.0,2.0,1.0,6.0,,4.0,132.0,119.0,43.0,9.0,,12.0,2.0,1.0,1.0,,15.0,13.0,20.0,5.0,4.0,28.0,126.0,,0.0,80.0,13.0,3.0,,1.0,1.0,43.0,67.0,3.0,77.0,2.0,1.0,10.0,18.0,1.0,3.0,1.0,119.0,3.0,11.0,130.0,641.0,2.0,7.0,19.0,,8.0,398.0,29.0,2.0,14.0,1.0,4.0,3.0,13.0,458.0,29.0,460842,4.0,283.0,2.0,6.0,1.0,307.0,6.0,4.0,11.0,47.0,2.0,2.0,13.0,9.0,6.0,2.0,,41.0,406.0,3.0,2.0,15.0,1.0,52.0,,,,0.0,8.0,2.0,,3.0,0.0,2.0,2.0,47.8,11.0,1.0,3.0,,2.0,2.0,28.0,5.0,1.0,473.0,8.0,7.0,13.0,3.0,15.0,1.0,2.0,181.0,1.0,3.0,13.0,57.0,13.0,2.0,14.0,20.0,,7.0,5.0,21.0,2.0,4.0,5.0,1.0,1.0,2.0,,,3.0,2.0,,,1.0,,,,2.0,3.0,,1.0,,2.0,2.0,,2.0,5.0,,,,,,,32.9,110200.05,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.9755,,1.2225,0.605877,,1.7601,,,,
37,2444839,2025-05-18 14:15:00,"London Stadium, London",62466,Home,West Ham United,Nottingham Forest,1,2,L,0,1,0,0,,49.0,,1.0,5.0,26.0,29.0,3.0,10.0,13.0,3.0,1.0,1.0,178.0,7.0,11.0,1.0,,10.0,,5.0,105.0,137.0,56.0,16.0,1.0,12.0,4.0,3.0,,1.0,28.0,14.0,29.0,7.0,12.0,26.0,215.0,,0.0,149.0,14.0,2.0,,,2.0,71.0,72.0,6.0,78.0,2.0,2.0,21.0,8.0,3.0,10.0,2.0,137.0,,7.0,138.0,732.0,7.0,2.0,31.0,2.0,7.0,418.0,17.0,2.0,20.0,6.0,3.0,4.0,19.0,482.0,67.0,214590,7.0,226.0,,11.0,1.0,240.0,9.0,3.0,4.0,61.0,,7.0,14.0,3.0,4.0,1.0,,42.0,434.0,7.0,2.0,13.0,4.0,47.0,1.0,,,0.0,7.0,1.0,2.0,1.0,0.0,5.0,4.0,60.7,17.0,2.0,3.0,,8.0,6.0,30.0,8.0,2.0,499.0,7.0,11.0,16.0,5.0,43.0,2.0,3.0,287.0,2.0,11.0,19.0,110.0,21.0,2.0,20.0,19.0,2.0,12.0,5.0,33.0,2.0,3.0,8.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,3.0,,1.0,2.0,,,,,,,33.17,110009.31,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0556,,2.576,1.48446,,1.1276,,,,
38,2444842,2025-05-25 16:00:00,"Portman Road, Ipswich",29771,Away,West Ham United,Ipswich Town,3,1,W,1,0,0,0,1.0,43.0,1.0,1.0,2.0,23.0,34.0,3.0,6.0,7.0,3.0,2.0,1.0,189.0,2.0,13.0,3.0,1.0,8.0,1.0,6.0,141.0,108.0,59.0,10.0,1.0,14.0,2.0,2.0,1.0,1.0,9.0,11.0,34.0,,16.0,34.0,225.0,,0.0,131.0,9.0,2.0,1.0,,3.0,54.0,104.0,7.0,122.0,,1.0,9.0,13.0,3.0,5.0,1.0,108.0,1.0,10.0,171.0,813.0,5.0,3.0,16.0,,9.0,531.0,17.0,5.0,21.0,1.0,5.0,1.0,18.0,603.0,62.0,462116,4.0,320.0,,4.0,,338.0,5.0,4.0,6.0,41.0,1.0,3.0,7.0,4.0,4.0,,,58.0,543.0,9.0,7.0,25.0,,77.0,,,1.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,58.8,16.0,1.0,4.0,1.0,3.0,3.0,43.0,,3.0,623.0,9.0,7.0,14.0,1.0,17.0,,1.0,294.0,4.0,15.0,12.0,91.0,15.0,1.0,21.0,25.0,,10.0,5.0,17.0,1.0,4.0,,,2.0,,,1.0,1.0,3.0,1.0,,,2.0,,,3.0,1.0,,1.0,,3.0,1.0,1.0,,2.0,1.0,,,1.0,,,32.26,111883.99,,,,,1.0,,1.0,,,2.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,1.0,2.0438,,0.2435,0.56992,,1.0813,,,,
