gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,penaltySave,accuratePullBack,attOboxBlocked,attGoalHighRight,penaltyWon,attMissRight,attMissHighLeft,attSetpiece,penaltyConceded,totalPullBack,attMissHigh,attPenGoal,attSvLowRight,goalsConceded,attHdMiss,penaltyFaced,forwardGoals,attLfGoal,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,postScoringAtt,attSvHighRight,attSvHighLeft,freekickTotal,attPostLeft,attObxdRight,hitWoodwork,errorLeadToShot,attOboxPost,attFreekickMiss,attGoalLowRight,attIboxPost,attGoalHighCentre,attPostRight,attGoalLowCentre,saves,penGoalsConceded,attFreekickTarget,expectedGoalsOnTarget,attemptsIbox,fouledFinalThird,attBxRight,expectedGoalsOnTargetConceded,ptsGainedLosingPos,winningGoal,freekickCross,attemptsObox,keeperGoals,secondYellow,subsGoals,attLgCentre,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,attCorner,attObpGoal,attFreekickGoal,attOpenplay,expectedGoals,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attLgLeft,attObxdLeft,attObxRight,attObxLeft,attPenTarget,attCmissLeft,attBxLeft,attIboxOwnGoal,attCmissRight
29,284287,2010-03-06 15:00:00,"Boleyn Ground, London",33824.0,Home,West Ham United,Bolton Wanderers,1,2,L,0,2,0,1,,1.0,63.0,,1.0,4.0,,,30.0,52.0,9.0,8.0,,3.0,10.0,1.0,14.0,5.0,203.0,65.0,22.0,19.0,3.0,,,,2.0,22.0,13.0,1.0,23.0,5.0,17.0,55.0,178.0,3.0,,,0.0,163.0,13.0,2.0,,2.0,,40.0,47.0,6.0,2.0,17.0,5.0,7.0,174.0,11.0,758.0,13.0,22.0,3.0,23.0,23.0,7.0,28.0,,2.0,4.0,8.0,28.0,84.0,1.0,9677,145.0,11.0,1.0,160.0,,7.0,69.0,4.0,,4.0,5.0,6.0,3.0,65.0,320.0,24.0,10.0,1.0,30.0,92.0,,1.0,,0.0,3.0,2.0,1.0,10.0,0.0,2.0,,1.0,3.0,58.4,25.0,,1.0,5.0,5.0,45.0,6.0,,437.0,23.0,18.0,30.0,12.0,44.0,1.0,4.0,299.0,10.0,17.0,14.0,93.0,26.0,3.0,12.0,17.0,,3.0,19.0,3.0,6.0,,,,1.0,,,3.0,,1.0,,1.0,3.0,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,4.0,1.0,,1.0,4.0,,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
30,284293,2010-03-13 15:00:00,"Stamford Bridge, London",41755.0,Away,West Ham United,Chelsea,1,4,L,1,1,0,0,1.0,1.0,57.0,,3.0,,1.0,1.0,26.0,54.0,4.0,2.0,,1.0,4.0,1.0,5.0,2.0,141.0,54.0,7.0,12.0,1.0,,,,1.0,9.0,17.0,,24.0,1.0,19.0,19.0,149.0,,,1.0,0.0,93.0,10.0,3.0,1.0,1.0,1.0,54.0,36.0,3.0,5.0,8.0,4.0,1.0,111.0,19.0,648.0,4.0,16.0,,26.0,23.0,12.0,33.0,1.0,1.0,13.0,2.0,14.0,48.0,,9677,156.0,3.0,,170.0,1.0,10.0,56.0,2.0,,3.0,3.0,13.0,6.0,41.0,304.0,12.0,6.0,,25.0,83.0,,,,0.0,11.0,2.0,,6.0,0.0,1.0,,2.0,,39.1,14.0,3.0,,3.0,2.0,53.0,1.0,1.0,371.0,26.0,17.0,9.0,3.0,12.0,,2.0,210.0,5.0,18.0,13.0,58.0,20.0,3.0,13.0,25.0,,3.0,16.0,3.0,1.0,,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,,4.0,,,,,1.0,1.0,,4.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
31,284300,2010-03-20 17:30:00,"Emirates Stadium, London",60077.0,Away,West Ham United,Arsenal,0,2,L,0,1,0,1,3.0,2.0,71.0,,,1.0,,,31.0,32.0,6.0,6.0,1.0,2.0,4.0,,8.0,3.0,137.0,66.0,10.0,10.0,1.0,,,1.0,,10.0,25.0,2.0,15.0,1.0,18.0,33.0,158.0,1.0,,,0.0,101.0,27.0,1.0,,1.0,,32.0,55.0,5.0,2.0,9.0,2.0,1.0,120.0,7.0,678.0,7.0,12.0,,20.0,32.0,5.0,16.0,,4.0,2.0,3.0,11.0,62.0,1.0,9677,184.0,7.0,,200.0,,10.0,74.0,2.0,,2.0,10.0,4.0,8.0,52.0,340.0,10.0,11.0,1.0,18.0,81.0,,,1.0,0.0,4.0,2.0,,4.0,0.0,2.0,,1.0,1.0,44.3,7.0,1.0,,10.0,3.0,54.0,2.0,1.0,414.0,20.0,14.0,17.0,4.0,11.0,,2.0,224.0,3.0,16.0,17.0,60.0,23.0,,7.0,35.0,,3.0,20.0,,2.0,1.0,,,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
32,284318,2010-03-27 15:00:00,"Boleyn Ground, London",34564.0,Home,West Ham United,Stoke City,0,1,L,0,0,0,0,1.0,1.0,52.0,,1.0,2.0,,,27.0,69.0,7.0,7.0,2.0,6.0,3.0,,12.0,4.0,181.0,71.0,17.0,27.0,1.0,,,,2.0,18.0,16.0,3.0,34.0,5.0,9.0,31.0,137.0,,,,0.0,132.0,16.0,1.0,,1.0,6.0,47.0,41.0,6.0,2.0,13.0,2.0,3.0,146.0,9.0,593.0,11.0,17.0,1.0,18.0,24.0,8.0,44.0,,0.0,4.0,6.0,14.0,81.0,,9677,91.0,11.0,,108.0,,10.0,68.0,6.0,,1.0,8.0,4.0,5.0,63.0,222.0,16.0,5.0,1.0,33.0,79.0,,,2.0,0.0,7.0,1.0,,5.0,0.0,4.0,,,3.0,54.8,11.0,,1.0,8.0,3.0,38.0,6.0,6.0,326.0,18.0,9.0,10.0,10.0,26.0,2.0,7.0,236.0,6.0,7.0,33.0,63.0,14.0,4.0,22.0,19.0,,3.0,15.0,4.0,6.0,,,,1.0,,,3.0,2.0,,,,3.0,,2.0,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,284324,2010-04-04 16:00:00,"Goodison Park, Liverpool",37451.0,Away,West Ham United,Everton,2,2,D,0,1,0,0,,2.0,55.0,,,1.0,,,15.0,48.0,8.0,7.0,1.0,4.0,3.0,2.0,8.0,5.0,188.0,53.0,15.0,12.0,1.0,1.0,1.0,,1.0,18.0,13.0,2.0,28.0,8.0,17.0,40.0,97.0,1.0,,,0.0,94.0,17.0,,,2.0,2.0,40.0,46.0,4.0,1.0,10.0,5.0,4.0,168.0,4.0,601.0,5.0,9.0,,15.0,31.0,10.0,33.0,1.0,3.0,4.0,4.0,18.0,52.0,3.0,9677,125.0,5.0,,155.0,1.0,9.0,68.0,4.0,1.0,4.0,3.0,8.0,6.0,55.0,218.0,7.0,10.0,2.0,32.0,91.0,1.0,,,0.0,2.0,,2.0,2.0,0.0,2.0,1.0,,2.0,42.5,15.0,1.0,,3.0,3.0,37.0,8.0,3.0,333.0,15.0,21.0,12.0,7.0,16.0,2.0,2.0,196.0,6.0,16.0,20.0,47.0,13.0,5.0,17.0,23.0,1.0,2.0,11.0,5.0,8.0,,,,2.0,,1.0,2.0,,,,,2.0,,1.0,2.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
34,284337,2010-04-10 15:00:00,"Boleyn Ground, London",34685.0,Home,West Ham United,Sunderland,1,0,W,0,0,0,0,2.0,,60.0,1.0,3.0,1.0,,,25.0,49.0,6.0,2.0,2.0,2.0,5.0,1.0,7.0,3.0,176.0,68.0,12.0,20.0,,1.0,1.0,,2.0,9.0,15.0,2.0,22.0,2.0,18.0,30.0,128.0,1.0,1.0,,0.0,109.0,15.0,1.0,,,,39.0,51.0,3.0,,7.0,1.0,3.0,149.0,4.0,609.0,5.0,18.0,,14.0,21.0,11.0,24.0,1.0,1.0,4.0,4.0,28.0,73.0,1.0,8055,80.0,3.0,,107.0,1.0,10.0,59.0,4.0,,3.0,2.0,6.0,6.0,63.0,206.0,20.0,3.0,1.0,36.0,101.0,1.0,,1.0,0.0,7.0,,1.0,9.0,0.0,1.0,1.0,1.0,1.0,43.8,27.0,3.0,1.0,2.0,3.0,47.0,2.0,,317.0,14.0,17.0,17.0,6.0,25.0,1.0,3.0,219.0,9.0,16.0,25.0,55.0,27.0,9.0,11.0,18.0,,2.0,11.0,9.0,2.0,,,,2.0,,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,2.0,,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
35,284343,2010-04-19 20:00:00,"Anfield, Liverpool",37697.0,Away,West Ham United,Liverpool,0,3,L,0,2,0,0,1.0,1.0,56.0,,3.0,,,,23.0,34.0,3.0,2.0,1.0,,6.0,,2.0,2.0,174.0,59.0,5.0,13.0,2.0,,,1.0,1.0,16.0,19.0,,13.0,2.0,19.0,30.0,110.0,,,,0.0,98.0,13.0,3.0,,,,26.0,57.0,1.0,,14.0,6.0,3.0,153.0,14.0,533.0,2.0,14.0,,17.0,19.0,11.0,14.0,,2.0,5.0,1.0,30.0,57.0,1.0,9677,100.0,7.0,,126.0,,10.0,64.0,3.0,,1.0,5.0,9.0,5.0,49.0,210.0,8.0,7.0,,30.0,79.0,,,,0.0,9.0,1.0,,4.0,0.0,,,1.0,,34.8,25.0,2.0,,5.0,,43.0,2.0,,304.0,17.0,16.0,16.0,3.0,24.0,,,194.0,3.0,18.0,12.0,55.0,26.0,3.0,2.0,33.0,,3.0,22.0,3.0,2.0,,,,,,,1.0,,,,,1.0,,1.0,3.0,,,,,1.0,1.0,,3.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,4.0,,,,,,,,,,,1.0,1.0,1.0,
36,284358,2010-04-24 15:00:00,"Boleyn Ground, London",33057.0,Home,West Ham United,Wigan Athletic,3,2,W,2,1,0,0,3.0,1.0,56.0,,3.0,1.0,,,22.0,37.0,4.0,4.0,2.0,2.0,14.0,3.0,8.0,6.0,170.0,73.0,11.0,16.0,2.0,,2.0,1.0,,10.0,19.0,1.0,18.0,4.0,22.0,24.0,111.0,,,1.0,0.0,102.0,13.0,2.0,2.0,1.0,1.0,43.0,34.0,5.0,,6.0,1.0,1.0,151.0,5.0,583.0,5.0,13.0,,17.0,18.0,12.0,10.0,2.0,1.0,5.0,3.0,30.0,76.0,3.0,8055,121.0,4.0,,140.0,2.0,9.0,61.0,4.0,,1.0,5.0,10.0,4.0,59.0,230.0,11.0,12.0,1.0,35.0,92.0,,,,0.0,5.0,1.0,2.0,3.0,0.0,1.0,1.0,,2.0,45.4,23.0,3.0,,5.0,2.0,41.0,4.0,1.0,337.0,16.0,12.0,9.0,3.0,23.0,1.0,1.0,207.0,5.0,20.0,16.0,46.0,21.0,2.0,5.0,32.0,1.0,2.0,25.0,2.0,4.0,,,,1.0,,,2.0,,3.0,,,,,,2.0,,,1.0,,,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,3.0,1.0,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,3.0,1.0,2.0,,,,6.0,,1.0,,1.0,,,,,,,,2.0,1.0,
37,284362,2010-05-02 15:00:00,"Craven Cottage, London",24201.0,Away,West Ham United,Fulham,2,3,L,0,1,0,0,1.0,,59.0,1.0,,,1.0,1.0,47.0,40.0,2.0,,3.0,4.0,6.0,2.0,6.0,5.0,166.0,63.0,8.0,20.0,,,1.0,,1.0,17.0,20.0,3.0,25.0,3.0,32.0,42.0,169.0,,,,0.0,114.0,17.0,,,1.0,2.0,74.0,35.0,3.0,,14.0,9.0,,151.0,4.0,716.0,2.0,13.0,,11.0,19.0,14.0,14.0,2.0,0.0,3.0,3.0,27.0,64.0,2.0,59879,224.0,3.0,,241.0,1.0,7.0,67.0,4.0,,3.0,6.0,4.0,2.0,85.0,389.0,9.0,6.0,2.0,38.0,103.0,,,2.0,0.0,9.0,,2.0,4.0,0.0,2.0,2.0,1.0,4.0,50.8,23.0,1.0,,6.0,,54.0,3.0,2.0,490.0,11.0,19.0,18.0,3.0,30.0,2.0,3.0,266.0,4.0,29.0,19.0,58.0,25.0,2.0,8.0,29.0,1.0,3.0,12.0,2.0,3.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,3.0,3.0,,2.0,,2.0,2.0,,3.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,1.0,5.0,1.0,1.0,,,,5.0,,,1.0,,,,,,,,,,1.0,1.0
38,284378,2010-05-09 16:00:00,"Boleyn Ground, London",34989.0,Home,West Ham United,Manchester City,1,1,D,1,1,0,0,,2.0,60.0,,2.0,1.0,,,24.0,33.0,7.0,7.0,2.0,5.0,11.0,1.0,10.0,5.0,147.0,55.0,13.0,12.0,3.0,,1.0,1.0,1.0,12.0,19.0,1.0,18.0,1.0,13.0,31.0,137.0,,,,0.0,103.0,13.0,,1.0,2.0,3.0,31.0,41.0,7.0,2.0,11.0,8.0,3.0,132.0,8.0,604.0,9.0,11.0,,18.0,24.0,10.0,9.0,1.0,2.0,4.0,3.0,18.0,65.0,1.0,8055,110.0,3.0,,124.0,,15.0,61.0,8.0,,1.0,5.0,10.0,9.0,51.0,242.0,7.0,12.0,,27.0,85.0,,,2.0,0.0,3.0,1.0,1.0,3.0,0.0,4.0,1.0,,1.0,35.9,14.0,1.0,,5.0,3.0,46.0,4.0,3.0,332.0,18.0,16.0,15.0,5.0,29.0,1.0,1.0,220.0,5.0,13.0,7.0,53.0,21.0,3.0,6.0,30.0,,3.0,19.0,3.0,4.0,,,,2.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
