gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,freekickCross,goodHighClaim,attMissRight,attHdMiss,totalHighClaim,attIboxMiss,attMissHighLeft,accurateThroughBall,accurateFreekickCross,sixYardBlock,totalThroughBall,ptsDroppedWinningPos,cleanSheet,divingSave,interceptionsInBox,secondYellow,shieldBallOop,clearanceOffLine,effectiveBlockedCross,blockedCross,savedObox,attOboxGoal,errorLeadToShot,goalsConcededObox,handBall,attOneOnOne,attObxdRight,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attSvHighLeft,punches,attPostHigh,attGoalHighLeft,attGoalHighCentre,attLgCentre,attObxdLeft,attPenGoal,attCmissHigh,attCmissHighRight,penaltySave,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attObpGoal,errorLeadToGoal,ownGoals,attIboxOwnGoal,attFreekickGoal
27,2210540,2022-02-27 14:00:00,"London Stadium, London",59946.0,Home,West Ham United,Wolverhampton Wanderers,1,0,W,0,0,0,0,1.0,1.0,28.0,68.0,,1.0,1.0,18.0,28.0,6.0,3.0,7.0,1.0,,2.0,163.0,14.0,2.0,5.0,1.0,1.0,11.0,,4.0,84.0,127.0,36.0,,1.0,13.0,,6.0,2.0,,1.0,1.0,2.0,,1.0,19.0,,9.0,,1.0,28.0,3.0,4.0,29.0,154.0,,0.0,114.0,8.0,,,1.0,,84.0,38.0,5.0,60.0,16.0,16.0,6.0,1.0,3.0,4.0,127.0,2.0,,7.0,,90.0,,581.0,8.0,4.0,26.0,,1.0,18.0,306.0,19.0,6.0,15.0,1.0,1.0,9.0,6.0,18.0,383.0,45.0,86934,3.0,163.0,1.0,13.0,,185.0,3.0,1.0,2.0,16.0,5.0,31.0,,2.0,2.0,1.0,10.0,7.0,5.0,2.0,48.0,315.0,2.0,5.0,2.0,22.0,3.0,55.0,,,,0.0,,5.0,,1.0,,2.0,0.0,,1.0,2.0,39.0,16.0,9.0,,,2.0,1.0,32.0,3.0,397.0,18.0,1.0,5.0,11.0,8.0,30.0,2.0,231.0,8.0,4.0,14.0,74.0,30.0,,15.0,15.0,,,9.0,2.0,13.0,8.0,3.0,3.0,2.0,,1.0,,3.0,3.0,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,4.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
28,2210544,2022-03-05 17:30:00,"Anfield, Liverpool",53059.0,Away,West Ham United,Liverpool,0,1,L,0,1,0,0,1.0,,24.0,63.0,,,3.0,33.0,24.0,3.0,3.0,10.0,4.0,,3.0,152.0,13.0,4.0,6.0,,1.0,8.0,,5.0,63.0,133.0,43.0,,,13.0,,21.0,3.0,1.0,,,2.0,,1.0,19.0,,8.0,,2.0,24.0,6.0,2.0,37.0,89.0,,0.0,66.0,7.0,,1.0,,2.0,46.0,25.0,4.0,50.0,13.0,21.0,3.0,,4.0,1.0,133.0,2.0,,11.0,,51.0,,503.0,7.0,7.0,20.0,1.0,,18.0,219.0,35.0,7.0,10.0,,1.0,7.0,4.0,14.0,296.0,44.0,86934,6.0,146.0,2.0,8.0,,182.0,3.0,,,21.0,9.0,48.0,,4.0,2.0,,17.0,11.0,5.0,2.0,74.0,231.0,7.0,9.0,1.0,32.0,2.0,67.0,1.0,,1.0,0.0,,4.0,1.0,,1.0,3.0,0.0,3.0,,2.0,31.3,13.0,2.0,3.0,,2.0,3.0,34.0,6.0,316.0,18.0,,3.0,22.0,5.0,21.0,1.0,153.0,8.0,2.0,14.0,40.0,18.0,,10.0,16.0,,1.0,11.0,3.0,14.0,12.0,6.0,1.0,,,,1.0,2.0,1.0,1.0,2.0,4.0,1.0,,,,,,,2.0,4.0,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,2210560,2022-03-13 14:00:00,"London Stadium, London",59957.0,Home,West Ham United,Aston Villa,2,1,W,0,0,0,0,1.0,1.0,33.0,67.0,,1.0,,37.0,19.0,4.0,3.0,7.0,6.0,2.0,,163.0,16.0,4.0,7.0,2.0,,9.0,,4.0,96.0,134.0,35.0,,,11.0,2.0,15.0,2.0,1.0,,2.0,1.0,1.0,2.0,20.0,,3.0,,,19.0,5.0,2.0,41.0,198.0,,0.0,141.0,9.0,,2.0,1.0,,129.0,52.0,5.0,73.0,15.0,12.0,4.0,,2.0,2.0,134.0,1.0,,9.0,,111.0,,624.0,6.0,7.0,25.0,1.0,,13.0,356.0,28.0,,12.0,2.0,1.0,4.0,4.0,18.0,432.0,60.0,86934,3.0,171.0,1.0,13.0,,193.0,4.0,,,12.0,4.0,46.0,,,5.0,2.0,19.0,4.0,3.0,1.0,60.0,365.0,3.0,7.0,1.0,8.0,3.0,57.0,1.0,,2.0,0.0,2.0,7.0,5.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,47.1,16.0,1.0,1.0,1.0,5.0,2.0,34.0,5.0,443.0,13.0,,7.0,23.0,5.0,25.0,1.0,270.0,5.0,1.0,14.0,103.0,30.0,,12.0,11.0,,,8.0,3.0,17.0,2.0,5.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,3.0,,,,,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,
30,2210568,2022-03-20 16:30:00,"Tottenham Hotspur Stadium, London",58685.0,Away,West Ham United,Tottenham Hotspur,1,3,L,1,2,0,0,,1.0,30.0,50.0,,1.0,,31.0,19.0,,1.0,6.0,2.0,,,151.0,18.0,2.0,8.0,1.0,,4.0,,1.0,146.0,101.0,28.0,,,6.0,,9.0,,,,,,,2.0,12.0,,3.0,,,19.0,3.0,5.0,28.0,222.0,,0.0,114.0,7.0,,,,,92.0,67.0,1.0,85.0,9.0,9.0,,,2.0,,101.0,1.0,,12.0,,162.0,,680.0,3.0,9.0,12.0,,,6.0,467.0,23.0,7.0,7.0,1.0,1.0,5.0,3.0,13.0,524.0,49.0,86934,3.0,263.0,,7.0,,281.0,5.0,1.0,,9.0,8.0,36.0,,,4.0,,13.0,6.0,6.0,1.0,54.0,483.0,7.0,7.0,,20.0,2.0,60.0,,,1.0,0.0,1.0,5.0,2.0,1.0,3.0,3.0,0.0,2.0,,2.0,47.3,11.0,5.0,,,4.0,,43.0,3.0,544.0,6.0,,6.0,16.0,5.0,17.0,,275.0,3.0,5.0,7.0,91.0,17.0,1.0,7.0,6.0,,3.0,4.0,3.0,15.0,4.0,3.0,,1.0,,,,,1.0,2.0,,5.0,1.0,1.0,,,1.0,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,
31,2210579,2022-04-03 14:00:00,"London Stadium, London",59953.0,Home,West Ham United,Everton,2,1,W,1,0,0,1,2.0,1.0,25.0,56.0,,,2.0,22.0,18.0,5.0,5.0,6.0,1.0,1.0,1.0,178.0,12.0,2.0,6.0,2.0,3.0,8.0,,5.0,125.0,127.0,47.0,,2.0,11.0,,15.0,1.0,3.0,,,2.0,1.0,,13.0,,5.0,1.0,2.0,18.0,1.0,3.0,36.0,203.0,,0.0,104.0,9.0,,3.0,1.0,,82.0,78.0,5.0,79.0,12.0,12.0,5.0,2.0,2.0,2.0,127.0,2.0,,8.0,,147.0,,672.0,8.0,7.0,22.0,,,4.0,424.0,28.0,6.0,13.0,,1.0,5.0,3.0,15.0,510.0,47.0,84182,3.0,240.0,2.0,9.0,,272.0,4.0,1.0,,12.0,6.0,39.0,1.0,1.0,6.0,1.0,16.0,5.0,5.0,,56.0,441.0,11.0,6.0,,24.0,1.0,70.0,3.0,1.0,,0.0,,4.0,,1.0,1.0,1.0,0.0,2.0,,,55.7,13.0,2.0,1.0,,6.0,2.0,42.0,2.0,529.0,4.0,1.0,5.0,12.0,4.0,20.0,,270.0,6.0,3.0,19.0,75.0,20.0,,13.0,11.0,,1.0,8.0,2.0,10.0,2.0,2.0,3.0,1.0,,,1.0,1.0,4.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0
32,2210583,2022-04-10 14:00:00,"Gtech Community Stadium, Brentford",17032.0,Away,West Ham United,Brentford,0,2,L,0,0,0,0,,,28.0,59.0,,,,26.0,33.0,2.0,1.0,3.0,5.0,,,157.0,12.0,3.0,8.0,,,4.0,,1.0,156.0,127.0,33.0,,,5.0,1.0,15.0,1.0,,,,1.0,,1.0,19.0,,4.0,,,33.0,6.0,10.0,40.0,214.0,,0.0,108.0,6.0,,,,,56.0,101.0,1.0,88.0,14.0,13.0,2.0,,4.0,1.0,127.0,,,12.0,,139.0,,709.0,2.0,4.0,12.0,1.0,,10.0,442.0,25.0,4.0,17.0,,1.0,5.0,3.0,13.0,525.0,49.0,86934,1.0,244.0,,10.0,,264.0,4.0,,,13.0,6.0,32.0,,2.0,8.0,,11.0,3.0,5.0,,59.0,455.0,2.0,1.0,2.0,22.0,3.0,70.0,,,,0.0,1.0,4.0,3.0,,2.0,2.0,0.0,2.0,,2.0,52.9,12.0,2.0,1.0,,8.0,1.0,41.0,6.0,540.0,10.0,,3.0,18.0,3.0,23.0,2.0,295.0,2.0,9.0,13.0,77.0,21.0,,17.0,10.0,,2.0,2.0,3.0,16.0,5.0,6.0,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,3.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,2210599,2022-04-17 14:15:00,"London Stadium, London",59958.0,Home,West Ham United,Burnley,1,1,D,0,1,0,0,2.0,1.0,27.0,45.0,1.0,,3.0,26.0,23.0,4.0,6.0,17.0,,,3.0,166.0,12.0,8.0,8.0,1.0,2.0,16.0,,8.0,123.0,133.0,39.0,,,21.0,2.0,15.0,7.0,2.0,,,2.0,,,37.0,,1.0,,,23.0,9.0,7.0,46.0,224.0,,0.0,160.0,9.0,1.0,2.0,1.0,2.0,108.0,56.0,9.0,89.0,28.0,15.0,4.0,,8.0,2.0,133.0,2.0,,8.0,,127.0,,700.0,14.0,3.0,40.0,2.0,,6.0,409.0,23.0,1.0,13.0,1.0,2.0,2.0,7.0,27.0,483.0,56.0,86934,10.0,212.0,2.0,18.0,2.0,239.0,4.0,,,15.0,6.0,37.0,,1.0,5.0,,12.0,1.0,4.0,,54.0,428.0,10.0,2.0,1.0,9.0,4.0,63.0,2.0,2.0,,0.0,,4.0,,1.0,1.0,1.0,0.0,7.0,1.0,4.0,61.0,24.0,1.0,2.0,1.0,5.0,5.0,39.0,13.0,505.0,6.0,,10.0,22.0,8.0,45.0,1.0,303.0,10.0,6.0,15.0,128.0,16.0,,13.0,6.0,,1.0,15.0,2.0,9.0,6.0,13.0,1.0,2.0,1.0,,2.0,,7.0,2.0,,6.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,
34,2210605,2022-04-24 14:00:00,"Stamford Bridge, London",32231.0,Away,West Ham United,Chelsea,0,1,L,0,0,1,0,1.0,,18.0,60.0,,,1.0,14.0,25.0,1.0,3.0,5.0,4.0,,1.0,135.0,11.0,,4.0,,2.0,3.0,,2.0,90.0,132.0,37.0,,,6.0,1.0,10.0,2.0,,,,1.0,,1.0,10.0,,10.0,,,25.0,,2.0,31.0,120.0,,0.0,92.0,9.0,,,,,53.0,67.0,2.0,55.0,10.0,24.0,1.0,,5.0,,132.0,,1.0,14.0,,74.0,,523.0,3.0,,12.0,,,5.0,245.0,26.0,1.0,14.0,,0.0,11.0,1.0,18.0,323.0,41.0,86934,1.0,144.0,1.0,3.0,,175.0,3.0,,,24.0,17.0,39.0,,2.0,6.0,,13.0,12.0,11.0,,58.0,264.0,10.0,10.0,,26.0,1.0,62.0,,,,0.0,1.0,3.0,2.0,,1.0,,1.0,,,,33.4,13.0,9.0,1.0,1.0,6.0,2.0,24.0,1.0,354.0,5.0,,8.0,14.0,2.0,18.0,,189.0,3.0,1.0,10.0,62.0,14.0,,14.0,14.0,,1.0,5.0,3.0,7.0,10.0,1.0,,,,,2.0,1.0,1.0,,1.0,2.0,,,,,,,,4.0,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
35,2210619,2022-05-01 16:30:00,"London Stadium, London",59959.0,Home,West Ham United,Arsenal,1,2,L,1,1,0,0,,,27.0,53.0,1.0,,4.0,28.0,8.0,1.0,1.0,7.0,5.0,1.0,1.0,201.0,20.0,4.0,5.0,1.0,,6.0,,3.0,137.0,127.0,37.0,,,8.0,,18.0,1.0,,,1.0,1.0,,,22.0,,6.0,,1.0,8.0,3.0,2.0,40.0,269.0,,0.0,165.0,7.0,,,,,92.0,128.0,6.0,106.0,19.0,16.0,1.0,,5.0,,127.0,,,7.0,,142.0,,742.0,4.0,3.0,15.0,1.0,,8.0,486.0,21.0,2.0,4.0,1.0,2.0,2.0,,23.0,567.0,65.0,86934,4.0,238.0,,14.0,,270.0,6.0,,,16.0,6.0,50.0,,1.0,6.0,1.0,5.0,6.0,6.0,1.0,57.0,503.0,7.0,10.0,1.0,13.0,1.0,57.0,,,,0.0,1.0,7.0,2.0,1.0,2.0,,0.0,3.0,1.0,2.0,56.6,20.0,1.0,1.0,,6.0,4.0,35.0,3.0,586.0,8.0,,8.0,17.0,1.0,31.0,1.0,338.0,5.0,2.0,15.0,133.0,24.0,1.0,4.0,11.0,,2.0,7.0,3.0,13.0,7.0,3.0,,1.0,,,,2.0,,,2.0,1.0,,,,1.0,,,,3.0,2.0,,,,1.0,1.0,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,2210630,2022-05-08 14:00:00,"Carrow Road, Norwich",26428.0,Away,West Ham United,Norwich City,4,0,W,3,0,0,0,,2.0,15.0,45.0,,1.0,3.0,37.0,15.0,3.0,6.0,10.0,2.0,1.0,1.0,184.0,11.0,4.0,9.0,4.0,3.0,9.0,,5.0,178.0,101.0,34.0,,,13.0,2.0,7.0,,,,2.0,1.0,,1.0,18.0,,5.0,,1.0,15.0,4.0,3.0,36.0,274.0,1.0,0.0,150.0,7.0,,,3.0,,88.0,91.0,7.0,124.0,14.0,20.0,3.0,,6.0,,101.0,1.0,1.0,3.0,,193.0,,832.0,6.0,3.0,22.0,,,8.0,605.0,21.0,,8.0,2.0,1.0,4.0,2.0,15.0,667.0,61.0,86934,7.0,346.0,2.0,5.0,,361.0,5.0,3.0,,20.0,4.0,34.0,,3.0,8.0,3.0,8.0,5.0,4.0,1.0,53.0,616.0,5.0,9.0,1.0,5.0,2.0,64.0,,,1.0,0.0,,9.0,2.0,4.0,,,0.0,3.0,2.0,2.0,63.5,14.0,3.0,,,8.0,5.0,53.0,5.0,679.0,8.0,,9.0,23.0,3.0,31.0,1.0,336.0,5.0,2.0,8.0,118.0,12.0,1.0,8.0,12.0,,,10.0,3.0,12.0,7.0,5.0,,,1.0,,3.0,,,1.0,1.0,3.0,,1.0,,1.0,3.0,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
37,2210639,2022-05-15 14:00:00,"London Stadium, London",59972.0,Home,West Ham United,Manchester City,2,2,D,2,0,0,0,,1.0,23.0,48.0,,1.0,1.0,25.0,40.0,1.0,4.0,5.0,7.0,2.0,,98.0,10.0,5.0,6.0,2.0,1.0,4.0,,2.0,34.0,103.0,40.0,,,6.0,,19.0,,,,2.0,,,,13.0,,7.0,,,40.0,4.0,,54.0,63.0,,0.0,58.0,9.0,,,2.0,,28.0,41.0,3.0,19.0,9.0,10.0,1.0,,1.0,1.0,103.0,1.0,,19.0,,38.0,,371.0,2.0,4.0,17.0,,,13.0,104.0,26.0,5.0,25.0,2.0,3.0,13.0,1.0,9.0,161.0,34.0,86934,3.0,65.0,1.0,7.0,,81.0,6.0,,,10.0,17.0,49.0,,1.0,3.0,2.0,14.0,13.0,12.0,1.0,56.0,123.0,5.0,11.0,,9.0,1.0,49.0,,,,0.0,3.0,9.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,21.8,8.0,4.0,,,3.0,1.0,21.0,4.0,189.0,13.0,,5.0,24.0,3.0,14.0,2.0,121.0,1.0,,18.0,30.0,11.0,,25.0,11.0,,2.0,5.0,3.0,11.0,6.0,4.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,4.0,1.0,,,,1.0,1.0,3.0,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,
38,2210643,2022-05-22 16:00:00,"American Express Stadium, Falmer",31604.0,Away,West Ham United,Brighton and Hove Albion,1,3,L,1,0,0,0,,,21.0,59.0,,,3.0,42.0,19.0,2.0,4.0,4.0,4.0,1.0,1.0,156.0,18.0,2.0,1.0,1.0,1.0,4.0,,2.0,116.0,140.0,36.0,,,7.0,,20.0,,1.0,,,,,1.0,29.0,,9.0,,1.0,19.0,3.0,3.0,69.0,188.0,,0.0,136.0,9.0,,1.0,,,58.0,81.0,2.0,85.0,26.0,22.0,3.0,,12.0,1.0,140.0,,,13.0,,123.0,,652.0,4.0,3.0,15.0,,,6.0,369.0,27.0,,11.0,,1.0,7.0,2.0,20.0,453.0,53.0,86934,1.0,205.0,,13.0,1.0,236.0,4.0,,,22.0,8.0,46.0,,,7.0,,9.0,5.0,7.0,,80.0,391.0,8.0,5.0,,11.0,,56.0,1.0,,,0.0,1.0,5.0,3.0,,3.0,1.0,0.0,2.0,,,50.1,18.0,3.0,2.0,1.0,7.0,3.0,25.0,6.0,480.0,6.0,,9.0,38.0,2.0,41.0,,273.0,2.0,3.0,13.0,99.0,18.0,1.0,11.0,14.0,,3.0,5.0,3.0,4.0,8.0,6.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,3.0,,2.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
