gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,handBall,attLfTarget,attIboxBlocked,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCornersIntobox,cleanSheet,attOboxMiss,bigChanceCreated,attHdTarget,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attSetpiece,attRfGoal,attMissHigh,attAssistSetplay,attHdTotal,cornerTaken,shotOffTarget,attIboxMiss,wonCorners,bigChanceScored,attGoalLowLeft,attCmissRight,attMissHighRight,totalFastbreak,attMissRight,contentiousDecision,attLgCentre,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,totalPullBack,attCmissHigh,attCmissHighLeft,attCmissHighRight,attHdMiss,attemptsIbox,accuratePullBack,attOneOnOne,attemptsObox,touchesInOppBox,attBxLeft,ptsDroppedWinningPos,postScoringAtt,attIboxPost,secondYellow,hitWoodwork,attSvLowRight,attPostHigh,accurateCornersIntobox,attCmissLeft,forwardGoals,attFreekickTotal,penaltyWon,freekickTotal,penaltyConceded,attPenGoal,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,attFreekickMiss,attOboxPost,sixYardBlock,attGoalHighLeft,attFreekickGoal,attHdGoal,attPostLeft,shotFastbreak,attFastbreak,errorLeadToGoal,attObpGoal,attPostRight,attGoalHighRight,attSvHighLeft,goalsConcededObox,ownGoals,attIboxOwnGoal,attHdPost,clearanceOffLine,attGoalHighCentre,attFreekickPost,attObxRight,goalFastbreak,goalAssistSetplay,goalAssistDeadball
27,755564,2015-02-28 15:00:00,"Turf Moor, Burnley",17388,Away,Swansea City,Burnley,1,0,W,0,0,0,0,73.0,,1.0,29.0,33.0,2.0,1.0,6.0,,2.0,184.0,,1.0,6.0,1.0,1.0,7.0,2.0,89.0,178.0,55.0,9.0,,29.0,,13.0,14.0,1.0,33.0,9.0,35.0,141.0,,,0.0,91.0,8.0,3.0,,,,3.0,60.0,63.0,2.0,60.0,1.0,10.0,20.0,5.0,178.0,10.0,90.0,637.0,6.0,8.0,20.0,280.0,22.0,8.0,16.0,,0.0,,35.0,393.0,59.0,1.0,93464,2.0,156.0,5.0,195.0,4.0,20.0,10.0,60.0,1.0,2.0,5.0,,13.0,3.0,3.0,91.0,296.0,13.0,5.0,48.0,91.0,,0.0,,6.0,5.0,1.0,,,0.0,,,,,53.5,29.0,3.0,5.0,,44.0,3.0,423.0,20.0,13.0,16.0,14.0,241.0,7.0,9.0,18.0,49.0,37.0,4.0,16.0,20.0,,6.0,3.0,11.0,4.0,5.0,,,,1.0,,,,2.0,3.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,4.0,7.0,6.0,4.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,755582,2015-03-04 19:45:00,"White Hart Lane, London",34008,Away,Swansea City,Tottenham Hotspur,2,3,L,1,1,0,0,57.0,2.0,3.0,38.0,42.0,4.0,2.0,4.0,,1.0,142.0,,5.0,6.0,2.0,2.0,7.0,5.0,103.0,131.0,51.0,10.0,1.0,17.0,2.0,15.0,12.0,1.0,42.0,4.0,35.0,145.0,,,0.0,99.0,7.0,4.0,2.0,,,,55.0,44.0,6.0,64.0,3.0,11.0,9.0,2.0,131.0,7.0,99.0,622.0,3.0,6.0,20.0,316.0,26.0,8.0,18.0,2.0,0.0,9.0,18.0,381.0,46.0,,80789,5.0,191.0,9.0,207.0,4.0,9.0,8.0,52.0,,6.0,3.0,2.0,11.0,13.0,2.0,77.0,331.0,14.0,8.0,27.0,70.0,2.0,0.0,4.0,6.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,,,39.0,16.0,3.0,4.0,3.0,36.0,,408.0,20.0,9.0,23.0,14.0,216.0,7.0,4.0,16.0,66.0,22.0,3.0,18.0,16.0,3.0,6.0,2.0,17.0,3.0,5.0,,1.0,2.0,2.0,,,1.0,1.0,4.0,,1.0,2.0,1.0,,,,,2.0,,2.0,1.0,4.0,2.0,,4.0,2.0,,,,,,1.0,,,1.0,,2.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,2.0,,,2.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
29,755591,2015-03-16 20:00:00,"Swansea.com Stadium, Swansea",20828,Home,Swansea City,Liverpool,0,1,L,0,0,0,0,73.0,,2.0,27.0,15.0,7.0,2.0,4.0,,3.0,180.0,,4.0,9.0,,3.0,5.0,3.0,116.0,146.0,52.0,10.0,3.0,6.0,,18.0,16.0,3.0,15.0,15.0,40.0,193.0,,,0.0,103.0,13.0,2.0,,1.0,2.0,1.0,49.0,77.0,3.0,80.0,6.0,14.0,21.0,3.0,146.0,6.0,107.0,702.0,4.0,4.0,33.0,375.0,28.0,5.0,7.0,,0.0,3.0,20.0,460.0,59.0,,80789,2.0,206.0,9.0,231.0,5.0,21.0,7.0,57.0,,1.0,5.0,,13.0,10.0,7.0,64.0,395.0,14.0,11.0,23.0,79.0,,0.0,1.0,5.0,2.0,,1.0,2.0,0.0,3.0,,,,46.3,19.0,3.0,6.0,4.0,48.0,2.0,483.0,33.0,13.0,22.0,8.0,270.0,8.0,15.0,11.0,64.0,35.0,1.0,7.0,19.0,,8.0,3.0,23.0,1.0,10.0,,,1.0,,,1.0,1.0,,4.0,,2.0,,,1.0,,,,,1.0,1.0,,4.0,3.0,1.0,4.0,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
30,755593,2015-03-21 15:00:00,"Villa Park, Birmingham",35598,Away,Swansea City,Aston Villa,1,0,W,0,0,0,0,60.0,,,40.0,21.0,2.0,2.0,3.0,,3.0,180.0,1.0,1.0,14.0,1.0,3.0,7.0,6.0,111.0,156.0,55.0,9.0,1.0,21.0,1.0,20.0,9.0,1.0,21.0,7.0,39.0,152.0,,,0.0,94.0,9.0,1.0,,1.0,2.0,1.0,39.0,70.0,6.0,73.0,3.0,13.0,10.0,3.0,156.0,10.0,130.0,691.0,6.0,3.0,14.0,390.0,21.0,9.0,10.0,1.0,0.0,4.0,21.0,473.0,52.0,4.0,96305,5.0,252.0,8.0,277.0,3.0,10.0,7.0,53.0,5.0,7.0,6.0,1.0,15.0,2.0,2.0,68.0,403.0,13.0,7.0,20.0,90.0,1.0,0.0,4.0,4.0,3.0,1.0,,,0.0,1.0,1.0,,,57.4,18.0,3.0,6.0,2.0,55.0,1.0,494.0,14.0,8.0,23.0,12.0,237.0,6.0,6.0,15.0,65.0,28.0,3.0,10.0,14.0,,6.0,3.0,23.0,3.0,6.0,1.0,2.0,1.0,4.0,,,3.0,,8.0,1.0,,3.0,,,,2.0,1.0,1.0,1.0,,1.0,9.0,1.0,1.0,9.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
31,755611,2015-04-04 15:00:00,"Swansea.com Stadium, Swansea",20333,Home,Swansea City,Hull City,3,1,W,2,0,0,1,52.0,1.0,,37.0,28.0,5.0,1.0,,1.0,1.0,192.0,,3.0,4.0,3.0,1.0,5.0,4.0,166.0,121.0,50.0,9.0,,12.0,1.0,15.0,13.0,1.0,28.0,27.0,37.0,265.0,,,0.0,120.0,11.0,,1.0,1.0,,2.0,47.0,93.0,2.0,97.0,,12.0,13.0,3.0,121.0,5.0,175.0,794.0,4.0,2.0,13.0,526.0,18.0,5.0,13.0,1.0,1.0,2.0,14.0,606.0,42.0,1.0,80789,4.0,283.0,9.0,308.0,5.0,13.0,6.0,50.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,63.0,545.0,14.0,11.0,23.0,94.0,1.0,0.0,2.0,7.0,,3.0,1.0,1.0,0.0,1.0,1.0,,,58.4,14.0,1.0,3.0,1.0,67.0,2.0,630.0,13.0,9.0,25.0,13.0,337.0,8.0,26.0,17.0,90.0,28.0,6.0,13.0,17.0,1.0,7.0,3.0,11.0,6.0,6.0,,,1.0,,,2.0,,,3.0,,4.0,1.0,,2.0,,,,2.0,,,,4.0,4.0,,4.0,3.0,1.0,,3.0,2.0,1.0,,,,3.0,,,,,3.0,,,,1.0,,,,,,,,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,
32,755619,2015-04-11 12:45:00,"Swansea.com Stadium, Swansea",20468,Home,Swansea City,Everton,1,1,D,0,1,0,0,61.0,1.0,4.0,32.0,18.0,5.0,,7.0,,2.0,177.0,,4.0,8.0,1.0,5.0,6.0,3.0,98.0,138.0,57.0,11.0,1.0,15.0,,16.0,14.0,2.0,18.0,7.0,30.0,180.0,1.0,,0.0,122.0,18.0,4.0,1.0,,2.0,5.0,52.0,67.0,3.0,64.0,1.0,13.0,8.0,2.0,138.0,6.0,110.0,625.0,3.0,8.0,10.0,344.0,15.0,10.0,6.0,,3.0,2.0,17.0,429.0,56.0,,96305,3.0,182.0,9.0,198.0,11.0,8.0,5.0,46.0,,2.0,7.0,,15.0,6.0,5.0,56.0,358.0,11.0,4.0,21.0,72.0,,0.0,2.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0,,,,50.9,15.0,2.0,7.0,4.0,41.0,5.0,449.0,10.0,12.0,15.0,12.0,267.0,9.0,7.0,24.0,79.0,28.0,4.0,6.0,18.0,1.0,4.0,2.0,10.0,4.0,3.0,3.0,,3.0,,1.0,1.0,,2.0,3.0,,2.0,,,1.0,,,2.0,1.0,2.0,3.0,,3.0,4.0,2.0,3.0,1.0,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,755629,2015-04-18 15:00:00,"King Power Stadium, Leicester",31121,Away,Swansea City,Leicester City,0,2,L,0,1,0,0,61.0,,3.0,33.0,45.0,7.0,4.0,4.0,,3.0,191.0,,1.0,13.0,,2.0,9.0,6.0,114.0,158.0,44.0,10.0,,19.0,,16.0,11.0,5.0,45.0,11.0,32.0,203.0,,,0.0,124.0,5.0,3.0,,2.0,,2.0,47.0,64.0,8.0,89.0,1.0,15.0,12.0,5.0,158.0,12.0,140.0,752.0,7.0,7.0,14.0,427.0,26.0,9.0,21.0,,2.0,2.0,21.0,512.0,58.0,,80789,3.0,238.0,10.0,272.0,4.0,12.0,11.0,69.0,,3.0,8.0,,11.0,6.0,4.0,71.0,440.0,6.0,13.0,27.0,73.0,2.0,0.0,2.0,6.0,1.0,,2.0,1.0,0.0,1.0,,1.0,,58.9,20.0,1.0,8.0,2.0,36.0,2.0,534.0,14.0,16.0,18.0,11.0,278.0,6.0,10.0,11.0,91.0,22.0,5.0,21.0,14.0,2.0,7.0,3.0,29.0,5.0,6.0,,3.0,2.0,1.0,,2.0,2.0,,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,2.0,,3.0,2.0,,3.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
34,755638,2015-04-25 15:00:00,"St. James' Park, Newcastle",46884,Away,Swansea City,Newcastle United,3,2,W,1,1,0,0,70.0,,,32.0,40.0,3.0,4.0,2.0,1.0,2.0,184.0,,4.0,6.0,3.0,2.0,10.0,6.0,93.0,154.0,64.0,11.0,,16.0,1.0,13.0,16.0,2.0,40.0,8.0,40.0,166.0,,,0.0,85.0,9.0,2.0,2.0,,2.0,3.0,44.0,80.0,7.0,73.0,3.0,9.0,19.0,,154.0,9.0,110.0,683.0,6.0,1.0,21.0,353.0,33.0,8.0,25.0,2.0,2.0,2.0,17.0,430.0,43.0,1.0,96305,5.0,207.0,7.0,234.0,6.0,19.0,8.0,62.0,2.0,3.0,4.0,2.0,11.0,3.0,2.0,66.0,369.0,14.0,6.0,20.0,75.0,3.0,0.0,3.0,9.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,,,51.8,11.0,3.0,4.0,2.0,45.0,3.0,460.0,21.0,12.0,25.0,11.0,239.0,3.0,7.0,24.0,51.0,24.0,5.0,25.0,20.0,2.0,8.0,3.0,25.0,5.0,9.0,,,2.0,1.0,,,1.0,1.0,4.0,,1.0,1.0,1.0,,,,,1.0,,2.0,4.0,6.0,3.0,2.0,6.0,2.0,2.0,,,,1.0,,,1.0,3.0,,,,,,2.0,,,,,,2.0,,,,,,,,3.0,1.0,1.0,,,,,,,2.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0
35,755650,2015-05-02 15:00:00,"Swansea.com Stadium, Swansea",20661,Home,Swansea City,Stoke City,2,0,W,0,0,0,1,66.0,1.0,2.0,15.0,21.0,7.0,2.0,3.0,,2.0,161.0,,9.0,11.0,2.0,3.0,15.0,4.0,100.0,145.0,56.0,17.0,1.0,26.0,2.0,22.0,10.0,2.0,21.0,15.0,16.0,169.0,1.0,,0.0,106.0,9.0,,1.0,,2.0,2.0,33.0,64.0,10.0,56.0,3.0,17.0,18.0,3.0,145.0,3.0,96.0,625.0,11.0,5.0,23.0,303.0,30.0,6.0,12.0,2.0,1.0,2.0,23.0,388.0,47.0,,76542,8.0,161.0,12.0,186.0,4.0,18.0,6.0,63.0,,1.0,6.0,2.0,11.0,6.0,4.0,56.0,321.0,17.0,7.0,34.0,78.0,,0.0,3.0,2.0,1.0,2.0,,2.0,0.0,7.0,2.0,,,47.4,20.0,4.0,6.0,6.0,36.0,2.0,413.0,23.0,10.0,6.0,12.0,249.0,11.0,14.0,18.0,72.0,22.0,,12.0,12.0,,13.0,3.0,23.0,,7.0,,,5.0,,,,1.0,,5.0,1.0,3.0,3.0,,,,2.0,2.0,1.0,4.0,2.0,3.0,6.0,7.0,3.0,6.0,1.0,1.0,,,,1.0,,,1.0,5.0,1.0,1.0,2.0,,,2.0,,1.0,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
36,755653,2015-05-11 20:00:00,"Emirates Stadium, London",59989,Away,Swansea City,Arsenal,1,0,W,0,0,0,0,62.0,1.0,2.0,18.0,18.0,5.0,3.0,9.0,,,128.0,,2.0,14.0,1.0,1.0,6.0,3.0,80.0,111.0,51.0,8.0,3.0,11.0,1.0,8.0,15.0,1.0,18.0,6.0,25.0,129.0,,,0.0,80.0,10.0,8.0,,1.0,1.0,2.0,30.0,80.0,5.0,59.0,7.0,8.0,17.0,2.0,111.0,14.0,92.0,555.0,5.0,4.0,27.0,271.0,25.0,1.0,9.0,1.0,1.0,7.0,12.0,327.0,41.0,,76542,1.0,159.0,5.0,178.0,7.0,17.0,16.0,47.0,,1.0,9.0,1.0,7.0,9.0,7.0,53.0,286.0,7.0,10.0,14.0,65.0,,0.0,1.0,6.0,7.0,1.0,,1.0,0.0,2.0,1.0,,,32.1,7.0,1.0,11.0,3.0,31.0,2.0,359.0,27.0,12.0,12.0,7.0,189.0,4.0,6.0,6.0,49.0,14.0,4.0,9.0,24.0,,8.0,3.0,18.0,4.0,10.0,,2.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,755669,2015-05-17 13:30:00,"Swansea.com Stadium, Swansea",20669,Home,Swansea City,Manchester City,2,4,L,1,2,0,0,68.0,1.0,,27.0,18.0,6.0,4.0,7.0,,1.0,158.0,,8.0,14.0,2.0,1.0,9.0,9.0,117.0,125.0,49.0,13.0,2.0,11.0,2.0,21.0,15.0,3.0,18.0,9.0,29.0,192.0,1.0,1.0,0.0,91.0,8.0,4.0,1.0,2.0,1.0,,33.0,62.0,7.0,76.0,5.0,13.0,22.0,3.0,125.0,15.0,112.0,683.0,5.0,2.0,24.0,376.0,33.0,3.0,8.0,2.0,0.0,6.0,11.0,438.0,48.0,1.0,73459,5.0,211.0,9.0,234.0,7.0,22.0,7.0,59.0,2.0,,9.0,2.0,19.0,7.0,4.0,50.0,395.0,8.0,17.0,14.0,61.0,,0.0,2.0,7.0,7.0,1.0,4.0,,0.0,3.0,1.0,,,47.1,11.0,2.0,9.0,2.0,42.0,,463.0,24.0,11.0,19.0,17.0,250.0,5.0,7.0,7.0,70.0,23.0,5.0,8.0,20.0,3.0,9.0,3.0,26.0,5.0,11.0,,3.0,,4.0,2.0,,2.0,,8.0,,,1.0,3.0,,,2.0,,2.0,,2.0,4.0,11.0,2.0,2.0,11.0,,1.0,,,,,,,2.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,2.0,,5.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
38,755676,2015-05-24 15:00:00,"Selhurst Park, London",25076,Away,Swansea City,Crystal Palace,0,1,L,0,0,0,0,63.0,,2.0,32.0,33.0,3.0,1.0,6.0,,1.0,162.0,,1.0,10.0,,3.0,5.0,2.0,90.0,154.0,71.0,5.0,1.0,18.0,,18.0,17.0,1.0,33.0,1.0,23.0,144.0,,,0.0,88.0,13.0,2.0,,1.0,2.0,3.0,33.0,85.0,4.0,57.0,2.0,15.0,13.0,2.0,154.0,7.0,80.0,616.0,4.0,7.0,11.0,281.0,22.0,8.0,22.0,,0.0,4.0,28.0,352.0,51.0,,96305,,160.0,11.0,189.0,5.0,13.0,8.0,61.0,,,7.0,,17.0,6.0,4.0,72.0,303.0,21.0,11.0,29.0,82.0,2.0,0.0,4.0,7.0,4.0,,1.0,2.0,0.0,,,,,52.6,20.0,4.0,9.0,2.0,42.0,3.0,389.0,11.0,13.0,6.0,22.0,218.0,3.0,1.0,17.0,60.0,24.0,4.0,22.0,23.0,1.0,4.0,3.0,17.0,4.0,3.0,,,1.0,1.0,1.0,,,,3.0,,1.0,,1.0,,,,,,,1.0,1.0,3.0,1.0,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
