gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attMissRight,attHdTarget,bigChanceMissed,totalPullBack,attAssistSetplay,attSvLowRight,shieldBallOop,attHdTotal,attHdMiss,attIboxMiss,errorLeadToGoal,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,cleanSheet,penaltyWon,accurateFreekickCross,attSetpiece,defenderGoals,attPenGoal,attFastbreak,handBall,attObxLeft,postScoringAtt,attIboxPost,hitWoodwork,punches,attPostRight,attSvHighRight,attObxdLeft,goalsConcededObox,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,contentiousDecision,attFreekickGoal,attFreekickTarget,attPostHigh,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,sixYardBlock,ownGoals,attIboxOwnGoal,attCmissHigh,attCmissLeft,clearanceOffLine,attFreekickMiss,attGoalLowCentre,accuratePullBack,attHdPost,attHdGoal,attGoalHighCentre,goalAssistSetplay,goalAssistDeadball,secondYellow,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attPostLeft,attObpGoal,attSvHighLeft,attOboxPost,attGoalHighLeft,penaltySave,attCmissHighRight,attLgCentre,attPenTarget
27,755566,2015-03-01 12:00:00,"Anfield, Liverpool",44590,Home,Liverpool,Manchester City,2,1,W,1,1,0,0,1.0,,63.0,,1.0,,30.0,26.0,4.0,2.0,,,2.0,212.0,4.0,12.0,2.0,1.0,9.0,5.0,102.0,157.0,57.0,11.0,,13.0,2.0,2.0,2.0,2.0,1.0,11.0,14.0,1.0,26.0,3.0,5.0,33.0,,196.0,0.0,138.0,8.0,,3.0,1.0,,,,53.0,72.0,5.0,59.0,3.0,8.0,16.0,,1.0,157.0,,5.0,108.0,673.0,7.0,2.0,11.0,349.0,26.0,,3.0,10.0,2.0,2.0,1.0,,4.0,18.0,449.0,73.0,1.0,,99323,4.0,182.0,8.0,207.0,6.0,2.0,16.0,9.0,54.0,6.0,3.0,4.0,,2.0,13.0,3.0,6.0,1.0,64.0,374.0,14.0,12.0,22.0,85.0,0.0,4.0,,,,1.0,,0.0,4.0,,48.0,17.0,5.0,2.0,,4.0,1.0,45.0,3.0,,481.0,11.0,7.0,14.0,5.0,12.0,,285.0,9.0,4.0,11.0,87.0,24.0,1.0,,10.0,24.0,1.0,11.0,2.0,27.0,,9.0,3.0,1.0,2.0,3.0,,,,,1.0,,,,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,755575,2015-03-04 20:00:00,"Anfield, Liverpool",44717,Home,Liverpool,Burnley,2,0,W,1,0,0,0,3.0,,76.0,1.0,1.0,,34.0,31.0,12.0,7.0,1.0,,3.0,226.0,2.0,16.0,2.0,3.0,16.0,8.0,153.0,154.0,56.0,20.0,3.0,17.0,3.0,2.0,1.0,1.0,,14.0,8.0,3.0,31.0,4.0,7.0,43.0,,272.0,0.0,170.0,8.0,1.0,3.0,1.0,2.0,2.0,1.0,93.0,92.0,11.0,118.0,1.0,11.0,12.0,2.0,5.0,154.0,1.0,4.0,180.0,891.0,13.0,10.0,10.0,563.0,33.0,1.0,6.0,21.0,1.0,2.0,0.0,4.0,5.0,20.0,654.0,65.0,1.0,,99323,6.0,312.0,7.0,346.0,5.0,1.0,12.0,3.0,59.0,3.0,,6.0,,2.0,16.0,5.0,2.0,3.0,80.0,582.0,14.0,7.0,30.0,101.0,0.0,1.0,5.0,1.0,1.0,,7.0,0.0,,1.0,63.1,17.0,2.0,2.0,,6.0,5.0,60.0,6.0,1.0,677.0,10.0,15.0,24.0,7.0,14.0,3.0,345.0,11.0,7.0,17.0,135.0,30.0,1.0,4.0,21.0,9.0,,16.0,3.0,28.0,4.0,6.0,6.0,2.0,1.0,2.0,,1.0,,2.0,3.0,2.0,2.0,1.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
29,755591,2015-03-16 20:00:00,"Swansea.com Stadium, Swansea",20828,Away,Liverpool,Swansea City,1,0,W,0,0,0,0,1.0,,76.0,,,3.0,23.0,25.0,10.0,4.0,3.0,,3.0,193.0,3.0,11.0,1.0,3.0,14.0,5.0,152.0,131.0,57.0,16.0,3.0,11.0,2.0,1.0,,1.0,2.0,17.0,18.0,2.0,25.0,5.0,17.0,24.0,,215.0,0.0,164.0,16.0,2.0,1.0,1.0,,1.0,2.0,49.0,78.0,7.0,94.0,2.0,12.0,21.0,1.0,4.0,131.0,2.0,2.0,127.0,772.0,14.0,8.0,15.0,461.0,36.0,2.0,3.0,11.0,,1.0,3.0,4.0,7.0,14.0,544.0,60.0,2.0,1.0,99323,5.0,267.0,10.0,289.0,7.0,1.0,21.0,6.0,52.0,3.0,,6.0,,1.0,9.0,8.0,3.0,1.0,50.0,479.0,13.0,9.0,13.0,64.0,0.0,1.0,4.0,,,,3.0,0.0,2.0,,53.7,13.0,7.0,,,6.0,3.0,39.0,5.0,2.0,566.0,15.0,10.0,11.0,8.0,16.0,1.0,294.0,10.0,16.0,6.0,118.0,25.0,,1.0,11.0,27.0,,15.0,2.0,20.0,1.0,11.0,5.0,,,1.0,,2.0,2.0,,2.0,,2.0,2.0,3.0,,1.0,,,1.0,1.0,,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
30,755595,2015-03-22 13:30:00,"Anfield, Liverpool",44405,Home,Liverpool,Manchester United,1,2,L,0,1,1,0,,,59.0,,1.0,1.0,29.0,21.0,4.0,2.0,2.0,,,169.0,,15.0,1.0,3.0,5.0,1.0,94.0,153.0,62.0,7.0,2.0,21.0,,1.0,,,1.0,8.0,11.0,,21.0,2.0,2.0,37.0,,125.0,0.0,117.0,14.0,1.0,1.0,,,,1.0,29.0,45.0,1.0,49.0,1.0,6.0,23.0,1.0,2.0,153.0,1.0,3.0,95.0,602.0,5.0,10.0,14.0,283.0,24.0,,9.0,14.0,,1.0,2.0,2.0,4.0,25.0,380.0,49.0,,,9631,1.0,181.0,5.0,207.0,9.0,1.0,23.0,4.0,74.0,3.0,,5.0,,1.0,9.0,3.0,4.0,2.0,62.0,306.0,16.0,11.0,26.0,71.0,0.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,,,41.7,21.0,3.0,1.0,,5.0,2.0,38.0,2.0,1.0,407.0,14.0,21.0,17.0,4.0,19.0,,208.0,5.0,2.0,20.0,66.0,24.0,1.0,3.0,14.0,13.0,2.0,6.0,2.0,22.0,3.0,16.0,2.0,,,1.0,,1.0,1.0,,,4.0,,,2.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
31,755603,2015-04-04 12:45:00,"Emirates Stadium, London",60081,Away,Liverpool,Arsenal,1,4,L,0,3,1,0,,1.0,62.0,1.0,,1.0,19.0,22.0,7.0,,6.0,,1.0,189.0,4.0,15.0,1.0,1.0,12.0,2.0,118.0,149.0,55.0,13.0,1.0,9.0,1.0,,,,4.0,16.0,21.0,,22.0,4.0,14.0,25.0,1.0,217.0,0.0,143.0,9.0,3.0,,1.0,,,,44.0,48.0,3.0,89.0,1.0,12.0,17.0,2.0,6.0,149.0,1.0,10.0,113.0,722.0,8.0,2.0,9.0,404.0,30.0,,3.0,12.0,,,0.0,2.0,8.0,27.0,484.0,51.0,1.0,2.0,99323,4.0,209.0,10.0,241.0,8.0,1.0,17.0,8.0,57.0,2.0,3.0,3.0,,,21.0,6.0,4.0,2.0,43.0,422.0,7.0,15.0,16.0,68.0,0.0,1.0,6.0,5.0,1.0,4.0,,1.0,1.0,,51.4,26.0,3.0,,,3.0,2.0,43.0,5.0,,509.0,9.0,14.0,11.0,9.0,24.0,3.0,284.0,12.0,14.0,8.0,109.0,25.0,,4.0,12.0,25.0,1.0,8.0,1.0,25.0,4.0,6.0,5.0,1.0,,2.0,,1.0,,3.0,1.0,,,,3.0,,,2.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,3.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
32,755614,2015-04-13 20:00:00,"Anfield, Liverpool",44611,Home,Liverpool,Newcastle United,2,0,W,1,0,0,1,1.0,,67.0,,1.0,1.0,28.0,23.0,3.0,4.0,3.0,,3.0,201.0,1.0,16.0,2.0,3.0,8.0,6.0,122.0,147.0,68.0,14.0,1.0,13.0,2.0,1.0,1.0,3.0,2.0,12.0,18.0,2.0,23.0,5.0,13.0,37.0,,221.0,0.0,148.0,8.0,2.0,,1.0,1.0,1.0,1.0,72.0,62.0,5.0,88.0,,7.0,12.0,,,147.0,,5.0,139.0,759.0,5.0,4.0,11.0,435.0,23.0,1.0,,12.0,1.0,1.0,2.0,2.0,3.0,22.0,526.0,62.0,2.0,1.0,99323,6.0,236.0,6.0,255.0,5.0,2.0,12.0,6.0,54.0,6.0,3.0,8.0,,1.0,14.0,5.0,4.0,1.0,51.0,456.0,16.0,13.0,11.0,89.0,0.0,1.0,6.0,2.0,2.0,,1.0,0.0,,,61.8,19.0,7.0,2.0,,8.0,3.0,63.0,6.0,1.0,550.0,11.0,11.0,20.0,5.0,20.0,1.0,307.0,9.0,13.0,13.0,96.0,29.0,1.0,3.0,12.0,23.0,,7.0,2.0,26.0,3.0,6.0,6.0,2.0,,,,1.0,1.0,2.0,,1.0,1.0,1.0,5.0,,,2.0,,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
33,755628,2015-04-28 19:45:00,"The MKM Stadium, Hull",24843,Away,Liverpool,Hull City,0,1,L,0,1,0,0,1.0,,61.0,,,,21.0,20.0,6.0,2.0,3.0,,8.0,184.0,4.0,13.0,,3.0,10.0,9.0,175.0,152.0,66.0,12.0,2.0,14.0,5.0,1.0,,3.0,1.0,20.0,25.0,4.0,20.0,7.0,15.0,24.0,,268.0,0.0,190.0,10.0,1.0,,,4.0,1.0,1.0,74.0,64.0,9.0,78.0,1.0,13.0,15.0,2.0,,152.0,,4.0,154.0,799.0,9.0,4.0,10.0,487.0,25.0,,2.0,13.0,,1.0,0.0,,1.0,26.0,577.0,59.0,1.0,,99323,4.0,234.0,10.0,264.0,6.0,,15.0,3.0,57.0,1.0,,4.0,,,7.0,3.0,3.0,,42.0,498.0,10.0,4.0,11.0,70.0,0.0,2.0,7.0,3.0,,1.0,2.0,0.0,3.0,,68.8,23.0,4.0,1.0,1.0,5.0,2.0,51.0,7.0,1.0,591.0,10.0,21.0,8.0,1.0,20.0,1.0,347.0,10.0,13.0,15.0,135.0,27.0,,2.0,13.0,28.0,1.0,9.0,3.0,22.0,2.0,9.0,7.0,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,755642,2015-04-25 15:00:00,"The Hawthorns, West Bromwich",26663,Away,Liverpool,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,69.0,,,2.0,19.0,21.0,14.0,3.0,4.0,,3.0,215.0,2.0,10.0,,2.0,15.0,4.0,170.0,176.0,51.0,22.0,7.0,17.0,2.0,1.0,,1.0,2.0,21.0,8.0,2.0,21.0,4.0,7.0,48.0,,321.0,0.0,238.0,11.0,1.0,,,1.0,,,69.0,75.0,10.0,92.0,,17.0,18.0,6.0,6.0,176.0,,5.0,196.0,877.0,15.0,7.0,8.0,559.0,21.0,1.0,2.0,9.0,,1.0,0.0,,5.0,20.0,653.0,70.0,,1.0,99323,5.0,253.0,11.0,273.0,4.0,,18.0,8.0,63.0,,1.0,7.0,,,16.0,5.0,5.0,4.0,50.0,572.0,12.0,3.0,16.0,74.0,0.0,4.0,2.0,2.0,,,3.0,0.0,1.0,,73.2,18.0,4.0,1.0,2.0,7.0,9.0,46.0,4.0,,673.0,8.0,20.0,22.0,9.0,28.0,1.0,421.0,17.0,6.0,19.0,179.0,36.0,,1.0,9.0,10.0,,19.0,2.0,23.0,1.0,9.0,4.0,2.0,,1.0,,1.0,,,,1.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,2.0,,,,1.0,,,,,1.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
35,755647,2015-05-02 15:00:00,"Anfield, Liverpool",44707,Home,Liverpool,Queens Park Rangers,2,1,W,1,0,0,1,1.0,,63.0,,1.0,1.0,36.0,31.0,14.0,4.0,1.0,,3.0,187.0,9.0,7.0,2.0,3.0,18.0,8.0,121.0,162.0,63.0,25.0,7.0,22.0,4.0,3.0,1.0,,5.0,27.0,21.0,2.0,31.0,7.0,5.0,26.0,,205.0,0.0,161.0,9.0,1.0,1.0,2.0,2.0,2.0,,55.0,67.0,9.0,64.0,2.0,20.0,20.0,5.0,5.0,162.0,1.0,3.0,103.0,690.0,11.0,10.0,9.0,348.0,25.0,1.0,3.0,19.0,2.0,3.0,2.0,1.0,9.0,13.0,441.0,73.0,1.0,,99323,10.0,175.0,13.0,202.0,4.0,1.0,20.0,13.0,58.0,3.0,3.0,2.0,,1.0,13.0,7.0,7.0,1.0,75.0,371.0,16.0,7.0,20.0,72.0,0.0,2.0,6.0,,2.0,1.0,3.0,0.0,4.0,2.0,62.1,12.0,6.0,1.0,,2.0,7.0,36.0,9.0,1.0,475.0,9.0,10.0,12.0,10.0,22.0,5.0,300.0,15.0,5.0,16.0,109.0,28.0,,1.0,19.0,24.0,1.0,15.0,3.0,18.0,1.0,9.0,9.0,,1.0,2.0,2.0,2.0,,5.0,2.0,,6.0,3.0,5.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,1.0
36,755655,2015-05-10 16:00:00,"Stamford Bridge, London",41547,Away,Liverpool,Chelsea,1,1,D,1,1,0,0,1.0,1.0,67.0,,1.0,,15.0,24.0,6.0,3.0,2.0,,2.0,186.0,7.0,15.0,1.0,4.0,13.0,4.0,120.0,120.0,57.0,15.0,2.0,9.0,1.0,,,1.0,5.0,19.0,16.0,2.0,24.0,4.0,11.0,24.0,,204.0,0.0,121.0,11.0,1.0,1.0,1.0,1.0,3.0,2.0,59.0,38.0,5.0,60.0,1.0,15.0,16.0,2.0,2.0,120.0,1.0,7.0,102.0,668.0,10.0,5.0,10.0,387.0,28.0,,1.0,8.0,1.0,,3.0,4.0,8.0,15.0,451.0,49.0,,,95463,4.0,205.0,10.0,225.0,5.0,,16.0,4.0,55.0,1.0,3.0,6.0,,,12.0,1.0,4.0,1.0,38.0,402.0,13.0,11.0,14.0,68.0,0.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,5.0,1.0,52.2,15.0,4.0,1.0,,6.0,3.0,48.0,4.0,2.0,468.0,10.0,9.0,14.0,8.0,18.0,2.0,262.0,11.0,10.0,10.0,92.0,29.0,,1.0,8.0,18.0,1.0,11.0,3.0,30.0,1.0,7.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,,1.0,,6.0,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
37,755664,2015-05-16 17:30:00,"Anfield, Liverpool",44673,Home,Liverpool,Crystal Palace,1,3,L,1,1,0,0,1.0,1.0,53.0,,,1.0,26.0,29.0,11.0,5.0,3.0,,1.0,186.0,2.0,14.0,1.0,4.0,10.0,3.0,165.0,136.0,66.0,18.0,2.0,15.0,1.0,,,1.0,4.0,19.0,19.0,1.0,29.0,4.0,24.0,39.0,1.0,248.0,0.0,174.0,10.0,3.0,2.0,,,2.0,1.0,53.0,70.0,7.0,83.0,,15.0,14.0,5.0,8.0,136.0,,11.0,152.0,793.0,10.0,4.0,9.0,475.0,18.0,1.0,3.0,14.0,,,2.0,3.0,3.0,22.0,557.0,64.0,,,95463,4.0,256.0,8.0,275.0,5.0,1.0,14.0,8.0,60.0,,1.0,6.0,,1.0,7.0,4.0,7.0,2.0,52.0,502.0,17.0,16.0,10.0,71.0,0.0,1.0,5.0,2.0,1.0,3.0,,0.0,2.0,,66.3,16.0,3.0,2.0,,6.0,5.0,53.0,4.0,1.0,586.0,9.0,8.0,14.0,10.0,34.0,,330.0,12.0,23.0,15.0,122.0,25.0,1.0,1.0,14.0,20.0,2.0,15.0,3.0,26.0,1.0,8.0,4.0,3.0,1.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,,,1.0,2.0,,,,,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,
38,755682,2015-05-24 15:00:00,"bet365 Stadium, Stoke",27602,Away,Liverpool,Stoke City,1,6,L,0,5,0,0,1.0,1.0,64.0,1.0,,2.0,17.0,17.0,7.0,3.0,3.0,,2.0,197.0,3.0,11.0,1.0,4.0,12.0,4.0,140.0,142.0,60.0,13.0,4.0,14.0,2.0,,1.0,1.0,2.0,19.0,17.0,1.0,17.0,7.0,14.0,24.0,1.0,225.0,0.0,155.0,4.0,3.0,1.0,,,3.0,1.0,35.0,58.0,7.0,64.0,1.0,12.0,17.0,2.0,2.0,142.0,2.0,5.0,113.0,689.0,11.0,9.0,8.0,398.0,25.0,1.0,2.0,10.0,1.0,,2.0,3.0,5.0,21.0,487.0,61.0,,,99323,2.0,199.0,7.0,218.0,3.0,1.0,17.0,8.0,46.0,,1.0,4.0,,1.0,12.0,10.0,6.0,1.0,36.0,421.0,13.0,10.0,9.0,72.0,0.0,1.0,3.0,1.0,1.0,6.0,2.0,0.0,2.0,1.0,54.5,20.0,2.0,1.0,1.0,4.0,4.0,51.0,9.0,2.0,514.0,8.0,11.0,11.0,5.0,41.0,1.0,315.0,10.0,14.0,17.0,95.0,32.0,1.0,,10.0,20.0,3.0,10.0,3.0,18.0,,5.0,9.0,,,,,1.0,,,1.0,1.0,,,3.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,
