gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attGoalLowLeft,attIboxBlocked,attLfGoal,attRfTarget,attGoalLowCentre,accuratePullBack,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,cleanSheet,attSvHighLeft,attSvLowLeft,attMissRight,attHdTarget,goalAssist,totalKeeperSweeper,accurateThroughBall,totalPullBack,defenderGoals,attMissHigh,attFastbreak,punches,goalAssistIntentional,foulThrowIn,forwardGoals,attHdGoal,fouledFinalThird,attBxRight,attSvHighRight,freekickCross,hitWoodwork,attBxCentre,penaltyConceded,ownGoals,goalsOpenplay,attCmissLeft,attBxLeft,penaltyFaced,penGoalsConceded,attIboxOwnGoal,attOpenplay,attGoalLowRight,postScoringAtt,attIboxPost,attOboxGoal,attMissHighLeft,sixYardBlock,attSetpiece,attObxdLeft,attGoalHighLeft,attPostHigh,attemptsIbox,saves,attCmissRight,goalFastbreak,totalFastbreak,attemptsObox,attPostLeft,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,goalAssistSetplay,errorLeadToShot,attGoalHighRight,attCmissHigh,attCmissHighLeft,errorLeadToGoal,attLgCentre,attFreekickMiss,secondYellow,attHdPost,attPostRight,goalAssistDeadball,accurateFreekickCross,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attObpGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attFreekickGoal,expectedGoals,attObxLeft
29,284288,2010-03-08 20:00:00,"The Brick Community Stadium, Wigan",17427,Away,Liverpool,Wigan Athletic,0,1,L,0,1,0,0,,,,74.0,2.0,35.0,33.0,6.0,1.0,3.0,7.0,,10.0,,186.0,81.0,,13.0,3.0,15.0,,2.0,21.0,40.0,,20.0,7.0,18.0,47.0,197.0,,0.0,157.0,14.0,,,2.0,38.0,79.0,4.0,,14.0,,,5.0,3.0,173.0,8.0,848.0,10.0,8.0,16.0,31.0,4.0,16.0,5.0,1.0,6.0,28.0,81.0,9562,235.0,8.0,268.0,,6.0,74.0,7.0,1.0,7.0,5.0,3.0,,59.0,429.0,14.0,11.0,,24.0,85.0,,0.0,,4.0,1.0,,1.0,2.0,0.0,3.0,1.0,1.0,61.7,26.0,1.0,1.0,,8.0,5.0,51.0,7.0,2.0,543.0,16.0,22.0,21.0,8.0,28.0,,4.0,296.0,11.0,16.0,15.0,103.0,31.0,1.0,8.0,45.0,1.0,3.0,19.0,1.0,7.0,,2.0,,,,1.0,,1.0,,,1.0,,,,2.0,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
30,284295,2010-03-15 20:00:00,"Anfield, Liverpool",40316,Home,Liverpool,Portsmouth,4,1,W,3,0,0,0,,,2.0,59.0,1.0,39.0,13.0,11.0,7.0,6.0,8.0,4.0,21.0,9.0,125.0,47.0,1.0,25.0,3.0,11.0,2.0,3.0,27.0,13.0,3.0,8.0,8.0,31.0,35.0,305.0,,0.0,237.0,10.0,2.0,2.0,1.0,84.0,83.0,14.0,,19.0,1.0,,3.0,5.0,120.0,6.0,830.0,14.0,7.0,15.0,18.0,2.0,5.0,0.0,,7.0,17.0,90.0,9047,217.0,11.0,233.0,3.0,9.0,49.0,3.0,,9.0,3.0,9.0,,51.0,516.0,15.0,11.0,3.0,17.0,75.0,1.0,0.0,,4.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,,64.9,17.0,,10.0,,9.0,6.0,54.0,8.0,1.0,598.0,15.0,10.0,21.0,10.0,26.0,3.0,4.0,392.0,17.0,31.0,3.0,183.0,20.0,,3.0,21.0,1.0,3.0,15.0,,8.0,3.0,3.0,1.0,3.0,,3.0,,,4.0,1.0,1.0,,1.0,2.0,3.0,,4.0,,1.0,4.0,,1.0,,1.0,4.0,,2.0,,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,284305,2010-03-21 13:30:00,"Old Trafford, Manchester",75216,Away,Liverpool,Manchester United,1,2,L,1,1,0,0,,1.0,,61.0,2.0,16.0,18.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,163.0,58.0,,5.0,,20.0,1.0,2.0,13.0,20.0,,8.0,1.0,18.0,29.0,175.0,,0.0,138.0,17.0,3.0,,1.0,36.0,94.0,2.0,1.0,12.0,,,4.0,1.0,153.0,7.0,658.0,3.0,16.0,22.0,27.0,2.0,7.0,3.0,2.0,3.0,18.0,79.0,9047,148.0,8.0,173.0,,13.0,69.0,3.0,3.0,3.0,5.0,10.0,,43.0,320.0,11.0,8.0,1.0,29.0,98.0,,0.0,,1.0,1.0,1.0,2.0,5.0,0.0,2.0,1.0,3.0,44.8,14.0,1.0,3.0,,3.0,,52.0,2.0,1.0,428.0,22.0,15.0,14.0,3.0,16.0,1.0,2.0,268.0,1.0,17.0,15.0,78.0,21.0,1.0,3.0,29.0,2.0,3.0,13.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
32,284315,2010-03-28 16:00:00,"Anfield, Liverpool",43121,Home,Liverpool,Sunderland,3,0,W,2,0,0,0,,,1.0,66.0,2.0,38.0,20.0,12.0,5.0,8.0,10.0,3.0,21.0,9.0,171.0,55.0,1.0,29.0,4.0,15.0,3.0,4.0,28.0,17.0,3.0,9.0,7.0,32.0,45.0,216.0,,0.0,193.0,11.0,2.0,,1.0,82.0,75.0,13.0,3.0,21.0,1.0,,7.0,4.0,160.0,,838.0,16.0,13.0,27.0,21.0,4.0,8.0,0.0,,8.0,27.0,72.0,9047,224.0,11.0,239.0,2.0,7.0,64.0,5.0,1.0,7.0,7.0,6.0,,59.0,432.0,8.0,4.0,3.0,22.0,89.0,,0.0,,2.0,,2.0,,7.0,0.0,5.0,,2.0,63.2,25.0,1.0,9.0,,7.0,9.0,52.0,9.0,1.0,534.0,27.0,17.0,25.0,11.0,25.0,3.0,6.0,323.0,22.0,29.0,15.0,133.0,26.0,1.0,4.0,22.0,,3.0,27.0,1.0,9.0,1.0,5.0,1.0,4.0,,3.0,2.0,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,2.0,,,,3.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,284321,2010-04-04 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",27909,Away,Liverpool,Birmingham City,1,1,D,0,0,0,0,,,,66.0,1.0,53.0,23.0,9.0,4.0,6.0,7.0,1.0,14.0,3.0,176.0,48.0,1.0,20.0,4.0,18.0,2.0,5.0,26.0,17.0,,19.0,4.0,22.0,44.0,231.0,,0.0,157.0,9.0,,1.0,1.0,50.0,96.0,7.0,2.0,22.0,1.0,,9.0,5.0,172.0,5.0,814.0,11.0,9.0,26.0,22.0,6.0,13.0,1.0,,7.0,35.0,87.0,9047,189.0,10.0,222.0,1.0,6.0,53.0,4.0,,8.0,5.0,4.0,,86.0,414.0,15.0,5.0,2.0,30.0,105.0,,0.0,,5.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,58.5,29.0,2.0,4.0,1.0,8.0,7.0,59.0,4.0,1.0,537.0,26.0,12.0,21.0,10.0,23.0,1.0,5.0,341.0,13.0,20.0,7.0,100.0,26.0,1.0,11.0,19.0,1.0,3.0,16.0,1.0,4.0,,3.0,,2.0,,1.0,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,2.0,2.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,284334,2010-04-11 15:00:00,"Anfield, Liverpool",42331,Home,Liverpool,Fulham,0,0,D,0,0,0,0,,2.0,1.0,62.0,,62.0,13.0,14.0,5.0,9.0,9.0,,20.0,7.0,149.0,55.0,1.0,25.0,7.0,8.0,5.0,4.0,40.0,16.0,2.0,9.0,6.0,19.0,44.0,342.0,,0.0,267.0,8.0,,,1.0,85.0,107.0,13.0,,34.0,1.0,,11.0,5.0,145.0,1.0,882.0,18.0,9.0,26.0,18.0,7.0,6.0,1.0,2.0,7.0,29.0,82.0,9047,181.0,20.0,193.0,,1.0,42.0,3.0,2.0,6.0,2.0,1.0,,83.0,514.0,17.0,1.0,2.0,18.0,80.0,1.0,0.0,,1.0,1.0,,,4.0,0.0,7.0,3.0,3.0,65.1,24.0,3.0,6.0,1.0,6.0,9.0,59.0,10.0,1.0,594.0,26.0,14.0,20.0,9.0,38.0,2.0,4.0,441.0,16.0,19.0,9.0,208.0,31.0,,3.0,20.0,,3.0,22.0,,10.0,,2.0,,6.0,,,,1.0,,1.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,284343,2010-04-19 20:00:00,"Anfield, Liverpool",37697,Home,Liverpool,West Ham United,3,0,W,2,0,0,0,,1.0,,64.0,,52.0,15.0,7.0,4.0,8.0,7.0,3.0,16.0,6.0,160.0,64.0,2.0,22.0,2.0,12.0,1.0,2.0,28.0,22.0,3.0,11.0,7.0,25.0,46.0,241.0,,0.0,185.0,9.0,1.0,1.0,3.0,60.0,103.0,9.0,,21.0,2.0,,4.0,4.0,156.0,2.0,829.0,11.0,14.0,17.0,23.0,5.0,7.0,0.0,,7.0,30.0,83.0,9047,251.0,14.0,274.0,1.0,7.0,59.0,2.0,2.0,15.0,3.0,5.0,,82.0,484.0,12.0,6.0,3.0,24.0,83.0,2.0,0.0,,2.0,2.0,3.0,,6.0,0.0,6.0,,4.0,65.2,26.0,3.0,2.0,,15.0,5.0,47.0,8.0,3.0,579.0,17.0,16.0,26.0,11.0,16.0,2.0,6.0,333.0,13.0,23.0,13.0,137.0,20.0,4.0,5.0,32.0,,3.0,24.0,4.0,9.0,1.0,3.0,,3.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,,4.0,,,2.0,,1.0,,8.0,2.0,,3.0,1.0,8.0,,,1.0,,,,,,12.0,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,
36,284353,2010-04-25 15:00:00,"Turf Moor, Burnley",21553,Away,Liverpool,Burnley,4,0,W,0,0,0,0,0.0,1.0,,73.0,1.0,29.0,41.0,8.0,,2.0,6.0,4.0,11.0,7.0,171.0,64.0,1.0,15.0,2.0,22.0,2.0,2.0,22.0,27.0,1.0,19.0,4.0,21.0,38.0,176.0,,0.0,141.0,13.0,4.0,4.0,2.0,46.0,66.0,8.0,,18.0,1.0,0.0,9.0,4.0,171.0,10.0,697.0,7.0,14.0,18.0,25.0,6.0,16.0,1.0,3.0,3.0,24.0,83.0,9047,167.0,8.0,196.0,4.0,13.0,67.0,4.0,1.0,6.0,6.0,6.0,0.0,69.0,341.0,12.0,9.0,,30.0,98.0,2.0,0.0,1.0,4.0,3.0,2.0,0.0,8.0,0.0,2.0,2.0,1.0,54.2,18.0,1.0,2.0,,6.0,3.0,41.0,5.0,2.0,461.0,18.0,16.0,14.0,5.0,28.0,,1.0,287.0,14.0,18.0,12.0,86.0,32.0,3.0,7.0,34.0,0.0,3.0,14.0,3.0,5.0,2.0,1.0,0.0,3.0,0.0,,,,4.0,1.0,1.0,1.0,,,2.0,,4.0,,2.0,1.0,0.0,,,1.0,2.0,,,0.0,2.0,2.0,,1.0,,3.0,,0.0,4.0,1.0,,,,,13.0,2.0,,,2.0,,1.0,,,0.0,,6.0,4.0,,,,9.0,,12.0,321.0,428.0,1.0,,,0.0,,,,1.0,,,,,,,,,,,0.0,1.6146,0.9608,0.0,0.0,0.0,0.7123,0.055,0.0,0.8714,
37,284363,2010-05-02 13:30:00,"Anfield, Liverpool",44375,Home,Liverpool,Chelsea,0,2,L,0,1,0,0,,2.0,,55.0,5.0,39.0,18.0,8.0,1.0,3.0,7.0,,9.0,1.0,143.0,46.0,1.0,11.0,2.0,9.0,1.0,3.0,28.0,14.0,,8.0,7.0,27.0,40.0,172.0,,0.0,134.0,9.0,4.0,,1.0,41.0,101.0,4.0,1.0,21.0,1.0,,4.0,6.0,133.0,7.0,750.0,8.0,9.0,21.0,31.0,6.0,14.0,1.0,2.0,5.0,29.0,64.0,8432,249.0,16.0,264.0,,5.0,53.0,3.0,2.0,3.0,10.0,3.0,,60.0,418.0,6.0,12.0,1.0,18.0,79.0,,0.0,,5.0,3.0,,2.0,4.0,0.0,2.0,2.0,,56.2,25.0,,1.0,,4.0,3.0,50.0,9.0,1.0,492.0,21.0,14.0,28.0,7.0,11.0,1.0,,256.0,9.0,26.0,9.0,90.0,16.0,3.0,7.0,24.0,2.0,3.0,18.0,3.0,9.0,,1.0,,1.0,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
38,284376,2010-05-09 16:00:00,"The MKM Stadium, Hull",25030,Away,Liverpool,Hull City,0,0,D,0,0,0,0,,1.0,,65.0,2.0,46.0,26.0,9.0,4.0,1.0,13.0,,12.0,3.0,148.0,70.0,,21.0,3.0,13.0,2.0,2.0,19.0,22.0,1.0,15.0,6.0,21.0,34.0,215.0,,0.0,148.0,11.0,,,2.0,45.0,63.0,6.0,1.0,13.0,,,1.0,5.0,137.0,5.0,791.0,11.0,7.0,14.0,22.0,4.0,15.0,0.0,4.0,6.0,19.0,75.0,8432,224.0,12.0,244.0,,7.0,54.0,5.0,,5.0,6.0,2.0,,62.0,438.0,15.0,6.0,1.0,21.0,83.0,,0.0,,2.0,1.0,,,3.0,0.0,,,2.0,59.6,15.0,1.0,3.0,,5.0,5.0,52.0,6.0,2.0,523.0,14.0,12.0,24.0,13.0,21.0,1.0,6.0,298.0,15.0,19.0,12.0,104.0,30.0,2.0,7.0,30.0,,3.0,26.0,2.0,6.0,,2.0,,2.0,,,1.0,,,,,1.0,2.0,1.0,6.0,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
