gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,fouledFinalThird,accuratePullBack,attOboxBlocked,attMissLeft,attOboxTarget,freekickCross,attMissRight,attemptsObox,attOboxMiss,attMissHighLeft,offtargetAttAssist,accurateThroughBall,attMissHigh,attAssistSetplay,attSvLowRight,attHdMiss,attBxLeft,blockedScoringAtt,shotOffTarget,attIboxMiss,attCmissRight,attSvHighRight,attSetpiece,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,accurateCornersIntobox,attFreekickTotal,freekickTotal,attLgCentre,expectedGoalsFreekick,errorLeadToShot,sixYardBlock,foulThrowIn,goalAssistSetplay,goalAssist,attCmissLeft,ptsDroppedWinningPos,bigChanceScored,goalAssistOpenplay,attOneOnOne,attMissHighRight,ptsGainedLosingPos,attFreekickTarget,goalAssistIntentional,clearanceOffLine,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighRight,attObxRight,attFreekickMiss,attPostRight,errorLeadToGoal,handBall,penaltySave,goalAssistDeadball,attHdPost,accurateFreekickCross,attPostHigh,attPostLeft,attIboxOwnGoal,attSvHighLeft,goalFastbreak,contentiousDecision,attCmissHighLeft,attObxLeft,attOboxPost,penaltyWon
25,2562135,2026-02-07 15:00:00,"Vitality Stadium, Bournemouth",11248.0,Away,Aston Villa,Bournemouth,1,1,D,1.0,0.0,0,0,0.0,1.0,43.0,0.0,0.0,3.0,1.3316,21.0,40.0,1.0,5.0,7.0,0.0,2.0,142.0,0.0,4.0,5.0,1.0,7.0,4.0,97.0,129.0,48.0,7.0,17.0,2.0,,2.0,1.0,1.0,11.0,12.0,1.0,40.0,2.0,9.0,36.0,2.1357,148.0,,0.0,0.0,111.0,11.0,0.0,2.0,,1.0,1.0,3.0,43.0,42.0,7.0,65.0,1.0,9.0,11.0,0.0,0.0,1.0,129.0,1.0,12.0,0.0,78.0,586.0,5.0,9.0,20.0,1.0,7.0,287.0,21.0,3.0,28.0,2.0,1.0,5.0,0.463523,17.0,353.0,51.0,32.59,178301,1.0,166.0,,8.0,183.0,6.0,109434.58,1.0,1.0,6.0,16.0,40.0,0.0,,0.0,3.0,4.0,1.0,25.0,8.0,13.0,0.0,51.0,310.0,4.0,3.0,8.0,2.0,64.0,,0.0,0.0,0.0,1.0,0.0,2.0,11.0,5.0,1.0,1.0,4.0,0.0,2.0,,1.0,47.3,7.0,2.0,1.0,4.0,28.0,4.0,3.0,382.0,7.0,7.0,17.0,20.0,210.0,5.0,7.0,22.0,79.0,11.0,3.0,28.0,18.0,0.0,1.0,5.0,5.0,8.0,0.5929,3.0,6.0,4.0,2.0,2.0,,,1.0,,1.0,,,2.0,,,,,,1.0,1.0,,1.0,3.0,,,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
26,2562145,2026-02-11 19:30:00,"Villa Park, Birmingham",39495.0,Home,Aston Villa,Brighton and Hove Albion,1,0,W,0.0,0.0,0,0,0.0,,50.0,0.0,0.0,2.0,0.0918,25.0,22.0,4.0,10.0,3.0,0.0,1.0,138.0,0.0,5.0,2.0,1.0,13.0,1.0,89.0,123.0,39.0,15.0,11.0,1.0,,1.0,1.0,,14.0,5.0,0.0,22.0,4.0,8.0,24.0,0.3344,137.0,1.0,0.0,0.0,121.0,9.0,0.0,2.0,,0.0,,3.0,33.0,46.0,5.0,73.0,,10.0,20.0,0.0,0.0,2.0,123.0,,7.0,0.0,118.0,595.0,12.0,4.0,31.0,,7.0,316.0,22.0,6.0,14.0,1.0,2.0,1.0,0.9191,12.0,387.0,50.0,34.2,515597,4.0,210.0,,7.0,231.0,2.0,111542.65,0.0,1.0,9.0,7.0,41.0,0.0,,0.0,,8.0,0.0,18.0,2.0,6.0,0.0,55.0,342.0,14.0,5.0,23.0,5.0,52.0,,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,,5.0,49.7,9.0,4.0,,8.0,23.0,7.0,3.0,418.0,7.0,6.0,11.0,25.0,201.0,6.0,7.0,12.0,86.0,11.0,2.0,14.0,11.0,0.0,0.0,10.0,5.0,12.0,0.809527,2.0,9.0,7.0,2.0,5.0,1.0,,2.0,4.0,,1.0,3.0,5.0,3.0,,8.0,,2.0,1.0,1.0,5.0,1.0,4.0,10.0,7.0,1.0,,,,,,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
27,2562155,2026-02-21 15:00:00,"Villa Park, Birmingham",43048.0,Home,Aston Villa,Leeds United,1,1,D,0.0,1.0,0,0,1.0,2.0,45.0,0.0,0.0,,1.8303,16.0,20.0,6.0,6.0,3.0,0.0,1.0,160.0,0.0,7.0,8.0,1.0,12.0,4.0,141.0,142.0,61.0,16.0,15.0,1.0,1.0,,,1.0,28.0,8.0,0.0,20.0,6.0,3.0,29.0,1.1031,261.0,,0.0,0.0,204.0,11.0,0.0,2.0,1.0,0.0,2.0,,53.0,81.0,7.0,72.0,1.0,22.0,21.0,0.0,0.0,6.0,142.0,1.0,9.0,1.0,147.0,741.0,10.0,6.0,30.0,,8.0,421.0,18.0,3.0,14.0,,1.0,3.0,1.23956,23.0,495.0,64.0,33.27,173879,3.0,189.0,1.0,11.0,209.0,6.0,111357.11,1.0,,8.0,6.0,53.0,0.0,,0.0,4.0,2.0,0.0,16.0,5.0,6.0,0.0,36.0,443.0,16.0,5.0,15.0,4.0,55.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,4.0,,2.0,66.8,22.0,6.0,,2.0,38.0,7.0,,520.0,8.0,9.0,13.0,46.0,339.0,8.0,3.0,23.0,156.0,19.0,1.0,14.0,14.0,0.0,0.0,9.0,5.0,21.0,1.4601,1.0,8.0,7.0,4.0,9.0,5.0,,1.0,2.0,2.0,5.0,1.0,10.0,6.0,,5.0,,1.0,2.0,,,,5.0,7.0,,,,2.0,,,,,3.0,,,,,,2.0,,,,,,,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,
28,2562174,2026-02-27 20:00:00,"Molineux Stadium, Wolverhampton",30197.0,Away,Aston Villa,Wolverhampton Wanderers,0,2,L,0.0,0.0,0,0,0.0,2.0,45.0,0.0,0.0,,0.8466,24.0,15.0,4.0,10.0,,0.0,3.0,159.0,0.0,7.0,5.0,0.0,11.0,5.0,140.0,116.0,44.0,14.0,4.0,3.0,,1.0,2.0,1.0,26.0,5.0,0.0,15.0,5.0,8.0,28.0,0.8793,179.0,,0.0,0.0,124.0,19.0,0.0,,,0.0,2.0,,71.0,62.0,8.0,71.0,,21.0,20.0,0.0,0.0,6.0,116.0,1.0,6.0,0.0,132.0,675.0,8.0,2.0,24.0,,11.0,419.0,16.0,2.0,11.0,2.0,3.0,2.0,0.582798,15.0,478.0,54.0,33.61,653481,7.0,267.0,2.0,15.0,283.0,9.0,112044.11,0.0,,9.0,7.0,48.0,0.0,,0.0,,3.0,0.0,16.0,3.0,7.0,0.0,35.0,439.0,13.0,9.0,4.0,3.0,58.0,,0.0,0.0,0.0,,0.0,,,,0.0,2.0,1.0,0.0,3.0,,3.0,60.8,13.0,4.0,2.0,3.0,43.0,5.0,,502.0,11.0,8.0,13.0,30.0,245.0,7.0,7.0,15.0,90.0,22.0,,11.0,11.0,0.0,2.0,8.0,5.0,13.0,1.0258,,9.0,5.0,4.0,4.0,,,2.0,,2.0,1.0,2.0,4.0,,,3.0,,1.0,3.0,,3.0,,6.0,3.0,3.0,1.0,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2562176,2026-03-04 19:30:00,"Villa Park, Birmingham",42084.0,Home,Aston Villa,Chelsea,1,4,L,1.0,2.0,0,0,0.0,,43.0,0.0,0.0,1.0,0.5393,18.0,14.0,1.0,6.0,4.0,0.0,3.0,140.0,1.0,1.0,2.0,1.0,7.0,4.0,108.0,104.0,29.0,9.0,6.0,3.0,1.0,3.0,,1.0,11.0,8.0,0.0,14.0,1.0,6.0,23.0,4.0965,151.0,,0.0,0.0,106.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,48.0,28.0,5.0,73.0,,10.0,18.0,0.0,0.0,3.0,104.0,3.0,14.0,0.0,110.0,595.0,6.0,3.0,17.0,,7.0,350.0,16.0,1.0,4.0,,3.0,4.0,1.02949,16.0,409.0,43.0,34.68,441302,2.0,221.0,3.0,7.0,244.0,7.0,116031.05,1.0,,10.0,3.0,37.0,0.0,2.0,0.0,2.0,5.0,1.0,16.0,1.0,3.0,0.0,32.0,371.0,9.0,6.0,6.0,,40.0,1.0,0.0,0.0,0.0,,0.0,1.0,8.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,43.1,16.0,2.0,1.0,5.0,25.0,3.0,2.0,431.0,7.0,9.0,10.0,21.0,198.0,8.0,4.0,7.0,83.0,16.0,2.0,4.0,11.0,0.0,4.0,8.0,5.0,8.0,0.7828,2.0,10.0,3.0,,3.0,2.0,,1.0,,,,2.0,3.0,2.0,,2.0,1.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.0519,,,,,1.0,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,
30,2562191,2026-03-15 14:00:00,"Old Trafford, Manchester",73997.0,Away,Aston Villa,Manchester United,1,3,L,0.0,0.0,0,0,0.0,,45.0,1.0,0.0,,0.8398,15.0,31.0,2.0,6.0,3.0,1.0,1.0,132.0,0.0,6.0,5.0,1.0,7.0,2.0,121.0,113.0,39.0,9.0,13.0,1.0,,1.0,,,17.0,10.0,0.0,31.0,4.0,9.0,31.0,2.2094,197.0,,0.0,0.0,146.0,5.0,0.0,2.0,,1.0,,,51.0,51.0,1.0,72.0,2.0,13.0,10.0,0.0,0.0,6.0,113.0,2.0,11.0,0.0,117.0,616.0,4.0,1.0,31.0,,8.0,358.0,21.0,2.0,18.0,,2.0,4.0,1.64565,11.0,420.0,51.0,34.42,441302,5.0,185.0,2.0,6.0,201.0,1.0,107919.24,0.0,,6.0,7.0,40.0,0.0,3.0,0.0,1.0,5.0,0.0,12.0,5.0,6.0,0.0,40.0,376.0,10.0,4.0,9.0,1.0,47.0,,0.0,0.0,0.0,,0.0,1.0,6.0,3.0,1.0,3.0,,0.0,6.0,,3.0,48.0,7.0,3.0,1.0,5.0,22.0,6.0,,442.0,8.0,10.0,13.0,30.0,258.0,4.0,8.0,8.0,110.0,15.0,1.0,18.0,16.0,0.0,3.0,5.0,5.0,14.0,0.9973,1.0,6.0,6.0,1.0,3.0,3.0,,1.0,2.0,,1.0,2.0,3.0,2.0,,5.0,1.0,,2.0,,3.0,,2.0,5.0,3.0,,,2.0,,,,,,1.0,1.0,,0.048,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
31,2562196,2026-03-22 14:15:00,"Villa Park, Birmingham",42130.0,Home,Aston Villa,West Ham United,2,0,W,1.0,0.0,0,0,0.0,,38.0,1.0,0.0,,1.4221,22.0,17.0,4.0,12.0,1.0,1.0,5.0,160.0,0.0,5.0,6.0,2.0,17.0,7.0,133.0,104.0,45.0,23.0,14.0,3.0,3.0,3.0,,1.0,17.0,13.0,1.0,17.0,6.0,9.0,29.0,0.156,261.0,1.0,1.0,0.0,150.0,3.0,0.0,,3.0,1.0,2.0,1.0,85.0,55.0,11.0,79.0,,11.0,13.0,0.0,0.0,3.0,104.0,2.0,8.0,0.0,135.0,683.0,15.0,4.0,35.0,,4.0,434.0,15.0,1.0,11.0,,0.0,5.0,1.75089,20.0,484.0,64.0,33.58,244850,2.0,196.0,2.0,8.0,209.0,2.0,107540.22,1.0,1.0,4.0,10.0,39.0,0.0,1.0,0.0,,3.0,1.0,16.0,1.0,6.0,0.0,39.0,452.0,7.0,9.0,5.0,5.0,60.0,3.0,0.0,0.0,0.0,,0.0,,6.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,58.9,12.0,2.0,,3.0,44.0,6.0,1.0,507.0,4.0,8.0,16.0,29.0,315.0,17.0,8.0,14.0,126.0,15.0,2.0,11.0,18.0,0.0,0.0,16.0,5.0,11.0,1.6926,2.0,4.0,6.0,3.0,10.0,2.0,,4.0,4.0,2.0,,2.0,11.0,4.0,,6.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,9.0,5.0,1.0,1.0,1.0,,,,,3.0,,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0
32,2562212,2026-04-12 14:00:00,"The City Ground, Nottingham",30591.0,Away,Aston Villa,Nottingham Forest,1,1,D,1.0,1.0,0,0,1.0,3.0,45.0,0.0,0.0,2.0,0.7814,21.0,12.0,5.0,8.0,4.0,0.0,2.0,154.0,0.0,3.0,10.0,1.0,10.0,5.0,142.0,108.0,48.0,12.0,15.0,3.0,1.0,2.0,,2.0,14.0,6.0,0.0,12.0,3.0,13.0,33.0,0.5258,191.0,,0.0,0.0,128.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,45.0,58.0,4.0,86.0,1.0,11.0,17.0,0.0,0.0,2.0,108.0,3.0,9.0,0.0,119.0,681.0,8.0,2.0,22.0,,8.0,417.0,20.0,1.0,9.0,,2.0,5.0,0.501,15.0,472.0,50.0,32.65,449871,3.0,254.0,3.0,9.0,277.0,4.0,104036.22,0.0,1.0,8.0,10.0,43.0,0.0,1.0,0.0,2.0,8.0,0.0,15.0,6.0,9.0,0.0,43.0,442.0,15.0,5.0,9.0,2.0,42.0,1.0,0.0,0.0,0.0,,0.0,1.0,7.0,1.0,0.0,1.0,,0.0,1.0,2.0,2.0,59.2,9.0,5.0,,8.0,25.0,3.0,1.0,501.0,8.0,9.0,19.0,28.0,238.0,5.0,10.0,10.0,107.0,11.0,2.0,9.0,15.0,0.0,0.0,10.0,5.0,16.0,1.0249,2.0,8.0,3.0,1.0,4.0,,,1.0,1.0,2.0,,2.0,4.0,2.0,,6.0,,2.0,2.0,,2.0,1.0,1.0,7.0,4.0,1.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,
33,2562215,2026-04-19 14:00:00,"Villa Park, Birmingham",42599.0,Home,Aston Villa,Sunderland,4,3,W,2.0,1.0,0,0,0.0,2.0,46.0,0.0,1.0,1.0,3.5594,31.0,20.0,3.0,10.0,4.0,1.0,1.0,133.0,1.0,6.0,6.0,4.0,12.0,7.0,102.0,106.0,38.0,15.0,12.0,2.0,1.0,,1.0,2.0,16.0,6.0,0.0,20.0,3.0,4.0,28.0,2.9316,169.0,,0.0,0.0,112.0,11.0,0.0,2.0,2.0,1.0,,1.0,47.0,30.0,9.0,71.0,,13.0,12.0,1.0,0.0,3.0,106.0,7.0,8.0,1.0,97.0,560.0,7.0,1.0,26.0,,5.0,320.0,20.0,9.0,9.0,1.0,1.0,1.0,2.48094,13.0,376.0,41.0,34.02,449871,3.0,178.0,3.0,9.0,195.0,5.0,107943.97,1.0,,6.0,8.0,40.0,0.0,,0.0,,3.0,4.0,16.0,2.0,5.0,0.0,52.0,341.0,11.0,5.0,20.0,2.0,54.0,1.0,1.0,0.0,0.0,,0.0,1.0,5.0,3.0,4.0,3.0,,0.0,4.0,,3.0,49.9,10.0,2.0,1.0,3.0,35.0,4.0,1.0,403.0,5.0,8.0,20.0,22.0,224.0,9.0,3.0,11.0,81.0,17.0,3.0,9.0,10.0,2.0,3.0,11.0,4.0,12.0,2.8412,3.0,6.0,4.0,2.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,5.0,3.0,,3.0,,1.0,1.0,,,,3.0,5.0,1.0,,,1.0,,,,,2.0,1.0,1.0,1.0,0.0537,1.0,1.0,,,4.0,,,4.0,4.0,,1.0,,,4.0,,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,
34,2562229,2026-04-25 12:30:00,"Craven Cottage, London",27606.0,Away,Aston Villa,Fulham,0,1,L,0.0,1.0,0,0,0.0,,39.0,0.0,0.0,2.0,0.0666,24.0,9.0,3.0,6.0,5.0,0.0,1.0,163.0,0.0,1.0,6.0,0.0,9.0,1.0,156.0,126.0,41.0,10.0,20.0,,1.0,1.0,2.0,1.0,18.0,10.0,0.0,9.0,3.0,17.0,36.0,2.0149,197.0,,0.0,0.0,128.0,12.0,0.0,3.0,1.0,0.0,,,47.0,60.0,2.0,66.0,1.0,15.0,23.0,0.0,0.0,1.0,126.0,1.0,6.0,0.0,144.0,704.0,9.0,3.0,16.0,,6.0,428.0,14.0,4.0,5.0,2.0,2.0,5.0,0.32892,23.0,498.0,58.0,32.19,244850,4.0,260.0,1.0,12.0,283.0,5.0,105012.99,0.0,,5.0,7.0,56.0,0.0,2.0,0.0,,7.0,0.0,12.0,7.0,6.0,0.0,44.0,456.0,12.0,7.0,12.0,1.0,65.0,1.0,0.0,0.0,0.0,,0.0,,2.0,3.0,0.0,1.0,3.0,0.0,1.0,,1.0,61.1,17.0,2.0,,7.0,45.0,5.0,,529.0,6.0,14.0,19.0,30.0,264.0,6.0,14.0,10.0,93.0,12.0,3.0,5.0,13.0,0.0,1.0,8.0,5.0,10.0,0.932,3.0,5.0,5.0,1.0,4.0,1.0,,,2.0,1.0,2.0,1.0,4.0,3.0,3.0,7.0,,,,1.0,1.0,,1.0,8.0,5.0,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
35,2562237,2026-05-03 19:00:00,"Villa Park, Birmingham",42767.0,Home,Aston Villa,Tottenham Hotspur,1,2,L,0.0,2.0,0,0,1.0,,40.0,0.0,0.0,1.0,0.24,9.0,14.0,,2.0,3.0,0.0,,106.0,0.0,2.0,6.0,1.0,5.0,1.0,115.0,119.0,45.0,5.0,5.0,,,,,,13.0,12.0,0.0,14.0,4.0,4.0,14.0,1.8735,124.0,,0.0,0.0,83.0,12.0,0.0,1.0,,0.0,,,37.0,36.0,4.0,53.0,,9.0,25.0,1.0,0.0,4.0,119.0,1.0,6.0,1.0,100.0,546.0,3.0,4.0,9.0,,5.0,289.0,13.0,1.0,8.0,,2.0,2.0,0.359146,21.0,347.0,44.0,34.25,441302,1.0,190.0,1.0,4.0,214.0,4.0,105886.13,0.0,,11.0,6.0,46.0,0.0,1.0,0.0,2.0,2.0,1.0,17.0,4.0,5.0,0.0,25.0,312.0,12.0,7.0,6.0,1.0,44.0,,0.0,0.0,0.0,,0.0,1.0,5.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,44.8,18.0,1.0,,2.0,31.0,5.0,,374.0,5.0,15.0,6.0,16.0,173.0,3.0,3.0,8.0,58.0,21.0,,8.0,19.0,1.0,1.0,4.0,3.0,14.0,0.3208,,11.0,5.0,,3.0,1.0,,3.0,,,1.0,,3.0,,,1.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
37,2562257,2026-05-15 20:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Liverpool,0,0,D,,,0,0,0.0,2.0,35.0,1.0,2.0,2.0,3.1109,21.0,24.0,5.0,9.0,3.0,1.0,3.0,120.0,0.0,1.0,8.0,4.0,10.0,9.0,91.0,107.0,38.0,14.0,16.0,4.0,2.0,,,4.0,11.0,9.0,0.0,24.0,4.0,11.0,28.0,1.6153,126.0,,1.0,0.0,112.0,12.0,0.0,1.0,2.0,2.0,1.0,1.0,40.0,38.0,8.0,72.0,1.0,8.0,8.0,0.0,0.0,2.0,107.0,3.0,10.0,0.0,82.0,521.0,6.0,2.0,19.0,,5.0,281.0,14.0,1.0,10.0,,3.0,3.0,0.643381,19.0,342.0,38.0,31.65,244850,4.0,174.0,3.0,6.0,190.0,7.0,110506.51,3.0,,3.0,6.0,43.0,0.0,3.0,0.0,2.0,4.0,2.0,15.0,6.0,3.0,0.0,47.0,299.0,9.0,6.0,10.0,4.0,42.0,2.0,1.0,0.0,0.0,1.0,0.0,,9.0,1.0,3.0,2.0,1.0,0.0,1.0,,,44.7,14.0,5.0,,4.0,22.0,4.0,2.0,365.0,5.0,4.0,15.0,24.0,186.0,9.0,11.0,10.0,76.0,10.0,1.0,10.0,11.0,0.0,2.0,8.0,4.0,13.0,1.8454,1.0,3.0,4.0,,5.0,2.0,,3.0,,1.0,,,5.0,,,2.0,1.0,,1.0,,,3.0,3.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,0.0399,2.0,,,1.0,3.0,,,2.0,2.0,2.0,1.0,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
38,2562270,2026-05-24 16:00:00,"Etihad Stadium, Manchester",,Away,Aston Villa,Manchester City,0,0,D,,,0,0,0.0,2.0,32.0,2.0,0.0,,2.6451,20.0,37.0,6.0,9.0,2.0,1.0,1.0,121.0,0.0,3.0,3.0,2.0,9.0,5.0,120.0,76.0,42.0,12.0,7.0,1.0,1.0,1.0,,1.0,8.0,19.0,0.0,37.0,4.0,6.0,24.0,1.513,121.0,,0.0,0.0,57.0,4.0,0.0,,2.0,0.0,1.0,,30.0,27.0,5.0,89.0,2.0,4.0,11.0,0.0,0.0,1.0,76.0,3.0,10.0,0.0,110.0,616.0,5.0,1.0,20.0,,11.0,378.0,21.0,3.0,12.0,,0.0,6.0,0.629632,10.0,418.0,25.0,34.0,215711,,279.0,2.0,2.0,296.0,3.0,107892.9,1.0,1.0,5.0,12.0,26.0,0.0,1.0,0.0,1.0,2.0,1.0,16.0,6.0,11.0,0.0,40.0,397.0,8.0,5.0,13.0,3.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,2.0,1.0,,0.0,1.0,,2.0,47.5,10.0,2.0,,2.0,25.0,4.0,,440.0,11.0,4.0,17.0,16.0,152.0,4.0,5.0,3.0,40.0,6.0,,12.0,28.0,0.0,1.0,7.0,5.0,9.0,1.768,,5.0,4.0,2.0,3.0,2.0,,,1.0,2.0,1.0,2.0,3.0,1.0,,4.0,1.0,1.0,3.0,,1.0,3.0,2.0,5.0,3.0,,,1.0,,,,,2.0,1.0,1.0,,0.053,1.0,1.0,,,1.0,,,2.0,1.0,1.0,,3.0,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,
