gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attMissLeft,attGoalHighRight,attOboxTarget,attOboxGoal,attGoalHighCentre,attHdTarget,goalAssist,attRfGoal,attFastbreak,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,attLfTarget,attFreekickTotal,interceptionsInBox,freekickTotal,attObxdRight,attFreekickTarget,attSvHighCentre,attGoalLowLeft,goalAssistSetplay,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attLgCentre,errorLeadToShot,penaltyConceded,goalsOpenplay,foulThrowIn,clearanceOffLine,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowCentre,attMissHighRight,bigChanceMissed,attCmissHighLeft,attCmissHighRight,attSvHighRight,penaltyWon,ownGoals,attPenGoal,attSvHighLeft,hitWoodwork,accurateFreekickCross,attGoalHighLeft,goalsConcededObox,defenderGoals,errorLeadToGoal,goalAssistDeadball,goalFastbreak,secondYellow,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostHigh,attObxRight,attIboxOwnGoal
29,360749,2012-04-24 19:45:00,"Villa Park, Birmingham",32263,Home,Aston Villa,Bolton Wanderers,1,2,L,0,0,0,0,50.0,1.0,20.0,15.0,6.0,8.0,3.0,165.0,8.0,9.0,1.0,14.0,1.0,,4.0,48.0,210.0,74.0,18.0,23.0,1.0,,,3.0,29.0,14.0,10.0,8.0,9.0,30.0,126.0,,0.0,132.0,9.0,2.0,1.0,2.0,42.0,44.0,5.0,32.0,1.0,21.0,4.0,3.0,205.0,8.0,47.0,518.0,11.0,22.0,12.0,10.0,2.0,12.0,7.0,,1.0,8.0,9.0,27.0,73.0,,80979,9.0,47.0,16.0,,1.0,77.0,1.0,6.0,57.0,2.0,2.0,6.0,,16.0,7.0,1.0,5.0,56.0,165.0,16.0,6.0,2.0,42.0,89.0,,0.0,2.0,6.0,2.0,6.0,0.0,6.0,5.0,43.8,18.0,5.0,2.0,1.0,,2.0,39.0,9.0,2.0,292.0,11.0,9.0,11.0,12.0,27.0,2.0,8.0,244.0,5.0,9.0,27.0,67.0,27.0,2.0,5.0,22.0,11.0,3.0,19.0,2.0,9.0,1.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,,1.0,,,,1.0,1.0,2.0,1.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,
30,360759,2012-03-24 15:00:00,"Emirates Stadium, London",60108,Away,Aston Villa,Arsenal,0,3,L,0,2,0,0,49.0,1.0,15.0,26.0,1.0,1.0,,99.0,4.0,6.0,2.0,3.0,,,,55.0,126.0,35.0,3.0,9.0,,1.0,,,16.0,12.0,19.0,3.0,11.0,12.0,93.0,,0.0,94.0,13.0,3.0,,1.0,33.0,30.0,2.0,34.0,,13.0,4.0,,119.0,13.0,44.0,392.0,2.0,11.0,25.0,22.0,,10.0,10.0,,5.0,5.0,1.0,8.0,52.0,,8380,1.0,69.0,9.0,,1.0,82.0,2.0,12.0,42.0,1.0,2.0,3.0,3.0,4.0,6.0,4.0,1.0,38.0,158.0,7.0,10.0,1.0,24.0,66.0,,0.0,4.0,15.0,3.0,3.0,0.0,3.0,,28.5,4.0,,2.0,,3.0,2.0,26.0,5.0,1.0,232.0,22.0,3.0,3.0,1.0,13.0,1.0,1.0,166.0,2.0,10.0,8.0,51.0,18.0,7.0,6.0,14.0,2.0,3.0,13.0,7.0,5.0,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,,,,3.0,,,,2.0,,,,4.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,
31,360769,2012-03-31 15:00:00,"Villa Park, Birmingham",34740,Home,Aston Villa,Chelsea,2,4,L,0,1,0,0,52.0,,27.0,27.0,1.0,3.0,1.0,129.0,7.0,2.0,2.0,8.0,,,5.0,70.0,147.0,32.0,9.0,9.0,2.0,,,,32.0,10.0,15.0,6.0,5.0,26.0,167.0,,0.0,145.0,15.0,1.0,1.0,,71.0,49.0,4.0,54.0,1.0,27.0,11.0,,135.0,9.0,75.0,518.0,3.0,14.0,24.0,14.0,,5.0,20.0,,1.0,4.0,4.0,28.0,80.0,,90590,5.0,93.0,15.0,,,99.0,,11.0,39.0,1.0,,2.0,3.0,11.0,4.0,4.0,2.0,50.0,253.0,6.0,8.0,3.0,21.0,81.0,,0.0,2.0,4.0,2.0,1.0,0.0,4.0,4.0,44.4,22.0,2.0,3.0,1.0,3.0,,42.0,6.0,,328.0,19.0,4.0,14.0,4.0,28.0,4.0,4.0,261.0,2.0,5.0,11.0,90.0,25.0,2.0,14.0,13.0,4.0,2.0,5.0,2.0,6.0,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,3.0,,2.0,4.0,2.0,3.0,,4.0,,1.0,1.0,3.0,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,
32,360782,2012-04-07 15:00:00,"Anfield, Liverpool",44321,Away,Aston Villa,Liverpool,1,1,D,1,0,0,0,59.0,1.0,16.0,61.0,2.0,,1.0,122.0,2.0,2.0,1.0,4.0,,1.0,2.0,40.0,172.0,26.0,5.0,11.0,,,,,11.0,12.0,35.0,3.0,12.0,15.0,87.0,,0.0,92.0,10.0,2.0,1.0,,66.0,14.0,3.0,38.0,1.0,8.0,4.0,1.0,146.0,17.0,61.0,466.0,2.0,12.0,28.0,26.0,,11.0,30.0,,1.0,2.0,1.0,11.0,77.0,,90590,3.0,82.0,3.0,,,98.0,1.0,24.0,41.0,,,,,12.0,7.0,11.0,,52.0,167.0,4.0,9.0,1.0,36.0,91.0,,0.0,1.0,11.0,3.0,2.0,0.0,,1.0,30.4,6.0,1.0,5.0,,,1.0,41.0,3.0,,261.0,20.0,7.0,6.0,2.0,19.0,2.0,1.0,174.0,4.0,12.0,8.0,40.0,20.0,6.0,18.0,12.0,3.0,3.0,7.0,6.0,3.0,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,3.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
33,360789,2012-04-09 17:30:00,"Villa Park, Birmingham",30100,Home,Aston Villa,Stoke City,1,1,D,1,0,0,0,42.0,,21.0,48.0,3.0,3.0,,174.0,4.0,4.0,2.0,6.0,,,3.0,77.0,183.0,45.0,7.0,30.0,1.0,1.0,,,8.0,14.0,25.0,5.0,11.0,33.0,172.0,,0.0,150.0,10.0,,1.0,,64.0,51.0,3.0,65.0,1.0,3.0,1.0,1.0,160.0,8.0,75.0,570.0,4.0,20.0,14.0,15.0,1.0,7.0,32.0,,3.0,1.0,3.0,25.0,85.0,1.0,90590,,101.0,1.0,,,125.0,,8.0,51.0,,1.0,,3.0,12.0,,5.0,,66.0,269.0,10.0,3.0,1.0,37.0,93.0,2.0,0.0,3.0,4.0,1.0,5.0,0.0,2.0,2.0,53.7,19.0,1.0,1.0,2.0,3.0,,37.0,5.0,1.0,391.0,7.0,4.0,8.0,4.0,22.0,2.0,3.0,274.0,2.0,11.0,15.0,82.0,19.0,7.0,15.0,16.0,5.0,3.0,9.0,7.0,5.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,360803,2012-04-15 16:00:00,"Old Trafford, Manchester",75138,Away,Aston Villa,Manchester United,0,4,L,0,2,0,0,54.0,1.0,19.0,24.0,5.0,2.0,,123.0,8.0,2.0,3.0,10.0,,2.0,2.0,68.0,134.0,35.0,12.0,9.0,2.0,,1.0,,13.0,14.0,14.0,4.0,10.0,27.0,149.0,,0.0,115.0,8.0,3.0,1.0,,57.0,32.0,4.0,50.0,2.0,9.0,5.0,4.0,123.0,23.0,48.0,492.0,7.0,13.0,19.0,29.0,2.0,9.0,9.0,1.0,3.0,10.0,6.0,17.0,71.0,1.0,90590,5.0,72.0,3.0,,2.0,88.0,,11.0,55.0,,2.0,,,7.0,6.0,9.0,,41.0,213.0,9.0,13.0,3.0,24.0,72.0,,0.0,2.0,11.0,4.0,6.0,0.0,5.0,3.0,34.7,12.0,2.0,4.0,1.0,,2.0,39.0,4.0,,289.0,17.0,17.0,17.0,8.0,17.0,3.0,4.0,214.0,6.0,7.0,8.0,72.0,17.0,2.0,4.0,16.0,8.0,3.0,11.0,3.0,4.0,,,1.0,,,1.0,1.0,,4.0,,,,,1.0,,,1.0,1.0,2.0,,4.0,,,,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,
35,360810,2012-04-21 15:00:00,"Villa Park, Birmingham",32557,Home,Aston Villa,Sunderland,0,0,D,0,0,0,1,59.0,,16.0,30.0,7.0,6.0,1.0,162.0,2.0,8.0,1.0,10.0,,1.0,4.0,58.0,199.0,57.0,13.0,15.0,2.0,3.0,,,27.0,17.0,20.0,6.0,17.0,16.0,149.0,1.0,0.0,143.0,11.0,,1.0,,55.0,67.0,7.0,42.0,1.0,21.0,7.0,1.0,187.0,8.0,53.0,548.0,10.0,16.0,18.0,26.0,1.0,10.0,18.0,,0.0,5.0,3.0,21.0,89.0,2.0,8380,,60.0,13.0,,,88.0,,13.0,51.0,,8.0,2.0,2.0,15.0,5.0,7.0,1.0,41.0,207.0,8.0,3.0,,29.0,81.0,,0.0,3.0,5.0,3.0,2.0,0.0,2.0,,44.6,15.0,,4.0,,2.0,5.0,36.0,8.0,,315.0,12.0,14.0,7.0,4.0,25.0,,3.0,254.0,7.0,16.0,20.0,81.0,22.0,1.0,13.0,21.0,11.0,3.0,16.0,3.0,8.0,,,,,,5.0,1.0,,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,2.0,,,,3.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,360827,2012-04-28 15:00:00,"The Hawthorns, West Bromwich",25984,Away,Aston Villa,West Bromwich Albion,0,0,D,0,0,0,0,53.0,3.0,27.0,27.0,1.0,5.0,1.0,120.0,4.0,,1.0,10.0,,2.0,3.0,75.0,156.0,43.0,12.0,18.0,3.0,1.0,,2.0,16.0,12.0,13.0,3.0,9.0,33.0,153.0,1.0,0.0,142.0,16.0,1.0,2.0,,58.0,47.0,6.0,46.0,3.0,13.0,8.0,,142.0,14.0,65.0,493.0,8.0,13.0,21.0,22.0,,9.0,14.0,,4.0,11.0,4.0,28.0,78.0,1.0,8380,5.0,76.0,3.0,,1.0,88.0,1.0,11.0,57.0,,1.0,5.0,2.0,7.0,6.0,4.0,1.0,50.0,225.0,15.0,4.0,2.0,25.0,73.0,1.0,0.0,1.0,10.0,3.0,4.0,0.0,3.0,3.0,44.5,19.0,3.0,3.0,3.0,2.0,4.0,34.0,3.0,,306.0,16.0,15.0,18.0,5.0,26.0,1.0,5.0,234.0,3.0,8.0,13.0,88.0,23.0,2.0,6.0,15.0,9.0,2.0,5.0,2.0,3.0,,,,,,1.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,1.0,2.0,,,,,,1.0,,,2.0,,,4.0,,1.0,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
37,360830,2012-05-06 14:00:00,"Villa Park, Birmingham",36008,Home,Aston Villa,Tottenham Hotspur,1,1,D,1,0,0,1,55.0,2.0,15.0,45.0,2.0,3.0,,135.0,4.0,,2.0,3.0,,,1.0,62.0,155.0,43.0,4.0,15.0,,1.0,,,14.0,19.0,27.0,4.0,15.0,18.0,113.0,,0.0,100.0,11.0,2.0,2.0,1.0,54.0,26.0,3.0,38.0,,10.0,2.0,1.0,137.0,10.0,57.0,503.0,1.0,15.0,19.0,18.0,1.0,5.0,29.0,,1.0,8.0,,13.0,62.0,1.0,8380,,100.0,6.0,1.0,,117.0,,14.0,59.0,,2.0,2.0,2.0,13.0,12.0,11.0,,42.0,209.0,8.0,11.0,1.0,26.0,68.0,1.0,0.0,,19.0,2.0,3.0,0.0,2.0,,37.5,9.0,,3.0,,2.0,2.0,33.0,4.0,3.0,292.0,15.0,14.0,10.0,1.0,16.0,2.0,,189.0,,14.0,5.0,58.0,27.0,8.0,16.0,30.0,3.0,3.0,8.0,8.0,4.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
38,360842,2012-05-13 15:00:00,"Carrow Road, Norwich",26803,Away,Aston Villa,Norwich City,0,2,L,0,2,0,0,45.0,,22.0,18.0,5.0,3.0,4.0,129.0,3.0,4.0,1.0,8.0,,,5.0,81.0,153.0,30.0,10.0,6.0,2.0,1.0,1.0,1.0,21.0,9.0,4.0,6.0,10.0,24.0,176.0,,0.0,119.0,11.0,5.0,2.0,2.0,51.0,79.0,4.0,52.0,1.0,15.0,4.0,2.0,138.0,12.0,81.0,525.0,7.0,14.0,13.0,14.0,1.0,4.0,12.0,1.0,2.0,3.0,4.0,23.0,74.0,,8380,3.0,95.0,9.0,,2.0,114.0,,15.0,29.0,,,3.0,7.0,18.0,11.0,9.0,,35.0,268.0,6.0,1.0,1.0,18.0,71.0,,0.0,,9.0,2.0,4.0,0.0,2.0,3.0,41.1,17.0,3.0,2.0,1.0,7.0,,38.0,6.0,2.0,343.0,9.0,10.0,12.0,5.0,13.0,1.0,3.0,250.0,4.0,10.0,9.0,82.0,17.0,4.0,3.0,11.0,6.0,3.0,6.0,5.0,6.0,,,4.0,,,,,,3.0,,3.0,,,,,,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
