gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attCmissRight,attBxRight,accurateKeeperSweeper,attMissHighRight,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attSetpiece,attAssistSetplay,attCmissLeft,overrun,totalHighClaim,accurateCornersIntobox,handBall,attLfTarget,attRfTarget,attIboxTarget,attSvLowCentre,ptsGainedLosingPos,attSvLowLeft,bigChanceCreated,attHdTarget,bigChanceMissed,attSvLowRight,effectiveBlockedCross,blockedCross,attSvHighRight,attSvHighCentre,errorLeadToGoal,attSvHighLeft,accurateThroughBall,attObxdLeft,defenderGoals,attCmissHighLeft,goalAssistDeadball,attOboxTarget,penaltyConceded,attGoalHighLeft,penaltyFaced,attHdGoal,goalsConcededObox,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,clearanceOffLine,attIboxOwnGoal,errorLeadToShot,ptsDroppedWinningPos,penaltySave,accuratePullBack,foulThrowIn,attGoalLowCentre,hitWoodwork,attObxdRight,goalFastbreak,penGoalsConceded,punches,attFreekickTarget,attOneOnOne,secondYellow,postScoringAtt,attIboxPost,attPostRight,attObxLeft,attCmissHighRight,attPostLeft,attHdPost
27,2210533,2022-02-26 15:30:00,"American Express Stadium, Falmer",31475,Away,Aston Villa,Brighton and Hove Albion,2,0,W,1,0,0,0,1.0,19.0,55.0,1.0,1.0,16.0,24.0,5.0,3.0,4.0,1.0,1.0,118.0,7.0,2.0,6.0,2.0,4.0,5.0,4.0,74.0,108.0,55.0,1.0,9.0,2.0,12.0,1.0,1.0,6.0,14.0,,24.0,1.0,2.0,33.0,99.0,1.0,,0.0,81.0,11.0,1.0,,3.0,43.0,25.0,3.0,38.0,1.0,,5.0,12.0,5.0,1.0,,1.0,1.0,108.0,6.0,59.0,473.0,3.0,8.0,12.0,8.0,209.0,27.0,1.0,12.0,1.0,5.0,5.0,2.0,16.0,261.0,47.0,98980,2.0,131.0,1.0,145.0,9.0,1.0,,12.0,10.0,47.0,,3.0,,5.0,2.0,20.0,6.0,6.0,,,44.0,228.0,16.0,7.0,8.0,1.0,51.0,0.0,7.0,,1.0,,2.0,0.0,1.0,1.0,,,33.5,11.0,,1.0,,5.0,3.0,22.0,2.0,289.0,8.0,,12.0,17.0,2.0,9.0,1.0,150.0,6.0,2.0,11.0,47.0,18.0,1.0,12.0,22.0,,5.0,3.0,11.0,10.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,1.0,,2.0,2.0,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
28,2210541,2022-03-05 15:00:00,"Villa Park, Birmingham",41855,Home,Aston Villa,Southampton,4,0,W,2,0,0,0,3.0,31.0,61.0,,,20.0,18.0,3.0,2.0,11.0,1.0,1.0,156.0,12.0,1.0,7.0,4.0,2.0,13.0,9.0,79.0,134.0,39.0,,14.0,1.0,10.0,2.0,2.0,7.0,11.0,,18.0,3.0,1.0,51.0,117.0,,,0.0,75.0,10.0,1.0,2.0,,49.0,29.0,10.0,53.0,1.0,1.0,4.0,15.0,3.0,,,1.0,,134.0,5.0,65.0,515.0,7.0,5.0,27.0,12.0,243.0,29.0,2.0,9.0,4.0,1.0,3.0,3.0,16.0,329.0,37.0,98980,5.0,145.0,3.0,181.0,5.0,3.0,4.0,15.0,10.0,50.0,,3.0,,1.0,2.0,17.0,6.0,8.0,,,62.0,261.0,8.0,15.0,16.0,2.0,68.0,0.0,7.0,1.0,4.0,,2.0,0.0,,3.0,,1.0,38.2,12.0,1.0,,,1.0,1.0,23.0,4.0,353.0,12.0,,6.0,20.0,4.0,19.0,4.0,179.0,11.0,1.0,10.0,53.0,28.0,2.0,9.0,14.0,,10.0,3.0,16.0,8.0,4.0,1.0,2.0,2.0,1.0,4.0,,,1.0,,,1.0,,,,2.0,2.0,,,,1.0,,,5.0,3.0,2.0,,1.0,6.0,,3.0,2.0,3.0,3.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,
29,2210560,2022-03-13 14:00:00,"London Stadium, London",59957,Away,Aston Villa,West Ham United,1,2,L,0,0,0,0,,33.0,49.0,,3.0,20.0,11.0,4.0,3.0,9.0,2.0,,154.0,17.0,4.0,7.0,1.0,2.0,11.0,7.0,134.0,129.0,46.0,1.0,13.0,1.0,14.0,1.0,1.0,21.0,10.0,1.0,11.0,7.0,9.0,36.0,210.0,1.0,,0.0,135.0,3.0,2.0,1.0,2.0,61.0,43.0,9.0,70.0,1.0,,14.0,9.0,4.0,1.0,,7.0,1.0,129.0,7.0,143.0,675.0,9.0,2.0,26.0,14.0,405.0,26.0,2.0,5.0,1.0,0.0,1.0,2.0,20.0,480.0,57.0,98980,3.0,217.0,5.0,246.0,2.0,1.0,,9.0,10.0,35.0,,3.0,,3.0,1.0,15.0,4.0,8.0,,,50.0,423.0,8.0,7.0,19.0,5.0,51.0,0.0,5.0,2.0,,2.0,,0.0,2.0,1.0,1.0,2.0,52.9,13.0,1.0,1.0,3.0,3.0,4.0,29.0,7.0,501.0,14.0,,7.0,18.0,2.0,29.0,1.0,276.0,8.0,9.0,15.0,97.0,19.0,,5.0,17.0,2.0,7.0,3.0,11.0,6.0,7.0,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,5.0,1.0,,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
30,2210561,2022-03-19 12:30:00,"Villa Park, Birmingham",41956,Home,Aston Villa,Arsenal,0,1,L,0,1,0,0,,21.0,49.0,2.0,1.0,14.0,13.0,2.0,1.0,5.0,3.0,,136.0,9.0,5.0,6.0,,4.0,4.0,1.0,108.0,118.0,35.0,2.0,8.0,,6.0,,,27.0,6.0,,13.0,5.0,6.0,39.0,181.0,,,0.0,121.0,13.0,2.0,,1.0,69.0,46.0,1.0,73.0,,4.0,22.0,11.0,3.0,2.0,,12.0,2.0,118.0,4.0,124.0,607.0,3.0,3.0,19.0,4.0,354.0,21.0,2.0,5.0,,3.0,4.0,3.0,20.0,417.0,57.0,98980,2.0,198.0,9.0,216.0,11.0,,,11.0,6.0,34.0,1.0,,1.0,7.0,,12.0,6.0,6.0,2.0,,39.0,374.0,14.0,3.0,6.0,1.0,51.0,0.0,5.0,,,1.0,,0.0,4.0,,2.0,3.0,47.0,18.0,3.0,3.0,,7.0,1.0,29.0,6.0,441.0,4.0,1.0,8.0,15.0,6.0,35.0,4.0,252.0,4.0,6.0,5.0,86.0,15.0,,5.0,10.0,,5.0,3.0,11.0,8.0,6.0,,,,3.0,2.0,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,
31,2210580,2022-04-02 15:00:00,"Molineux Stadium, Wolverhampton",31012,Away,Aston Villa,Wolverhampton Wanderers,1,2,L,0,2,0,0,1.0,38.0,58.0,2.0,2.0,22.0,11.0,6.0,,9.0,3.0,,141.0,20.0,3.0,8.0,1.0,3.0,10.0,5.0,109.0,133.0,49.0,1.0,15.0,1.0,16.0,,,22.0,7.0,,11.0,9.0,4.0,43.0,167.0,,1.0,0.0,105.0,8.0,2.0,,1.0,60.0,35.0,5.0,72.0,1.0,4.0,13.0,24.0,6.0,1.0,,4.0,4.0,133.0,9.0,119.0,641.0,8.0,4.0,28.0,8.0,354.0,26.0,4.0,5.0,,3.0,3.0,5.0,16.0,420.0,52.0,98980,5.0,207.0,8.0,219.0,5.0,1.0,,24.0,5.0,56.0,1.0,,1.0,4.0,,16.0,3.0,5.0,2.0,1.0,43.0,371.0,15.0,10.0,10.0,3.0,57.0,0.0,4.0,2.0,1.0,2.0,,0.0,1.0,,,2.0,51.7,13.0,2.0,2.0,1.0,4.0,3.0,36.0,9.0,441.0,8.0,1.0,18.0,20.0,7.0,33.0,3.0,244.0,13.0,4.0,10.0,67.0,25.0,1.0,5.0,17.0,2.0,8.0,3.0,13.0,13.0,9.0,,1.0,,1.0,2.0,2.0,1.0,,1.0,,,2.0,,,2.0,2.0,,1.0,1.0,2.0,,,4.0,3.0,1.0,,,3.0,,3.0,1.0,2.0,2.0,,2.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,
32,2210582,2022-04-09 17:30:00,"Villa Park, Birmingham",41949,Home,Aston Villa,Tottenham Hotspur,0,4,L,0,1,0,0,,23.0,39.0,,5.0,15.0,8.0,5.0,5.0,13.0,1.0,,114.0,11.0,6.0,9.0,,5.0,14.0,8.0,138.0,114.0,48.0,1.0,19.0,1.0,6.0,,1.0,27.0,10.0,,8.0,8.0,1.0,21.0,273.0,,,0.0,166.0,12.0,1.0,,1.0,91.0,42.0,10.0,64.0,,,19.0,20.0,6.0,1.0,,8.0,2.0,114.0,7.0,161.0,667.0,10.0,7.0,36.0,3.0,401.0,12.0,1.0,7.0,,2.0,5.0,4.0,16.0,453.0,51.0,98980,7.0,157.0,10.0,166.0,8.0,,1.0,20.0,4.0,47.0,1.0,,1.0,2.0,,15.0,4.0,4.0,2.0,,25.0,424.0,14.0,9.0,5.0,7.0,32.0,0.0,3.0,1.0,,4.0,4.0,0.0,3.0,,,3.0,51.5,14.0,1.0,8.0,2.0,2.0,6.0,27.0,9.0,477.0,3.0,,11.0,14.0,5.0,38.0,3.0,338.0,10.0,,10.0,130.0,17.0,,7.0,15.0,4.0,9.0,3.0,18.0,10.0,9.0,,,,,1.0,,,,,,2.0,,,1.0,2.0,4.0,1.0,2.0,,3.0,,4.0,4.0,5.0,2.0,,1.0,2.0,,2.0,2.0,,,,1.0,,2.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
33,2210591,2022-05-10 20:00:00,"Villa Park, Birmingham",41919,Home,Aston Villa,Liverpool,1,2,L,1,1,0,0,1.0,19.0,60.0,1.0,,27.0,15.0,1.0,2.0,7.0,3.0,1.0,136.0,10.0,4.0,12.0,1.0,1.0,8.0,4.0,75.0,131.0,48.0,,9.0,,10.0,,,11.0,7.0,,15.0,1.0,10.0,36.0,121.0,,,0.0,97.0,10.0,1.0,1.0,,59.0,33.0,3.0,54.0,4.0,,10.0,17.0,2.0,,,6.0,2.0,131.0,11.0,78.0,528.0,6.0,5.0,20.0,12.0,241.0,27.0,6.0,4.0,,0.0,4.0,4.0,24.0,314.0,44.0,98980,4.0,142.0,4.0,169.0,4.0,,,17.0,9.0,51.0,,2.0,3.0,3.0,1.0,18.0,6.0,2.0,3.0,,65.0,259.0,12.0,17.0,23.0,2.0,63.0,0.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,,,3.0,39.2,20.0,2.0,4.0,1.0,3.0,,33.0,2.0,343.0,12.0,,9.0,19.0,5.0,21.0,3.0,185.0,4.0,9.0,12.0,61.0,19.0,,4.0,12.0,2.0,7.0,3.0,18.0,9.0,2.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,3.0,3.0,,,2.0,1.0,2.0,,2.0,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,1.0,3.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,
34,2210607,2022-04-23 15:00:00,"King Power Stadium, Leicester",32185,Away,Aston Villa,Leicester City,0,0,D,0,0,0,0,,19.0,54.0,1.0,3.0,17.0,23.0,4.0,6.0,7.0,2.0,,123.0,12.0,3.0,10.0,,,9.0,3.0,51.0,132.0,49.0,,11.0,1.0,10.0,,,15.0,12.0,,23.0,6.0,2.0,34.0,109.0,,,0.0,105.0,16.0,2.0,,,45.0,33.0,6.0,54.0,1.0,2.0,9.0,21.0,4.0,,,3.0,1.0,132.0,1.0,61.0,463.0,7.0,2.0,23.0,8.0,184.0,22.0,4.0,16.0,,2.0,,3.0,23.0,267.0,58.0,98980,1.0,92.0,6.0,119.0,8.0,,1.0,21.0,4.0,44.0,,,1.0,4.0,,9.0,4.0,2.0,1.0,,54.0,198.0,14.0,5.0,24.0,3.0,59.0,0.0,7.0,1.0,,,,0.0,,,,1.0,35.9,17.0,1.0,2.0,3.0,4.0,4.0,22.0,6.0,289.0,8.0,,9.0,14.0,4.0,19.0,3.0,185.0,4.0,1.0,10.0,64.0,23.0,,16.0,15.0,,8.0,3.0,14.0,7.0,6.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,2.0,,,1.0,3.0,,,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
35,2210611,2022-04-30 15:00:00,"Villa Park, Birmingham",40290,Home,Aston Villa,Norwich City,2,0,W,1,0,0,0,,28.0,58.0,2.0,5.0,21.0,12.0,5.0,6.0,16.0,3.0,,145.0,13.0,4.0,9.0,2.0,4.0,17.0,6.0,97.0,120.0,53.0,,21.0,2.0,9.0,2.0,1.0,12.0,19.0,,12.0,2.0,16.0,35.0,168.0,,,0.0,127.0,16.0,3.0,,2.0,80.0,43.0,11.0,70.0,,1.0,10.0,15.0,5.0,,1.0,3.0,2.0,120.0,4.0,86.0,582.0,13.0,6.0,38.0,13.0,300.0,25.0,4.0,7.0,2.0,4.0,,6.0,25.0,380.0,50.0,98980,13.0,153.0,5.0,169.0,13.0,2.0,2.0,15.0,10.0,47.0,1.0,2.0,3.0,4.0,2.0,12.0,5.0,9.0,4.0,,41.0,317.0,8.0,10.0,15.0,3.0,54.0,0.0,3.0,1.0,2.0,,2.0,0.0,2.0,,1.0,2.0,45.1,22.0,1.0,3.0,2.0,5.0,7.0,33.0,2.0,398.0,13.0,,6.0,18.0,8.0,21.0,5.0,241.0,12.0,15.0,10.0,86.0,24.0,1.0,7.0,26.0,,18.0,3.0,15.0,9.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,2.0,1.0,,1.0,2.0,,1.0,2.0,3.0,1.0,,1.0,2.0,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,1.0,1.0,,,,1.0,1.0
36,2210624,2022-05-07 15:00:00,"Turf Moor, Burnley",20891,Away,Aston Villa,Burnley,3,1,W,2,0,0,0,2.0,27.0,69.0,3.0,2.0,31.0,16.0,4.0,5.0,8.0,5.0,1.0,165.0,15.0,4.0,6.0,3.0,2.0,10.0,7.0,112.0,138.0,49.0,1.0,12.0,1.0,16.0,3.0,,13.0,6.0,,16.0,4.0,9.0,40.0,159.0,,,0.0,127.0,11.0,1.0,1.0,1.0,60.0,32.0,9.0,65.0,2.0,1.0,9.0,20.0,4.0,1.0,,5.0,1.0,138.0,9.0,104.0,630.0,6.0,5.0,21.0,7.0,335.0,25.0,10.0,7.0,3.0,2.0,1.0,1.0,21.0,414.0,60.0,98980,4.0,201.0,3.0,229.0,6.0,1.0,3.0,20.0,11.0,50.0,,2.0,2.0,6.0,3.0,17.0,5.0,7.0,,,71.0,356.0,13.0,8.0,26.0,1.0,72.0,0.0,4.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,,3.0,51.0,17.0,1.0,3.0,2.0,6.0,3.0,37.0,5.0,446.0,7.0,,6.0,17.0,2.0,21.0,1.0,230.0,4.0,8.0,17.0,87.0,28.0,2.0,7.0,13.0,1.0,10.0,3.0,16.0,10.0,5.0,1.0,,,,1.0,1.0,1.0,,2.0,,,1.0,,,,1.0,,,2.0,1.0,,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,,,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,1.0,,
37,2210631,2022-05-15 14:00:00,"Villa Park, Birmingham",41136,Home,Aston Villa,Crystal Palace,1,1,D,0,0,0,0,,26.0,58.0,3.0,3.0,18.0,18.0,5.0,3.0,8.0,3.0,,162.0,11.0,4.0,4.0,1.0,1.0,9.0,4.0,103.0,124.0,48.0,,13.0,1.0,18.0,1.0,2.0,11.0,12.0,,18.0,1.0,7.0,45.0,200.0,,,0.0,112.0,11.0,2.0,,,92.0,51.0,5.0,85.0,3.0,2.0,10.0,18.0,5.0,,,4.0,1.0,124.0,10.0,114.0,655.0,7.0,5.0,16.0,12.0,359.0,30.0,3.0,8.0,1.0,1.0,6.0,4.0,22.0,437.0,53.0,98980,6.0,186.0,6.0,215.0,9.0,1.0,,18.0,7.0,49.0,,2.0,1.0,7.0,1.0,17.0,6.0,7.0,1.0,,42.0,382.0,15.0,10.0,12.0,2.0,57.0,0.0,5.0,,1.0,1.0,1.0,0.0,3.0,1.0,,1.0,48.4,18.0,,2.0,1.0,7.0,4.0,37.0,1.0,464.0,12.0,,9.0,22.0,5.0,19.0,4.0,260.0,9.0,7.0,10.0,79.0,17.0,1.0,8.0,20.0,1.0,11.0,3.0,7.0,8.0,1.0,1.0,,,2.0,1.0,,,,1.0,,,,,2.0,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,1.0,2.0,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
38,2210649,2022-05-22 16:00:00,"Etihad Stadium, Manchester",53395,Away,Aston Villa,Manchester City,2,3,L,1,0,0,0,1.0,16.0,53.0,,1.0,24.0,30.0,1.0,,3.0,2.0,,113.0,6.0,2.0,2.0,2.0,,3.0,2.0,42.0,116.0,42.0,,4.0,,24.0,2.0,1.0,5.0,9.0,,30.0,,3.0,54.0,51.0,,,0.0,50.0,11.0,,1.0,,29.0,14.0,3.0,39.0,3.0,,5.0,8.0,1.0,,,,1.0,116.0,18.0,49.0,412.0,1.0,6.0,13.0,11.0,139.0,29.0,3.0,13.0,2.0,2.0,9.0,,14.0,208.0,24.0,84939,2.0,114.0,5.0,145.0,7.0,1.0,,8.0,20.0,60.0,,,2.0,7.0,2.0,13.0,6.0,13.0,,,67.0,163.0,5.0,15.0,20.0,,54.0,0.0,13.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,,1.0,28.5,8.0,,3.0,,7.0,1.0,20.0,1.0,243.0,11.0,,7.0,23.0,1.0,9.0,,103.0,3.0,,18.0,27.0,7.0,,13.0,17.0,2.0,4.0,3.0,6.0,5.0,1.0,1.0,1.0,,,1.0,,,,5.0,,,,,,,,,1.0,5.0,,,,,,,,,1.0,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,
