gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attCmissRight,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attPostLeft,hitWoodwork,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attCmissHigh,ownGoals,totalThroughBall,attMissHigh,attFastbreak,attFreekickGoal,attOboxPost,attHdMiss,attBxLeft,totalHighClaim,attIboxOwnGoal,attIboxTarget,cleanSheet,attObxdLeft,attRfGoal,attGoalHighLeft,attSvLowRight,forwardGoals,accurateThroughBall,penaltyConceded,totalPullBack,attCmissLeft,punches,attCmissHighRight,penaltyFaced,penGoalsConceded,attSvHighCentre,goalsConcededObox,attCmissHighLeft,clearanceOffLine,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,attPostHigh,attFreekickMiss,ptsGainedLosingPos,accuratePullBack,sixYardBlock,attGoalHighCentre,foulThrowIn,attIboxPost,penaltyWon,attHdPost,attPenGoal,attPostRight,errorLeadToGoal,ptsDroppedWinningPos,attObxLeft,goalFastbreak,attLgCentre
27,919153,2018-02-12 20:00:00,"Stamford Bridge, London",41071,Home,Chelsea,West Bromwich Albion,3,0,W,1,0,0,0,,1.0,2.0,64.0,1.0,3.0,36.0,20.0,5.0,6.0,15.0,1.0,2.0,4.0,184.0,1.0,5.0,20.0,3.0,2.0,17.0,8.0,137.0,136.0,68.0,1.0,20.0,3.0,25.0,4.0,2.0,4.0,3.0,15.0,10.0,2.0,20.0,2.0,13.0,40.0,,278.0,1.0,1.0,0.0,191.0,11.0,,,68.0,80.0,12.0,102.0,2.0,13.0,14.0,5.0,1.0,6.0,,,136.0,3.0,1.0,5.0,160.0,771.0,13.0,13.0,34.0,9.0,459.0,32.0,,2.0,13.0,2.0,0.0,,5.0,12.0,549.0,58.0,,88482,8.0,213.0,7.0,1.0,242.0,6.0,14.0,13.0,61.0,,1.0,4.0,3.0,13.0,3.0,8.0,64.0,486.0,11.0,14.0,2.0,11.0,67.0,0.0,,2.0,7.0,1.0,3.0,,7.0,0.0,4.0,1.0,2.0,3.0,57.0,11.0,4.0,4.0,6.0,42.0,8.0,583.0,9.0,7.0,20.0,6.0,28.0,1.0,6.0,356.0,9.0,10.0,16.0,147.0,23.0,3.0,13.0,21.0,,,15.0,3.0,25.0,3.0,4.0,8.0,1.0,,,,,,,,1.0,,1.0,,3.0,,,,3.0,2.0,,,4.0,,,,,3.0,1.0,1.0,,3.0,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,919170,2018-02-25 14:05:00,"Old Trafford, Manchester",75060,Away,Chelsea,Manchester United,1,2,L,1,1,0,0,,2.0,1.0,76.0,,1.0,28.0,15.0,5.0,5.0,8.0,3.0,,4.0,158.0,,2.0,15.0,1.0,5.0,11.0,7.0,142.0,136.0,59.0,1.0,14.0,2.0,13.0,1.0,1.0,1.0,,14.0,12.0,3.0,15.0,2.0,11.0,35.0,,238.0,3.0,,0.0,179.0,12.0,,2.0,66.0,75.0,7.0,86.0,,12.0,17.0,6.0,1.0,1.0,1.0,,136.0,2.0,1.0,8.0,166.0,745.0,9.0,5.0,20.0,6.0,455.0,32.0,,3.0,6.0,1.0,2.0,3.0,4.0,14.0,531.0,51.0,,88482,5.0,239.0,9.0,1.0,263.0,9.0,17.0,5.0,58.0,,6.0,7.0,1.0,17.0,2.0,5.0,52.0,475.0,13.0,13.0,1.0,13.0,66.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,,,55.7,11.0,5.0,7.0,3.0,47.0,4.0,552.0,6.0,12.0,18.0,4.0,24.0,,2.0,303.0,9.0,8.0,9.0,139.0,30.0,2.0,6.0,22.0,,2.0,12.0,3.0,23.0,2.0,8.0,4.0,1.0,,,2.0,1.0,,,,,3.0,,1.0,,,1.0,,,1.0,,,2.0,,2.0,,,,2.0,1.0,,3.0,,,1.0,,2.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,3.0,1.0,1.0,
29,919178,2018-03-04 16:00:00,"Etihad Stadium, Manchester",54328,Away,Chelsea,Manchester City,0,1,L,0,0,0,0,1.0,,,59.0,,,18.0,15.0,2.0,1.0,1.0,1.0,,,153.0,,,8.0,,,3.0,,95.0,121.0,35.0,,3.0,,5.0,,,,2.0,8.0,7.0,,15.0,1.0,6.0,24.0,,76.0,,,0.0,60.0,9.0,,,45.0,24.0,,57.0,1.0,7.0,18.0,2.0,,1.0,2.0,,121.0,,,9.0,87.0,528.0,3.0,9.0,9.0,11.0,284.0,37.0,,4.0,3.0,,1.0,6.0,3.0,19.0,367.0,26.0,,88482,,227.0,6.0,,266.0,4.0,18.0,11.0,44.0,,1.0,5.0,,7.0,4.0,8.0,56.0,303.0,8.0,20.0,,24.0,50.0,0.0,,,5.0,2.0,,1.0,4.0,0.0,,,1.0,1.0,28.8,14.0,1.0,5.0,,20.0,2.0,392.0,11.0,7.0,10.0,3.0,14.0,,1.0,134.0,1.0,5.0,8.0,34.0,14.0,1.0,3.0,11.0,,1.0,2.0,3.0,12.0,1.0,10.0,2.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
30,919185,2018-03-10 17:30:00,"Stamford Bridge, London",40800,Home,Chelsea,Crystal Palace,2,1,W,2,0,0,0,,5.0,,55.0,1.0,4.0,34.0,20.0,12.0,8.0,15.0,1.0,,5.0,162.0,,8.0,19.0,2.0,3.0,21.0,11.0,171.0,143.0,63.0,1.0,27.0,3.0,15.0,3.0,1.0,3.0,2.0,33.0,11.0,4.0,20.0,5.0,18.0,33.0,1.0,310.0,,1.0,0.0,237.0,8.0,,,79.0,95.0,15.0,91.0,2.0,28.0,27.0,12.0,1.0,4.0,4.0,,143.0,6.0,,5.0,169.0,826.0,20.0,4.0,48.0,9.0,493.0,22.0,1.0,4.0,11.0,1.0,1.0,2.0,6.0,22.0,560.0,61.0,,88482,9.0,216.0,24.0,,242.0,6.0,27.0,13.0,54.0,,2.0,7.0,1.0,20.0,4.0,8.0,58.0,518.0,9.0,12.0,,11.0,58.0,0.0,1.0,2.0,3.0,,1.0,1.0,3.0,0.0,7.0,,1.0,3.0,62.3,22.0,6.0,7.0,7.0,41.0,12.0,593.0,9.0,13.0,20.0,9.0,48.0,1.0,4.0,384.0,16.0,16.0,18.0,201.0,19.0,3.0,11.0,17.0,,1.0,21.0,3.0,25.0,3.0,7.0,12.0,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,2.0,,1.0,,2.0,6.0,,,1.0,3.0,1.0,,,3.0,2.0,,,6.0,,,1.0,,2.0,1.0,,,,,,,,,,,1.0,,,,4.0,,,,,,1.0,,,1.0,,,,1.0,,,,,
31,919194,2018-04-19 19:45:00,"Turf Moor, Burnley",21264,Away,Chelsea,Burnley,2,1,W,1,0,0,0,1.0,1.0,,65.0,,4.0,34.0,28.0,5.0,7.0,11.0,1.0,,3.0,184.0,,3.0,11.0,2.0,3.0,14.0,5.0,162.0,142.0,57.0,1.0,16.0,2.0,20.0,2.0,1.0,2.0,1.0,13.0,7.0,,28.0,1.0,10.0,31.0,2.0,214.0,1.0,,0.0,143.0,11.0,,,66.0,43.0,10.0,93.0,1.0,12.0,11.0,5.0,1.0,4.0,3.0,,142.0,2.0,,3.0,170.0,798.0,12.0,13.0,29.0,13.0,498.0,30.0,1.0,11.0,18.0,1.0,0.0,,4.0,21.0,591.0,46.0,,88894,5.0,303.0,8.0,,335.0,7.0,11.0,4.0,45.0,,1.0,10.0,1.0,17.0,2.0,3.0,66.0,514.0,9.0,3.0,1.0,33.0,67.0,0.0,,3.0,3.0,1.0,2.0,1.0,4.0,0.0,3.0,1.0,,1.0,60.8,18.0,,10.0,6.0,42.0,2.0,609.0,13.0,8.0,13.0,5.0,30.0,,2.0,287.0,8.0,10.0,30.0,104.0,25.0,4.0,18.0,8.0,,1.0,14.0,2.0,16.0,4.0,4.0,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,2.0,,,5.0,1.0,1.0,,,1.0,3.0,1.0,,4.0,,,1.0,,,,4.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
32,919205,2018-04-01 16:00:00,"Stamford Bridge, London",41364,Home,Chelsea,Tottenham Hotspur,1,3,L,1,1,0,0,,2.0,1.0,72.0,1.0,1.0,34.0,15.0,6.0,4.0,8.0,3.0,,1.0,166.0,,4.0,10.0,1.0,1.0,10.0,4.0,121.0,172.0,61.0,,14.0,2.0,13.0,2.0,1.0,,3.0,21.0,21.0,1.0,15.0,3.0,10.0,52.0,,191.0,,,0.0,153.0,4.0,,,61.0,61.0,5.0,81.0,3.0,18.0,18.0,6.0,,4.0,3.0,,172.0,1.0,2.0,6.0,126.0,700.0,9.0,11.0,33.0,20.0,358.0,27.0,1.0,4.0,9.0,1.0,0.0,2.0,5.0,21.0,466.0,64.0,,88482,3.0,197.0,14.0,,227.0,2.0,18.0,8.0,47.0,,4.0,5.0,1.0,15.0,6.0,6.0,61.0,384.0,11.0,10.0,,15.0,70.0,0.0,,3.0,5.0,1.0,1.0,3.0,3.0,0.0,4.0,1.0,,2.0,48.7,18.0,9.0,5.0,3.0,39.0,5.0,494.0,20.0,14.0,29.0,7.0,31.0,,4.0,288.0,8.0,5.0,13.0,103.0,31.0,1.0,9.0,27.0,1.0,2.0,10.0,3.0,16.0,1.0,1.0,5.0,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,1.0,2.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,3.0,,,
33,919216,2018-04-08 16:30:00,"Stamford Bridge, London",41324,Home,Chelsea,West Ham United,1,1,D,1,0,0,0,,2.0,1.0,76.0,1.0,2.0,24.0,18.0,7.0,8.0,15.0,1.0,,1.0,212.0,,10.0,14.0,1.0,2.0,21.0,6.0,155.0,151.0,65.0,,23.0,4.0,7.0,4.0,,1.0,4.0,25.0,11.0,1.0,18.0,6.0,17.0,31.0,1.0,332.0,,,0.0,225.0,7.0,1.0,1.0,62.0,83.0,12.0,84.0,3.0,19.0,24.0,8.0,,8.0,3.0,,151.0,2.0,,3.0,143.0,816.0,18.0,15.0,50.0,11.0,485.0,26.0,,1.0,10.0,1.0,0.0,3.0,9.0,20.0,573.0,72.0,,88482,7.0,182.0,10.0,1.0,205.0,6.0,24.0,3.0,38.0,1.0,2.0,9.0,,21.0,2.0,1.0,48.0,504.0,11.0,7.0,2.0,14.0,73.0,0.0,,5.0,6.0,,1.0,1.0,7.0,0.0,6.0,1.0,,5.0,59.5,19.0,5.0,9.0,6.0,48.0,10.0,594.0,11.0,8.0,21.0,11.0,42.0,4.0,8.0,414.0,10.0,13.0,27.0,182.0,35.0,3.0,10.0,14.0,,1.0,16.0,2.0,23.0,3.0,14.0,10.0,,1.0,2.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,4.0,,,,3.0,1.0,,,4.0,,,1.0,,2.0,,1.0,,,3.0,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,2.0,,,1.0
34,919229,2018-04-14 12:30:00,"St. Mary's Stadium, Southampton",31764,Away,Chelsea,Southampton,3,2,W,0,1,0,0,2.0,1.0,,69.0,1.0,2.0,18.0,16.0,9.0,5.0,8.0,5.0,2.0,1.0,174.0,,4.0,15.0,3.0,4.0,14.0,5.0,142.0,155.0,61.0,,17.0,6.0,12.0,1.0,2.0,,1.0,25.0,8.0,1.0,16.0,5.0,7.0,33.0,,255.0,2.0,,0.0,197.0,14.0,,2.0,65.0,56.0,11.0,60.0,,22.0,22.0,9.0,,4.0,2.0,,155.0,,,8.0,142.0,724.0,11.0,6.0,23.0,13.0,400.0,26.0,1.0,2.0,8.0,2.0,3.0,1.0,3.0,28.0,493.0,56.0,,88894,6.0,169.0,16.0,3.0,193.0,8.0,22.0,4.0,45.0,,2.0,10.0,2.0,12.0,2.0,4.0,46.0,420.0,12.0,8.0,1.0,19.0,68.0,0.0,,2.0,4.0,4.0,3.0,2.0,2.0,0.0,4.0,2.0,,3.0,58.0,24.0,1.0,11.0,8.0,34.0,7.0,518.0,13.0,9.0,17.0,4.0,37.0,2.0,2.0,350.0,9.0,4.0,23.0,154.0,29.0,3.0,8.0,11.0,1.0,2.0,9.0,3.0,20.0,3.0,11.0,7.0,1.0,1.0,,,,,,,3.0,,,2.0,1.0,,,,,,,,,,,,,2.0,,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,
35,919236,2018-05-09 19:45:00,"Stamford Bridge, London",38910,Home,Chelsea,Huddersfield Town,1,1,D,0,0,0,0,,2.0,,72.0,,8.0,35.0,7.0,5.0,10.0,17.0,1.0,,1.0,234.0,,6.0,17.0,1.0,5.0,18.0,5.0,263.0,200.0,59.0,,22.0,3.0,21.0,,,,3.0,40.0,9.0,,7.0,7.0,17.0,41.0,,498.0,,,0.0,326.0,7.0,1.0,2.0,60.0,174.0,12.0,87.0,2.0,33.0,26.0,5.0,,13.0,2.0,,200.0,3.0,,1.0,247.0,1053.0,14.0,17.0,64.0,4.0,710.0,30.0,,3.0,1.0,,0.0,,5.0,31.0,819.0,104.0,1.0,88894,13.0,230.0,18.0,1.0,243.0,2.0,26.0,1.0,54.0,,2.0,1.0,1.0,30.0,2.0,1.0,50.0,722.0,10.0,3.0,3.0,10.0,80.0,0.0,,,,,1.0,1.0,3.0,0.0,4.0,,,4.0,77.9,30.0,7.0,1.0,11.0,62.0,9.0,831.0,4.0,19.0,24.0,6.0,65.0,2.0,4.0,628.0,8.0,13.0,19.0,255.0,34.0,1.0,1.0,13.0,1.0,1.0,14.0,2.0,22.0,1.0,6.0,10.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,3.0,,,1.0,1.0,,,,2.0,1.0,,,4.0,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,
36,919250,2018-04-28 17:30:00,"Liberty Stadium, Swansea",20900,Away,Chelsea,Swansea City,1,0,W,1,0,0,0,,,,65.0,,3.0,29.0,27.0,2.0,2.0,9.0,3.0,1.0,1.0,172.0,,3.0,11.0,1.0,1.0,8.0,3.0,157.0,121.0,51.0,,11.0,,7.0,2.0,1.0,,2.0,11.0,7.0,,27.0,2.0,11.0,37.0,,206.0,,,0.0,125.0,9.0,,,45.0,48.0,4.0,98.0,3.0,9.0,14.0,2.0,,1.0,2.0,,121.0,1.0,,5.0,144.0,756.0,5.0,12.0,35.0,13.0,480.0,32.0,,7.0,13.0,1.0,1.0,2.0,4.0,19.0,551.0,40.0,,88894,5.0,294.0,8.0,,321.0,8.0,14.0,4.0,44.0,,3.0,7.0,1.0,13.0,5.0,2.0,48.0,497.0,12.0,8.0,2.0,20.0,60.0,0.0,,,1.0,1.0,1.0,,8.0,0.0,1.0,1.0,1.0,3.0,48.9,16.0,1.0,7.0,3.0,42.0,2.0,571.0,13.0,18.0,22.0,5.0,26.0,2.0,3.0,261.0,6.0,10.0,16.0,97.0,19.0,2.0,13.0,12.0,,,9.0,3.0,13.0,2.0,8.0,2.0,,2.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,6.0,,1.0,,,1.0,,,3.0,,1.0,,,2.0,,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
37,919256,2018-05-06 16:30:00,"Stamford Bridge, London",41314,Home,Chelsea,Liverpool,1,0,W,1,0,0,0,1.0,2.0,,72.0,1.0,1.0,24.0,37.0,4.0,4.0,8.0,5.0,,1.0,149.0,,5.0,11.0,1.0,1.0,12.0,4.0,90.0,134.0,54.0,,12.0,1.0,18.0,1.0,1.0,3.0,4.0,10.0,10.0,2.0,37.0,3.0,6.0,26.0,,129.0,1.0,,0.0,129.0,12.0,,1.0,47.0,51.0,6.0,43.0,1.0,7.0,9.0,4.0,,1.0,1.0,,134.0,,,6.0,72.0,540.0,10.0,12.0,24.0,24.0,238.0,40.0,,6.0,17.0,1.0,3.0,,6.0,20.0,331.0,51.0,,88894,4.0,129.0,5.0,,157.0,6.0,9.0,11.0,48.0,,2.0,3.0,1.0,10.0,4.0,5.0,65.0,253.0,8.0,7.0,1.0,26.0,67.0,0.0,,1.0,1.0,3.0,1.0,,2.0,0.0,3.0,1.0,,3.0,31.6,17.0,2.0,3.0,2.0,29.0,3.0,354.0,24.0,9.0,8.0,6.0,28.0,2.0,5.0,207.0,5.0,5.0,20.0,78.0,21.0,2.0,17.0,15.0,1.0,,11.0,3.0,14.0,2.0,3.0,3.0,,2.0,1.0,,,,,,4.0,,,,2.0,,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
38,919268,2018-05-13 15:00:00,"St. James' Park, Newcastle",52294,Away,Chelsea,Newcastle United,0,3,L,0,1,0,0,1.0,2.0,,63.0,,,28.0,37.0,2.0,4.0,4.0,4.0,,,162.0,,5.0,15.0,,,4.0,2.0,153.0,123.0,69.0,,6.0,1.0,11.0,,,1.0,1.0,14.0,6.0,,37.0,1.0,13.0,29.0,,260.0,,,0.0,154.0,10.0,1.0,,91.0,97.0,2.0,99.0,,13.0,21.0,2.0,,5.0,1.0,,123.0,,1.0,6.0,155.0,764.0,4.0,11.0,16.0,14.0,465.0,20.0,1.0,5.0,22.0,,1.0,4.0,2.0,20.0,546.0,53.0,,88894,2.0,231.0,8.0,,250.0,5.0,21.0,7.0,45.0,,2.0,3.0,,7.0,10.0,6.0,43.0,486.0,11.0,6.0,,13.0,64.0,0.0,,2.0,4.0,1.0,,3.0,5.0,0.0,5.0,,,,58.1,19.0,4.0,3.0,1.0,53.0,2.0,569.0,14.0,13.0,15.0,3.0,16.0,,2.0,333.0,2.0,12.0,25.0,121.0,34.0,1.0,22.0,18.0,,3.0,6.0,3.0,21.0,1.0,5.0,2.0,,2.0,,1.0,,1.0,,,4.0,1.0,,,1.0,,,1.0,2.0,1.0,,,2.0,1.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
