gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attGoalLowCentre,attObxLeft,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,attOneOnOne,ptsGainedLosingPos,totalFastbreak,goodHighClaim,bigChanceCreated,hitWoodwork,accurateThroughBall,bigChanceMissed,goalKicks,accurateGoalKicks,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,cleanSheet,attHdTarget,attCmissHigh,punches,attFreekickMiss,attSvHighRight,totalKeeperSweeper,sixYardBlock,attSetpiece,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,accurateFreekickCross,attSvHighCentre,attCmissLeft,attGoalHighRight,foulThrowIn,goalAssistSetplay,attLfGoal,attFreekickPost,attPostLeft,attOboxPost,defenderGoals,attPostRight,accurateKeeperSweeper,errorLeadToShot,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighLeft,attHdGoal,goalAssistDeadball,attPenTarget,attFreekickGoal,attHdPost,attLgCentre,attObxdLeft
27,855441,2017-03-06 20:00:00,"London Stadium, London",56984,Away,Chelsea,West Ham United,2,1,W,1,0,0,0,1.0,2.0,66.0,,,2.0,25.0,29.0,1.0,3.0,8.0,,1.0,179.0,1.0,8.0,2.0,1.0,7.0,,1.0,4.0,134.0,133.0,49.0,,9.0,,19.0,2.0,1.0,1.0,1.0,,11.0,11.0,,29.0,2.0,9.0,36.0,192.0,,,,0.0,121.0,8.0,,,,1.0,1.0,46.0,41.0,4.0,76.0,2.0,2.0,9.0,15.0,1.0,,,2.0,1.0,133.0,,5.0,141.0,714.0,5.0,8.0,25.0,14.0,430.0,28.0,,5.0,21.0,1.0,1.0,4.0,2.0,13.0,512.0,51.0,94245,6.0,254.0,6.0,290.0,5.0,2.0,,15.0,52.0,3.0,1.0,9.0,1.0,18.0,6.0,1.0,,51.0,445.0,8.0,7.0,,17.0,2.0,60.0,,0.0,,1.0,6.0,1.0,2.0,1.0,3.0,0.0,1.0,,48.2,13.0,,2.0,,9.0,2.0,44.0,4.0,530.0,14.0,12.0,18.0,3.0,20.0,,2.0,251.0,6.0,9.0,18.0,90.0,27.0,2.0,5.0,21.0,15.0,1.0,7.0,3.0,14.0,5.0,6.0,4.0,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,2.0,2.0,,2.0,1.0,6.0,5.0,1.0,,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
28,855445,2017-05-15 20:00:00,"Stamford Bridge, London",41473,Home,Chelsea,Watford,4,3,W,2,1,0,1,1.0,2.0,64.0,2.0,,4.0,29.0,14.0,7.0,7.0,17.0,,4.0,147.0,4.0,16.0,4.0,2.0,20.0,,1.0,9.0,108.0,120.0,72.0,,24.0,4.0,6.0,4.0,1.0,1.0,2.0,1.0,11.0,20.0,1.0,14.0,4.0,14.0,30.0,195.0,,,,0.0,141.0,7.0,,,1.0,1.0,1.0,59.0,56.0,14.0,80.0,,3.0,7.0,22.0,7.0,,,,2.0,120.0,,4.0,121.0,662.0,14.0,5.0,38.0,12.0,359.0,20.0,2.0,3.0,8.0,3.0,2.0,1.0,6.0,17.0,430.0,44.0,94245,9.0,190.0,6.0,215.0,4.0,2.0,,22.0,33.0,5.0,4.0,6.0,1.0,17.0,5.0,1.0,,52.0,381.0,12.0,9.0,3.0,8.0,8.0,55.0,2.0,0.0,,1.0,3.0,,4.0,3.0,3.0,0.0,1.0,3.0,47.1,14.0,3.0,11.0,4.0,6.0,8.0,36.0,8.0,456.0,12.0,10.0,17.0,7.0,25.0,3.0,5.0,252.0,14.0,13.0,12.0,105.0,27.0,1.0,1.0,8.0,32.0,3.0,16.0,3.0,19.0,1.0,11.0,8.0,1.0,1.0,,,1.0,,,,,,1.0,,2.0,,3.0,,5.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,2.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,
29,855457,2017-03-18 15:00:00,"bet365 Stadium, Stoke",27724,Away,Chelsea,Stoke City,2,1,W,1,1,0,1,2.0,1.0,66.0,1.0,,5.0,38.0,29.0,5.0,7.0,13.0,,3.0,182.0,3.0,11.0,2.0,6.0,15.0,,,7.0,119.0,136.0,64.0,3.0,20.0,3.0,13.0,3.0,3.0,,3.0,,10.0,18.0,2.0,29.0,6.0,20.0,43.0,201.0,,1.0,,0.0,152.0,11.0,,1.0,,1.0,1.0,45.0,65.0,12.0,99.0,3.0,,6.0,17.0,7.0,3.0,,,,136.0,,5.0,122.0,740.0,12.0,10.0,27.0,15.0,413.0,27.0,,2.0,10.0,,2.0,2.0,3.0,23.0,495.0,52.0,94245,5.0,241.0,5.0,266.0,2.0,2.0,1.0,17.0,49.0,9.0,2.0,3.0,,16.0,,3.0,,60.0,439.0,15.0,7.0,3.0,8.0,6.0,62.0,,0.0,1.0,6.0,5.0,,1.0,1.0,6.0,0.0,1.0,2.0,63.8,22.0,1.0,7.0,5.0,3.0,8.0,44.0,11.0,522.0,15.0,16.0,25.0,5.0,23.0,4.0,3.0,266.0,11.0,19.0,16.0,113.0,29.0,1.0,2.0,10.0,23.0,1.0,7.0,3.0,16.0,2.0,7.0,11.0,1.0,,,,1.0,2.0,,1.0,,,1.0,,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,2.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0
30,855464,2017-04-01 15:00:00,"Stamford Bridge, London",41489,Home,Chelsea,Crystal Palace,1,2,L,1,2,0,0,1.0,1.0,57.0,,,5.0,37.0,15.0,8.0,4.0,16.0,1.0,7.0,202.0,10.0,9.0,1.0,7.0,18.0,,,11.0,176.0,143.0,54.0,3.0,24.0,3.0,15.0,7.0,1.0,1.0,7.0,1.0,41.0,15.0,3.0,15.0,5.0,21.0,45.0,387.0,,,,0.0,320.0,12.0,1.0,,1.0,1.0,2.0,80.0,91.0,15.0,69.0,1.0,1.0,36.0,14.0,8.0,3.0,,3.0,2.0,143.0,1.0,6.0,161.0,814.0,16.0,4.0,61.0,6.0,502.0,33.0,,1.0,8.0,1.0,3.0,,3.0,27.0,582.0,70.0,94245,10.0,151.0,31.0,168.0,6.0,,1.0,14.0,56.0,1.0,4.0,2.0,1.0,7.0,2.0,3.0,,56.0,528.0,14.0,13.0,1.0,7.0,1.0,59.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,10.0,4.0,72.9,25.0,2.0,8.0,1.0,2.0,8.0,38.0,9.0,608.0,6.0,11.0,29.0,5.0,59.0,,3.0,481.0,16.0,20.0,11.0,272.0,14.0,,,8.0,20.0,2.0,18.0,3.0,14.0,,4.0,9.0,,1.0,,,,,,,,,,1.0,4.0,,,3.0,9.0,9.0,,,1.0,1.0,,2.0,1.0,,1.0,,,3.0,1.0,,,,,3.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,
31,855479,2017-04-05 20:00:00,"Stamford Bridge, London",41528,Home,Chelsea,Manchester City,2,1,W,2,1,0,0,1.0,1.0,52.0,1.0,2.0,1.0,36.0,24.0,4.0,2.0,6.0,6.0,1.0,150.0,5.0,8.0,2.0,5.0,7.0,1.0,,4.0,104.0,129.0,53.0,1.0,10.0,2.0,11.0,1.0,,1.0,,1.0,12.0,10.0,1.0,24.0,2.0,5.0,35.0,128.0,,,1.0,0.0,94.0,10.0,4.0,,,1.0,2.0,59.0,32.0,4.0,51.0,1.0,1.0,10.0,17.0,4.0,1.0,,,1.0,129.0,,11.0,94.0,581.0,5.0,6.0,19.0,16.0,288.0,23.0,,5.0,12.0,1.0,1.0,4.0,3.0,17.0,375.0,48.0,94245,6.0,184.0,8.0,208.0,4.0,2.0,1.0,17.0,45.0,1.0,1.0,7.0,1.0,14.0,6.0,1.0,,77.0,307.0,13.0,13.0,1.0,28.0,1.0,65.0,1.0,0.0,,,9.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,39.3,15.0,1.0,3.0,,7.0,3.0,27.0,2.0,399.0,16.0,8.0,23.0,3.0,16.0,2.0,2.0,203.0,7.0,4.0,15.0,55.0,17.0,2.0,3.0,12.0,17.0,1.0,6.0,3.0,11.0,3.0,8.0,2.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,10.0,6.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,
32,855482,2017-04-08 17:30:00,"Vitality Stadium, Bournemouth",11283,Away,Chelsea,Bournemouth,3,1,W,2,1,0,0,2.0,1.0,69.0,,,3.0,45.0,24.0,5.0,10.0,10.0,1.0,1.0,158.0,,9.0,3.0,1.0,12.0,1.0,,5.0,138.0,118.0,46.0,1.0,15.0,,6.0,1.0,1.0,1.0,2.0,2.0,11.0,14.0,2.0,24.0,2.0,15.0,44.0,267.0,,1.0,,0.0,172.0,11.0,1.0,,1.0,,,74.0,69.0,6.0,78.0,2.0,2.0,10.0,23.0,5.0,1.0,,,2.0,118.0,1.0,2.0,150.0,716.0,10.0,5.0,32.0,14.0,441.0,26.0,,,14.0,1.0,3.0,5.0,6.0,20.0,505.0,60.0,94245,7.0,190.0,10.0,209.0,4.0,,1.0,23.0,44.0,5.0,1.0,3.0,1.0,13.0,9.0,3.0,,70.0,457.0,7.0,5.0,1.0,11.0,1.0,72.0,,0.0,,,4.0,,2.0,1.0,2.0,0.0,,3.0,48.9,18.0,3.0,9.0,,3.0,3.0,53.0,4.0,524.0,14.0,12.0,29.0,7.0,25.0,1.0,5.0,326.0,2.0,14.0,12.0,141.0,28.0,1.0,2.0,14.0,19.0,,13.0,3.0,21.0,2.0,13.0,4.0,2.0,,1.0,,2.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,3.0,,8.0,5.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,
33,855494,2017-04-16 16:00:00,"Old Trafford, Manchester",75272,Away,Chelsea,Manchester United,0,2,L,0,1,0,0,,,75.0,,,1.0,29.0,8.0,2.0,1.0,3.0,1.0,,194.0,1.0,8.0,,3.0,3.0,,,,118.0,167.0,54.0,,5.0,,14.0,,1.0,,,1.0,14.0,12.0,,8.0,3.0,14.0,37.0,197.0,,,,0.0,140.0,20.0,1.0,,,,3.0,91.0,40.0,1.0,54.0,1.0,2.0,11.0,19.0,2.0,,,1.0,2.0,167.0,1.0,4.0,113.0,671.0,3.0,4.0,11.0,21.0,354.0,27.0,1.0,5.0,3.0,,3.0,,2.0,21.0,450.0,60.0,94245,,183.0,7.0,213.0,10.0,,,19.0,69.0,1.0,1.0,3.0,,20.0,5.0,,,54.0,379.0,15.0,8.0,,19.0,2.0,79.0,,0.0,,2.0,1.0,1.0,,2.0,1.0,0.0,,,53.8,19.0,,2.0,1.0,3.0,1.0,44.0,3.0,479.0,21.0,25.0,22.0,4.0,25.0,1.0,2.0,280.0,4.0,14.0,9.0,102.0,42.0,,1.0,3.0,23.0,2.0,3.0,3.0,11.0,1.0,8.0,3.0,,,,,,,,,,,,,,,,,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,855505,2017-04-25 19:45:00,"Stamford Bridge, London",41168,Home,Chelsea,Southampton,4,2,W,2,1,0,0,1.0,1.0,58.0,2.0,1.0,3.0,31.0,25.0,5.0,4.0,12.0,2.0,2.0,155.0,4.0,9.0,4.0,3.0,16.0,,,7.0,127.0,132.0,49.0,,17.0,2.0,7.0,2.0,3.0,2.0,2.0,4.0,18.0,14.0,1.0,25.0,3.0,14.0,39.0,235.0,1.0,,,0.0,171.0,13.0,1.0,,,,2.0,50.0,63.0,11.0,74.0,,,15.0,21.0,5.0,,,5.0,2.0,132.0,,8.0,121.0,649.0,11.0,6.0,47.0,7.0,373.0,23.0,,2.0,16.0,4.0,2.0,4.0,5.0,22.0,456.0,51.0,94245,7.0,157.0,8.0,185.0,8.0,2.0,,21.0,36.0,1.0,,2.0,2.0,11.0,4.0,,,61.0,388.0,9.0,6.0,1.0,14.0,3.0,60.0,1.0,0.0,,1.0,7.0,1.0,4.0,2.0,3.0,0.0,3.0,3.0,47.8,16.0,1.0,5.0,1.0,2.0,5.0,36.0,6.0,477.0,7.0,9.0,23.0,5.0,38.0,1.0,3.0,310.0,10.0,14.0,16.0,130.0,25.0,3.0,1.0,16.0,15.0,2.0,13.0,3.0,10.0,1.0,10.0,6.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,4.0,1.0,1.0,,3.0,,,,,3.0,,,,,1.0,,,,,,,,,,1.0,,1.0,2.0,,,,,1.0,,,,,,,,2.0,,,,,,
35,855513,2017-04-30 14:05:00,"Goodison Park, Liverpool",39595,Away,Chelsea,Everton,3,0,W,0,0,0,0,1.0,1.0,67.0,,,3.0,18.0,29.0,3.0,4.0,8.0,2.0,1.0,168.0,1.0,16.0,3.0,3.0,9.0,1.0,1.0,5.0,97.0,143.0,55.0,,11.0,,14.0,,1.0,2.0,1.0,,12.0,8.0,2.0,29.0,2.0,13.0,28.0,160.0,,1.0,,0.0,132.0,11.0,2.0,,,,2.0,54.0,40.0,6.0,47.0,,2.0,10.0,8.0,3.0,,,,,143.0,,6.0,114.0,636.0,6.0,5.0,20.0,11.0,320.0,37.0,,1.0,24.0,2.0,4.0,3.0,3.0,22.0,400.0,55.0,94245,3.0,181.0,8.0,195.0,5.0,2.0,1.0,8.0,53.0,7.0,1.0,7.0,2.0,20.0,6.0,1.0,,53.0,340.0,13.0,8.0,1.0,15.0,1.0,68.0,1.0,0.0,,2.0,2.0,3.0,2.0,,2.0,0.0,,,50.5,20.0,,2.0,1.0,7.0,3.0,34.0,4.0,426.0,11.0,13.0,10.0,3.0,28.0,1.0,3.0,243.0,7.0,13.0,14.0,86.0,21.0,1.0,2.0,24.0,12.0,,7.0,3.0,24.0,2.0,5.0,4.0,1.0,,2.0,,1.0,,,,1.0,,1.0,,3.0,,4.0,2.0,10.0,6.0,1.0,,1.0,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,
36,855525,2017-05-08 20:00:00,"Stamford Bridge, London",41500,Home,Chelsea,Middlesbrough,3,0,W,2,0,0,0,1.0,2.0,69.0,1.0,1.0,1.0,31.0,10.0,8.0,7.0,13.0,1.0,3.0,195.0,4.0,14.0,3.0,7.0,17.0,,,7.0,166.0,123.0,53.0,2.0,21.0,2.0,12.0,3.0,2.0,2.0,2.0,2.0,15.0,11.0,1.0,10.0,4.0,30.0,47.0,293.0,,,,0.0,210.0,8.0,1.0,1.0,2.0,,2.0,52.0,68.0,7.0,93.0,,4.0,11.0,16.0,8.0,2.0,,2.0,4.0,123.0,,1.0,165.0,775.0,12.0,4.0,35.0,7.0,510.0,30.0,1.0,,7.0,3.0,0.0,1.0,10.0,8.0,595.0,61.0,89085,5.0,242.0,7.0,261.0,6.0,2.0,,16.0,39.0,11.0,,5.0,2.0,11.0,1.0,3.0,,54.0,531.0,19.0,6.0,2.0,5.0,4.0,69.0,1.0,0.0,,,1.0,,3.0,,2.0,0.0,2.0,2.0,57.1,8.0,2.0,9.0,3.0,5.0,3.0,47.0,8.0,619.0,7.0,7.0,26.0,11.0,42.0,2.0,6.0,373.0,12.0,28.0,7.0,160.0,25.0,1.0,1.0,7.0,14.0,,15.0,3.0,20.0,1.0,6.0,8.0,,,2.0,,,1.0,,,1.0,,,1.0,2.0,2.0,5.0,,,,,1.0,3.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,
37,855540,2017-05-12 20:00:00,"The Hawthorns, West Bromwich",25367,Away,Chelsea,West Bromwich Albion,1,0,W,0,0,0,0,,1.0,50.0,,,6.0,33.0,24.0,11.0,5.0,13.0,2.0,4.0,158.0,7.0,8.0,1.0,6.0,21.0,,2.0,5.0,168.0,112.0,42.0,,24.0,3.0,15.0,2.0,5.0,1.0,3.0,2.0,19.0,5.0,2.0,24.0,3.0,20.0,31.0,337.0,2.0,,,0.0,249.0,8.0,,,,1.0,5.0,59.0,66.0,12.0,77.0,,4.0,16.0,7.0,11.0,,,1.0,6.0,112.0,,6.0,168.0,746.0,18.0,8.0,42.0,5.0,478.0,21.0,,3.0,17.0,1.0,0.0,3.0,9.0,17.0,547.0,70.0,94245,2.0,170.0,10.0,177.0,2.0,,1.0,7.0,45.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,,54.0,500.0,13.0,6.0,2.0,14.0,3.0,69.0,,0.0,,1.0,5.0,2.0,1.0,,4.0,0.0,7.0,,67.6,14.0,,5.0,3.0,5.0,9.0,46.0,8.0,571.0,5.0,11.0,17.0,10.0,42.0,,4.0,413.0,19.0,17.0,14.0,205.0,19.0,,3.0,17.0,7.0,,18.0,3.0,15.0,3.0,4.0,8.0,1.0,,1.0,,1.0,,,,,,1.0,3.0,1.0,,1.0,,7.0,7.0,1.0,,1.0,3.0,1.0,,,1.0,,,,1.0,3.0,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
38,855544,2017-05-21 15:00:00,"Stamford Bridge, London",41618,Home,Chelsea,Sunderland,5,1,W,1,1,0,0,2.0,2.0,59.0,1.0,,4.0,31.0,4.0,9.0,12.0,19.0,2.0,1.0,196.0,4.0,12.0,5.0,2.0,24.0,,2.0,8.0,173.0,106.0,53.0,1.0,28.0,4.0,5.0,1.0,7.0,3.0,2.0,6.0,27.0,9.0,2.0,4.0,9.0,17.0,34.0,342.0,1.0,,,0.0,253.0,8.0,2.0,,,,,57.0,91.0,13.0,96.0,2.0,2.0,18.0,11.0,9.0,1.0,,7.0,2.0,106.0,,3.0,178.0,813.0,18.0,13.0,68.0,7.0,565.0,26.0,,1.0,1.0,3.0,1.0,2.0,10.0,9.0,620.0,53.0,94245,6.0,249.0,11.0,261.0,4.0,2.0,1.0,11.0,39.0,2.0,,2.0,4.0,8.0,4.0,2.0,,41.0,587.0,15.0,9.0,2.0,3.0,5.0,54.0,,0.0,,1.0,1.0,2.0,5.0,1.0,8.0,0.0,1.0,2.0,70.5,8.0,1.0,4.0,3.0,2.0,8.0,42.0,11.0,643.0,7.0,15.0,21.0,12.0,44.0,3.0,9.0,409.0,14.0,14.0,10.0,220.0,27.0,2.0,,1.0,16.0,1.0,19.0,3.0,14.0,,7.0,11.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,,
