gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attPostHigh,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalHighRight,interceptionsInBox,accurateLaunches,totalPullBack,attIboxGoal,foulThrowIn,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attMissLeft,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attSvLowRight,accurateFlickOn,attSvHighCentre,attFreekickMiss,attHdGoal,attObxLeft,midfielderGoals,attHdTarget,attRfGoal,goalsConceded,goalsConcededIbox,totalFastbreak,contentiousDecision,attCmissHigh,attCmissLeft,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,attFastbreak,attObpGoal,goalAssistIntentional,errorLeadToGoal,penaltyWon,attPenGoal,attPostRight,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCmissHighLeft,attGoalHighLeft,attCmissHighRight,penGoalsConceded,expectedGoals,attGoalLowCentre,attLgCentre,defenderGoals,attFreekickGoal,ownGoals,attCorner,attIboxOwnGoal,attGoalHighCentre,attPostLeft,attObxdRight,attOboxPost,attLgLeft,attPenMiss,attPenPost
27,695164,2014-02-23 13:30:00,"Anfield, Liverpool",44731,Home,Liverpool,Swansea City,4,3,W,3,2,0,0,,,2.0,70.0,,1.0,3.0,32.0,19.0,7.0,3.0,2.0,1.0,4.0,180.0,4.0,15.0,4.0,1.0,19.0,1.0,10.0,130.0,139.0,58.0,,21.0,2.0,15.0,4.0,2.0,,3.0,3.0,11.0,,19.0,2.0,19.0,3.0,10.0,26.0,2.0,192.0,1.0,,,1.0,0.0,142.0,9.0,3.0,,2.0,2.0,,55.0,60.0,13.0,86.0,2.0,8.0,13.0,,1.0,3.0,139.0,3.0,8.0,128.0,,736.0,14.0,3.0,1.0,16.0,427.0,23.0,9.0,3.0,1.0,2.0,6.0,23.0,508.0,69.0,2.0,2.0,9631,7.0,250.0,1.0,5.0,1.0,267.0,3.0,13.0,7.0,51.0,3.0,2.0,5.0,4.0,13.0,7.0,3.0,2.0,54.0,438.0,11.0,6.0,2.0,15.0,83.0,,0.0,,2.0,5.0,1.0,,0.0,2.0,,2.0,53.4,19.0,1.0,8.0,2.0,5.0,5.0,,50.0,3.0,1.0,1.0,524.0,16.0,12.0,12.0,6.0,18.0,2.0,3.0,268.0,16.0,9.0,8.0,96.0,30.0,2.0,1.0,9.0,25.0,19.0,3.0,24.0,1.0,6.0,3.0,1.0,2.0,5.0,1.0,3.0,,3.0,,,1.0,,,,,1.0,,,,1.0,,2.0,,2.0,3.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,
28,695176,2014-03-01 17:30:00,"St. Mary's Stadium, Southampton",31659,Away,Liverpool,Southampton,3,0,W,1,0,0,0,,,,74.0,2.0,1.0,,26.0,33.0,3.0,1.0,2.0,,2.0,156.0,1.0,11.0,3.0,3.0,6.0,1.0,5.0,88.0,167.0,64.0,1.0,12.0,1.0,14.0,1.0,3.0,,1.0,,11.0,,21.0,1.0,33.0,6.0,5.0,38.0,1.0,134.0,,,1.0,,0.0,106.0,6.0,2.0,,1.0,,,38.0,50.0,3.0,67.0,1.0,5.0,16.0,1.0,2.0,1.0,167.0,1.0,9.0,88.0,,630.0,5.0,9.0,,14.0,295.0,32.0,11.0,1.0,2.0,3.0,3.0,25.0,387.0,57.0,,,9631,5.0,172.0,,3.0,,192.0,3.0,16.0,16.0,65.0,2.0,1.0,2.0,2.0,14.0,4.0,4.0,2.0,47.0,305.0,10.0,13.0,,27.0,90.0,2.0,0.0,,2.0,3.0,1.0,,0.0,1.0,1.0,,42.7,24.0,,5.0,,2.0,1.0,,43.0,6.0,,,399.0,14.0,19.0,19.0,6.0,11.0,,5.0,218.0,11.0,4.0,17.0,61.0,32.0,1.0,1.0,11.0,26.0,8.0,2.0,25.0,1.0,10.0,6.0,1.0,1.0,5.0,,3.0,,3.0,,,3.0,,,,,1.0,3.0,,1.0,,,2.0,,3.0,,,2.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,695184,2014-03-26 20:00:00,"Anfield, Liverpool",44524,Home,Liverpool,Sunderland,2,1,W,1,0,0,0,,,,57.0,,3.0,2.0,32.0,32.0,12.0,7.0,3.0,1.0,4.0,208.0,2.0,14.0,2.0,5.0,15.0,1.0,7.0,158.0,137.0,59.0,3.0,21.0,1.0,11.0,3.0,3.0,1.0,1.0,1.0,15.0,,13.0,2.0,32.0,3.0,18.0,33.0,1.0,282.0,1.0,,,1.0,0.0,224.0,5.0,2.0,1.0,,1.0,1.0,45.0,112.0,9.0,78.0,1.0,12.0,10.0,3.0,4.0,7.0,137.0,,5.0,143.0,,824.0,13.0,6.0,1.0,15.0,501.0,26.0,12.0,1.0,0.0,2.0,6.0,25.0,572.0,56.0,2.0,,9631,2.0,234.0,,7.0,,254.0,4.0,9.0,6.0,46.0,3.0,2.0,5.0,1.0,13.0,7.0,3.0,4.0,47.0,514.0,14.0,3.0,1.0,14.0,66.0,,0.0,,2.0,4.0,,1.0,0.0,1.0,1.0,1.0,61.0,23.0,,4.0,2.0,5.0,3.0,,43.0,3.0,,1.0,587.0,15.0,10.0,19.0,11.0,23.0,1.0,3.0,348.0,13.0,17.0,16.0,190.0,22.0,1.0,3.0,12.0,17.0,17.0,1.0,32.0,3.0,8.0,3.0,1.0,2.0,3.0,,1.0,1.0,,,,3.0,1.0,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,
30,695195,2014-03-16 13:30:00,"Old Trafford, Manchester",75225,Away,Liverpool,Manchester United,3,0,W,1,0,0,1,,,1.0,50.0,1.0,,1.0,33.0,26.0,7.0,4.0,1.0,1.0,3.0,171.0,1.0,15.0,3.0,4.0,11.0,2.0,7.0,102.0,136.0,73.0,,18.0,1.0,17.0,2.0,3.0,1.0,1.0,1.0,11.0,1.0,28.0,2.0,26.0,4.0,6.0,37.0,1.0,209.0,2.0,,1.0,,0.0,136.0,12.0,1.0,,1.0,1.0,1.0,41.0,75.0,5.0,78.0,4.0,8.0,21.0,,2.0,5.0,136.0,2.0,11.0,97.0,,689.0,10.0,6.0,1.0,9.0,367.0,28.0,13.0,1.0,4.0,6.0,6.0,25.0,433.0,58.0,2.0,,9631,6.0,170.0,2.0,5.0,,189.0,5.0,21.0,8.0,67.0,3.0,1.0,1.0,1.0,11.0,2.0,3.0,1.0,47.0,378.0,11.0,10.0,,16.0,76.0,,0.0,,2.0,3.0,1.0,,0.0,1.0,1.0,,51.5,19.0,,5.0,1.0,1.0,2.0,,47.0,4.0,,1.0,448.0,9.0,21.0,25.0,9.0,15.0,1.0,3.0,270.0,14.0,6.0,9.0,105.0,15.0,1.0,3.0,13.0,38.0,13.0,3.0,25.0,3.0,13.0,4.0,1.0,2.0,4.0,1.0,3.0,,3.0,1.0,,1.0,,,,1.0,2.0,1.0,,,,,2.0,,2.0,,,1.0,2.0,,1.0,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0
31,695202,2014-03-22 15:00:00,"Cardiff City Stadium, Cardiff",28018,Away,Liverpool,Cardiff City,6,3,W,2,2,0,0,,,1.0,61.0,3.0,,1.0,39.0,28.0,5.0,6.0,,2.0,2.0,215.0,3.0,12.0,6.0,4.0,14.0,1.0,9.0,174.0,137.0,63.0,3.0,19.0,3.0,11.0,2.0,2.0,,4.0,1.0,15.0,,18.0,1.0,28.0,4.0,19.0,45.0,2.0,302.0,1.0,,,,0.0,207.0,11.0,,,,1.0,1.0,35.0,129.0,10.0,95.0,2.0,11.0,11.0,3.0,2.0,2.0,137.0,5.0,7.0,166.0,,849.0,7.0,6.0,,12.0,551.0,30.0,14.0,6.0,3.0,1.0,4.0,18.0,634.0,78.0,2.0,,9631,7.0,267.0,,8.0,,288.0,5.0,11.0,7.0,56.0,4.0,1.0,4.0,4.0,11.0,2.0,4.0,2.0,57.0,566.0,13.0,13.0,1.0,14.0,83.0,1.0,0.0,,3.0,4.0,,,0.0,2.0,,2.0,66.6,16.0,1.0,3.0,2.0,4.0,4.0,,61.0,6.0,,2.0,650.0,12.0,10.0,30.0,6.0,15.0,1.0,4.0,377.0,11.0,18.0,18.0,161.0,24.0,4.0,2.0,14.0,22.0,11.0,3.0,23.0,2.0,2.0,6.0,,1.0,4.0,1.0,6.0,,5.0,2.0,2.0,1.0,,1.0,,2.0,,1.0,2.0,1.0,1.0,,,,3.0,3.0,3.0,4.0,,,1.0,1.0,,2.0,2.0,2.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,
32,695214,2014-03-30 16:00:00,"Anfield, Liverpool",44762,Home,Liverpool,Tottenham Hotspur,4,0,W,2,0,0,0,,,,42.0,2.0,3.0,,44.0,21.0,5.0,2.0,4.0,1.0,1.0,172.0,3.0,10.0,4.0,4.0,5.0,1.0,5.0,131.0,112.0,50.0,4.0,11.0,,10.0,2.0,,,1.0,1.0,12.0,,14.0,,21.0,1.0,15.0,48.0,,176.0,1.0,,1.0,2.0,0.0,130.0,9.0,3.0,1.0,,,,47.0,70.0,2.0,93.0,3.0,11.0,19.0,4.0,1.0,4.0,112.0,2.0,7.0,131.0,,714.0,4.0,11.0,1.0,10.0,444.0,18.0,13.0,1.0,0.0,5.0,3.0,24.0,515.0,75.0,1.0,,9631,4.0,282.0,2.0,10.0,,295.0,4.0,19.0,12.0,36.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0,62.0,455.0,8.0,7.0,,10.0,79.0,,0.0,,3.0,7.0,1.0,,0.0,3.0,1.0,1.0,58.6,21.0,,3.0,1.0,2.0,,,53.0,5.0,,,527.0,10.0,4.0,27.0,6.0,19.0,,2.0,244.0,8.0,13.0,8.0,85.0,19.0,1.0,3.0,13.0,24.0,7.0,3.0,17.0,3.0,11.0,5.0,,,5.0,2.0,2.0,,,1.0,,,,,,,,5.0,,3.0,,1.0,2.0,1.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
33,695230,2014-04-06 16:00:00,"Boleyn Ground, London",34977,Away,Liverpool,West Ham United,2,1,W,1,1,0,0,,,4.0,55.0,1.0,,2.0,33.0,47.0,6.0,7.0,,,2.0,222.0,1.0,6.0,2.0,4.0,13.0,,8.0,162.0,134.0,45.0,1.0,17.0,,18.0,3.0,2.0,2.0,,1.0,10.0,2.0,11.0,3.0,47.0,2.0,20.0,46.0,,261.0,,,,,0.0,167.0,9.0,,1.0,2.0,1.0,1.0,48.0,68.0,8.0,97.0,,8.0,12.0,1.0,3.0,3.0,134.0,,4.0,138.0,,821.0,11.0,5.0,2.0,10.0,518.0,30.0,30.0,,0.0,2.0,5.0,24.0,608.0,84.0,4.0,,9631,2.0,269.0,,4.0,,291.0,3.0,12.0,8.0,56.0,9.0,,4.0,,6.0,7.0,6.0,4.0,55.0,529.0,9.0,9.0,2.0,14.0,87.0,3.0,0.0,,2.0,4.0,,2.0,0.0,,1.0,1.0,63.8,21.0,1.0,3.0,6.0,4.0,2.0,,61.0,4.0,,2.0,619.0,10.0,16.0,19.0,7.0,27.0,1.0,2.0,338.0,9.0,18.0,14.0,118.0,16.0,,4.0,30.0,16.0,12.0,2.0,12.0,4.0,4.0,4.0,,,2.0,,2.0,,2.0,,,,1.0,,,,2.0,2.0,,1.0,,,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,695233,2014-04-13 13:37:00,"Anfield, Liverpool",44601,Home,Liverpool,Manchester City,3,2,W,2,0,1,0,,,,70.0,3.0,,,27.0,45.0,4.0,2.0,3.0,,,157.0,4.0,10.0,3.0,,8.0,,4.0,102.0,144.0,53.0,,10.0,,10.0,1.0,,,1.0,,15.0,,15.0,,45.0,7.0,6.0,28.0,,158.0,,,,,0.0,108.0,7.0,3.0,,,,3.0,49.0,61.0,3.0,58.0,3.0,8.0,16.0,,4.0,4.0,144.0,3.0,10.0,95.0,,652.0,3.0,7.0,,14.0,323.0,26.0,25.0,2.0,1.0,5.0,5.0,20.0,397.0,55.0,2.0,3.0,9631,5.0,178.0,2.0,4.0,,201.0,5.0,16.0,11.0,46.0,7.0,5.0,3.0,1.0,14.0,4.0,8.0,,44.0,332.0,8.0,6.0,3.0,10.0,79.0,2.0,0.0,,5.0,7.0,4.0,,1.0,1.0,3.0,3.0,46.6,18.0,1.0,6.0,,3.0,,1.0,49.0,7.0,,3.0,412.0,14.0,9.0,14.0,6.0,15.0,3.0,2.0,226.0,5.0,6.0,16.0,76.0,33.0,,6.0,25.0,20.0,5.0,3.0,25.0,6.0,7.0,7.0,,2.0,1.0,1.0,3.0,,1.0,,1.0,3.0,,,,,,,1.0,,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,
35,695248,2014-04-20 12:00:00,"Carrow Road, Norwich",26857,Away,Liverpool,Norwich City,3,2,W,2,0,0,0,1.0,,1.0,57.0,1.0,2.0,2.0,26.0,52.0,3.0,4.0,3.0,1.0,2.0,184.0,1.0,14.0,3.0,5.0,12.0,1.0,6.0,142.0,125.0,78.0,,14.0,,10.0,3.0,2.0,,2.0,2.0,4.0,,26.0,,52.0,2.0,6.0,37.0,,173.0,1.0,,,1.0,0.0,114.0,10.0,3.0,,1.0,1.0,2.0,46.0,50.0,6.0,90.0,2.0,2.0,17.0,,1.0,2.0,125.0,2.0,9.0,123.0,,798.0,9.0,7.0,,17.0,448.0,25.0,28.0,2.0,2.0,6.0,6.0,22.0,519.0,48.0,2.0,,9631,7.0,293.0,2.0,,,315.0,6.0,17.0,12.0,44.0,4.0,1.0,5.0,3.0,14.0,4.0,8.0,1.0,40.0,465.0,16.0,2.0,1.0,12.0,72.0,2.0,0.0,,,8.0,1.0,,0.0,,,1.0,57.5,16.0,1.0,2.0,2.0,5.0,2.0,,44.0,3.0,,2.0,539.0,17.0,15.0,21.0,6.0,12.0,1.0,4.0,228.0,9.0,4.0,12.0,80.0,25.0,1.0,4.0,28.0,36.0,13.0,2.0,22.0,4.0,7.0,3.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,3.0,,,,,2.0,,2.0,2.0,2.0,2.0,,,1.0,,,2.0,1.0,2.0,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,
36,695254,2014-04-27 14:05:00,"Anfield, Liverpool",44726,Home,Liverpool,Chelsea,0,2,L,0,1,0,0,1.0,,,60.0,,2.0,,37.0,22.0,21.0,2.0,2.0,,7.0,187.0,7.0,15.0,,1.0,20.0,,8.0,184.0,162.0,58.0,,26.0,7.0,23.0,2.0,,,,1.0,39.0,,16.0,6.0,22.0,12.0,12.0,41.0,,359.0,,1.0,,,0.0,276.0,9.0,2.0,,1.0,1.0,1.0,75.0,85.0,12.0,71.0,2.0,30.0,12.0,,11.0,8.0,162.0,2.0,5.0,182.0,,850.0,17.0,4.0,,5.0,523.0,32.0,16.0,,0.0,4.0,7.0,24.0,609.0,85.0,1.0,,9631,3.0,183.0,2.0,18.0,,194.0,5.0,12.0,7.0,64.0,4.0,1.0,2.0,,14.0,6.0,7.0,3.0,60.0,535.0,7.0,13.0,2.0,7.0,69.0,,0.0,,4.0,3.0,,,0.0,4.0,,2.0,73.0,22.0,1.0,3.0,,2.0,7.0,,50.0,14.0,,1.0,624.0,5.0,13.0,20.0,11.0,41.0,4.0,3.0,469.0,22.0,11.0,14.0,207.0,22.0,,,16.0,23.0,19.0,2.0,22.0,,5.0,14.0,,,1.0,,,,,,,6.0,,,,,2.0,,3.0,,,,,1.0,,2.0,1.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,695264,2014-05-05 20:00:00,"Selhurst Park, London",25261,Away,Liverpool,Crystal Palace,3,3,D,1,0,0,0,1.0,,2.0,58.0,,3.0,4.0,30.0,28.0,10.0,10.0,3.0,1.0,4.0,214.0,5.0,10.0,3.0,1.0,23.0,1.0,8.0,159.0,117.0,55.0,1.0,26.0,5.0,17.0,4.0,,,1.0,1.0,14.0,,15.0,2.0,28.0,7.0,15.0,32.0,,246.0,2.0,,,,0.0,153.0,12.0,2.0,1.0,2.0,,1.0,40.0,58.0,16.0,84.0,2.0,7.0,15.0,1.0,1.0,3.0,117.0,3.0,4.0,151.0,,799.0,19.0,4.0,1.0,11.0,525.0,30.0,18.0,2.0,3.0,1.0,7.0,11.0,597.0,67.0,2.0,,9631,10.0,294.0,2.0,6.0,,314.0,3.0,15.0,13.0,64.0,5.0,3.0,3.0,1.0,5.0,6.0,8.0,4.0,41.0,535.0,6.0,19.0,2.0,7.0,100.0,3.0,0.0,,2.0,7.0,,,0.0,,,4.0,65.1,10.0,3.0,6.0,3.0,3.0,9.0,,76.0,7.0,,1.0,608.0,11.0,12.0,17.0,9.0,21.0,5.0,6.0,308.0,12.0,14.0,24.0,118.0,18.0,1.0,3.0,18.0,16.0,21.0,2.0,17.0,3.0,9.0,7.0,,,3.0,2.0,3.0,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
38,695274,2014-05-11 15:00:00,"Anfield, Liverpool",44724,Home,Liverpool,Newcastle United,2,1,W,0,1,0,2,,,1.0,59.0,,,,41.0,24.0,7.0,7.0,2.0,2.0,1.0,180.0,5.0,10.0,2.0,7.0,11.0,,5.0,210.0,114.0,50.0,2.0,13.0,5.0,10.0,2.0,,,,2.0,22.0,,12.0,1.0,24.0,6.0,9.0,25.0,,405.0,,,,,0.0,212.0,8.0,1.0,,,5.0,1.0,75.0,119.0,8.0,92.0,1.0,16.0,9.0,2.0,2.0,1.0,114.0,3.0,6.0,191.0,,851.0,7.0,2.0,,11.0,593.0,23.0,18.0,2.0,1.0,3.0,3.0,14.0,660.0,96.0,2.0,1.0,9631,3.0,205.0,2.0,9.0,,212.0,5.0,9.0,3.0,45.0,4.0,3.0,4.0,,7.0,3.0,3.0,,53.0,605.0,15.0,9.0,2.0,3.0,80.0,,0.0,1.0,,2.0,2.0,,0.0,4.0,,3.0,66.2,14.0,2.0,10.0,,4.0,5.0,,68.0,6.0,,1.0,673.0,11.0,11.0,12.0,3.0,25.0,1.0,2.0,483.0,3.0,8.0,13.0,158.0,22.0,1.0,2.0,18.0,15.0,7.0,3.0,18.0,2.0,2.0,6.0,,,,2.0,2.0,,1.0,1.0,2.0,2.0,,3.0,,3.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,
