gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,accuratePullBack,attSvHighRight,attOboxGoal,interceptionsInBox,attMissRight,attOboxMiss,attLgCentre,attHdTarget,attMissHighLeft,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,accurateFlickOn,attCmissRight,divingSave,attHdGoal,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,attSvLowLeft,attGoalHighCentre,contentiousDecision,attCmissHigh,defenderGoals,attFastbreak,attGoalHighLeft,goalAssistIntentional,attSvHighCentre,goodHighClaim,accurateFreekickCross,attCmissHighRight,attObxRight,totalHighClaim,errorLeadToShot,punches,attSvHighLeft,clearanceOffLine,attFreekickTotal,goalFastbreak,freekickTotal,attFreekickTarget,ptsDroppedWinningPos,errorLeadToGoal,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,penaltySave,attPostLeft,subsGoals,ownGoals,attIboxOwnGoal,attHdPost,attObxdRight,penaltyWon,attPenMiss,attPenGoal,goalsConcededObox,attCmissHighLeft,attFreekickGoal,foulThrowIn
26,2293065,2023-03-05 16:30:00,"Anfield, Liverpool",53001.0,Home,Liverpool,Manchester United,7,0,W,1,0,0,0,1.0,1.0,4.0,16.0,64.0,2.0,4.0,27.0,11.0,3.0,5.0,15.0,4.0,,,178.0,3.0,10.0,6.0,9.0,7.0,4.0,13.0,8.0,110.0,158.0,48.0,18.0,1.0,12.0,,2.0,,,5.0,1.0,2.0,20.0,,14.0,1.0,11.0,3.0,1.0,66.0,177.0,,0.0,146.0,13.0,,5.0,64.0,65.0,10.0,75.0,17.0,22.0,3.0,3.0,158.0,6.0,6.0,105.0,669.0,6.0,3.0,43.0,,9.0,344.0,15.0,1.0,6.0,6.0,,2.0,1.0,3.0,20.0,443.0,55.0,1.0,97032,7.0,194.0,2.0,9.0,,219.0,9.0,5.0,11.0,7.0,49.0,3.0,,7.0,6.0,22.0,2.0,7.0,,58.0,365.0,13.0,10.0,8.0,1.0,67.0,0.0,2.0,3.0,7.0,,,,0.0,4.0,,3.0,59.6,18.0,1.0,6.0,2.0,7.0,5.0,37.0,4.0,,468.0,,9.0,7.0,33.0,5.0,,39.0,2.0,4.0,269.0,10.0,1.0,9.0,96.0,34.0,6.0,3.0,6.0,17.0,,15.0,5.0,17.0,3.0,11.0,4.0,1.0,,,,,2.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,,,,1.0,,,2.0,1.0,4.0,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
27,2293070,2023-03-11 12:30:00,"Vitality Stadium, Bournemouth",10536.0,Away,Liverpool,Bournemouth,0,1,L,0,1,0,0,,2.0,,30.0,66.0,,1.0,38.0,11.0,3.0,3.0,11.0,1.0,,2.0,210.0,,17.0,4.0,7.0,,4.0,7.0,6.0,177.0,162.0,49.0,15.0,,17.0,4.0,,,,,1.0,4.0,25.0,,15.0,,11.0,7.0,7.0,47.0,249.0,,0.0,171.0,9.0,,1.0,46.0,101.0,6.0,90.0,18.0,20.0,4.0,6.0,162.0,3.0,5.0,160.0,830.0,5.0,2.0,30.0,,11.0,516.0,23.0,1.0,5.0,,,1.0,,1.0,36.0,622.0,74.0,1.0,97032,4.0,286.0,4.0,11.0,,307.0,5.0,,7.0,6.0,55.0,3.0,4.0,4.0,,13.0,,6.0,3.0,76.0,531.0,6.0,18.0,14.0,1.0,75.0,0.0,1.0,3.0,,,,1.0,0.0,3.0,1.0,4.0,69.3,30.0,1.0,8.0,5.0,4.0,1.0,48.0,8.0,,637.0,,11.0,6.0,18.0,8.0,,46.0,1.0,6.0,355.0,8.0,7.0,14.0,108.0,31.0,,1.0,5.0,22.0,1.0,10.0,5.0,12.0,1.0,7.0,8.0,,,,,,1.0,2.0,1.0,2.0,,1.0,3.0,,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,2.0,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
28,2293085,2023-05-03 20:00:00,"Anfield, Liverpool",52602.0,Home,Liverpool,Fulham,1,0,W,1,0,0,0,,,1.0,22.0,62.0,,1.0,32.0,18.0,9.0,3.0,6.0,3.0,1.0,2.0,217.0,,12.0,5.0,13.0,1.0,3.0,12.0,3.0,139.0,140.0,48.0,15.0,2.0,7.0,1.0,2.0,,1.0,,,4.0,20.0,,8.0,,18.0,6.0,8.0,45.0,279.0,,0.0,185.0,10.0,,1.0,54.0,104.0,3.0,103.0,14.0,15.0,9.0,7.0,140.0,1.0,7.0,154.0,792.0,12.0,1.0,36.0,,6.0,509.0,29.0,2.0,10.0,,1.0,0.0,3.0,9.0,21.0,597.0,70.0,2.0,97032,1.0,248.0,1.0,6.0,,260.0,6.0,,3.0,6.0,41.0,3.0,3.0,2.0,,13.0,2.0,5.0,2.0,57.0,522.0,7.0,9.0,7.0,,78.0,0.0,2.0,5.0,1.0,,,,0.0,3.0,2.0,,57.1,20.0,,10.0,1.0,2.0,3.0,52.0,7.0,,613.0,,6.0,7.0,20.0,9.0,,40.0,2.0,3.0,373.0,12.0,7.0,14.0,132.0,21.0,1.0,2.0,10.0,14.0,,13.0,5.0,21.0,2.0,3.0,7.0,,,,,,2.0,6.0,,,1.0,,1.0,1.0,,1.0,2.0,3.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
29,2293096,2023-04-01 12:30:00,"Etihad Stadium, Manchester",52877.0,Away,Liverpool,Manchester City,1,4,L,1,1,0,0,,,,12.0,46.0,,3.0,21.0,16.0,,3.0,4.0,4.0,1.0,,116.0,,6.0,1.0,10.0,1.0,,4.0,1.0,88.0,89.0,38.0,4.0,,1.0,,2.0,,,1.0,,,8.0,,8.0,,16.0,1.0,4.0,41.0,85.0,,0.0,61.0,12.0,,1.0,28.0,28.0,4.0,55.0,7.0,10.0,,3.0,89.0,,14.0,91.0,477.0,3.0,1.0,15.0,,9.0,269.0,22.0,,10.0,1.0,,1.0,5.0,,5.0,328.0,27.0,1.0,97032,1.0,204.0,,3.0,,228.0,9.0,,3.0,4.0,32.0,1.0,5.0,4.0,1.0,8.0,3.0,4.0,,47.0,288.0,9.0,12.0,4.0,,37.0,0.0,,7.0,1.0,,,4.0,0.0,1.0,,,31.9,5.0,,2.0,1.0,4.0,3.0,21.0,1.0,,350.0,,9.0,7.0,19.0,,,13.0,,,130.0,1.0,4.0,7.0,37.0,16.0,1.0,3.0,10.0,12.0,4.0,4.0,5.0,10.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,2.0,,,2.0,,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
30,2293105,2023-04-09 16:30:00,"Anfield, Liverpool",53267.0,Home,Liverpool,Arsenal,2,2,D,1,2,0,0,1.0,2.0,2.0,27.0,69.0,2.0,4.0,31.0,12.0,2.0,8.0,19.0,3.0,,1.0,191.0,1.0,16.0,9.0,4.0,2.0,3.0,16.0,6.0,135.0,152.0,50.0,21.0,1.0,13.0,4.0,6.0,,2.0,1.0,3.0,1.0,24.0,,12.0,,12.0,5.0,2.0,68.0,231.0,,0.0,162.0,11.0,1.0,2.0,57.0,67.0,9.0,83.0,19.0,18.0,2.0,7.0,152.0,6.0,6.0,116.0,725.0,15.0,4.0,53.0,,11.0,413.0,26.0,2.0,4.0,1.0,2.0,4.0,2.0,7.0,13.0,503.0,55.0,2.0,97032,6.0,210.0,6.0,10.0,,238.0,4.0,1.0,7.0,7.0,61.0,2.0,2.0,4.0,2.0,19.0,3.0,5.0,4.0,60.0,432.0,10.0,17.0,11.0,1.0,68.0,0.0,,4.0,2.0,,,2.0,0.0,7.0,,2.0,59.0,11.0,,11.0,2.0,4.0,5.0,41.0,5.0,,525.0,,11.0,13.0,37.0,10.0,,47.0,2.0,9.0,311.0,10.0,2.0,14.0,120.0,24.0,1.0,1.0,4.0,22.0,2.0,19.0,3.0,12.0,1.0,7.0,5.0,,1.0,,,2.0,5.0,1.0,,,,,,3.0,,,1.0,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,2.0,,1.0,1.0,,,,,,,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,
31,2293113,2023-04-17 20:00:00,"Elland Road, Leeds",36657.0,Away,Liverpool,Leeds United,6,1,W,2,0,0,0,1.0,,4.0,13.0,68.0,1.0,2.0,31.0,16.0,2.0,6.0,11.0,2.0,4.0,1.0,243.0,,6.0,4.0,12.0,6.0,2.0,13.0,7.0,240.0,132.0,48.0,13.0,,10.0,1.0,,,1.0,6.0,,2.0,10.0,,10.0,,16.0,1.0,9.0,46.0,406.0,,0.0,195.0,12.0,,,96.0,112.0,9.0,144.0,9.0,17.0,2.0,2.0,132.0,4.0,7.0,242.0,1036.0,7.0,4.0,24.0,,8.0,761.0,19.0,,6.0,6.0,1.0,1.0,3.0,4.0,22.0,854.0,83.0,2.0,97032,5.0,372.0,,7.0,,395.0,8.0,2.0,9.0,6.0,45.0,5.0,2.0,5.0,6.0,14.0,6.0,5.0,1.0,53.0,774.0,6.0,11.0,5.0,,97.0,0.0,,4.0,4.0,,,1.0,0.0,4.0,,2.0,73.6,20.0,2.0,4.0,4.0,5.0,2.0,75.0,2.0,,869.0,,8.0,7.0,24.0,4.0,,29.0,,4.0,484.0,5.0,9.0,9.0,149.0,39.0,5.0,1.0,6.0,21.0,1.0,13.0,5.0,18.0,1.0,9.0,2.0,1.0,,,2.0,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,5.0,,,2.0,,,4.0,,1.0,,,,,2.0,,6.0,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
32,2293127,2023-04-22 15:00:00,"Anfield, Liverpool",,Home,Liverpool,Nottingham Forest,3,2,W,0,0,0,0,1.0,1.0,2.0,14.0,50.0,2.0,5.0,29.0,12.0,2.0,5.0,16.0,3.0,2.0,,193.0,,10.0,9.0,8.0,3.0,7.0,15.0,6.0,178.0,135.0,53.0,18.0,,14.0,3.0,2.0,,,,1.0,3.0,28.0,,8.0,,12.0,8.0,4.0,47.0,340.0,1.0,0.0,187.0,9.0,,7.0,123.0,103.0,9.0,112.0,20.0,17.0,2.0,1.0,135.0,5.0,7.0,167.0,849.0,6.0,1.0,47.0,,5.0,555.0,18.0,1.0,5.0,3.0,,0.0,,6.0,28.0,633.0,76.0,1.0,97032,11.0,239.0,3.0,12.0,,259.0,4.0,,7.0,7.0,40.0,3.0,2.0,8.0,,14.0,4.0,5.0,1.0,51.0,570.0,12.0,3.0,5.0,7.0,88.0,0.0,,3.0,3.0,,,2.0,0.0,7.0,,8.0,81.1,23.0,2.0,3.0,,8.0,5.0,71.0,9.0,,650.0,,5.0,7.0,21.0,7.0,,50.0,2.0,5.0,419.0,5.0,2.0,19.0,141.0,21.0,3.0,,5.0,14.0,1.0,5.0,4.0,16.0,,7.0,9.0,2.0,,,,2.0,2.0,2.0,,2.0,,1.0,6.0,,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,1.0,,,,,,3.0,2.0,3.0,6.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
33,2293135,2023-04-26 19:45:00,"London Stadium, London",62473.0,Away,Liverpool,West Ham United,2,1,W,1,1,0,0,,,1.0,27.0,77.0,,6.0,32.0,17.0,6.0,3.0,14.0,1.0,,2.0,273.0,,16.0,6.0,6.0,2.0,,15.0,4.0,207.0,145.0,59.0,20.0,1.0,16.0,1.0,4.0,,1.0,1.0,1.0,1.0,13.0,,11.0,,17.0,6.0,11.0,49.0,387.0,3.0,0.0,214.0,8.0,3.0,,135.0,62.0,7.0,148.0,7.0,16.0,6.0,3.0,145.0,3.0,5.0,222.0,1024.0,10.0,4.0,36.0,,18.0,729.0,31.0,3.0,13.0,2.0,1.0,0.0,1.0,8.0,15.0,832.0,88.0,,97032,5.0,362.0,3.0,4.0,,391.0,5.0,1.0,7.0,9.0,50.0,3.0,1.0,4.0,1.0,15.0,2.0,6.0,,68.0,743.0,5.0,13.0,15.0,6.0,93.0,0.0,1.0,3.0,1.0,,,1.0,0.0,2.0,,5.0,72.6,15.0,3.0,7.0,2.0,5.0,7.0,57.0,6.0,,850.0,,18.0,7.0,22.0,9.0,,29.0,4.0,6.0,472.0,11.0,10.0,28.0,160.0,31.0,1.0,1.0,13.0,20.0,,14.0,4.0,12.0,1.0,7.0,6.0,,,1.0,1.0,3.0,4.0,3.0,,,1.0,1.0,,,3.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
34,2293147,2023-04-30 16:30:00,"Anfield, Liverpool",53275.0,Home,Liverpool,Tottenham Hotspur,4,3,W,3,1,0,0,,,4.0,14.0,64.0,2.0,3.0,32.0,9.0,2.0,5.0,10.0,3.0,3.0,,210.0,1.0,5.0,6.0,11.0,4.0,2.0,10.0,4.0,193.0,141.0,53.0,12.0,1.0,7.0,,1.0,,1.0,2.0,,1.0,15.0,,11.0,1.0,9.0,4.0,5.0,41.0,338.0,,0.0,194.0,12.0,,1.0,144.0,83.0,6.0,120.0,11.0,15.0,2.0,6.0,141.0,2.0,7.0,201.0,896.0,7.0,2.0,29.0,,1.0,623.0,24.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,21.0,707.0,84.0,2.0,97032,4.0,307.0,,4.0,,328.0,7.0,1.0,9.0,4.0,52.0,6.0,,4.0,3.0,17.0,3.0,3.0,1.0,68.0,639.0,6.0,9.0,12.0,1.0,94.0,0.0,2.0,2.0,4.0,,,3.0,0.0,3.0,,3.0,67.6,17.0,2.0,10.0,1.0,4.0,4.0,58.0,4.0,,724.0,,1.0,7.0,16.0,4.0,,33.0,3.0,3.0,411.0,4.0,5.0,20.0,146.0,25.0,2.0,,4.0,16.0,3.0,10.0,4.0,28.0,,9.0,5.0,1.0,1.0,,,,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,2.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,
35,2293153,2023-05-06 17:30:00,"Anfield, Liverpool",52838.0,Home,Liverpool,Brentford,1,0,W,1,0,0,0,,1.0,1.0,21.0,42.0,,2.0,21.0,27.0,7.0,5.0,8.0,2.0,1.0,2.0,140.0,,7.0,2.0,8.0,1.0,1.0,10.0,5.0,95.0,118.0,40.0,15.0,2.0,14.0,1.0,2.0,,1.0,,2.0,2.0,19.0,,5.0,,27.0,5.0,7.0,46.0,195.0,1.0,0.0,131.0,19.0,,3.0,69.0,58.0,5.0,57.0,14.0,8.0,7.0,3.0,118.0,2.0,3.0,86.0,545.0,9.0,2.0,29.0,,4.0,291.0,14.0,1.0,13.0,1.0,1.0,4.0,1.0,5.0,19.0,355.0,61.0,2.0,97032,4.0,115.0,3.0,8.0,,134.0,10.0,,2.0,10.0,52.0,3.0,1.0,7.0,,11.0,2.0,7.0,,49.0,308.0,9.0,8.0,6.0,4.0,51.0,0.0,2.0,3.0,1.0,,,,0.0,1.0,1.0,1.0,53.9,13.0,,3.0,,7.0,4.0,23.0,7.0,,378.0,,4.0,7.0,20.0,6.0,,33.0,1.0,4.0,263.0,9.0,6.0,14.0,98.0,17.0,1.0,3.0,13.0,9.0,,11.0,4.0,12.0,3.0,2.0,7.0,,,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,3.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
36,2293167,2023-05-15 20:00:00,"King Power Stadium, Leicester",32225.0,Away,Liverpool,Leicester City,3,0,W,2,0,0,0,,1.0,1.0,18.0,70.0,1.0,5.0,25.0,9.0,4.0,8.0,12.0,4.0,1.0,1.0,216.0,,10.0,6.0,14.0,3.0,2.0,14.0,5.0,191.0,164.0,54.0,16.0,,12.0,2.0,1.0,,4.0,2.0,2.0,4.0,13.0,,12.0,1.0,9.0,4.0,4.0,51.0,297.0,,0.0,181.0,17.0,,1.0,103.0,69.0,9.0,92.0,9.0,20.0,4.0,4.0,164.0,3.0,3.0,176.0,887.0,10.0,1.0,39.0,,6.0,560.0,24.0,,5.0,3.0,4.0,1.0,,5.0,26.0,659.0,59.0,3.0,97032,8.0,285.0,2.0,4.0,,317.0,10.0,2.0,9.0,2.0,74.0,7.0,4.0,7.0,2.0,12.0,1.0,2.0,1.0,49.0,576.0,11.0,9.0,12.0,1.0,70.0,0.0,1.0,4.0,2.0,,,,0.0,4.0,,2.0,66.9,22.0,1.0,6.0,2.0,7.0,5.0,43.0,4.0,,675.0,,6.0,27.0,28.0,6.0,,28.0,2.0,3.0,371.0,6.0,4.0,11.0,140.0,33.0,,1.0,5.0,18.0,,14.0,4.0,23.0,1.0,9.0,4.0,1.0,,,1.0,,,3.0,,,1.0,1.0,,1.0,1.0,,2.0,3.0,,,2.0,,1.0,1.0,1.0,,,1.0,,2.0,,,,,1.0,,,3.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0
37,2293173,2023-05-20 15:00:00,"Anfield, Liverpool",53306.0,Home,Liverpool,Aston Villa,1,1,D,0,1,0,0,,2.0,1.0,18.0,71.0,1.0,4.0,26.0,20.0,3.0,3.0,7.0,2.0,,2.0,193.0,,8.0,9.0,12.0,1.0,2.0,9.0,5.0,124.0,164.0,55.0,10.0,,7.0,1.0,2.0,,5.0,1.0,1.0,,41.0,,11.0,,20.0,8.0,1.0,51.0,241.0,1.0,0.0,177.0,16.0,1.0,2.0,65.0,70.0,8.0,72.0,33.0,19.0,3.0,12.0,164.0,1.0,4.0,121.0,734.0,6.0,3.0,53.0,,8.0,411.0,21.0,,12.0,1.0,5.0,3.0,1.0,1.0,22.0,489.0,83.0,,97032,2.0,198.0,,19.0,1.0,213.0,10.0,1.0,6.0,3.0,64.0,5.0,4.0,4.0,1.0,17.0,2.0,3.0,,53.0,430.0,12.0,12.0,2.0,2.0,63.0,0.0,2.0,4.0,1.0,,,1.0,0.0,6.0,1.0,2.0,66.3,22.0,1.0,7.0,2.0,4.0,4.0,42.0,9.0,1.0,510.0,,8.0,14.0,23.0,1.0,,54.0,3.0,1.0,338.0,5.0,1.0,13.0,122.0,36.0,,2.0,12.0,18.0,1.0,7.0,5.0,27.0,2.0,6.0,9.0,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,1.0,,,,,,3.0,,,,2.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
38,2293189,2023-05-28 16:30:00,"St. Mary's Stadium, Southampton",31129.0,Away,Liverpool,Southampton,4,4,D,2,2,0,0,,1.0,4.0,24.0,64.0,3.0,7.0,30.0,2.0,14.0,14.0,16.0,6.0,1.0,3.0,181.0,2.0,12.0,8.0,10.0,4.0,3.0,21.0,8.0,177.0,138.0,46.0,30.0,4.0,12.0,1.0,1.0,1.0,,3.0,2.0,4.0,27.0,,15.0,1.0,2.0,8.0,7.0,48.0,300.0,,0.0,217.0,10.0,1.0,2.0,76.0,86.0,12.0,86.0,19.0,16.0,14.0,9.0,138.0,5.0,9.0,160.0,811.0,18.0,4.0,60.0,1.0,13.0,510.0,15.0,3.0,1.0,3.0,,2.0,,9.0,24.0,590.0,79.0,2.0,92217,10.0,232.0,2.0,8.0,,248.0,7.0,3.0,6.0,5.0,59.0,3.0,,7.0,4.0,17.0,6.0,5.0,2.0,46.0,524.0,4.0,17.0,7.0,3.0,55.0,0.0,1.0,2.0,4.0,1.0,,4.0,0.0,7.0,,2.0,69.0,24.0,1.0,6.0,3.0,7.0,11.0,47.0,9.0,,604.0,,13.0,13.0,33.0,11.0,,49.0,1.0,4.0,383.0,14.0,7.0,12.0,165.0,36.0,3.0,,1.0,20.0,3.0,26.0,4.0,18.0,,6.0,9.0,,,,,3.0,4.0,6.0,,,,1.0,1.0,,,2.0,2.0,3.0,1.0,3.0,3.0,,1.0,,,1.0,3.0,,1.0,,,,,1.0,,1.0,,3.0,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,
