gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,goalAssistOpenplay,goalFastbreak,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attCmissRight,postScoringAtt,attIboxPost,ptsGainedLosingPos,attMissRight,hitWoodwork,shieldBallOop,attBxLeft,attPostRight,errorLeadToGoal,attIboxTarget,attSvLowCentre,attMissLeft,attSvLowLeft,attHdTarget,sixYardBlock,attAssistSetplay,punches,attHdMiss,accurateCornersIntobox,attSvHighRight,attSetpiece,ptsDroppedWinningPos,attSvHighLeft,attCmissLeft,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,attPostHigh,attCmissHighRight,clearanceOffLine,penaltyWon,cleanSheet,attObxdLeft,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,contentiousDecision,foulThrowIn,attObxLeft,attObxdRight,attFreekickMiss,attIboxOwnGoal,attPostLeft,attHdPost,attLgRight,attLgCentre,attObxRight,attOboxPost,penaltySave,attCmissHighLeft
25,2562140,2026-02-06 20:00:00,"Elland Road, Leeds",36835.0,Away,Nottingham Forest,Leeds United,1,3,L,0.0,2.0,0,0,0.0,,1.0,1.0,43.0,0.0,0.0,1.0,1.0,1.4936,24.0,18.0,7.0,2.0,9.0,2.0,0.0,3.0,143.0,1.0,10.0,10.0,1.0,3.0,12.0,6.0,69.0,152.0,52.0,16.0,3.0,18.0,1.0,1.0,1.0,,34.0,10.0,0.0,1.0,18.0,10.0,13.0,21.0,,2.9396,142.0,1.0,0.0,0.0,106.0,12.0,0.0,1.0,1.0,0.0,2.0,,65.0,43.0,7.0,60.0,2.0,24.0,17.0,7.0,0.0,0.0,11.0,3.0,152.0,2.0,13.0,1.0,78.0,562.0,10.0,4.0,24.0,8.0,258.0,25.0,,6.0,11.0,1.0,1.0,5.0,5.0,1.28279,22.0,331.0,53.0,,,34.33,159506,6.0,142.0,1.0,11.0,,164.0,3.0,110093.31,0.0,,7.0,7.0,63.0,1.0,0.0,,0.0,4.0,1.0,1.0,17.0,1.0,4.0,2.0,0.0,53.0,274.0,9.0,11.0,23.0,3.0,70.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,3.0,,0.0,7.0,1.0,4.0,43.6,14.0,1.0,1.0,1.0,4.0,35.0,10.0,,,350.0,,8.0,10.0,8.0,6.0,34.0,3.0,220.0,10.0,11.0,19.0,75.0,16.0,,,11.0,14.0,1.0,3.0,12.0,5.0,22.0,1.3312,,7.0,10.0,,1.0,,,,2.0,,,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2562151,2026-02-11 19:30:00,"The City Ground, Nottingham",29921.0,Home,Nottingham Forest,Wolverhampton Wanderers,0,0,D,0.0,0.0,0,0,0.0,1.0,1.0,,48.0,0.0,0.0,1.0,1.0,2.0366,27.0,26.0,19.0,4.0,16.0,3.0,0.0,6.0,142.0,0.0,10.0,6.0,0.0,4.0,26.0,10.0,145.0,117.0,60.0,35.0,8.0,13.0,4.0,1.0,,,38.0,10.0,0.0,3.0,26.0,7.0,5.0,25.0,,0.2105,273.0,2.0,0.0,0.0,191.0,12.0,0.0,1.0,4.0,0.0,2.0,,87.0,89.0,14.0,56.0,,31.0,12.0,19.0,0.0,0.0,12.0,8.0,117.0,3.0,4.0,0.0,137.0,698.0,26.0,1.0,40.0,6.0,408.0,19.0,,2.0,16.0,,0.0,,12.0,2.141,16.0,461.0,55.0,,,33.4,456512,9.0,163.0,4.0,17.0,,179.0,7.0,106449.35,0.0,2.0,5.0,7.0,48.0,,0.0,,0.0,2.0,2.0,0.0,11.0,3.0,6.0,1.0,0.0,37.0,426.0,13.0,5.0,5.0,5.0,51.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,,0.0,10.0,,8.0,62.7,15.0,4.0,1.0,2.0,9.0,38.0,8.0,,,480.0,,6.0,10.0,16.0,16.0,47.0,8.0,339.0,23.0,5.0,23.0,161.0,23.0,,,16.0,18.0,0.0,0.0,28.0,2.0,16.0,2.5521,,5.0,8.0,,1.0,,,,7.0,,,3.0,,,7.0,5.0,6.0,1.0,3.0,,,,5.0,,,1.0,,1.0,1.0,1.0,1.0,0.0508,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
27,2562161,2026-02-22 14:00:00,"The City Ground, Nottingham",30737.0,Home,Nottingham Forest,Liverpool,0,1,L,0.0,0.0,0,0,0.0,1.0,2.0,,58.0,0.0,0.0,,3.0,0.653,24.0,35.0,11.0,6.0,7.0,3.0,0.0,,146.0,0.0,7.0,6.0,0.0,3.0,11.0,2.0,93.0,137.0,48.0,18.0,5.0,10.0,1.0,1.0,,,30.0,14.0,0.0,,35.0,7.0,6.0,29.0,1.0,1.8597,174.0,,0.0,0.0,150.0,13.0,0.0,2.0,1.0,0.0,,,82.0,45.0,5.0,79.0,1.0,23.0,18.0,11.0,0.0,0.0,9.0,6.0,137.0,1.0,8.0,0.0,103.0,626.0,10.0,7.0,23.0,10.0,333.0,24.0,1.0,4.0,22.0,,2.0,4.0,6.0,0.511862,14.0,406.0,42.0,1.0,1.0,35.82,159506,4.0,181.0,1.0,14.0,,202.0,7.0,110642.75,0.0,,8.0,3.0,44.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,19.0,2.0,3.0,2.0,0.0,52.0,348.0,8.0,8.0,18.0,2.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,5.0,0.0,4.0,,1.0,47.2,8.0,9.0,,1.0,8.0,12.0,7.0,,,421.0,,10.0,11.0,15.0,8.0,39.0,2.0,249.0,11.0,6.0,17.0,114.0,24.0,,,22.0,18.0,0.0,1.0,14.0,5.0,9.0,1.1905,,8.0,7.0,,,,,,1.0,,,2.0,,,2.0,1.0,4.0,1.0,,,1.0,1.0,1.0,3.0,,,,,2.0,1.0,1.0,0.0814,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
28,2562167,2026-03-01 14:00:00,"American Express Stadium, Falmer",31427.0,Away,Nottingham Forest,Brighton and Hove Albion,1,2,L,1.0,2.0,0,0,0.0,,1.0,,50.0,0.0,0.0,3.0,4.0,0.5813,29.0,15.0,6.0,3.0,7.0,5.0,0.0,1.0,130.0,0.0,4.0,11.0,1.0,1.0,10.0,4.0,127.0,123.0,41.0,13.0,2.0,17.0,,1.0,1.0,,17.0,5.0,1.0,1.0,15.0,3.0,8.0,44.0,,1.1792,160.0,,1.0,0.0,95.0,13.0,0.0,2.0,,1.0,3.0,,61.0,59.0,7.0,74.0,,14.0,15.0,6.0,0.0,0.0,3.0,2.0,123.0,1.0,7.0,0.0,113.0,623.0,8.0,7.0,17.0,8.0,359.0,28.0,1.0,6.0,9.0,1.0,1.0,2.0,3.0,0.44398,14.0,421.0,40.0,,1.0,33.95,159506,5.0,224.0,1.0,8.0,,248.0,1.0,110275.92,1.0,,8.0,10.0,48.0,,0.0,,0.0,4.0,4.0,1.0,22.0,7.0,9.0,,0.0,50.0,380.0,12.0,2.0,12.0,1.0,54.0,,0.0,0.0,,0.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,,2.0,46.5,13.0,2.0,,4.0,6.0,36.0,4.0,,,444.0,,8.0,9.0,20.0,3.0,20.0,1.0,213.0,8.0,7.0,10.0,71.0,15.0,,,9.0,9.0,0.0,2.0,11.0,5.0,19.0,0.7927,,8.0,4.0,,,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
29,2562181,2026-03-04 19:30:00,"Etihad Stadium, Manchester",51965.0,Away,Nottingham Forest,Manchester City,2,2,D,0.0,1.0,0,0,0.0,,,1.0,47.0,1.0,1.0,1.0,1.0,1.1605,18.0,27.0,3.0,1.0,6.0,3.0,0.0,2.0,124.0,0.0,2.0,6.0,2.0,,7.0,4.0,73.0,101.0,42.0,9.0,2.0,16.0,3.0,,2.0,1.0,11.0,14.0,0.0,,27.0,1.0,10.0,22.0,,1.522,91.0,,1.0,0.0,54.0,6.0,0.0,2.0,4.0,1.0,,2.0,30.0,30.0,5.0,64.0,1.0,10.0,13.0,3.0,0.0,0.0,3.0,,101.0,2.0,16.0,0.0,68.0,496.0,4.0,7.0,13.0,6.0,247.0,22.0,,7.0,16.0,2.0,4.0,8.0,2.0,0.338457,6.0,301.0,26.0,,1.0,32.65,159506,2.0,180.0,1.0,7.0,,196.0,6.0,116623.54,2.0,,7.0,13.0,46.0,,0.0,,0.0,3.0,5.0,2.0,18.0,5.0,8.0,,0.0,47.0,269.0,9.0,14.0,23.0,1.0,57.0,3.0,0.0,0.0,,0.0,0.0,,6.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,30.1,5.0,2.0,,5.0,3.0,28.0,1.0,,2.0,329.0,,6.0,5.0,10.0,2.0,12.0,2.0,144.0,7.0,9.0,7.0,35.0,17.0,1.0,2.0,16.0,20.0,0.0,2.0,6.0,4.0,11.0,0.9703,2.0,7.0,1.0,,1.0,,,1.0,2.0,,,3.0,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
30,2562192,2026-03-15 14:00:00,"The City Ground, Nottingham",30013.0,Home,Nottingham Forest,Fulham,0,0,D,0.0,0.0,0,0,0.0,,1.0,1.0,54.0,0.0,0.0,,2.0,0.4413,28.0,22.0,6.0,3.0,5.0,1.0,0.0,1.0,142.0,0.0,3.0,10.0,0.0,4.0,9.0,2.0,101.0,143.0,42.0,11.0,3.0,13.0,2.0,1.0,1.0,,14.0,7.0,0.0,2.0,22.0,4.0,17.0,26.0,1.0,0.288,141.0,,0.0,0.0,104.0,8.0,0.0,1.0,2.0,0.0,2.0,,58.0,62.0,5.0,62.0,2.0,10.0,23.0,6.0,0.0,0.0,3.0,,143.0,1.0,5.0,0.0,96.0,587.0,6.0,6.0,18.0,7.0,306.0,24.0,,6.0,13.0,1.0,2.0,2.0,4.0,0.527731,28.0,384.0,53.0,2.0,1.0,32.39,215379,4.0,183.0,1.0,5.0,,200.0,6.0,110126.56,0.0,1.0,12.0,5.0,45.0,,0.0,2.0,0.0,3.0,4.0,0.0,21.0,1.0,4.0,,0.0,52.0,321.0,10.0,8.0,16.0,3.0,64.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,45.8,18.0,4.0,,4.0,5.0,33.0,5.0,,,401.0,,7.0,6.0,10.0,4.0,24.0,3.0,215.0,7.0,17.0,14.0,65.0,19.0,,3.0,13.0,8.0,0.0,0.0,7.0,5.0,20.0,0.947,3.0,12.0,5.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,2.0,1.0,,,3.0,,1.0,1.0,,,,,,1.0,1.0,0.0656,1.0,2.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,
31,2562203,2026-03-22 14:15:00,"Tottenham Hotspur Stadium, London",61519.0,Away,Nottingham Forest,Tottenham Hotspur,3,0,W,1.0,0.0,0,0,0.0,1.0,1.0,2.0,39.0,1.0,1.0,2.0,,2.1722,21.0,40.0,2.0,2.0,6.0,3.0,0.0,2.0,141.0,1.0,3.0,6.0,3.0,1.0,7.0,7.0,72.0,129.0,57.0,8.0,1.0,28.0,,1.0,2.0,,11.0,14.0,0.0,1.0,40.0,3.0,4.0,27.0,,1.2249,136.0,,0.0,0.0,91.0,13.0,0.0,3.0,,1.0,,,70.0,55.0,7.0,44.0,1.0,8.0,17.0,2.0,0.0,0.0,6.0,,129.0,3.0,7.0,1.0,79.0,540.0,4.0,12.0,16.0,9.0,237.0,20.0,,3.0,24.0,3.0,2.0,6.0,,0.891728,12.0,308.0,48.0,,,33.71,159506,2.0,119.0,1.0,2.0,,137.0,7.0,102974.04,2.0,1.0,8.0,11.0,72.0,,0.0,,0.0,,1.0,2.0,12.0,7.0,5.0,,0.0,68.0,252.0,13.0,13.0,28.0,2.0,66.0,,0.0,0.0,1.0,0.0,0.0,3.0,13.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,2.0,41.1,9.0,2.0,,1.0,1.0,26.0,3.0,,,336.0,,9.0,10.0,10.0,,25.0,,210.0,4.0,3.0,18.0,57.0,13.0,1.0,3.0,24.0,21.0,1.0,0.0,5.0,5.0,15.0,1.3385,3.0,8.0,3.0,1.0,,,,,,,,1.0,,,3.0,2.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
32,2562212,2026-04-12 14:00:00,"The City Ground, Nottingham",30591.0,Home,Nottingham Forest,Aston Villa,1,1,D,1.0,1.0,0,0,0.0,,,,43.0,1.0,0.0,2.0,4.0,0.5258,19.0,21.0,6.0,2.0,9.0,5.0,0.0,2.0,113.0,0.0,6.0,5.0,1.0,1.0,12.0,4.0,73.0,105.0,43.0,15.0,1.0,10.0,1.0,1.0,1.0,,22.0,12.0,0.0,2.0,21.0,6.0,6.0,19.0,,0.7814,170.0,1.0,1.0,0.0,111.0,15.0,0.0,5.0,1.0,0.0,,,51.0,50.0,6.0,60.0,2.0,16.0,15.0,6.0,0.0,0.0,3.0,2.0,105.0,1.0,9.0,0.0,90.0,507.0,9.0,6.0,35.0,9.0,261.0,11.0,,7.0,11.0,1.0,2.0,,6.0,0.997171,5.0,313.0,41.0,,,33.25,159506,2.0,114.0,1.0,13.0,,129.0,8.0,106764.2,1.0,1.0,6.0,8.0,48.0,,1.0,,1.0,1.0,3.0,1.0,12.0,4.0,5.0,1.0,0.0,39.0,278.0,8.0,10.0,13.0,3.0,44.0,1.0,0.0,0.0,,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,4.0,,4.0,40.8,3.0,11.0,,3.0,5.0,26.0,7.0,,,336.0,,9.0,9.0,9.0,6.0,25.0,4.0,229.0,9.0,5.0,15.0,84.0,16.0,,3.0,11.0,15.0,0.0,1.0,11.0,4.0,11.0,1.1516,3.0,6.0,7.0,1.0,1.0,,,1.0,1.0,,,3.0,,,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,3.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
33,2562223,2026-04-19 14:00:00,"The City Ground, Nottingham",29458.0,Home,Nottingham Forest,Burnley,4,1,W,0.0,1.0,0,0,0.0,,1.0,2.0,51.0,2.0,1.0,1.0,,1.6504,21.0,17.0,2.0,1.0,8.0,2.0,0.0,,163.0,1.0,5.0,9.0,4.0,3.0,7.0,4.0,111.0,149.0,54.0,10.0,2.0,13.0,1.0,,3.0,1.0,20.0,8.0,0.0,,17.0,4.0,16.0,30.0,2.0,1.293,202.0,1.0,0.0,0.0,111.0,8.0,0.0,2.0,2.0,3.0,2.0,1.0,94.0,72.0,4.0,91.0,,16.0,18.0,2.0,0.0,0.0,8.0,,149.0,1.0,3.0,1.0,109.0,680.0,4.0,3.0,24.0,5.0,378.0,15.0,,4.0,10.0,3.0,0.0,1.0,3.0,0.688546,29.0,461.0,60.0,1.0,,35.69,503301,6.0,192.0,,6.0,,205.0,3.0,109202.37,3.0,1.0,9.0,1.0,44.0,,0.0,5.0,0.0,2.0,4.0,4.0,15.0,1.0,1.0,,0.0,53.0,389.0,12.0,2.0,20.0,,73.0,1.0,0.0,0.0,,0.0,0.0,,4.0,1.0,4.0,1.0,,0.0,5.0,2.0,2.0,51.3,19.0,4.0,,4.0,2.0,37.0,4.0,,1.0,474.0,,5.0,14.0,13.0,4.0,29.0,4.0,289.0,7.0,15.0,11.0,69.0,27.0,,3.0,10.0,22.0,1.0,1.0,8.0,5.0,17.0,1.1909,3.0,9.0,4.0,,1.0,,,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,0.0378,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2562232,2026-04-24 20:00:00,"Stadium of Light, Sunderland",,Away,Nottingham Forest,Sunderland,5,0,W,4.0,0.0,0,0,0.0,,2.0,3.0,41.0,2.0,0.0,2.0,,1.3321,21.0,53.0,4.0,4.0,6.0,4.0,1.0,,119.0,2.0,4.0,3.0,5.0,2.0,6.0,6.0,56.0,118.0,50.0,10.0,2.0,17.0,,1.0,2.0,,16.0,9.0,0.0,1.0,53.0,4.0,5.0,25.0,1.0,0.2753,105.0,,0.0,0.0,90.0,15.0,0.0,2.0,,2.0,1.0,1.0,36.0,49.0,6.0,46.0,1.0,12.0,14.0,4.0,0.0,0.0,4.0,1.0,118.0,2.0,7.0,0.0,52.0,473.0,3.0,10.0,17.0,7.0,185.0,15.0,,6.0,27.0,3.0,5.0,7.0,,0.487787,16.0,250.0,38.0,,,31.44,159506,4.0,98.0,,7.0,,117.0,10.0,103195.78,3.0,,4.0,7.0,50.0,,0.0,,0.0,1.0,3.0,2.0,14.0,7.0,4.0,,0.0,49.0,199.0,13.0,9.0,20.0,2.0,50.0,,0.0,0.0,,0.0,0.0,2.0,3.0,2.0,4.0,0.0,5.0,0.0,4.0,2.0,,38.9,10.0,7.0,,3.0,2.0,19.0,6.0,,1.0,273.0,,7.0,6.0,8.0,2.0,22.0,1.0,172.0,6.0,5.0,19.0,60.0,14.0,2.0,1.0,27.0,15.0,0.0,0.0,6.0,5.0,6.0,1.0964,1.0,4.0,6.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
35,2562239,2026-05-04 15:00:00,"Stamford Bridge, London",39605.0,Away,Nottingham Forest,Chelsea,3,1,W,2.0,0.0,0,0,0.0,1.0,1.0,3.0,37.0,1.0,0.0,1.0,1.0,2.6447,16.0,25.0,,4.0,6.0,4.0,1.0,,116.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,89.0,107.0,49.0,6.0,,15.0,,,2.0,,4.0,10.0,0.0,,25.0,,5.0,13.0,,1.6239,83.0,,0.0,0.0,58.0,10.0,0.0,2.0,,0.0,,,18.0,49.0,4.0,62.0,2.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0,107.0,2.0,12.0,0.0,67.0,505.0,1.0,7.0,17.0,10.0,247.0,19.0,,6.0,11.0,2.0,1.0,8.0,1.0,0.924989,11.0,303.0,29.0,,,33.07,485047,5.0,185.0,,3.0,1.0,208.0,5.0,110869.1,1.0,,2.0,16.0,43.0,,0.0,,0.0,2.0,5.0,2.0,17.0,9.0,7.0,,1.0,49.0,267.0,12.0,6.0,22.0,1.0,53.0,,1.0,0.0,,0.0,0.0,1.0,10.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,33.0,8.0,1.0,,5.0,1.0,22.0,1.0,1.0,,334.0,,10.0,10.0,9.0,1.0,10.0,1.0,130.0,1.0,4.0,11.0,41.0,12.0,3.0,4.0,11.0,22.0,1.0,1.0,4.0,6.0,8.0,2.0533,4.0,2.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,
37,2562262,2026-05-17 12:30:00,"Old Trafford, Manchester",,Away,Nottingham Forest,Manchester United,0,0,D,,,0,0,0.0,,1.0,2.0,50.0,2.0,0.0,1.0,3.0,1.911,15.0,18.0,1.0,4.0,11.0,5.0,1.0,1.0,151.0,0.0,6.0,11.0,2.0,1.0,10.0,4.0,148.0,122.0,47.0,11.0,1.0,12.0,,1.0,1.0,,20.0,13.0,0.0,,18.0,4.0,13.0,16.0,1.0,3.1852,195.0,,0.0,0.0,112.0,5.0,0.0,3.0,,1.0,1.0,,25.0,77.0,6.0,68.0,2.0,16.0,24.0,1.0,0.0,0.0,9.0,,122.0,3.0,21.0,0.0,105.0,665.0,6.0,4.0,23.0,12.0,374.0,22.0,1.0,6.0,11.0,2.0,1.0,12.0,4.0,1.56661,21.0,444.0,49.0,2.0,1.0,32.59,227444,6.0,209.0,2.0,6.0,,234.0,3.0,107314.0,0.0,1.0,9.0,11.0,42.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,13.0,8.0,8.0,1.0,0.0,40.0,398.0,10.0,9.0,20.0,2.0,50.0,,0.0,0.0,,0.0,0.0,1.0,7.0,4.0,2.0,3.0,1.0,0.0,5.0,2.0,3.0,51.9,18.0,8.0,,1.0,3.0,32.0,6.0,,,472.0,,12.0,4.0,7.0,4.0,32.0,4.0,258.0,3.0,10.0,6.0,79.0,16.0,,1.0,11.0,20.0,1.0,3.0,7.0,5.0,23.0,1.881,1.0,9.0,6.0,,,,,,1.0,,1.0,,,1.0,2.0,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0
38,2562271,2026-05-24 16:00:00,"The City Ground, Nottingham",,Home,Nottingham Forest,Bournemouth,0,0,D,,,0,0,0.0,,2.0,,49.0,1.0,0.0,1.0,3.0,0.5236,18.0,28.0,5.0,3.0,10.0,3.0,0.0,1.0,143.0,0.0,6.0,4.0,1.0,2.0,10.0,5.0,102.0,138.0,41.0,15.0,2.0,12.0,2.0,,,,17.0,8.0,0.0,,28.0,5.0,9.0,25.0,,0.4689,115.0,1.0,1.0,0.0,87.0,11.0,0.0,3.0,2.0,1.0,1.0,,43.0,36.0,6.0,64.0,1.0,12.0,20.0,5.0,0.0,0.0,3.0,2.0,138.0,2.0,6.0,0.0,87.0,579.0,8.0,3.0,24.0,10.0,288.0,26.0,1.0,2.0,10.0,1.0,1.0,7.0,4.0,1.01242,12.0,371.0,46.0,,2.0,32.63,503301,4.0,198.0,4.0,8.0,,229.0,5.0,105996.11,1.0,,10.0,15.0,54.0,,0.0,2.0,0.0,3.0,3.0,0.0,10.0,11.0,10.0,1.0,0.0,52.0,307.0,7.0,10.0,18.0,7.0,59.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,,0.0,4.0,1.0,3.0,45.2,10.0,4.0,1.0,3.0,5.0,29.0,6.0,,,396.0,,10.0,8.0,10.0,5.0,20.0,2.0,184.0,9.0,7.0,14.0,55.0,15.0,,,10.0,16.0,0.0,1.0,7.0,5.0,17.0,1.7307,,10.0,6.0,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,4.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,2.0,,1.0,1.0,1.0,0.0787,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,
