gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,wonCorners,attLfTarget,bigChanceScored,attMissLeft,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,interceptionsInBox,penaltyConceded,blockedPass,attCmissHigh,attCmissLeft,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,successfulPutThrough,handBall,accuratePullBack,goalAssistOpenplay,attSvLowCentre,attOneOnOne,goalAssist,accurateThroughBall,accurateFreekickCross,totalThroughBall,attAssistSetplay,attSvLowRight,punches,goalAssistIntentional,effectiveBlockedCross,attIboxOwnGoal,blockedCross,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,freekickTotal,attHdTarget,attMissHighLeft,totalKeeperSweeper,expectedGoalsFreekick,attFastbreak,attFreekickMiss,attSvHighRight,cleanSheet,attFreekickTarget,forwardGoals,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attLgCentre,attPostLeft,attOboxPost,foulThrowIn,attObxRight,attPostRight,penaltyWon,attCmissHighLeft,attCmissHighRight,attFreekickPost
25,2562139,2026-02-07 15:00:00,"Craven Cottage, London",27155.0,Home,Fulham,Everton,1,2,L,1.0,0.0,0,0,0.0,46.0,0.0,0.0,2.0,2.0,1.6746,16.0,22.0,2.0,4.0,11.0,2.0,0.0,1.0,139.0,0.0,10.0,3.0,1.0,2.0,9.0,,3.0,132.0,111.0,48.0,13.0,,18.0,3.0,,2.0,19.0,1.0,12.0,0.0,,22.0,5.0,8.0,26.0,0.734,200.0,0.0,0.0,131.0,11.0,0.0,1.0,,0.0,75.0,53.0,4.0,69.0,1.0,14.0,11.0,2.0,0.0,0.0,6.0,1.0,111.0,3.0,,13.0,0.0,143.0,,665.0,7.0,,26.0,2.0,9.0,398.0,17.0,3.0,12.0,1.0,3.0,5.0,2.01557,12.0,460.0,44.0,,32.64,207189,8.0,229.0,4.0,6.0,1.0,,249.0,6.0,105699.68,0.0,,7.0,48.0,1.0,0.0,2.0,13.0,0.0,18.0,4.0,5.0,3.0,0.0,38.0,419.0,11.0,4.0,13.0,5.0,47.0,0.0,0.0,0.0,0.0,,6.0,,0.0,2.0,2.0,,0.0,7.0,3.0,55.4,9.0,2.0,1.0,1.0,,13.0,2.0,,23.0,6.0,483.0,9.0,7.0,13.0,8.0,35.0,3.0,5.0,253.0,6.0,8.0,14.0,107.0,15.0,12.0,20.0,0.0,2.0,8.0,4.0,11.0,1.9716,6.0,2.0,,2.0,,2.0,2.0,3.0,1.0,,3.0,,1.0,,,3.0,,3.0,,,,,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,
26,2562150,2026-02-11 19:30:00,"Etihad Stadium, Manchester",50717.0,Away,Fulham,Manchester City,0,3,L,0.0,3.0,0,0,1.0,47.0,0.0,0.0,1.0,3.0,0.4596,22.0,11.0,2.0,5.0,12.0,2.0,0.0,1.0,146.0,0.0,4.0,3.0,0.0,,9.0,1.0,3.0,133.0,123.0,41.0,14.0,,8.0,3.0,1.0,,14.0,,14.0,0.0,,11.0,4.0,4.0,29.0,1.6209,149.0,0.0,0.0,87.0,10.0,0.0,2.0,1.0,0.0,51.0,52.0,5.0,91.0,1.0,10.0,16.0,2.0,0.0,0.0,3.0,2.0,123.0,1.0,,5.0,0.0,122.0,,669.0,9.0,2.0,21.0,,8.0,399.0,19.0,3.0,5.0,1.0,5.0,4.0,0.557935,22.0,471.0,33.0,3.0,32.16,153682,7.0,273.0,1.0,7.0,1.0,,307.0,5.0,114295.65,0.0,,6.0,44.0,0.0,0.0,1.0,1.0,0.0,12.0,8.0,5.0,1.0,0.0,47.0,418.0,8.0,5.0,17.0,3.0,48.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,,3.0,2.0,0.0,4.0,2.0,44.0,21.0,1.0,3.0,2.0,1.0,1.0,3.0,,28.0,4.0,492.0,8.0,14.0,16.0,8.0,19.0,,6.0,199.0,7.0,4.0,7.0,66.0,20.0,5.0,23.0,0.0,2.0,11.0,5.0,11.0,1.4178,4.0,1.0,,4.0,,1.0,,,1.0,,4.0,,,,,,,4.0,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
27,2562162,2026-02-22 14:00:00,"Stadium of Light, Sunderland",47222.0,Away,Fulham,Sunderland,3,1,W,0.0,0.0,0,0,0.0,47.0,1.0,2.0,1.0,2.0,2.1691,19.0,37.0,3.0,5.0,9.0,1.0,1.0,,115.0,0.0,3.0,3.0,3.0,2.0,9.0,,4.0,85.0,117.0,47.0,12.0,1.0,14.0,1.0,,,17.0,,10.0,0.0,1.0,37.0,3.0,4.0,21.0,1.016,154.0,0.0,0.0,86.0,13.0,0.0,1.0,,1.0,59.0,52.0,4.0,70.0,2.0,14.0,11.0,3.0,0.0,0.0,4.0,1.0,117.0,2.0,1.0,8.0,0.0,85.0,,545.0,7.0,2.0,19.0,,9.0,277.0,20.0,6.0,17.0,1.0,5.0,5.0,0.651215,23.0,337.0,44.0,3.0,33.29,184349,5.0,136.0,,9.0,,,151.0,5.0,110645.29,1.0,1.0,10.0,41.0,0.0,0.0,1.0,1.0,1.0,12.0,4.0,3.0,2.0,1.0,57.0,287.0,6.0,4.0,29.0,3.0,70.0,0.0,0.0,0.0,0.0,,6.0,,3.0,,1.0,1.0,0.0,2.0,1.0,46.6,13.0,,4.0,3.0,,1.0,3.0,,35.0,4.0,355.0,9.0,5.0,9.0,5.0,22.0,1.0,4.0,221.0,6.0,4.0,16.0,62.0,16.0,17.0,22.0,1.0,1.0,8.0,5.0,10.0,1.8802,4.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,5.0,,,,1.0,,1.0,5.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,,,
28,2562169,2026-03-01 14:00:00,"Craven Cottage, London",27439.0,Home,Fulham,Tottenham Hotspur,2,1,W,2.0,0.0,0,0,0.0,45.0,1.0,0.0,,4.0,0.7878,23.0,34.0,3.0,7.0,15.0,,1.0,2.0,165.0,0.0,5.0,8.0,2.0,1.0,13.0,2.0,4.0,120.0,138.0,55.0,18.0,,14.0,2.0,2.0,,13.0,,8.0,0.0,,34.0,5.0,14.0,35.0,0.7587,156.0,1.0,0.0,107.0,11.0,0.0,,,2.0,65.0,30.0,7.0,85.0,5.0,8.0,23.0,3.0,1.0,0.0,3.0,2.0,138.0,2.0,,10.0,0.0,110.0,,676.0,11.0,10.0,34.0,,10.0,366.0,21.0,4.0,20.0,3.0,7.0,6.0,0.898033,16.0,451.0,51.0,,33.26,219924,9.0,233.0,2.0,5.0,,1.0,253.0,4.0,113127.77,1.0,3.0,12.0,47.0,0.0,0.0,1.0,3.0,2.0,12.0,3.0,5.0,1.0,0.0,54.0,384.0,13.0,6.0,20.0,4.0,71.0,0.0,0.0,0.0,0.0,,8.0,,1.0,,1.0,3.0,0.0,4.0,3.0,54.1,11.0,3.0,2.0,2.0,,3.0,4.0,1.0,31.0,5.0,480.0,10.0,7.0,19.0,10.0,26.0,1.0,8.0,240.0,8.0,13.0,23.0,65.0,18.0,20.0,12.0,0.0,1.0,13.0,5.0,17.0,2.2803,5.0,,1.0,2.0,,,,,,,10.0,,,1.0,,,,10.0,,1.0,1.0,2.0,1.0,1.0,,,,1.0,,3.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
29,2562179,2026-03-04 19:30:00,"Craven Cottage, London",27191.0,Home,Fulham,West Ham United,0,1,L,0.0,0.0,0,0,0.0,53.0,0.0,0.0,,3.0,0.5562,28.0,21.0,3.0,3.0,10.0,3.0,0.0,3.0,173.0,0.0,9.0,6.0,0.0,3.0,8.0,,5.0,157.0,139.0,41.0,13.0,1.0,13.0,4.0,2.0,,25.0,,4.0,0.0,1.0,21.0,5.0,13.0,26.0,1.1335,218.0,0.0,0.0,144.0,14.0,0.0,2.0,,0.0,87.0,61.0,5.0,73.0,,20.0,13.0,3.0,0.0,0.0,8.0,1.0,139.0,,1.0,6.0,0.0,160.0,,731.0,5.0,5.0,29.0,,3.0,449.0,18.0,5.0,10.0,2.0,2.0,3.0,0.699111,18.0,537.0,64.0,,34.02,169528,5.0,261.0,,11.0,2.0,1.0,282.0,6.0,113423.39,0.0,1.0,6.0,40.0,0.0,0.0,,8.0,0.0,21.0,3.0,4.0,2.0,0.0,56.0,470.0,10.0,8.0,19.0,6.0,64.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,,1.0,,0.0,6.0,5.0,59.7,17.0,2.0,3.0,,1.0,8.0,4.0,,38.0,6.0,563.0,3.0,5.0,9.0,4.0,42.0,3.0,3.0,306.0,5.0,13.0,16.0,96.0,23.0,10.0,9.0,0.0,1.0,5.0,5.0,8.0,0.8884,7.0,2.0,,1.0,,,1.0,1.0,,,5.0,,,,,1.0,,5.0,,,,2.0,,,,1.0,,3.0,2.0,,,2.0,,2.0,1.0,,1.0,,,1.0,,,1.0,0.1589,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,
30,2562192,2026-03-15 14:00:00,"The City Ground, Nottingham",30013.0,Away,Fulham,Nottingham Forest,0,0,D,0.0,0.0,0,0,0.0,48.0,0.0,0.0,2.0,1.0,0.288,26.0,22.0,1.0,3.0,5.0,2.0,0.0,,174.0,0.0,3.0,8.0,0.0,2.0,3.0,,1.0,115.0,130.0,45.0,6.0,1.0,14.0,1.0,,,18.0,,10.0,0.0,,22.0,4.0,13.0,39.0,0.4413,154.0,0.0,0.0,122.0,11.0,0.0,1.0,,0.0,58.0,59.0,1.0,77.0,1.0,14.0,25.0,1.0,0.0,0.0,2.0,,130.0,1.0,,5.0,0.0,108.0,,639.0,1.0,7.0,15.0,,10.0,364.0,21.0,4.0,16.0,3.0,5.0,2.0,0.576357,21.0,453.0,60.0,,34.14,167074,3.0,227.0,1.0,11.0,1.0,1.0,253.0,3.0,112497.49,0.0,,12.0,42.0,0.0,0.0,1.0,4.0,0.0,8.0,6.0,7.0,,0.0,57.0,378.0,8.0,10.0,12.0,2.0,62.0,0.0,0.0,0.0,0.0,1.0,5.0,,0.0,,0.0,2.0,0.0,2.0,2.0,54.2,19.0,1.0,5.0,1.0,,4.0,2.0,,35.0,4.0,474.0,10.0,7.0,19.0,3.0,25.0,1.0,3.0,239.0,1.0,11.0,13.0,77.0,17.0,16.0,16.0,0.0,0.0,2.0,5.0,9.0,1.0338,4.0,,,2.0,,,1.0,,,,10.0,,2.0,1.0,,,,10.0,1.0,,,1.0,,,,1.0,2.0,2.0,,,,2.0,,2.0,1.0,,2.0,,,1.0,1.0,,2.0,0.0677,,,,1.0,,,,,,,,,,,,,,,,,
31,2562199,2026-03-21 15:00:00,"Craven Cottage, London",27323.0,Home,Fulham,Burnley,3,1,W,0.0,0.0,0,1,0.0,57.0,0.0,1.0,2.0,5.0,3.1582,30.0,25.0,5.0,11.0,17.0,4.0,1.0,2.0,168.0,1.0,5.0,3.0,3.0,2.0,16.0,2.0,6.0,140.0,121.0,49.0,22.0,1.0,13.0,2.0,1.0,,22.0,,13.0,0.0,1.0,25.0,3.0,6.0,34.0,1.174,228.0,0.0,0.0,168.0,6.0,0.0,2.0,,2.0,63.0,57.0,9.0,80.0,3.0,19.0,15.0,5.0,0.0,0.0,4.0,3.0,121.0,1.0,,6.0,1.0,130.0,,696.0,14.0,4.0,42.0,,6.0,426.0,26.0,7.0,19.0,2.0,3.0,7.0,1.03402,19.0,501.0,68.0,,32.73,169528,8.0,219.0,2.0,14.0,1.0,,240.0,3.0,116494.23,2.0,,4.0,34.0,0.0,0.0,1.0,3.0,2.0,9.0,3.0,3.0,3.0,1.0,55.0,442.0,9.0,3.0,19.0,3.0,49.0,1.0,0.0,0.0,0.0,,6.0,2.0,3.0,,1.0,1.0,0.0,4.0,3.0,55.5,14.0,3.0,3.0,4.0,,3.0,6.0,,33.0,6.0,518.0,6.0,8.0,18.0,10.0,36.0,1.0,7.0,300.0,8.0,6.0,19.0,130.0,22.0,19.0,18.0,0.0,1.0,18.0,5.0,8.0,3.1535,6.0,1.0,2.0,3.0,3.0,2.0,1.0,,1.0,,2.0,1.0,2.0,,,,,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,4.0,1.0,,,,2.0,,2.0,,3.0,,,3.0,,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,
32,2562210,2026-04-11 17:30:00,"Anfield, Liverpool",60401.0,Away,Fulham,Liverpool,0,2,L,0.0,2.0,0,0,0.0,41.0,0.0,0.0,1.0,4.0,0.2753,24.0,28.0,6.0,9.0,13.0,3.0,0.0,1.0,135.0,0.0,11.0,6.0,0.0,1.0,16.0,2.0,4.0,113.0,120.0,49.0,19.0,4.0,8.0,3.0,3.0,,30.0,,11.0,0.0,1.0,28.0,7.0,9.0,24.0,1.6171,182.0,0.0,0.0,129.0,4.0,0.0,2.0,1.0,0.0,77.0,41.0,11.0,79.0,4.0,23.0,19.0,6.0,0.0,0.0,6.0,1.0,120.0,1.0,,14.0,0.0,108.0,,662.0,13.0,7.0,42.0,,15.0,348.0,16.0,5.0,10.0,0.0,6.0,5.0,1.35028,18.0,411.0,44.0,,34.7,169528,7.0,200.0,2.0,16.0,1.0,,224.0,1.0,115252.87,0.0,1.0,6.0,34.0,0.0,0.0,2.0,5.0,0.0,14.0,4.0,6.0,1.0,0.0,40.0,371.0,10.0,5.0,18.0,5.0,42.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,,2.0,3.0,0.0,9.0,3.0,47.0,16.0,1.0,3.0,2.0,,5.0,8.0,,29.0,9.0,435.0,15.0,9.0,18.0,7.0,32.0,2.0,6.0,241.0,7.0,8.0,14.0,102.0,15.0,10.0,20.0,0.0,2.0,13.0,5.0,14.0,1.0376,9.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,7.0,,,,,1.0,,7.0,,1.0,,1.0,,,,,,3.0,1.0,,,4.0,,4.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,2562216,2026-04-18 12:30:00,"Gtech Community Stadium, Brentford",17171.0,Away,Fulham,Brentford,0,0,D,0.0,0.0,0,0,0.0,37.0,0.0,0.0,1.0,4.0,,16.0,22.0,3.0,6.0,8.0,4.0,0.0,,144.0,0.0,2.0,5.0,0.0,1.0,9.0,,,110.0,129.0,46.0,11.0,2.0,18.0,,1.0,,13.0,,10.0,0.0,,22.0,3.0,11.0,28.0,0.2715,142.0,0.0,0.0,95.0,13.0,0.0,2.0,,0.0,43.0,37.0,5.0,61.0,,10.0,14.0,3.0,0.0,0.0,2.0,1.0,129.0,1.0,,12.0,0.0,120.0,,599.0,8.0,6.0,20.0,,5.0,340.0,14.0,2.0,12.0,1.0,2.0,4.0,0.782252,20.0,412.0,41.0,1.0,33.49,169528,4.0,215.0,1.0,7.0,1.0,2.0,244.0,4.0,115015.89,0.0,1.0,14.0,48.0,0.0,0.0,1.0,7.0,0.0,20.0,1.0,8.0,1.0,0.0,50.0,355.0,8.0,7.0,19.0,1.0,60.0,0.0,0.0,0.0,0.0,,9.0,3.0,0.0,,0.0,,0.0,1.0,2.0,51.9,15.0,1.0,,2.0,,7.0,6.0,,34.0,3.0,435.0,5.0,7.0,15.0,5.0,27.0,1.0,4.0,204.0,3.0,11.0,20.0,64.0,15.0,12.0,13.0,0.0,0.0,7.0,5.0,10.0,0.7745,3.0,,,3.0,,,1.0,1.0,,,8.0,,1.0,1.0,,1.0,,8.0,1.0,1.0,,,,,2.0,1.0,2.0,1.0,,2.0,,4.0,,4.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
34,2562229,2026-04-25 12:30:00,"Craven Cottage, London",27606.0,Home,Fulham,Aston Villa,1,0,W,1.0,0.0,0,0,0.0,38.0,0.0,1.0,1.0,1.0,2.0149,16.0,25.0,7.0,5.0,6.0,1.0,1.0,2.0,113.0,0.0,4.0,7.0,1.0,2.0,9.0,1.0,6.0,95.0,109.0,56.0,13.0,4.0,10.0,3.0,,,15.0,,12.0,0.0,2.0,25.0,1.0,5.0,16.0,0.0666,142.0,0.0,0.0,95.0,14.0,0.0,1.0,1.0,0.0,44.0,43.0,8.0,49.0,1.0,14.0,22.0,7.0,0.0,0.0,5.0,1.0,109.0,1.0,,6.0,0.0,80.0,,527.0,8.0,4.0,19.0,,16.0,249.0,14.0,3.0,10.0,2.0,1.0,1.0,0.593849,13.0,307.0,53.0,,31.83,153682,6.0,138.0,1.0,8.0,,2.0,153.0,2.0,110422.75,0.0,2.0,17.0,41.0,0.0,1.0,7.0,1.0,1.0,14.0,4.0,15.0,,0.0,36.0,276.0,12.0,6.0,12.0,,42.0,0.0,0.0,0.0,0.0,,5.0,,1.0,,0.0,,0.0,4.0,3.0,38.9,10.0,1.0,6.0,,,1.0,5.0,,26.0,2.0,337.0,16.0,4.0,5.0,2.0,23.0,1.0,1.0,199.0,5.0,4.0,20.0,66.0,14.0,10.0,18.0,0.0,0.0,10.0,4.0,16.0,1.1764,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,14.0,,1.0,1.0,,1.0,,14.0,2.0,2.0,,2.0,,,,,2.0,1.0,,2.0,,4.0,,4.0,1.0,,,,,1.0,2.0,,,0.127,,,,1.0,,,,,,,,,,,,,,,,,
35,2562236,2026-05-02 17:30:00,"Emirates Stadium, London",60196.0,Away,Fulham,Arsenal,0,3,L,0.0,3.0,0,0,0.0,45.0,0.0,0.0,1.0,2.0,0.0538,13.0,20.0,5.0,4.0,5.0,6.0,0.0,1.0,138.0,0.0,1.0,3.0,0.0,2.0,6.0,,1.0,119.0,110.0,45.0,10.0,4.0,14.0,1.0,,,12.0,,16.0,0.0,,20.0,4.0,11.0,36.0,3.6589,156.0,0.0,0.0,96.0,12.0,0.0,1.0,,0.0,71.0,39.0,4.0,69.0,,8.0,16.0,5.0,0.0,0.0,2.0,1.0,110.0,1.0,,14.0,0.0,107.0,,581.0,5.0,2.0,12.0,,5.0,339.0,18.0,3.0,11.0,1.0,3.0,2.0,0.386963,12.0,408.0,43.0,2.0,34.18,631786,2.0,204.0,1.0,6.0,1.0,1.0,233.0,7.0,111226.1,0.0,,7.0,44.0,0.0,0.0,,4.0,0.0,16.0,4.0,4.0,,0.0,40.0,359.0,6.0,12.0,17.0,3.0,41.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,,3.0,,0.0,,2.0,46.2,9.0,1.0,1.0,2.0,,4.0,6.0,,18.0,4.0,433.0,5.0,5.0,17.0,3.0,17.0,1.0,2.0,212.0,4.0,9.0,14.0,72.0,20.0,11.0,22.0,0.0,3.0,5.0,5.0,4.0,0.37,4.0,,,2.0,,,,1.0,,,6.0,,2.0,,,2.0,,6.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,1.0,,,2.0,0.0616,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,
36,2562248,2026-05-09 15:00:00,"Craven Cottage, London",27626.0,Home,Fulham,Bournemouth,0,1,L,0.0,0.0,1,1,1.0,39.0,0.0,0.0,2.0,5.0,0.1376,19.0,9.0,3.0,5.0,11.0,3.0,0.0,2.0,149.0,0.0,3.0,7.0,0.0,2.0,10.0,2.0,2.0,142.0,117.0,54.0,14.0,1.0,12.0,1.0,2.0,2.0,28.0,2.0,12.0,0.0,1.0,9.0,9.0,11.0,21.0,0.5955,215.0,0.0,0.0,126.0,12.0,0.0,2.0,1.0,0.0,55.0,61.0,5.0,80.0,3.0,19.0,9.0,3.0,0.0,0.0,6.0,1.0,117.0,1.0,1.0,5.0,0.0,129.0,1.0,676.0,10.0,4.0,34.0,2.0,5.0,408.0,16.0,6.0,6.0,4.0,3.0,5.0,0.704828,14.0,465.0,49.0,2.0,32.48,232892,6.0,227.0,1.0,13.0,1.0,1.0,235.0,7.0,104896.03,0.0,1.0,5.0,39.0,0.0,0.0,1.0,7.0,0.0,15.0,5.0,5.0,1.0,0.0,36.0,439.0,21.0,4.0,14.0,3.0,61.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,60.1,11.0,1.0,1.0,2.0,1.0,7.0,6.0,1.0,42.0,11.0,500.0,5.0,7.0,11.0,6.0,39.0,1.0,3.0,293.0,7.0,9.0,10.0,93.0,13.0,6.0,16.0,0.0,0.0,8.0,5.0,11.0,1.241,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562264,2026-05-17 15:00:00,"Molineux Stadium, Wolverhampton",,Away,Fulham,Wolverhampton Wanderers,0,0,D,,,0,0,1.0,57.0,1.0,0.0,2.0,2.0,1.3697,19.0,24.0,5.0,4.0,8.0,2.0,1.0,2.0,176.0,0.0,4.0,10.0,1.0,3.0,8.0,1.0,5.0,176.0,128.0,59.0,13.0,1.0,9.0,2.0,2.0,,20.0,,11.0,0.0,2.0,24.0,4.0,13.0,26.0,0.5087,239.0,0.0,0.0,162.0,8.0,0.0,1.0,,0.0,74.0,66.0,4.0,81.0,1.0,16.0,12.0,5.0,0.0,0.0,,2.0,128.0,1.0,1.0,7.0,0.0,159.0,,784.0,7.0,3.0,35.0,,10.0,481.0,19.0,3.0,15.0,0.0,,4.0,0.896245,16.0,560.0,55.0,1.0,32.88,560552,3.0,277.0,1.0,15.0,,,303.0,5.0,112622.29,0.0,2.0,11.0,38.0,0.0,1.0,2.0,7.0,0.0,8.0,4.0,10.0,1.0,1.0,37.0,512.0,20.0,5.0,10.0,2.0,51.0,0.0,0.0,0.0,0.0,2.0,3.0,,1.0,,1.0,,0.0,3.0,1.0,68.9,13.0,1.0,1.0,2.0,1.0,7.0,3.0,,35.0,6.0,592.0,10.0,11.0,16.0,5.0,32.0,1.0,3.0,309.0,8.0,12.0,11.0,124.0,29.0,15.0,19.0,0.0,0.0,9.0,5.0,15.0,1.5947,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,,,,,2.0,,3.0,,1.0,,1.0,,,2.0,,5.0,1.0,,,,1.0,,1.0,1.0,1.0,4.0,,1.0,1.0,,1.0,4.0,0.0702,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,
38,2562268,2026-05-24 16:00:00,"Craven Cottage, London",,Home,Fulham,Newcastle United,0,0,D,,,0,0,0.0,47.0,0.0,0.0,1.0,3.0,1.8292,20.0,13.0,11.0,8.0,10.0,2.0,1.0,2.0,127.0,1.0,2.0,10.0,2.0,1.0,16.0,2.0,6.0,121.0,113.0,43.0,21.0,3.0,16.0,2.0,1.0,1.0,13.0,,13.0,0.0,2.0,13.0,4.0,9.0,26.0,0.1642,191.0,1.0,0.0,147.0,13.0,0.0,,,0.0,67.0,55.0,11.0,63.0,6.0,9.0,13.0,11.0,0.0,0.0,1.0,4.0,113.0,1.0,,4.0,1.0,107.0,,579.0,13.0,5.0,33.0,1.0,12.0,330.0,10.0,4.0,4.0,2.0,2.0,5.0,0.814026,15.0,399.0,52.0,,34.81,169528,6.0,156.0,2.0,8.0,,1.0,164.0,7.0,112046.51,0.0,1.0,9.0,45.0,0.0,1.0,1.0,5.0,0.0,13.0,3.0,6.0,,0.0,46.0,345.0,5.0,2.0,12.0,2.0,53.0,1.0,0.0,0.0,0.0,,6.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,44.9,14.0,1.0,7.0,3.0,,5.0,6.0,,24.0,6.0,418.0,12.0,11.0,14.0,9.0,27.0,1.0,4.0,267.0,10.0,9.0,12.0,102.0,23.0,4.0,16.0,1.0,0.0,16.0,5.0,13.0,1.8075,6.0,1.0,1.0,,,1.0,,1.0,1.0,,4.0,,,,,1.0,,4.0,,1.0,,3.0,,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,1.0,2.0,,,2.0,1.0,1.0,2.0,,0.0398,2.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0
