gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,handBall,ballRecovery,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,lostCorners,savedIbox,accurateFlickOn,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,postScoringAtt,goalAssistOpenplay,attIboxPost,attSvLowLeft,goodHighClaim,interceptionsInBox,attHdPost,attHdTarget,hitWoodwork,goalAssist,totalOffside,attMissHigh,attCorner,goalAssistIntentional,attBxLeft,totalHighClaim,attPostRight,accurateCornersIntobox,ptsDroppedWinningPos,attLfTarget,savedObox,goalAssistSetplay,shotFastbreak,attOneOnOne,penaltyWon,divingSave,totalFastbreak,accurateThroughBall,attFastbreak,attCmissLeft,shieldBallOop,foulThrowIn,attBxRight,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,sixYardBlock,totalPullBack,attMissHighRight,attMissHighLeft,attCmissHigh,punches,attPostHigh,accuratePullBack,overrun,attOboxPost,errorLeadToGoal,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attSvHighLeft,attObxRight,attCmissHighLeft,goalAssistDeadball,attObxdLeft,attFreekickMiss,secondYellow,attCmissHighRight,attIboxOwnGoal,penaltySave,attFreekickTarget
25,2562137,2026-02-08 14:00:00,"American Express Stadium, Falmer",31179.0,Away,Crystal Palace,Brighton and Hove Albion,1,0,W,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,53.0,,0.8665,22.0,33.0,1.0,1.0,6.0,2.0,2.0,125.0,3.0,7.0,1.0,5.0,1.0,4.0,68.0,144.0,57.0,,7.0,,22.0,3.0,2.0,,12.0,11.0,,33.0,4.0,8.0,28.0,0.2412,103.0,1.0,98.0,9.0,1.0,21.0,49.0,3.0,53.0,1.0,8.0,23.0,1.0,,4.0,1.0,144.0,1.0,,5.0,65.0,511.0,,2.0,7.0,25.0,10.0,208.0,18.0,5.0,14.0,2.0,2.0,0.816019,18.0,288.0,,58.0,,2.0,34.14,152551,3.0,117.0,,3.0,1.0,142.0,8.0,117047.54,12.0,7.0,53.0,,5.0,14.0,2.0,2.0,67.0,217.0,12.0,5.0,2.0,32.0,67.0,,3.0,1.0,2.0,,2.0,36.2,13.0,1.0,1.0,1.0,5.0,,,26.0,4.0,311.0,10.0,11.0,11.0,,3.0,24.0,2.0,181.0,4.0,7.0,17.0,47.0,22.0,1.0,,14.0,21.0,4.0,3.0,13.0,1.157,,12.0,4.0,1.0,,1.0,,,2.0,1.0,,1.0,,1.0,3.0,1.0,2.0,1.0,,2.0,,3.0,,,1.0,,,,,,,,,,1.0,,2.0,2.0,,2.0,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
26,2562148,2026-02-11 19:40:00,"Selhurst Park, London",,Home,Crystal Palace,Burnley,2,3,L,2.0,3.0,0,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,,51.0,6.0,1.0492,21.0,25.0,6.0,8.0,15.0,1.0,,177.0,11.0,2.0,,15.0,1.0,3.0,171.0,164.0,51.0,,21.0,5.0,23.0,1.0,,3.0,25.0,8.0,,25.0,7.0,7.0,32.0,1.5051,232.0,,161.0,11.0,1.0,60.0,57.0,9.0,72.0,2.0,18.0,23.0,6.0,,8.0,1.0,164.0,3.0,,5.0,152.0,785.0,,11.0,10.0,39.0,8.0,443.0,18.0,8.0,17.0,,6.0,2.08062,17.0,551.0,,67.0,1.0,1.0,32.85,232185,8.0,241.0,1.0,9.0,1.0,273.0,5.0,113987.78,13.0,8.0,55.0,9.0,5.0,17.0,4.0,6.0,54.0,462.0,8.0,5.0,2.0,31.0,77.0,,2.0,1.0,2.0,8.0,6.0,64.5,12.0,4.0,6.0,,5.0,11.0,,50.0,8.0,572.0,8.0,11.0,14.0,,7.0,43.0,6.0,324.0,7.0,7.0,28.0,111.0,21.0,2.0,,17.0,14.0,14.0,5.0,7.0,1.7969,,13.0,8.0,2.0,,2.0,,,2.0,1.0,,,,2.0,1.0,,3.0,2.0,,2.0,,3.0,3.0,1.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,3.0,3.0,,3.0,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,
27,2562158,2026-02-22 14:00:00,"Selhurst Park, London",24547.0,Home,Crystal Palace,Wolverhampton Wanderers,1,0,W,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,49.0,1.0,1.4823,18.0,31.0,5.0,2.0,9.0,7.0,1.0,150.0,5.0,2.0,4.0,8.0,,3.0,110.0,145.0,52.0,1.0,14.0,3.0,23.0,1.0,1.0,3.0,24.0,12.0,1.0,31.0,6.0,11.0,22.0,2.0645,185.0,1.0,134.0,19.0,1.0,50.0,65.0,4.0,63.0,,18.0,15.0,5.0,1.0,10.0,1.0,145.0,3.0,,7.0,102.0,627.0,,5.0,5.0,23.0,7.0,327.0,14.0,4.0,18.0,3.0,4.0,0.819382,26.0,406.0,0.0793,61.0,1.0,,34.35,232185,5.0,160.0,2.0,7.0,1.0,185.0,12.0,109622.22,5.0,3.0,69.0,1.0,5.0,15.0,5.0,1.0,49.0,340.0,12.0,10.0,2.0,25.0,60.0,1.0,3.0,5.0,2.0,4.0,3.0,60.6,17.0,3.0,4.0,,5.0,4.0,,31.0,7.0,425.0,7.0,8.0,9.0,,7.0,39.0,5.0,264.0,9.0,10.0,24.0,100.0,23.0,,,18.0,15.0,5.0,3.0,11.0,1.9976,,5.0,7.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,6.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0
28,2562172,2026-03-01 14:00:00,"Old Trafford, Manchester",73934.0,Away,Crystal Palace,Manchester United,1,2,L,1.0,0.0,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,,51.0,1.0,0.6893,17.0,29.0,3.0,4.0,5.0,9.0,2.0,145.0,1.0,3.0,1.0,8.0,,3.0,88.0,128.0,45.0,,8.0,1.0,24.0,1.0,,,6.0,5.0,1.0,29.0,1.0,5.0,24.0,2.3732,121.0,,80.0,12.0,1.0,36.0,34.0,5.0,70.0,,5.0,15.0,3.0,,1.0,1.0,128.0,,,11.0,96.0,564.0,,6.0,3.0,13.0,6.0,297.0,15.0,2.0,12.0,5.0,3.0,0.303342,11.0,373.0,,49.0,,2.0,32.36,247348,3.0,188.0,,3.0,1.0,207.0,3.0,110163.48,7.0,8.0,57.0,1.0,4.0,14.0,9.0,2.0,61.0,308.0,13.0,7.0,1.0,22.0,82.0,1.0,7.0,3.0,,,1.0,39.0,9.0,,2.0,1.0,4.0,2.0,,40.0,1.0,399.0,6.0,8.0,10.0,,3.0,18.0,2.0,198.0,3.0,5.0,13.0,43.0,22.0,,,12.0,16.0,6.0,4.0,9.0,0.3835,,7.0,1.0,,,,,,2.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,,6.0,1.0,,,,6.0,,,,,1.0,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,
29,2562183,2026-03-05 20:00:00,"Tottenham Hotspur Stadium, London",60213.0,Away,Crystal Palace,Tottenham Hotspur,3,1,W,3.0,1.0,0,1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,31.0,2.0,1.5444,22.0,30.0,1.0,4.0,8.0,3.0,,137.0,2.0,3.0,4.0,4.0,,4.0,135.0,112.0,62.0,,9.0,1.0,23.0,1.0,,2.0,20.0,13.0,,30.0,3.0,9.0,19.0,1.0932,180.0,,90.0,14.0,3.0,26.0,66.0,3.0,62.0,,17.0,8.0,1.0,,5.0,,112.0,2.0,1.0,10.0,129.0,647.0,,2.0,4.0,21.0,6.0,387.0,10.0,5.0,17.0,3.0,1.0,0.917522,13.0,443.0,,51.0,,,33.98,232185,6.0,224.0,,9.0,,240.0,9.0,109118.68,5.0,7.0,60.0,3.0,3.0,10.0,2.0,3.0,49.0,402.0,14.0,7.0,,21.0,55.0,,6.0,3.0,1.0,2.0,1.0,60.0,8.0,1.0,2.0,,3.0,3.0,,29.0,3.0,463.0,6.0,11.0,10.0,,2.0,30.0,2.0,243.0,4.0,9.0,21.0,63.0,16.0,3.0,3.0,17.0,24.0,5.0,4.0,9.0,1.7782,3.0,5.0,3.0,3.0,,2.0,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,2.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,
30,2562189,2026-03-15 14:00:00,"Selhurst Park, London",25155.0,Home,Crystal Palace,Leeds United,0,0,D,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,2.0,,27.0,51.0,5.0,1.0,7.0,3.0,,154.0,4.0,5.0,3.0,6.0,,,128.0,153.0,61.0,1.0,12.0,5.0,28.0,,,1.0,21.0,8.0,,51.0,7.0,11.0,25.0,0.3586,206.0,1.0,137.0,12.0,3.0,63.0,59.0,2.0,49.0,2.0,14.0,22.0,5.0,1.0,6.0,,153.0,,,7.0,132.0,676.0,1.0,2.0,12.0,26.0,3.0,345.0,20.0,5.0,29.0,2.0,4.0,0.482667,22.0,438.0,0.0685,68.0,1.0,1.0,33.48,247412,4.0,162.0,,5.0,2.0,184.0,7.0,110689.88,11.0,11.0,57.0,2.0,4.0,13.0,3.0,9.0,64.0,364.0,10.0,4.0,4.0,21.0,61.0,,3.0,2.0,,2.0,3.0,66.6,18.0,3.0,3.0,,4.0,7.0,,36.0,8.0,463.0,3.0,8.0,10.0,,5.0,40.0,5.0,300.0,8.0,11.0,38.0,80.0,9.0,,2.0,29.0,9.0,2.0,4.0,12.0,0.6737,2.0,11.0,8.0,,,,,,1.0,1.0,,,,,5.0,2.0,5.0,,,1.0,,2.0,,,1.0,,,,,1.0,,,,,3.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
32,2562209,2026-04-12 14:00:00,"Selhurst Park, London",25141.0,Home,Crystal Palace,Newcastle United,2,1,W,0.0,1.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,64.0,2.0,3.2208,23.0,41.0,2.0,,9.0,2.0,2.0,136.0,5.0,1.0,2.0,6.0,,5.0,94.0,124.0,49.0,,11.0,1.0,18.0,2.0,1.0,,14.0,13.0,1.0,41.0,2.0,13.0,27.0,1.2255,151.0,,99.0,17.0,2.0,43.0,42.0,3.0,60.0,,12.0,31.0,2.0,,4.0,,124.0,3.0,,5.0,90.0,594.0,,3.0,5.0,21.0,12.0,291.0,32.0,3.0,19.0,3.0,3.0,1.49137,20.0,366.0,,60.0,1.0,1.0,33.3,651426,4.0,157.0,2.0,6.0,2.0,187.0,8.0,116004.68,21.0,2.0,48.0,1.0,5.0,26.0,2.0,2.0,60.0,303.0,11.0,8.0,2.0,26.0,62.0,1.0,4.0,1.0,3.0,4.0,3.0,41.2,17.0,1.0,9.0,1.0,5.0,3.0,,29.0,2.0,380.0,12.0,3.0,12.0,,3.0,19.0,2.0,207.0,7.0,12.0,16.0,72.0,14.0,,2.0,19.0,21.0,7.0,5.0,4.0,2.5629,2.0,21.0,2.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,1.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,2.0,,1.0,,,,,3.0,1.0,,,,,,,1.0,,,
33,2562218,2026-04-20 20:00:00,"Selhurst Park, London",24974.0,Home,Crystal Palace,West Ham United,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,49.0,,0.0491,16.0,41.0,4.0,1.0,5.0,3.0,,145.0,4.0,4.0,2.0,8.0,2.0,1.0,124.0,149.0,44.0,,9.0,1.0,17.0,1.0,,2.0,24.0,10.0,,41.0,4.0,8.0,26.0,0.1979,165.0,1.0,121.0,13.0,2.0,42.0,49.0,2.0,54.0,3.0,20.0,21.0,4.0,,5.0,3.0,149.0,1.0,,7.0,131.0,666.0,,6.0,8.0,18.0,5.0,354.0,23.0,5.0,23.0,3.0,6.0,0.599651,26.0,433.0,,60.0,2.0,,33.35,651426,4.0,209.0,1.0,13.0,2.0,234.0,9.0,116889.19,11.0,7.0,55.0,,2.0,21.0,2.0,5.0,50.0,370.0,11.0,10.0,2.0,24.0,64.0,1.0,6.0,4.0,2.0,4.0,3.0,54.2,19.0,2.0,2.0,1.0,2.0,1.0,1.0,37.0,4.0,454.0,5.0,10.0,10.0,,7.0,45.0,4.0,244.0,5.0,7.0,17.0,81.0,19.0,,2.0,23.0,13.0,7.0,4.0,10.0,0.7275,2.0,11.0,4.0,,,,,,1.0,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,2.0,,,1.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
34,2562230,2026-04-25 15:00:00,"Anfield, Liverpool",60314.0,Away,Crystal Palace,Liverpool,1,3,L,0.0,2.0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,,38.0,1.0,1.4792,24.0,29.0,3.0,3.0,11.0,,2.0,135.0,6.0,6.0,,11.0,1.0,7.0,107.0,114.0,42.0,,14.0,1.0,22.0,6.0,2.0,,18.0,10.0,1.0,29.0,7.0,3.0,27.0,1.9257,137.0,,89.0,10.0,,56.0,27.0,6.0,52.0,1.0,11.0,16.0,3.0,,6.0,1.0,114.0,5.0,,6.0,106.0,566.0,,10.0,2.0,25.0,9.0,303.0,16.0,10.0,9.0,4.0,5.0,0.995868,16.0,375.0,,52.0,,1.0,33.8,437499,4.0,195.0,5.0,5.0,,205.0,6.0,110334.04,7.0,8.0,45.0,1.0,2.0,10.0,3.0,8.0,55.0,326.0,9.0,4.0,1.0,25.0,66.0,3.0,5.0,,2.0,2.0,3.0,46.6,11.0,1.0,2.0,,2.0,1.0,,36.0,8.0,400.0,9.0,5.0,10.0,,6.0,35.0,4.0,213.0,8.0,3.0,14.0,43.0,17.0,,1.0,9.0,13.0,9.0,3.0,10.0,2.263,1.0,7.0,8.0,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,4.0,4.0,5.0,,1.0,,,4.0,,2.0,,,2.0,,,,2.0,1.0,2.0,,1.0,,3.0,2.0,,2.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,
35,2562235,2026-05-03 14:00:00,"Vitality Stadium, Bournemouth",11122.0,Away,Crystal Palace,Bournemouth,0,3,L,0.0,2.0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,,52.0,,0.0466,24.0,31.0,1.0,2.0,6.0,3.0,,136.0,3.0,6.0,2.0,6.0,,1.0,102.0,140.0,54.0,,7.0,1.0,19.0,1.0,1.0,3.0,11.0,9.0,,31.0,1.0,12.0,40.0,1.9343,131.0,,107.0,11.0,1.0,29.0,35.0,2.0,55.0,,10.0,15.0,1.0,,6.0,,140.0,1.0,,11.0,112.0,595.0,,6.0,8.0,21.0,4.0,297.0,25.0,7.0,17.0,6.0,4.0,0.920346,18.0,380.0,,50.0,,2.0,34.23,651426,3.0,186.0,1.0,3.0,1.0,212.0,8.0,114036.15,8.0,9.0,63.0,2.0,4.0,19.0,6.0,4.0,66.0,314.0,10.0,15.0,,26.0,60.0,,7.0,1.0,4.0,2.0,,50.2,14.0,,4.0,,4.0,1.0,,28.0,1.0,405.0,4.0,10.0,19.0,,5.0,26.0,4.0,204.0,5.0,9.0,16.0,64.0,15.0,,,17.0,22.0,6.0,5.0,14.0,0.8924,,8.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,,1.0,,1.0,2.0,,,,,1.0,,1.0,,2.0,,,1.0,3.0,,3.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,
36,2562201,2026-05-13 20:00:00,"Etihad Stadium, Manchester",,Away,Crystal Palace,Manchester City,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562258,2026-05-17 15:00:00,"Gtech Community Stadium, Brentford",,Away,Crystal Palace,Brentford,0,0,D,,,0,0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,,56.0,4.0,0.9641,19.0,43.0,6.0,9.0,10.0,1.0,1.0,144.0,4.0,2.0,2.0,10.0,1.0,5.0,75.0,154.0,46.0,,16.0,2.0,27.0,1.0,2.0,,12.0,11.0,2.0,43.0,3.0,7.0,24.0,2.1682,129.0,,119.0,5.0,1.0,28.0,29.0,7.0,54.0,1.0,9.0,18.0,6.0,,2.0,1.0,154.0,1.0,1.0,11.0,71.0,522.0,,7.0,7.0,27.0,13.0,220.0,26.0,10.0,19.0,3.0,3.0,0.963964,19.0,322.0,,55.0,,,33.8,651426,6.0,104.0,1.0,6.0,,139.0,3.0,115819.46,9.0,10.0,43.0,1.0,2.0,15.0,3.0,3.0,72.0,229.0,6.0,6.0,2.0,45.0,73.0,,9.0,1.0,1.0,3.0,2.0,41.8,10.0,1.0,6.0,,2.0,6.0,,24.0,4.0,344.0,13.0,4.0,9.0,,5.0,34.0,2.0,217.0,5.0,3.0,21.0,67.0,16.0,1.0,,19.0,18.0,10.0,5.0,3.0,1.7152,,9.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,,2.0,,1.0,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
38,2562267,2026-05-24 16:00:00,"Selhurst Park, London",,Home,Crystal Palace,Arsenal,0,0,D,,,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,,44.0,2.0,0.945,18.0,23.0,,,8.0,5.0,,106.0,4.0,7.0,2.0,7.0,,3.0,89.0,107.0,42.0,,8.0,,14.0,2.0,1.0,,18.0,4.0,,23.0,3.0,5.0,36.0,1.7106,134.0,,93.0,9.0,4.0,40.0,48.0,4.0,54.0,1.0,15.0,16.0,,,7.0,,107.0,3.0,,14.0,79.0,491.0,,6.0,7.0,21.0,10.0,250.0,19.0,3.0,13.0,4.0,3.0,0.836994,12.0,310.0,,48.0,,1.0,33.79,488024,6.0,131.0,2.0,4.0,,140.0,3.0,108757.07,8.0,7.0,40.0,,8.0,13.0,3.0,2.0,47.0,261.0,12.0,12.0,,14.0,59.0,,4.0,4.0,2.0,4.0,4.0,39.7,7.0,1.0,1.0,,8.0,2.0,,29.0,3.0,328.0,10.0,2.0,18.0,,3.0,27.0,3.0,206.0,4.0,5.0,11.0,56.0,14.0,,1.0,13.0,12.0,7.0,5.0,12.0,0.9808,1.0,8.0,3.0,1.0,,1.0,,1.0,,2.0,,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,2.0,,,,,2.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
