gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,penaltySave,attLfTarget,bigChanceScored,accuratePullBack,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,interceptionsInBox,attMissRight,bigChanceCreated,goalAssist,totalPullBack,totalThroughBall,attFastbreak,attCmissLeft,goalAssistIntentional,goalAssistSetplay,attLgRight,attSvLowCentre,attOneOnOne,accurateThroughBall,shieldBallOop,attBxLeft,forwardGoals,errorLeadToGoal,attHdTarget,hitWoodwork,attMissHighLeft,sixYardBlock,attSvHighCentre,attCmissHighLeft,attFreekickMiss,attCmissHigh,ptsDroppedWinningPos,attSvHighRight,penaltyWon,ptsGainedLosingPos,clearanceOffLine,attObxRight,goalAssistDeadball,contentiousDecision,postScoringAtt,attPostLeft,attOboxPost,attIboxPost,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,goalFastbreak,foulThrowIn,attPostRight,attObxdLeft,attCmissHighRight,secondYellow,attIboxOwnGoal,attLgCentre
25,2562139,2026-02-07 15:00:00,"Craven Cottage, London",27155.0,Away,Everton,Fulham,2,1,W,0.0,1.0,0,0,0.0,1.0,46.0,0.0,1.0,,2.0,0.734,24.0,29.0,3.0,5.0,12.0,3.0,1.0,2.0,125.0,0.0,6.0,4.0,2.0,4.0,13.0,3.0,100.0,110.0,48.0,1.0,16.0,1.0,14.0,,,21.0,10.0,0.0,29.0,6.0,9.0,28.0,1.6746,174.0,1.0,0.0,0.0,108.0,12.0,0.0,2.0,1.0,3.0,,80.0,45.0,5.0,69.0,15.0,10.0,4.0,1.0,0.0,0.0,3.0,1.0,110.0,12.0,0.0,98.0,573.0,7.0,3.0,28.0,8.0,321.0,17.0,1.0,12.0,,5.0,2.0,8.0,1.28185,15.0,372.0,0.0273,49.0,1.0,1.0,33.07,440993,7.0,166.0,3.0,9.0,2.0,,174.0,8.0,105509.16,0.0,7.0,10.0,48.0,1.0,0.0,2.0,1.0,1.0,12.0,2.0,6.0,1.0,0.0,50.0,334.0,11.0,3.0,5.0,9.0,4.0,65.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,44.6,13.0,3.0,5.0,1.0,3.0,40.0,6.0,,,392.0,,8.0,10.0,12.0,10.0,37.0,3.0,8.0,239.0,7.0,8.0,18.0,76.0,23.0,1.0,12.0,15.0,0.0,1.0,8.0,4.0,14.0,1.8812,1.0,7.0,6.0,,,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,,1.0,,1.0,4.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,3.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,
26,2562149,2026-02-10 19:30:00,"Hill Dickinson Stadium, Liverpool",50196.0,Home,Everton,Bournemouth,1,2,L,1.0,0.0,1,0,0.0,,48.0,1.0,0.0,1.0,5.0,2.4692,22.0,20.0,2.0,2.0,14.0,2.0,0.0,2.0,169.0,0.0,11.0,5.0,1.0,6.0,7.0,6.0,91.0,144.0,58.0,1.0,16.0,,20.0,4.0,,24.0,6.0,0.0,20.0,7.0,13.0,19.0,2.0616,200.0,1.0,0.0,0.0,153.0,14.0,0.0,1.0,1.0,3.0,1.0,84.0,41.0,5.0,82.0,17.0,16.0,2.0,1.0,0.0,0.0,3.0,1.0,144.0,5.0,0.0,101.0,645.0,5.0,10.0,37.0,8.0,345.0,12.0,11.0,9.0,,1.0,5.0,2.0,1.88523,20.0,424.0,0.0274,67.0,2.0,2.0,32.84,440993,7.0,168.0,2.0,11.0,2.0,,185.0,7.0,105904.99,1.0,13.0,4.0,55.0,0.0,0.0,1.0,3.0,0.0,17.0,6.0,3.0,1.0,1.0,52.0,357.0,15.0,3.0,2.0,30.0,4.0,76.0,0.0,0.0,2.0,0.0,,0.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,9.0,6.0,52.7,15.0,2.0,5.0,3.0,5.0,39.0,7.0,,1.0,443.0,,8.0,9.0,6.0,5.0,32.0,2.0,4.0,282.0,8.0,13.0,28.0,107.0,23.0,1.0,9.0,11.0,0.0,2.0,7.0,3.0,17.0,2.9444,1.0,13.0,7.0,,,1.0,,,,1.0,,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,3.0,1.0,,3.0,1.0,,,,3.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,
27,2562159,2026-02-23 20:00:00,"Hill Dickinson Stadium, Liverpool",52326.0,Home,Everton,Manchester United,0,1,L,0.0,0.0,0,0,0.0,,62.0,0.0,0.0,,2.0,0.865,21.0,13.0,7.0,3.0,5.0,1.0,0.0,3.0,151.0,0.0,5.0,10.0,0.0,3.0,8.0,4.0,96.0,158.0,61.0,1.0,12.0,4.0,16.0,1.0,3.0,35.0,8.0,0.0,13.0,10.0,5.0,30.0,1.0958,206.0,,0.0,0.0,165.0,12.0,0.0,1.0,0.0,2.0,,80.0,77.0,7.0,69.0,25.0,24.0,7.0,1.0,0.0,0.0,7.0,,158.0,6.0,0.0,97.0,609.0,7.0,8.0,16.0,14.0,307.0,21.0,2.0,7.0,3.0,2.0,2.0,1.0,0.551489,22.0,399.0,0.0277,57.0,1.0,,34.53,490094,2.0,115.0,,16.0,,,132.0,2.0,104425.45,0.0,10.0,7.0,44.0,0.0,0.0,1.0,4.0,0.0,13.0,5.0,6.0,1.0,0.0,55.0,316.0,7.0,5.0,1.0,23.0,4.0,69.0,0.0,0.0,,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,47.8,18.0,1.0,3.0,4.0,6.0,30.0,10.0,,,413.0,,14.0,3.0,15.0,2.0,40.0,2.0,2.0,316.0,8.0,4.0,27.0,119.0,29.0,,7.0,18.0,0.0,1.0,7.0,2.0,19.0,0.6346,,10.0,10.0,,1.0,,,,1.0,1.0,,,3.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,
28,2562173,2026-02-28 15:00:00,"St. James' Park, Newcastle",52514.0,Away,Everton,Newcastle United,3,2,W,2.0,1.0,0,0,1.0,,54.0,0.0,3.0,2.0,,2.8706,18.0,41.0,4.0,4.0,5.0,4.0,0.0,,138.0,0.0,2.0,12.0,3.0,1.0,8.0,5.0,56.0,125.0,80.0,,9.0,1.0,16.0,1.0,,4.0,14.0,0.0,41.0,2.0,13.0,27.0,0.6783,119.0,,0.0,0.0,89.0,7.0,0.0,1.0,0.0,1.0,,65.0,32.0,5.0,55.0,2.0,13.0,4.0,,0.0,0.0,,2.0,125.0,7.0,1.0,62.0,514.0,6.0,2.0,11.0,9.0,214.0,25.0,6.0,21.0,,3.0,5.0,3.0,0.911953,13.0,284.0,,47.0,1.0,,34.7,486385,2.0,114.0,1.0,1.0,,,131.0,6.0,108284.67,1.0,7.0,8.0,48.0,0.0,1.0,4.0,3.0,2.0,19.0,10.0,5.0,1.0,0.0,51.0,231.0,15.0,12.0,,23.0,1.0,59.0,0.0,1.0,1.0,0.0,,0.0,2.0,7.0,3.0,3.0,2.0,,0.0,1.0,1.0,33.9,8.0,,1.0,3.0,1.0,29.0,2.0,,,311.0,,9.0,8.0,13.0,3.0,9.0,1.0,,184.0,3.0,12.0,26.0,54.0,23.0,3.0,21.0,27.0,1.0,1.0,8.0,3.0,17.0,2.1268,3.0,7.0,2.0,,2.0,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,
29,2562178,2026-03-03 19:30:00,"Hill Dickinson Stadium, Liverpool",51959.0,Home,Everton,Burnley,2,0,W,1.0,0.0,0,0,0.0,,51.0,0.0,1.0,1.0,3.0,1.2279,26.0,25.0,5.0,6.0,9.0,2.0,1.0,,177.0,1.0,3.0,9.0,2.0,2.0,8.0,5.0,155.0,117.0,49.0,,14.0,1.0,12.0,2.0,,20.0,12.0,0.0,25.0,5.0,14.0,20.0,0.5364,285.0,1.0,0.0,0.0,199.0,10.0,0.0,1.0,1.0,3.0,,134.0,64.0,6.0,90.0,15.0,12.0,5.0,,0.0,0.0,5.0,2.0,117.0,3.0,0.0,159.0,772.0,3.0,2.0,24.0,10.0,492.0,18.0,7.0,15.0,,0.0,,2.0,0.848394,22.0,563.0,,67.0,2.0,,33.28,480455,5.0,227.0,,7.0,5.0,,244.0,4.0,115227.58,0.0,6.0,5.0,39.0,0.0,1.0,1.0,5.0,1.0,8.0,2.0,4.0,3.0,0.0,49.0,509.0,12.0,1.0,3.0,19.0,3.0,69.0,0.0,0.0,,0.0,,0.0,,3.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,55.4,20.0,1.0,8.0,5.0,4.0,48.0,6.0,,,581.0,,10.0,9.0,13.0,5.0,34.0,,2.0,357.0,5.0,13.0,10.0,158.0,19.0,,15.0,18.0,1.0,0.0,5.0,5.0,17.0,1.3037,,6.0,6.0,,2.0,2.0,,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,
30,2562185,2026-03-14 17:30:00,"Emirates Stadium, London",60176.0,Away,Everton,Arsenal,0,2,L,0.0,0.0,0,0,0.0,,39.0,0.0,0.0,2.0,3.0,0.4285,14.0,33.0,4.0,5.0,5.0,4.0,0.0,2.0,136.0,0.0,2.0,5.0,0.0,2.0,4.0,3.0,57.0,129.0,48.0,,9.0,1.0,21.0,1.0,,9.0,8.0,0.0,33.0,3.0,10.0,26.0,2.2378,94.0,,0.0,0.0,85.0,12.0,0.0,2.0,0.0,1.0,,61.0,26.0,3.0,55.0,6.0,15.0,4.0,,0.0,0.0,2.0,,129.0,12.0,0.0,73.0,521.0,4.0,4.0,15.0,16.0,226.0,22.0,4.0,17.0,,0.0,9.0,1.0,0.132144,18.0,295.0,,48.0,1.0,,34.57,513466,4.0,146.0,2.0,3.0,,,174.0,4.0,109695.95,0.0,10.0,12.0,56.0,0.0,0.0,1.0,2.0,0.0,12.0,13.0,7.0,,0.0,53.0,238.0,11.0,7.0,,28.0,3.0,69.0,0.0,0.0,2.0,0.0,,0.0,3.0,8.0,3.0,0.0,2.0,1.0,0.0,2.0,,35.5,11.0,,2.0,2.0,4.0,30.0,3.0,,,321.0,,16.0,11.0,10.0,2.0,19.0,,1.0,156.0,4.0,7.0,17.0,46.0,10.0,4.0,17.0,15.0,0.0,2.0,6.0,4.0,10.0,1.0548,4.0,10.0,3.0,,1.0,,,,,,,1.0,2.0,,,1.0,3.0,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
31,2562198,2026-03-21 17:30:00,"Hill Dickinson Stadium, Liverpool",52547.0,Home,Everton,Chelsea,3,0,W,1.0,0.0,0,0,0.0,,47.0,0.0,1.0,,1.0,2.0281,20.0,29.0,1.0,3.0,9.0,4.0,0.0,2.0,132.0,1.0,6.0,8.0,3.0,2.0,9.0,9.0,95.0,115.0,49.0,,10.0,,14.0,5.0,,18.0,11.0,1.0,29.0,2.0,6.0,27.0,1.0671,147.0,,0.0,0.0,106.0,6.0,0.0,2.0,1.0,2.0,1.0,59.0,29.0,9.0,51.0,16.0,19.0,1.0,,0.0,0.0,4.0,,115.0,9.0,0.0,114.0,574.0,5.0,1.0,25.0,7.0,306.0,29.0,3.0,18.0,,0.0,2.0,,0.600418,16.0,375.0,,43.0,,1.0,33.13,232928,7.0,177.0,1.0,10.0,,,203.0,3.0,111335.61,3.0,9.0,8.0,44.0,0.0,0.0,,1.0,3.0,12.0,3.0,7.0,,0.0,53.0,318.0,6.0,9.0,1.0,23.0,1.0,48.0,0.0,0.0,2.0,0.0,1.0,0.0,,9.0,4.0,3.0,0.0,,0.0,5.0,2.0,36.4,14.0,,5.0,1.0,1.0,25.0,3.0,,1.0,392.0,,7.0,11.0,14.0,,30.0,1.0,,207.0,5.0,6.0,13.0,76.0,10.0,6.0,18.0,22.0,0.0,0.0,8.0,4.0,12.0,1.176,6.0,9.0,3.0,,3.0,1.0,1.0,,3.0,,3.0,,1.0,1.0,4.0,,2.0,,1.0,3.0,2.0,1.0,3.0,,2.0,,,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
32,2562206,2026-04-11 15:00:00,"Gtech Community Stadium, Brentford",17220.0,Away,Everton,Brentford,2,2,D,1.0,1.0,0,0,0.0,,49.0,2.0,0.0,,2.0,2.1859,14.0,44.0,5.0,7.0,9.0,2.0,1.0,3.0,146.0,0.0,2.0,2.0,2.0,,10.0,7.0,76.0,138.0,41.0,,14.0,2.0,16.0,5.0,,20.0,9.0,0.0,44.0,3.0,6.0,22.0,1.6314,141.0,2.0,0.0,0.0,126.0,7.0,0.0,2.0,1.0,,1.0,49.0,41.0,7.0,62.0,17.0,14.0,5.0,,0.0,0.0,5.0,3.0,138.0,12.0,0.0,92.0,577.0,9.0,4.0,22.0,7.0,288.0,14.0,3.0,24.0,,2.0,5.0,3.0,0.842972,22.0,356.0,,54.0,,,32.63,486385,4.0,165.0,1.0,12.0,,1.0,181.0,3.0,110258.88,0.0,7.0,10.0,46.0,0.0,0.0,1.0,3.0,2.0,22.0,5.0,10.0,,0.0,41.0,304.0,6.0,8.0,,17.0,,62.0,0.0,0.0,,0.0,,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,45.3,13.0,,5.0,3.0,4.0,33.0,3.0,1.0,1.0,376.0,1.0,7.0,13.0,9.0,3.0,33.0,1.0,,215.0,6.0,4.0,17.0,85.0,26.0,,24.0,16.0,1.0,2.0,14.0,3.0,4.0,1.5327,,7.0,3.0,,2.0,1.0,,,4.0,1.0,1.0,1.0,,,4.0,3.0,,,1.0,1.0,,2.0,4.0,,1.0,,,2.0,1.0,,4.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,2562219,2026-04-19 14:00:00,"Hill Dickinson Stadium, Liverpool",52585.0,Home,Everton,Liverpool,1,2,L,0.0,1.0,0,0,0.0,,54.0,0.0,1.0,1.0,,1.5576,25.0,28.0,3.0,3.0,7.0,3.0,0.0,1.0,154.0,0.0,4.0,4.0,1.0,1.0,9.0,4.0,66.0,140.0,63.0,,10.0,1.0,14.0,3.0,2.0,16.0,18.0,0.0,28.0,1.0,8.0,29.0,1.4575,136.0,1.0,0.0,0.0,113.0,8.0,0.0,1.0,0.0,,,82.0,34.0,5.0,68.0,15.0,14.0,3.0,,0.0,0.0,7.0,2.0,140.0,7.0,0.0,89.0,570.0,8.0,5.0,20.0,10.0,272.0,24.0,4.0,17.0,2.0,2.0,5.0,4.0,0.987383,18.0,354.0,,64.0,,1.0,33.89,486385,4.0,156.0,1.0,8.0,1.0,,177.0,4.0,109970.76,1.0,7.0,5.0,37.0,0.0,0.0,4.0,4.0,1.0,21.0,7.0,3.0,1.0,0.0,65.0,288.0,11.0,5.0,,28.0,,63.0,0.0,0.0,1.0,0.0,,0.0,,6.0,3.0,1.0,2.0,1.0,0.0,4.0,3.0,43.6,16.0,1.0,4.0,4.0,1.0,26.0,1.0,,,377.0,,10.0,6.0,14.0,5.0,28.0,,3.0,216.0,4.0,7.0,19.0,65.0,18.0,,17.0,29.0,0.0,2.0,8.0,3.0,10.0,0.7924,,7.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,,,,,2.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
34,2562233,2026-04-25 15:00:00,"London Stadium, London",62454.0,Away,Everton,West Ham United,1,2,L,0.0,0.0,0,0,0.0,1.0,39.0,0.0,0.0,,4.0,0.4703,24.0,21.0,3.0,4.0,8.0,1.0,1.0,,166.0,0.0,1.0,10.0,1.0,1.0,9.0,3.0,118.0,132.0,58.0,,11.0,1.0,15.0,1.0,,19.0,10.0,0.0,21.0,3.0,8.0,24.0,1.8754,229.0,,0.0,0.0,141.0,11.0,0.0,,1.0,1.0,2.0,99.0,61.0,7.0,67.0,16.0,17.0,3.0,,0.0,0.0,7.0,1.0,132.0,9.0,0.0,126.0,653.0,8.0,11.0,28.0,6.0,377.0,17.0,2.0,13.0,,4.0,3.0,2.0,2.06535,23.0,455.0,,58.0,,,34.99,490094,3.0,169.0,1.0,8.0,1.0,,195.0,6.0,104971.33,0.0,6.0,9.0,59.0,0.0,0.0,2.0,5.0,1.0,8.0,1.0,8.0,,0.0,51.0,397.0,9.0,12.0,,19.0,3.0,63.0,1.0,0.0,1.0,0.0,,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,,1.0,56.0,21.0,,4.0,5.0,5.0,44.0,4.0,,2.0,477.0,,6.0,15.0,18.0,3.0,38.0,1.0,2.0,301.0,6.0,8.0,22.0,105.0,13.0,,13.0,17.0,0.0,2.0,7.0,3.0,17.0,1.4534,,6.0,4.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0,,3.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2562240,2026-05-04 20:00:00,"Hill Dickinson Stadium, Liverpool",52257.0,Home,Everton,Manchester City,3,3,D,0.0,1.0,0,0,1.0,1.0,41.0,1.0,0.0,,5.0,3.72,18.0,22.0,3.0,6.0,10.0,1.0,1.0,2.0,85.0,1.0,3.0,3.0,3.0,,7.0,6.0,38.0,112.0,52.0,,14.0,1.0,15.0,2.0,,7.0,13.0,0.0,22.0,5.0,2.0,15.0,2.2117,66.0,,0.0,0.0,61.0,15.0,0.0,,0.0,,,30.0,22.0,6.0,25.0,2.0,14.0,4.0,,0.0,0.0,,2.0,112.0,13.0,2.0,53.0,381.0,5.0,7.0,16.0,4.0,121.0,13.0,4.0,9.0,,4.0,9.0,1.0,0.262443,18.0,176.0,,41.0,,,35.03,490094,7.0,75.0,1.0,2.0,,,82.0,8.0,110330.72,1.0,9.0,12.0,64.0,0.0,1.0,4.0,5.0,1.0,17.0,8.0,9.0,1.0,0.0,45.0,138.0,5.0,16.0,1.0,18.0,2.0,54.0,1.0,0.0,,0.0,1.0,0.0,,9.0,1.0,3.0,3.0,2.0,0.0,,2.0,24.5,12.0,,4.0,5.0,6.0,22.0,5.0,,,201.0,,4.0,11.0,7.0,2.0,20.0,3.0,,126.0,6.0,1.0,18.0,27.0,15.0,4.0,9.0,26.0,1.0,2.0,10.0,4.0,10.0,2.7173,4.0,9.0,5.0,,1.0,3.0,,,3.0,1.0,,,1.0,,3.0,1.0,,,2.0,1.0,,,3.0,,1.0,1.0,,2.0,2.0,,1.0,,,,,,1.0,1.0,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0
37,2562260,2026-05-17 15:00:00,"Hill Dickinson Stadium, Liverpool",,Home,Everton,Sunderland,0,0,D,,,0,0,0.0,,40.0,0.0,0.0,,1.0,0.9937,18.0,35.0,4.0,2.0,6.0,,1.0,1.0,128.0,0.0,7.0,5.0,1.0,2.0,9.0,4.0,92.0,105.0,40.0,,10.0,1.0,13.0,2.0,1.0,18.0,9.0,1.0,35.0,2.0,10.0,22.0,1.2772,196.0,,1.0,0.0,146.0,14.0,0.0,,1.0,2.0,,72.0,44.0,5.0,75.0,16.0,7.0,4.0,,0.0,0.0,5.0,1.0,105.0,5.0,0.0,112.0,580.0,7.0,1.0,15.0,10.0,333.0,21.0,2.0,22.0,1.0,3.0,,4.0,1.34817,20.0,388.0,,69.0,,1.0,33.45,232928,2.0,157.0,2.0,9.0,1.0,,164.0,5.0,107142.45,0.0,6.0,5.0,39.0,0.0,0.0,,4.0,0.0,14.0,2.0,2.0,,0.0,56.0,346.0,9.0,3.0,1.0,20.0,,66.0,0.0,0.0,,0.0,,0.0,1.0,2.0,,0.0,3.0,,0.0,6.0,4.0,47.5,12.0,2.0,3.0,4.0,2.0,27.0,3.0,,,407.0,,10.0,5.0,8.0,4.0,30.0,1.0,3.0,261.0,4.0,9.0,14.0,107.0,10.0,1.0,22.0,13.0,0.0,3.0,7.0,4.0,10.0,1.0427,1.0,6.0,3.0,,,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,2.0,,,2.0,1.0,,2.0,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
38,2562273,2026-05-24 16:00:00,"Tottenham Hotspur Stadium, London",,Away,Everton,Tottenham Hotspur,0,0,D,,,0,0,0.0,,38.0,0.0,0.0,,2.0,0.0461,16.0,26.0,2.0,3.0,8.0,1.0,0.0,1.0,126.0,0.0,7.0,7.0,0.0,2.0,9.0,1.0,97.0,119.0,64.0,,10.0,1.0,23.0,1.0,1.0,23.0,10.0,0.0,26.0,5.0,4.0,22.0,0.7712,191.0,,0.0,0.0,134.0,18.0,0.0,,0.0,3.0,,62.0,75.0,4.0,64.0,18.0,14.0,2.0,,0.0,0.0,7.0,1.0,119.0,15.0,0.0,97.0,574.0,7.0,5.0,17.0,4.0,297.0,13.0,6.0,17.0,1.0,2.0,8.0,5.0,0.915362,18.0,359.0,,55.0,3.0,,34.27,232928,7.0,132.0,,8.0,2.0,,139.0,8.0,100277.5,0.0,5.0,8.0,70.0,0.0,0.0,,4.0,0.0,8.0,5.0,6.0,2.0,0.0,47.0,316.0,12.0,8.0,2.0,25.0,2.0,65.0,0.0,0.0,,0.0,2.0,0.0,,7.0,1.0,0.0,1.0,2.0,0.0,7.0,6.0,50.2,12.0,5.0,2.0,4.0,3.0,33.0,7.0,,,384.0,,4.0,12.0,10.0,6.0,29.0,,5.0,268.0,1.0,4.0,23.0,95.0,18.0,5.0,17.0,22.0,0.0,1.0,4.0,5.0,16.0,0.4145,5.0,5.0,7.0,,,,,,,,,3.0,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
