gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,goalAssistOpenplay,attOboxTarget,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,expectedGoalsFreekick,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalPullBack,totalOffside,forwardGoals,ptsDroppedWinningPos,errorLeadToGoal,bigChanceScored,shotFastbreak,accurateKeeperSweeper,goalFastbreak,attSvHighRight,cleanSheet,penaltyWon,totalFastbreak,totalKeeperSweeper,attFastbreak,goalAssistIntentional,goalAssistSetplay,goalAssistDeadball,attMissHighRight,accurateThroughBall,attCmissHighRight,foulThrowIn,savedObox,ptsGainedLosingPos,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,postScoringAtt,attIboxPost,hitWoodwork,attFreekickTarget,attPostRight,handBall,attCmissHigh,secondYellow,attObxLeft,attIboxOwnGoal,attOneOnOne,attOboxPost,attPostHigh,attObxRight,attCmissHighLeft,attPostLeft,attLgCentre,attHdPost
25,2562138,2026-02-07 15:00:00,"Turf Moor, Burnley",21273.0,Away,West Ham United,Burnley,2,0,W,2.0,0.0,0,0,0.0,,55.0,0.0,1.0,,1.0919,18.0,34.0,3.0,1.0,3.0,5.0,0.0,2.0,137.0,1.0,2.0,11.0,2.0,1.0,5.0,,4.0,105.0,126.0,40.0,6.0,,11.0,1.0,,1.0,1.0,8.0,10.0,0.0,34.0,2.0,6.0,22.0,0.626,136.0,0.0,0.0,97.0,10.0,0.0,1.0,,1.0,1.0,1.0,2.0,41.0,63.0,3.0,65.0,3.0,,6.0,14.0,3.0,0.0,0.0,3.0,2.0,126.0,11.0,0.0,117.0,629.0,3.0,5.0,16.0,,17.0,338.0,25.0,7.0,13.0,1.0,8.0,2.0,0.66098,18.0,405.0,53.0,34.29,450070,2.0,211.0,2.0,,,231.0,7.0,115746.77,1.0,6.0,5.0,44.0,0.0,1.0,0.0,7.0,2.0,17.0,7.0,2.0,1.0,0.0,60.0,345.0,10.0,7.0,,31.0,,70.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,46.1,12.0,,3.0,1.0,,7.0,,33.0,2.0,2.0,424.0,17.0,6.0,8.0,2.0,14.0,1.0,,201.0,4.0,6.0,5.0,59.0,14.0,4.0,13.0,14.0,1.0,0.0,6.0,5.0,21.0,0.6946,4.0,6.0,2.0,,,2.0,1.0,,2.0,,1.0,2.0,,,2.0,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,1.0,,2.0,2.0,1.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,
26,2562154,2026-02-10 20:15:00,"London Stadium, London",62473.0,Home,West Ham United,Manchester United,1,1,D,0.0,0.0,0,0,0.0,,45.0,1.0,0.0,2.0,1.4547,21.0,24.0,3.0,3.0,4.0,2.0,1.0,2.0,118.0,0.0,3.0,4.0,1.0,2.0,5.0,,3.0,67.0,118.0,33.0,7.0,1.0,12.0,,1.0,,,14.0,10.0,0.0,24.0,4.0,4.0,23.0,0.4811,140.0,0.0,0.0,87.0,10.0,0.0,2.0,,1.0,,2.0,1.0,45.0,57.0,4.0,58.0,5.0,1.0,10.0,18.0,3.0,0.0,0.0,2.0,,118.0,8.0,0.0,86.0,506.0,4.0,4.0,9.0,,16.0,246.0,20.0,8.0,10.0,1.0,3.0,1.0,0.781716,14.0,310.0,47.0,33.47,159533,2.0,124.0,6.0,,,141.0,5.0,112623.61,0.0,13.0,11.0,50.0,0.0,,0.0,6.0,1.0,14.0,1.0,8.0,,0.0,46.0,261.0,4.0,10.0,,22.0,,56.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,34.9,10.0,1.0,2.0,,,6.0,3.0,24.0,5.0,1.0,329.0,16.0,11.0,10.0,1.0,15.0,,1.0,202.0,3.0,2.0,10.0,61.0,14.0,,10.0,15.0,0.0,1.0,7.0,5.0,12.0,1.1087,,13.0,5.0,,,1.0,2.0,,2.0,,,1.0,,,,1.0,,1.0,,2.0,,1.0,3.0,,,1.0,,,3.0,,3.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,
27,2562164,2026-02-21 17:30:00,"London Stadium, London",62437.0,Home,West Ham United,Bournemouth,0,0,D,0.0,0.0,0,0,0.0,,58.0,0.0,0.0,5.0,1.5778,15.0,30.0,4.0,2.0,16.0,5.0,0.0,2.0,147.0,0.0,8.0,5.0,0.0,1.0,16.0,1.0,3.0,81.0,149.0,63.0,20.0,2.0,11.0,3.0,1.0,2.0,3.0,22.0,13.0,0.0,30.0,9.0,8.0,38.0,0.2981,125.0,0.0,0.0,101.0,10.0,0.0,1.0,,0.0,1.0,1.0,1.0,34.0,68.0,9.0,42.0,,1.0,13.0,21.0,4.0,0.0,0.0,2.0,2.0,149.0,4.0,0.0,64.0,550.0,11.0,6.0,35.0,1.0,8.0,230.0,20.0,,21.0,1.0,4.0,7.0,2.01453,17.0,320.0,51.0,33.46,233963,3.0,125.0,10.0,4.0,3.0,144.0,2.0,108533.1,0.0,6.0,2.0,44.0,0.0,,0.0,8.0,0.0,15.0,6.0,1.0,4.0,0.0,41.0,242.0,11.0,7.0,5.0,17.0,4.0,61.0,0.0,0.0,,1.0,0.0,2.0,0.0,3.0,5.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,5.0,42.0,12.0,2.0,7.0,4.0,,9.0,7.0,27.0,9.0,1.0,334.0,8.0,9.0,18.0,10.0,34.0,3.0,8.0,212.0,13.0,7.0,27.0,53.0,20.0,2.0,21.0,21.0,0.0,0.0,13.0,2.0,13.0,3.274,2.0,6.0,9.0,,,,,,2.0,,2.0,,,1.0,,3.0,,2.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,
28,2562171,2026-02-28 15:00:00,"Anfield, Liverpool",60425.0,Away,West Ham United,Liverpool,2,5,L,0.0,3.0,0,0,0.0,1.0,52.0,0.0,0.0,2.0,1.951,25.0,19.0,3.0,1.0,8.0,2.0,0.0,1.0,143.0,0.0,4.0,6.0,2.0,,8.0,,4.0,120.0,145.0,49.0,11.0,1.0,11.0,1.0,,1.0,1.0,21.0,8.0,1.0,19.0,5.0,12.0,40.0,2.4318,156.0,0.0,0.0,116.0,11.0,0.0,2.0,,1.0,1.0,,1.0,42.0,64.0,5.0,65.0,2.0,,16.0,24.0,3.0,0.0,0.0,7.0,1.0,145.0,14.0,0.0,94.0,628.0,5.0,5.0,31.0,,13.0,313.0,22.0,6.0,13.0,2.0,7.0,3.0,0.810327,21.0,399.0,51.0,32.96,602903,3.0,180.0,9.0,,,195.0,4.0,109321.6,1.0,12.0,4.0,46.0,1.0,2.0,0.0,5.0,1.0,13.0,5.0,4.0,2.0,0.0,57.0,332.0,12.0,4.0,1.0,22.0,4.0,53.0,1.0,0.0,,,0.0,1.0,0.0,,10.0,2.0,2.0,5.0,,0.0,2.0,,3.0,50.9,18.0,1.0,4.0,1.0,1.0,5.0,3.0,24.0,5.0,1.0,422.0,13.0,16.0,19.0,4.0,25.0,2.0,3.0,248.0,7.0,11.0,18.0,67.0,19.0,3.0,13.0,13.0,1.0,5.0,7.0,3.0,11.0,1.8552,3.0,12.0,5.0,,,1.0,1.0,,2.0,,1.0,2.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,
29,2562179,2026-03-04 19:30:00,"Craven Cottage, London",27191.0,Away,West Ham United,Fulham,1,0,W,0.0,0.0,0,0,0.0,,49.0,1.0,0.0,,1.1335,13.0,31.0,3.0,2.0,6.0,5.0,1.0,1.0,144.0,0.0,2.0,8.0,1.0,3.0,8.0,,3.0,89.0,130.0,40.0,9.0,2.0,16.0,2.0,1.0,,1.0,15.0,4.0,0.0,31.0,5.0,7.0,18.0,0.5562,108.0,0.0,0.0,82.0,12.0,0.0,1.0,1.0,1.0,,1.0,1.0,39.0,54.0,5.0,60.0,2.0,1.0,10.0,13.0,3.0,0.0,0.0,4.0,1.0,130.0,10.0,0.0,86.0,568.0,6.0,3.0,13.0,1.0,14.0,287.0,21.0,2.0,15.0,4.0,4.0,3.0,0.682002,16.0,357.0,42.0,32.56,613804,4.0,196.0,5.0,,,219.0,5.0,113564.09,0.0,6.0,7.0,41.0,0.0,,0.0,8.0,1.0,17.0,3.0,6.0,1.0,0.0,42.0,302.0,14.0,6.0,1.0,22.0,1.0,60.0,0.0,0.0,,,0.0,,0.0,,7.0,4.0,1.0,0.0,,0.0,1.0,1.0,1.0,40.3,9.0,,3.0,,1.0,8.0,2.0,33.0,5.0,1.0,379.0,14.0,5.0,9.0,4.0,25.0,1.0,3.0,175.0,6.0,6.0,13.0,48.0,16.0,2.0,15.0,7.0,0.0,0.0,8.0,4.0,12.0,1.0874,2.0,6.0,5.0,,,1.0,,,3.0,,,1.0,,,,2.0,,7.0,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
30,2562194,2026-03-14 20:00:00,"London Stadium, London",62459.0,Home,West Ham United,Manchester City,1,1,D,1.0,1.0,0,0,0.0,,44.0,0.0,0.0,,0.9905,13.0,34.0,,,1.0,5.0,0.0,,115.0,0.0,1.0,5.0,1.0,,1.0,,1.0,69.0,118.0,41.0,1.0,,18.0,,,,,6.0,15.0,0.0,34.0,1.0,7.0,27.0,1.8585,60.0,0.0,0.0,52.0,14.0,0.0,3.0,,0.0,,,2.0,7.0,58.0,1.0,47.0,1.0,,5.0,24.0,,0.0,0.0,3.0,,118.0,19.0,0.0,73.0,494.0,,4.0,6.0,,12.0,214.0,25.0,5.0,19.0,2.0,7.0,,0.256503,21.0,283.0,32.0,34.45,159533,,165.0,2.0,,,191.0,8.0,113849.13,0.0,12.0,10.0,51.0,0.0,,1.0,5.0,0.0,15.0,5.0,5.0,,0.0,48.0,224.0,4.0,12.0,,21.0,1.0,47.0,1.0,0.0,,,0.0,,0.0,,15.0,4.0,1.0,1.0,,0.0,,,1.0,28.5,14.0,,1.0,,,5.0,,14.0,1.0,2.0,304.0,12.0,6.0,6.0,,12.0,1.0,,119.0,,6.0,7.0,26.0,10.0,3.0,19.0,25.0,1.0,1.0,,3.0,7.0,0.5364,3.0,12.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,3.0,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
31,2562196,2026-03-22 14:15:00,"Villa Park, Birmingham",42130.0,Away,West Ham United,Aston Villa,0,2,L,0.0,1.0,0,0,1.0,,37.0,0.0,0.0,4.0,0.156,23.0,21.0,1.0,4.0,8.0,4.0,0.0,,112.0,0.0,6.0,9.0,0.0,,7.0,,1.0,92.0,105.0,39.0,9.0,1.0,14.0,1.0,2.0,1.0,1.0,19.0,8.0,0.0,21.0,5.0,5.0,26.0,1.4221,136.0,0.0,0.0,73.0,7.0,0.0,3.0,,0.0,,,1.0,41.0,55.0,6.0,52.0,2.0,,14.0,14.0,1.0,0.0,0.0,4.0,,105.0,12.0,0.0,86.0,510.0,5.0,2.0,19.0,1.0,10.0,269.0,14.0,8.0,11.0,1.0,8.0,1.0,0.809758,14.0,322.0,35.0,33.3,159533,4.0,153.0,10.0,1.0,,175.0,4.0,106480.82,0.0,8.0,12.0,45.0,0.0,,0.0,6.0,0.0,8.0,11.0,7.0,1.0,0.0,49.0,283.0,3.0,6.0,2.0,15.0,2.0,41.0,0.0,0.0,,,0.0,1.0,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,4.0,,4.0,41.1,11.0,1.0,3.0,1.0,,6.0,5.0,26.0,6.0,1.0,342.0,10.0,12.0,10.0,3.0,30.0,2.0,3.0,186.0,1.0,4.0,14.0,49.0,13.0,1.0,11.0,13.0,0.0,1.0,6.0,4.0,15.0,0.8501,1.0,8.0,6.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,4.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
32,2562214,2026-04-10 20:00:00,"London Stadium, London",62457.0,Home,West Ham United,Wolverhampton Wanderers,4,0,W,1.0,0.0,0,0,0.0,1.0,47.0,4.0,0.0,3.0,3.4491,28.0,21.0,2.0,6.0,14.0,4.0,0.0,2.0,127.0,0.0,4.0,5.0,4.0,,16.0,,7.0,67.0,116.0,49.0,18.0,1.0,12.0,2.0,3.0,2.0,2.0,17.0,9.0,0.0,21.0,5.0,14.0,35.0,0.4503,124.0,0.0,0.0,95.0,11.0,0.0,1.0,,0.0,,,,53.0,43.0,9.0,60.0,,1.0,12.0,13.0,4.0,0.0,0.0,2.0,2.0,116.0,9.0,0.0,101.0,546.0,13.0,3.0,24.0,,5.0,276.0,22.0,1.0,13.0,2.0,3.0,7.0,0.890536,25.0,335.0,53.0,33.38,450070,8.0,168.0,10.0,,2.0,188.0,5.0,109825.56,3.0,6.0,10.0,49.0,0.0,6.0,2.0,3.0,2.0,16.0,5.0,5.0,3.0,0.0,60.0,288.0,7.0,10.0,,13.0,3.0,48.0,0.0,0.0,1.0,,0.0,,0.0,1.0,2.0,1.0,4.0,0.0,,0.0,4.0,,2.0,44.1,23.0,1.0,3.0,2.0,,3.0,4.0,22.0,5.0,,355.0,5.0,9.0,18.0,7.0,27.0,,4.0,184.0,10.0,12.0,14.0,59.0,18.0,2.0,13.0,23.0,1.0,0.0,13.0,4.0,13.0,2.3507,2.0,6.0,5.0,,,2.0,1.0,,5.0,,,3.0,,,2.0,3.0,,,2.0,,,3.0,5.0,1.0,1.0,,1.0,,6.0,1.0,5.0,3.0,1.0,,,3.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,1.0,2.0,
33,2562218,2026-04-20 20:00:00,"Selhurst Park, London",24974.0,Away,West Ham United,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,,54.0,0.0,0.0,2.0,0.1979,19.0,30.0,2.0,2.0,7.0,1.0,0.0,2.0,143.0,0.0,4.0,10.0,0.0,2.0,4.0,,4.0,74.0,156.0,55.0,9.0,1.0,17.0,4.0,2.0,4.0,2.0,30.0,13.0,0.0,30.0,6.0,11.0,37.0,0.0491,126.0,0.0,0.0,121.0,12.0,0.0,1.0,,0.0,1.0,2.0,1.0,42.0,77.0,4.0,62.0,,,24.0,22.0,2.0,0.0,0.0,9.0,2.0,156.0,5.0,0.0,87.0,570.0,4.0,9.0,28.0,2.0,6.0,258.0,13.0,1.0,20.0,1.0,1.0,,0.371922,17.0,344.0,54.0,32.12,613804,5.0,149.0,13.0,,,167.0,5.0,111353.49,0.0,9.0,10.0,44.0,0.0,,0.0,10.0,0.0,17.0,4.0,5.0,1.0,0.0,60.0,271.0,12.0,4.0,,15.0,2.0,69.0,0.0,0.0,,,0.0,,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,4.0,,2.0,45.8,15.0,,6.0,,,10.0,2.0,29.0,6.0,2.0,366.0,6.0,6.0,17.0,3.0,31.0,,1.0,229.0,5.0,10.0,17.0,72.0,23.0,1.0,20.0,16.0,0.0,0.0,6.0,2.0,17.0,0.6136,1.0,9.0,6.0,,,,,,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,2.0,1.0,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
34,2562233,2026-04-25 15:00:00,"London Stadium, London",62454.0,Home,West Ham United,Everton,2,1,W,0.0,0.0,0,0,0.0,,43.0,0.0,0.0,2.0,1.8754,18.0,27.0,1.0,3.0,9.0,1.0,0.0,1.0,139.0,1.0,4.0,12.0,2.0,2.0,8.0,,3.0,85.0,119.0,59.0,10.0,1.0,22.0,1.0,1.0,,1.0,12.0,14.0,1.0,27.0,3.0,8.0,31.0,0.4703,156.0,0.0,0.0,119.0,9.0,0.0,1.0,,1.0,1.0,2.0,1.0,53.0,70.0,6.0,65.0,1.0,1.0,9.0,15.0,1.0,0.0,0.0,3.0,,119.0,8.0,1.0,85.0,578.0,5.0,3.0,23.0,,10.0,290.0,18.0,4.0,19.0,3.0,6.0,2.0,1.63081,16.0,353.0,56.0,33.85,450070,3.0,149.0,4.0,,1.0,167.0,7.0,106696.31,1.0,9.0,8.0,58.0,0.0,,0.0,7.0,1.0,16.0,3.0,4.0,1.0,0.0,57.0,301.0,10.0,10.0,1.0,20.0,3.0,57.0,0.0,0.0,,,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,44.0,13.0,1.0,1.0,2.0,,7.0,3.0,28.0,3.0,2.0,374.0,10.0,6.0,9.0,4.0,27.0,2.0,4.0,219.0,5.0,8.0,15.0,83.0,17.0,2.0,19.0,22.0,1.0,1.0,6.0,3.0,23.0,1.1747,2.0,9.0,3.0,,,1.0,,,3.0,,,2.0,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
35,2562238,2026-05-02 15:00:00,"Gtech Community Stadium, Brentford",17194.0,Away,West Ham United,Brentford,0,3,L,0.0,1.0,0,0,0.0,1.0,41.0,0.0,0.0,,0.54,26.0,19.0,5.0,2.0,8.0,4.0,0.0,3.0,121.0,0.0,7.0,5.0,0.0,1.0,13.0,1.0,4.0,83.0,130.0,56.0,13.0,,19.0,2.0,1.0,1.0,1.0,21.0,15.0,0.0,19.0,6.0,9.0,25.0,1.4163,164.0,0.0,0.0,120.0,12.0,0.0,,,0.0,2.0,1.0,1.0,47.0,71.0,4.0,50.0,1.0,1.0,15.0,10.0,5.0,0.0,0.0,4.0,2.0,130.0,8.0,0.0,94.0,528.0,11.0,8.0,23.0,,8.0,254.0,11.0,8.0,12.0,3.0,3.0,9.0,0.552328,23.0,326.0,60.0,32.51,159533,6.0,112.0,11.0,,1.0,130.0,8.0,100776.15,0.0,3.0,11.0,56.0,1.0,1.0,0.0,6.0,0.0,10.0,7.0,5.0,4.0,0.0,56.0,269.0,6.0,7.0,2.0,20.0,2.0,59.0,0.0,0.0,,,0.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,1.0,4.0,51.6,19.0,3.0,3.0,1.0,1.0,7.0,,31.0,6.0,1.0,348.0,8.0,9.0,12.0,9.0,27.0,3.0,3.0,239.0,7.0,8.0,20.0,81.0,19.0,,12.0,25.0,0.0,3.0,11.0,5.0,15.0,0.9224,,3.0,6.0,,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,4.0,3.0,4.0,,2.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0
37,2562263,2026-05-17 17:30:00,"St. James' Park, Newcastle",,Away,West Ham United,Newcastle United,0,0,D,,,0,0,1.0,4.0,51.0,0.0,0.0,2.0,0.7856,20.0,19.0,5.0,5.0,10.0,4.0,0.0,2.0,143.0,0.0,6.0,8.0,1.0,2.0,8.0,1.0,8.0,94.0,131.0,51.0,15.0,2.0,8.0,6.0,1.0,3.0,,17.0,14.0,0.0,19.0,1.0,11.0,23.0,2.3304,207.0,1.0,0.0,139.0,11.0,0.0,1.0,1.0,0.0,2.0,,,77.0,58.0,7.0,60.0,,1.0,16.0,14.0,5.0,0.0,0.0,10.0,1.0,131.0,9.0,1.0,113.0,619.0,7.0,2.0,34.0,1.0,9.0,319.0,16.0,6.0,7.0,3.0,6.0,1.0,0.835868,20.0,387.0,62.0,33.33,75115,6.0,139.0,6.0,,,156.0,2.0,114222.13,1.0,10.0,11.0,48.0,0.0,3.0,0.0,4.0,1.0,20.0,6.0,10.0,1.0,0.0,52.0,340.0,8.0,6.0,,23.0,,59.0,1.0,0.0,,,0.0,,0.0,1.0,9.0,2.0,0.0,3.0,,0.0,6.0,4.0,2.0,44.8,17.0,1.0,10.0,2.0,1.0,4.0,4.0,29.0,1.0,,410.0,9.0,13.0,9.0,3.0,34.0,,1.0,271.0,8.0,9.0,15.0,105.0,20.0,,7.0,20.0,0.0,2.0,14.0,3.0,19.0,0.9522,,10.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,0.0477,,,1.0,1.0,2.0,,,2.0,,,2.0,,,,,,2.0,,,1.0,1.0,,,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,
38,2562274,2026-05-24 16:00:00,"London Stadium, London",,Home,West Ham United,Leeds United,0,0,D,,,0,0,0.0,1.0,50.0,1.0,1.0,2.0,3.2661,16.0,22.0,3.0,2.0,13.0,3.0,0.0,5.0,132.0,0.0,4.0,8.0,3.0,1.0,10.0,,9.0,74.0,135.0,44.0,16.0,1.0,15.0,5.0,1.0,,1.0,25.0,8.0,0.0,22.0,5.0,6.0,25.0,0.463,139.0,1.0,0.0,97.0,11.0,0.0,1.0,,1.0,3.0,1.0,3.0,72.0,42.0,7.0,44.0,,,20.0,17.0,3.0,0.0,0.0,5.0,,135.0,9.0,1.0,66.0,516.0,6.0,3.0,27.0,,7.0,227.0,21.0,4.0,12.0,0.0,4.0,3.0,0.895337,13.0,292.0,50.0,35.71,450070,4.0,104.0,15.0,1.0,,121.0,4.0,99698.81,2.0,5.0,7.0,53.0,0.0,2.0,0.0,6.0,1.0,13.0,4.0,,1.0,0.0,53.0,239.0,14.0,8.0,1.0,25.0,4.0,58.0,1.0,0.0,1.0,1.0,0.0,,0.0,,4.0,2.0,2.0,0.0,,0.0,2.0,1.0,4.0,42.2,11.0,2.0,2.0,2.0,1.0,7.0,3.0,24.0,6.0,4.0,316.0,7.0,12.0,13.0,4.0,28.0,2.0,4.0,220.0,10.0,6.0,10.0,66.0,17.0,1.0,12.0,12.0,1.0,0.0,12.0,2.0,17.0,2.6134,1.0,5.0,6.0,,,1.0,1.0,,3.0,,1.0,3.0,,,1.0,3.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
