gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissHighRight,penaltyWon,totalFastbreak,attMissRight,bigChanceCreated,goalAssist,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attFastbreak,overrun,accurateFlickOn,goalAssistIntentional,attHdMiss,forwardGoals,accurateKeeperSweeper,attSvLowLeft,interceptionsInBox,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attFreekickMiss,effectiveBlockedCross,blockedCross,handBall,accuratePullBack,postScoringAtt,attIboxPost,attHdTarget,hitWoodwork,attSvHighCentre,attPostRight,attOneOnOne,attSvHighRight,ptsGainedLosingPos,attCmissHigh,contentiousDecision,attPostLeft,attObxdLeft,attOboxPost,attCmissLeft,attSvHighLeft,attHdPost,attPostHigh,goalFastbreak,attLgCentre,attFreekickTarget,ptsDroppedWinningPos,attCmissHighRight,attObxRight,errorLeadToGoal,foulThrowIn,attCmissHighLeft,attObxdRight,clearanceOffLine,attIboxOwnGoal
25,2562136,2026-02-07 15:00:00,"Emirates Stadium, London",60312.0,Home,Arsenal,Sunderland,3,0,W,1.0,0.0,0,0,0.0,,1.0,52.0,2.0,0.0,1.0,3.0,1.2315,22.0,22.0,6.0,6.0,10.0,2.0,1.0,2.0,127.0,1.0,2.0,6.0,3.0,,11.0,5.0,101.0,121.0,46.0,,16.0,2.0,16.0,2.0,2.0,2.0,19.0,8.0,0.0,,22.0,5.0,4.0,26.0,0.5989,184.0,1.0,1.0,0.0,145.0,11.0,0.0,1.0,1.0,,1.0,66.0,66.0,7.0,46.0,14.0,22.0,6.0,,0.0,0.0,5.0,3.0,121.0,4.0,2.0,115.0,576.0,7.0,7.0,34.0,12.0,314.0,12.0,5.0,13.0,1.0,2.0,4.0,0.836723,12.0,375.0,,44.0,,34.07,224117,3.0,143.0,9.0,158.0,2.0,111906.79,2.0,12.0,4.0,45.0,0.0,1.0,0.0,3.0,7.0,3.0,20.0,1.0,4.0,,0.0,41.0,325.0,8.0,5.0,18.0,4.0,45.0,0.0,0.0,,0.0,,0.0,2.0,3.0,2.0,0.0,0.0,2.0,,1.0,49.3,9.0,6.0,4.0,7.0,5.0,25.0,5.0,2.0,389.0,12.0,8.0,15.0,6.0,35.0,,3.0,250.0,9.0,4.0,17.0,112.0,24.0,13.0,15.0,0.0,0.0,11.0,5.0,11.0,1.4922,12.0,5.0,,,2.0,2.0,2.0,3.0,,,3.0,4.0,1.0,3.0,,,,,,1.0,2.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,
26,2562146,2026-02-12 20:00:00,"Gtech Community Stadium, Brentford",17224.0,Away,Arsenal,Brentford,1,1,D,0.0,0.0,0,0,0.0,,,42.0,1.0,0.0,,2.0,0.9457,29.0,37.0,1.0,1.0,6.0,2.0,0.0,1.0,147.0,0.0,8.0,3.0,1.0,,7.0,2.0,115.0,120.0,58.0,,7.0,1.0,7.0,1.0,1.0,1.0,23.0,12.0,0.0,,37.0,4.0,6.0,28.0,1.8674,245.0,,0.0,0.0,176.0,11.0,0.0,2.0,1.0,,1.0,96.0,73.0,5.0,86.0,19.0,10.0,1.0,,0.0,0.0,5.0,,120.0,9.0,0.0,104.0,645.0,5.0,3.0,32.0,4.0,363.0,13.0,11.0,21.0,2.0,5.0,2.0,1.3716,19.0,429.0,,46.0,1.0,34.06,444145,3.0,147.0,14.0,166.0,5.0,112945.33,0.0,5.0,8.0,35.0,0.0,1.0,0.0,,5.0,0.0,23.0,3.0,8.0,1.0,0.0,48.0,384.0,12.0,6.0,22.0,2.0,56.0,0.0,0.0,,0.0,,0.0,6.0,2.0,1.0,1.0,0.0,6.0,1.0,2.0,59.2,18.0,5.0,2.0,6.0,3.0,38.0,4.0,2.0,452.0,4.0,6.0,16.0,2.0,29.0,2.0,2.0,309.0,4.0,5.0,21.0,138.0,14.0,21.0,22.0,1.0,1.0,4.0,4.0,8.0,0.6003,5.0,4.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,,2.0,,,,2.0,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,
27,2562163,2026-02-22 16:30:00,"Tottenham Hotspur Stadium, London",61439.0,Away,Arsenal,Tottenham Hotspur,4,1,W,1.0,1.0,0,0,0.0,,3.0,61.0,0.0,2.0,2.0,5.0,2.0643,17.0,15.0,6.0,6.0,13.0,4.0,0.0,3.0,178.0,1.0,3.0,4.0,4.0,1.0,13.0,7.0,121.0,160.0,71.0,,20.0,2.0,12.0,2.0,1.0,,15.0,21.0,0.0,1.0,15.0,5.0,10.0,21.0,1.657,242.0,,1.0,0.0,193.0,11.0,0.0,3.0,2.0,1.0,3.0,61.0,65.0,9.0,61.0,10.0,23.0,7.0,,1.0,0.0,3.0,3.0,160.0,3.0,0.0,120.0,701.0,11.0,6.0,45.0,8.0,361.0,8.0,5.0,6.0,1.0,1.0,4.0,1.42071,16.0,456.0,,80.0,2.0,33.31,204480,7.0,139.0,6.0,158.0,6.0,117633.5,4.0,10.0,4.0,49.0,0.0,5.0,0.0,,9.0,4.0,17.0,3.0,4.0,,0.0,50.0,378.0,16.0,2.0,30.0,1.0,71.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,60.1,14.0,19.0,1.0,9.0,7.0,39.0,5.0,3.0,480.0,8.0,12.0,11.0,6.0,25.0,1.0,3.0,337.0,12.0,7.0,20.0,137.0,21.0,6.0,31.0,0.0,1.0,18.0,4.0,16.0,2.0667,10.0,5.0,,,4.0,1.0,4.0,2.0,,,1.0,5.0,4.0,2.0,,3.0,1.0,,3.0,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
28,2562166,2026-03-01 16:30:00,"Emirates Stadium, London",60296.0,Home,Arsenal,Chelsea,2,1,W,1.0,1.0,0,1,0.0,1.0,2.0,41.0,0.0,0.0,1.0,3.0,2.0828,21.0,21.0,4.0,3.0,7.0,4.0,0.0,2.0,122.0,1.0,2.0,7.0,2.0,4.0,10.0,5.0,78.0,111.0,48.0,,12.0,1.0,16.0,2.0,,,11.0,9.0,0.0,1.0,21.0,4.0,4.0,26.0,1.0925,136.0,,0.0,0.0,110.0,11.0,0.0,3.0,0.0,1.0,1.0,40.0,57.0,8.0,54.0,7.0,7.0,5.0,,1.0,0.0,2.0,3.0,111.0,6.0,0.0,84.0,500.0,8.0,6.0,30.0,5.0,257.0,11.0,6.0,9.0,1.0,1.0,2.0,1.51873,8.0,312.0,,57.0,,35.08,444145,2.0,143.0,4.0,152.0,4.0,112306.21,0.0,3.0,10.0,49.0,1.0,3.0,2.0,,2.0,0.0,16.0,4.0,7.0,1.0,0.0,43.0,277.0,14.0,3.0,18.0,2.0,52.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,2.0,1.0,0.0,,1.0,2.0,41.1,6.0,6.0,1.0,2.0,4.0,31.0,5.0,1.0,338.0,5.0,12.0,13.0,3.0,22.0,2.0,1.0,197.0,7.0,3.0,11.0,72.0,20.0,9.0,17.0,2.0,1.0,10.0,3.0,15.0,1.0886,3.0,5.0,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,2.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0
29,2562177,2026-03-04 19:30:00,"American Express Stadium, Falmer",31575.0,Away,Arsenal,Brighton and Hove Albion,1,0,W,1.0,0.0,0,0,0.0,1.0,,38.0,0.0,0.0,2.0,,0.1403,25.0,50.0,1.0,5.0,6.0,2.0,1.0,1.0,141.0,1.0,1.0,5.0,1.0,2.0,6.0,2.0,70.0,145.0,55.0,,7.0,1.0,18.0,1.0,,2.0,7.0,6.0,0.0,,50.0,3.0,4.0,23.0,0.5554,85.0,1.0,0.0,0.0,92.0,12.0,0.0,1.0,1.0,2.0,2.0,43.0,29.0,3.0,48.0,4.0,20.0,1.0,,0.0,0.0,1.0,,145.0,6.0,0.0,63.0,535.0,5.0,12.0,18.0,8.0,207.0,11.0,9.0,29.0,1.0,5.0,3.0,0.331731,24.0,293.0,,60.0,2.0,33.31,224117,3.0,142.0,1.0,164.0,7.0,119968.58,0.0,10.0,12.0,58.0,0.0,5.0,0.0,,6.0,1.0,15.0,5.0,8.0,,0.0,61.0,226.0,14.0,5.0,30.0,1.0,60.0,0.0,0.0,,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,,2.0,40.1,21.0,4.0,2.0,6.0,1.0,25.0,3.0,2.0,322.0,8.0,14.0,9.0,4.0,18.0,,4.0,165.0,1.0,3.0,20.0,41.0,15.0,29.0,16.0,0.0,0.0,4.0,4.0,14.0,0.4685,10.0,3.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,2.0,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
30,2562185,2026-03-14 17:30:00,"Emirates Stadium, London",60176.0,Home,Arsenal,Everton,2,0,W,0.0,0.0,0,0,0.0,,2.0,43.0,0.0,0.0,2.0,3.0,2.2378,14.0,29.0,13.0,13.0,12.0,3.0,1.0,4.0,150.0,2.0,4.0,7.0,2.0,2.0,18.0,7.0,167.0,133.0,56.0,1.0,25.0,6.0,17.0,3.0,2.0,2.0,21.0,12.0,0.0,2.0,29.0,5.0,6.0,22.0,0.4285,328.0,1.0,0.0,0.0,249.0,11.0,0.0,1.0,0.0,,,58.0,107.0,12.0,80.0,16.0,20.0,13.0,1.0,0.0,0.0,7.0,5.0,133.0,5.0,2.0,184.0,774.0,14.0,9.0,40.0,4.0,484.0,11.0,5.0,17.0,0.0,3.0,6.0,0.980336,15.0,561.0,0.0563,61.0,,34.73,248857,6.0,179.0,9.0,197.0,2.0,114894.63,1.0,6.0,3.0,48.0,0.0,1.0,0.0,2.0,1.0,1.0,15.0,4.0,2.0,1.0,0.0,36.0,503.0,12.0,5.0,18.0,7.0,49.0,0.0,0.0,,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,64.5,11.0,5.0,1.0,1.0,9.0,25.0,8.0,,581.0,4.0,6.0,9.0,9.0,34.0,1.0,4.0,405.0,10.0,5.0,21.0,209.0,23.0,17.0,16.0,0.0,0.0,16.0,5.0,16.0,2.6983,6.0,8.0,,,1.0,1.0,3.0,2.0,1.0,,1.0,4.0,2.0,2.0,,,,,1.0,2.0,1.0,2.0,3.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
32,2562205,2026-04-11 12:30:00,"Emirates Stadium, London",60210.0,Home,Arsenal,Bournemouth,1,2,L,1.0,1.0,0,0,0.0,,1.0,41.0,1.0,0.0,,4.0,1.0805,21.0,23.0,5.0,2.0,10.0,1.0,0.0,1.0,151.0,0.0,5.0,9.0,1.0,6.0,9.0,3.0,86.0,139.0,56.0,,15.0,4.0,19.0,1.0,,1.0,22.0,11.0,0.0,1.0,23.0,9.0,9.0,19.0,1.4133,144.0,,0.0,0.0,119.0,12.0,0.0,1.0,0.0,3.0,2.0,37.0,59.0,6.0,75.0,13.0,21.0,5.0,,0.0,0.0,3.0,,139.0,5.0,0.0,77.0,608.0,8.0,3.0,33.0,7.0,289.0,13.0,7.0,15.0,1.0,2.0,3.0,0.721302,30.0,362.0,,47.0,,33.66,616077,6.0,175.0,7.0,197.0,5.0,113336.77,1.0,10.0,9.0,58.0,0.0,2.0,0.0,2.0,6.0,0.0,16.0,3.0,9.0,1.0,1.0,47.0,314.0,17.0,8.0,23.0,5.0,58.0,0.0,0.0,,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,3.0,,4.0,52.4,22.0,2.0,1.0,7.0,8.0,28.0,10.0,2.0,389.0,7.0,9.0,7.0,4.0,29.0,2.0,4.0,214.0,9.0,7.0,13.0,84.0,16.0,15.0,17.0,0.0,2.0,4.0,5.0,20.0,2.3242,10.0,10.0,,,,,,,1.0,1.0,,1.0,3.0,,1.0,4.0,1.0,3.0,1.0,1.0,,,1.0,,3.0,1.0,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,2562221,2026-04-19 16:30:00,"Etihad Stadium, Manchester",52523.0,Away,Arsenal,Manchester City,1,2,L,1.0,1.0,0,0,0.0,1.0,1.0,44.0,0.0,0.0,,3.0,1.3167,22.0,26.0,1.0,4.0,8.0,2.0,0.0,1.0,137.0,1.0,2.0,3.0,1.0,1.0,6.0,3.0,79.0,130.0,43.0,,9.0,,19.0,2.0,1.0,,12.0,14.0,0.0,,26.0,5.0,7.0,31.0,1.3648,136.0,,0.0,0.0,119.0,12.0,0.0,,0.0,,,50.0,68.0,3.0,53.0,7.0,15.0,1.0,,0.0,0.0,1.0,,130.0,13.0,0.0,79.0,518.0,4.0,7.0,14.0,9.0,248.0,16.0,6.0,8.0,2.0,6.0,3.0,0.776404,17.0,327.0,,50.0,2.0,34.1,248857,4.0,128.0,6.0,149.0,8.0,112797.23,1.0,10.0,13.0,51.0,0.0,8.0,0.0,4.0,6.0,1.0,14.0,2.0,7.0,1.0,0.0,60.0,262.0,5.0,9.0,25.0,1.0,62.0,0.0,0.0,1.0,0.0,,0.0,8.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,41.4,15.0,7.0,1.0,6.0,3.0,32.0,5.0,,348.0,9.0,7.0,13.0,3.0,29.0,1.0,2.0,211.0,2.0,6.0,13.0,77.0,14.0,8.0,22.0,0.0,2.0,6.0,4.0,8.0,1.6206,10.0,5.0,,,,2.0,1.0,,1.0,,2.0,,2.0,,,4.0,1.0,2.0,,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,
34,2562226,2026-04-25 17:30:00,"Emirates Stadium, London",60204.0,Home,Arsenal,Newcastle United,1,0,W,1.0,0.0,0,0,0.0,2.0,,43.0,0.0,0.0,1.0,4.0,0.8719,13.0,24.0,5.0,6.0,6.0,3.0,0.0,1.0,144.0,0.0,2.0,5.0,1.0,3.0,11.0,4.0,109.0,122.0,38.0,,11.0,1.0,18.0,1.0,1.0,,13.0,9.0,0.0,2.0,24.0,3.0,6.0,16.0,0.1023,176.0,1.0,1.0,0.0,142.0,13.0,0.0,1.0,0.0,1.0,2.0,31.0,72.0,9.0,66.0,10.0,16.0,5.0,,0.0,0.0,4.0,1.0,122.0,6.0,0.0,81.0,571.0,9.0,6.0,27.0,10.0,307.0,13.0,4.0,16.0,2.0,5.0,2.0,0.771122,11.0,378.0,,54.0,,36.74,444145,4.0,149.0,5.0,165.0,8.0,116252.35,1.0,4.0,6.0,47.0,0.0,4.0,0.0,2.0,8.0,0.0,17.0,7.0,5.0,,0.0,47.0,323.0,8.0,3.0,27.0,3.0,54.0,1.0,0.0,1.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,1.0,45.2,10.0,2.0,,8.0,5.0,22.0,7.0,2.0,400.0,10.0,7.0,8.0,2.0,22.0,,1.0,248.0,4.0,4.0,10.0,103.0,16.0,16.0,15.0,0.0,0.0,7.0,4.0,12.0,0.4907,4.0,7.0,1.0,,1.0,,2.0,,,,,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,2562236,2026-05-02 17:30:00,"Emirates Stadium, London",60196.0,Home,Arsenal,Fulham,3,0,W,3.0,0.0,0,0,0.0,2.0,2.0,51.0,0.0,1.0,,2.0,3.6589,23.0,15.0,4.0,9.0,14.0,1.0,2.0,2.0,132.0,1.0,3.0,12.0,3.0,2.0,14.0,9.0,142.0,111.0,44.0,,18.0,1.0,14.0,5.0,3.0,2.0,9.0,2.0,0.0,1.0,15.0,3.0,10.0,25.0,0.0538,206.0,1.0,0.0,0.0,127.0,7.0,0.0,,1.0,2.0,,35.0,76.0,9.0,94.0,6.0,15.0,4.0,,1.0,0.0,2.0,2.0,111.0,5.0,0.0,143.0,690.0,9.0,2.0,36.0,11.0,441.0,14.0,2.0,5.0,0.0,6.0,5.0,2.43934,15.0,491.0,,52.0,3.0,33.92,500040,6.0,250.0,2.0,263.0,5.0,113241.82,0.0,10.0,8.0,45.0,0.0,5.0,0.0,7.0,2.0,2.0,16.0,5.0,3.0,,0.0,48.0,453.0,12.0,3.0,15.0,4.0,59.0,0.0,0.0,,0.0,,0.0,4.0,1.0,3.0,0.0,0.0,1.0,,3.0,53.8,14.0,7.0,2.0,2.0,3.0,35.0,3.0,,511.0,11.0,15.0,15.0,6.0,21.0,2.0,4.0,257.0,6.0,10.0,14.0,103.0,27.0,5.0,6.0,1.0,0.0,8.0,5.0,19.0,3.225,10.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,4.0,6.0,3.0,,4.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,,1.0,,,,,1.0,3.0,,,2.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
37,2562256,2026-05-18 20:00:00,"Emirates Stadium, London",,Home,Arsenal,Burnley,0,0,D,,,0,0,0.0,,1.0,41.0,0.0,0.0,,3.0,2.0266,18.0,15.0,4.0,6.0,9.0,,0.0,1.0,188.0,1.0,2.0,3.0,1.0,5.0,11.0,3.0,116.0,124.0,48.0,,13.0,,9.0,1.0,1.0,1.0,13.0,9.0,0.0,1.0,15.0,1.0,3.0,22.0,,280.0,1.0,0.0,0.0,194.0,7.0,0.0,,0.0,4.0,,36.0,104.0,5.0,76.0,12.0,11.0,4.0,,0.0,0.0,1.0,2.0,124.0,2.0,0.0,133.0,683.0,10.0,5.0,38.0,2.0,427.0,12.0,4.0,10.0,1.0,1.0,6.0,1.17595,22.0,493.0,,73.0,,34.8,444145,5.0,166.0,7.0,188.0,5.0,112495.35,0.0,5.0,5.0,41.0,0.0,,0.0,1.0,5.0,0.0,17.0,3.0,5.0,,0.0,43.0,444.0,16.0,4.0,20.0,2.0,65.0,0.0,0.0,1.0,0.0,,0.0,3.0,,1.0,0.0,0.0,1.0,3.0,2.0,60.4,19.0,5.0,,5.0,3.0,44.0,3.0,,513.0,2.0,13.0,9.0,7.0,38.0,1.0,3.0,338.0,5.0,3.0,13.0,157.0,19.0,10.0,17.0,1.0,0.0,9.0,5.0,11.0,1.2909,5.0,3.0,1.0,1.0,1.0,,2.0,,1.0,,,3.0,1.0,1.0,,,1.0,2.0,3.0,,,2.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,3.0,2.0,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
38,2562267,2026-05-24 16:00:00,"Selhurst Park, London",,Away,Arsenal,Crystal Palace,0,0,D,,,0,0,0.0,2.0,,42.0,1.0,1.0,,3.0,1.7106,14.0,28.0,3.0,9.0,14.0,2.0,1.0,3.0,133.0,0.0,5.0,12.0,2.0,,12.0,7.0,153.0,95.0,40.0,,17.0,1.0,11.0,4.0,3.0,4.0,13.0,3.0,0.0,1.0,28.0,4.0,15.0,23.0,0.945,277.0,,0.0,0.0,157.0,12.0,0.0,1.0,1.0,,1.0,48.0,105.0,8.0,86.0,9.0,18.0,3.0,,0.0,0.0,4.0,1.0,95.0,8.0,0.0,146.0,688.0,10.0,3.0,41.0,5.0,447.0,14.0,2.0,20.0,1.0,1.0,4.0,1.26537,16.0,501.0,,67.0,3.0,34.48,444145,6.0,188.0,5.0,197.0,4.0,105035.65,1.0,9.0,5.0,42.0,0.0,6.0,0.0,,7.0,1.0,11.0,,2.0,1.0,0.0,36.0,460.0,9.0,7.0,11.0,1.0,71.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,,1.0,60.3,12.0,2.0,1.0,7.0,4.0,49.0,4.0,1.0,518.0,5.0,7.0,14.0,6.0,24.0,1.0,4.0,334.0,7.0,15.0,14.0,124.0,19.0,20.0,7.0,0.0,1.0,14.0,5.0,17.0,2.5334,9.0,4.0,1.0,,,4.0,5.0,1.0,,,4.0,,6.0,2.0,,7.0,1.0,,2.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,
