gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,saves,divingSave,outfielderBlock,punches,savedIbox,handBall,savedObox,freekickCross,accurateFreekickCross,errorLeadToShot,attGoalLowRight,attLfGoal,attCmissRight,attFreekickTotal,attGoalHighRight,cleanSheet,attOboxGoal,freekickTotal,attCmissHighLeft,attFreekickTarget,foulThrowIn,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,shotFastbreak,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,attPenGoal,attFastbreak,clearanceOffLine,attFreekickMiss,attHdTarget,defenderGoals,attOboxPost,attGoalHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,goalsConcededObox,midfielderGoals,attPostHigh,attObxLeft,attPostLeft,attHdPost,attPenTarget,penaltySave,attObxdLeft
27,919161,2018-02-10 12:30:00,"Wembley Stadium, London",83222,Away,Arsenal,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,,68.0,,,,,27.0,22.0,4.0,3.0,2.0,,179.0,,3.0,8.0,,1.0,4.0,,1.0,127.0,138.0,46.0,6.0,2.0,16.0,,1.0,1.0,,,1.0,12.0,9.0,1.0,22.0,2.0,18.0,39.0,1.0,187.0,,0.0,124.0,9.0,,,1.0,60.0,63.0,1.0,67.0,1.0,,10.0,21.0,4.0,1.0,1.0,138.0,1.0,3.0,13.0,136.0,680.0,4.0,3.0,11.0,11.0,392.0,36.0,,3.0,11.0,,1.0,1.0,3.0,10.0,477.0,61.0,1.0,98745,1.0,229.0,1.0,9.0,,,254.0,4.0,,,21.0,13.0,54.0,1.0,6.0,6.0,12.0,,12.0,5.0,8.0,2.0,65.0,413.0,13.0,16.0,,21.0,73.0,,,1.0,0.0,1.0,10.0,,1.0,,0.0,3.0,,,,50.1,10.0,,,,,12.0,2.0,39.0,2.0,1.0,509.0,11.0,10.0,21.0,3.0,18.0,,2.0,267.0,3.0,18.0,13.0,83.0,16.0,,8.0,11.0,12.0,,1.0,5.0,3.0,12.0,,8.0,9.0,2.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,919164,2018-03-01 19:45:00,"Emirates Stadium, London",58420,Home,Arsenal,Manchester City,0,3,L,0,3,0,0,3.0,,76.0,,2.0,,,28.0,11.0,5.0,5.0,5.0,2.0,185.0,,1.0,9.0,,4.0,6.0,,5.0,119.0,161.0,50.0,10.0,1.0,9.0,2.0,,,,2.0,1.0,14.0,17.0,3.0,11.0,3.0,4.0,44.0,,220.0,,0.0,155.0,11.0,,,,82.0,80.0,5.0,101.0,,1.0,11.0,27.0,5.0,2.0,1.0,161.0,,,7.0,133.0,718.0,6.0,9.0,14.0,13.0,410.0,23.0,,5.0,2.0,,,1.0,1.0,28.0,519.0,71.0,,98745,5.0,206.0,1.0,8.0,1.0,,229.0,7.0,,,27.0,2.0,52.0,,1.0,,5.0,,18.0,2.0,,,59.0,425.0,11.0,21.0,,20.0,77.0,,2.0,1.0,0.0,1.0,1.0,,3.0,4.0,0.0,1.0,,1.0,,45.8,23.0,,8.0,,1.0,5.0,3.0,51.0,6.0,,538.0,13.0,5.0,19.0,2.0,21.0,,1.0,323.0,5.0,3.0,6.0,97.0,39.0,,,2.0,24.0,,3.0,5.0,,15.0,,,14.0,6.0,2.0,1.0,3.0,,2.0,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
29,919173,2018-03-04 13:30:00,"Amex Stadium, Falmer",30620,Away,Arsenal,Brighton and Hove Albion,1,2,L,1,2,0,0,2.0,1.0,58.0,,3.0,,,19.0,17.0,6.0,7.0,9.0,3.0,196.0,1.0,10.0,16.0,1.0,3.0,12.0,,7.0,168.0,145.0,57.0,15.0,3.0,18.0,4.0,1.0,,1.0,4.0,,25.0,8.0,2.0,17.0,11.0,20.0,28.0,,315.0,,0.0,230.0,12.0,,1.0,,74.0,65.0,10.0,79.0,1.0,1.0,14.0,20.0,6.0,2.0,1.0,145.0,1.0,,8.0,171.0,806.0,9.0,3.0,35.0,8.0,493.0,24.0,1.0,,8.0,1.0,,3.0,2.0,20.0,586.0,56.0,1.0,98745,6.0,211.0,,11.0,1.0,,239.0,7.0,1.0,2.0,20.0,7.0,58.0,,2.0,,7.0,1.0,10.0,5.0,4.0,,43.0,516.0,12.0,8.0,2.0,14.0,68.0,,1.0,,0.0,1.0,6.0,1.0,2.0,,0.0,5.0,1.0,1.0,1.0,68.1,20.0,,4.0,1.0,,7.0,6.0,45.0,11.0,,614.0,8.0,16.0,13.0,2.0,42.0,5.0,1.0,400.0,5.0,19.0,21.0,181.0,21.0,1.0,2.0,8.0,10.0,,2.0,11.0,3.0,21.0,2.0,2.0,7.0,11.0,4.0,2.0,2.0,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
30,919184,2018-03-11 13:30:00,"Emirates Stadium, London",59131,Home,Arsenal,Watford,3,0,W,1,0,0,0,3.0,1.0,63.0,1.0,,1.0,1.0,23.0,32.0,1.0,6.0,10.0,1.0,166.0,2.0,2.0,8.0,3.0,2.0,10.0,,7.0,120.0,127.0,58.0,11.0,,17.0,3.0,,2.0,2.0,2.0,,9.0,13.0,1.0,32.0,3.0,14.0,22.0,2.0,217.0,2.0,0.0,145.0,12.0,,1.0,1.0,64.0,66.0,7.0,68.0,2.0,2.0,6.0,22.0,1.0,3.0,,127.0,4.0,1.0,9.0,148.0,695.0,6.0,3.0,25.0,8.0,397.0,22.0,,2.0,22.0,3.0,2.0,2.0,3.0,17.0,476.0,47.0,2.0,84450,7.0,202.0,3.0,2.0,,1.0,231.0,7.0,,,22.0,11.0,49.0,,4.0,5.0,7.0,2.0,13.0,2.0,6.0,,43.0,417.0,9.0,7.0,1.0,10.0,57.0,,,,0.0,1.0,9.0,3.0,,,0.0,1.0,3.0,1.0,2.0,59.7,14.0,1.0,3.0,2.0,1.0,7.0,,39.0,4.0,1.0,502.0,8.0,7.0,12.0,4.0,21.0,1.0,4.0,280.0,3.0,13.0,22.0,114.0,29.0,1.0,4.0,22.0,21.0,1.0,,9.0,3.0,14.0,,4.0,9.0,4.0,4.0,4.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,
31,919196,2018-05-09 19:45:00,"King Power Stadium, Leicester",32095,Away,Arsenal,Leicester City,1,3,L,0,1,1,0,1.0,1.0,60.0,,2.0,,,35.0,22.0,2.0,5.0,12.0,4.0,167.0,,4.0,14.0,1.0,2.0,8.0,1.0,7.0,132.0,138.0,50.0,14.0,1.0,14.0,6.0,2.0,,,3.0,1.0,17.0,13.0,,22.0,6.0,16.0,32.0,,187.0,1.0,0.0,133.0,12.0,,2.0,,53.0,50.0,6.0,63.0,1.0,,11.0,20.0,2.0,1.0,1.0,138.0,2.0,1.0,9.0,115.0,661.0,8.0,5.0,34.0,11.0,367.0,29.0,,7.0,14.0,,,2.0,2.0,21.0,450.0,51.0,1.0,84450,8.0,203.0,2.0,8.0,,1.0,229.0,10.0,,1.0,20.0,11.0,52.0,,3.0,1.0,6.0,1.0,8.0,10.0,4.0,1.0,64.0,386.0,6.0,10.0,,19.0,68.0,1.0,1.0,,0.0,3.0,6.0,1.0,3.0,,1.0,2.0,,2.0,1.0,59.6,16.0,,3.0,,,7.0,3.0,43.0,6.0,,477.0,11.0,11.0,22.0,4.0,27.0,2.0,2.0,265.0,8.0,14.0,12.0,95.0,20.0,1.0,2.0,14.0,18.0,,3.0,8.0,2.0,19.0,,2.0,6.0,6.0,7.0,5.0,3.0,,4.0,,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,
32,919203,2018-04-01 13:30:00,"Emirates Stadium, London",59371,Home,Arsenal,Stoke City,3,0,W,0,0,0,0,5.0,2.0,64.0,,2.0,,,20.0,10.0,7.0,6.0,17.0,2.0,213.0,,5.0,10.0,3.0,4.0,16.0,1.0,11.0,179.0,143.0,62.0,24.0,3.0,27.0,5.0,1.0,,,4.0,3.0,16.0,9.0,3.0,10.0,3.0,18.0,23.0,1.0,266.0,1.0,0.0,163.0,9.0,,1.0,2.0,55.0,52.0,10.0,79.0,,1.0,13.0,13.0,7.0,4.0,1.0,143.0,2.0,,4.0,176.0,828.0,13.0,2.0,38.0,11.0,531.0,34.0,1.0,1.0,7.0,,,1.0,6.0,18.0,622.0,50.0,1.0,98745,7.0,288.0,2.0,7.0,2.0,2.0,326.0,8.0,3.0,3.0,13.0,7.0,53.0,,1.0,3.0,6.0,,15.0,4.0,3.0,1.0,42.0,549.0,13.0,7.0,3.0,11.0,74.0,,3.0,,0.0,1.0,5.0,3.0,,,0.0,4.0,,,4.0,69.6,14.0,3.0,,4.0,,6.0,5.0,53.0,6.0,3.0,647.0,11.0,8.0,14.0,8.0,31.0,1.0,6.0,337.0,14.0,14.0,24.0,124.0,22.0,2.0,3.0,7.0,16.0,,,15.0,3.0,13.0,,3.0,7.0,6.0,2.0,1.0,2.0,,1.0,,1.0,2.0,2.0,,3.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,2.0,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,
33,919214,2018-04-08 14:15:00,"Emirates Stadium, London",59374,Home,Arsenal,Southampton,3,2,W,2,1,1,1,1.0,1.0,61.0,2.0,1.0,,,17.0,33.0,6.0,3.0,7.0,3.0,181.0,,3.0,3.0,3.0,4.0,11.0,,7.0,221.0,150.0,44.0,13.0,1.0,23.0,2.0,1.0,,3.0,,,18.0,6.0,2.0,33.0,7.0,16.0,27.0,,404.0,1.0,0.0,247.0,11.0,3.0,4.0,2.0,90.0,104.0,8.0,75.0,1.0,1.0,11.0,20.0,6.0,2.0,2.0,150.0,2.0,,10.0,222.0,883.0,7.0,6.0,17.0,8.0,584.0,26.0,1.0,,16.0,3.0,,2.0,3.0,24.0,680.0,80.0,,98745,4.0,196.0,1.0,9.0,,,224.0,5.0,2.0,,20.0,6.0,50.0,,2.0,1.0,9.0,3.0,12.0,5.0,3.0,1.0,41.0,597.0,7.0,4.0,1.0,10.0,73.0,1.0,,,0.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,64.6,17.0,1.0,1.0,,,9.0,2.0,51.0,8.0,2.0,699.0,8.0,8.0,13.0,4.0,32.0,1.0,2.0,493.0,8.0,16.0,23.0,193.0,24.0,1.0,,16.0,11.0,1.0,2.0,8.0,3.0,7.0,1.0,,9.0,8.0,5.0,4.0,4.0,2.0,4.0,,2.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,
34,919228,2018-04-15 13:30:00,"St. James' Park, Newcastle",52210,Away,Arsenal,Newcastle United,1,2,L,1,1,0,0,,1.0,78.0,,2.0,,,34.0,13.0,7.0,2.0,8.0,2.0,192.0,,3.0,9.0,1.0,2.0,9.0,,3.0,211.0,168.0,65.0,15.0,2.0,21.0,1.0,,,1.0,1.0,2.0,22.0,15.0,1.0,13.0,5.0,14.0,46.0,,292.0,,0.0,175.0,9.0,,,,99.0,80.0,5.0,89.0,1.0,4.0,17.0,16.0,7.0,4.0,4.0,168.0,2.0,1.0,6.0,203.0,900.0,7.0,5.0,23.0,9.0,573.0,33.0,,5.0,11.0,1.0,,0.0,4.0,22.0,675.0,61.0,1.0,84450,4.0,301.0,1.0,12.0,,1.0,335.0,5.0,1.0,,16.0,6.0,57.0,,1.0,2.0,6.0,1.0,17.0,2.0,5.0,2.0,65.0,590.0,11.0,6.0,1.0,24.0,78.0,,1.0,,0.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,,1.0,71.8,22.0,1.0,6.0,1.0,,6.0,4.0,49.0,5.0,,695.0,9.0,14.0,28.0,8.0,37.0,2.0,4.0,382.0,12.0,12.0,20.0,136.0,31.0,1.0,,11.0,25.0,,2.0,11.0,3.0,17.0,1.0,,5.0,5.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
35,919234,2018-04-22 13:30:00,"Emirates Stadium, London",59422,Home,Arsenal,West Ham United,4,1,W,0,0,0,0,2.0,1.0,62.0,1.0,2.0,1.0,1.0,19.0,15.0,7.0,4.0,12.0,2.0,176.0,,6.0,11.0,4.0,2.0,16.0,1.0,8.0,187.0,125.0,33.0,20.0,2.0,12.0,1.0,3.0,,2.0,1.0,2.0,27.0,3.0,3.0,15.0,8.0,17.0,26.0,,339.0,,0.0,236.0,11.0,,1.0,,76.0,71.0,8.0,87.0,,3.0,19.0,26.0,8.0,3.0,2.0,125.0,2.0,1.0,7.0,179.0,809.0,12.0,2.0,45.0,10.0,542.0,25.0,1.0,1.0,8.0,3.0,,3.0,8.0,20.0,615.0,63.0,,98745,7.0,219.0,1.0,14.0,,,238.0,8.0,3.0,3.0,26.0,4.0,39.0,,,1.0,6.0,3.0,15.0,4.0,2.0,2.0,36.0,552.0,9.0,7.0,1.0,4.0,62.0,,2.0,1.0,0.0,1.0,6.0,3.0,1.0,,0.0,3.0,3.0,,2.0,67.7,20.0,2.0,5.0,1.0,,6.0,4.0,51.0,8.0,,629.0,10.0,6.0,14.0,8.0,37.0,3.0,6.0,418.0,14.0,15.0,10.0,189.0,25.0,2.0,1.0,8.0,4.0,,1.0,17.0,3.0,15.0,,1.0,11.0,8.0,3.0,2.0,3.0,1.0,2.0,,1.0,2.0,,,3.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0
36,919247,2018-04-29 16:30:00,"Old Trafford, Manchester",75035,Away,Arsenal,Manchester United,1,2,L,0,1,0,0,,,65.0,1.0,1.0,,,22.0,32.0,3.0,1.0,5.0,1.0,155.0,,3.0,13.0,1.0,2.0,7.0,,3.0,103.0,115.0,59.0,8.0,,5.0,1.0,1.0,,1.0,1.0,2.0,6.0,19.0,1.0,32.0,,7.0,30.0,,153.0,1.0,0.0,89.0,7.0,,,,44.0,38.0,3.0,62.0,1.0,1.0,6.0,14.0,3.0,,1.0,115.0,1.0,,10.0,118.0,639.0,6.0,3.0,16.0,13.0,342.0,41.0,,5.0,17.0,1.0,,1.0,4.0,18.0,416.0,47.0,,98745,3.0,208.0,1.0,4.0,,,236.0,4.0,1.0,1.0,14.0,5.0,37.0,,1.0,1.0,4.0,1.0,11.0,6.0,3.0,,45.0,358.0,12.0,10.0,,15.0,63.0,,,2.0,0.0,2.0,9.0,,2.0,,0.0,3.0,,,2.0,40.8,16.0,1.0,4.0,1.0,1.0,4.0,1.0,35.0,,,438.0,13.0,12.0,17.0,4.0,18.0,,3.0,208.0,5.0,7.0,7.0,54.0,13.0,,3.0,17.0,28.0,,2.0,8.0,3.0,17.0,,3.0,10.0,,,,8.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,
37,919254,2018-05-06 16:30:00,"Emirates Stadium, London",59540,Home,Arsenal,Burnley,5,0,W,2,0,0,0,1.0,3.0,66.0,,2.0,,,23.0,20.0,3.0,7.0,13.0,2.0,175.0,1.0,1.0,12.0,5.0,,15.0,2.0,8.0,191.0,108.0,41.0,16.0,1.0,16.0,1.0,3.0,,5.0,1.0,2.0,14.0,8.0,2.0,20.0,3.0,18.0,30.0,,316.0,,0.0,200.0,6.0,,,2.0,85.0,55.0,11.0,116.0,,,12.0,18.0,3.0,1.0,,108.0,3.0,,3.0,180.0,829.0,10.0,4.0,44.0,13.0,580.0,28.0,,1.0,12.0,5.0,,0.0,4.0,14.0,649.0,62.0,2.0,98745,6.0,276.0,,11.0,1.0,,292.0,3.0,2.0,2.0,18.0,2.0,40.0,1.0,3.0,,8.0,5.0,11.0,3.0,1.0,3.0,41.0,591.0,7.0,9.0,,8.0,58.0,2.0,1.0,1.0,0.0,1.0,5.0,5.0,,1.0,0.0,,3.0,,,63.6,13.0,,1.0,2.0,1.0,8.0,3.0,42.0,4.0,2.0,662.0,13.0,10.0,19.0,5.0,31.0,2.0,5.0,384.0,9.0,18.0,11.0,161.0,28.0,3.0,1.0,12.0,12.0,,,16.0,3.0,13.0,,1.0,10.0,4.0,2.0,2.0,1.0,,1.0,,1.0,,,,2.0,3.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
38,919265,2018-05-13 15:00:00,"John Smith's Stadium, Huddersfield",24122,Away,Arsenal,Huddersfield Town,1,0,W,1,0,0,0,1.0,1.0,67.0,,,,,21.0,36.0,5.0,4.0,4.0,2.0,185.0,1.0,1.0,12.0,1.0,1.0,5.0,,4.0,139.0,148.0,45.0,9.0,2.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,36.0,4.0,13.0,27.0,1.0,190.0,,0.0,135.0,7.0,,,2.0,59.0,46.0,4.0,69.0,,1.0,1.0,22.0,5.0,,2.0,148.0,3.0,,13.0,126.0,715.0,4.0,6.0,18.0,8.0,401.0,28.0,1.0,3.0,21.0,1.0,1.0,0.0,1.0,27.0,498.0,49.0,,98745,,225.0,3.0,1.0,,,256.0,6.0,1.0,2.0,22.0,9.0,52.0,,2.0,2.0,8.0,1.0,16.0,6.0,4.0,,49.0,414.0,10.0,4.0,,20.0,74.0,,2.0,,0.0,1.0,7.0,1.0,,2.0,0.0,,1.0,,,55.0,25.0,,1.0,1.0,,8.0,2.0,43.0,4.0,2.0,519.0,8.0,15.0,18.0,3.0,19.0,1.0,1.0,268.0,5.0,11.0,13.0,89.0,26.0,1.0,3.0,21.0,11.0,,,6.0,3.0,15.0,,3.0,9.0,4.0,3.0,3.0,5.0,1.0,3.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
