gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,totalFastbreak,midfielderGoals,goodHighClaim,attGoalHighCentre,attAssistSetplay,attFastbreak,attSvLowRight,shieldBallOop,attBxLeft,totalHighClaim,accurateCornersIntobox,accuratePullBack,cleanSheet,attSvHighLeft,interceptionsInBox,totalPullBack,attFreekickTarget,clearanceOffLine,attGoalLowCentre,attRfGoal,punches,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,defenderGoals,attHdGoal,attCmissRight,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,attCmissHighLeft,subsGoals,attCmissHigh,penaltyWon,attPenGoal,attGoalHighLeft,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostLeft,attOboxPost,attPostHigh,attSvHighCentre,foulThrowIn,errorLeadToGoal,ownGoals,attIboxOwnGoal,attLgCentre,attObxLeft
28,695177,2014-03-01 15:00:00,"bet365 Stadium, Stoke",26711,Away,Arsenal,Stoke City,0,1,L,0,0,0,0,,1.0,,60.0,,1.0,1.0,31.0,49.0,4.0,4.0,6.0,3.0,,,192.0,3.0,5.0,,1.0,9.0,2.0,151.0,148.0,53.0,1.0,10.0,2.0,29.0,1.0,,,,,21.0,10.0,1.0,49.0,4.0,18.0,26.0,,272.0,0.0,161.0,11.0,2.0,,,42.0,82.0,5.0,68.0,2.0,17.0,18.0,4.0,1.0,2.0,1.0,,148.0,1.0,1.0,6.0,148.0,791.0,8.0,20.0,21.0,,11.0,452.0,24.0,10.0,31.0,,,1.0,,4.0,28.0,532.0,75.0,,,8758,3.0,204.0,1.0,15.0,1.0,1.0,219.0,4.0,11.0,6.0,60.0,3.0,,7.0,,16.0,2.0,3.0,1.0,52.0,473.0,13.0,4.0,26.0,1.0,82.0,,0.0,4.0,3.0,2.0,,1.0,11.0,0.0,3.0,,2.0,56.6,23.0,1.0,1.0,7.0,3.0,56.0,4.0,1.0,559.0,1.0,11.0,,11.0,13.0,5.0,38.0,4.0,361.0,4.0,15.0,23.0,116.0,27.0,,3.0,31.0,13.0,1.0,8.0,3.0,13.0,,3.0,11.0,4.0,1.0,,,,,1.0,2.0,,3.0,,1.0,,1.0,,2.0,3.0,,2.0,,,1.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,695190,2014-03-25 19:45:00,"Emirates Stadium, London",59937,Home,Arsenal,Swansea City,2,2,D,0,1,0,0,,,2.0,73.0,,,2.0,41.0,23.0,4.0,7.0,9.0,1.0,2.0,2.0,235.0,7.0,7.0,2.0,5.0,10.0,4.0,167.0,153.0,56.0,,13.0,2.0,17.0,1.0,,2.0,,1.0,33.0,9.0,1.0,23.0,7.0,20.0,35.0,,433.0,0.0,296.0,11.0,,1.0,4.0,85.0,144.0,6.0,110.0,3.0,26.0,13.0,4.0,,5.0,1.0,,153.0,2.0,1.0,6.0,181.0,903.0,5.0,7.0,40.0,,17.0,592.0,22.0,8.0,14.0,2.0,,0.0,1.0,4.0,19.0,672.0,107.0,,,98745,4.0,179.0,,17.0,1.0,,184.0,8.0,8.0,4.0,51.0,3.0,,7.0,2.0,14.0,3.0,2.0,,63.0,605.0,12.0,2.0,24.0,3.0,87.0,1.0,0.0,1.0,,1.0,2.0,2.0,,0.0,4.0,2.0,2.0,60.5,16.0,1.0,12.0,7.0,4.0,69.0,7.0,,693.0,,17.0,,8.0,17.0,5.0,55.0,4.0,542.0,4.0,18.0,22.0,229.0,29.0,1.0,2.0,14.0,16.0,2.0,8.0,3.0,20.0,2.0,2.0,8.0,7.0,,1.0,,3.0,,1.0,,,3.0,1.0,3.0,,1.0,,,3.0,3.0,2.0,,,1.0,4.0,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,
30,695200,2014-03-16 16:00:00,"White Hart Lane, London",35711,Away,Arsenal,Tottenham Hotspur,1,0,W,1,0,0,0,,,,55.0,,1.0,,27.0,64.0,3.0,1.0,3.0,1.0,,2.0,150.0,2.0,7.0,1.0,2.0,6.0,3.0,69.0,130.0,67.0,,7.0,,16.0,1.0,,1.0,2.0,3.0,5.0,13.0,1.0,64.0,2.0,12.0,14.0,1.0,106.0,0.0,84.0,11.0,1.0,,3.0,36.0,56.0,2.0,42.0,,3.0,13.0,4.0,,,3.0,,130.0,1.0,2.0,6.0,82.0,588.0,5.0,9.0,11.0,,31.0,233.0,28.0,11.0,37.0,1.0,,3.0,11.0,4.0,16.0,308.0,59.0,,1.0,8758,1.0,148.0,1.0,,,,163.0,5.0,9.0,13.0,48.0,2.0,4.0,9.0,1.0,9.0,12.0,4.0,1.0,62.0,252.0,17.0,9.0,36.0,,90.0,1.0,0.0,1.0,5.0,1.0,1.0,,3.0,0.0,1.0,,,41.0,7.0,,,9.0,,44.0,2.0,,343.0,,31.0,,4.0,7.0,4.0,13.0,1.0,185.0,6.0,9.0,22.0,44.0,15.0,,4.0,37.0,21.0,,6.0,3.0,16.0,,4.0,9.0,2.0,,,2.0,1.0,1.0,,4.0,1.0,3.0,,,2.0,,1.0,1.0,5.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
31,695203,2014-03-22 12:45:00,"Stamford Bridge, London",41614,Away,Arsenal,Chelsea,0,6,L,0,4,1,0,,3.0,,51.0,,4.0,,32.0,23.0,5.0,7.0,5.0,5.0,,1.0,162.0,2.0,11.0,,4.0,8.0,5.0,115.0,121.0,52.0,,11.0,3.0,7.0,2.0,,,,1.0,13.0,13.0,3.0,23.0,1.0,25.0,20.0,,194.0,0.0,94.0,8.0,4.0,2.0,2.0,59.0,48.0,6.0,74.0,1.0,12.0,23.0,6.0,,5.0,,,121.0,,1.0,12.0,114.0,667.0,7.0,8.0,8.0,,11.0,364.0,25.0,5.0,13.0,,,1.0,5.0,2.0,27.0,432.0,39.0,1.0,1.0,8758,2.0,201.0,,5.0,,1.0,223.0,5.0,10.0,8.0,37.0,1.0,2.0,8.0,,14.0,9.0,7.0,1.0,49.0,393.0,13.0,8.0,19.0,,75.0,1.0,0.0,2.0,7.0,1.0,,6.0,4.0,1.0,2.0,,1.0,47.1,22.0,,1.0,8.0,3.0,56.0,1.0,1.0,465.0,1.0,11.0,,6.0,10.0,3.0,16.0,3.0,255.0,3.0,24.0,10.0,70.0,15.0,,3.0,13.0,19.0,5.0,10.0,3.0,20.0,,3.0,10.0,1.0,1.0,,,1.0,,,,,2.0,,1.0,,2.0,,2.0,2.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,1.0,
32,695211,2014-03-29 17:30:00,"Emirates Stadium, London",60060,Home,Arsenal,Manchester City,1,1,D,0,1,0,0,,2.0,,62.0,1.0,1.0,1.0,38.0,38.0,3.0,5.0,5.0,3.0,1.0,,189.0,3.0,8.0,1.0,2.0,8.0,3.0,114.0,164.0,62.0,,9.0,,18.0,1.0,,1.0,2.0,2.0,23.0,10.0,1.0,38.0,6.0,20.0,15.0,,293.0,0.0,171.0,8.0,3.0,,1.0,64.0,124.0,3.0,77.0,2.0,17.0,21.0,4.0,,5.0,3.0,,164.0,,1.0,8.0,122.0,722.0,5.0,21.0,12.0,,11.0,395.0,19.0,13.0,28.0,1.0,,1.0,3.0,5.0,31.0,478.0,67.0,,1.0,98745,3.0,120.0,1.0,11.0,,,137.0,5.0,8.0,11.0,49.0,,2.0,4.0,1.0,20.0,7.0,6.0,1.0,64.0,410.0,10.0,3.0,32.0,1.0,82.0,,0.0,3.0,6.0,2.0,1.0,1.0,12.0,0.0,2.0,1.0,2.0,47.8,25.0,1.0,7.0,4.0,1.0,48.0,6.0,,502.0,,11.0,,8.0,9.0,5.0,26.0,2.0,388.0,2.0,17.0,33.0,128.0,25.0,,3.0,28.0,12.0,1.0,7.0,2.0,21.0,,3.0,8.0,6.0,,,,,,,,1.0,3.0,,2.0,,,3.0,1.0,4.0,1.0,,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
33,695224,2014-04-06 13:30:00,"Goodison Park, Liverpool",39504,Away,Arsenal,Everton,0,3,L,0,2,0,0,,3.0,,52.0,,1.0,4.0,34.0,33.0,6.0,9.0,9.0,5.0,,2.0,170.0,2.0,10.0,,,11.0,5.0,165.0,120.0,43.0,,15.0,2.0,10.0,3.0,4.0,,1.0,1.0,25.0,11.0,2.0,33.0,3.0,27.0,20.0,,280.0,0.0,181.0,5.0,2.0,1.0,,94.0,61.0,7.0,71.0,3.0,22.0,15.0,6.0,,5.0,2.0,,120.0,,3.0,9.0,177.0,792.0,11.0,3.0,28.0,1.0,14.0,503.0,25.0,5.0,16.0,,4.0,2.0,3.0,4.0,25.0,563.0,65.0,,1.0,98745,4.0,239.0,,17.0,,,253.0,1.0,9.0,5.0,44.0,2.0,3.0,6.0,,11.0,6.0,1.0,,49.0,517.0,6.0,16.0,12.0,1.0,64.0,,0.0,1.0,3.0,4.0,,3.0,1.0,0.0,2.0,,,57.2,24.0,,3.0,6.0,6.0,50.0,6.0,,583.0,,14.0,,6.0,12.0,4.0,30.0,2.0,355.0,6.0,24.0,11.0,142.0,18.0,,,16.0,16.0,3.0,14.0,3.0,19.0,,,9.0,6.0,,,,,,,1.0,,,,,,,,5.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,
34,695240,2014-04-15 19:45:00,"Emirates Stadium, London",59977,Home,Arsenal,West Ham United,3,1,W,1,1,0,0,,5.0,2.0,69.0,1.0,,3.0,32.0,31.0,4.0,10.0,10.0,1.0,2.0,,206.0,4.0,8.0,3.0,1.0,11.0,8.0,150.0,145.0,58.0,1.0,14.0,,22.0,3.0,2.0,3.0,3.0,1.0,17.0,9.0,2.0,31.0,4.0,33.0,40.0,,295.0,0.0,179.0,14.0,1.0,2.0,1.0,62.0,89.0,8.0,86.0,1.0,13.0,19.0,4.0,1.0,4.0,2.0,,145.0,3.0,,10.0,150.0,806.0,7.0,14.0,20.0,,15.0,482.0,23.0,4.0,22.0,3.0,2.0,2.0,2.0,3.0,20.0,565.0,65.0,4.0,1.0,98745,3.0,211.0,1.0,8.0,,,228.0,6.0,9.0,12.0,63.0,13.0,2.0,6.0,3.0,18.0,2.0,7.0,,51.0,502.0,12.0,8.0,10.0,2.0,82.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0,2.0,3.0,1.0,61.4,19.0,1.0,9.0,6.0,3.0,53.0,4.0,,592.0,,15.0,,17.0,23.0,3.0,33.0,1.0,381.0,3.0,30.0,25.0,135.0,28.0,1.0,4.0,22.0,14.0,1.0,10.0,2.0,11.0,,4.0,9.0,4.0,,,1.0,3.0,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,3.0,3.0,2.0,,,,3.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
35,695245,2014-04-20 14:05:00,"The MKM Stadium, Hull",24762,Away,Arsenal,Hull City,3,0,W,2,0,0,0,,,2.0,62.0,1.0,2.0,,55.0,48.0,2.0,4.0,9.0,4.0,2.0,3.0,219.0,1.0,6.0,3.0,2.0,8.0,6.0,143.0,160.0,54.0,1.0,12.0,1.0,16.0,2.0,1.0,2.0,2.0,1.0,7.0,13.0,1.0,48.0,,26.0,46.0,2.0,272.0,0.0,173.0,7.0,3.0,1.0,1.0,96.0,81.0,5.0,97.0,,7.0,15.0,3.0,1.0,1.0,1.0,,160.0,1.0,1.0,10.0,171.0,848.0,5.0,16.0,23.0,1.0,16.0,504.0,29.0,9.0,22.0,2.0,1.0,1.0,2.0,3.0,16.0,601.0,78.0,1.0,,8758,5.0,248.0,1.0,5.0,,,277.0,6.0,8.0,12.0,49.0,2.0,2.0,6.0,3.0,17.0,3.0,2.0,2.0,89.0,519.0,9.0,4.0,24.0,,115.0,,0.0,1.0,7.0,2.0,3.0,,7.0,0.0,1.0,2.0,1.0,57.6,15.0,1.0,2.0,6.0,1.0,70.0,,,630.0,,16.0,,13.0,30.0,5.0,26.0,3.0,360.0,7.0,25.0,20.0,125.0,21.0,,3.0,22.0,19.0,,9.0,3.0,15.0,,3.0,8.0,,,1.0,,2.0,,1.0,,3.0,3.0,,1.0,,,,1.0,4.0,,1.0,1.0,,2.0,2.0,,,1.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,1.0
36,695251,2014-04-28 20:00:00,"Emirates Stadium, London",60023,Home,Arsenal,Newcastle United,3,0,W,2,0,0,0,,3.0,3.0,61.0,,1.0,1.0,32.0,25.0,3.0,9.0,17.0,3.0,,1.0,186.0,5.0,6.0,3.0,2.0,14.0,8.0,167.0,126.0,49.0,,20.0,2.0,18.0,5.0,,1.0,2.0,5.0,34.0,14.0,,25.0,13.0,27.0,34.0,1.0,295.0,0.0,169.0,9.0,1.0,,1.0,63.0,92.0,9.0,93.0,3.0,21.0,16.0,3.0,,4.0,1.0,,126.0,3.0,,3.0,173.0,828.0,8.0,8.0,34.0,,12.0,544.0,23.0,3.0,16.0,2.0,,3.0,1.0,5.0,17.0,600.0,66.0,4.0,,8758,7.0,267.0,2.0,16.0,,,276.0,2.0,8.0,6.0,56.0,8.0,4.0,6.0,2.0,10.0,5.0,3.0,1.0,50.0,557.0,8.0,13.0,11.0,8.0,81.0,1.0,0.0,1.0,,2.0,3.0,,6.0,0.0,1.0,2.0,5.0,61.5,15.0,2.0,,6.0,3.0,62.0,14.0,,619.0,,12.0,,8.0,18.0,9.0,47.0,8.0,377.0,6.0,27.0,15.0,132.0,29.0,1.0,3.0,16.0,21.0,,11.0,3.0,16.0,,3.0,8.0,14.0,1.0,1.0,,2.0,,,,1.0,3.0,1.0,4.0,,,,4.0,3.0,4.0,,1.0,1.0,1.0,,,,1.0,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
37,695261,2014-05-04 13:30:00,"Emirates Stadium, London",60021,Home,Arsenal,West Bromwich Albion,1,0,W,1,0,0,0,,2.0,,58.0,,1.0,4.0,50.0,39.0,4.0,9.0,11.0,1.0,,1.0,197.0,8.0,5.0,1.0,2.0,12.0,4.0,150.0,126.0,48.0,1.0,15.0,2.0,16.0,1.0,1.0,,1.0,2.0,24.0,16.0,2.0,39.0,9.0,24.0,33.0,,267.0,0.0,184.0,9.0,,1.0,1.0,76.0,99.0,8.0,97.0,1.0,15.0,13.0,4.0,1.0,2.0,,,126.0,1.0,,7.0,161.0,800.0,11.0,18.0,36.0,1.0,14.0,509.0,33.0,5.0,22.0,1.0,1.0,2.0,4.0,4.0,21.0,585.0,58.0,2.0,1.0,8758,7.0,266.0,2.0,12.0,,,288.0,5.0,6.0,13.0,44.0,3.0,,5.0,,13.0,4.0,9.0,1.0,66.0,525.0,6.0,9.0,10.0,1.0,68.0,1.0,0.0,,10.0,,1.0,,6.0,0.0,3.0,1.0,1.0,60.3,17.0,,3.0,5.0,6.0,55.0,9.0,,605.0,,14.0,,8.0,20.0,5.0,39.0,4.0,341.0,4.0,24.0,18.0,142.0,16.0,1.0,3.0,22.0,19.0,,13.0,3.0,10.0,,3.0,6.0,9.0,1.0,1.0,,1.0,,,,,1.0,,,,,2.0,2.0,1.0,5.0,,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,
38,695276,2014-05-11 15:00:00,"Carrow Road, Norwich",26848,Away,Arsenal,Norwich City,2,0,W,0,0,0,0,,3.0,,56.0,,2.0,2.0,36.0,23.0,3.0,6.0,11.0,5.0,,3.0,231.0,4.0,8.0,2.0,2.0,12.0,8.0,189.0,116.0,36.0,1.0,14.0,,8.0,4.0,,1.0,1.0,,17.0,14.0,2.0,23.0,4.0,27.0,29.0,1.0,317.0,0.0,196.0,5.0,5.0,3.0,,75.0,75.0,8.0,91.0,3.0,13.0,10.0,3.0,1.0,,1.0,,116.0,2.0,,4.0,177.0,859.0,9.0,6.0,29.0,,13.0,603.0,27.0,5.0,9.0,1.0,2.0,0.0,1.0,4.0,23.0,670.0,75.0,1.0,,8758,8.0,300.0,2.0,13.0,,,313.0,1.0,6.0,8.0,32.0,3.0,1.0,6.0,2.0,5.0,7.0,1.0,1.0,58.0,613.0,6.0,6.0,17.0,3.0,74.0,,0.0,5.0,4.0,3.0,2.0,,1.0,0.0,1.0,1.0,2.0,62.3,20.0,2.0,2.0,6.0,2.0,52.0,4.0,,688.0,,13.0,,1.0,22.0,4.0,24.0,3.0,392.0,6.0,25.0,4.0,157.0,19.0,,,9.0,18.0,,10.0,3.0,20.0,,,6.0,5.0,,1.0,,1.0,,,2.0,1.0,2.0,,2.0,,,1.0,,2.0,3.0,1.0,1.0,2.0,,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,
