gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attOboxGoal,midfielderGoals,attSvLowLeft,interceptionsInBox,subsGoals,attMissHighLeft,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,totalOffside,punches,accurateFlickOn,attGoalLowCentre,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,secondYellow,fastestPlayer_topSpeed,totalDistance,attFastbreak,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,savedObox,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,attGoalHighCentre,attHdTarget,totalKeeperSweeper,defenderGoals,ptsGainedLosingPos,attCmissHigh,attGoalHighLeft,shieldBallOop,goalsConcededObox,attGoalLowLeft,expectedGoalsOnTarget,postScoringAtt,attIboxPost,expectedGoalsOnTargetConceded,attMissHighRight,winningGoal,keeperGoals,contentiousDecision,hitWoodwork,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attCmissHighRight,attPostRight,expectedGoals,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,accurateFreekickCross,attFreekickTotal,penaltyWon,freekickTotal,attFreekickMiss,handBall,attPostLeft,attHdPost,attPostHigh,expectedGoalsFreekick,attOboxPost,attCmissHighLeft,attFreekickTarget,errorLeadToGoal
27,2444733,2025-02-26 19:30:00,"The City Ground, Nottingham",30200,Away,Arsenal,Nottingham Forest,0,0,D,0,0,0,0,,,40.0,,5.0,,12.0,22.0,5.0,5.0,8.0,2.0,,,149.0,6.0,12.0,,4.0,12.0,1.0,1.0,150.0,125.0,51.0,13.0,4.0,14.0,1.0,,,,1.0,27.0,9.0,,,22.0,10.0,7.0,26.0,281.0,1.0,0.0,204.0,17.0,1.0,3.0,,62.0,79.0,9.0,64.0,1.0,17.0,10.0,5.0,7.0,1.0,125.0,2.0,4.0,139.0,677.0,9.0,4.0,30.0,5.0,422.0,15.0,,11.0,,1.0,3.0,3.0,9.0,485.0,61.0,1.0,192895,,163.0,2.0,7.0,2.0,,173.0,3.0,6.0,7.0,52.0,4.0,,18.0,2.0,7.0,,27.0,438.0,9.0,5.0,3.0,8.0,5.0,47.0,,,0.0,,3.0,1.0,,0.0,2.0,,3.0,65.1,7.0,1.0,4.0,3.0,,4.0,9.0,30.0,11.0,,502.0,5.0,7.0,12.0,3.0,49.0,4.0,1.0,356.0,5.0,7.0,16.0,165.0,16.0,,2.0,11.0,14.0,,8.0,5.0,23.0,2.0,6.0,11.0,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,32.39,110023.82,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,0.3866,1.0,1.0,0.3842,,,,,1.0,0.900238,,,,,,1.0,0.9869,,,,,,,,,,2.0,,,,,,,,
28,2444745,2025-03-09 16:30:00,"Old Trafford, Manchester",73812,Away,Arsenal,Manchester United,1,1,D,0,1,0,0,4.0,,45.0,,1.0,,12.0,13.0,8.0,10.0,9.0,5.0,,1.0,156.0,2.0,9.0,1.0,2.0,12.0,3.0,6.0,182.0,128.0,38.0,17.0,4.0,14.0,3.0,2.0,1.0,2.0,1.0,27.0,8.0,,2.0,13.0,7.0,9.0,30.0,388.0,,0.0,242.0,11.0,4.0,1.0,1.0,65.0,119.0,8.0,84.0,3.0,21.0,10.0,8.0,6.0,2.0,128.0,1.0,6.0,165.0,773.0,10.0,4.0,34.0,5.0,509.0,12.0,1.0,6.0,1.0,1.0,1.0,4.0,22.0,571.0,71.0,,445122,5.0,138.0,2.0,14.0,,1.0,150.0,6.0,4.0,5.0,51.0,6.0,1.0,9.0,4.0,4.0,1.0,29.0,524.0,6.0,2.0,1.0,12.0,3.0,49.0,1.0,,0.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,,68.2,21.0,,4.0,1.0,,7.0,5.0,38.0,9.0,1.0,587.0,5.0,13.0,18.0,6.0,41.0,1.0,4.0,464.0,7.0,9.0,10.0,208.0,21.0,,,6.0,13.0,,12.0,3.0,23.0,,4.0,9.0,,,1.0,1.0,,,1.0,1.0,1.0,,4.0,1.0,,3.0,,2.0,,,2.0,,31.81,115112.21,2.0,1.0,,,1.0,,,1.0,,,,,1.0,,,2.0,1.0,1.0,1.7718,,,1.4683,,,,,,1.27642,,,,,,,1.6242,,,,,,1.0,,1.0,,2.0,,,,0.1335,,,,
29,2444751,2025-03-16 13:30:00,"Emirates Stadium, London",60311,Home,Arsenal,Chelsea,1,0,W,1,0,0,0,2.0,,42.0,,,1.0,16.0,21.0,3.0,2.0,9.0,2.0,,1.0,120.0,5.0,6.0,1.0,3.0,8.0,2.0,4.0,83.0,100.0,44.0,12.0,2.0,8.0,3.0,1.0,,2.0,2.0,15.0,6.0,,,21.0,5.0,3.0,13.0,145.0,1.0,0.0,110.0,10.0,,1.0,2.0,39.0,63.0,4.0,59.0,2.0,10.0,17.0,3.0,,1.0,100.0,,3.0,86.0,525.0,6.0,1.0,27.0,4.0,281.0,9.0,3.0,14.0,1.0,3.0,3.0,4.0,20.0,330.0,39.0,1.0,444145,4.0,154.0,,9.0,,,164.0,7.0,6.0,4.0,34.0,4.0,,16.0,5.0,3.0,2.0,33.0,294.0,13.0,4.0,1.0,14.0,2.0,44.0,,2.0,0.0,3.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,40.9,19.0,1.0,4.0,2.0,,5.0,2.0,25.0,5.0,2.0,348.0,4.0,6.0,7.0,6.0,21.0,3.0,5.0,199.0,8.0,3.0,13.0,80.0,22.0,1.0,3.0,14.0,12.0,1.0,9.0,2.0,13.0,3.0,6.0,5.0,1.0,,,1.0,,,,,,2.0,,2.0,,,,,,,,,33.83,106736.46,,,,,,1.0,3.0,,,,3.0,,,,,1.0,,1.0,0.6746,,,0.1957,,,,,,0.724028,,,,,,,0.7147,,,,,,1.0,,1.0,,1.0,,,,0.0721,,,,
30,2444761,2025-04-01 19:45:00,"Emirates Stadium, London",60256,Home,Arsenal,Fulham,2,1,W,1,0,0,0,1.0,1.0,41.0,,6.0,,14.0,14.0,2.0,6.0,15.0,2.0,,1.0,135.0,8.0,8.0,2.0,1.0,11.0,1.0,4.0,131.0,104.0,42.0,17.0,1.0,18.0,2.0,2.0,2.0,1.0,1.0,25.0,7.0,,,14.0,5.0,9.0,14.0,266.0,,0.0,141.0,2.0,1.0,1.0,,68.0,80.0,7.0,74.0,2.0,20.0,10.0,2.0,6.0,1.0,104.0,2.0,8.0,139.0,649.0,7.0,2.0,38.0,3.0,424.0,14.0,3.0,9.0,2.0,1.0,2.0,4.0,13.0,463.0,52.0,2.0,499169,9.0,173.0,1.0,13.0,3.0,1.0,185.0,1.0,7.0,4.0,43.0,6.0,2.0,14.0,1.0,,3.0,31.0,431.0,10.0,7.0,2.0,13.0,4.0,48.0,1.0,,0.0,,4.0,2.0,2.0,0.0,7.0,1.0,5.0,50.9,9.0,2.0,5.0,1.0,,6.0,7.0,33.0,5.0,,479.0,3.0,8.0,10.0,6.0,30.0,1.0,5.0,319.0,6.0,8.0,9.0,116.0,15.0,1.0,1.0,9.0,15.0,1.0,12.0,3.0,16.0,1.0,7.0,5.0,3.0,,,,1.0,1.0,,1.0,1.0,4.0,1.0,5.0,,,1.0,2.0,1.0,,2.0,,33.65,115885.1,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.8231,,,1.0343,,,,,,1.27643,,,,,,,2.3762,,,,,1.0,,,,,,,,,,,,,
31,2444773,2025-04-05 12:30:00,"Goodison Park, Liverpool",39316,Away,Arsenal,Everton,1,1,D,1,0,0,0,1.0,,37.0,1.0,4.0,,14.0,29.0,3.0,6.0,11.0,1.0,1.0,3.0,137.0,4.0,9.0,1.0,4.0,10.0,,5.0,123.0,114.0,65.0,14.0,2.0,7.0,3.0,1.0,1.0,2.0,2.0,18.0,9.0,,1.0,29.0,8.0,4.0,22.0,168.0,,0.0,118.0,13.0,1.0,1.0,3.0,70.0,52.0,7.0,72.0,,10.0,17.0,3.0,2.0,,114.0,1.0,3.0,127.0,652.0,6.0,1.0,43.0,3.0,378.0,12.0,,16.0,1.0,1.0,1.0,3.0,14.0,435.0,38.0,,499175,6.0,234.0,1.0,7.0,3.0,,248.0,3.0,4.0,6.0,44.0,3.0,1.0,15.0,2.0,4.0,,33.0,398.0,17.0,7.0,3.0,11.0,4.0,56.0,1.0,,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,70.3,10.0,1.0,2.0,1.0,1.0,3.0,6.0,33.0,8.0,3.0,459.0,3.0,4.0,13.0,3.0,26.0,3.0,3.0,229.0,5.0,4.0,18.0,86.0,18.0,1.0,2.0,16.0,22.0,,8.0,5.0,22.0,2.0,4.0,8.0,2.0,,,,1.0,,1.0,1.0,,3.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,35.24,101405.58,1.0,1.0,1.0,2.0,,,2.0,,,,2.0,,,,,,,,0.65,,,0.9572,,,,,,0.85363,,,,,,,1.7916,1.0,,1.0,1.0,,2.0,,2.0,,,,,,0.1825,,,1.0,
32,2444781,2025-04-12 17:30:00,"Emirates Stadium, London",60184,Home,Arsenal,Brentford,1,1,D,0,0,0,0,2.0,1.0,47.0,,3.0,,8.0,14.0,6.0,7.0,8.0,1.0,,,139.0,6.0,14.0,1.0,2.0,11.0,1.0,3.0,137.0,114.0,38.0,14.0,3.0,14.0,1.0,3.0,1.0,1.0,1.0,21.0,2.0,,1.0,14.0,8.0,5.0,18.0,273.0,,0.0,198.0,7.0,,1.0,3.0,51.0,65.0,8.0,82.0,2.0,13.0,10.0,6.0,5.0,2.0,114.0,1.0,3.0,122.0,642.0,8.0,4.0,38.0,7.0,402.0,14.0,1.0,7.0,1.0,1.0,,3.0,13.0,458.0,61.0,,444145,2.0,151.0,,7.0,,1.0,159.0,3.0,2.0,5.0,40.0,8.0,1.0,12.0,,1.0,2.0,30.0,418.0,9.0,2.0,2.0,16.0,3.0,47.0,1.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,1.0,2.0,63.6,12.0,2.0,1.0,2.0,,9.0,6.0,28.0,13.0,3.0,480.0,7.0,11.0,13.0,5.0,38.0,2.0,3.0,342.0,5.0,5.0,11.0,159.0,18.0,,,7.0,4.0,,10.0,5.0,20.0,,2.0,13.0,,,,,1.0,,,2.0,1.0,1.0,5.0,3.0,,1.0,,1.0,1.0,,2.0,,35.7,106933.88,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,,,,,,0.4181,,,0.2974,,,,1.0,,0.944075,,,,,,,0.9648,,,,,1.0,,,,,,,,,,,,,
33,2444795,2025-04-20 14:00:00,"Portman Road, Ipswich",29549,Away,Arsenal,Ipswich Town,4,0,W,2,0,0,1,2.0,1.0,44.0,1.0,7.0,2.0,22.0,7.0,5.0,11.0,19.0,,1.0,1.0,169.0,3.0,2.0,4.0,2.0,20.0,,7.0,238.0,108.0,38.0,24.0,2.0,8.0,2.0,3.0,2.0,,4.0,16.0,12.0,,1.0,7.0,2.0,1.0,30.0,465.0,1.0,0.0,371.0,7.0,,,,106.0,120.0,13.0,104.0,,14.0,12.0,5.0,8.0,1.0,108.0,2.0,2.0,241.0,896.0,15.0,1.0,70.0,2.0,662.0,17.0,2.0,2.0,4.0,0.0,2.0,7.0,20.0,728.0,61.0,,192895,10.0,223.0,2.0,6.0,1.0,,230.0,2.0,3.0,3.0,35.0,1.0,2.0,9.0,2.0,3.0,2.0,31.0,685.0,10.0,5.0,1.0,6.0,7.0,57.0,1.0,,0.0,1.0,,,4.0,0.0,2.0,2.0,1.0,75.0,18.0,1.0,10.0,4.0,1.0,1.0,9.0,43.0,12.0,,752.0,2.0,10.0,18.0,8.0,56.0,1.0,6.0,538.0,12.0,,10.0,320.0,14.0,3.0,,2.0,16.0,,16.0,5.0,7.0,,3.0,12.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,3.0,4.0,1.0,,,2.0,,,1.0,,,32.43,109779.7,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,2.6314,1.0,,,,,,,1.0,2.24951,,,,,,1.0,2.5457,,,,,,1.0,,1.0,,,,,,0.0632,1.0,1.0,,
34,2444801,2025-04-23 20:00:00,"Emirates Stadium, London",60167,Home,Arsenal,Crystal Palace,2,2,D,2,1,0,0,2.0,1.0,42.0,1.0,1.0,1.0,7.0,20.0,3.0,6.0,9.0,2.0,1.0,2.0,125.0,4.0,4.0,2.0,1.0,9.0,1.0,6.0,260.0,96.0,18.0,12.0,1.0,9.0,3.0,,1.0,1.0,3.0,14.0,5.0,,1.0,20.0,3.0,2.0,26.0,326.0,,0.0,141.0,4.0,1.0,3.0,1.0,89.0,79.0,6.0,85.0,1.0,11.0,12.0,3.0,4.0,1.0,96.0,2.0,11.0,241.0,860.0,5.0,1.0,23.0,8.0,641.0,13.0,,10.0,2.0,1.0,5.0,3.0,10.0,696.0,66.0,2.0,103955,6.0,334.0,3.0,4.0,,3.0,345.0,1.0,6.0,8.0,36.0,9.0,1.0,12.0,4.0,8.0,,18.0,656.0,6.0,7.0,2.0,4.0,1.0,58.0,1.0,2.0,0.0,1.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,67.7,9.0,1.0,2.0,1.0,1.0,9.0,2.0,47.0,3.0,1.0,711.0,8.0,11.0,14.0,4.0,26.0,2.0,3.0,380.0,4.0,2.0,1.0,109.0,18.0,1.0,,10.0,7.0,1.0,7.0,3.0,9.0,,6.0,3.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,33.05,112688.33,1.0,2.0,1.0,2.0,,1.0,,,,,,1.0,,,1.0,,1.0,,1.8228,,,1.4694,,,,1.0,,0.76465,,,,,,,1.184,,,,,1.0,,,,,,,,,,,,,1.0
35,2444810,2025-05-03 17:30:00,"Emirates Stadium, London",60110,Home,Arsenal,Bournemouth,1,2,L,1,0,0,0,,1.0,44.0,,3.0,,12.0,15.0,1.0,3.0,12.0,,,1.0,153.0,1.0,10.0,1.0,2.0,8.0,3.0,4.0,109.0,108.0,47.0,13.0,1.0,9.0,3.0,1.0,1.0,1.0,,8.0,9.0,,,15.0,2.0,5.0,21.0,161.0,,0.0,118.0,7.0,,1.0,,53.0,42.0,4.0,60.0,5.0,6.0,13.0,1.0,1.0,,108.0,2.0,6.0,105.0,589.0,7.0,1.0,32.0,8.0,341.0,15.0,5.0,8.0,1.0,0.0,2.0,4.0,14.0,401.0,42.0,1.0,444145,8.0,203.0,3.0,4.0,,,213.0,7.0,9.0,7.0,35.0,4.0,1.0,18.0,3.0,6.0,,36.0,363.0,16.0,7.0,,18.0,,58.0,,,0.0,1.0,3.0,,1.0,0.0,1.0,1.0,3.0,50.3,12.0,1.0,2.0,3.0,2.0,5.0,4.0,27.0,2.0,,427.0,8.0,4.0,6.0,5.0,19.0,,5.0,222.0,7.0,5.0,9.0,87.0,19.0,,1.0,8.0,12.0,,11.0,4.0,18.0,1.0,9.0,2.0,,,1.0,,,,,4.0,1.0,1.0,6.0,3.0,,,1.0,,,1.0,,,32.76,111248.67,,2.0,2.0,3.0,,,,,,2.0,,,,,,,,,1.6638,,,1.5213,,,,,,1.09692,,,,,,,1.4174,,,,,,1.0,,1.0,,,,,,0.0644,,,,
36,2444823,2025-05-11 16:30:00,"Anfield, Liverpool",60324,Away,Arsenal,Liverpool,2,2,D,0,2,1,0,3.0,2.0,47.0,1.0,3.0,,14.0,17.0,4.0,8.0,11.0,3.0,,2.0,150.0,5.0,8.0,2.0,3.0,11.0,1.0,7.0,134.0,108.0,45.0,15.0,1.0,8.0,3.0,4.0,1.0,2.0,1.0,14.0,12.0,,2.0,17.0,,5.0,21.0,190.0,,0.0,141.0,10.0,2.0,3.0,1.0,56.0,66.0,8.0,54.0,1.0,14.0,17.0,4.0,2.0,1.0,108.0,3.0,10.0,109.0,614.0,9.0,3.0,36.0,5.0,364.0,15.0,2.0,8.0,1.0,1.0,1.0,3.0,9.0,416.0,48.0,1.0,462424,6.0,199.0,2.0,9.0,,2.0,206.0,7.0,6.0,13.0,36.0,6.0,2.0,15.0,4.0,8.0,1.0,39.0,384.0,13.0,2.0,1.0,12.0,,53.0,,1.0,0.0,,3.0,2.0,2.0,1.0,5.0,1.0,2.0,55.6,7.0,,6.0,,,7.0,4.0,30.0,1.0,1.0,447.0,5.0,9.0,10.0,4.0,30.0,,3.0,255.0,5.0,5.0,5.0,103.0,17.0,1.0,1.0,8.0,20.0,2.0,13.0,3.0,15.0,1.0,6.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,34.76,109600.1,,2.0,2.0,,1.0,,2.0,1.0,,,2.0,,1.0,,,,,,2.4743,,,2.7008,,,,,1.0,1.02942,,,,,,,2.5759,,1.0,,,1.0,,,,,,,,,,,,,
37,2444830,2025-05-18 16:30:00,"Emirates Stadium, London",60160,Home,Arsenal,Newcastle United,1,0,W,0,0,0,0,1.0,,57.0,,4.0,,18.0,30.0,5.0,5.0,7.0,5.0,,1.0,139.0,5.0,8.0,1.0,1.0,12.0,,4.0,95.0,123.0,49.0,12.0,1.0,19.0,2.0,2.0,1.0,1.0,1.0,15.0,9.0,,1.0,30.0,6.0,3.0,26.0,222.0,1.0,0.0,150.0,9.0,4.0,1.0,2.0,63.0,61.0,9.0,72.0,1.0,9.0,9.0,5.0,4.0,2.0,123.0,1.0,10.0,102.0,612.0,10.0,2.0,32.0,6.0,328.0,24.0,5.0,17.0,1.0,3.0,5.0,3.0,18.0,393.0,56.0,4.0,444145,,120.0,1.0,4.0,,,133.0,6.0,6.0,3.0,51.0,6.0,1.0,16.0,4.0,1.0,,47.0,337.0,9.0,4.0,1.0,17.0,3.0,48.0,1.0,1.0,0.0,3.0,7.0,4.0,,0.0,3.0,1.0,1.0,51.4,15.0,,3.0,3.0,,6.0,5.0,25.0,10.0,3.0,408.0,6.0,13.0,12.0,3.0,31.0,2.0,1.0,290.0,6.0,3.0,15.0,111.0,20.0,,5.0,17.0,17.0,,8.0,4.0,15.0,5.0,6.0,10.0,,1.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,,2.0,,34.22,112373.86,2.0,,,,1.0,,2.0,1.0,,1.0,2.0,,,,,,,1.0,1.3465,,,1.9414,,,,,,0.560502,,,,,,,0.6397,,,,,,,,,,,,,,,,,,
38,2444847,2025-05-25 16:00:00,"St. Mary's Stadium, Southampton",31289,Away,Arsenal,Southampton,2,1,W,1,0,0,0,1.0,1.0,43.0,1.0,5.0,1.0,14.0,23.0,7.0,12.0,16.0,1.0,1.0,4.0,129.0,6.0,10.0,2.0,2.0,20.0,,8.0,145.0,100.0,49.0,23.0,5.0,13.0,5.0,2.0,1.0,5.0,2.0,29.0,4.0,,1.0,23.0,6.0,3.0,20.0,393.0,,0.0,284.0,8.0,1.0,1.0,2.0,92.0,111.0,15.0,92.0,1.0,24.0,16.0,7.0,9.0,,100.0,3.0,5.0,167.0,721.0,16.0,3.0,38.0,2.0,475.0,11.0,3.0,13.0,2.0,0.0,3.0,5.0,14.0,520.0,67.0,1.0,103955,9.0,99.0,3.0,14.0,2.0,,106.0,4.0,6.0,1.0,52.0,4.0,1.0,9.0,2.0,1.0,1.0,22.0,486.0,7.0,14.0,2.0,7.0,4.0,34.0,,,0.0,1.0,5.0,1.0,1.0,0.0,6.0,1.0,4.0,61.8,13.0,2.0,1.0,1.0,1.0,4.0,10.0,26.0,8.0,2.0,533.0,2.0,11.0,9.0,5.0,44.0,1.0,4.0,456.0,7.0,3.0,14.0,250.0,26.0,,3.0,13.0,18.0,,19.0,5.0,17.0,3.0,6.0,8.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,33.85,105813.58,2.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,1.4136,1.0,1.0,0.9922,,,,,1.0,2.22423,,,,,,,2.3876,,,,,,,,,,1.0,,1.0,1.0,,,,,
