gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,fouledFinalThird,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attOboxGoal,ptsGainedLosingPos,freekickTotal,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,errorLeadToShot,sixYardBlock,attRfGoal,defenderGoals,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,goalsConceded,possessionPercentage,accurateCornersIntobox,attMissHighRight,penaltyWon,attSvHighLeft,interceptionsInBox,attPenGoal,attSvLowRight,attFreekickTarget,attSvHighCentre,goalsConcededIbox,attGoalHighRight,errorLeadToGoal,postScoringAtt,attIboxPost,attSvHighRight,attGoalHighCentre,attPostLeft,attHdPost,attOboxPost,attPostHigh,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,midfielderGoals,attLgCentre,shotFastbreak,totalFastbreak,attFastbreak,foulThrowIn,attOneOnOne,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,attFreekickMiss,clearanceOffLine,attPostRight,attObxdLeft,attIboxOwnGoal,attFreekickPost,attPenTarget
27,2128549,2021-03-08 18:00:00,"Stamford Bridge, London",,Away,Everton,Chelsea,0,2,L,0,1,0,0,,1.0,33.0,47.0,2.0,,,,26.0,11.0,5.0,2.0,2.0,8.0,,122.0,14.0,1.0,6.0,,5.0,,,1.0,100.0,117.0,38.0,7.0,15.0,,,,,,11.0,5.0,1.0,11.0,3.0,4.0,30.0,112.0,,0.0,82.0,12.0,4.0,,,,54.0,46.0,2.0,57.0,3.0,8.0,13.0,5.0,3.0,2.0,117.0,,12.0,90.0,521.0,5.0,6.0,8.0,9.0,282.0,21.0,3.0,4.0,,,3.0,4.0,3.0,15.0,347.0,34.0,,78007,2.0,187.0,,5.0,,205.0,8.0,,13.0,6.0,61.0,,1.0,,5.0,13.0,8.0,5.0,,56.0,298.0,10.0,16.0,15.0,57.0,,,1.0,0.0,2.0,7.0,6.0,,2.0,0.0,1.0,,,1.0,12.0,1.0,3.0,,5.0,2.0,24.0,3.0,,369.0,9.0,15.0,17.0,4.0,11.0,2.0,175.0,4.0,4.0,12.0,53.0,16.0,,2.0,4.0,10.0,,5.0,3.0,9.0,2.0,8.0,3.0,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,34.5,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,
28,2128558,2021-03-13 17:30:00,"Goodison Park, Liverpool",,Home,Everton,Burnley,1,2,L,1,2,0,0,1.0,1.0,,69.0,,3.0,,,39.0,12.0,5.0,4.0,9.0,3.0,2.0,182.0,,9.0,5.0,1.0,13.0,,,4.0,142.0,158.0,38.0,14.0,19.0,1.0,1.0,,,,32.0,4.0,2.0,12.0,7.0,8.0,46.0,220.0,,0.0,159.0,9.0,1.0,,3.0,1.0,84.0,74.0,8.0,88.0,3.0,25.0,13.0,5.0,10.0,1.0,158.0,3.0,7.0,135.0,721.0,9.0,6.0,22.0,7.0,431.0,34.0,3.0,8.0,1.0,,0.0,3.0,5.0,26.0,531.0,65.0,2.0,78007,5.0,233.0,2.0,12.0,3.0,261.0,4.0,,13.0,7.0,43.0,,1.0,2.0,7.0,19.0,7.0,4.0,,69.0,444.0,6.0,11.0,17.0,87.0,,,,0.0,2.0,4.0,3.0,1.0,1.0,0.0,7.0,1.0,1.0,5.0,23.0,3.0,1.0,1.0,7.0,5.0,57.0,7.0,1.0,547.0,7.0,3.0,27.0,5.0,37.0,4.0,318.0,5.0,7.0,19.0,113.0,26.0,1.0,1.0,8.0,8.0,1.0,9.0,3.0,8.0,1.0,2.0,7.0,1.0,1.0,,,,,3.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,3.0,2.0,2.0,65.5,2.0,1.0,,,,,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2128574,2021-03-04 18:00:00,"The Hawthorns, West Bromwich",,Away,Everton,West Bromwich Albion,1,0,W,0,0,0,0,1.0,,26.0,75.0,2.0,2.0,1.0,,22.0,31.0,6.0,3.0,5.0,3.0,2.0,183.0,6.0,2.0,12.0,1.0,8.0,,,3.0,125.0,148.0,62.0,11.0,13.0,1.0,,,1.0,,15.0,11.0,1.0,31.0,3.0,6.0,38.0,161.0,1.0,0.0,121.0,7.0,2.0,1.0,2.0,,74.0,36.0,7.0,88.0,1.0,12.0,17.0,6.0,6.0,1.0,148.0,1.0,7.0,104.0,704.0,7.0,7.0,22.0,7.0,391.0,33.0,4.0,16.0,1.0,,1.0,5.0,1.0,14.0,483.0,55.0,,78007,3.0,246.0,1.0,4.0,,272.0,5.0,,17.0,4.0,42.0,,2.0,2.0,6.0,20.0,4.0,3.0,1.0,48.0,405.0,7.0,14.0,13.0,64.0,,,,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,,1.0,8.0,,2.0,1.0,6.0,6.0,45.0,3.0,1.0,500.0,7.0,4.0,14.0,2.0,30.0,1.0,243.0,7.0,5.0,23.0,69.0,32.0,1.0,4.0,16.0,20.0,1.0,10.0,3.0,17.0,4.0,5.0,3.0,,1.0,,,,1.0,2.0,,4.0,,,,,,,,,,,1.0,,,,,,1.0,,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2128579,2021-04-05 18:00:00,"Goodison Park, Liverpool",,Home,Everton,Crystal Palace,1,1,D,0,0,0,0,,1.0,28.0,62.0,2.0,,,,36.0,19.0,4.0,3.0,11.0,5.0,5.0,146.0,13.0,6.0,6.0,1.0,13.0,,1.0,7.0,132.0,132.0,48.0,15.0,10.0,5.0,,,3.0,2.0,16.0,9.0,1.0,19.0,3.0,,43.0,162.0,,0.0,123.0,10.0,3.0,1.0,2.0,,58.0,45.0,7.0,62.0,1.0,13.0,23.0,4.0,4.0,2.0,132.0,6.0,8.0,119.0,640.0,9.0,5.0,22.0,9.0,350.0,28.0,2.0,8.0,1.0,,2.0,3.0,6.0,15.0,439.0,61.0,1.0,78007,10.0,212.0,6.0,7.0,1.0,235.0,6.0,,23.0,9.0,45.0,1.0,2.0,2.0,6.0,10.0,5.0,9.0,2.0,64.0,368.0,9.0,8.0,12.0,69.0,,,,0.0,,4.0,3.0,1.0,,0.0,4.0,1.0,1.0,4.0,13.0,4.0,5.0,,6.0,1.0,38.0,3.0,,459.0,9.0,9.0,23.0,7.0,25.0,5.0,240.0,8.0,,17.0,80.0,22.0,1.0,3.0,8.0,16.0,,11.0,3.0,14.0,3.0,11.0,3.0,,,,1.0,,,3.0,1.0,1.0,1.0,,,1.0,,,,,2.0,1.0,,1.0,,,1.0,3.0,2.0,1.0,47.5,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,
31,2128586,2021-04-12 20:15:00,"American Express Stadium, Falmer",,Away,Everton,Brighton and Hove Albion,0,0,D,0,0,0,0,,,25.0,57.0,,,,,32.0,21.0,5.0,4.0,3.0,3.0,1.0,143.0,12.0,3.0,9.0,,4.0,,,1.0,101.0,142.0,43.0,8.0,11.0,1.0,,,,2.0,14.0,6.0,,21.0,3.0,3.0,36.0,118.0,1.0,0.0,72.0,7.0,1.0,,,1.0,46.0,24.0,2.0,55.0,,11.0,21.0,5.0,3.0,4.0,142.0,,15.0,101.0,592.0,4.0,4.0,14.0,19.0,296.0,29.0,8.0,14.0,,,2.0,10.0,2.0,22.0,377.0,36.0,,60025,2.0,196.0,,8.0,,234.0,5.0,,21.0,10.0,42.0,1.0,,1.0,7.0,13.0,8.0,5.0,3.0,58.0,311.0,12.0,6.0,19.0,59.0,,,,0.0,1.0,10.0,3.0,,2.0,0.0,3.0,,1.0,1.0,13.0,1.0,4.0,,7.0,1.0,35.0,3.0,1.0,400.0,19.0,14.0,20.0,6.0,20.0,2.0,180.0,3.0,2.0,16.0,50.0,16.0,,1.0,14.0,7.0,,7.0,2.0,13.0,1.0,6.0,3.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,44.8,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
32,2128599,2021-04-16 20:00:00,"Goodison Park, Liverpool",,Home,Everton,Tottenham Hotspur,2,2,D,1,1,0,0,,2.0,34.0,79.0,,,,,21.0,22.0,6.0,4.0,12.0,1.0,2.0,171.0,17.0,3.0,5.0,2.0,13.0,,,7.0,118.0,158.0,53.0,18.0,18.0,4.0,1.0,,3.0,4.0,11.0,12.0,1.0,22.0,6.0,8.0,29.0,196.0,,0.0,126.0,8.0,,1.0,2.0,,73.0,49.0,7.0,100.0,,5.0,20.0,6.0,2.0,2.0,158.0,,7.0,113.0,706.0,9.0,3.0,25.0,8.0,385.0,27.0,2.0,12.0,1.0,,1.0,5.0,6.0,20.0,488.0,43.0,1.0,78007,10.0,201.0,,1.0,1.0,227.0,5.0,,20.0,6.0,52.0,,,2.0,8.0,16.0,5.0,2.0,2.0,59.0,394.0,8.0,7.0,20.0,72.0,,1.0,,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,17.0,2.0,5.0,,8.0,3.0,31.0,6.0,,502.0,8.0,10.0,14.0,8.0,21.0,6.0,286.0,11.0,7.0,18.0,87.0,37.0,,,12.0,22.0,,12.0,2.0,14.0,,8.0,6.0,,1.0,1.0,1.0,1.0,,4.0,1.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,3.0,3.0,2.0,52.8,2.0,2.0,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
33,2128606,2021-04-23 20:00:00,"Emirates Stadium, London",,Away,Everton,Arsenal,1,0,W,0,0,0,0,,1.0,28.0,54.0,1.0,2.0,,,23.0,18.0,4.0,6.0,4.0,3.0,,148.0,14.0,1.0,9.0,1.0,4.0,1.0,,1.0,110.0,110.0,53.0,8.0,12.0,1.0,,,1.0,1.0,11.0,14.0,,18.0,3.0,4.0,39.0,94.0,1.0,0.0,55.0,10.0,2.0,,1.0,,35.0,28.0,3.0,74.0,1.0,8.0,10.0,4.0,3.0,1.0,110.0,,9.0,106.0,590.0,4.0,2.0,11.0,8.0,346.0,33.0,5.0,11.0,,,3.0,8.0,1.0,9.0,419.0,34.0,,78007,4.0,265.0,,4.0,,299.0,5.0,1.0,10.0,5.0,37.0,,,1.0,7.0,9.0,5.0,2.0,,55.0,358.0,13.0,6.0,23.0,48.0,,1.0,,0.0,,7.0,2.0,1.0,1.0,0.0,1.0,,1.0,1.0,9.0,1.0,1.0,,7.0,4.0,25.0,3.0,,438.0,8.0,9.0,22.0,3.0,17.0,1.0,150.0,1.0,4.0,13.0,37.0,12.0,,2.0,11.0,19.0,,4.0,3.0,10.0,2.0,2.0,3.0,,,,,,,2.0,2.0,2.0,,,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,2.0,,40.9,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,2128620,2021-05-01 20:00:00,"Goodison Park, Liverpool",,Home,Everton,Aston Villa,1,2,L,1,1,0,0,,1.0,25.0,65.0,,3.0,1.0,1.0,29.0,15.0,8.0,6.0,8.0,3.0,,156.0,12.0,3.0,6.0,1.0,12.0,1.0,,3.0,87.0,129.0,48.0,16.0,16.0,2.0,1.0,2.0,2.0,1.0,18.0,13.0,,15.0,3.0,1.0,44.0,152.0,,0.0,117.0,10.0,2.0,,3.0,1.0,57.0,50.0,7.0,76.0,3.0,15.0,17.0,8.0,4.0,5.0,129.0,2.0,7.0,102.0,607.0,11.0,5.0,21.0,7.0,330.0,26.0,2.0,5.0,1.0,2.0,0.0,3.0,5.0,19.0,400.0,59.0,,78007,3.0,196.0,1.0,8.0,1.0,212.0,5.0,1.0,17.0,5.0,49.0,,,2.0,2.0,17.0,6.0,3.0,2.0,58.0,345.0,11.0,8.0,12.0,68.0,,,,0.0,2.0,6.0,3.0,1.0,2.0,0.0,2.0,1.0,,2.0,17.0,,2.0,2.0,2.0,6.0,34.0,3.0,2.0,421.0,7.0,9.0,19.0,7.0,25.0,2.0,227.0,8.0,1.0,11.0,76.0,31.0,1.0,1.0,5.0,20.0,1.0,14.0,3.0,12.0,1.0,8.0,3.0,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,1.0,2.0,47.5,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2128634,2021-05-09 16:30:00,"London Stadium, London",,Away,Everton,West Ham United,1,0,W,1,0,0,0,,1.0,,60.0,,1.0,,,19.0,34.0,2.0,2.0,7.0,,1.0,126.0,,3.0,14.0,1.0,7.0,,,3.0,58.0,119.0,63.0,9.0,12.0,1.0,,,,,14.0,15.0,1.0,34.0,6.0,2.0,24.0,73.0,1.0,0.0,63.0,10.0,,1.0,,1.0,24.0,34.0,3.0,36.0,3.0,8.0,13.0,2.0,2.0,,119.0,2.0,8.0,58.0,471.0,5.0,10.0,12.0,6.0,195.0,32.0,4.0,20.0,1.0,,1.0,5.0,4.0,12.0,257.0,38.0,,78007,4.0,136.0,1.0,6.0,,160.0,7.0,1.0,13.0,8.0,45.0,,1.0,2.0,6.0,11.0,3.0,5.0,,51.0,206.0,8.0,7.0,20.0,54.0,,,,0.0,2.0,5.0,,1.0,3.0,0.0,1.0,1.0,2.0,3.0,7.0,2.0,1.0,1.0,6.0,2.0,27.0,6.0,1.0,278.0,6.0,7.0,12.0,4.0,18.0,3.0,132.0,4.0,2.0,17.0,33.0,16.0,1.0,5.0,20.0,24.0,,6.0,3.0,23.0,5.0,4.0,6.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,31.4,2.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,
36,2128638,2021-05-16 19:00:00,"Goodison Park, Liverpool",,Home,Everton,Sheffield United,0,1,L,0,1,0,0,,1.0,22.0,58.0,2.0,3.0,,,26.0,15.0,4.0,2.0,12.0,2.0,2.0,185.0,14.0,5.0,7.0,,14.0,,,6.0,182.0,140.0,67.0,16.0,12.0,5.0,1.0,2.0,2.0,,26.0,11.0,1.0,15.0,9.0,7.0,50.0,240.0,,0.0,144.0,8.0,,4.0,1.0,1.0,65.0,46.0,9.0,93.0,2.0,17.0,15.0,4.0,7.0,1.0,140.0,1.0,5.0,175.0,824.0,12.0,2.0,21.0,8.0,526.0,28.0,2.0,8.0,,2.0,1.0,4.0,5.0,25.0,611.0,69.0,,60025,8.0,312.0,2.0,9.0,,337.0,5.0,,15.0,4.0,43.0,,1.0,,7.0,16.0,5.0,3.0,3.0,57.0,547.0,12.0,9.0,11.0,71.0,,,,0.0,,4.0,,,,0.0,2.0,,,6.0,24.0,3.0,5.0,1.0,7.0,5.0,44.0,11.0,1.0,635.0,8.0,7.0,25.0,5.0,45.0,4.0,324.0,8.0,6.0,28.0,106.0,15.0,,,8.0,21.0,,12.0,3.0,14.0,,6.0,11.0,,,,,,,1.0,,2.0,,,,,,3.0,,,,1.0,,,,,,2.0,4.0,1.0,62.4,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2128650,2021-05-19 18:00:00,"Goodison Park, Liverpool",6068.0,Home,Everton,Wolverhampton Wanderers,1,0,W,0,0,0,0,,,31.0,59.0,1.0,2.0,1.0,1.0,28.0,33.0,5.0,1.0,9.0,3.0,1.0,143.0,18.0,6.0,13.0,1.0,12.0,,,4.0,79.0,122.0,69.0,14.0,10.0,3.0,2.0,,1.0,3.0,19.0,12.0,,33.0,7.0,7.0,27.0,150.0,1.0,0.0,108.0,11.0,1.0,,1.0,1.0,55.0,47.0,9.0,57.0,1.0,12.0,15.0,5.0,5.0,1.0,122.0,,5.0,98.0,580.0,8.0,3.0,17.0,10.0,283.0,29.0,1.0,20.0,1.0,,0.0,4.0,3.0,11.0,357.0,41.0,,78007,6.0,155.0,,6.0,,180.0,5.0,1.0,15.0,7.0,52.0,,2.0,,2.0,15.0,4.0,7.0,,52.0,299.0,11.0,19.0,13.0,56.0,1.0,,1.0,0.0,2.0,12.0,2.0,1.0,1.0,0.0,2.0,1.0,,6.0,9.0,3.0,3.0,,2.0,6.0,38.0,7.0,2.0,377.0,10.0,5.0,19.0,4.0,30.0,3.0,216.0,7.0,7.0,24.0,70.0,22.0,1.0,6.0,20.0,21.0,1.0,9.0,3.0,20.0,6.0,6.0,7.0,,,,,,,1.0,,4.0,,,,,,2.0,,,1.0,1.0,,,,,,3.0,5.0,,41.0,4.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
38,2128662,2021-05-23 16:00:00,"Etihad Stadium, Manchester",10000.0,Away,Everton,Manchester City,0,5,L,0,2,0,0,,1.0,26.0,54.0,,2.0,,,21.0,18.0,4.0,3.0,4.0,6.0,2.0,119.0,10.0,,11.0,,4.0,,,3.0,82.0,103.0,42.0,8.0,8.0,2.0,1.0,,2.0,,11.0,9.0,1.0,18.0,5.0,7.0,31.0,102.0,,0.0,82.0,10.0,4.0,1.0,1.0,,25.0,39.0,3.0,63.0,,6.0,9.0,4.0,4.0,2.0,103.0,,17.0,76.0,489.0,4.0,4.0,12.0,10.0,255.0,21.0,2.0,7.0,,,2.0,3.0,1.0,15.0,321.0,51.0,,59949,2.0,167.0,1.0,1.0,1.0,182.0,7.0,,9.0,5.0,45.0,,,1.0,4.0,7.0,4.0,2.0,1.0,50.0,269.0,8.0,17.0,14.0,56.0,,,1.0,0.0,2.0,7.0,6.0,,2.0,0.0,,,,,14.0,,6.0,,4.0,3.0,28.0,5.0,,340.0,10.0,3.0,16.0,2.0,20.0,,169.0,5.0,7.0,11.0,43.0,21.0,,2.0,7.0,12.0,,5.0,3.0,18.0,2.0,5.0,5.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,5.0,32.3,,,1.0,,1.0,,,,,4.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0
