gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,attGoalLowLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attMissHighRight,attOboxGoal,attSvHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attRfGoal,totalPullBack,attCmissHigh,totalOffside,attCmissHighLeft,goalsOpenplay,attFastbreak,overrun,goalsConceded,forwardGoals,errorLeadToGoal,attSvLowLeft,goalsConcededIbox,accuratePullBack,contentiousDecision,defenderGoals,attCmissLeft,attOboxPost,attPostRight,goalFastbreak,attOneOnOne,attGoalHighLeft,attGoalHighCentre,attHdPost,accurateThroughBall,penaltyWon,attPenGoal,secondYellow,attOboxOwnGoal,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attemptsIbox,saves,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attFreekickPost,attFreekickGoal,attObxdLeft,foulThrowIn,attObxLeft,attCmissHighRight,attObxdRight,attLgCentre
28,442271,2013-03-02 15:00:00,"Goodison Park, Liverpool",35244,Home,Everton,Reading,3,1,W,1,0,0,0,2.0,1.0,53.0,,4.0,2.0,,,27.0,51.0,6.0,6.0,6.0,158.0,11.0,4.0,3.0,1.0,19.0,12.0,115.0,183.0,60.0,,21.0,,19.0,6.0,,5.0,3.0,32.0,,13.0,3.0,23.0,7.0,16.0,29.0,232.0,1.0,,0.0,162.0,8.0,2.0,,2.0,1.0,2.0,61.0,98.0,12.0,71.0,2.0,3.0,25.0,,6.0,3.0,155.0,4.0,5.0,,88.0,677.0,15.0,16.0,1.0,,18.0,17.0,,10.0,36.0,3.0,1.0,2.0,7.0,28.0,64.0,,94064,9.0,123.0,18.0,,,145.0,9.0,51.0,3.0,6.0,11.0,9.0,3.0,1.0,53.0,344.0,8.0,4.0,1.0,36.0,71.0,2.0,1.0,0.0,,10.0,,2.0,,9.0,0.0,9.0,2.0,1.0,5.0,60.0,22.0,3.0,2.0,3.0,1.0,6.0,2.0,,34.0,9.0,2.0,432.0,11.0,,14.0,17.0,7.0,16.0,2.0,4.0,319.0,10.0,13.0,32.0,124.0,24.0,12.0,17.0,16.0,1.0,20.0,3.0,10.0,12.0,9.0,,,1.0,1.0,,3.0,,,2.0,3.0,,,1.0,,2.0,1.0,4.0,1.0,1.0,,1.0,,3.0,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
29,442291,2013-03-16 12:45:00,"Goodison Park, Liverpool",36519,Home,Everton,Manchester City,2,0,W,1,0,1,0,,,54.0,,3.0,2.0,,,19.0,29.0,6.0,4.0,,111.0,9.0,5.0,2.0,5.0,8.0,3.0,64.0,149.0,52.0,1.0,12.0,3.0,19.0,1.0,,,1.0,36.0,,14.0,,18.0,11.0,9.0,24.0,142.0,,1.0,0.0,114.0,16.0,4.0,6.0,1.0,3.0,1.0,61.0,43.0,4.0,45.0,2.0,1.0,25.0,1.0,4.0,1.0,138.0,1.0,10.0,,50.0,508.0,4.0,7.0,1.0,,26.0,19.0,,7.0,17.0,2.0,3.0,5.0,4.0,24.0,51.0,1.0,94064,4.0,70.0,18.0,1.0,1.0,83.0,9.0,47.0,2.0,7.0,19.0,10.0,5.0,2.0,42.0,203.0,10.0,4.0,2.0,25.0,59.0,,4.0,0.0,,6.0,5.0,,,2.0,1.0,5.0,1.0,,3.0,40.6,18.0,2.0,1.0,,,8.0,5.0,,31.0,13.0,1.0,270.0,19.0,,3.0,10.0,4.0,13.0,4.0,3.0,223.0,4.0,9.0,17.0,77.0,22.0,5.0,11.0,20.0,,6.0,2.0,12.0,5.0,13.0,,2.0,1.0,2.0,,,1.0,,,2.0,,,2.0,,,,1.0,,,,3.0,,2.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,442279,2013-04-16 19:45:00,"Emirates Stadium, London",60071,Away,Everton,Arsenal,0,0,D,0,0,0,0,1.0,,63.0,,,1.0,,,22.0,35.0,9.0,5.0,1.0,160.0,2.0,8.0,,3.0,9.0,2.0,78.0,140.0,64.0,1.0,12.0,4.0,17.0,,,1.0,,14.0,,26.0,2.0,17.0,1.0,7.0,23.0,167.0,,1.0,0.0,116.0,13.0,1.0,,,2.0,,64.0,53.0,4.0,67.0,1.0,2.0,13.0,1.0,3.0,3.0,140.0,1.0,9.0,,94.0,620.0,8.0,6.0,,,14.0,27.0,1.0,6.0,18.0,,3.0,4.0,5.0,21.0,61.0,1.0,88894,3.0,150.0,8.0,,2.0,163.0,10.0,60.0,2.0,7.0,12.0,2.0,7.0,1.0,52.0,315.0,11.0,11.0,1.0,22.0,84.0,1.0,,0.0,,8.0,2.0,,,3.0,0.0,2.0,,2.0,1.0,43.2,12.0,1.0,3.0,,,8.0,5.0,,44.0,1.0,,399.0,9.0,,13.0,10.0,5.0,24.0,,2.0,250.0,6.0,6.0,12.0,71.0,20.0,8.0,9.0,33.0,,9.0,3.0,14.0,8.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,2.0,,9.0,12.0,304.0,379.0,,,,,,,,,,
31,442301,2013-03-30 17:30:00,"Goodison Park, Liverpool",33977,Home,Everton,Stoke City,1,0,W,1,0,0,0,,1.0,55.0,,2.0,1.0,,,32.0,43.0,10.0,6.0,3.0,158.0,5.0,10.0,1.0,5.0,12.0,6.0,95.0,170.0,67.0,3.0,18.0,4.0,25.0,2.0,,1.0,1.0,20.0,,10.0,3.0,23.0,3.0,9.0,21.0,192.0,,1.0,0.0,155.0,13.0,2.0,3.0,,2.0,2.0,102.0,59.0,7.0,53.0,,3.0,17.0,3.0,4.0,3.0,150.0,,6.0,,91.0,619.0,12.0,10.0,2.0,,7.0,16.0,2.0,9.0,25.0,,1.0,2.0,5.0,32.0,81.0,2.0,97299,4.0,118.0,11.0,,,124.0,7.0,69.0,2.0,9.0,7.0,5.0,6.0,1.0,59.0,305.0,18.0,5.0,,30.0,75.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,,4.0,0.0,5.0,,,3.0,54.0,26.0,1.0,2.0,1.0,1.0,9.0,5.0,,37.0,4.0,2.0,397.0,5.0,1.0,18.0,8.0,7.0,19.0,,4.0,293.0,9.0,9.0,24.0,92.0,28.0,3.0,14.0,15.0,,15.0,1.0,18.0,3.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,442317,2013-04-07 14:05:00,"White Hart Lane, London",36192,Away,Everton,Tottenham Hotspur,2,2,D,1,1,0,0,2.0,1.0,51.0,,4.0,,1.0,1.0,35.0,44.0,5.0,2.0,,150.0,3.0,4.0,2.0,1.0,6.0,4.0,56.0,170.0,72.0,,9.0,1.0,14.0,1.0,,2.0,1.0,15.0,,23.0,1.0,21.0,5.0,4.0,16.0,124.0,,,0.0,126.0,8.0,1.0,1.0,,2.0,5.0,55.0,51.0,3.0,39.0,1.0,2.0,10.0,,1.0,3.0,147.0,1.0,5.0,,64.0,541.0,3.0,9.0,,,17.0,21.0,,19.0,24.0,2.0,1.0,5.0,3.0,20.0,67.0,,97299,2.0,91.0,7.0,,,108.0,10.0,50.0,1.0,13.0,9.0,15.0,9.0,1.0,64.0,212.0,15.0,9.0,1.0,41.0,84.0,,1.0,0.0,,7.0,1.0,2.0,,3.0,0.0,1.0,1.0,,2.0,38.1,14.0,1.0,1.0,,,13.0,1.0,,45.0,6.0,5.0,309.0,11.0,,8.0,8.0,4.0,21.0,2.0,1.0,216.0,5.0,4.0,19.0,71.0,14.0,6.0,13.0,34.0,1.0,7.0,2.0,15.0,6.0,6.0,,,2.0,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,442322,2013-04-13 15:00:00,"Goodison Park, Liverpool",34876,Home,Everton,Queens Park Rangers,2,0,W,1,0,0,0,,1.0,59.0,1.0,1.0,4.0,1.0,,25.0,12.0,3.0,3.0,1.0,168.0,9.0,4.0,2.0,6.0,12.0,5.0,70.0,174.0,59.0,,13.0,1.0,16.0,3.0,1.0,1.0,1.0,33.0,1.0,18.0,,8.0,10.0,10.0,19.0,220.0,,1.0,0.0,199.0,6.0,2.0,1.0,1.0,4.0,2.0,90.0,87.0,9.0,68.0,,1.0,23.0,,4.0,1.0,170.0,2.0,4.0,,93.0,613.0,8.0,6.0,2.0,1.0,9.0,16.0,,8.0,8.0,1.0,3.0,4.0,3.0,43.0,84.0,1.0,88894,5.0,93.0,15.0,1.0,2.0,104.0,6.0,55.0,3.0,9.0,9.0,6.0,3.0,,45.0,304.0,13.0,9.0,3.0,27.0,75.0,1.0,,0.0,,5.0,2.0,1.0,,,0.0,5.0,1.0,1.0,2.0,60.2,33.0,,5.0,2.0,,9.0,5.0,,44.0,13.0,2.0,399.0,7.0,,19.0,10.0,3.0,22.0,4.0,1.0,328.0,8.0,8.0,16.0,135.0,25.0,1.0,6.0,26.0,,7.0,3.0,9.0,1.0,13.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,2.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
34,442334,2013-04-20 15:00:00,"Stadium of Light, Sunderland",44614,Away,Everton,Sunderland,0,1,L,0,1,0,0,1.0,,50.0,,1.0,2.0,,,31.0,25.0,2.0,2.0,1.0,154.0,6.0,4.0,,2.0,10.0,2.0,99.0,167.0,52.0,,11.0,2.0,20.0,2.0,,1.0,1.0,26.0,,15.0,,16.0,8.0,2.0,25.0,174.0,,,0.0,150.0,15.0,3.0,,,1.0,,86.0,46.0,6.0,54.0,1.0,2.0,18.0,,6.0,,158.0,1.0,2.0,,122.0,625.0,7.0,13.0,,,10.0,21.0,,5.0,12.0,,2.0,,4.0,31.0,71.0,,88894,3.0,166.0,11.0,1.0,2.0,182.0,8.0,62.0,,8.0,10.0,6.0,5.0,2.0,61.0,334.0,7.0,8.0,3.0,26.0,87.0,1.0,1.0,0.0,,3.0,2.0,,,3.0,0.0,4.0,,1.0,2.0,63.6,26.0,2.0,,3.0,,8.0,4.0,,44.0,10.0,1.0,429.0,8.0,,17.0,8.0,5.0,29.0,2.0,5.0,273.0,6.0,2.0,20.0,98.0,19.0,,7.0,21.0,,6.0,3.0,7.0,,10.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,3.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
35,442342,2013-04-27 15:00:00,"Goodison Park, Liverpool",34563,Home,Everton,Fulham,1,0,W,1,0,0,0,,1.0,53.0,,,4.0,,,24.0,21.0,7.0,8.0,2.0,155.0,10.0,7.0,1.0,7.0,16.0,4.0,108.0,139.0,54.0,1.0,21.0,4.0,4.0,3.0,,1.0,3.0,32.0,,18.0,,13.0,5.0,18.0,26.0,203.0,,1.0,0.0,158.0,12.0,,1.0,1.0,4.0,1.0,71.0,69.0,8.0,55.0,,2.0,27.0,1.0,5.0,3.0,131.0,4.0,3.0,,102.0,625.0,13.0,6.0,1.0,,22.0,13.0,2.0,4.0,17.0,1.0,1.0,3.0,8.0,21.0,59.0,,9007,7.0,147.0,18.0,2.0,2.0,156.0,6.0,35.0,2.0,4.0,7.0,3.0,6.0,1.0,49.0,340.0,16.0,5.0,2.0,22.0,72.0,,1.0,0.0,,2.0,,1.0,,3.0,0.0,6.0,1.0,,3.0,53.9,19.0,2.0,3.0,3.0,2.0,4.0,8.0,,41.0,7.0,1.0,420.0,17.0,,7.0,10.0,9.0,30.0,4.0,6.0,296.0,10.0,15.0,8.0,110.0,30.0,1.0,9.0,23.0,,14.0,1.0,14.0,1.0,7.0,,,,,1.0,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,4.0,1.0,2.0,1.0,4.0,,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,442350,2013-05-05 13:30:00,"Anfield, Liverpool",44991,Away,Everton,Liverpool,0,0,D,0,0,0,0,,,54.0,,,,,,26.0,31.0,8.0,2.0,2.0,148.0,2.0,7.0,,5.0,8.0,2.0,86.0,170.0,68.0,1.0,11.0,2.0,14.0,,,1.0,4.0,22.0,,24.0,2.0,15.0,3.0,10.0,34.0,176.0,,1.0,0.0,145.0,11.0,1.0,,,5.0,1.0,75.0,48.0,2.0,50.0,2.0,1.0,19.0,1.0,6.0,4.0,154.0,1.0,8.0,,82.0,596.0,7.0,13.0,,,21.0,19.0,1.0,10.0,19.0,,2.0,4.0,6.0,30.0,72.0,1.0,9007,1.0,101.0,8.0,,1.0,119.0,12.0,56.0,2.0,4.0,12.0,7.0,9.0,,52.0,275.0,10.0,9.0,1.0,30.0,84.0,,,0.0,,3.0,3.0,,,6.0,0.0,1.0,,,,45.2,26.0,,1.0,,,4.0,2.0,1.0,50.0,5.0,1.0,366.0,16.0,1.0,12.0,16.0,7.0,20.0,1.0,3.0,269.0,9.0,9.0,18.0,96.0,25.0,2.0,8.0,33.0,,8.0,1.0,18.0,2.0,5.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
37,442361,2013-05-12 15:00:00,"Goodison Park, Liverpool",39475,Home,Everton,West Ham United,2,0,W,1,0,0,0,2.0,,47.0,,1.0,6.0,,,31.0,24.0,11.0,9.0,3.0,150.0,10.0,7.0,2.0,4.0,26.0,7.0,145.0,132.0,39.0,,28.0,4.0,11.0,4.0,,3.0,5.0,28.0,,9.0,1.0,11.0,7.0,23.0,20.0,312.0,,1.0,0.0,193.0,7.0,2.0,3.0,,2.0,2.0,67.0,87.0,17.0,67.0,1.0,2.0,21.0,,5.0,4.0,119.0,4.0,4.0,,131.0,702.0,21.0,6.0,,,19.0,17.0,,7.0,14.0,2.0,1.0,,9.0,28.0,80.0,1.0,9007,12.0,134.0,14.0,1.0,,141.0,11.0,39.0,2.0,8.0,11.0,3.0,4.0,2.0,43.0,436.0,11.0,4.0,3.0,13.0,75.0,,,0.0,,1.0,1.0,,,2.0,0.0,7.0,1.0,,3.0,64.7,23.0,3.0,3.0,3.0,1.0,8.0,10.0,,53.0,7.0,2.0,493.0,15.0,,15.0,10.0,11.0,25.0,3.0,7.0,380.0,16.0,20.0,10.0,155.0,16.0,,4.0,11.0,,24.0,3.0,10.0,,7.0,,1.0,1.0,,,,1.0,,3.0,2.0,,2.0,2.0,,3.0,1.0,4.0,2.0,,1.0,3.0,,2.0,1.0,,,2.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
38,442369,2013-05-19 16:00:00,"Stamford Bridge, London",41794,Away,Everton,Chelsea,1,2,L,1,1,0,0,1.0,1.0,61.0,1.0,1.0,3.0,,,48.0,29.0,7.0,5.0,3.0,179.0,7.0,6.0,1.0,,18.0,7.0,130.0,128.0,47.0,,20.0,2.0,8.0,4.0,,1.0,2.0,22.0,,21.0,2.0,14.0,2.0,34.0,40.0,259.0,1.0,,0.0,166.0,9.0,2.0,3.0,1.0,,4.0,85.0,54.0,11.0,80.0,1.0,2.0,20.0,,6.0,4.0,113.0,3.0,15.0,,135.0,734.0,17.0,6.0,2.0,1.0,16.0,25.0,1.0,6.0,13.0,1.0,1.0,7.0,7.0,17.0,71.0,,9007,7.0,208.0,14.0,1.0,1.0,217.0,15.0,47.0,1.0,10.0,8.0,8.0,10.0,1.0,71.0,460.0,7.0,7.0,,12.0,89.0,1.0,,0.0,,7.0,3.0,1.0,,2.0,0.0,7.0,1.0,,2.0,56.5,16.0,,1.0,4.0,1.0,10.0,5.0,,65.0,4.0,4.0,524.0,12.0,,11.0,24.0,8.0,27.0,,4.0,329.0,13.0,31.0,12.0,124.0,22.0,3.0,7.0,22.0,,18.0,2.0,18.0,3.0,4.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,,,1.0,4.0,3.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,4.0,,,26.0,439.0,497.0,,,,,,,,,,1.0
