gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,savedObox,attCmissRight,attBxRight,attMissHighRight,cleanSheet,penaltyWon,goodHighClaim,interceptionsInBox,attOboxMiss,attMissHigh,attPenGoal,attAssistSetplay,attCorner,overrun,attCmissHighRight,goalAssistIntentional,foulThrowIn,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attGoalLowCentre,attMissLeft,attSvLowLeft,freekickCross,attLgCentre,attHdTarget,accurateFreekickCross,attSetpiece,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,attLfGoal,postScoringAtt,contentiousDecision,hitWoodwork,attMissHighLeft,sixYardBlock,penaltyConceded,punches,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attObxLeft,shotFastbreak,attGoalHighRight,totalFastbreak,defenderGoals,attFastbreak,attIboxPost,attHdPost,ptsDroppedWinningPos,errorLeadToGoal,attSvHighRight,secondYellow,attPostRight,attGoalHighCentre,ptsGainedLosingPos,attPostLeft,attFreekickPost,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,attPenTarget,penaltySave,goalFastbreak,attObxdRight,clearanceOffLine
27,855434,2017-03-04 12:30:00,"Old Trafford, Manchester",75245,Home,Manchester United,Bournemouth,1,1,D,1,1,0,1,2.0,1.0,58.0,1.0,4.0,37.0,14.0,7.0,5.0,13.0,,4.0,184.0,8.0,8.0,1.0,5.0,18.0,,7.0,172.0,148.0,49.0,2.0,20.0,4.0,13.0,5.0,,1.0,40.0,5.0,1.0,14.0,9.0,18.0,49.0,,345.0,,0.0,221.0,9.0,,,,123.0,69.0,12.0,72.0,2.0,32.0,18.0,7.0,2.0,8.0,148.0,5.0,2.0,192.0,802.0,14.0,7.0,47.0,5.0,521.0,24.0,5.0,6.0,1.0,3.0,1.0,4.0,24.0,601.0,69.0,1.0,1.0,9808,5.0,202.0,5.0,23.0,216.0,6.0,,,18.0,1.0,48.0,4.0,3.0,1.0,,11.0,1.0,1.0,58.0,539.0,10.0,12.0,10.0,76.0,0.0,,2.0,,1.0,1.0,4.0,0.0,7.0,4.0,68.6,21.0,7.0,6.0,1.0,8.0,57.0,15.0,620.0,5.0,11.0,28.0,5.0,55.0,3.0,444.0,11.0,18.0,18.0,169.0,24.0,,,6.0,13.0,,1.0,11.0,3.0,11.0,,11.0,15.0,,,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,6.0,3.0,,,1.0,3.0,,1.0,2.0,,1.0,2.0,1.0,,,,,1.0,2.0,,,1.0,,,,,1.0,,3.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,
28,855451,2017-05-17 19:45:00,"St. Mary's Stadium, Southampton",31425,Away,Manchester United,Southampton,0,0,D,0,0,0,0,1.0,,54.0,,,27.0,32.0,8.0,3.0,3.0,6.0,,158.0,1.0,6.0,,,7.0,,1.0,112.0,117.0,33.0,,11.0,2.0,14.0,1.0,,1.0,6.0,7.0,,32.0,3.0,15.0,20.0,,225.0,,0.0,121.0,10.0,5.0,,,85.0,43.0,1.0,79.0,1.0,3.0,24.0,8.0,,2.0,117.0,,10.0,101.0,616.0,7.0,16.0,13.0,12.0,353.0,24.0,7.0,16.0,,1.0,4.0,6.0,21.0,428.0,55.0,,,76359,3.0,147.0,,,165.0,5.0,,,24.0,10.0,47.0,2.0,3.0,2.0,,8.0,7.0,8.0,51.0,371.0,7.0,12.0,19.0,72.0,0.0,,7.0,2.0,,,5.0,0.0,1.0,,47.2,14.0,4.0,,2.0,2.0,47.0,3.0,450.0,12.0,8.0,9.0,8.0,20.0,2.0,291.0,8.0,14.0,11.0,81.0,19.0,,2.0,16.0,9.0,,,10.0,3.0,10.0,2.0,13.0,3.0,1.0,,4.0,,,1.0,1.0,,2.0,2.0,5.0,2.0,,,1.0,3.0,1.0,,,,,2.0,,,2.0,,1.0,,,,,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,
29,855456,2017-03-19 12:00:00,"Riverside Stadium, Middlesbrough",32689,Away,Manchester United,Middlesbrough,3,1,W,1,0,0,0,,2.0,53.0,1.0,2.0,22.0,39.0,4.0,1.0,9.0,2.0,3.0,137.0,4.0,12.0,3.0,,11.0,,6.0,65.0,122.0,57.0,,14.0,2.0,19.0,3.0,2.0,1.0,9.0,12.0,,39.0,3.0,10.0,17.0,1.0,134.0,1.0,0.0,95.0,8.0,1.0,,3.0,61.0,40.0,8.0,56.0,1.0,6.0,13.0,5.0,,1.0,122.0,3.0,9.0,68.0,507.0,7.0,13.0,25.0,14.0,224.0,32.0,5.0,23.0,2.0,1.0,3.0,3.0,18.0,298.0,42.0,2.0,,76359,2.0,109.0,2.0,5.0,131.0,4.0,2.0,,13.0,13.0,57.0,3.0,1.0,,3.0,5.0,1.0,6.0,63.0,239.0,9.0,14.0,30.0,71.0,0.0,,8.0,2.0,2.0,1.0,4.0,0.0,2.0,3.0,36.1,12.0,1.0,3.0,1.0,4.0,31.0,3.0,326.0,14.0,12.0,8.0,4.0,15.0,2.0,204.0,10.0,9.0,22.0,59.0,13.0,,5.0,23.0,15.0,1.0,1.0,12.0,3.0,16.0,5.0,7.0,3.0,,,,,,1.0,,,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,,2.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
30,855468,2017-04-01 15:00:00,"Old Trafford, Manchester",75397,Home,Manchester United,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,69.0,,2.0,34.0,12.0,8.0,3.0,9.0,1.0,2.0,197.0,2.0,13.0,,3.0,11.0,,3.0,226.0,156.0,55.0,1.0,18.0,5.0,12.0,1.0,,,32.0,12.0,2.0,12.0,4.0,29.0,35.0,,433.0,,0.0,306.0,15.0,,1.0,,140.0,92.0,6.0,103.0,3.0,28.0,16.0,9.0,1.0,12.0,156.0,,1.0,235.0,964.0,11.0,2.0,37.0,12.0,653.0,20.0,4.0,8.0,,3.0,1.0,5.0,19.0,741.0,83.0,,,58893,3.0,241.0,1.0,16.0,250.0,6.0,,,16.0,5.0,50.0,1.0,,8.0,,13.0,2.0,4.0,63.0,672.0,13.0,7.0,16.0,79.0,0.0,1.0,1.0,,,,,0.0,2.0,1.0,74.8,19.0,8.0,2.0,8.0,7.0,53.0,6.0,761.0,12.0,8.0,18.0,8.0,47.0,6.0,543.0,14.0,28.0,14.0,249.0,33.0,,,8.0,15.0,,,16.0,1.0,23.0,,8.0,6.0,1.0,,1.0,2.0,2.0,,1.0,,2.0,,2.0,1.0,,,1.0,6.0,,,,1.0,,2.0,,,4.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
31,855476,2017-04-04 20:00:00,"Old Trafford, Manchester",75272,Home,Manchester United,Everton,1,1,D,0,1,0,1,2.0,1.0,63.0,,2.0,32.0,25.0,8.0,4.0,10.0,3.0,,184.0,5.0,12.0,1.0,7.0,11.0,,3.0,157.0,150.0,60.0,1.0,18.0,5.0,11.0,,,,32.0,20.0,2.0,25.0,4.0,26.0,33.0,,324.0,,0.0,223.0,10.0,2.0,,,116.0,58.0,5.0,80.0,2.0,28.0,6.0,8.0,1.0,11.0,150.0,1.0,6.0,155.0,802.0,10.0,13.0,39.0,18.0,471.0,24.0,5.0,7.0,,1.0,4.0,5.0,18.0,553.0,76.0,,,9808,5.0,175.0,1.0,14.0,185.0,6.0,1.0,,6.0,2.0,45.0,1.0,3.0,4.0,,18.0,5.0,2.0,53.0,494.0,16.0,5.0,15.0,70.0,0.0,1.0,5.0,2.0,1.0,1.0,7.0,0.0,5.0,4.0,61.6,17.0,1.0,2.0,4.0,7.0,53.0,6.0,576.0,18.0,8.0,15.0,8.0,54.0,5.0,423.0,10.0,26.0,9.0,167.0,33.0,1.0,1.0,7.0,23.0,,1.0,14.0,3.0,23.0,1.0,2.0,6.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,3.0,,,,,1.0,1.0,3.0,,,,2.0,,,1.0,,,,2.0,2.0,,,2.0,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,
32,855488,2017-04-09 13:30:00,"Stadium of Light, Sunderland",43779,Away,Manchester United,Sunderland,3,0,W,1,0,0,1,2.0,,61.0,1.0,1.0,36.0,34.0,12.0,5.0,6.0,4.0,4.0,188.0,2.0,12.0,3.0,5.0,15.0,1.0,9.0,151.0,115.0,56.0,2.0,18.0,3.0,12.0,1.0,3.0,3.0,13.0,8.0,5.0,34.0,4.0,25.0,30.0,,328.0,1.0,0.0,220.0,20.0,,,,93.0,48.0,12.0,81.0,2.0,9.0,17.0,12.0,2.0,2.0,115.0,2.0,3.0,162.0,763.0,11.0,8.0,23.0,10.0,485.0,24.0,10.0,17.0,3.0,5.0,2.0,3.0,14.0,560.0,81.0,,,9808,4.0,180.0,2.0,7.0,191.0,12.0,2.0,2.0,17.0,4.0,59.0,5.0,2.0,8.0,3.0,4.0,6.0,3.0,59.0,506.0,14.0,11.0,20.0,72.0,0.0,,4.0,1.0,2.0,,4.0,0.0,,1.0,70.3,9.0,3.0,1.0,8.0,4.0,53.0,5.0,582.0,10.0,12.0,19.0,5.0,42.0,2.0,404.0,12.0,24.0,19.0,171.0,24.0,2.0,2.0,17.0,11.0,,,13.0,3.0,16.0,2.0,8.0,5.0,,2.0,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,,1.0,,2.0,2.0,,,,,,,,,,3.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,
33,855494,2017-04-16 16:00:00,"Old Trafford, Manchester",75272,Home,Manchester United,Chelsea,2,0,W,1,0,0,0,,1.0,80.0,,,42.0,24.0,5.0,,4.0,,1.0,154.0,2.0,8.0,2.0,3.0,7.0,,3.0,77.0,142.0,69.0,,9.0,,9.0,1.0,1.0,,10.0,19.0,,24.0,1.0,21.0,28.0,1.0,201.0,,0.0,149.0,16.0,,,1.0,66.0,116.0,2.0,80.0,1.0,9.0,19.0,5.0,,1.0,142.0,1.0,3.0,105.0,611.0,6.0,12.0,16.0,19.0,301.0,27.0,15.0,12.0,1.0,3.0,1.0,5.0,15.0,384.0,66.0,1.0,,9808,,121.0,,5.0,136.0,6.0,2.0,,19.0,7.0,54.0,1.0,1.0,,2.0,9.0,2.0,5.0,76.0,320.0,20.0,8.0,36.0,86.0,0.0,,3.0,,2.0,,3.0,0.0,2.0,,46.2,12.0,10.0,2.0,,,53.0,1.0,416.0,19.0,12.0,14.0,6.0,14.0,1.0,290.0,9.0,18.0,14.0,97.0,37.0,1.0,3.0,12.0,28.0,,,9.0,3.0,19.0,3.0,11.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,5.0,2.0,,,,2.0,,1.0,,,,,,2.0,2.0,1.0,3.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,855504,2017-04-23 14:15:00,"Turf Moor, Burnley",21870,Away,Manchester United,Burnley,2,0,W,2,0,0,0,2.0,2.0,75.0,1.0,1.0,35.0,33.0,5.0,6.0,7.0,,1.0,192.0,3.0,15.0,2.0,,11.0,,6.0,98.0,172.0,64.0,,12.0,2.0,20.0,3.0,2.0,1.0,13.0,11.0,1.0,33.0,2.0,21.0,36.0,,179.0,,0.0,116.0,16.0,,,,80.0,70.0,9.0,89.0,1.0,11.0,15.0,5.0,,4.0,172.0,3.0,4.0,92.0,704.0,8.0,8.0,23.0,16.0,349.0,34.0,12.0,12.0,2.0,1.0,4.0,2.0,30.0,437.0,61.0,,,74208,2.0,193.0,1.0,7.0,216.0,8.0,,,15.0,8.0,76.0,2.0,1.0,1.0,2.0,21.0,4.0,4.0,83.0,369.0,17.0,10.0,39.0,102.0,0.0,,3.0,,2.0,,1.0,0.0,2.0,1.0,54.3,26.0,,,1.0,3.0,44.0,3.0,471.0,16.0,21.0,12.0,3.0,17.0,1.0,268.0,5.0,20.0,15.0,75.0,34.0,2.0,2.0,12.0,18.0,,,10.0,3.0,26.0,2.0,4.0,3.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,2.0,2.0,,,1.0,2.0,2.0,,1.0,,,,1.0,1.0,,2.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,
35,855514,2017-04-30 12:00:00,"Old Trafford, Manchester",75271,Home,Manchester United,Swansea City,1,1,D,1,0,0,0,2.0,1.0,70.0,,1.0,40.0,20.0,3.0,2.0,8.0,3.0,2.0,161.0,6.0,9.0,1.0,4.0,10.0,,6.0,137.0,127.0,43.0,1.0,12.0,,18.0,4.0,,1.0,21.0,6.0,1.0,20.0,5.0,18.0,45.0,1.0,234.0,,0.0,154.0,11.0,2.0,1.0,1.0,99.0,75.0,6.0,95.0,2.0,16.0,16.0,4.0,1.0,4.0,127.0,2.0,8.0,126.0,693.0,9.0,6.0,28.0,14.0,424.0,39.0,7.0,11.0,,2.0,2.0,4.0,15.0,498.0,48.0,1.0,,59846,4.0,210.0,2.0,12.0,231.0,8.0,1.0,1.0,16.0,6.0,51.0,1.0,1.0,4.0,,13.0,4.0,4.0,71.0,438.0,13.0,11.0,26.0,78.0,0.0,,2.0,2.0,1.0,1.0,,0.0,4.0,2.0,55.4,15.0,1.0,,5.0,1.0,50.0,5.0,519.0,14.0,4.0,30.0,5.0,24.0,2.0,309.0,8.0,17.0,8.0,117.0,24.0,,1.0,11.0,13.0,,,9.0,3.0,16.0,1.0,9.0,5.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,,3.0,,1.0,1.0,1.0,5.0,1.0,,,1.0,,,2.0,,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
36,855523,2017-05-07 16:00:00,"Emirates Stadium, London",60055,Away,Manchester United,Arsenal,0,2,L,0,0,0,0,,,51.0,,,32.0,16.0,5.0,1.0,5.0,2.0,4.0,168.0,4.0,9.0,,4.0,6.0,,4.0,127.0,126.0,55.0,1.0,10.0,2.0,7.0,3.0,,2.0,19.0,17.0,1.0,16.0,6.0,19.0,24.0,1.0,209.0,,0.0,125.0,10.0,2.0,1.0,,100.0,60.0,3.0,105.0,,13.0,14.0,5.0,1.0,4.0,126.0,,5.0,130.0,707.0,6.0,6.0,14.0,17.0,429.0,27.0,4.0,8.0,,0.0,4.0,3.0,15.0,501.0,57.0,1.0,,76359,4.0,247.0,1.0,6.0,273.0,5.0,,,14.0,9.0,46.0,2.0,4.0,3.0,,6.0,4.0,7.0,66.0,452.0,13.0,12.0,22.0,66.0,0.0,1.0,5.0,1.0,,2.0,,0.0,4.0,2.0,50.0,14.0,3.0,1.0,3.0,2.0,39.0,9.0,530.0,17.0,13.0,11.0,4.0,25.0,2.0,276.0,7.0,18.0,11.0,91.0,16.0,,5.0,8.0,22.0,,1.0,7.0,3.0,15.0,5.0,5.0,9.0,2.0,,1.0,,,,,,,,2.0,3.0,,,2.0,3.0,,,,2.0,,,,,1.0,1.0,3.0,,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,855539,2017-05-14 16:30:00,"White Hart Lane, London",31848,Away,Manchester United,Tottenham Hotspur,1,2,L,0,1,0,0,,1.0,52.0,,,33.0,33.0,2.0,,5.0,4.0,1.0,143.0,3.0,6.0,1.0,,8.0,,2.0,86.0,134.0,45.0,,8.0,,13.0,,1.0,1.0,11.0,9.0,1.0,33.0,3.0,16.0,32.0,,117.0,,0.0,87.0,15.0,2.0,,1.0,64.0,38.0,1.0,50.0,2.0,8.0,26.0,3.0,,3.0,134.0,3.0,10.0,77.0,564.0,5.0,3.0,15.0,15.0,255.0,33.0,6.0,19.0,1.0,2.0,3.0,6.0,33.0,327.0,39.0,3.0,,76359,3.0,158.0,2.0,4.0,186.0,10.0,1.0,,26.0,10.0,56.0,4.0,1.0,2.0,1.0,16.0,4.0,5.0,70.0,272.0,14.0,11.0,27.0,64.0,0.0,,8.0,4.0,1.0,2.0,,0.0,2.0,2.0,40.0,28.0,1.0,1.0,2.0,,32.0,3.0,356.0,15.0,10.0,21.0,6.0,20.0,4.0,181.0,6.0,15.0,8.0,55.0,14.0,,2.0,19.0,17.0,,2.0,6.0,3.0,14.0,2.0,12.0,3.0,1.0,,1.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0
38,855548,2017-05-21 15:00:00,"Old Trafford, Manchester",75254,Home,Manchester United,Crystal Palace,2,0,W,2,0,0,0,,1.0,56.0,,1.0,18.0,34.0,3.0,2.0,6.0,1.0,,143.0,3.0,12.0,2.0,,8.0,,2.0,145.0,102.0,52.0,,9.0,3.0,13.0,,1.0,,8.0,18.0,,34.0,3.0,25.0,27.0,,261.0,,0.0,136.0,16.0,1.0,,1.0,95.0,40.0,5.0,74.0,1.0,5.0,19.0,3.0,,1.0,102.0,,2.0,180.0,727.0,6.0,4.0,12.0,14.0,466.0,41.0,4.0,15.0,1.0,2.0,3.0,3.0,17.0,520.0,57.0,1.0,,76359,4.0,220.0,,4.0,244.0,7.0,1.0,,19.0,9.0,53.0,2.0,,3.0,2.0,10.0,4.0,1.0,45.0,478.0,10.0,10.0,16.0,54.0,0.0,,6.0,,2.0,,1.0,0.0,2.0,1.0,58.8,13.0,1.0,2.0,3.0,4.0,35.0,3.0,542.0,14.0,9.0,15.0,3.0,13.0,3.0,306.0,6.0,24.0,5.0,112.0,9.0,1.0,2.0,15.0,25.0,,,8.0,3.0,17.0,2.0,7.0,3.0,,1.0,1.0,,,1.0,1.0,,1.0,3.0,,1.0,,1.0,1.0,5.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,
