gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attHdPost,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,attemptsIbox,saves,fouledFinalThird,attCmissRight,attPenTarget,attBxRight,accurateKeeperSweeper,penaltyWon,freekickCross,interceptionsInBox,attemptsObox,touchesInOppBox,successfulOpenPlayPass,totalKeeperSweeper,openPlayPass,accurateFreekickCross,attBxCentre,attCmissHigh,attCorner,goalsConceded,attCmissHighRight,shieldBallOop,attBxLeft,goalsConcededIbox,attOpenplay,handBall,attGoalLowLeft,attGoalLowRight,attLfGoal,goalAssistOpenplay,attOboxGoal,midfielderGoals,goalAssist,attFreekickGoal,goalAssistIntentional,attSvHighCentre,attFreekickMiss,attHdGoal,goalsConcededObox,attLgCentre,attSetpiece,attPenGoal,attCmissLeft,foulThrowIn,goalFastbreak,attGoalHighRight,secondYellow,attObxRight,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,sixYardBlock,errorLeadToGoal,defenderGoals,goalsOpenplay,totalFastbreak,errorLeadToShot,attFreekickTarget,attPostHigh,attGoalHighLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdLeft,attObxLeft,attObpGoal,attObxdRight
29,284289,2010-03-06 17:30:00,"Molineux Stadium, Wolverhampton",28883,Away,Manchester United,Wolverhampton Wanderers,1,0,W,0,0,0,0,1.0,47.0,,1.0,28.0,35.0,6.0,6.0,2.0,,5.0,5.0,1.0,13.0,1.0,4.0,208.0,64.0,1.0,16.0,1.0,6.0,2.0,2.0,,1.0,4.0,24.0,,17.0,1.0,15.0,2.0,14.0,33.0,227.0,,,1.0,0.0,189.0,8.0,,,,3.0,51.0,111.0,4.0,4.0,22.0,1.0,4.0,4.0,188.0,7.0,,784.0,13.0,15.0,,,11.0,18.0,6.0,22.0,1.0,5.0,9.0,33.0,74.0,3.0,9089,161.0,18.0,209.0,1.0,1.0,11.0,38.0,6.0,1.0,9.0,7.0,6.0,2.0,50.0,383.0,9.0,4.0,,19.0,87.0,2.0,1.0,,0.0,2.0,2.0,1.0,3.0,0.0,5.0,2.0,54.4,28.0,2.0,2.0,10.0,2.0,,38.0,4.0,3.0,520.0,11.0,13.0,11.0,10.0,,20.0,,6.0,335.0,8.0,13.0,25.0,138.0,16.0,,3.0,10.0,25.0,3.0,12.0,3.0,4.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,284296,2010-03-14 13:30:00,"Old Trafford, Manchester",75207,Home,Manchester United,Fulham,3,0,W,0,0,0,0,1.0,66.0,3.0,5.0,48.0,16.0,15.0,3.0,4.0,,15.0,9.0,3.0,27.0,,9.0,154.0,52.0,1.0,35.0,7.0,10.0,3.0,,,2.0,5.0,44.0,,11.0,3.0,4.0,9.0,24.0,45.0,270.0,1.0,,1.0,0.0,217.0,7.0,1.0,,3.0,,92.0,61.0,15.0,4.0,35.0,1.0,14.0,6.0,142.0,1.0,,836.0,22.0,7.0,1.0,,21.0,15.0,6.0,8.0,1.0,3.0,12.0,24.0,82.0,3.0,8595,198.0,19.0,210.0,2.0,,7.0,31.0,6.0,2.0,6.0,7.0,6.0,3.0,68.0,453.0,11.0,,2.0,15.0,83.0,,,1.0,0.0,1.0,,3.0,6.0,0.0,13.0,6.0,56.8,23.0,4.0,9.0,6.0,12.0,,53.0,10.0,,548.0,21.0,13.0,28.0,14.0,,25.0,2.0,8.0,382.0,26.0,24.0,17.0,156.0,36.0,3.0,,1.0,15.0,2.0,10.0,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,3.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,
31,284305,2010-03-21 13:30:00,"Old Trafford, Manchester",75216,Home,Manchester United,Liverpool,2,1,W,1,1,0,0,1.0,68.0,,1.0,44.0,14.0,5.0,2.0,2.0,1.0,5.0,8.0,2.0,8.0,1.0,5.0,157.0,69.0,1.0,12.0,1.0,15.0,1.0,,,,3.0,17.0,,18.0,2.0,10.0,,14.0,50.0,221.0,,,,0.0,145.0,11.0,,,2.0,1.0,87.0,70.0,4.0,1.0,17.0,1.0,8.0,2.0,153.0,4.0,,776.0,7.0,13.0,,,15.0,19.0,6.0,5.0,2.0,,4.0,19.0,89.0,2.0,8595,214.0,7.0,228.0,1.0,2.0,4.0,58.0,6.0,1.0,7.0,1.0,3.0,1.0,80.0,430.0,16.0,3.0,,17.0,112.0,,1.0,,0.0,2.0,1.0,2.0,7.0,0.0,5.0,3.0,55.2,14.0,2.0,2.0,7.0,2.0,,65.0,1.0,2.0,535.0,15.0,21.0,19.0,5.0,,23.0,,3.0,324.0,7.0,13.0,20.0,82.0,35.0,1.0,3.0,3.0,25.0,2.0,16.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
32,284311,2010-03-27 17:30:00,"Toughsheet Community Stadium, Bolton",25370,Away,Manchester United,Bolton Wanderers,4,0,W,1,0,0,0,1.0,59.0,3.0,,24.0,54.0,6.0,4.0,2.0,1.0,4.0,7.0,4.0,12.0,,6.0,187.0,59.0,,13.0,2.0,11.0,2.0,,,,,27.0,,11.0,1.0,28.0,5.0,19.0,33.0,201.0,1.0,1.0,1.0,0.0,170.0,16.0,2.0,,,3.0,44.0,96.0,7.0,1.0,23.0,,4.0,3.0,161.0,11.0,,677.0,9.0,9.0,,,14.0,29.0,4.0,34.0,0.0,8.0,5.0,21.0,73.0,1.0,8595,130.0,18.0,157.0,3.0,,11.0,51.0,4.0,2.0,5.0,7.0,4.0,2.0,52.0,327.0,14.0,4.0,1.0,24.0,98.0,,2.0,,0.0,11.0,2.0,4.0,3.0,0.0,3.0,,54.2,18.0,,1.0,5.0,2.0,,50.0,6.0,3.0,433.0,13.0,12.0,19.0,5.0,,22.0,2.0,2.0,303.0,9.0,18.0,21.0,119.0,17.0,2.0,1.0,18.0,17.0,3.0,15.0,1.0,6.0,,,1.0,1.0,,3.0,,,1.0,,,,,,,,4.0,,,,1.0,1.0,,,10.0,,,1.0,,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,1.0,,,,,,,,,
33,284326,2010-04-03 12:45:00,"Old Trafford, Manchester",75217,Home,Manchester United,Chelsea,1,2,L,0,1,0,0,1.0,53.0,,1.0,35.0,16.0,1.0,3.0,1.0,,9.0,6.0,1.0,10.0,,3.0,154.0,52.0,,11.0,,15.0,2.0,,,1.0,2.0,31.0,,13.0,,10.0,2.0,14.0,31.0,237.0,2.0,1.0,,0.0,157.0,13.0,1.0,,,,66.0,96.0,3.0,2.0,29.0,,14.0,1.0,148.0,6.0,,723.0,8.0,6.0,,,21.0,25.0,,13.0,3.0,2.0,7.0,30.0,80.0,,8595,148.0,11.0,162.0,,2.0,10.0,62.0,2.0,2.0,6.0,4.0,7.0,1.0,53.0,376.0,11.0,8.0,2.0,12.0,73.0,,,,0.0,3.0,1.0,1.0,,0.0,8.0,5.0,52.8,27.0,5.0,,6.0,1.0,,39.0,3.0,,467.0,21.0,23.0,19.0,7.0,,24.0,1.0,6.0,336.0,2.0,14.0,15.0,110.0,21.0,1.0,1.0,8.0,20.0,3.0,9.0,1.0,3.0,,,,,,,,,,3.0,,,,,,,,,,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,284331,2010-04-11 13:30:00,"Ewood Park, Blackburn",29912,Away,Manchester United,Blackburn Rovers,0,0,D,0,0,0,0,,62.0,,2.0,32.0,28.0,9.0,3.0,4.0,,6.0,11.0,,10.0,1.0,4.0,179.0,42.0,1.0,16.0,3.0,8.0,4.0,,,3.0,3.0,31.0,,8.0,,9.0,5.0,17.0,47.0,245.0,1.0,,1.0,0.0,200.0,13.0,1.0,,,3.0,71.0,67.0,6.0,2.0,26.0,1.0,10.0,6.0,160.0,4.0,,813.0,9.0,5.0,,,15.0,22.0,2.0,13.0,2.0,6.0,4.0,23.0,83.0,1.0,8595,210.0,15.0,240.0,,3.0,4.0,44.0,7.0,1.0,7.0,5.0,4.0,1.0,62.0,449.0,12.0,4.0,1.0,21.0,99.0,,1.0,,0.0,1.0,1.0,,2.0,0.0,4.0,,66.4,22.0,,,8.0,5.0,,65.0,7.0,3.0,561.0,14.0,16.0,21.0,7.0,,27.0,2.0,1.0,352.0,12.0,16.0,8.0,141.0,27.0,,,5.0,11.0,3.0,15.0,,7.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,284344,2010-04-17 12:45:00,"Etihad Stadium, Manchester",47019,Away,Manchester United,Manchester City,1,0,W,0,0,0,0,1.0,54.0,2.0,1.0,29.0,22.0,7.0,5.0,1.0,,15.0,9.0,1.0,13.0,,3.0,147.0,61.0,,15.0,2.0,8.0,1.0,,,1.0,5.0,32.0,,24.0,1.0,13.0,4.0,27.0,33.0,226.0,,,1.0,0.0,168.0,12.0,2.0,,,,52.0,72.0,6.0,3.0,28.0,,7.0,4.0,138.0,5.0,,701.0,12.0,7.0,,,13.0,22.0,5.0,13.0,1.0,2.0,7.0,20.0,77.0,2.0,8595,135.0,19.0,150.0,,1.0,14.0,48.0,5.0,3.0,6.0,4.0,12.0,,56.0,346.0,7.0,9.0,,18.0,83.0,,1.0,,0.0,7.0,2.0,1.0,1.0,0.0,14.0,3.0,56.3,18.0,2.0,1.0,6.0,3.0,,52.0,5.0,1.0,441.0,13.0,13.0,18.0,9.0,,19.0,1.0,5.0,323.0,6.0,24.0,14.0,115.0,21.0,,7.0,7.0,31.0,3.0,15.0,7.0,5.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36,284357,2010-04-24 12:45:00,"Old Trafford, Manchester",75268,Home,Manchester United,Tottenham Hotspur,3,1,W,0,0,0,0,1.0,63.0,2.0,2.0,20.0,32.0,7.0,7.0,1.0,,8.0,9.0,3.0,12.0,,6.0,149.0,54.0,2.0,19.0,3.0,13.0,1.0,,,,3.0,28.0,,17.0,2.0,14.0,1.0,19.0,28.0,181.0,2.0,,,0.0,147.0,14.0,1.0,,1.0,4.0,48.0,80.0,5.0,1.0,27.0,2.0,13.0,2.0,131.0,4.0,,714.0,10.0,6.0,1.0,,18.0,29.0,4.0,18.0,1.0,,7.0,28.0,70.0,2.0,8595,180.0,14.0,194.0,1.0,,9.0,53.0,6.0,4.0,9.0,5.0,6.0,2.0,46.0,353.0,10.0,11.0,1.0,16.0,80.0,,2.0,,0.0,4.0,,3.0,,0.0,8.0,2.0,56.4,23.0,1.0,1.0,9.0,5.0,,41.0,4.0,4.0,436.0,17.0,12.0,12.0,8.0,,26.0,,6.0,270.0,10.0,17.0,12.0,96.0,22.0,,3.0,5.0,23.0,3.0,13.0,3.0,4.0,,,,,,,2.0,2.0,,1.0,,,,2.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
37,284367,2010-05-02 16:00:00,"Stadium of Light, Sunderland",47641,Away,Manchester United,Sunderland,1,0,W,1,0,0,0,1.0,72.0,1.0,2.0,25.0,31.0,4.0,3.0,3.0,,5.0,6.0,1.0,14.0,,5.0,196.0,59.0,,16.0,2.0,10.0,3.0,,1.0,3.0,1.0,25.0,1.0,23.0,1.0,10.0,4.0,8.0,35.0,184.0,1.0,,1.0,0.0,141.0,10.0,1.0,,,,47.0,58.0,8.0,2.0,22.0,,5.0,1.0,175.0,5.0,,738.0,11.0,10.0,,1.0,16.0,27.0,7.0,21.0,2.0,2.0,6.0,24.0,74.0,,9089,148.0,16.0,181.0,1.0,1.0,14.0,54.0,1.0,,7.0,6.0,8.0,2.0,52.0,327.0,10.0,2.0,2.0,23.0,102.0,,1.0,2.0,0.0,9.0,,1.0,2.0,0.0,4.0,1.0,51.7,20.0,1.0,5.0,7.0,4.0,,60.0,4.0,,438.0,16.0,27.0,16.0,7.0,,23.0,2.0,5.0,282.0,11.0,7.0,12.0,87.0,30.0,,8.0,6.0,31.0,3.0,12.0,8.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
38,284377,2010-05-09 16:00:00,"Old Trafford, Manchester",75316,Home,Manchester United,Stoke City,4,0,W,2,0,0,0,2.0,66.0,3.0,6.0,29.0,30.0,6.0,4.0,1.0,2.0,7.0,10.0,4.0,15.0,,6.0,153.0,62.0,2.0,21.0,4.0,16.0,2.0,,1.0,1.0,1.0,36.0,1.0,17.0,1.0,17.0,4.0,29.0,39.0,246.0,,,1.0,0.0,183.0,11.0,3.0,,1.0,2.0,40.0,88.0,11.0,,32.0,2.0,10.0,2.0,140.0,4.0,1.0,705.0,12.0,12.0,,1.0,10.0,28.0,5.0,21.0,2.0,,4.0,16.0,67.0,6.0,9089,166.0,22.0,190.0,1.0,,4.0,49.0,8.0,2.0,7.0,3.0,4.0,2.0,47.0,405.0,5.0,5.0,1.0,9.0,69.0,,1.0,1.0,0.0,2.0,3.0,4.0,5.0,0.0,5.0,3.0,60.8,14.0,1.0,1.0,8.0,10.0,,45.0,9.0,2.0,494.0,10.0,14.0,22.0,5.0,,30.0,2.0,2.0,340.0,13.0,28.0,22.0,139.0,26.0,,1.0,12.0,25.0,3.0,13.0,1.0,10.0,,,2.0,,,3.0,3.0,,,,,,,3.0,,,8.0,1.0,,,,,1.0,,14.0,,,,1.0,1.0,,3.0,2.0,,2.0,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0
