gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,savedObox,saves,fouledFinalThird,attFreekickTotal,attBxRight,accurateKeeperSweeper,attMissLeft,divingSave,attSvLowLeft,freekickTotal,totalKeeperSweeper,penaltyConceded,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,goalsConcededIbox,attLfGoal,goalFastbreak,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attSvHighLeft,attMissRight,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attPenGoal,punches,accurateFlickOn,effectiveBlockedCross,blockedCross,attGoalLowRight,attCmissRight,attOboxMiss,ptsDroppedWinningPos,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,attHdTarget,ownGoals,defenderGoals,foulThrowIn,forwardGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,errorLeadToShot,sixYardBlock,attMissHighRight,hitWoodwork,attOneOnOne,attFreekickTarget,attFreekickMiss,attObxLeft,attGoalHighLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOboxGoal,attPostLeft,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goodHighClaim,totalHighClaim,attCmissHighRight,attOboxPost,attPostRight,attCmissHighLeft,attObxdLeft
27,2128551,2021-03-07 16:30:00,"Etihad Stadium, Manchester",,Away,Manchester United,Manchester City,2,0,W,1,0,0,0,,25.0,62.0,2.0,17.0,20.0,1.0,1.0,7.0,3.0,136.0,,13.0,,11.0,2.0,5.0,6.0,93.0,117.0,36.0,8.0,,10.0,3.0,,1.0,3.0,4.0,8.0,1.0,20.0,2.0,1.0,41.0,88.0,,1.0,0.0,79.0,12.0,,1.0,1.0,34.0,36.0,5.0,50.0,4.0,2.0,22.0,1.0,1.0,117.0,1.0,,13.0,95.0,547.0,4.0,2.0,15.0,17.0,276.0,33.0,,2.0,9.0,1.0,3.0,7.0,,11.0,350.0,25.0,95658,4.0,205.0,2.0,,243.0,3.0,1.0,22.0,17.0,49.0,1.0,5.0,1.0,13.0,10.0,11.0,40.0,293.0,9.0,12.0,9.0,,39.0,,0.0,1.0,6.0,2.0,0.0,,1.0,34.1,11.0,4.0,,5.0,2.0,19.0,2.0,374.0,17.0,9.0,22.0,,10.0,,135.0,6.0,1.0,3.0,52.0,17.0,9.0,13.0,7.0,3.0,19.0,6.0,2.0,2.0,1.0,1.0,4.0,6.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,2.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
28,2128562,2021-03-14 19:15:00,"Old Trafford, Manchester",,Home,Manchester United,West Ham United,1,0,W,0,0,0,0,1.0,26.0,57.0,3.0,18.0,14.0,6.0,6.0,9.0,2.0,191.0,,7.0,2.0,8.0,1.0,15.0,4.0,198.0,111.0,33.0,15.0,4.0,18.0,3.0,1.0,,2.0,17.0,8.0,1.0,14.0,6.0,4.0,35.0,398.0,,1.0,0.0,273.0,12.0,1.0,,,107.0,92.0,11.0,104.0,3.0,11.0,8.0,6.0,4.0,111.0,2.0,,6.0,191.0,843.0,14.0,,31.0,12.0,606.0,27.0,,1.0,6.0,,4.0,3.0,4.0,11.0,669.0,63.0,95658,5.0,221.0,2.0,7.0,241.0,6.0,,8.0,10.0,50.0,,3.0,,13.0,1.0,7.0,38.0,617.0,2.0,7.0,10.0,1.0,60.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,,61.8,11.0,3.0,,3.0,7.0,42.0,6.0,684.0,12.0,6.0,24.0,4.0,32.0,2.0,460.0,6.0,3.0,10.0,241.0,24.0,6.0,13.0,14.0,,15.0,4.0,6.0,,,,,,,,1.0,1.0,1.0,,2.0,,1.0,,3.0,,,1.0,,,,,,3.0,2.0,1.0,,,1.0,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,
29,2128568,2021-03-03 20:15:00,"Selhurst Park, London",,Away,Manchester United,Crystal Palace,0,0,D,0,0,0,0,1.0,25.0,51.0,1.0,45.0,11.0,5.0,5.0,6.0,,177.0,,14.0,9.0,11.0,,10.0,1.0,163.0,140.0,39.0,11.0,3.0,14.0,,,,,25.0,4.0,1.0,11.0,6.0,3.0,53.0,292.0,1.0,1.0,0.0,195.0,13.0,,,,102.0,70.0,4.0,88.0,1.0,19.0,15.0,5.0,8.0,140.0,,,5.0,172.0,781.0,9.0,3.0,24.0,10.0,507.0,20.0,,2.0,5.0,,0.0,3.0,6.0,29.0,589.0,79.0,95658,5.0,235.0,,11.0,256.0,10.0,,15.0,5.0,56.0,2.0,4.0,,16.0,3.0,5.0,62.0,518.0,4.0,10.0,6.0,2.0,64.0,,0.0,3.0,4.0,,0.0,7.0,,63.0,27.0,1.0,,4.0,4.0,46.0,6.0,600.0,10.0,6.0,27.0,6.0,37.0,5.0,369.0,3.0,3.0,18.0,155.0,25.0,5.0,6.0,9.0,2.0,24.0,6.0,6.0,,,,,2.0,,,,1.0,1.0,,,,1.0,,2.0,1.0,2.0,1.0,,1.0,2.0,,,3.0,2.0,,,,2.0,,,,,,,,1.0,,,,,,,2.0,4.0,4.0,,,1.0,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
30,2128582,2021-04-04 19:30:00,"Old Trafford, Manchester",,Home,Manchester United,Brighton and Hove Albion,2,1,W,0,1,0,0,1.0,30.0,65.0,1.0,20.0,17.0,6.0,3.0,9.0,4.0,183.0,1.0,18.0,4.0,12.0,2.0,13.0,7.0,169.0,148.0,50.0,15.0,1.0,7.0,1.0,,2.0,4.0,21.0,7.0,4.0,17.0,5.0,4.0,48.0,329.0,,,0.0,241.0,14.0,,2.0,,91.0,75.0,8.0,82.0,3.0,16.0,23.0,6.0,5.0,148.0,4.0,,5.0,170.0,792.0,9.0,1.0,32.0,13.0,498.0,22.0,1.0,2.0,8.0,2.0,2.0,2.0,5.0,17.0,588.0,97.0,95658,4.0,185.0,2.0,11.0,213.0,7.0,1.0,23.0,5.0,48.0,,4.0,2.0,15.0,,4.0,39.0,510.0,7.0,8.0,7.0,1.0,62.0,,0.0,1.0,6.0,2.0,0.0,3.0,1.0,57.7,16.0,7.0,,4.0,2.0,41.0,5.0,604.0,13.0,11.0,23.0,6.0,39.0,4.0,412.0,10.0,3.0,18.0,190.0,32.0,8.0,13.0,13.0,3.0,21.0,11.0,5.0,1.0,2.0,,,2.0,,,3.0,,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,3.0,,1.0,,,1.0,,,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,1.0,,
31,2128593,2021-04-11 16:30:00,"Tottenham Hotspur Stadium, London",,Away,Manchester United,Tottenham Hotspur,3,1,W,0,1,0,0,2.0,35.0,63.0,2.0,23.0,16.0,3.0,5.0,9.0,2.0,164.0,,17.0,5.0,14.0,3.0,10.0,7.0,134.0,140.0,61.0,12.0,1.0,7.0,2.0,,2.0,2.0,22.0,11.0,2.0,16.0,5.0,9.0,31.0,247.0,1.0,,0.0,154.0,15.0,,1.0,,97.0,67.0,8.0,65.0,,17.0,27.0,3.0,6.0,140.0,2.0,1.0,9.0,140.0,715.0,7.0,6.0,26.0,14.0,400.0,26.0,,2.0,12.0,2.0,5.0,3.0,2.0,19.0,477.0,60.0,95658,3.0,180.0,1.0,11.0,200.0,7.0,1.0,27.0,8.0,53.0,1.0,2.0,3.0,18.0,3.0,7.0,50.0,422.0,11.0,10.0,9.0,1.0,61.0,,0.0,1.0,7.0,3.0,0.0,4.0,2.0,53.2,18.0,5.0,,2.0,3.0,40.0,5.0,503.0,14.0,14.0,14.0,2.0,32.0,2.0,325.0,5.0,8.0,17.0,120.0,28.0,12.0,19.0,11.0,2.0,21.0,13.0,5.0,,2.0,,,2.0,1.0,,3.0,3.0,1.0,,,,3.0,,,,,1.0,1.0,,2.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,3.0,,1.0,1.0,,,1.0,,,1.0,3.0,3.0,2.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,
32,2128602,2021-04-18 16:00:00,"Old Trafford, Manchester",,Home,Manchester United,Burnley,3,1,W,0,0,0,0,1.0,20.0,46.0,3.0,32.0,16.0,2.0,4.0,15.0,3.0,178.0,2.0,8.0,7.0,15.0,3.0,15.0,9.0,170.0,117.0,51.0,17.0,1.0,16.0,6.0,1.0,2.0,2.0,20.0,9.0,,16.0,5.0,5.0,38.0,319.0,,,0.0,229.0,9.0,2.0,2.0,,82.0,115.0,11.0,96.0,1.0,15.0,10.0,2.0,5.0,117.0,3.0,,6.0,166.0,796.0,9.0,,47.0,4.0,518.0,26.0,,2.0,12.0,3.0,1.0,2.0,4.0,25.0,583.0,63.0,95658,9.0,228.0,3.0,10.0,247.0,4.0,1.0,10.0,5.0,44.0,2.0,8.0,2.0,13.0,4.0,1.0,57.0,540.0,10.0,4.0,8.0,4.0,60.0,1.0,0.0,,3.0,3.0,0.0,4.0,2.0,69.4,21.0,1.0,1.0,8.0,4.0,42.0,8.0,610.0,4.0,12.0,23.0,4.0,31.0,3.0,383.0,8.0,5.0,14.0,193.0,10.0,12.0,13.0,13.0,2.0,18.0,4.0,8.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,3.0,1.0,,,1.0,2.0,5.0,3.0,1.0,,,3.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,,,2.0,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
33,2128609,2021-04-25 14:00:00,"Elland Road, Leeds",,Away,Manchester United,Leeds United,0,0,D,0,0,0,0,2.0,32.0,70.0,2.0,20.0,14.0,6.0,5.0,9.0,1.0,172.0,,20.0,6.0,18.0,,13.0,4.0,112.0,142.0,68.0,16.0,3.0,6.0,1.0,,,1.0,22.0,11.0,3.0,14.0,6.0,10.0,29.0,222.0,,1.0,0.0,156.0,11.0,,,4.0,60.0,64.0,7.0,69.0,,16.0,15.0,7.0,4.0,142.0,,,3.0,130.0,723.0,8.0,2.0,25.0,10.0,397.0,25.0,1.0,,7.0,,1.0,2.0,6.0,28.0,465.0,51.0,95658,7.0,197.0,,8.0,213.0,7.0,,15.0,1.0,53.0,,7.0,,22.0,3.0,1.0,37.0,413.0,21.0,6.0,6.0,1.0,55.0,,0.0,3.0,2.0,,0.0,4.0,,55.8,27.0,6.0,1.0,7.0,5.0,36.0,6.0,483.0,10.0,11.0,12.0,7.0,30.0,6.0,292.0,8.0,10.0,13.0,125.0,32.0,7.0,16.0,9.0,3.0,37.0,4.0,6.0,,,,2.0,3.0,9.0,3.0,1.0,,4.0,,1.0,3.0,,,2.0,1.0,2.0,5.0,1.0,,1.0,,3.0,3.0,2.0,1.0,,,2.0,,,,,,,,,3.0,3.0,3.0,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0
34,2128621,2021-05-13 20:15:00,"Old Trafford, Manchester",,Home,Manchester United,Liverpool,2,4,L,1,2,0,0,,,84.0,5.0,32.0,12.0,5.0,4.0,13.0,1.0,165.0,1.0,,8.0,12.0,2.0,14.0,3.0,132.0,157.0,60.0,18.0,2.0,12.0,1.0,,2.0,1.0,21.0,13.0,,12.0,5.0,6.0,51.0,182.0,,,0.0,122.0,10.0,,2.0,1.0,50.0,58.0,9.0,68.0,1.0,16.0,16.0,5.0,12.0,157.0,2.0,,14.0,146.0,714.0,9.0,3.0,26.0,9.0,382.0,38.0,,3.0,4.0,2.0,3.0,4.0,5.0,19.0,486.0,47.0,74208,5.0,229.0,3.0,3.0,272.0,6.0,1.0,16.0,8.0,44.0,1.0,5.0,2.0,17.0,3.0,4.0,62.0,403.0,10.0,7.0,14.0,2.0,61.0,,0.0,,4.0,2.0,0.0,5.0,2.0,53.3,17.0,8.0,,5.0,7.0,29.0,6.0,511.0,9.0,11.0,25.0,8.0,27.0,5.0,260.0,10.0,5.0,16.0,84.0,32.0,4.0,22.0,15.0,2.0,17.0,4.0,6.0,1.0,,,,4.0,2.0,1.0,2.0,,5.0,2.0,,1.0,,,,1.0,1.0,3.0,,4.0,4.0,4.0,,4.0,2.0,4.0,,,3.0,4.0,1.0,,,,,,1.0,2.0,,,3.0,,,2.0,,,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,2128627,2021-05-09 14:05:00,"Villa Park, Birmingham",,Away,Manchester United,Aston Villa,3,1,W,0,1,0,1,2.0,30.0,63.0,3.0,30.0,19.0,7.0,5.0,11.0,2.0,192.0,,18.0,4.0,9.0,3.0,15.0,7.0,143.0,127.0,46.0,18.0,4.0,9.0,2.0,,2.0,3.0,19.0,7.0,2.0,19.0,5.0,7.0,41.0,264.0,,,0.0,185.0,18.0,,2.0,,74.0,92.0,11.0,89.0,1.0,14.0,13.0,7.0,5.0,127.0,1.0,,5.0,139.0,738.0,13.0,6.0,41.0,11.0,463.0,29.0,1.0,2.0,13.0,2.0,1.0,3.0,4.0,16.0,539.0,58.0,95658,6.0,223.0,,9.0,251.0,8.0,1.0,13.0,7.0,47.0,,5.0,2.0,16.0,6.0,6.0,49.0,483.0,12.0,8.0,9.0,1.0,60.0,,0.0,,5.0,3.0,0.0,3.0,1.0,58.9,14.0,2.0,,5.0,7.0,43.0,6.0,563.0,11.0,6.0,27.0,4.0,37.0,3.0,331.0,11.0,6.0,15.0,150.0,23.0,13.0,10.0,16.0,3.0,17.0,3.0,6.0,1.0,2.0,1.0,2.0,5.0,1.0,,2.0,1.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,1.0,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,1.0,3.0,,1.0,,,,,1.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,
36,2128639,2021-05-11 18:00:00,"Old Trafford, Manchester",,Home,Manchester United,Leicester City,1,2,L,1,1,0,0,,26.0,64.0,,24.0,14.0,,,4.0,,161.0,,11.0,2.0,16.0,1.0,3.0,1.0,150.0,143.0,48.0,4.0,,13.0,,,1.0,,9.0,7.0,,14.0,3.0,4.0,32.0,173.0,,,0.0,92.0,9.0,,,1.0,82.0,50.0,1.0,81.0,2.0,6.0,16.0,,4.0,143.0,,,4.0,169.0,728.0,1.0,2.0,9.0,8.0,445.0,32.0,,4.0,3.0,1.0,0.0,6.0,2.0,25.0,541.0,44.0,74208,3.0,291.0,,1.0,339.0,4.0,1.0,16.0,6.0,43.0,3.0,5.0,1.0,13.0,8.0,5.0,46.0,462.0,12.0,5.0,17.0,,53.0,,0.0,1.0,4.0,1.0,0.0,2.0,1.0,53.1,23.0,4.0,,5.0,,32.0,3.0,561.0,8.0,9.0,14.0,3.0,15.0,3.0,231.0,2.0,4.0,10.0,66.0,23.0,3.0,12.0,3.0,3.0,24.0,6.0,3.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,2.0,1.0,2.0,2.0,,,,,2.0,,,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2128651,2021-05-18 18:00:00,"Old Trafford, Manchester",9347.0,Home,Manchester United,Fulham,1,1,D,1,0,0,0,1.0,32.0,69.0,,28.0,9.0,8.0,2.0,4.0,4.0,172.0,,14.0,2.0,10.0,1.0,7.0,6.0,145.0,135.0,49.0,13.0,2.0,11.0,1.0,,1.0,1.0,19.0,6.0,4.0,9.0,6.0,3.0,35.0,240.0,,,0.0,163.0,10.0,,,1.0,69.0,89.0,5.0,77.0,,13.0,14.0,9.0,6.0,135.0,1.0,1.0,5.0,150.0,721.0,6.0,2.0,16.0,5.0,456.0,24.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,19.0,527.0,67.0,74208,2.0,233.0,1.0,6.0,251.0,6.0,1.0,14.0,2.0,59.0,4.0,3.0,1.0,10.0,3.0,,47.0,471.0,15.0,13.0,4.0,1.0,57.0,,0.0,,1.0,,0.0,2.0,1.0,57.1,13.0,12.0,1.0,3.0,2.0,45.0,6.0,544.0,5.0,10.0,18.0,5.0,26.0,3.0,312.0,9.0,3.0,11.0,122.0,29.0,5.0,13.0,10.0,3.0,25.0,6.0,6.0,,,,,4.0,4.0,2.0,2.0,,1.0,3.0,2.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,4.0,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0
38,2128665,2021-05-23 16:00:00,"Molineux Stadium, Wolverhampton",4500.0,Away,Manchester United,Wolverhampton Wanderers,2,1,W,2,1,0,0,1.0,30.0,58.0,,23.0,26.0,3.0,4.0,6.0,1.0,150.0,,15.0,3.0,7.0,2.0,7.0,4.0,105.0,108.0,47.0,9.0,,9.0,1.0,,1.0,,6.0,7.0,1.0,26.0,2.0,1.0,32.0,167.0,,,0.0,113.0,3.0,,2.0,,46.0,80.0,3.0,80.0,1.0,4.0,10.0,3.0,1.0,108.0,3.0,1.0,10.0,105.0,634.0,5.0,1.0,17.0,14.0,360.0,27.0,2.0,1.0,15.0,1.0,1.0,4.0,4.0,17.0,414.0,31.0,6744,5.0,217.0,2.0,3.0,237.0,2.0,,10.0,10.0,43.0,1.0,6.0,1.0,21.0,4.0,7.0,44.0,381.0,14.0,12.0,7.0,1.0,50.0,,0.0,2.0,6.0,2.0,0.0,2.0,1.0,42.8,14.0,3.0,,6.0,,36.0,2.0,440.0,14.0,4.0,17.0,5.0,18.0,3.0,209.0,3.0,1.0,12.0,88.0,20.0,15.0,14.0,7.0,3.0,22.0,4.0,2.0,,2.0,1.0,,3.0,3.0,,1.0,,1.0,1.0,,,,,,,,1.0,2.0,,3.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,3.0,1.0,,,3.0,3.0,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
