gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attLfTotal,attLfGoal,attPenTarget,attFreekickTotal,attIboxTarget,attObxLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceMissed,attAssistSetplay,attCorner,goalsConceded,attFreekickMiss,ptsDroppedWinningPos,attPenPost,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,goodHighClaim,attPostLeft,attHdTarget,hitWoodwork,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attCmissHigh,attMissHigh,goalsConcededIbox,attLfTarget,attCmissRight,attMissRight,attSvLowRight,punches,attCmissHighRight,shieldBallOop,attSvHighCentre,attSvHighLeft,attFreekickPost,errorLeadToShot,attFreekickTarget,attOboxPost,attPostHigh,attCmissLeft,attSvHighRight,totalPullBack,errorLeadToGoal,attGoalLowCentre,attOneOnOne,attPostRight,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,ptsGainedLosingPos,attHdPost,defenderGoals,attHdGoal,attObxRight,attObxdLeft,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,goalAssistSetplay,foulThrowIn,goalAssistDeadball,attCmissHighLeft,attLgCentre,attFreekickGoal
27,1059968,2020-02-23 14:00:00,"Old Trafford, Manchester",73347.0,Home,Manchester United,Watford,3,0,W,1,0,0,0,1.0,84.0,1.0,1.0,1.0,2.0,26.0,15.0,6.0,15.0,2.0,2.0,181.0,3.0,14.0,3.0,3.0,16.0,9.0,163.0,155.0,67.0,21.0,1.0,22.0,3.0,1.0,3.0,1.0,1.0,10.0,10.0,2.0,15.0,3.0,1.0,44.0,206.0,1.0,1.0,,1.0,0.0,131.0,6.0,1.0,4.0,2.0,1.0,90.0,38.0,8.0,85.0,1.0,7.0,17.0,6.0,3.0,3.0,155.0,1.0,,4.0,168.0,789.0,15.0,3.0,31.0,18.0,461.0,44.0,3.0,5.0,1.0,0.0,3.0,8.0,13.0,577.0,47.0,2.0,95658,4.0,276.0,3.0,322.0,5.0,2.0,17.0,5.0,51.0,2.0,1.0,5.0,2.0,11.0,3.0,4.0,1.0,65.0,479.0,14.0,7.0,24.0,71.0,3.0,1.0,0.0,1.0,5.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,58.0,12.0,1.0,4.0,6.0,5.0,3.0,43.0,3.0,1.0,597.0,18.0,13.0,25.0,9.0,26.0,,6.0,285.0,12.0,1.0,18.0,91.0,31.0,1.0,1.0,5.0,21.0,18.0,3.0,17.0,1.0,8.0,3.0,,,8.0,1.0,,,4.0,,2.0,,,2.0,,,,,,,4.0,,,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,4.0,3.0,4.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
28,1059975,2020-03-01 14:00:00,"Goodison Park, Liverpool",39374.0,Away,Manchester United,Everton,1,1,D,1,1,0,0,,63.0,1.0,,,1.0,13.0,27.0,9.0,5.0,4.0,1.0,172.0,2.0,13.0,1.0,1.0,11.0,5.0,114.0,158.0,54.0,14.0,3.0,16.0,,1.0,1.0,,,21.0,11.0,2.0,27.0,7.0,4.0,30.0,209.0,2.0,,1.0,,0.0,150.0,11.0,1.0,,1.0,,97.0,55.0,7.0,49.0,,14.0,21.0,9.0,3.0,2.0,158.0,,1.0,12.0,96.0,640.0,10.0,5.0,18.0,7.0,317.0,27.0,,13.0,1.0,4.0,4.0,4.0,25.0,408.0,54.0,1.0,95658,3.0,125.0,11.0,155.0,5.0,1.0,21.0,6.0,51.0,2.0,1.0,3.0,1.0,22.0,4.0,2.0,,50.0,332.0,10.0,12.0,14.0,59.0,,,0.0,,13.0,4.0,,2.0,0.0,1.0,,1.0,55.9,22.0,1.0,4.0,1.0,3.0,4.0,28.0,8.0,,431.0,7.0,10.0,12.0,5.0,31.0,1.0,2.0,297.0,7.0,4.0,15.0,108.0,28.0,,2.0,13.0,16.0,12.0,3.0,17.0,2.0,8.0,8.0,,2.0,6.0,,,,2.0,,1.0,,,1.0,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
29,1059988,2020-03-08 16:30:00,"Old Trafford, Manchester",73288.0,Home,Manchester United,Manchester City,2,0,W,1,0,0,0,1.0,60.0,1.0,,2.0,1.0,24.0,33.0,3.0,8.0,4.0,3.0,137.0,2.0,12.0,2.0,2.0,7.0,6.0,57.0,114.0,47.0,12.0,3.0,11.0,1.0,,3.0,,2.0,9.0,9.0,,33.0,2.0,2.0,46.0,97.0,,1.0,1.0,,0.0,85.0,11.0,2.0,1.0,,,52.0,28.0,5.0,40.0,4.0,7.0,11.0,4.0,,,114.0,,,4.0,60.0,488.0,5.0,9.0,12.0,17.0,201.0,35.0,4.0,16.0,1.0,2.0,,2.0,14.0,275.0,38.0,2.0,95658,3.0,121.0,7.0,152.0,5.0,2.0,11.0,7.0,54.0,4.0,1.0,2.0,1.0,10.0,3.0,5.0,,58.0,216.0,9.0,18.0,15.0,46.0,1.0,,0.0,,11.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,27.7,11.0,2.0,1.0,2.0,2.0,4.0,20.0,2.0,,294.0,17.0,4.0,23.0,2.0,14.0,1.0,2.0,151.0,8.0,2.0,8.0,50.0,21.0,1.0,5.0,16.0,19.0,9.0,3.0,23.0,5.0,8.0,2.0,,,2.0,,,1.0,4.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,
30,1059999,2020-06-19 20:15:00,"Tottenham Hotspur Stadium, London",,Away,Manchester United,Tottenham Hotspur,1,1,D,0,1,0,0,1.0,60.0,1.0,,1.0,1.0,16.0,18.0,5.0,7.0,2.0,1.0,162.0,4.0,14.0,1.0,4.0,10.0,6.0,200.0,152.0,66.0,12.0,1.0,14.0,,,3.0,,4.0,17.0,8.0,2.0,18.0,6.0,3.0,38.0,274.0,,,,1.0,0.0,165.0,18.0,1.0,,1.0,2.0,72.0,95.0,6.0,65.0,2.0,11.0,15.0,5.0,5.0,2.0,152.0,1.0,1.0,4.0,159.0,791.0,10.0,,24.0,15.0,462.0,17.0,,10.0,,1.0,3.0,4.0,21.0,562.0,68.0,,95658,4.0,215.0,4.0,233.0,8.0,1.0,15.0,8.0,56.0,,3.0,2.0,,17.0,6.0,8.0,1.0,34.0,485.0,17.0,10.0,6.0,73.0,,,0.0,2.0,7.0,1.0,1.0,,0.0,4.0,,1.0,61.2,19.0,1.0,5.0,2.0,2.0,2.0,50.0,6.0,,586.0,15.0,9.0,13.0,4.0,34.0,,2.0,370.0,6.0,3.0,19.0,112.0,36.0,,2.0,10.0,16.0,11.0,5.0,19.0,2.0,8.0,6.0,,,5.0,,,,3.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,1.0,4.0,,,,1.0,,1.0,2.0,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,1060006,2020-06-24 18:00:00,"Old Trafford, Manchester",,Home,Manchester United,Sheffield United,3,0,W,2,0,0,0,3.0,40.0,,1.0,1.0,3.0,38.0,18.0,3.0,11.0,1.0,1.0,165.0,4.0,16.0,3.0,2.0,12.0,6.0,232.0,107.0,45.0,15.0,1.0,8.0,1.0,3.0,1.0,,,17.0,3.0,2.0,18.0,6.0,10.0,26.0,396.0,3.0,1.0,,,0.0,221.0,10.0,1.0,1.0,,1.0,112.0,82.0,7.0,106.0,,12.0,11.0,4.0,4.0,1.0,107.0,4.0,,2.0,245.0,891.0,9.0,3.0,34.0,8.0,662.0,23.0,1.0,11.0,3.0,1.0,2.0,5.0,12.0,729.0,60.0,2.0,95658,7.0,289.0,7.0,300.0,6.0,2.0,11.0,7.0,37.0,5.0,1.0,2.0,3.0,9.0,2.0,7.0,,42.0,681.0,6.0,4.0,3.0,60.0,1.0,,0.0,1.0,5.0,,3.0,3.0,0.0,4.0,3.0,1.0,68.2,11.0,1.0,3.0,,2.0,4.0,54.0,10.0,,748.0,8.0,7.0,14.0,5.0,33.0,1.0,4.0,465.0,7.0,9.0,16.0,182.0,12.0,3.0,1.0,11.0,7.0,13.0,5.0,24.0,1.0,2.0,10.0,,,7.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,3.0,,,,,,,,,,4.0,,,,,2.0,,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,
32,1060015,2020-06-30 20:15:00,"American Express Stadium, Falmer",,Away,Manchester United,Brighton and Hove Albion,3,0,W,2,0,0,0,1.0,44.0,,2.0,1.0,2.0,32.0,12.0,5.0,7.0,2.0,3.0,167.0,3.0,8.0,3.0,2.0,9.0,6.0,179.0,109.0,38.0,12.0,,6.0,1.0,3.0,1.0,1.0,1.0,12.0,12.0,1.0,12.0,3.0,11.0,34.0,257.0,1.0,1.0,1.0,,0.0,164.0,9.0,2.0,2.0,3.0,1.0,98.0,66.0,6.0,103.0,1.0,9.0,19.0,5.0,3.0,2.0,109.0,1.0,,5.0,180.0,780.0,5.0,1.0,25.0,5.0,534.0,21.0,,5.0,3.0,1.0,1.0,3.0,26.0,607.0,58.0,,95658,4.0,301.0,5.0,330.0,7.0,2.0,19.0,9.0,35.0,1.0,2.0,4.0,3.0,6.0,3.0,8.0,,56.0,555.0,9.0,7.0,11.0,51.0,1.0,,0.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,62.0,22.0,1.0,4.0,2.0,4.0,2.0,39.0,5.0,1.0,629.0,5.0,7.0,20.0,4.0,20.0,1.0,1.0,311.0,9.0,11.0,5.0,132.0,15.0,,3.0,5.0,16.0,10.0,5.0,14.0,3.0,6.0,5.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
33,1060026,2020-07-04 15:00:00,"Old Trafford, Manchester",,Home,Manchester United,Bournemouth,5,2,W,3,1,0,0,1.0,55.0,1.0,1.0,1.0,1.0,23.0,9.0,10.0,9.0,1.0,3.0,148.0,5.0,11.0,5.0,4.0,14.0,10.0,194.0,111.0,53.0,19.0,4.0,12.0,,3.0,,,1.0,21.0,9.0,4.0,9.0,7.0,7.0,29.0,318.0,1.0,,2.0,1.0,0.0,212.0,3.0,1.0,,4.0,,81.0,71.0,10.0,90.0,,14.0,11.0,10.0,3.0,,111.0,3.0,4.0,5.0,216.0,812.0,10.0,,39.0,13.0,555.0,23.0,1.0,6.0,3.0,0.0,1.0,4.0,13.0,626.0,46.0,2.0,95658,6.0,262.0,11.0,278.0,2.0,4.0,11.0,5.0,30.0,3.0,4.0,3.0,3.0,8.0,2.0,5.0,1.0,35.0,575.0,11.0,6.0,3.0,60.0,,1.0,0.0,,3.0,,3.0,,0.0,3.0,1.0,1.0,69.3,13.0,1.0,7.0,,3.0,5.0,45.0,8.0,,648.0,13.0,8.0,14.0,4.0,40.0,2.0,4.0,391.0,12.0,7.0,15.0,174.0,21.0,1.0,,6.0,16.0,11.0,5.0,13.0,,5.0,8.0,,1.0,6.0,1.0,,3.0,1.0,,2.0,3.0,,3.0,1.0,4.0,2.0,,,,1.0,,,2.0,,,,,,,,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,2.0,,,1.0,2.0,3.0,,,,,,,,3.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0
34,1060034,2020-07-09 20:15:00,"Villa Park, Birmingham",,Away,Manchester United,Aston Villa,3,0,W,2,0,0,0,1.0,44.0,1.0,2.0,1.0,1.0,42.0,11.0,4.0,10.0,1.0,2.0,192.0,2.0,9.0,3.0,2.0,12.0,6.0,171.0,109.0,40.0,14.0,1.0,8.0,1.0,1.0,2.0,,,17.0,5.0,,11.0,4.0,6.0,25.0,287.0,,1.0,2.0,1.0,0.0,197.0,13.0,,1.0,3.0,,86.0,75.0,7.0,110.0,1.0,14.0,16.0,4.0,4.0,1.0,109.0,3.0,1.0,4.0,164.0,789.0,9.0,3.0,34.0,12.0,550.0,14.0,6.0,8.0,2.0,3.0,3.0,5.0,19.0,618.0,63.0,2.0,95658,6.0,282.0,10.0,303.0,8.0,3.0,16.0,9.0,35.0,4.0,1.0,3.0,1.0,13.0,5.0,7.0,1.0,59.0,567.0,7.0,7.0,13.0,58.0,1.0,,0.0,,3.0,,1.0,1.0,0.0,2.0,1.0,2.0,66.6,18.0,2.0,3.0,3.0,3.0,2.0,39.0,5.0,1.0,637.0,12.0,5.0,15.0,6.0,36.0,1.0,4.0,351.0,9.0,5.0,13.0,165.0,24.0,,1.0,8.0,11.0,11.0,5.0,13.0,1.0,6.0,5.0,,,3.0,,,1.0,3.0,,,1.0,,3.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
35,1060046,2020-07-13 20:00:00,"Old Trafford, Manchester",,Home,Manchester United,Southampton,2,2,D,2,1,0,0,1.0,64.0,,1.0,1.0,1.0,38.0,20.0,4.0,4.0,3.0,2.0,168.0,2.0,15.0,2.0,1.0,5.0,4.0,106.0,143.0,57.0,8.0,,14.0,,2.0,,,1.0,13.0,7.0,1.0,20.0,2.0,4.0,44.0,155.0,1.0,,,,0.0,129.0,14.0,1.0,,1.0,1.0,85.0,44.0,4.0,89.0,1.0,11.0,19.0,4.0,4.0,3.0,143.0,2.0,,7.0,100.0,654.0,3.0,2.0,21.0,10.0,348.0,36.0,7.0,12.0,2.0,1.0,1.0,1.0,23.0,438.0,46.0,,95658,2.0,215.0,6.0,251.0,6.0,1.0,19.0,5.0,47.0,,1.0,5.0,2.0,21.0,2.0,1.0,,73.0,368.0,14.0,9.0,19.0,67.0,,1.0,0.0,2.0,6.0,2.0,2.0,1.0,0.0,2.0,1.0,,47.5,20.0,,2.0,1.0,5.0,1.0,37.0,4.0,,463.0,10.0,5.0,20.0,3.0,22.0,,,225.0,6.0,4.0,15.0,92.0,19.0,1.0,4.0,12.0,13.0,8.0,4.0,20.0,4.0,9.0,4.0,,,2.0,1.0,,,1.0,,1.0,,,2.0,,,2.0,,2.0,,,,,,,,,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
36,1060055,2020-07-16 20:15:00,"Selhurst Park, London",,Away,Manchester United,Crystal Palace,2,0,W,1,0,0,0,2.0,61.0,,1.0,2.0,2.0,26.0,13.0,4.0,12.0,5.0,2.0,223.0,4.0,17.0,2.0,3.0,12.0,5.0,138.0,136.0,56.0,17.0,1.0,5.0,2.0,1.0,1.0,,4.0,15.0,11.0,,13.0,7.0,14.0,37.0,289.0,,1.0,,,0.0,156.0,15.0,4.0,2.0,1.0,1.0,90.0,89.0,7.0,94.0,,8.0,21.0,5.0,,4.0,136.0,1.0,,8.0,170.0,827.0,9.0,5.0,35.0,14.0,529.0,28.0,,6.0,1.0,2.0,4.0,5.0,14.0,606.0,62.0,,95658,9.0,261.0,7.0,278.0,11.0,2.0,21.0,8.0,60.0,,,4.0,2.0,17.0,5.0,7.0,,40.0,546.0,10.0,14.0,5.0,75.0,2.0,,0.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,59.4,13.0,3.0,2.0,2.0,4.0,3.0,52.0,7.0,1.0,625.0,14.0,10.0,22.0,9.0,31.0,3.0,4.0,362.0,10.0,14.0,15.0,121.0,25.0,1.0,,6.0,14.0,13.0,2.0,33.0,,11.0,7.0,,,4.0,,,1.0,3.0,,1.0,1.0,,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
37,1060066,2020-07-22 18:00:00,"Old Trafford, Manchester",,Home,Manchester United,West Ham United,1,1,D,0,1,0,0,,57.0,,1.0,,2.0,29.0,8.0,5.0,6.0,2.0,2.0,191.0,2.0,9.0,1.0,1.0,9.0,4.0,165.0,133.0,36.0,11.0,,13.0,,1.0,1.0,,,8.0,6.0,2.0,8.0,2.0,9.0,35.0,363.0,,,,,0.0,249.0,10.0,1.0,,1.0,,107.0,63.0,4.0,86.0,,6.0,21.0,5.0,2.0,3.0,133.0,,1.0,7.0,167.0,775.0,8.0,2.0,29.0,8.0,507.0,22.0,2.0,1.0,1.0,3.0,2.0,5.0,13.0,586.0,91.0,1.0,95658,4.0,166.0,4.0,183.0,5.0,,21.0,11.0,51.0,1.0,3.0,3.0,1.0,17.0,5.0,11.0,,49.0,527.0,9.0,10.0,9.0,46.0,,,0.0,3.0,3.0,2.0,1.0,,0.0,1.0,1.0,,57.2,11.0,,6.0,,3.0,2.0,31.0,2.0,2.0,609.0,8.0,7.0,18.0,5.0,24.0,1.0,2.0,434.0,7.0,9.0,11.0,197.0,26.0,,4.0,1.0,9.0,11.0,2.0,22.0,4.0,10.0,2.0,,2.0,4.0,1.0,,,1.0,,2.0,,,1.0,,,1.0,,,,2.0,,,,2.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,
38,1060077,2020-07-26 16:00:00,"King Power Stadium, Leicester",,Away,Manchester United,Leicester City,2,0,W,0,0,0,1,2.0,60.0,1.0,,1.0,1.0,28.0,8.0,,7.0,3.0,1.0,157.0,1.0,8.0,2.0,2.0,4.0,3.0,147.0,138.0,50.0,7.0,,11.0,,,,,,7.0,12.0,,8.0,3.0,8.0,40.0,225.0,1.0,1.0,,1.0,0.0,145.0,11.0,1.0,,1.0,,82.0,89.0,1.0,63.0,,4.0,16.0,,1.0,,138.0,,1.0,9.0,151.0,681.0,4.0,1.0,21.0,9.0,407.0,25.0,2.0,4.0,,5.0,4.0,3.0,17.0,492.0,70.0,1.0,95658,6.0,202.0,3.0,227.0,8.0,1.0,16.0,10.0,54.0,3.0,2.0,3.0,1.0,15.0,5.0,7.0,1.0,52.0,426.0,11.0,9.0,10.0,55.0,,,0.0,,3.0,2.0,2.0,,0.0,1.0,,1.0,54.2,17.0,1.0,2.0,,3.0,1.0,34.0,3.0,,518.0,9.0,16.0,25.0,3.0,23.0,,3.0,298.0,4.0,8.0,12.0,95.0,28.0,,2.0,4.0,21.0,5.0,4.0,15.0,2.0,8.0,3.0,,,2.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
