gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,fouledFinalThird,attOneOnOne,attMissHighRight,freekickCross,contentiousDecision,totalFlickOn,attHdTarget,accurateFreekickCross,bigChanceMissed,attSetpiece,overrun,attBxLeft,penGoalsConceded,attGoalLowCentre,attFreekickTotal,attBxRight,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,errorLeadToShot,attRfGoal,accurateFlickOn,attSvHighCentre,totalHighClaim,attFreekickMiss,goalsConcededObox,attLfTarget,attOboxTarget,errorLeadToGoal,ptsGainedLosingPos,attSvHighLeft,attSvLowRight,goalAssistSetplay,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,attCmissHighLeft,secondYellow,punches,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attLfGoal,ownGoals,attIboxOwnGoal,penaltyWon,attGoalHighCentre,attPenGoal,attCmissHighRight,cleanSheet,attFreekickTarget,attLgLeft,attObxLeft,postScoringAtt,attIboxPost,attPostRight,attLgCentre,attFreekickGoal,attPostLeft,attHdPost,attPostHigh,foulThrowIn,goalFastbreak
27,2210532,2022-02-26 15:00:00,"Gtech Community Stadium, Brentford",17039,Away,Newcastle United,Brentford,2,0,W,2,0,0,1,,1.0,24.0,56.0,1.0,,,3.0,32.0,26.0,8.0,6.0,18.0,1.0,2.0,171.0,10.0,11.0,6.0,2.0,19.0,,1.0,11.0,129.0,136.0,47.0,26.0,2.0,21.0,6.0,1.0,2.0,3.0,3.0,31.0,5.0,26.0,6.0,5.0,31.0,267.0,0.0,166.0,7.0,,2.0,120.0,77.0,12.0,69.0,4.0,25.0,15.0,8.0,4.0,3.0,136.0,2.0,5.0,135.0,697.0,14.0,34.0,,6.0,407.0,25.0,,4.0,11.0,2.0,1.0,2.0,7.0,26.0,491.0,54.0,1.0,90105,9.0,162.0,19.0,,197.0,4.0,2.0,15.0,7.0,41.0,1.0,1.0,,,1.0,2.0,15.0,1.0,6.0,3.0,54.0,418.0,8.0,5.0,3.0,16.0,3.0,67.0,1.0,,0.0,6.0,1.0,2.0,,0.0,9.0,2.0,2.0,9.0,62.7,21.0,3.0,2.0,1.0,5.0,,46.0,6.0,,504.0,6.0,5.0,18.0,10.0,37.0,2.0,7.0,338.0,11.0,4.0,20.0,136.0,27.0,,,11.0,13.0,1.0,,20.0,3.0,10.0,,,4.0,6.0,1.0,4.0,1.0,,2.0,,6.0,3.0,1.0,1.0,1.0,1.0,3.0,,,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,4.0,3.0,,,1.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0
28,2210546,2022-03-05 15:00:00,"St. James' Park, Newcastle",52214,Home,Newcastle United,Brighton and Hove Albion,2,1,W,2,0,0,0,,1.0,26.0,69.0,1.0,1.0,,2.0,25.0,29.0,,3.0,10.0,3.0,1.0,161.0,12.0,4.0,2.0,2.0,7.0,,1.0,4.0,48.0,158.0,45.0,10.0,,33.0,2.0,3.0,,1.0,1.0,15.0,8.0,29.0,4.0,7.0,39.0,102.0,0.0,71.0,8.0,1.0,3.0,39.0,48.0,4.0,44.0,1.0,11.0,19.0,,1.0,,158.0,2.0,11.0,51.0,482.0,5.0,15.0,1.0,15.0,178.0,33.0,,7.0,17.0,1.0,1.0,7.0,3.0,14.0,278.0,37.0,1.0,90105,5.0,93.0,8.0,,131.0,5.0,,19.0,8.0,64.0,,1.0,1.0,,1.0,1.0,21.0,4.0,1.0,,66.0,191.0,9.0,12.0,1.0,22.0,1.0,71.0,3.0,,0.0,7.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,32.4,12.0,1.0,6.0,1.0,2.0,,34.0,4.0,,304.0,15.0,4.0,19.0,4.0,20.0,1.0,3.0,188.0,5.0,5.0,22.0,41.0,22.0,1.0,1.0,17.0,12.0,1.0,1.0,7.0,3.0,9.0,,1.0,10.0,4.0,,1.0,1.0,1.0,2.0,,10.0,,1.0,2.0,2.0,,2.0,,,,2.0,1.0,1.0,3.0,,2.0,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0
29,2210554,2022-03-13 14:00:00,"Stamford Bridge, London",40026,Away,Newcastle United,Chelsea,0,1,L,0,0,0,0,,,23.0,46.0,,,,,20.0,22.0,2.0,2.0,5.0,2.0,,107.0,15.0,3.0,7.0,,4.0,,1.0,2.0,38.0,134.0,54.0,7.0,,10.0,1.0,,,1.0,1.0,9.0,6.0,22.0,2.0,3.0,28.0,72.0,0.0,78.0,17.0,,,38.0,27.0,1.0,31.0,1.0,7.0,17.0,2.0,2.0,1.0,134.0,,5.0,33.0,388.0,2.0,13.0,,3.0,115.0,23.0,1.0,5.0,17.0,,3.0,1.0,3.0,22.0,182.0,50.0,,90105,2.0,61.0,2.0,,76.0,9.0,,17.0,9.0,47.0,,,,6.0,2.0,,18.0,3.0,7.0,2.0,54.0,130.0,16.0,6.0,2.0,21.0,1.0,53.0,,1.0,0.0,7.0,2.0,,1.0,0.0,3.0,,2.0,2.0,27.2,14.0,1.0,4.0,2.0,,,24.0,2.0,,209.0,3.0,4.0,11.0,5.0,13.0,,4.0,142.0,3.0,2.0,15.0,38.0,15.0,,2.0,17.0,16.0,,1.0,2.0,3.0,17.0,,2.0,5.0,2.0,,4.0,,,3.0,,5.0,1.0,2.0,,3.0,3.0,2.0,,,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2210566,2022-04-20 19:45:00,"St. James' Park, Newcastle",51938,Home,Newcastle United,Crystal Palace,1,0,W,1,0,0,0,,,25.0,55.0,,,,4.0,20.0,22.0,4.0,7.0,9.0,2.0,2.0,147.0,14.0,1.0,14.0,1.0,8.0,,,4.0,73.0,142.0,65.0,13.0,2.0,20.0,1.0,,1.0,1.0,2.0,6.0,12.0,22.0,2.0,3.0,30.0,134.0,0.0,88.0,12.0,1.0,,36.0,56.0,6.0,54.0,,4.0,17.0,4.0,1.0,,142.0,,9.0,73.0,547.0,4.0,17.0,,14.0,248.0,26.0,,4.0,13.0,1.0,1.0,2.0,2.0,26.0,323.0,49.0,,78916,6.0,128.0,2.0,,150.0,7.0,,17.0,6.0,57.0,1.0,1.0,,2.0,1.0,1.0,18.0,1.0,3.0,1.0,51.0,261.0,12.0,5.0,3.0,13.0,,64.0,,,0.0,5.0,2.0,1.0,,0.0,1.0,,1.0,2.0,36.3,17.0,2.0,3.0,1.0,6.0,,32.0,2.0,,347.0,14.0,9.0,14.0,3.0,19.0,,3.0,203.0,4.0,3.0,21.0,55.0,22.0,1.0,1.0,13.0,18.0,,,10.0,3.0,25.0,,1.0,8.0,2.0,,2.0,,,1.0,,7.0,,1.0,,3.0,2.0,,,,,3.0,2.0,,1.0,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
31,2210578,2022-04-03 16:30:00,"Tottenham Hotspur Stadium, London",57553,Away,Newcastle United,Tottenham Hotspur,1,5,L,1,1,0,0,,,21.0,40.0,,1.0,1.0,2.0,27.0,17.0,4.0,1.0,4.0,1.0,,124.0,10.0,3.0,7.0,1.0,4.0,,,1.0,93.0,102.0,46.0,8.0,2.0,10.0,,,,,1.0,16.0,9.0,17.0,3.0,2.0,18.0,138.0,0.0,98.0,7.0,,,48.0,45.0,2.0,63.0,1.0,13.0,6.0,4.0,3.0,1.0,102.0,,13.0,99.0,526.0,3.0,16.0,,7.0,305.0,13.0,1.0,5.0,10.0,,3.0,4.0,2.0,9.0,355.0,40.0,,90105,3.0,189.0,8.0,,198.0,4.0,,6.0,11.0,40.0,,,1.0,4.0,6.0,,10.0,6.0,8.0,,43.0,324.0,10.0,6.0,1.0,13.0,1.0,51.0,,,0.0,2.0,,,5.0,0.0,1.0,,,2.0,39.2,8.0,1.0,4.0,6.0,4.0,,34.0,3.0,,379.0,7.0,9.0,10.0,3.0,23.0,2.0,2.0,197.0,5.0,2.0,16.0,73.0,17.0,,,10.0,13.0,,5.0,6.0,3.0,15.0,3.0,,3.0,3.0,,4.0,,,2.0,1.0,3.0,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
32,2210587,2022-04-08 20:00:00,"St. James' Park, Newcastle",52164,Home,Newcastle United,Wolverhampton Wanderers,1,0,W,0,0,0,0,,1.0,22.0,60.0,,,1.0,2.0,30.0,13.0,4.0,4.0,8.0,2.0,2.0,135.0,16.0,2.0,10.0,1.0,7.0,,,4.0,88.0,125.0,45.0,12.0,3.0,10.0,2.0,2.0,,,,15.0,7.0,13.0,,,45.0,144.0,0.0,103.0,6.0,1.0,2.0,64.0,40.0,4.0,47.0,,15.0,10.0,4.0,4.0,,125.0,,3.0,108.0,550.0,7.0,19.0,,8.0,299.0,22.0,1.0,3.0,9.0,,1.0,1.0,3.0,20.0,360.0,51.0,1.0,90105,4.0,166.0,8.0,,179.0,4.0,,10.0,5.0,49.0,,2.0,,1.0,2.0,,12.0,2.0,2.0,2.0,63.0,308.0,13.0,9.0,,12.0,,75.0,2.0,,0.0,2.0,1.0,1.0,,0.0,2.0,,,,41.1,15.0,,5.0,2.0,5.0,,41.0,1.0,,378.0,8.0,18.0,23.0,3.0,26.0,,3.0,214.0,8.0,,11.0,69.0,24.0,1.0,2.0,9.0,11.0,,,7.0,3.0,16.0,,2.0,6.0,1.0,,4.0,,,3.0,2.0,4.0,,1.0,,3.0,,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
33,2210595,2022-04-17 14:15:00,"St. James' Park, Newcastle",52104,Home,Newcastle United,Leicester City,2,1,W,1,1,0,0,,2.0,29.0,59.0,,1.0,1.0,,19.0,18.0,6.0,3.0,10.0,1.0,4.0,145.0,14.0,4.0,12.0,2.0,11.0,,,7.0,50.0,145.0,67.0,16.0,1.0,13.0,3.0,2.0,,4.0,4.0,9.0,14.0,18.0,3.0,,38.0,107.0,0.0,112.0,10.0,,2.0,50.0,40.0,4.0,29.0,,6.0,16.0,6.0,4.0,3.0,145.0,1.0,5.0,40.0,473.0,10.0,21.0,,16.0,162.0,26.0,1.0,4.0,11.0,,2.0,4.0,7.0,25.0,244.0,60.0,,78916,4.0,66.0,2.0,,83.0,8.0,,16.0,6.0,51.0,,,,1.0,2.0,1.0,15.0,3.0,3.0,1.0,60.0,169.0,9.0,6.0,1.0,24.0,5.0,66.0,2.0,1.0,0.0,5.0,,2.0,1.0,0.0,2.0,,,4.0,31.3,20.0,2.0,9.0,2.0,1.0,,26.0,3.0,,264.0,16.0,14.0,17.0,8.0,21.0,2.0,5.0,190.0,9.0,,20.0,64.0,17.0,,1.0,11.0,26.0,1.0,1.0,9.0,3.0,20.0,,1.0,9.0,3.0,,,,2.0,,1.0,9.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,,1.0,3.0,,,,,,2.0,,3.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
34,2210610,2022-04-23 15:00:00,"Carrow Road, Norwich",26910,Away,Newcastle United,Norwich City,3,0,W,2,0,0,0,,2.0,32.0,67.0,1.0,,1.0,,28.0,17.0,3.0,2.0,10.0,2.0,4.0,155.0,20.0,4.0,10.0,3.0,10.0,,1.0,7.0,121.0,135.0,47.0,13.0,,10.0,1.0,,2.0,,3.0,10.0,11.0,17.0,3.0,8.0,30.0,189.0,0.0,128.0,10.0,1.0,,60.0,82.0,6.0,96.0,1.0,7.0,18.0,3.0,4.0,,135.0,2.0,4.0,134.0,702.0,6.0,20.0,,14.0,412.0,26.0,1.0,2.0,5.0,2.0,2.0,,4.0,27.0,487.0,61.0,2.0,78916,2.0,235.0,2.0,,262.0,6.0,,18.0,7.0,49.0,,2.0,,,7.0,3.0,15.0,1.0,3.0,1.0,57.0,420.0,11.0,9.0,2.0,12.0,2.0,64.0,,1.0,0.0,2.0,1.0,3.0,,0.0,1.0,1.0,,2.0,54.6,20.0,2.0,7.0,8.0,,,35.0,3.0,,506.0,14.0,13.0,14.0,6.0,18.0,3.0,6.0,254.0,9.0,7.0,11.0,94.0,25.0,2.0,3.0,5.0,15.0,,,11.0,3.0,17.0,,3.0,5.0,3.0,,1.0,1.0,,1.0,1.0,4.0,,,1.0,,,3.0,,1.0,,1.0,1.0,1.0,3.0,,,2.0,,2.0,1.0,,,,3.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,
35,2210615,2022-04-30 12:30:00,"St. James' Park, Newcastle",52281,Home,Newcastle United,Liverpool,0,1,L,0,1,0,0,,,25.0,48.0,,,,,21.0,21.0,4.0,,,9.0,2.0,129.0,9.0,1.0,15.0,,1.0,,,2.0,56.0,149.0,63.0,4.0,1.0,17.0,,,,,1.0,5.0,10.0,21.0,,4.0,44.0,99.0,0.0,89.0,11.0,3.0,,60.0,22.0,1.0,47.0,,5.0,20.0,4.0,3.0,1.0,149.0,,17.0,42.0,467.0,1.0,6.0,,4.0,167.0,18.0,,,13.0,,1.0,4.0,,27.0,248.0,52.0,1.0,78916,,78.0,1.0,,104.0,6.0,,20.0,16.0,53.0,,2.0,,9.0,3.0,,17.0,7.0,6.0,,63.0,176.0,9.0,10.0,,8.0,,61.0,,,0.0,6.0,9.0,,1.0,0.0,1.0,,2.0,,33.9,21.0,,2.0,3.0,1.0,,23.0,,,274.0,4.0,11.0,12.0,1.0,12.0,,,175.0,4.0,3.0,20.0,48.0,20.0,,,13.0,19.0,,1.0,3.0,3.0,19.0,,,7.0,,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2210629,2022-05-08 16:30:00,"Etihad Stadium, Manchester",53336,Away,Newcastle United,Manchester City,0,5,L,0,2,0,0,,,16.0,48.0,,,1.0,1.0,27.0,21.0,2.0,,5.0,4.0,1.0,118.0,10.0,3.0,6.0,,6.0,,,3.0,53.0,97.0,43.0,7.0,,21.0,3.0,,,1.0,1.0,11.0,9.0,21.0,2.0,4.0,23.0,109.0,0.0,79.0,11.0,3.0,,49.0,36.0,4.0,51.0,,9.0,10.0,2.0,3.0,2.0,97.0,3.0,14.0,59.0,424.0,4.0,15.0,,7.0,201.0,22.0,,5.0,10.0,,3.0,4.0,2.0,9.0,251.0,38.0,1.0,78916,3.0,110.0,6.0,,127.0,4.0,,10.0,15.0,49.0,1.0,1.0,,4.0,2.0,,11.0,7.0,8.0,1.0,59.0,216.0,6.0,9.0,2.0,16.0,2.0,61.0,,,0.0,8.0,3.0,,5.0,0.0,1.0,,,3.0,28.6,8.0,,1.0,2.0,1.0,,26.0,2.0,,281.0,7.0,3.0,11.0,3.0,13.0,2.0,1.0,165.0,4.0,4.0,12.0,58.0,15.0,,,10.0,19.0,,5.0,5.0,3.0,11.0,,,5.0,2.0,,,1.0,1.0,,,3.0,2.0,,3.0,,,1.0,,,,,,3.0,4.0,,1.0,,1.0,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,2210635,2022-05-16 20:00:00,"St. James' Park, Newcastle",52274,Home,Newcastle United,Arsenal,2,0,W,0,0,0,0,,1.0,16.0,46.0,,,2.0,2.0,26.0,17.0,5.0,2.0,10.0,2.0,3.0,115.0,9.0,6.0,13.0,2.0,12.0,1.0,2.0,4.0,72.0,125.0,57.0,16.0,3.0,9.0,3.0,1.0,,,2.0,31.0,13.0,17.0,11.0,2.0,26.0,163.0,0.0,120.0,11.0,2.0,1.0,39.0,79.0,7.0,48.0,2.0,20.0,13.0,6.0,2.0,3.0,125.0,2.0,5.0,90.0,526.0,11.0,30.0,,8.0,252.0,14.0,,8.0,6.0,,0.0,5.0,5.0,21.0,311.0,47.0,1.0,90105,6.0,103.0,16.0,,120.0,4.0,1.0,13.0,4.0,39.0,,2.0,,6.0,4.0,1.0,11.0,6.0,1.0,3.0,52.0,260.0,8.0,4.0,1.0,16.0,2.0,54.0,1.0,,0.0,8.0,,2.0,,0.0,3.0,,,1.0,50.6,19.0,1.0,3.0,4.0,5.0,,29.0,12.0,,325.0,8.0,10.0,11.0,7.0,42.0,3.0,4.0,236.0,13.0,2.0,18.0,91.0,23.0,,4.0,6.0,18.0,,,14.0,4.0,18.0,,4.0,6.0,12.0,,2.0,,,2.0,,4.0,,,2.0,,,2.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,3.0,3.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,
38,2210644,2022-05-22 16:00:00,"Turf Moor, Burnley",21361,Away,Newcastle United,Burnley,2,1,W,1,0,0,0,,2.0,21.0,58.0,,2.0,1.0,,20.0,27.0,2.0,2.0,5.0,3.0,4.0,143.0,4.0,1.0,3.0,2.0,5.0,,,6.0,66.0,141.0,51.0,8.0,,19.0,2.0,2.0,1.0,,,9.0,12.0,27.0,2.0,3.0,21.0,120.0,0.0,94.0,9.0,3.0,2.0,48.0,58.0,3.0,60.0,,7.0,23.0,3.0,1.0,1.0,141.0,2.0,9.0,69.0,522.0,4.0,17.0,,8.0,234.0,26.0,1.0,5.0,16.0,1.0,0.0,4.0,2.0,22.0,316.0,52.0,,78916,2.0,122.0,4.0,,155.0,3.0,,23.0,8.0,47.0,,,,,3.0,1.0,20.0,3.0,2.0,1.0,67.0,241.0,7.0,8.0,,30.0,,66.0,2.0,,0.0,8.0,3.0,2.0,1.0,0.0,,1.0,1.0,,48.6,18.0,,4.0,3.0,,1.0,28.0,2.0,,338.0,8.0,10.0,5.0,2.0,18.0,1.0,1.0,192.0,6.0,3.0,19.0,60.0,19.0,2.0,1.0,16.0,22.0,,1.0,7.0,3.0,4.0,,1.0,12.0,2.0,,3.0,1.0,,2.0,1.0,5.0,,,1.0,,1.0,2.0,,,,1.0,1.0,1.0,,,,2.0,,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
