gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attObxCentre,attRfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,cleanSheet,attemptsObox,crosses18yardplus,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attHdMiss,attPostRight,bigChanceScored,attGoalLowLeft,goals,attCmissRight,attOboxBlocked,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,attMissRight,goalAssist,errorLeadToShot,attRfGoal,totalPullBack,goalsOpenplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,penaltyWon,attSvLowLeft,freekickTotal,contentiousDecision,sixYardBlock,attPenGoal,attFreekickMiss,forwardGoals,attOneOnOne,attPostLeft,attHdPost,attSvLowRight,ptsDroppedWinningPos,attCmissLeft,attPostHigh,attHdGoal,errorLeadToGoal,shotFastbreak,goalFastbreak,totalFastbreak,attGoalHighCentre,attFastbreak,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attSvHighLeft,defenderGoals,goalAssistSetplay,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attOboxGoal,attFreekickTarget,attGoalHighLeft,secondYellow,attCmissHighLeft,attFreekickGoal,penaltySave,ownGoals,attIboxOwnGoal,attPenMiss,attPenTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,attObpGoal,expectedGoals
27,2210535,2022-02-26 15:00:00,"Selhurst Park, London",24203,Home,Crystal Palace,Burnley,1,1,D,1,0,0,0,,33.0,67.0,,2.0,27.0,19.0,5.0,6.0,1.0,199.0,16.0,1.0,10.0,4.0,8.0,4.0,138.0,178.0,51.0,11.0,25.0,2.0,2.0,,,18.0,11.0,19.0,3.0,2.0,46.0,181.0,,0.0,128.0,5.0,,2.0,5.0,59.0,89.0,7.0,86.0,,16.0,13.0,178.0,3.0,109.0,729.0,6.0,6.0,17.0,,7.0,391.0,35.0,3.0,13.0,,0.0,2.0,1.0,27.0,509.0,44.0,,,86417,,228.0,10.0,271.0,3.0,13.0,2.0,48.0,,,9.0,15.0,3.0,2.0,1.0,81.0,408.0,16.0,6.0,37.0,1.0,93.0,1.0,0.0,,4.0,1.0,1.0,1.0,0.0,1.0,,59.2,17.0,1.0,9.0,5.0,38.0,5.0,5.0,532.0,7.0,10.0,15.0,2.0,32.0,1.0,,279.0,6.0,2.0,12.0,90.0,20.0,,13.0,13.0,1.0,8.0,2.0,12.0,,6.0,5.0,,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,,5.0,4.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,3.0,,1.0,,2.0,,,,2.0,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
28,2210550,2022-03-05 15:00:00,"Molineux Stadium, Wolverhampton",31395,Away,Crystal Palace,Wolverhampton Wanderers,2,0,W,2,0,0,0,,25.0,67.0,2.0,3.0,17.0,30.0,5.0,11.0,5.0,119.0,11.0,7.0,13.0,2.0,8.0,8.0,69.0,140.0,53.0,12.0,13.0,5.0,1.0,1.0,,18.0,8.0,30.0,6.0,,35.0,113.0,2.0,0.0,71.0,8.0,2.0,1.0,1.0,50.0,41.0,8.0,49.0,,12.0,13.0,140.0,6.0,71.0,528.0,8.0,3.0,33.0,,11.0,211.0,36.0,3.0,11.0,1.0,3.0,3.0,,12.0,283.0,36.0,,,86417,7.0,121.0,7.0,152.0,6.0,13.0,8.0,53.0,1.0,8.0,6.0,9.0,6.0,5.0,,53.0,227.0,12.0,12.0,16.0,1.0,61.0,,0.0,4.0,7.0,3.0,,1.0,0.0,3.0,,36.0,5.0,6.0,6.0,3.0,32.0,7.0,1.0,308.0,11.0,15.0,15.0,1.0,28.0,4.0,1.0,174.0,7.0,,14.0,47.0,13.0,3.0,11.0,14.0,,10.0,3.0,18.0,3.0,6.0,7.0,,4.0,1.0,2.0,,2.0,,1.0,,1.0,1.0,4.0,,,,,,,,,,,2.0,,2.0,,,,,1.0,1.0,,,2.0,,1.0,2.0,,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210555,2022-03-14 20:00:00,"Selhurst Park, London",25309,Home,Crystal Palace,Manchester City,0,0,D,0,0,0,0,,20.0,55.0,1.0,1.0,20.0,32.0,2.0,6.0,5.0,123.0,10.0,,14.0,,5.0,1.0,54.0,127.0,49.0,7.0,22.0,1.0,2.0,,2.0,3.0,9.0,32.0,,2.0,39.0,58.0,,0.0,64.0,6.0,1.0,1.0,,31.0,34.0,2.0,42.0,2.0,3.0,17.0,127.0,13.0,50.0,446.0,5.0,9.0,13.0,,8.0,154.0,31.0,6.0,15.0,,3.0,6.0,3.0,15.0,236.0,33.0,,,86417,1.0,116.0,1.0,143.0,3.0,17.0,15.0,56.0,1.0,2.0,6.0,9.0,6.0,9.0,1.0,67.0,174.0,11.0,15.0,25.0,1.0,62.0,,0.0,,6.0,3.0,,2.0,0.0,,1.0,26.2,10.0,4.0,6.0,1.0,20.0,2.0,,269.0,8.0,10.0,12.0,5.0,11.0,,4.0,129.0,4.0,2.0,8.0,32.0,10.0,2.0,15.0,16.0,,6.0,2.0,17.0,2.0,10.0,2.0,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,2.0,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2210566,2022-04-20 19:45:00,"St. James' Park, Newcastle",51938,Away,Crystal Palace,Newcastle United,0,1,L,0,1,0,0,,25.0,66.0,2.0,2.0,27.0,14.0,1.0,9.0,3.0,177.0,11.0,6.0,5.0,2.0,8.0,2.0,157.0,152.0,57.0,10.0,21.0,2.0,,3.0,3.0,21.0,10.0,14.0,4.0,8.0,54.0,197.0,,0.0,110.0,12.0,3.0,1.0,,86.0,48.0,3.0,104.0,1.0,17.0,18.0,152.0,9.0,151.0,782.0,6.0,9.0,17.0,1.0,7.0,473.0,21.0,6.0,9.0,3.0,1.0,6.0,5.0,20.0,568.0,53.0,,,86417,7.0,299.0,8.0,325.0,6.0,18.0,4.0,65.0,,3.0,9.0,11.0,4.0,1.0,2.0,67.0,490.0,12.0,14.0,22.0,4.0,84.0,,0.0,3.0,2.0,1.0,1.0,2.0,0.0,3.0,5.0,63.7,18.0,4.0,10.0,2.0,47.0,5.0,,589.0,7.0,9.0,25.0,6.0,25.0,3.0,5.0,285.0,4.0,7.0,20.0,66.0,29.0,,9.0,20.0,1.0,6.0,3.0,14.0,,9.0,5.0,,,1.0,1.0,,1.0,,,,,1.0,8.0,1.0,,,,,,1.0,2.0,3.0,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2210574,2022-04-04 20:00:00,"Selhurst Park, London",25149,Home,Crystal Palace,Arsenal,3,0,W,2,0,0,0,,29.0,63.0,1.0,,25.0,16.0,2.0,3.0,3.0,132.0,11.0,1.0,9.0,4.0,4.0,5.0,46.0,138.0,52.0,6.0,10.0,,,,,6.0,8.0,16.0,,3.0,30.0,80.0,,0.0,73.0,11.0,1.0,1.0,,64.0,30.0,3.0,56.0,1.0,6.0,13.0,138.0,6.0,59.0,468.0,2.0,7.0,11.0,,10.0,192.0,30.0,6.0,5.0,,0.0,1.0,1.0,17.0,266.0,48.0,,,86417,2.0,129.0,5.0,150.0,6.0,13.0,9.0,44.0,,2.0,2.0,24.0,6.0,6.0,,65.0,208.0,14.0,8.0,26.0,,77.0,,0.0,,2.0,2.0,,3.0,0.0,1.0,2.0,31.4,11.0,6.0,2.0,,31.0,,,293.0,10.0,10.0,14.0,1.0,9.0,,1.0,149.0,2.0,2.0,11.0,34.0,19.0,1.0,5.0,18.0,,3.0,3.0,15.0,1.0,10.0,,1.0,1.0,3.0,1.0,,1.0,,2.0,,1.0,3.0,,,2.0,,,,1.0,,,1.0,,3.0,1.0,3.0,,,2.0,,2.0,1.0,2.0,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
32,2210585,2022-04-10 14:00:00,"King Power Stadium, Leicester",31896,Away,Crystal Palace,Leicester City,1,2,L,0,2,0,0,,26.0,61.0,,5.0,21.0,15.0,4.0,11.0,1.0,140.0,13.0,2.0,12.0,3.0,9.0,3.0,139.0,127.0,52.0,11.0,11.0,2.0,2.0,,,6.0,8.0,15.0,1.0,3.0,47.0,101.0,,0.0,75.0,12.0,,2.0,,43.0,40.0,6.0,86.0,1.0,5.0,22.0,127.0,6.0,130.0,685.0,8.0,6.0,27.0,,14.0,393.0,27.0,6.0,7.0,,1.0,6.0,3.0,19.0,474.0,36.0,1.0,1.0,86417,4.0,314.0,3.0,349.0,8.0,22.0,7.0,48.0,1.0,,6.0,18.0,6.0,7.0,,59.0,413.0,11.0,5.0,18.0,2.0,55.0,1.0,0.0,1.0,3.0,1.0,2.0,,0.0,1.0,2.0,49.2,17.0,3.0,6.0,5.0,30.0,4.0,,495.0,14.0,13.0,19.0,3.0,13.0,1.0,3.0,152.0,5.0,3.0,12.0,44.0,25.0,,7.0,17.0,2.0,6.0,3.0,19.0,,8.0,4.0,,1.0,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,,,,1.0,3.0,,,,1.0,,1.0,,,4.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
33,2210592,2022-05-19 19:45:00,"Goodison Park, Liverpool",38448,Away,Crystal Palace,Everton,2,3,L,2,0,0,0,,33.0,58.0,2.0,,29.0,36.0,4.0,6.0,3.0,186.0,17.0,2.0,5.0,1.0,3.0,5.0,103.0,174.0,57.0,7.0,33.0,3.0,,1.0,,18.0,13.0,36.0,4.0,5.0,30.0,152.0,,0.0,115.0,12.0,2.0,1.0,,70.0,67.0,2.0,72.0,,14.0,17.0,174.0,7.0,106.0,673.0,2.0,5.0,13.0,,4.0,344.0,26.0,8.0,18.0,1.0,3.0,2.0,1.0,24.0,441.0,59.0,,1.0,86417,4.0,211.0,8.0,245.0,4.0,17.0,13.0,74.0,,3.0,4.0,14.0,5.0,6.0,,73.0,361.0,9.0,6.0,34.0,1.0,78.0,,0.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,3.0,56.8,16.0,3.0,4.0,,40.0,5.0,,467.0,4.0,19.0,15.0,2.0,29.0,,1.0,240.0,,5.0,23.0,71.0,24.0,,18.0,20.0,3.0,5.0,3.0,11.0,,9.0,5.0,1.0,3.0,1.0,,,1.0,,,,,1.0,5.0,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,2.0,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,,3.0,,,2.0,,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
34,2210606,2022-04-25 20:00:00,"Selhurst Park, London",25357,Home,Crystal Palace,Leeds United,0,0,D,0,0,0,0,,29.0,75.0,1.0,4.0,35.0,8.0,5.0,14.0,2.0,171.0,9.0,8.0,24.0,4.0,13.0,7.0,97.0,174.0,76.0,17.0,19.0,7.0,1.0,1.0,2.0,20.0,7.0,8.0,5.0,7.0,50.0,135.0,,0.0,123.0,12.0,,5.0,1.0,59.0,45.0,10.0,76.0,1.0,15.0,21.0,174.0,5.0,88.0,674.0,12.0,5.0,35.0,2.0,12.0,309.0,27.0,6.0,4.0,1.0,2.0,3.0,3.0,31.0,412.0,65.0,1.0,1.0,86417,7.0,198.0,7.0,232.0,10.0,21.0,9.0,68.0,3.0,1.0,10.0,19.0,4.0,6.0,1.0,67.0,325.0,13.0,8.0,19.0,2.0,78.0,,0.0,,3.0,1.0,,,0.0,7.0,2.0,52.5,25.0,7.0,10.0,4.0,42.0,6.0,1.0,432.0,12.0,14.0,22.0,6.0,34.0,1.0,3.0,220.0,10.0,7.0,26.0,67.0,31.0,1.0,4.0,13.0,,11.0,3.0,39.0,1.0,12.0,6.0,,2.0,3.0,3.0,,2.0,,,1.0,1.0,3.0,3.0,3.0,,,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,2210616,2022-04-30 15:00:00,"St. Mary's Stadium, Southampton",31359,Away,Crystal Palace,Southampton,2,1,W,0,1,0,0,,29.0,71.0,1.0,5.0,33.0,29.0,5.0,11.0,2.0,185.0,15.0,6.0,13.0,1.0,11.0,5.0,135.0,159.0,56.0,14.0,32.0,3.0,1.0,,2.0,21.0,5.0,29.0,6.0,2.0,54.0,175.0,,0.0,122.0,11.0,2.0,,1.0,63.0,62.0,9.0,80.0,,15.0,23.0,159.0,5.0,129.0,755.0,8.0,9.0,28.0,2.0,8.0,418.0,27.0,5.0,14.0,,3.0,2.0,2.0,24.0,506.0,60.0,,,86417,7.0,267.0,13.0,301.0,5.0,23.0,7.0,69.0,2.0,4.0,5.0,18.0,3.0,6.0,1.0,69.0,436.0,13.0,5.0,15.0,3.0,65.0,,0.0,3.0,6.0,1.0,1.0,4.0,0.0,5.0,5.0,61.7,21.0,6.0,5.0,6.0,40.0,7.0,2.0,529.0,8.0,18.0,27.0,3.0,27.0,1.0,2.0,249.0,4.0,2.0,22.0,81.0,33.0,1.0,14.0,8.0,1.0,10.0,3.0,18.0,1.0,8.0,7.0,2.0,1.0,3.0,,,,,,,,3.0,2.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,3.0,,,2.0,,1.0,,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36,2210626,2022-05-07 15:00:00,"Selhurst Park, London",24622,Home,Crystal Palace,Watford,1,0,W,1,0,0,1,,19.0,59.0,,2.0,40.0,10.0,5.0,12.0,1.0,159.0,7.0,6.0,12.0,5.0,12.0,7.0,143.0,133.0,53.0,15.0,17.0,6.0,1.0,1.0,1.0,24.0,4.0,10.0,5.0,3.0,48.0,195.0,1.0,0.0,154.0,11.0,1.0,3.0,4.0,82.0,92.0,9.0,82.0,,19.0,15.0,133.0,3.0,149.0,718.0,11.0,5.0,30.0,2.0,3.0,436.0,23.0,4.0,5.0,1.0,2.0,3.0,3.0,25.0,513.0,75.0,,,86417,3.0,265.0,9.0,279.0,6.0,15.0,3.0,49.0,,2.0,5.0,10.0,3.0,2.0,3.0,69.0,454.0,16.0,5.0,12.0,2.0,77.0,,0.0,5.0,5.0,1.0,,1.0,0.0,5.0,4.0,67.7,22.0,6.0,5.0,4.0,49.0,8.0,4.0,533.0,3.0,8.0,27.0,4.0,36.0,1.0,3.0,278.0,6.0,3.0,14.0,108.0,23.0,2.0,5.0,11.0,,11.0,3.0,20.0,2.0,7.0,8.0,,2.0,3.0,2.0,,3.0,,,,1.0,3.0,7.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,,,,,,,1.0,,,1.0,,3.0,5.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,2210631,2022-05-15 14:00:00,"Villa Park, Birmingham",41136,Away,Crystal Palace,Aston Villa,1,1,D,0,0,0,0,,26.0,61.0,3.0,5.0,27.0,13.0,3.0,10.0,3.0,167.0,15.0,8.0,10.0,2.0,15.0,4.0,118.0,129.0,49.0,16.0,10.0,,,,5.0,21.0,4.0,13.0,5.0,3.0,42.0,154.0,,0.0,114.0,15.0,1.0,3.0,,68.0,54.0,10.0,98.0,2.0,16.0,16.0,129.0,8.0,103.0,681.0,11.0,6.0,24.0,,13.0,393.0,20.0,2.0,3.0,,3.0,4.0,5.0,22.0,467.0,52.0,,1.0,86417,7.0,263.0,8.0,282.0,12.0,16.0,6.0,48.0,,,6.0,16.0,5.0,6.0,1.0,50.0,409.0,9.0,4.0,7.0,5.0,63.0,,0.0,,1.0,,1.0,,0.0,3.0,6.0,51.6,19.0,7.0,6.0,6.0,40.0,5.0,,486.0,13.0,10.0,21.0,6.0,30.0,5.0,4.0,225.0,7.0,3.0,18.0,75.0,25.0,2.0,3.0,12.0,1.0,8.0,3.0,20.0,2.0,9.0,5.0,,,6.0,3.0,,,,3.0,,,6.0,5.0,2.0,1.0,,,,3.0,,3.0,4.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,2.0,,1.0,,,,,1.0,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
38,2210646,2022-05-22 16:00:00,"Selhurst Park, London",25434,Home,Crystal Palace,Manchester United,1,0,W,1,0,0,0,0.0,30.0,64.0,2.0,,19.0,20.0,4.0,5.0,4.0,126.0,12.0,4.0,6.0,5.0,5.0,3.0,66.0,138.0,44.0,6.0,10.0,2.0,,,1.0,11.0,3.0,20.0,3.0,3.0,36.0,110.0,,0.0,90.0,12.0,,5.0,1.0,36.0,52.0,2.0,53.0,1.0,8.0,22.0,138.0,6.0,82.0,518.0,4.0,2.0,15.0,,9.0,219.0,31.0,6.0,12.0,,2.0,3.0,3.0,21.0,299.0,37.0,,3.0,86417,3.0,132.0,3.0,168.0,11.0,13.0,6.0,45.0,1.0,2.0,6.0,17.0,4.0,2.0,,53.0,238.0,22.0,6.0,16.0,,48.0,,0.0,,6.0,2.0,0.0,,0.0,4.0,1.0,38.4,15.0,7.0,6.0,,25.0,3.0,1.0,327.0,9.0,5.0,15.0,3.0,15.0,,2.0,170.0,1.0,2.0,8.0,56.0,19.0,1.0,12.0,8.0,0.0,4.0,3.0,18.0,1.0,13.0,3.0,,2.0,1.0,,,2.0,,,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.0,1.0,,,1.0,,1.0,1.0,,,2.0,0.0,0.0,,,0.0,,,,,,0.0,,1.0,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,,,0.6054,0.2494,0.0,0.0,0.0,0.751304,0.0,0.6286
