gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,attSvHighRight,totalFastbreak,interceptionsInBox,attMissRight,bigChanceCreated,totalFlickOn,hitWoodwork,totalKeeperSweeper,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attemptsConcededObox,attFastbreak,attGoalHighLeft,goalAssistIntentional,shieldBallOop,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistDeadball,goodHighClaim,penaltyConceded,totalOffside,goalsConceded,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,attCmissRight,attOneOnOne,attLgCentre,errorLeadToShot,punches,attCmissHighRight,attSvHighCentre,attGoalLowRight,attSvHighLeft,attAssistSetplay,clearanceOffLine,attLgLeft,postScoringAtt,attIboxPost,contentiousDecision,attSvLowRight,attPostRight,attMissHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,accurateFreekickCross,attPostHigh,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,subsGoals,expectedAssists,expectedGoals,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxdRight,attObxRight,attObxLeft,attPostLeft,attHdPost,attPenTarget
26,2210524,2022-02-19 15:00:00,"Selhurst Park, London",25109.0,Away,Chelsea,Crystal Palace,1,0,W,0,0,0,0,1.0,,,27.0,57.0,,33.0,16.0,4.0,5.0,5.0,,1.0,2.0,167.0,12.0,2.0,10.0,1.0,1.0,6.0,,3.0,130.0,147.0,40.0,1.0,9.0,2.0,9.0,1.0,,1.0,1.0,1.0,13.0,8.0,,1.0,16.0,4.0,2.0,33.0,216.0,,1.0,,0.0,130.0,20.0,,,,,83.0,70.0,4.0,81.0,9.0,15.0,4.0,1.0,,4.0,1.0,147.0,5.0,140.0,691.0,5.0,18.0,,8.0,418.0,25.0,4.0,10.0,1.0,3.0,2.0,2.0,28.0,505.0,54.0,2.0,91651,3.0,214.0,5.0,241.0,13.0,,,,15.0,8.0,58.0,2.0,,2.0,1.0,17.0,7.0,,61.0,428.0,4.0,8.0,19.0,,63.0,,,0.0,,2.0,4.0,,1.0,0.0,2.0,1.0,57.4,26.0,5.0,,2.0,3.0,42.0,4.0,518.0,8.0,,13.0,19.0,3.0,25.0,2.0,290.0,3.0,2.0,9.0,97.0,25.0,1.0,,10.0,17.0,7.0,3.0,19.0,,7.0,4.0,,1.0,1.0,,,,,,1.0,1.0,4.0,,,2.0,,1.0,,2.0,,,1.0,,1.0,,,,1.0,,3.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,2210534,2022-05-19 20:00:00,"Stamford Bridge, London",31478.0,Home,Chelsea,Leicester City,1,1,D,1,1,0,0,,3.0,1.0,31.0,56.0,1.0,21.0,5.0,9.0,8.0,10.0,,1.0,2.0,190.0,13.0,6.0,16.0,1.0,4.0,16.0,,7.0,227.0,119.0,44.0,2.0,20.0,5.0,8.0,3.0,2.0,1.0,,2.0,26.0,5.0,,3.0,5.0,5.0,6.0,39.0,441.0,1.0,,,0.0,219.0,13.0,,1.0,1.0,2.0,81.0,116.0,11.0,119.0,21.0,17.0,10.0,2.0,,7.0,2.0,119.0,,214.0,940.0,13.0,28.0,1.0,11.0,686.0,18.0,,5.0,1.0,4.0,,4.0,21.0,741.0,83.0,2.0,89335,4.0,260.0,12.0,271.0,8.0,,,,17.0,2.0,44.0,2.0,,7.0,1.0,19.0,2.0,,41.0,695.0,7.0,5.0,6.0,4.0,57.0,,,0.0,1.0,4.0,,,1.0,0.0,5.0,3.0,67.2,19.0,5.0,3.0,7.0,8.0,51.0,6.0,750.0,11.0,,13.0,20.0,5.0,51.0,3.0,505.0,9.0,5.0,11.0,178.0,26.0,,1.0,5.0,10.0,14.0,3.0,21.0,1.0,9.0,6.0,,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,2.0,,,,2.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,
28,2210542,2022-03-05 15:00:00,"Turf Moor, Burnley",19439.0,Away,Chelsea,Burnley,4,0,W,0,0,0,0,,,3.0,24.0,60.0,3.0,31.0,15.0,5.0,1.0,5.0,,1.0,1.0,229.0,10.0,2.0,9.0,4.0,,10.0,,5.0,201.0,138.0,49.0,,11.0,5.0,15.0,,1.0,3.0,,,15.0,9.0,,1.0,15.0,2.0,10.0,63.0,338.0,,1.0,,0.0,187.0,7.0,,1.0,1.0,,103.0,66.0,10.0,150.0,13.0,16.0,6.0,,,,,138.0,4.0,210.0,969.0,7.0,27.0,,4.0,696.0,28.0,6.0,9.0,3.0,0.0,4.0,,17.0,771.0,53.0,,91651,,376.0,13.0,415.0,3.0,,2.0,,16.0,5.0,51.0,,,6.0,4.0,19.0,4.0,,57.0,712.0,12.0,4.0,18.0,,75.0,,,0.0,,,5.0,1.0,4.0,0.0,2.0,1.0,72.6,15.0,1.0,,6.0,6.0,57.0,2.0,790.0,4.0,,13.0,38.0,,25.0,,390.0,9.0,10.0,15.0,163.0,24.0,3.0,1.0,9.0,14.0,11.0,3.0,21.0,1.0,7.0,2.0,,1.0,1.0,,,,,,,2.0,2.0,,,,1.0,,,2.0,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210554,2022-03-13 14:00:00,"Stamford Bridge, London",40026.0,Home,Chelsea,Newcastle United,1,0,W,0,0,0,0,1.0,,1.0,23.0,56.0,1.0,20.0,13.0,2.0,1.0,5.0,2.0,1.0,1.0,180.0,8.0,2.0,6.0,1.0,6.0,6.0,,3.0,160.0,140.0,47.0,1.0,8.0,,15.0,2.0,2.0,1.0,,2.0,16.0,8.0,,,13.0,6.0,6.0,32.0,247.0,,1.0,,0.0,152.0,17.0,2.0,,,2.0,59.0,91.0,4.0,74.0,11.0,19.0,3.0,1.0,,7.0,3.0,140.0,5.0,156.0,749.0,3.0,16.0,1.0,6.0,468.0,32.0,3.0,8.0,1.0,4.0,,2.0,15.0,542.0,53.0,2.0,91651,3.0,246.0,2.0,276.0,9.0,1.0,,1.0,19.0,5.0,54.0,2.0,,4.0,1.0,25.0,4.0,2.0,41.0,491.0,17.0,7.0,17.0,2.0,44.0,1.0,,0.0,,1.0,2.0,1.0,1.0,0.0,1.0,2.0,72.8,13.0,2.0,,4.0,1.0,27.0,7.0,570.0,6.0,1.0,13.0,19.0,4.0,29.0,1.0,310.0,5.0,5.0,10.0,123.0,18.0,1.0,,8.0,14.0,5.0,3.0,9.0,,12.0,7.0,1.0,1.0,,1.0,,,1.0,,,2.0,5.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,,1.0,2.0,,,,,3.0,,3.0,,1.0,,,,,,,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
30,2210567,2022-03-10 19:30:00,"Carrow Road, Norwich",26722.0,Away,Chelsea,Norwich City,3,1,W,2,0,0,0,2.0,2.0,1.0,22.0,43.0,,25.0,17.0,3.0,5.0,12.0,2.0,1.0,1.0,201.0,14.0,4.0,10.0,3.0,4.0,11.0,1.0,7.0,186.0,99.0,44.0,1.0,15.0,,4.0,3.0,,2.0,2.0,1.0,12.0,10.0,1.0,1.0,17.0,7.0,8.0,35.0,328.0,,,,0.0,191.0,15.0,2.0,,,,80.0,94.0,9.0,139.0,5.0,14.0,3.0,1.0,,1.0,2.0,99.0,2.0,186.0,867.0,6.0,36.0,1.0,11.0,633.0,20.0,,9.0,3.0,2.0,1.0,2.0,14.0,692.0,59.0,1.0,91651,8.0,329.0,4.0,340.0,11.0,,1.0,2.0,14.0,8.0,38.0,2.0,1.0,2.0,2.0,10.0,8.0,2.0,36.0,653.0,8.0,5.0,3.0,4.0,66.0,,,0.0,,3.0,3.0,1.0,3.0,0.0,,4.0,66.3,12.0,2.0,1.0,2.0,3.0,56.0,8.0,712.0,11.0,1.0,7.0,27.0,5.0,27.0,3.0,384.0,6.0,6.0,11.0,156.0,18.0,2.0,,9.0,15.0,10.0,3.0,19.0,,6.0,8.0,1.0,3.0,,,,,,1.0,1.0,3.0,1.0,,,2.0,1.0,,,6.0,,1.0,3.0,1.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
31,2210573,2022-04-02 15:00:00,"Stamford Bridge, London",39061.0,Home,Chelsea,Brentford,1,4,L,0,0,0,0,1.0,2.0,,19.0,54.0,,36.0,14.0,8.0,4.0,12.0,2.0,,3.0,191.0,11.0,6.0,10.0,1.0,2.0,17.0,,8.0,184.0,126.0,39.0,,21.0,2.0,19.0,4.0,4.0,1.0,3.0,3.0,33.0,7.0,,3.0,14.0,12.0,6.0,34.0,354.0,1.0,,1.0,0.0,218.0,11.0,2.0,,,2.0,81.0,105.0,10.0,97.0,21.0,16.0,9.0,,,8.0,3.0,126.0,14.0,169.0,837.0,14.0,36.0,2.0,6.0,565.0,23.0,6.0,7.0,1.0,0.0,6.0,7.0,22.0,623.0,61.0,2.0,91651,5.0,234.0,11.0,257.0,8.0,,1.0,,16.0,8.0,51.0,2.0,1.0,1.0,1.0,16.0,7.0,1.0,52.0,582.0,7.0,3.0,12.0,6.0,43.0,1.0,,0.0,,2.0,7.0,2.0,,0.0,3.0,4.0,70.6,20.0,4.0,1.0,2.0,4.0,37.0,12.0,641.0,6.0,,12.0,21.0,9.0,47.0,6.0,417.0,13.0,6.0,13.0,188.0,25.0,,,7.0,9.0,14.0,3.0,17.0,,11.0,12.0,,2.0,,1.0,,,1.0,,4.0,2.0,2.0,,,2.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,,,,,,4.0,2.0,,,,,4.0,3.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,2.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
32,2210589,2022-04-09 15:00:00,"St. Mary's Stadium, Southampton",31359.0,Away,Chelsea,Southampton,6,0,W,4,0,0,0,,2.0,5.0,22.0,71.0,2.0,19.0,14.0,6.0,9.0,18.0,1.0,2.0,5.0,228.0,10.0,3.0,8.0,6.0,5.0,16.0,,14.0,207.0,123.0,67.0,,24.0,,9.0,7.0,2.0,1.0,4.0,3.0,8.0,19.0,,1.0,14.0,3.0,9.0,34.0,368.0,,1.0,1.0,0.0,172.0,10.0,1.0,1.0,2.0,1.0,97.0,75.0,10.0,108.0,5.0,17.0,6.0,,,1.0,4.0,123.0,2.0,205.0,929.0,14.0,30.0,1.0,4.0,648.0,27.0,2.0,7.0,1.0,0.0,3.0,6.0,17.0,734.0,78.0,,91651,8.0,297.0,3.0,318.0,4.0,,4.0,,17.0,3.0,39.0,2.0,,2.0,6.0,12.0,3.0,,38.0,662.0,11.0,3.0,11.0,1.0,73.0,,,0.0,,1.0,3.0,1.0,5.0,0.0,2.0,2.0,71.0,17.0,2.0,2.0,2.0,2.0,51.0,3.0,748.0,4.0,,11.0,22.0,8.0,29.0,1.0,438.0,13.0,8.0,20.0,137.0,40.0,5.0,2.0,7.0,29.0,22.0,3.0,15.0,2.0,6.0,3.0,,2.0,3.0,2.0,,,2.0,,2.0,4.0,3.0,3.0,,4.0,,1.0,,2.0,2.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,3.0,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
33,2210593,2022-05-11 19:30:00,"Elland Road, Leeds",36549.0,Away,Chelsea,Leeds United,3,0,W,1,0,0,1,1.0,1.0,,22.0,67.0,1.0,29.0,11.0,5.0,10.0,12.0,,2.0,,208.0,13.0,3.0,15.0,3.0,1.0,15.0,1.0,4.0,239.0,118.0,53.0,,17.0,,10.0,1.0,1.0,3.0,,5.0,16.0,9.0,1.0,,11.0,3.0,8.0,29.0,386.0,,1.0,1.0,0.0,198.0,14.0,,,1.0,1.0,70.0,115.0,5.0,149.0,13.0,9.0,5.0,,1.0,3.0,4.0,118.0,2.0,221.0,969.0,12.0,33.0,,8.0,729.0,22.0,3.0,6.0,3.0,0.0,1.0,10.0,11.0,803.0,71.0,,91651,9.0,359.0,9.0,378.0,9.0,,1.0,1.0,9.0,3.0,43.0,2.0,,3.0,3.0,11.0,2.0,1.0,48.0,742.0,9.0,4.0,15.0,1.0,94.0,2.0,,0.0,,,1.0,,2.0,0.0,3.0,3.0,67.9,11.0,8.0,1.0,3.0,3.0,78.0,4.0,817.0,8.0,,9.0,17.0,10.0,31.0,6.0,455.0,4.0,7.0,12.0,163.0,34.0,3.0,,6.0,17.0,15.0,3.0,22.0,,4.0,5.0,,3.0,,1.0,1.0,,1.0,1.0,3.0,,6.0,,1.0,,,1.0,,3.0,1.0,,3.0,1.0,3.0,,,,,,3.0,,2.0,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,2210605,2022-04-24 14:00:00,"Stamford Bridge, London",32231.0,Home,Chelsea,West Ham United,1,0,W,0,0,0,1,1.0,1.0,1.0,18.0,69.0,,24.0,7.0,12.0,7.0,14.0,2.0,1.0,3.0,229.0,7.0,3.0,10.0,1.0,1.0,20.0,,5.0,182.0,133.0,39.0,,26.0,6.0,10.0,2.0,3.0,1.0,1.0,2.0,21.0,6.0,,2.0,7.0,3.0,,31.0,359.0,1.0,1.0,,0.0,261.0,11.0,,,2.0,,79.0,123.0,14.0,107.0,18.0,24.0,12.0,,,8.0,4.0,133.0,5.0,192.0,898.0,19.0,47.0,,9.0,612.0,20.0,5.0,5.0,1.0,1.0,2.0,6.0,16.0,694.0,56.0,,89335,9.0,272.0,10.0,292.0,6.0,,,1.0,24.0,5.0,37.0,1.0,,8.0,1.0,16.0,5.0,3.0,41.0,628.0,8.0,4.0,12.0,1.0,64.0,1.0,,0.0,,1.0,1.0,2.0,1.0,0.0,2.0,3.0,66.6,16.0,9.0,1.0,8.0,12.0,50.0,3.0,710.0,9.0,,7.0,14.0,9.0,44.0,5.0,439.0,16.0,,10.0,217.0,31.0,,,5.0,11.0,24.0,3.0,17.0,,14.0,3.0,,6.0,,,,,,,3.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
35,2210612,2022-05-01 14:00:00,"Goodison Park, Liverpool",39256.0,Away,Chelsea,Everton,0,1,L,0,0,0,0,1.0,2.0,,28.0,60.0,,16.0,17.0,6.0,4.0,11.0,3.0,,2.0,221.0,12.0,8.0,12.0,,4.0,13.0,,5.0,204.0,137.0,51.0,,17.0,2.0,12.0,4.0,1.0,,,3.0,27.0,6.0,,1.0,17.0,7.0,3.0,27.0,384.0,,,,0.0,220.0,12.0,2.0,,2.0,3.0,97.0,106.0,8.0,105.0,20.0,26.0,6.0,,,8.0,3.0,137.0,6.0,190.0,918.0,10.0,31.0,1.0,5.0,620.0,24.0,2.0,10.0,,5.0,1.0,5.0,15.0,702.0,66.0,,91651,8.0,261.0,9.0,286.0,6.0,,,,26.0,10.0,44.0,,,6.0,,19.0,9.0,2.0,35.0,637.0,9.0,8.0,13.0,5.0,62.0,1.0,,0.0,,1.0,3.0,3.0,,0.0,4.0,5.0,78.3,15.0,6.0,1.0,6.0,5.0,47.0,8.0,720.0,5.0,,8.0,13.0,7.0,39.0,3.0,461.0,8.0,2.0,12.0,179.0,24.0,,1.0,10.0,18.0,12.0,3.0,17.0,1.0,9.0,8.0,,3.0,,,,,,2.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,3.0,,,,,3.0,4.0,,,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,3.0,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
36,2210625,2022-05-07 15:00:00,"Stamford Bridge, London",32190.0,Home,Chelsea,Wolverhampton Wanderers,2,2,D,0,0,0,0,,1.0,1.0,26.0,52.0,1.0,20.0,16.0,6.0,6.0,13.0,2.0,1.0,3.0,151.0,14.0,5.0,8.0,2.0,4.0,12.0,,6.0,132.0,118.0,54.0,2.0,19.0,2.0,10.0,4.0,5.0,1.0,,2.0,20.0,10.0,,,16.0,8.0,4.0,41.0,209.0,,,1.0,0.0,145.0,7.0,1.0,,1.0,1.0,56.0,86.0,7.0,63.0,12.0,10.0,6.0,2.0,,3.0,3.0,118.0,10.0,147.0,676.0,9.0,34.0,,8.0,404.0,14.0,1.0,8.0,1.0,1.0,1.0,5.0,18.0,472.0,65.0,,91651,6.0,219.0,8.0,230.0,2.0,,1.0,,10.0,9.0,48.0,4.0,,5.0,1.0,12.0,8.0,,40.0,423.0,11.0,13.0,4.0,3.0,56.0,,,0.0,,,3.0,2.0,1.0,0.0,3.0,3.0,59.3,17.0,9.0,1.0,5.0,5.0,35.0,9.0,493.0,8.0,1.0,10.0,18.0,8.0,40.0,5.0,283.0,10.0,4.0,15.0,102.0,24.0,2.0,1.0,8.0,20.0,13.0,3.0,16.0,1.0,5.0,9.0,,3.0,,,,1.0,,,4.0,,3.0,,,,,,,4.0,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,1.0,2.0,2.0,,,,,,,1.0,,2.0,,,,,2.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
37,2210634,2022-04-28 19:45:00,"Old Trafford, Manchester",73564.0,Away,Chelsea,Manchester United,1,1,D,0,0,0,0,2.0,1.0,1.0,29.0,61.0,,31.0,13.0,6.0,6.0,15.0,2.0,1.0,3.0,191.0,17.0,5.0,9.0,1.0,2.0,18.0,,6.0,162.0,127.0,42.0,,21.0,2.0,15.0,4.0,5.0,1.0,2.0,3.0,26.0,6.0,,1.0,13.0,7.0,8.0,55.0,358.0,1.0,,,0.0,245.0,12.0,,1.0,,2.0,107.0,118.0,11.0,108.0,19.0,15.0,6.0,,,8.0,3.0,127.0,4.0,167.0,812.0,16.0,43.0,1.0,9.0,541.0,20.0,2.0,5.0,1.0,1.0,2.0,7.0,20.0,613.0,67.0,2.0,89335,8.0,203.0,9.0,219.0,7.0,,,1.0,15.0,2.0,49.0,4.0,,3.0,1.0,14.0,2.0,1.0,45.0,556.0,9.0,8.0,6.0,4.0,54.0,,,0.0,,1.0,2.0,2.0,1.0,0.0,4.0,3.0,64.8,20.0,7.0,1.0,3.0,6.0,42.0,9.0,628.0,9.0,,12.0,36.0,9.0,51.0,5.0,435.0,11.0,8.0,12.0,204.0,31.0,,2.0,5.0,12.0,16.0,3.0,13.0,2.0,6.0,9.0,,4.0,,,,,,,2.0,3.0,6.0,1.0,,2.0,,1.0,,2.0,,,,,2.0,1.0,,,1.0,,3.0,1.0,3.0,,1.0,,,1.0,2.0,2.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
38,2210645,2022-05-22 16:00:00,"Stamford Bridge, London",32089.0,Home,Chelsea,Watford,2,1,W,1,0,0,0,1.0,3.0,2.0,23.0,65.0,,36.0,12.0,7.0,10.0,12.0,2.0,,3.0,198.0,15.0,3.0,6.0,2.0,3.0,16.0,,8.0,195.0,119.0,61.0,,19.0,2.0,9.0,2.0,1.0,2.0,3.0,4.0,13.0,16.0,1.0,4.0,12.0,3.0,7.0,47.0,373.0,1.0,,,0.0,204.0,9.0,1.0,,,,101.0,107.0,11.0,142.0,10.0,16.0,7.0,,,5.0,1.0,119.0,3.0,199.0,930.0,14.0,35.0,,9.0,649.0,26.0,1.0,6.0,2.0,0.0,3.0,5.0,20.0,718.0,82.0,1.0,89335,4.0,295.0,5.0,308.0,5.0,,1.0,,16.0,3.0,49.0,2.0,,3.0,2.0,11.0,3.0,,50.0,665.0,8.0,7.0,6.0,1.0,76.0,1.0,,0.0,,1.0,3.0,2.0,2.0,0.0,3.0,2.0,71.7,17.0,9.0,3.0,3.0,5.0,65.0,3.0,734.0,9.0,,14.0,31.0,6.0,31.0,4.0,439.0,7.0,6.0,15.0,160.0,27.0,1.0,,6.0,32.0,18.0,3.0,17.0,,10.0,3.0,,3.0,,1.0,1.0,,1.0,,,4.0,1.0,1.0,1.0,2.0,,,,5.0,1.0,,2.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
