gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,attLfTotal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attOboxTarget,attSvHighRight,attSvHighLeft,freekickCross,attFreekickPost,freekickTotal,attObxdRight,attMissHighLeft,attSetpiece,attCmissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,blockedScoringAtt,goalsConcededObox,goalAssistSetplay,attGoalHighRight,overrun,goalsConceded,goalAssistIntentional,forwardGoals,ptsDroppedWinningPos,attMissHighRight,attLgCentre,attCmissHighLeft,goalsConcededIbox,attGoalLowRight,attLfGoal,penaltyWon,secondYellow,contentiousDecision,attPenGoal,attGoalLowCentre,shotFastbreak,attOneOnOne,ptsGainedLosingPos,totalFastbreak,attSvLowLeft,sixYardBlock,defenderGoals,attFastbreak,clearanceOffLine,attHdTarget,accurateFreekickCross,attSvLowRight,punches,attPostLeft,goalAssistDeadball,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,attFreekickMiss,ownGoals,foulThrowIn,attIboxOwnGoal,accuratePullBack,attLgRight,attObxLeft,attOboxGoal,errorLeadToGoal,goalFastbreak,attGoalHighLeft,attHdPost,attFreekickTarget
27,2210532,2022-02-26 15:00:00,"Gtech Community Stadium, Brentford",17039,Home,Brentford,Newcastle United,0,2,L,0,2,1,0,,24.0,53.0,,3.0,34.0,20.0,1.0,5.0,9.0,,155.0,14.0,5.0,5.0,,5.0,,1.0,43.0,149.0,41.0,6.0,20.0,1.0,1.0,,,,,1.0,16.0,,6.0,20.0,6.0,1.0,57.0,132.0,,0.0,117.0,9.0,5.0,,1.0,65.0,46.0,3.0,48.0,3.0,,10.0,10.0,1.0,,6.0,1.0,149.0,1.0,18.0,55.0,470.0,3.0,8.0,14.0,,9.0,181.0,23.0,3.0,8.0,,,3.0,5.0,2.0,18.0,273.0,60.0,,80607,3.0,72.0,1.0,3.0,90.0,6.0,,1.0,10.0,15.0,47.0,3.0,,2.0,,20.0,8.0,9.0,2.0,83.0,199.0,6.0,6.0,2.0,26.0,1.0,76.0,0.0,6.0,6.0,,2.0,1.0,2.0,2.0,1.0,37.3,16.0,1.0,3.0,1.0,2.0,31.0,6.0,1.0,301.0,9.0,5.0,25.0,3.0,,32.0,3.0,2.0,227.0,2.0,1.0,21.0,70.0,20.0,5.0,8.0,9.0,,4.0,3.0,13.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,3.0,,,,,,1.0,,,,,1.0,1.0,,,,1.0,2.0,,,,1.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,2210547,2022-03-05 15:00:00,"Carrow Road, Norwich",26887,Away,Brentford,Norwich City,3,1,W,1,0,0,0,3.0,25.0,65.0,2.0,2.0,22.0,35.0,4.0,6.0,6.0,3.0,142.0,12.0,4.0,7.0,3.0,5.0,,6.0,56.0,138.0,55.0,10.0,14.0,2.0,,,,,1.0,,12.0,,10.0,35.0,4.0,3.0,45.0,116.0,,0.0,110.0,18.0,3.0,,1.0,55.0,43.0,5.0,46.0,1.0,,8.0,9.0,4.0,,3.0,1.0,138.0,1.0,9.0,64.0,507.0,4.0,5.0,16.0,,9.0,199.0,19.0,2.0,25.0,1.0,,5.0,5.0,,16.0,286.0,48.0,,80607,4.0,103.0,,4.0,126.0,11.0,3.0,,9.0,5.0,46.0,1.0,3.0,5.0,,18.0,6.0,2.0,,51.0,215.0,12.0,3.0,,15.0,3.0,54.0,0.0,5.0,4.0,3.0,4.0,0.0,1.0,,,40.4,14.0,,10.0,,5.0,24.0,5.0,1.0,308.0,9.0,6.0,26.0,1.0,,22.0,3.0,,194.0,8.0,2.0,21.0,67.0,28.0,2.0,25.0,15.0,,4.0,3.0,14.0,2.0,6.0,5.0,2.0,,1.0,2.0,4.0,,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,3.0,,1.0,,1.0,1.0,1.0,3.0,,,,,1.0,1.0,,2.0,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210552,2022-03-12 15:00:00,"Gtech Community Stadium, Brentford",16984,Home,Brentford,Burnley,2,0,W,0,0,0,1,2.0,25.0,85.0,2.0,1.0,33.0,32.0,6.0,7.0,1.0,1.0,200.0,11.0,6.0,3.0,2.0,9.0,,4.0,103.0,198.0,52.0,13.0,23.0,1.0,1.0,,2.0,1.0,,,15.0,,11.0,32.0,1.0,,42.0,129.0,1.0,0.0,128.0,6.0,,,2.0,83.0,31.0,7.0,68.0,3.0,1.0,14.0,8.0,6.0,,4.0,1.0,198.0,1.0,3.0,104.0,669.0,8.0,9.0,26.0,,11.0,310.0,37.0,11.0,16.0,1.0,2.0,1.0,1.0,2.0,30.0,450.0,80.0,1.0,80607,5.0,202.0,,10.0,247.0,4.0,1.0,,8.0,5.0,45.0,1.0,4.0,6.0,1.0,14.0,4.0,3.0,2.0,86.0,325.0,10.0,1.0,,38.0,1.0,91.0,0.0,9.0,,2.0,,0.0,6.0,,2.0,54.9,24.0,1.0,4.0,,6.0,38.0,2.0,2.0,475.0,11.0,5.0,19.0,3.0,,24.0,,2.0,243.0,6.0,,24.0,62.0,32.0,4.0,16.0,16.0,1.0,11.0,3.0,13.0,4.0,3.0,2.0,,1.0,2.0,5.0,1.0,,4.0,1.0,,,,,,,,,2.0,,,,,6.0,,,,,,1.0,2.0,,,,,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
30,2210563,2022-03-20 14:00:00,"King Power Stadium, Leicester",31830,Away,Brentford,Leicester City,1,2,L,0,2,0,0,,23.0,63.0,,1.0,30.0,9.0,4.0,11.0,2.0,1.0,143.0,13.0,7.0,11.0,1.0,11.0,,6.0,121.0,134.0,46.0,15.0,15.0,4.0,1.0,,,1.0,3.0,,21.0,,3.0,9.0,5.0,5.0,50.0,170.0,,0.0,131.0,10.0,1.0,1.0,2.0,54.0,50.0,9.0,75.0,1.0,,16.0,22.0,4.0,,6.0,1.0,134.0,2.0,6.0,113.0,630.0,9.0,4.0,35.0,,11.0,351.0,18.0,3.0,7.0,1.0,,2.0,2.0,2.0,22.0,427.0,59.0,,61810,7.0,209.0,2.0,9.0,228.0,6.0,1.0,,22.0,8.0,48.0,,3.0,4.0,1.0,17.0,6.0,7.0,2.0,54.0,372.0,10.0,9.0,1.0,10.0,3.0,61.0,0.0,2.0,1.0,,1.0,0.0,5.0,1.0,6.0,47.2,18.0,2.0,9.0,1.0,4.0,35.0,5.0,2.0,452.0,11.0,9.0,26.0,3.0,,37.0,2.0,2.0,245.0,4.0,5.0,17.0,87.0,28.0,1.0,7.0,8.0,,10.0,3.0,16.0,1.0,12.0,5.0,,2.0,5.0,5.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,6.0,2.0,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
31,2210573,2022-04-02 15:00:00,"Stamford Bridge, London",39061,Away,Brentford,Chelsea,4,1,W,0,0,0,0,2.0,19.0,58.0,1.0,3.0,21.0,34.0,3.0,14.0,7.0,1.0,123.0,8.0,6.0,3.0,4.0,10.0,,6.0,56.0,108.0,51.0,17.0,13.0,2.0,2.0,,,3.0,1.0,,17.0,,10.0,34.0,6.0,7.0,23.0,101.0,,0.0,94.0,7.0,,3.0,1.0,46.0,27.0,8.0,44.0,,1.0,11.0,14.0,3.0,2.0,5.0,3.0,108.0,3.0,12.0,37.0,444.0,4.0,6.0,23.0,,8.0,171.0,24.0,8.0,22.0,3.0,,0.0,4.0,2.0,13.0,235.0,45.0,1.0,80607,7.0,92.0,2.0,5.0,110.0,5.0,1.0,,14.0,12.0,39.0,1.0,,5.0,3.0,14.0,9.0,7.0,4.0,54.0,187.0,10.0,10.0,3.0,27.0,5.0,48.0,0.0,12.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,29.4,12.0,1.0,2.0,1.0,5.0,23.0,7.0,1.0,260.0,8.0,7.0,12.0,5.0,,25.0,2.0,2.0,167.0,7.0,7.0,19.0,58.0,22.0,2.0,22.0,19.0,,8.0,3.0,5.0,2.0,3.0,7.0,,1.0,6.0,6.0,4.0,1.0,,,,,1.0,,1.0,,,3.0,1.0,,,,,6.0,1.0,,,,1.0,3.0,,,,,,,,3.0,,,,,,1.0,,3.0,2.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,
32,2210583,2022-04-10 14:00:00,"Gtech Community Stadium, Brentford",17032,Home,Brentford,West Ham United,2,0,W,0,0,0,0,1.0,28.0,47.0,,,31.0,16.0,3.0,12.0,1.0,3.0,172.0,16.0,3.0,1.0,2.0,13.0,,7.0,118.0,126.0,32.0,15.0,13.0,3.0,4.0,,,2.0,2.0,,22.0,,5.0,16.0,4.0,8.0,46.0,153.0,1.0,0.0,127.0,2.0,,,,59.0,33.0,11.0,82.0,,,18.0,12.0,3.0,,8.0,,126.0,2.0,3.0,105.0,626.0,11.0,9.0,34.0,,10.0,382.0,21.0,6.0,6.0,2.0,,0.0,1.0,2.0,20.0,460.0,49.0,1.0,80607,6.0,248.0,1.0,9.0,268.0,1.0,,1.0,12.0,9.0,33.0,2.0,1.0,5.0,2.0,13.0,2.0,8.0,2.0,55.0,398.0,5.0,8.0,,10.0,2.0,59.0,0.0,6.0,1.0,2.0,4.0,0.0,3.0,1.0,3.0,47.1,16.0,,5.0,1.0,5.0,33.0,4.0,,477.0,10.0,3.0,24.0,3.0,,37.0,,3.0,231.0,4.0,7.0,15.0,88.0,16.0,1.0,6.0,11.0,1.0,13.0,3.0,8.0,1.0,7.0,4.0,,1.0,4.0,8.0,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,5.0,,,,,,2.0,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
33,2210598,2022-04-16 15:00:00,"Vicarage Road, Watford",20747,Away,Brentford,Watford,2,1,W,1,0,0,0,2.0,29.0,74.0,,2.0,29.0,15.0,7.0,9.0,3.0,1.0,142.0,11.0,6.0,12.0,2.0,14.0,1.0,5.0,91.0,157.0,63.0,16.0,26.0,1.0,,,,,1.0,3.0,17.0,,12.0,15.0,5.0,9.0,40.0,134.0,,0.0,136.0,9.0,,1.0,1.0,50.0,55.0,9.0,62.0,1.0,2.0,12.0,17.0,7.0,,6.0,2.0,157.0,3.0,13.0,87.0,594.0,11.0,4.0,26.0,,6.0,264.0,27.0,5.0,9.0,2.0,,1.0,4.0,5.0,36.0,358.0,68.0,,80607,7.0,154.0,1.0,5.0,186.0,7.0,1.0,,17.0,9.0,52.0,,,6.0,,22.0,5.0,7.0,,60.0,282.0,11.0,5.0,1.0,12.0,4.0,58.0,0.0,6.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,49.2,26.0,,5.0,,6.0,32.0,5.0,1.0,382.0,6.0,4.0,15.0,7.0,,29.0,1.0,5.0,213.0,8.0,7.0,18.0,82.0,32.0,1.0,9.0,22.0,1.0,9.0,3.0,21.0,1.0,8.0,5.0,,1.0,1.0,6.0,3.0,,3.0,2.0,1.0,,1.0,,,,2.0,2.0,,2.0,,,1.0,4.0,,2.0,,1.0,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
34,2210602,2022-04-23 17:30:00,"Gtech Community Stadium, Brentford",17072,Home,Brentford,Tottenham Hotspur,0,0,D,0,0,0,0,,33.0,56.0,,,34.0,23.0,5.0,10.0,,1.0,143.0,14.0,10.0,2.0,,11.0,1.0,2.0,92.0,138.0,35.0,15.0,16.0,2.0,2.0,2.0,,,,,26.0,2.0,6.0,23.0,10.0,1.0,38.0,149.0,1.0,0.0,119.0,8.0,,,,61.0,43.0,7.0,62.0,1.0,2.0,16.0,18.0,5.0,,5.0,1.0,138.0,1.0,7.0,96.0,569.0,7.0,13.0,34.0,2.0,10.0,281.0,24.0,6.0,10.0,,,2.0,5.0,4.0,19.0,371.0,53.0,,80607,5.0,157.0,2.0,9.0,178.0,3.0,,,18.0,9.0,44.0,1.0,1.0,1.0,,8.0,2.0,5.0,1.0,63.0,296.0,6.0,9.0,4.0,18.0,7.0,60.0,0.0,8.0,,,2.0,0.0,6.0,,5.0,44.0,14.0,1.0,6.0,1.0,1.0,35.0,12.0,,393.0,10.0,5.0,21.0,6.0,1.0,36.0,4.0,3.0,241.0,6.0,1.0,15.0,63.0,20.0,2.0,10.0,12.0,,5.0,2.0,8.0,2.0,5.0,12.0,,,3.0,4.0,3.0,1.0,4.0,,,,2.0,,1.0,,,2.0,,,,1.0,,7.0,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,
35,2210614,2022-05-02 20:00:00,"Old Trafford, Manchester",73482,Away,Brentford,Manchester United,0,3,L,0,1,0,0,,18.0,51.0,,1.0,21.0,5.0,5.0,7.0,3.0,3.0,130.0,8.0,5.0,6.0,,8.0,1.0,4.0,82.0,119.0,29.0,12.0,15.0,2.0,3.0,,,,1.0,1.0,29.0,,5.0,5.0,6.0,10.0,37.0,134.0,,0.0,115.0,6.0,1.0,,1.0,57.0,44.0,4.0,75.0,1.0,1.0,23.0,10.0,5.0,,9.0,1.0,119.0,1.0,6.0,89.0,517.0,7.0,3.0,24.0,,6.0,293.0,20.0,3.0,2.0,,,0.0,1.0,4.0,17.0,356.0,37.0,1.0,80607,4.0,180.0,1.0,13.0,199.0,3.0,,,10.0,6.0,36.0,3.0,2.0,3.0,,11.0,3.0,4.0,2.0,41.0,309.0,4.0,4.0,1.0,9.0,3.0,38.0,0.0,3.0,1.0,,2.0,0.0,5.0,,4.0,35.9,14.0,2.0,7.0,,3.0,23.0,8.0,1.0,376.0,6.0,5.0,21.0,5.0,,46.0,,4.0,206.0,6.0,8.0,10.0,84.0,17.0,,2.0,9.0,,6.0,3.0,12.0,,6.0,8.0,,,1.0,2.0,3.0,1.0,2.0,2.0,,,1.0,,1.0,,,1.0,1.0,,,,2.0,3.0,,,,,3.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0
36,2210622,2022-05-07 15:00:00,"Gtech Community Stadium, Brentford",17051,Home,Brentford,Southampton,3,0,W,2,0,0,0,2.0,24.0,66.0,,3.0,28.0,26.0,4.0,14.0,4.0,2.0,152.0,11.0,5.0,10.0,3.0,14.0,,5.0,67.0,134.0,44.0,18.0,14.0,2.0,3.0,,,2.0,,,14.0,,7.0,26.0,4.0,2.0,40.0,134.0,1.0,0.0,111.0,12.0,3.0,,4.0,54.0,35.0,9.0,44.0,2.0,2.0,10.0,14.0,4.0,1.0,3.0,3.0,134.0,4.0,12.0,58.0,519.0,9.0,8.0,40.0,,15.0,216.0,20.0,4.0,12.0,3.0,,0.0,5.0,5.0,16.0,293.0,58.0,,80607,5.0,102.0,2.0,6.0,127.0,7.0,3.0,,14.0,10.0,48.0,,,7.0,2.0,11.0,7.0,4.0,5.0,66.0,231.0,9.0,5.0,2.0,20.0,3.0,61.0,0.0,7.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,40.4,9.0,1.0,4.0,2.0,7.0,28.0,4.0,4.0,321.0,15.0,6.0,20.0,8.0,,27.0,3.0,5.0,208.0,12.0,1.0,15.0,74.0,27.0,,12.0,10.0,,12.0,3.0,21.0,,7.0,4.0,,,5.0,5.0,2.0,1.0,,,,,1.0,,1.0,,,2.0,,,,,,5.0,,1.0,,,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,2.0,,,2.0,2.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,
37,2210632,2022-05-15 16:30:00,"Goodison Park, Liverpool",38819,Away,Brentford,Everton,3,2,W,1,2,0,2,1.0,19.0,51.0,,1.0,44.0,9.0,4.0,13.0,3.0,3.0,173.0,9.0,10.0,8.0,3.0,12.0,,7.0,160.0,123.0,44.0,18.0,14.0,4.0,1.0,,,1.0,1.0,2.0,23.0,,3.0,9.0,2.0,6.0,52.0,279.0,,0.0,191.0,8.0,3.0,,2.0,129.0,48.0,5.0,89.0,2.0,5.0,21.0,16.0,5.0,,3.0,4.0,123.0,2.0,7.0,164.0,752.0,9.0,2.0,31.0,,6.0,486.0,32.0,4.0,5.0,2.0,,3.0,,7.0,22.0,568.0,70.0,2.0,80607,7.0,231.0,2.0,15.0,259.0,6.0,,1.0,16.0,8.0,31.0,3.0,1.0,4.0,1.0,15.0,3.0,4.0,2.0,71.0,500.0,8.0,5.0,1.0,13.0,2.0,65.0,0.0,5.0,2.0,3.0,1.0,0.0,8.0,,4.0,72.5,21.0,2.0,,1.0,4.0,40.0,2.0,2.0,586.0,6.0,5.0,26.0,10.0,,37.0,2.0,6.0,350.0,11.0,5.0,14.0,147.0,13.0,2.0,5.0,14.0,2.0,14.0,3.0,8.0,2.0,3.0,2.0,,2.0,1.0,3.0,5.0,1.0,,1.0,,,3.0,,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,,3.0,1.0,2.0,,1.0,1.0,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
38,2210642,2022-05-22 16:00:00,"Gtech Community Stadium, Brentford",16957,Home,Brentford,Leeds United,1,2,L,0,0,1,0,,31.0,69.0,,3.0,19.0,24.0,2.0,12.0,4.0,2.0,165.0,17.0,4.0,7.0,1.0,12.0,,5.0,92.0,137.0,60.0,14.0,16.0,3.0,3.0,,,1.0,3.0,5.0,13.0,,8.0,24.0,3.0,4.0,34.0,119.0,,0.0,76.0,11.0,2.0,,,51.0,46.0,6.0,60.0,,1.0,10.0,11.0,2.0,,5.0,1.0,137.0,1.0,5.0,95.0,599.0,5.0,8.0,19.0,,15.0,302.0,23.0,5.0,11.0,1.0,,2.0,2.0,6.0,19.0,386.0,48.0,,80607,5.0,204.0,1.0,2.0,222.0,6.0,,1.0,11.0,9.0,43.0,,,8.0,1.0,16.0,9.0,3.0,1.0,51.0,319.0,13.0,8.0,6.0,17.0,3.0,79.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,,5.0,48.7,14.0,4.0,3.0,2.0,8.0,38.0,3.0,,412.0,15.0,7.0,13.0,7.0,,26.0,2.0,6.0,203.0,6.0,4.0,28.0,40.0,31.0,1.0,11.0,12.0,1.0,6.0,3.0,10.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,,,1.0,,,3.0,,,,,3.0,,1.0,,,1.0,2.0,1.0,,1.0,4.0,2.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,
