gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attGoalLowCentre,midfielderGoals,contentiousDecision,attRfGoal,punches,goalsConceded,goalsConcededIbox,errorLeadToGoal,attGoalLowLeft,attOneOnOne,freekickCross,attOboxMiss,bigChanceCreated,attMissHighLeft,bigChanceMissed,penaltyConceded,attMissHigh,attAssistSetplay,attCorner,attGoalHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,postScoringAtt,attIboxPost,goodHighClaim,attHdPost,hitWoodwork,sixYardBlock,attPostHigh,attHdTotal,attHdMiss,totalHighClaim,handBall,attSetpiece,attCmissHigh,attSvHighCentre,accuratePullBack,attMissHighRight,ptsGainedLosingPos,ownGoals,attCmissHighRight,attIboxOwnGoal,attOboxGoal,accurateFreekickCross,ptsDroppedWinningPos,goalsConcededObox,attGoalLowRight,attFreekickTotal,attGoalHighRight,freekickTotal,defenderGoals,goalFastbreak,attSvHighRight,attFreekickTarget,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attHdGoal,attSvHighLeft,attHdTarget,penaltyWon,attPenGoal,attFreekickMiss,clearanceOffLine,penaltySave,attLgCentre,attFreekickGoal
27,2210534,2022-05-19 20:00:00,"Stamford Bridge, London",31478,Away,Leicester City,Chelsea,1,1,D,1,1,0,0,,31.0,55.0,3.0,14.0,31.0,2.0,1.0,,6.0,,,126.0,18.0,1.0,5.0,1.0,2.0,1.0,,1.0,83.0,105.0,44.0,2.0,,11.0,,,,1.0,,,,4.0,8.0,,31.0,,4.0,35.0,99.0,,0.0,66.0,7.0,3.0,,,37.0,43.0,,70.0,3.0,,4.0,16.0,2.0,,2.0,105.0,10.0,91.0,539.0,1.0,1.0,,12.0,275.0,27.0,1.0,16.0,,1.0,1.0,8.0,1.0,11.0,347.0,45.0,,,95463,,195.0,,229.0,5.0,,16.0,9.0,44.0,2.0,1.0,8.0,1.0,12.0,10.0,8.0,48.0,293.0,13.0,16.0,9.0,49.0,,,0.0,,6.0,3.0,,,0.0,1.0,,,32.8,9.0,1.0,,8.0,,28.0,,370.0,12.0,7.0,7.0,1.0,10.0,,145.0,1.0,3.0,8.0,36.0,17.0,,1.0,16.0,18.0,2.0,2.0,8.0,1.0,7.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
28,2210543,2022-03-05 12:30:00,"King Power Stadium, Leicester",32236,Home,Leicester City,Leeds United,1,0,W,0,0,0,0,,35.0,75.0,,19.0,24.0,4.0,,3.0,4.0,,2.0,168.0,19.0,1.0,15.0,1.0,3.0,6.0,,4.0,122.0,160.0,69.0,7.0,2.0,11.0,1.0,,,2.0,1.0,2.0,,15.0,12.0,2.0,24.0,5.0,4.0,33.0,137.0,1.0,0.0,128.0,9.0,3.0,,,84.0,47.0,6.0,67.0,1.0,,10.0,32.0,4.0,,2.0,160.0,16.0,114.0,703.0,4.0,6.0,18.0,10.0,357.0,38.0,2.0,13.0,1.0,2.0,1.0,6.0,,22.0,449.0,49.0,,2.0,95463,2.0,238.0,6.0,271.0,6.0,1.0,32.0,8.0,53.0,1.0,2.0,6.0,1.0,19.0,3.0,7.0,46.0,374.0,12.0,12.0,11.0,54.0,,,0.0,4.0,10.0,4.0,1.0,2.0,0.0,,1.0,,51.0,19.0,2.0,1.0,6.0,3.0,25.0,5.0,471.0,10.0,7.0,7.0,,21.0,,215.0,6.0,3.0,19.0,83.0,26.0,1.0,2.0,13.0,23.0,5.0,3.0,29.0,2.0,14.0,5.0,,1.0,,,,1.0,,,,,,,2.0,,,,,,,1.0,2.0,,,,,1.0,,,4.0,,,,,1.0,,4.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
29,2210551,2022-03-13 16:30:00,"Emirates Stadium, London",60111,Away,Leicester City,Arsenal,0,2,L,0,1,0,0,1.0,20.0,49.0,1.0,32.0,10.0,2.0,3.0,4.0,5.0,,1.0,160.0,10.0,3.0,,,,5.0,,3.0,145.0,119.0,32.0,6.0,1.0,6.0,2.0,1.0,,,,1.0,,14.0,10.0,1.0,10.0,4.0,10.0,42.0,211.0,,0.0,117.0,10.0,4.0,1.0,,88.0,61.0,4.0,93.0,,,10.0,13.0,2.0,,4.0,119.0,16.0,166.0,723.0,4.0,3.0,17.0,10.0,474.0,15.0,4.0,6.0,,,3.0,9.0,1.0,23.0,538.0,47.0,1.0,,93100,1.0,286.0,6.0,311.0,5.0,,13.0,8.0,36.0,2.0,,4.0,,17.0,5.0,5.0,53.0,494.0,7.0,6.0,11.0,62.0,1.0,,0.0,1.0,2.0,5.0,,,0.0,2.0,,,54.0,18.0,6.0,2.0,4.0,2.0,41.0,6.0,564.0,10.0,11.0,25.0,1.0,25.0,1.0,267.0,2.0,9.0,8.0,90.0,21.0,,3.0,6.0,17.0,4.0,3.0,4.0,3.0,5.0,6.0,,1.0,,,,,,2.0,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
30,2210563,2022-03-20 14:00:00,"King Power Stadium, Leicester",31830,Home,Leicester City,Brentford,2,1,W,2,0,0,0,,23.0,67.0,1.0,24.0,24.0,6.0,4.0,6.0,5.0,,2.0,170.0,10.0,3.0,9.0,2.0,2.0,9.0,2.0,4.0,136.0,116.0,48.0,12.0,1.0,17.0,1.0,,3.0,,1.0,,1.0,13.0,8.0,1.0,24.0,2.0,6.0,39.0,205.0,,0.0,119.0,10.0,4.0,,,54.0,58.0,4.0,83.0,,4.0,11.0,22.0,6.0,,3.0,116.0,11.0,125.0,694.0,6.0,3.0,17.0,10.0,427.0,28.0,1.0,14.0,1.0,,1.0,6.0,5.0,12.0,494.0,46.0,,,93100,2.0,239.0,6.0,273.0,8.0,1.0,22.0,7.0,46.0,,2.0,6.0,1.0,17.0,4.0,5.0,48.0,441.0,10.0,11.0,12.0,56.0,,2.0,0.0,1.0,5.0,4.0,,1.0,0.0,3.0,,2.0,52.8,8.0,7.0,,7.0,2.0,36.0,2.0,514.0,10.0,4.0,22.0,6.0,18.0,4.0,254.0,7.0,6.0,15.0,98.0,24.0,,1.0,14.0,14.0,9.0,3.0,13.0,1.0,9.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,1.0,2.0,2.0,3.0,,3.0,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0
31,2210577,2022-04-02 17:30:00,"Old Trafford, Manchester",73444,Away,Leicester City,Manchester United,1,1,D,0,0,0,0,,23.0,59.0,,19.0,23.0,3.0,2.0,8.0,4.0,,1.0,152.0,14.0,4.0,12.0,1.0,4.0,10.0,,3.0,123.0,108.0,48.0,11.0,,12.0,1.0,,,,1.0,1.0,4.0,13.0,9.0,1.0,23.0,5.0,2.0,30.0,206.0,,0.0,122.0,6.0,1.0,,1.0,91.0,60.0,5.0,82.0,2.0,,8.0,17.0,3.0,,2.0,108.0,10.0,138.0,667.0,7.0,2.0,16.0,18.0,397.0,20.0,3.0,7.0,1.0,,2.0,1.0,5.0,15.0,471.0,44.0,,1.0,86881,5.0,215.0,2.0,238.0,5.0,,17.0,7.0,41.0,1.0,1.0,7.0,1.0,8.0,1.0,6.0,40.0,417.0,13.0,13.0,6.0,60.0,,,0.0,1.0,6.0,4.0,1.0,1.0,0.0,4.0,1.0,,46.1,14.0,8.0,1.0,7.0,2.0,38.0,5.0,495.0,18.0,9.0,14.0,6.0,20.0,4.0,270.0,6.0,2.0,8.0,93.0,22.0,1.0,,7.0,15.0,9.0,3.0,13.0,,9.0,5.0,1.0,2.0,,,1.0,,,1.0,1.0,,1.0,,4.0,2.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,1.0,,3.0,1.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,
32,2210585,2022-04-10 14:00:00,"King Power Stadium, Leicester",31896,Home,Leicester City,Crystal Palace,2,1,W,2,0,0,0,,26.0,61.0,,20.0,10.0,6.0,2.0,6.0,2.0,1.0,1.0,166.0,13.0,3.0,5.0,2.0,3.0,8.0,,3.0,123.0,132.0,48.0,12.0,4.0,12.0,1.0,,1.0,,2.0,,2.0,11.0,9.0,,10.0,3.0,6.0,35.0,166.0,,0.0,114.0,11.0,2.0,,,68.0,64.0,7.0,90.0,,,8.0,20.0,6.0,,3.0,132.0,11.0,132.0,690.0,5.0,1.0,15.0,11.0,413.0,20.0,2.0,2.0,2.0,,1.0,5.0,1.0,22.0,492.0,57.0,2.0,,93100,4.0,266.0,5.0,281.0,10.0,,20.0,4.0,52.0,2.0,,1.0,2.0,16.0,,4.0,40.0,429.0,12.0,12.0,11.0,48.0,,,0.0,,4.0,2.0,2.0,,0.0,2.0,1.0,,50.8,15.0,5.0,1.0,2.0,6.0,31.0,3.0,511.0,11.0,15.0,21.0,3.0,18.0,1.0,241.0,8.0,4.0,11.0,70.0,30.0,,1.0,2.0,20.0,8.0,3.0,7.0,1.0,13.0,3.0,,2.0,,2.0,,1.0,,1.0,1.0,,1.0,,,2.0,,,,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,2.0,,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,,
33,2210595,2022-04-17 14:15:00,"St. James' Park, Newcastle",52104,Away,Leicester City,Newcastle United,1,2,L,1,1,0,0,1.0,29.0,49.0,2.0,31.0,12.0,3.0,3.0,5.0,5.0,,,175.0,15.0,3.0,6.0,1.0,1.0,8.0,,2.0,165.0,161.0,51.0,8.0,,20.0,,,1.0,2.0,,1.0,1.0,14.0,17.0,1.0,12.0,4.0,4.0,46.0,206.0,,0.0,131.0,10.0,1.0,,,90.0,62.0,6.0,74.0,,,10.0,17.0,3.0,,2.0,161.0,10.0,170.0,782.0,6.0,1.0,21.0,7.0,467.0,19.0,3.0,6.0,1.0,2.0,2.0,,2.0,27.0,557.0,60.0,,,86881,2.0,287.0,8.0,325.0,1.0,,17.0,11.0,67.0,,,3.0,,22.0,6.0,8.0,60.0,490.0,10.0,12.0,14.0,74.0,,,0.0,,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,68.7,21.0,5.0,1.0,5.0,4.0,43.0,5.0,584.0,7.0,13.0,28.0,2.0,25.0,,273.0,4.0,4.0,13.0,92.0,18.0,,,6.0,22.0,5.0,3.0,19.0,,7.0,5.0,,4.0,1.0,1.0,,1.0,,2.0,2.0,,,,,2.0,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,
34,2210607,2022-04-23 15:00:00,"King Power Stadium, Leicester",32185,Home,Leicester City,Aston Villa,0,0,D,0,0,0,0,1.0,19.0,48.0,2.0,14.0,10.0,4.0,1.0,1.0,3.0,,1.0,167.0,7.0,1.0,5.0,,6.0,2.0,,2.0,145.0,137.0,44.0,5.0,,10.0,1.0,,,,,,2.0,26.0,7.0,1.0,10.0,6.0,3.0,36.0,183.0,1.0,0.0,110.0,15.0,,,1.0,82.0,67.0,1.0,69.0,1.0,,20.0,19.0,4.0,,7.0,137.0,7.0,139.0,706.0,2.0,4.0,12.0,6.0,427.0,16.0,1.0,5.0,,,3.0,4.0,1.0,28.0,501.0,47.0,,,95463,1.0,262.0,10.0,281.0,10.0,1.0,19.0,5.0,49.0,1.0,,5.0,,19.0,4.0,5.0,33.0,444.0,16.0,10.0,9.0,72.0,,1.0,0.0,,6.0,1.0,,2.0,0.0,1.0,,,64.1,26.0,3.0,,5.0,,52.0,7.0,520.0,6.0,10.0,16.0,3.0,29.0,,265.0,4.0,3.0,10.0,77.0,24.0,,3.0,5.0,13.0,3.0,3.0,10.0,3.0,11.0,7.0,,,,,,,,,,,,,3.0,3.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,1.0,,,,
35,2210617,2022-05-01 14:00:00,"Tottenham Hotspur Stadium, London",59482,Away,Leicester City,Tottenham Hotspur,1,3,L,0,1,0,0,,27.0,61.0,,17.0,10.0,3.0,2.0,3.0,4.0,1.0,1.0,159.0,9.0,4.0,8.0,1.0,2.0,5.0,1.0,2.0,191.0,144.0,44.0,6.0,1.0,18.0,1.0,,,1.0,1.0,,2.0,21.0,9.0,,10.0,3.0,5.0,30.0,271.0,,0.0,113.0,8.0,1.0,,,77.0,107.0,2.0,90.0,,1.0,18.0,32.0,3.0,,7.0,144.0,10.0,187.0,816.0,4.0,2.0,13.0,6.0,524.0,22.0,,5.0,1.0,1.0,3.0,2.0,3.0,20.0,603.0,54.0,,1.0,95463,2.0,275.0,8.0,300.0,6.0,,32.0,7.0,57.0,3.0,,7.0,1.0,18.0,3.0,5.0,39.0,542.0,13.0,11.0,4.0,78.0,,1.0,0.0,,7.0,4.0,,2.0,0.0,4.0,,,60.7,16.0,6.0,1.0,7.0,1.0,56.0,3.0,627.0,6.0,12.0,11.0,3.0,25.0,2.0,348.0,3.0,4.0,7.0,77.0,25.0,1.0,2.0,5.0,16.0,6.0,3.0,16.0,2.0,16.0,3.0,,,,,,,,3.0,2.0,,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
36,2210627,2022-05-08 14:00:00,"King Power Stadium, Leicester",32001,Home,Leicester City,Everton,1,2,L,1,2,0,0,3.0,23.0,53.0,,16.0,7.0,7.0,5.0,9.0,2.0,1.0,4.0,168.0,8.0,4.0,6.0,1.0,,14.0,,9.0,192.0,140.0,47.0,16.0,1.0,12.0,4.0,1.0,,,,5.0,3.0,24.0,9.0,4.0,7.0,6.0,2.0,39.0,324.0,,0.0,185.0,11.0,1.0,1.0,,87.0,97.0,9.0,83.0,,1.0,18.0,21.0,7.0,,5.0,140.0,8.0,188.0,804.0,14.0,3.0,19.0,5.0,532.0,25.0,,5.0,,,3.0,3.0,5.0,29.0,618.0,68.0,1.0,,95463,8.0,225.0,13.0,251.0,9.0,,21.0,3.0,47.0,3.0,2.0,6.0,1.0,14.0,2.0,3.0,33.0,545.0,6.0,11.0,5.0,53.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,,0.0,3.0,,,66.0,26.0,4.0,,6.0,1.0,41.0,6.0,631.0,5.0,11.0,16.0,6.0,37.0,4.0,404.0,8.0,2.0,19.0,142.0,17.0,1.0,,5.0,16.0,13.0,3.0,8.0,,7.0,6.0,1.0,,,,,,,2.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,,2.0,,3.0,,1.0,,,1.0,,,,,,,,3.0,2.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,
37,2210638,2022-05-15 14:00:00,"Vicarage Road, Watford",20257,Away,Leicester City,Watford,5,1,W,2,1,0,0,1.0,27.0,64.0,1.0,28.0,19.0,3.0,6.0,10.0,4.0,2.0,1.0,157.0,9.0,4.0,5.0,5.0,,13.0,,7.0,153.0,127.0,54.0,13.0,,13.0,2.0,,1.0,,5.0,1.0,3.0,21.0,14.0,,19.0,3.0,2.0,45.0,194.0,,0.0,120.0,6.0,2.0,,,84.0,44.0,7.0,76.0,,1.0,18.0,18.0,3.0,,7.0,127.0,11.0,140.0,716.0,7.0,4.0,16.0,7.0,435.0,27.0,6.0,10.0,5.0,,1.0,,6.0,23.0,511.0,58.0,3.0,1.0,95463,6.0,259.0,10.0,287.0,5.0,,18.0,7.0,50.0,3.0,2.0,8.0,5.0,12.0,2.0,7.0,54.0,449.0,4.0,12.0,20.0,60.0,,1.0,0.0,,7.0,3.0,5.0,2.0,0.0,4.0,5.0,1.0,59.5,23.0,3.0,3.0,8.0,,38.0,3.0,526.0,7.0,11.0,24.0,6.0,30.0,3.0,260.0,4.0,2.0,19.0,83.0,25.0,2.0,1.0,10.0,26.0,12.0,3.0,13.0,1.0,12.0,3.0,4.0,,1.0,3.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,3.0,5.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,1.0,,,,,3.0,2.0,1.0,,,,,,1.0,3.0,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,
38,2210647,2022-05-22 16:00:00,"King Power Stadium, Leicester",32003,Home,Leicester City,Southampton,4,1,W,0,0,0,0,1.0,29.0,59.0,,24.0,14.0,2.0,3.0,10.0,1.0,1.0,1.0,164.0,15.0,4.0,7.0,4.0,,9.0,,6.0,114.0,139.0,40.0,12.0,,10.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,5.0,1.0,14.0,3.0,5.0,32.0,154.0,,0.0,103.0,10.0,1.0,2.0,,64.0,44.0,5.0,62.0,1.0,,6.0,28.0,2.0,,2.0,139.0,5.0,108.0,614.0,6.0,6.0,24.0,7.0,338.0,32.0,3.0,9.0,3.0,1.0,0.0,,4.0,19.0,430.0,49.0,,,95463,6.0,203.0,4.0,246.0,6.0,1.0,28.0,7.0,44.0,,1.0,2.0,4.0,17.0,2.0,7.0,49.0,353.0,5.0,8.0,8.0,60.0,1.0,,0.0,1.0,3.0,1.0,4.0,2.0,0.0,4.0,3.0,1.0,50.9,16.0,6.0,1.0,2.0,2.0,41.0,3.0,448.0,7.0,9.0,10.0,4.0,17.0,3.0,211.0,7.0,5.0,8.0,65.0,18.0,1.0,2.0,9.0,20.0,9.0,4.0,15.0,2.0,19.0,3.0,4.0,2.0,,1.0,,3.0,,1.0,1.0,,3.0,2.0,,1.0,5.0,,3.0,1.0,2.0,,3.0,,,1.0,1.0,,,,,,,,,2.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
