gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,fouledFinalThird,attFreekickTotal,postScoringAtt,attIboxPost,ptsGainedLosingPos,freekickCross,interceptionsInBox,freekickTotal,crosses18yardplus,attHdTarget,hitWoodwork,accurateLaunches,accurateFreekickCross,errorLeadToShot,sixYardBlock,attSetpiece,attOboxOwnGoal,attCmissHigh,ownGoals,attMissHigh,punches,savedIbox,attPostHigh,accurateCrossNocorner,attGoalLowLeft,accurateKeeperSweeper,cleanSheet,totalKeeperSweeper,attSvHighCentre,clearanceOffLine,attObxLeft,attGoalHighRight,attMissHighRight,attOboxGoal,attGoalHighLeft,attObxRight,attLgLeft,goalsConcededIbox,penaltySave,attOneOnOne,goodHighClaim,contentiousDecision,penaltyConceded,penaltyFaced,totalHighClaim,penaltyWon,attMissHighLeft,attPenMiss,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,attSvHighLeft,attIboxOwnGoal,secondYellow,attHdGoal,penGoalsConceded,accuratePullBack,attPenGoal,attFreekickPost,attObxdRight,attOboxPost,attFreekickMiss,attObxdLeft,attFreekickTarget,attHdPost,goalAssistSetplay,goalAssistDeadball,attSvHighRight,defenderGoals,attPostLeft,attFreekickGoal,attPenPost,foulThrowIn,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
26,2210525,2022-02-20 14:00:00,"Elland Road, Leeds",36715,Away,Manchester United,Leeds United,4,2,W,2,0,0,0,1.0,1.0,2.0,2.0,35.0,69.0,,1.0,3.0,19.0,12.0,4.0,6.0,11.0,4.0,1.0,3.0,139.0,2.0,16.0,3.0,15.0,4.0,12.0,,9.0,88.0,149.0,54.0,15.0,1.0,4.0,3.0,,2.0,3.0,4.0,,1.0,13.0,10.0,2.0,12.0,3.0,3.0,24.0,143.0,0.0,106.0,19.0,3.0,,1.0,,57.0,45.0,12.0,42.0,,10.0,16.0,4.0,1.0,1.0,149.0,4.0,10.0,71.0,540.0,8.0,3.0,25.0,10.0,234.0,30.0,7.0,4.0,3.0,4.0,,20.0,315.0,39.0,,95658,6.0,107.0,2.0,4.0,131.0,12.0,1.0,,16.0,7.0,54.0,1.0,2.0,5.0,3.0,19.0,6.0,3.0,50.0,247.0,13.0,8.0,,15.0,1.0,58.0,,,,0.0,1.0,3.0,4.0,2.0,,0.0,4.0,,2.0,45.5,20.0,,3.0,2.0,5.0,4.0,34.0,3.0,340.0,10.0,14.0,11.0,2.0,25.0,1.0,1.0,222.0,7.0,2.0,7.0,72.0,31.0,,1.0,7.0,19.0,14.0,3.0,25.0,1.0,8.0,3.0,3.0,,,,,2.0,1.0,,4.0,,,1.0,,,,,,,,1.0,,3.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
27,2210538,2022-02-26 15:00:00,"Old Trafford, Manchester",73152,Home,Manchester United,Watford,0,0,D,0,0,0,0,,,,,21.0,74.0,,1.0,3.0,36.0,4.0,7.0,3.0,14.0,2.0,,2.0,213.0,,9.0,14.0,10.0,,20.0,1.0,3.0,186.0,166.0,58.0,22.0,4.0,10.0,2.0,1.0,2.0,,2.0,,4.0,31.0,12.0,1.0,4.0,3.0,5.0,44.0,378.0,0.0,240.0,2.0,,1.0,,1.0,114.0,127.0,9.0,84.0,3.0,28.0,25.0,8.0,,3.0,166.0,4.0,4.0,193.0,882.0,20.0,2.0,51.0,6.0,561.0,32.0,1.0,,0.0,3.0,11.0,29.0,663.0,77.0,1.0,95658,12.0,210.0,4.0,14.0,240.0,,,1.0,25.0,5.0,47.0,7.0,2.0,2.0,,19.0,6.0,5.0,61.0,574.0,7.0,13.0,,10.0,2.0,67.0,1.0,,2.0,0.0,,3.0,,,2.0,0.0,,,5.0,67.3,25.0,4.0,10.0,,2.0,7.0,43.0,4.0,676.0,6.0,13.0,24.0,12.0,46.0,1.0,8.0,467.0,13.0,5.0,21.0,190.0,30.0,,1.0,1.0,20.0,18.0,3.0,19.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,12.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,,1.0,,13.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
28,2210545,2022-03-06 16:30:00,"Etihad Stadium, Manchester",53165,Away,Manchester United,Manchester City,1,4,L,1,2,0,0,,,1.0,,16.0,40.0,1.0,1.0,1.0,20.0,20.0,1.0,2.0,4.0,6.0,,,110.0,,9.0,,9.0,1.0,2.0,,2.0,88.0,93.0,42.0,5.0,1.0,4.0,1.0,,,1.0,1.0,,,9.0,7.0,,20.0,2.0,4.0,35.0,102.0,0.0,77.0,14.0,5.0,,1.0,,32.0,34.0,1.0,48.0,,7.0,15.0,1.0,,,93.0,,20.0,85.0,488.0,1.0,1.0,18.0,11.0,251.0,25.0,11.0,1.0,1.0,8.0,1.0,9.0,304.0,35.0,,95658,3.0,174.0,1.0,2.0,200.0,10.0,1.0,,15.0,11.0,47.0,,1.0,2.0,1.0,12.0,4.0,10.0,33.0,276.0,9.0,16.0,,5.0,1.0,28.0,,,,0.0,1.0,9.0,1.0,4.0,,0.0,,,,30.6,7.0,,1.0,,2.0,2.0,19.0,3.0,331.0,11.0,4.0,23.0,1.0,14.0,,1.0,140.0,3.0,4.0,8.0,58.0,12.0,,1.0,11.0,16.0,4.0,2.0,18.0,1.0,7.0,3.0,,,,,,,3.0,,5.0,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210558,2022-03-12 17:30:00,"Old Trafford, Manchester",73458,Home,Manchester United,Tottenham Hotspur,3,2,W,2,1,0,0,,1.0,,1.0,18.0,60.0,,1.0,1.0,30.0,14.0,2.0,1.0,8.0,1.0,,3.0,129.0,1.0,7.0,2.0,12.0,3.0,9.0,1.0,6.0,115.0,103.0,41.0,10.0,,10.0,3.0,1.0,1.0,2.0,1.0,,1.0,10.0,9.0,,14.0,4.0,3.0,44.0,209.0,0.0,111.0,8.0,,1.0,,,60.0,68.0,7.0,86.0,2.0,6.0,17.0,2.0,,1.0,103.0,1.0,8.0,129.0,619.0,6.0,3.0,15.0,14.0,377.0,28.0,9.0,3.0,2.0,6.0,2.0,9.0,437.0,47.0,,95658,5.0,184.0,,2.0,209.0,3.0,2.0,,17.0,10.0,47.0,,,3.0,2.0,11.0,3.0,4.0,57.0,391.0,6.0,14.0,,14.0,1.0,55.0,1.0,2.0,,0.0,,5.0,2.0,2.0,1.0,0.0,2.0,,3.0,43.5,9.0,2.0,3.0,2.0,3.0,1.0,35.0,4.0,459.0,14.0,11.0,17.0,3.0,16.0,1.0,2.0,260.0,6.0,3.0,10.0,89.0,25.0,3.0,4.0,9.0,13.0,8.0,3.0,17.0,4.0,7.0,4.0,1.0,,,,,1.0,2.0,,3.0,,,4.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,2.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
30,2210564,2022-04-19 20:00:00,"Anfield, Liverpool",52686,Away,Manchester United,Liverpool,0,4,L,0,2,0,0,,,,,21.0,69.0,,1.0,,14.0,16.0,1.0,1.0,1.0,1.0,,1.0,150.0,,11.0,2.0,7.0,,2.0,,1.0,75.0,134.0,41.0,2.0,1.0,11.0,1.0,1.0,,,,,,6.0,14.0,,16.0,2.0,2.0,42.0,85.0,0.0,70.0,6.0,,1.0,,1.0,52.0,28.0,2.0,59.0,,4.0,20.0,1.0,,,134.0,,11.0,70.0,503.0,2.0,,9.0,16.0,251.0,39.0,8.0,,2.0,3.0,,12.0,338.0,42.0,1.0,95658,,177.0,,3.0,211.0,5.0,,,20.0,5.0,39.0,3.0,2.0,5.0,,18.0,3.0,1.0,44.0,260.0,3.0,7.0,,9.0,,61.0,1.0,,,0.0,,10.0,,4.0,,0.0,,,,28.4,11.0,,3.0,1.0,5.0,1.0,29.0,2.0,354.0,16.0,11.0,23.0,,11.0,1.0,,149.0,1.0,2.0,9.0,33.0,21.0,,,8.0,22.0,2.0,3.0,11.0,,8.0,2.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2210577,2022-04-02 17:30:00,"Old Trafford, Manchester",73444,Home,Manchester United,Leicester City,1,1,D,0,0,0,0,,,,1.0,23.0,58.0,,1.0,1.0,32.0,12.0,1.0,3.0,10.0,2.0,1.0,2.0,174.0,,9.0,7.0,13.0,1.0,10.0,,5.0,162.0,126.0,41.0,11.0,,8.0,4.0,,1.0,,1.0,,3.0,19.0,6.0,,12.0,5.0,6.0,42.0,255.0,0.0,178.0,13.0,1.0,,1.0,2.0,80.0,63.0,5.0,79.0,1.0,14.0,16.0,1.0,1.0,1.0,126.0,,8.0,167.0,742.0,8.0,3.0,29.0,9.0,483.0,23.0,7.0,,2.0,2.0,5.0,21.0,562.0,63.0,,95658,9.0,252.0,,7.0,275.0,10.0,,1.0,16.0,10.0,48.0,3.0,4.0,1.0,1.0,11.0,3.0,9.0,52.0,500.0,6.0,12.0,2.0,6.0,2.0,58.0,,,,0.0,1.0,5.0,1.0,1.0,1.0,0.0,,,5.0,53.9,20.0,3.0,3.0,,1.0,1.0,40.0,6.0,582.0,9.0,6.0,26.0,5.0,29.0,2.0,4.0,326.0,3.0,4.0,12.0,139.0,29.0,,1.0,7.0,10.0,9.0,3.0,22.0,1.0,7.0,6.0,1.0,,,,1.0,1.0,1.0,,6.0,2.0,,1.0,,1.0,,,,,,,,1.0,,5.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2210584,2022-04-09 12:30:00,"Goodison Park, Liverpool",39080,Away,Manchester United,Everton,0,1,L,0,1,0,0,1.0,2.0,,,30.0,77.0,,2.0,3.0,24.0,14.0,5.0,2.0,7.0,2.0,,3.0,209.0,,16.0,5.0,10.0,,10.0,,4.0,153.0,185.0,57.0,12.0,4.0,16.0,3.0,,,,2.0,,,24.0,10.0,1.0,14.0,4.0,12.0,43.0,304.0,0.0,226.0,10.0,1.0,,,2.0,157.0,55.0,8.0,95.0,1.0,20.0,27.0,5.0,,,185.0,1.0,4.0,184.0,858.0,8.0,3.0,43.0,12.0,506.0,34.0,9.0,,2.0,2.0,1.0,27.0,624.0,66.0,,95658,5.0,224.0,1.0,11.0,271.0,7.0,,,27.0,7.0,52.0,,2.0,7.0,,24.0,3.0,7.0,51.0,523.0,4.0,10.0,1.0,18.0,3.0,55.0,,,,0.0,2.0,5.0,,1.0,2.0,0.0,,,2.0,67.5,25.0,,6.0,1.0,7.0,7.0,33.0,7.0,641.0,12.0,8.0,24.0,1.0,41.0,2.0,1.0,394.0,8.0,11.0,28.0,173.0,30.0,,1.0,9.0,15.0,8.0,3.0,20.0,1.0,9.0,7.0,1.0,,,,,,2.0,,9.0,1.0,,3.0,,,2.0,1.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2210594,2022-04-16 15:00:00,"Old Trafford, Manchester",73381,Home,Manchester United,Norwich City,3,2,W,2,1,0,0,,,,1.0,25.0,63.0,,1.0,3.0,24.0,11.0,8.0,1.0,12.0,2.0,,5.0,178.0,2.0,10.0,3.0,18.0,3.0,17.0,,9.0,163.0,113.0,47.0,20.0,3.0,8.0,3.0,,2.0,1.0,1.0,,,13.0,11.0,3.0,11.0,4.0,21.0,40.0,372.0,0.0,232.0,8.0,1.0,,,2.0,107.0,117.0,12.0,103.0,2.0,9.0,8.0,8.0,,1.0,113.0,1.0,8.0,179.0,809.0,14.0,1.0,51.0,10.0,541.0,27.0,7.0,2.0,0.0,4.0,5.0,18.0,606.0,65.0,1.0,95658,7.0,187.0,,4.0,202.0,5.0,2.0,2.0,8.0,7.0,46.0,5.0,3.0,7.0,1.0,9.0,7.0,5.0,41.0,556.0,6.0,10.0,1.0,9.0,4.0,50.0,,1.0,,0.0,1.0,7.0,2.0,2.0,,0.0,2.0,1.0,2.0,60.8,15.0,,7.0,2.0,7.0,6.0,35.0,6.0,623.0,10.0,6.0,26.0,5.0,31.0,2.0,4.0,434.0,17.0,20.0,7.0,191.0,22.0,3.0,,7.0,16.0,15.0,3.0,32.0,,5.0,6.0,1.0,1.0,,,,,3.0,1.0,5.0,1.0,,2.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,2.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,
34,2210601,2022-04-23 12:30:00,"Emirates Stadium, London",60223,Away,Manchester United,Arsenal,1,3,L,1,2,0,0,1.0,,1.0,1.0,22.0,43.0,,2.0,1.0,12.0,17.0,4.0,3.0,9.0,4.0,1.0,3.0,140.0,,9.0,4.0,5.0,1.0,11.0,,5.0,112.0,119.0,41.0,14.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,,2.0,16.0,10.0,2.0,17.0,6.0,3.0,27.0,140.0,0.0,97.0,12.0,3.0,1.0,,1.0,49.0,47.0,6.0,55.0,,10.0,12.0,5.0,,,119.0,3.0,9.0,105.0,567.0,8.0,3.0,15.0,9.0,316.0,20.0,11.0,1.0,4.0,2.0,5.0,19.0,390.0,35.0,,95658,4.0,201.0,3.0,5.0,229.0,8.0,,,12.0,7.0,31.0,,2.0,2.0,1.0,14.0,5.0,6.0,32.0,337.0,8.0,4.0,2.0,8.0,3.0,45.0,1.0,1.0,,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,45.1,15.0,2.0,3.0,,2.0,3.0,25.0,7.0,412.0,9.0,6.0,10.0,6.0,28.0,2.0,4.0,199.0,9.0,2.0,15.0,67.0,18.0,1.0,,11.0,13.0,10.0,3.0,9.0,,7.0,7.0,1.0,,2.0,1.0,,,1.0,,5.0,,3.0,1.0,,,,,,,,1.0,,2.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,
35,2210614,2022-05-02 20:00:00,"Old Trafford, Manchester",73482,Home,Manchester United,Brentford,3,0,W,1,0,0,0,,,,2.0,18.0,51.0,,2.0,,23.0,35.0,3.0,,6.0,4.0,,2.0,145.0,2.0,10.0,1.0,4.0,3.0,6.0,1.0,5.0,227.0,95.0,36.0,9.0,1.0,10.0,1.0,,1.0,1.0,,,1.0,7.0,8.0,1.0,35.0,3.0,4.0,45.0,316.0,0.0,165.0,4.0,1.0,,1.0,2.0,120.0,71.0,4.0,126.0,1.0,4.0,10.0,3.0,,1.0,95.0,1.0,7.0,216.0,872.0,4.0,5.0,14.0,11.0,642.0,26.0,19.0,2.0,1.0,3.0,2.0,10.0,700.0,40.0,2.0,90152,5.0,336.0,,1.0,355.0,1.0,3.0,1.0,10.0,8.0,29.0,2.0,3.0,6.0,1.0,11.0,5.0,4.0,44.0,651.0,6.0,6.0,,6.0,1.0,68.0,,,1.0,0.0,,8.0,3.0,,2.0,0.0,2.0,,,64.1,8.0,,4.0,,6.0,1.0,48.0,3.0,714.0,11.0,5.0,27.0,3.0,15.0,1.0,2.0,366.0,9.0,3.0,15.0,143.0,15.0,1.0,,19.0,11.0,6.0,3.0,8.0,,4.0,3.0,3.0,1.0,,,,1.0,4.0,1.0,2.0,,,,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,
36,2210623,2022-05-07 17:30:00,"American Express Stadium, Falmer",31637,Away,Manchester United,Brighton and Hove Albion,0,4,L,0,1,0,0,1.0,,1.0,,19.0,60.0,,1.0,1.0,27.0,31.0,7.0,5.0,8.0,1.0,,2.0,166.0,,9.0,5.0,9.0,,10.0,1.0,5.0,131.0,126.0,47.0,15.0,2.0,9.0,3.0,,2.0,,2.0,,1.0,22.0,11.0,2.0,31.0,4.0,9.0,40.0,192.0,0.0,106.0,9.0,1.0,,,1.0,61.0,43.0,6.0,92.0,3.0,18.0,16.0,7.0,,3.0,126.0,1.0,13.0,137.0,707.0,8.0,7.0,21.0,11.0,422.0,29.0,15.0,,2.0,5.0,4.0,13.0,500.0,49.0,,95658,5.0,258.0,1.0,11.0,298.0,5.0,,,16.0,7.0,33.0,,3.0,2.0,,11.0,4.0,5.0,43.0,445.0,12.0,4.0,2.0,8.0,5.0,57.0,,,,0.0,1.0,7.0,,4.0,2.0,0.0,,,2.0,58.0,11.0,,2.0,1.0,2.0,3.0,40.0,6.0,526.0,11.0,10.0,26.0,7.0,21.0,3.0,4.0,250.0,8.0,7.0,13.0,82.0,27.0,,1.0,15.0,13.0,9.0,3.0,10.0,1.0,4.0,6.0,4.0,1.0,,,,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,2210634,2022-04-28 19:45:00,"Old Trafford, Manchester",73564,Home,Manchester United,Chelsea,1,1,D,0,0,0,0,,,,1.0,29.0,50.0,,1.0,,28.0,30.0,2.0,1.0,4.0,5.0,,,125.0,,12.0,2.0,8.0,1.0,5.0,,3.0,88.0,116.0,49.0,6.0,2.0,12.0,2.0,,1.0,1.0,2.0,,,10.0,12.0,,30.0,2.0,5.0,35.0,127.0,0.0,86.0,9.0,,,,,46.0,50.0,4.0,50.0,,8.0,15.0,2.0,1.0,,116.0,1.0,15.0,82.0,520.0,3.0,6.0,16.0,14.0,254.0,30.0,18.0,1.0,0.0,6.0,1.0,16.0,317.0,40.0,1.0,90152,3.0,147.0,,5.0,167.0,6.0,1.0,,15.0,10.0,42.0,1.0,2.0,2.0,1.0,14.0,6.0,5.0,55.0,272.0,10.0,9.0,1.0,14.0,2.0,50.0,,,,0.0,2.0,9.0,1.0,1.0,3.0,0.0,1.0,,2.0,35.2,11.0,,3.0,,2.0,2.0,28.0,2.0,345.0,14.0,7.0,21.0,1.0,19.0,1.0,1.0,188.0,3.0,5.0,15.0,57.0,10.0,1.0,2.0,18.0,16.0,3.0,3.0,13.0,2.0,7.0,2.0,3.0,,,,1.0,2.0,6.0,,1.0,2.0,,7.0,,,,1.0,,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2210646,2022-05-22 16:00:00,"Selhurst Park, London",25434,Away,Manchester United,Crystal Palace,0,1,L,0,1,0,0,0.0,,,,30.0,53.0,0.0,,2.0,32.0,11.0,4.0,1.0,6.0,2.0,0.0,3.0,149.0,0.0,18.0,3.0,6.0,0.0,5.0,,4.0,139.0,143.0,45.0,10.0,2.0,8.0,2.0,1.0,2.0,,2.0,,1.0,21.0,10.0,2.0,11.0,6.0,8.0,42.0,208.0,0.0,141.0,22.0,1.0,1.0,0.0,1.0,82.0,62.0,4.0,77.0,,15.0,22.0,4.0,0.0,,143.0,1.0,5.0,161.0,712.0,4.0,4.0,16.0,12.0,422.0,27.0,8.0,,4.0,,1.0,27.0,508.0,53.0,1.0,95658,3.0,232.0,1.0,9.0,263.0,12.0,0.0,,8.0,4.0,44.0,2.0,4.0,4.0,0.0,16.0,1.0,4.0,51.0,437.0,12.0,6.0,1.0,9.0,2.0,45.0,1.0,,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,,,1.0,61.6,22.0,,4.0,,4.0,4.0,27.0,6.0,526.0,12.0,6.0,23.0,2.0,34.0,2.0,2.0,284.0,8.0,8.0,10.0,100.0,18.0,,1.0,8.0,17.0,7.0,3.0,8.0,1.0,8.0,6.0,2.0,1.0,,,,1.0,1.0,1.0,5.0,1.0,,3.0,,,,,,,0.0,,2.0,2.0,,1.0,0.0,1.0,,1.0,1.0,,,0.0,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,1.0,,,,0.0,,,0.0,,,,,,1.0,,,,,0.0,,0.0,,,0.2494,0.6054,0.0,0.0,0.0,0.621254,0.057838,0.0,0.7522
