gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,cleanSheet,divingSave,attOboxMiss,totalFlickOn,attMissHighLeft,totalKeeperSweeper,defenderGoals,totalOffside,attGoalHighLeft,attCmissLeft,attHdGoal,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,attGoalLowRight,accurateThroughBall,handBall,penaltyWon,midfielderGoals,contentiousDecision,accurateFreekickCross,attSetpiece,attPenGoal,accurateFlickOn,attFreekickMiss,attOboxGoal,attSvHighLeft,foulThrowIn,hitWoodwork,errorLeadToShot,clearanceOffLine,goalsConcededObox,attGoalHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attPostLeft,shotFastbreak,totalFastbreak,attFastbreak,attObxdRight,attCmissHighRight,attObxLeft,attCmissHighLeft,attOboxPost,attPostHigh,attGoalHighRight,attObxdLeft,attPenTarget,attSvHighRight,attLfGoal,attPenMiss,attPenPost,goalFastbreak,attObpGoal
27,2210533,2022-02-26 15:30:00,"American Express Stadium, Falmer",31475,Home,Brighton and Hove Albion,Aston Villa,0,2,L,0,1,0,0,,,19.0,52.0,1.0,3.0,34.0,12.0,6.0,1.0,6.0,2.0,1.0,164.0,,12.0,5.0,7.0,,,7.0,,,1.0,155.0,127.0,47.0,,12.0,11.0,,1.0,,,2.0,25.0,11.0,1.0,12.0,6.0,2.0,33.0,,237.0,0.0,147.0,17.0,,,,,106.0,75.0,4.0,89.0,,,19.0,13.0,6.0,,5.0,127.0,1.0,4.0,161.0,739.0,6.0,23.0,,4.0,480.0,23.0,2.0,5.0,,4.0,3.0,3.0,23.0,548.0,68.0,83299,5.0,267.0,1.0,14.0,,278.0,9.0,,,13.0,6.0,55.0,2.0,2.0,,12.0,5.0,4.0,1.0,62.0,499.0,11.0,6.0,1.0,6.0,3.0,74.0,1.0,,0.0,,1.0,2.0,1.0,,2.0,0.0,4.0,,1.0,3.0,66.5,21.0,1.0,,3.0,,,2.0,5.0,51.0,7.0,,569.0,4.0,11.0,11.0,6.0,33.0,1.0,2.0,316.0,8.0,2.0,12.0,105.0,24.0,,,5.0,17.0,1.0,9.0,1.0,18.0,,2.0,7.0,,,,2.0,,2.0,,1.0,3.0,3.0,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,
28,2210546,2022-03-05 15:00:00,"St. James' Park, Newcastle",52214,Away,Brighton and Hove Albion,Newcastle United,1,2,L,0,2,0,0,1.0,1.0,26.0,76.0,,5.0,42.0,8.0,4.0,4.0,11.0,2.0,1.0,209.0,1.0,14.0,8.0,12.0,1.0,3.0,12.0,1.0,,4.0,171.0,170.0,64.0,,15.0,22.0,3.0,,,,1.0,28.0,6.0,,8.0,7.0,6.0,49.0,,346.0,0.0,239.0,10.0,,,4.0,2.0,141.0,95.0,11.0,108.0,,1.0,21.0,21.0,4.0,,6.0,170.0,2.0,10.0,146.0,836.0,7.0,32.0,1.0,12.0,512.0,28.0,4.0,7.0,1.0,1.0,2.0,1.0,23.0,620.0,92.0,83299,6.0,186.0,1.0,11.0,2.0,210.0,5.0,,1.0,21.0,4.0,45.0,2.0,5.0,,17.0,,4.0,1.0,73.0,524.0,8.0,2.0,4.0,12.0,5.0,87.0,2.0,,0.0,,1.0,4.0,2.0,1.0,2.0,0.0,5.0,1.0,,4.0,67.6,17.0,1.0,,5.0,2.0,,5.0,8.0,57.0,7.0,2.0,634.0,12.0,5.0,26.0,3.0,49.0,3.0,2.0,452.0,6.0,5.0,33.0,182.0,35.0,,,7.0,11.0,2.0,8.0,3.0,19.0,,10.0,7.0,,1.0,1.0,3.0,,,,,1.0,9.0,,,1.0,4.0,,,1.0,,,,,,2.0,1.0,,,,2.0,2.0,,2.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
29,2210553,2022-03-12 12:30:00,"American Express Stadium, Falmer",31474,Home,Brighton and Hove Albion,Liverpool,0,2,L,0,1,0,0,2.0,,25.0,56.0,2.0,,21.0,19.0,4.0,3.0,4.0,7.0,1.0,140.0,,13.0,4.0,10.0,,2.0,8.0,,,3.0,105.0,145.0,42.0,,8.0,7.0,2.0,,,1.0,1.0,17.0,5.0,1.0,19.0,6.0,4.0,59.0,,118.0,0.0,109.0,12.0,,1.0,,1.0,46.0,50.0,4.0,78.0,2.0,,11.0,24.0,4.0,,3.0,145.0,1.0,15.0,107.0,627.0,8.0,15.0,,6.0,320.0,28.0,1.0,11.0,,3.0,2.0,4.0,27.0,402.0,47.0,83299,3.0,222.0,1.0,8.0,,251.0,10.0,,,24.0,7.0,40.0,1.0,7.0,,20.0,3.0,,2.0,66.0,336.0,13.0,7.0,,9.0,,67.0,,,0.0,,1.0,6.0,5.0,,2.0,0.0,3.0,,,1.0,51.8,26.0,1.0,,2.0,,1.0,7.0,1.0,33.0,7.0,1.0,430.0,6.0,11.0,18.0,4.0,26.0,1.0,2.0,196.0,4.0,4.0,6.0,66.0,18.0,,,11.0,13.0,2.0,8.0,3.0,14.0,,12.0,7.0,,,,1.0,,,,2.0,2.0,3.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2210565,2022-04-20 20:00:00,"Etihad Stadium, Manchester",52226,Away,Brighton and Hove Albion,Manchester City,0,3,L,0,0,0,0,,,19.0,59.0,1.0,,23.0,15.0,1.0,,1.0,2.0,,129.0,,10.0,1.0,7.0,,3.0,1.0,,,1.0,86.0,141.0,50.0,1.0,2.0,14.0,1.0,,,1.0,,11.0,10.0,,15.0,4.0,6.0,50.0,,95.0,0.0,82.0,7.0,,,,1.0,36.0,43.0,1.0,49.0,1.0,,7.0,18.0,1.0,1.0,,141.0,,9.0,89.0,521.0,,7.0,1.0,5.0,243.0,33.0,1.0,6.0,,3.0,8.0,,14.0,328.0,47.0,83299,1.0,166.0,,7.0,,201.0,2.0,,1.0,18.0,9.0,41.0,1.0,5.0,,15.0,8.0,6.0,1.0,56.0,260.0,12.0,4.0,1.0,10.0,1.0,47.0,,1.0,0.0,,1.0,7.0,1.0,,3.0,0.0,,,,1.0,34.9,10.0,,,5.0,,,5.0,,19.0,4.0,1.0,353.0,5.0,6.0,21.0,1.0,19.0,1.0,,163.0,1.0,4.0,11.0,44.0,15.0,,2.0,6.0,20.0,1.0,,3.0,17.0,2.0,10.0,4.0,,,,,,,,,1.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
31,2210571,2022-04-02 15:00:00,"American Express Stadium, Falmer",31245,Home,Brighton and Hove Albion,Norwich City,0,0,D,0,0,0,0,,,24.0,61.0,,5.0,27.0,12.0,14.0,10.0,17.0,,3.0,174.0,,10.0,8.0,10.0,,5.0,21.0,1.0,2.0,4.0,116.0,158.0,47.0,1.0,31.0,18.0,1.0,,,3.0,6.0,37.0,11.0,3.0,12.0,11.0,6.0,29.0,,294.0,0.0,240.0,12.0,,,2.0,1.0,108.0,77.0,8.0,76.0,,6.0,26.0,17.0,14.0,1.0,10.0,158.0,1.0,4.0,112.0,695.0,17.0,43.0,1.0,10.0,380.0,16.0,2.0,3.0,,1.0,3.0,13.0,30.0,463.0,75.0,83299,13.0,103.0,2.0,14.0,2.0,116.0,6.0,,2.0,17.0,6.0,49.0,,5.0,,18.0,2.0,1.0,3.0,53.0,389.0,9.0,3.0,4.0,13.0,9.0,64.0,1.0,,0.0,,,2.0,,,,0.0,5.0,,,5.0,63.0,26.0,4.0,,2.0,4.0,,5.0,9.0,35.0,11.0,2.0,478.0,10.0,9.0,17.0,18.0,55.0,3.0,11.0,399.0,16.0,6.0,15.0,187.0,38.0,,,3.0,14.0,,19.0,3.0,18.0,,4.0,11.0,,,,4.0,,2.0,1.0,,7.0,5.0,1.0,,,1.0,,3.0,,,1.0,,,,,1.0,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
32,2210581,2022-04-09 15:00:00,"Emirates Stadium, London",60112,Away,Brighton and Hove Albion,Arsenal,2,1,W,1,0,0,0,,1.0,27.0,53.0,1.0,,13.0,28.0,5.0,1.0,2.0,3.0,,114.0,,14.0,1.0,5.0,2.0,,6.0,1.0,,3.0,58.0,127.0,52.0,,8.0,9.0,1.0,,2.0,,1.0,10.0,13.0,,28.0,2.0,3.0,32.0,,87.0,0.0,77.0,19.0,,,,2.0,60.0,24.0,3.0,55.0,,1.0,8.0,17.0,6.0,,2.0,127.0,1.0,13.0,56.0,473.0,3.0,9.0,1.0,16.0,195.0,23.0,1.0,18.0,2.0,4.0,10.0,3.0,19.0,258.0,40.0,83299,2.0,116.0,,6.0,,138.0,14.0,2.0,1.0,17.0,4.0,41.0,,2.0,2.0,18.0,7.0,,1.0,60.0,202.0,10.0,6.0,1.0,24.0,1.0,56.0,,,0.0,,1.0,11.0,2.0,1.0,1.0,0.0,,2.0,,1.0,35.4,12.0,,1.0,3.0,,,2.0,1.0,16.0,2.0,2.0,283.0,16.0,6.0,13.0,4.0,17.0,1.0,,155.0,6.0,3.0,16.0,43.0,20.0,,2.0,18.0,21.0,,7.0,3.0,8.0,2.0,7.0,2.0,1.0,,,1.0,,1.0,,2.0,4.0,4.0,,,,2.0,,,,,,,,,,2.0,,2.0,,,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
33,2210597,2022-04-16 12:30:00,"Tottenham Hotspur Stadium, London",58685,Away,Brighton and Hove Albion,Tottenham Hotspur,1,0,W,0,0,0,0,,1.0,16.0,64.0,,2.0,21.0,12.0,4.0,2.0,8.0,,2.0,147.0,,5.0,3.0,6.0,1.0,,9.0,2.0,,5.0,138.0,123.0,51.0,,12.0,17.0,2.0,,,2.0,1.0,16.0,10.0,2.0,12.0,4.0,5.0,48.0,,225.0,0.0,143.0,10.0,,1.0,,,94.0,76.0,5.0,90.0,1.0,2.0,12.0,25.0,4.0,,5.0,123.0,,3.0,124.0,668.0,6.0,22.0,2.0,9.0,410.0,22.0,,5.0,,3.0,2.0,4.0,17.0,476.0,70.0,83299,5.0,197.0,,7.0,1.0,209.0,8.0,1.0,2.0,25.0,3.0,51.0,,4.0,1.0,9.0,2.0,1.0,2.0,60.0,419.0,13.0,9.0,3.0,13.0,4.0,71.0,1.0,1.0,0.0,,,4.0,,1.0,,0.0,,,,3.0,51.4,14.0,1.0,,5.0,3.0,,4.0,2.0,34.0,4.0,1.0,499.0,9.0,12.0,17.0,5.0,24.0,3.0,3.0,306.0,7.0,5.0,15.0,103.0,26.0,,2.0,5.0,17.0,,7.0,3.0,9.0,2.0,14.0,4.0,,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,3.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2210603,2022-04-24 14:00:00,"American Express Stadium, Falmer",31335,Home,Brighton and Hove Albion,Southampton,2,2,D,2,1,0,0,3.0,1.0,37.0,58.0,1.0,2.0,18.0,29.0,1.0,3.0,7.0,3.0,1.0,154.0,1.0,18.0,9.0,4.0,2.0,1.0,4.0,,,5.0,76.0,178.0,50.0,,8.0,21.0,4.0,1.0,,1.0,,20.0,8.0,,29.0,6.0,5.0,34.0,,143.0,0.0,153.0,12.0,,2.0,1.0,2.0,72.0,43.0,4.0,43.0,1.0,,14.0,21.0,1.0,,2.0,178.0,1.0,9.0,79.0,562.0,3.0,29.0,,6.0,219.0,20.0,3.0,19.0,,1.0,7.0,,20.0,329.0,75.0,83299,2.0,95.0,2.0,11.0,,122.0,10.0,1.0,,21.0,9.0,52.0,1.0,6.0,1.0,20.0,9.0,2.0,,56.0,229.0,6.0,6.0,1.0,20.0,2.0,61.0,1.0,,0.0,,2.0,6.0,2.0,2.0,2.0,0.0,5.0,,,2.0,48.8,13.0,,,9.0,1.0,,6.0,3.0,20.0,6.0,2.0,352.0,6.0,10.0,16.0,,30.0,4.0,,250.0,3.0,4.0,24.0,84.0,20.0,1.0,3.0,19.0,17.0,,6.0,3.0,7.0,3.0,12.0,6.0,,,,1.0,,,,1.0,,3.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
35,2210620,2022-04-30 15:00:00,"Molineux Stadium, Wolverhampton",31243,Away,Brighton and Hove Albion,Wolverhampton Wanderers,3,0,W,1,0,0,0,1.0,2.0,22.0,69.0,,2.0,21.0,10.0,8.0,6.0,9.0,1.0,5.0,156.0,,12.0,4.0,14.0,3.0,2.0,13.0,,,9.0,141.0,129.0,47.0,,17.0,8.0,2.0,2.0,1.0,2.0,,12.0,18.0,4.0,10.0,3.0,2.0,28.0,,189.0,0.0,139.0,4.0,,1.0,,2.0,73.0,56.0,11.0,74.0,,1.0,9.0,14.0,8.0,,2.0,129.0,1.0,6.0,108.0,665.0,11.0,30.0,,9.0,386.0,24.0,2.0,4.0,1.0,1.0,5.0,2.0,19.0,465.0,55.0,83299,5.0,211.0,1.0,7.0,,227.0,3.0,2.0,,14.0,8.0,44.0,,7.0,2.0,14.0,5.0,5.0,1.0,49.0,396.0,5.0,13.0,1.0,15.0,2.0,53.0,2.0,,0.0,,1.0,7.0,1.0,2.0,,0.0,2.0,,1.0,,50.8,16.0,,,10.0,1.0,,7.0,4.0,26.0,3.0,2.0,479.0,9.0,8.0,11.0,4.0,17.0,2.0,2.0,264.0,11.0,2.0,6.0,92.0,28.0,1.0,2.0,4.0,22.0,,13.0,3.0,25.0,2.0,4.0,3.0,3.0,,,2.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,2.0,2.0,2.0,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,
36,2210623,2022-05-07 17:30:00,"American Express Stadium, Falmer",31637,Home,Brighton and Hove Albion,Manchester United,4,0,W,1,0,0,0,,2.0,19.0,65.0,2.0,4.0,20.0,18.0,4.0,5.0,13.0,5.0,2.0,131.0,,10.0,5.0,4.0,4.0,2.0,11.0,1.0,,6.0,97.0,127.0,33.0,,17.0,13.0,1.0,1.0,2.0,1.0,3.0,20.0,9.0,1.0,18.0,6.0,3.0,36.0,1.0,162.0,0.0,145.0,13.0,,,2.0,2.0,52.0,40.0,7.0,54.0,1.0,2.0,14.0,15.0,4.0,,1.0,127.0,3.0,8.0,91.0,555.0,8.0,41.0,,10.0,283.0,22.0,4.0,6.0,2.0,0.0,3.0,4.0,17.0,353.0,45.0,83299,7.0,136.0,2.0,11.0,,148.0,9.0,1.0,1.0,15.0,6.0,47.0,2.0,5.0,4.0,11.0,7.0,2.0,1.0,48.0,293.0,9.0,9.0,1.0,15.0,2.0,53.0,1.0,,0.0,,,6.0,3.0,3.0,,0.0,3.0,2.0,,3.0,42.0,12.0,3.0,,9.0,2.0,,5.0,4.0,24.0,7.0,2.0,373.0,10.0,7.0,17.0,7.0,39.0,2.0,5.0,245.0,8.0,3.0,9.0,104.0,25.0,1.0,2.0,6.0,11.0,,13.0,3.0,10.0,2.0,10.0,7.0,2.0,,,,,1.0,1.0,3.0,2.0,4.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,,2.0,1.0,,2.0,,3.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,1.0
37,2210633,2022-05-15 14:00:00,"Elland Road, Leeds",36638,Away,Brighton and Hove Albion,Leeds United,1,1,D,1,0,0,0,,1.0,22.0,75.0,2.0,2.0,28.0,24.0,3.0,1.0,12.0,3.0,5.0,171.0,1.0,13.0,5.0,11.0,1.0,3.0,13.0,1.0,,6.0,92.0,150.0,62.0,,15.0,13.0,3.0,1.0,1.0,3.0,2.0,9.0,5.0,2.0,24.0,1.0,9.0,34.0,,185.0,0.0,149.0,8.0,,1.0,2.0,,73.0,50.0,7.0,63.0,3.0,2.0,8.0,26.0,3.0,,2.0,150.0,4.0,14.0,77.0,617.0,11.0,28.0,,9.0,282.0,30.0,5.0,11.0,1.0,2.0,4.0,6.0,21.0,372.0,76.0,83299,6.0,118.0,3.0,4.0,,148.0,5.0,1.0,1.0,26.0,10.0,39.0,4.0,7.0,1.0,21.0,5.0,5.0,3.0,74.0,298.0,16.0,6.0,1.0,28.0,1.0,80.0,1.0,,0.0,,3.0,8.0,2.0,1.0,1.0,0.0,4.0,1.0,,3.0,49.7,18.0,3.0,,4.0,1.0,,7.0,2.0,40.0,1.0,1.0,403.0,9.0,10.0,19.0,7.0,30.0,1.0,6.0,264.0,11.0,8.0,22.0,103.0,29.0,1.0,2.0,11.0,13.0,1.0,14.0,3.0,14.0,2.0,15.0,1.0,,,,,,,,3.0,1.0,7.0,,,,1.0,,1.0,,,2.0,,,,3.0,1.0,,,,,,,2.0,,,,,,1.0,,,,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,
38,2210643,2022-05-22 16:00:00,"American Express Stadium, Falmer",31604,Home,Brighton and Hove Albion,West Ham United,3,1,W,0,1,0,0,2.0,,21.0,61.0,1.0,4.0,21.0,22.0,5.0,4.0,13.0,1.0,1.0,168.0,,3.0,6.0,5.0,3.0,1.0,15.0,,,7.0,132.0,127.0,46.0,,18.0,13.0,3.0,,2.0,2.0,1.0,19.0,8.0,1.0,22.0,5.0,4.0,29.0,,224.0,0.0,177.0,9.0,3.0,,1.0,2.0,52.0,54.0,11.0,72.0,,1.0,14.0,19.0,5.0,,5.0,127.0,1.0,4.0,117.0,660.0,10.0,37.0,1.0,6.0,391.0,25.0,4.0,17.0,3.0,1.0,3.0,4.0,13.0,473.0,50.0,83299,9.0,185.0,1.0,8.0,,211.0,8.0,1.0,,19.0,5.0,36.0,1.0,6.0,2.0,11.0,3.0,5.0,2.0,52.0,403.0,9.0,1.0,2.0,21.0,3.0,46.0,1.0,,0.0,,1.0,6.0,,3.0,1.0,0.0,4.0,3.0,,4.0,49.9,11.0,2.0,,5.0,2.0,1.0,6.0,7.0,23.0,5.0,2.0,489.0,6.0,13.0,14.0,4.0,42.0,2.0,3.0,297.0,10.0,2.0,20.0,138.0,24.0,1.0,4.0,17.0,12.0,,14.0,3.0,6.0,4.0,10.0,5.0,1.0,1.0,1.0,3.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
