gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,attCmissRight,attSvLowCentre,penaltyWon,attSvHighLeft,interceptionsInBox,contentiousDecision,attHdTarget,attMissHighLeft,attObxdLeft,attPenGoal,attAssistSetplay,accurateFlickOn,accurateCornersIntobox,ptsDroppedWinningPos,cleanSheet,totalPullBack,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowCentre,goalFastbreak,attOneOnOne,attMissHighRight,attSvHighRight,attOboxGoal,accurateFreekickCross,attSetpiece,defenderGoals,totalOffside,attGoalHighLeft,sixYardBlock,attCmissHigh,ownGoals,attCmissHighLeft,attCmissLeft,attIboxOwnGoal,attCmissHighRight,goalsConcededObox,attObxdRight,attFreekickTarget,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,errorLeadToShot,attSvHighCentre,hitWoodwork,goalAssistDeadball,accuratePullBack,postScoringAtt,attIboxPost,attPostLeft,attPenPost,attPostHigh,foulThrowIn,secondYellow,attFreekickPost,attOboxPost,clearanceOffLine,attObpGoal,subsGoals
27,2210536,2022-02-26 17:30:00,"Goodison Park, Liverpool",39105,Home,Everton,Manchester City,0,1,L,0,0,0,0,,1.0,,16.0,54.0,,,,18.0,27.0,2.0,3.0,4.0,7.0,,1.0,138.0,6.0,,9.0,,2.0,5.0,2.0,75.0,128.0,52.0,1.0,6.0,1.0,17.0,2.0,1.0,,,,2.0,14.0,10.0,,,27.0,2.0,5.0,36.0,96.0,0.0,82.0,7.0,,3.0,1.0,,,1.0,4.0,42.0,38.0,3.0,50.0,,12.0,14.0,2.0,1.0,,2.0,1.0,128.0,1.0,8.0,57.0,522.0,5.0,4.0,14.0,7.0,223.0,25.0,,13.0,,,3.0,2.0,2.0,12.0,295.0,36.0,1.0,60252,1.0,148.0,1.0,9.0,176.0,6.0,,14.0,9.0,58.0,3.0,7.0,,16.0,5.0,8.0,,55.0,244.0,14.0,17.0,17.0,,52.0,1.0,,,0.0,1.0,4.0,4.0,,1.0,0.0,,,,32.6,12.0,,5.0,2.0,7.0,1.0,26.0,3.0,4.0,320.0,7.0,13.0,16.0,3.0,19.0,2.0,158.0,3.0,5.0,7.0,49.0,14.0,,13.0,22.0,,1.0,5.0,3.0,13.0,1.0,8.0,3.0,,3.0,,2.0,,,1.0,1.0,,,,,,2.0,,,,,,3.0,3.0,,,,1.0,,,,,,4.0,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
28,2210548,2022-03-07 20:00:00,"Tottenham Hotspur Stadium, London",59647,Away,Everton,Tottenham Hotspur,0,5,L,0,3,0,0,1.0,,,,51.0,,1.0,,15.0,12.0,4.0,,2.0,3.0,,,156.0,,2.0,9.0,,2.0,5.0,,135.0,129.0,47.0,1.0,6.0,3.0,15.0,,,2.0,,,1.0,14.0,10.0,,,12.0,2.0,,40.0,273.0,0.0,144.0,10.0,,,,,,2.0,,72.0,83.0,3.0,92.0,,12.0,21.0,4.0,1.0,,5.0,1.0,129.0,,13.0,147.0,713.0,5.0,3.0,11.0,6.0,434.0,16.0,4.0,6.0,,,0.0,2.0,2.0,19.0,504.0,67.0,,60252,,186.0,,5.0,201.0,7.0,,21.0,6.0,57.0,1.0,2.0,,18.0,2.0,5.0,1.0,40.0,457.0,15.0,8.0,12.0,,62.0,,,,0.0,,5.0,3.0,,5.0,0.0,1.0,,,45.0,19.0,,4.0,,2.0,4.0,43.0,2.0,,530.0,6.0,13.0,14.0,2.0,18.0,1.0,343.0,6.0,,3.0,104.0,27.0,,6.0,20.0,,4.0,5.0,3.0,21.0,1.0,11.0,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,2210556,2022-03-13 14:00:00,"Goodison Park, Liverpool",39112,Home,Everton,Wolverhampton Wanderers,0,1,L,0,0,1,0,1.0,1.0,,37.0,61.0,,,,15.0,11.0,4.0,3.0,3.0,2.0,,1.0,135.0,21.0,3.0,10.0,,3.0,5.0,2.0,78.0,132.0,54.0,1.0,7.0,,12.0,2.0,,,,,2.0,15.0,11.0,,,11.0,5.0,1.0,38.0,94.0,0.0,75.0,13.0,,,,,,2.0,,33.0,49.0,2.0,68.0,1.0,10.0,23.0,4.0,1.0,,3.0,4.0,132.0,,5.0,75.0,537.0,5.0,2.0,14.0,10.0,263.0,26.0,1.0,7.0,,,2.0,6.0,3.0,17.0,337.0,41.0,1.0,60252,,185.0,,5.0,206.0,8.0,,23.0,7.0,45.0,2.0,5.0,,11.0,9.0,5.0,1.0,45.0,276.0,11.0,9.0,8.0,1.0,54.0,,1.0,,0.0,2.0,2.0,,,1.0,1.0,1.0,,,38.0,11.0,,2.0,1.0,6.0,,23.0,5.0,,356.0,10.0,8.0,14.0,5.0,20.0,1.0,165.0,4.0,1.0,11.0,37.0,25.0,,7.0,22.0,,1.0,5.0,2.0,14.0,,10.0,5.0,,2.0,,1.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,
30,2210569,2022-05-11 19:45:00,"Vicarage Road, Watford",20653,Away,Everton,Watford,0,0,D,0,0,0,0,,1.0,,38.0,64.0,,4.0,,31.0,12.0,5.0,6.0,11.0,,,3.0,122.0,21.0,11.0,10.0,,2.0,11.0,5.0,156.0,151.0,65.0,,16.0,3.0,21.0,4.0,,2.0,1.0,,1.0,29.0,17.0,,1.0,12.0,12.0,3.0,42.0,226.0,0.0,165.0,12.0,,,,,1.0,2.0,1.0,74.0,82.0,8.0,68.0,1.0,17.0,16.0,5.0,,,6.0,1.0,151.0,,3.0,142.0,675.0,8.0,10.0,35.0,11.0,376.0,22.0,1.0,5.0,,1.0,2.0,1.0,3.0,17.0,469.0,61.0,,59949,7.0,171.0,,9.0,185.0,8.0,,16.0,9.0,65.0,,3.0,,9.0,3.0,5.0,1.0,71.0,386.0,5.0,17.0,14.0,6.0,77.0,,1.0,1.0,0.0,2.0,1.0,,,,0.0,7.0,,2.0,51.8,13.0,,7.0,2.0,3.0,7.0,37.0,13.0,1.0,488.0,11.0,8.0,16.0,4.0,36.0,3.0,332.0,8.0,3.0,26.0,106.0,26.0,,5.0,25.0,,,9.0,2.0,17.0,,7.0,13.0,,,,1.0,,1.0,1.0,,1.0,,,,3.0,2.0,4.0,,1.0,,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2210579,2022-04-03 14:00:00,"London Stadium, London",59953,Away,Everton,West Ham United,1,2,L,0,1,1,0,1.0,,,25.0,51.0,1.0,3.0,1.0,25.0,16.0,5.0,4.0,8.0,4.0,,1.0,137.0,13.0,4.0,6.0,1.0,2.0,11.0,2.0,112.0,118.0,39.0,,13.0,2.0,19.0,,,1.0,2.0,,1.0,23.0,7.0,,1.0,16.0,3.0,3.0,34.0,179.0,0.0,150.0,12.0,,,,1.0,,3.0,,65.0,38.0,6.0,57.0,1.0,20.0,13.0,5.0,,,8.0,2.0,118.0,,6.0,101.0,574.0,9.0,7.0,20.0,10.0,320.0,16.0,2.0,6.0,1.0,2.0,2.0,2.0,5.0,17.0,384.0,63.0,1.0,57134,4.0,161.0,,9.0,172.0,8.0,1.0,13.0,9.0,47.0,1.0,5.0,,11.0,5.0,8.0,2.0,54.0,336.0,9.0,6.0,16.0,1.0,54.0,,,,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,44.3,14.0,1.0,2.0,3.0,5.0,5.0,29.0,4.0,,407.0,10.0,6.0,19.0,6.0,35.0,3.0,258.0,7.0,3.0,15.0,105.0,25.0,,6.0,9.0,,1.0,11.0,1.0,11.0,,10.0,4.0,,2.0,1.0,,,,2.0,,,1.0,,,1.0,3.0,1.0,,,1.0,2.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,
32,2210584,2022-04-09 12:30:00,"Goodison Park, Liverpool",39080,Home,Everton,Manchester United,1,0,W,1,0,0,0,,,,30.0,76.0,,2.0,,18.0,35.0,3.0,,4.0,4.0,,2.0,135.0,14.0,3.0,10.0,1.0,2.0,5.0,3.0,63.0,162.0,52.0,,7.0,,28.0,,,1.0,,,,12.0,12.0,,2.0,35.0,5.0,3.0,33.0,98.0,0.0,107.0,4.0,,3.0,,,,2.0,1.0,66.0,37.0,3.0,52.0,,7.0,25.0,3.0,,,,,162.0,,7.0,57.0,531.0,3.0,4.0,13.0,12.0,196.0,31.0,3.0,20.0,,,2.0,7.0,2.0,25.0,287.0,67.0,,59949,3.0,108.0,,5.0,128.0,4.0,1.0,25.0,6.0,57.0,1.0,4.0,1.0,26.0,5.0,1.0,2.0,58.0,203.0,8.0,10.0,21.0,2.0,66.0,,,2.0,0.0,2.0,7.0,3.0,,,0.0,2.0,,2.0,32.5,20.0,2.0,6.0,,4.0,2.0,26.0,5.0,1.0,307.0,12.0,11.0,14.0,2.0,20.0,2.0,191.0,5.0,1.0,16.0,46.0,26.0,1.0,20.0,18.0,,,4.0,2.0,14.0,,15.0,5.0,1.0,1.0,,1.0,,,1.0,,,,,,2.0,1.0,1.0,,1.0,1.0,,3.0,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
33,2210592,2022-05-19 19:45:00,"Goodison Park, Liverpool",38448,Home,Everton,Crystal Palace,3,2,W,0,2,0,0,,2.0,1.0,33.0,67.0,2.0,,2.0,35.0,20.0,5.0,5.0,7.0,3.0,2.0,1.0,155.0,16.0,5.0,6.0,3.0,3.0,9.0,6.0,68.0,174.0,74.0,1.0,12.0,2.0,23.0,1.0,,,,,1.0,25.0,13.0,,2.0,20.0,4.0,4.0,48.0,172.0,0.0,156.0,9.0,3.0,2.0,,,,2.0,1.0,50.0,74.0,6.0,46.0,1.0,21.0,16.0,5.0,1.0,,10.0,,174.0,1.0,6.0,78.0,558.0,7.0,7.0,25.0,7.0,228.0,24.0,8.0,11.0,2.0,,2.0,,3.0,22.0,324.0,70.0,,59949,5.0,77.0,,9.0,105.0,5.0,,16.0,4.0,57.0,,,1.0,20.0,1.0,3.0,,67.0,244.0,11.0,5.0,23.0,1.0,70.0,,2.0,,0.0,1.0,5.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,43.2,12.0,2.0,3.0,2.0,,2.0,36.0,4.0,1.0,347.0,7.0,9.0,29.0,4.0,40.0,3.0,267.0,4.0,3.0,33.0,104.0,35.0,2.0,11.0,25.0,1.0,2.0,8.0,3.0,17.0,,7.0,4.0,1.0,,,1.0,,,,,,1.0,,,,3.0,,,,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,
34,2210608,2022-04-24 16:30:00,"Anfield, Liverpool",53213,Away,Everton,Liverpool,0,2,L,0,0,0,0,,,,20.0,51.0,,2.0,,16.0,37.0,4.0,1.0,5.0,2.0,,1.0,88.0,10.0,1.0,8.0,,3.0,5.0,1.0,36.0,131.0,46.0,1.0,9.0,2.0,13.0,,1.0,2.0,,,2.0,4.0,10.0,,1.0,37.0,1.0,1.0,22.0,48.0,0.0,66.0,8.0,,2.0,1.0,,,2.0,1.0,50.0,5.0,1.0,26.0,2.0,3.0,21.0,4.0,1.0,,,1.0,131.0,,12.0,23.0,381.0,4.0,,14.0,14.0,87.0,29.0,5.0,15.0,,,5.0,3.0,4.0,16.0,150.0,49.0,1.0,59949,1.0,48.0,,1.0,69.0,3.0,,21.0,9.0,41.0,3.0,,,24.0,6.0,,,49.0,95.0,7.0,6.0,20.0,,53.0,1.0,1.0,2.0,0.0,3.0,13.0,1.0,,2.0,0.0,1.0,,1.0,17.6,8.0,1.0,4.0,1.0,,4.0,18.0,1.0,1.0,173.0,14.0,3.0,13.0,4.0,10.0,3.0,108.0,7.0,,11.0,32.0,13.0,,15.0,20.0,,2.0,7.0,2.0,20.0,,11.0,1.0,,1.0,,,,,3.0,,,,,,1.0,,,,,,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2210612,2022-05-01 14:00:00,"Goodison Park, Liverpool",39256,Home,Everton,Chelsea,1,0,W,0,0,0,0,,3.0,1.0,28.0,56.0,1.0,,,14.0,24.0,3.0,5.0,6.0,5.0,,,101.0,16.0,2.0,8.0,1.0,3.0,7.0,4.0,36.0,130.0,44.0,1.0,9.0,1.0,12.0,3.0,1.0,,,1.0,1.0,11.0,10.0,,,24.0,2.0,2.0,16.0,73.0,0.0,87.0,9.0,,2.0,1.0,,1.0,3.0,2.0,38.0,32.0,4.0,26.0,1.0,9.0,24.0,3.0,1.0,,,2.0,130.0,2.0,11.0,34.0,393.0,5.0,7.0,21.0,10.0,107.0,23.0,2.0,12.0,1.0,,3.0,5.0,3.0,20.0,175.0,45.0,,59949,3.0,45.0,1.0,6.0,66.0,6.0,1.0,24.0,7.0,51.0,,1.0,1.0,13.0,6.0,2.0,1.0,52.0,116.0,11.0,12.0,25.0,,51.0,1.0,1.0,1.0,0.0,1.0,8.0,4.0,1.0,,0.0,2.0,,,21.7,12.0,,7.0,2.0,1.0,1.0,20.0,3.0,2.0,197.0,10.0,12.0,7.0,4.0,23.0,2.0,142.0,4.0,2.0,12.0,45.0,18.0,1.0,12.0,13.0,,,7.0,3.0,14.0,,15.0,3.0,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,,,2.0,2.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
36,2210627,2022-05-08 14:00:00,"King Power Stadium, Leicester",32001,Away,Everton,Leicester City,2,1,W,2,1,0,0,,,1.0,23.0,64.0,1.0,3.0,,26.0,23.0,2.0,2.0,8.0,7.0,1.0,1.0,131.0,15.0,2.0,11.0,2.0,1.0,7.0,4.0,67.0,130.0,47.0,,10.0,,19.0,2.0,1.0,1.0,,1.0,1.0,5.0,9.0,,,23.0,1.0,6.0,32.0,143.0,0.0,119.0,6.0,,3.0,1.0,,1.0,2.0,1.0,70.0,49.0,5.0,62.0,,4.0,20.0,2.0,,,,1.0,130.0,1.0,9.0,72.0,511.0,5.0,5.0,18.0,8.0,227.0,35.0,8.0,17.0,1.0,,0.0,1.0,2.0,15.0,302.0,55.0,,59949,6.0,98.0,1.0,2.0,124.0,4.0,,20.0,6.0,47.0,1.0,3.0,1.0,14.0,7.0,1.0,2.0,71.0,239.0,11.0,6.0,31.0,2.0,59.0,1.0,,,0.0,1.0,6.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,34.0,12.0,1.0,,,3.0,3.0,21.0,1.0,1.0,332.0,8.0,9.0,18.0,3.0,13.0,2.0,213.0,5.0,5.0,12.0,76.0,14.0,,17.0,13.0,1.0,1.0,6.0,3.0,18.0,1.0,13.0,1.0,,4.0,,1.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
37,2210632,2022-05-15 16:30:00,"Goodison Park, Liverpool",38819,Home,Everton,Brentford,2,3,L,2,1,2,0,,1.0,2.0,19.0,50.0,,,1.0,32.0,23.0,3.0,3.0,7.0,4.0,,1.0,97.0,10.0,6.0,5.0,2.0,3.0,7.0,5.0,37.0,120.0,31.0,,10.0,,14.0,2.0,,,1.0,,2.0,20.0,2.0,,1.0,23.0,5.0,2.0,43.0,93.0,0.0,112.0,8.0,,2.0,,,,3.0,,33.0,40.0,4.0,37.0,2.0,15.0,15.0,3.0,,1.0,6.0,2.0,120.0,2.0,14.0,41.0,375.0,4.0,6.0,21.0,10.0,129.0,20.0,5.0,8.0,1.0,1.0,0.0,2.0,3.0,11.0,184.0,58.0,,59949,5.0,56.0,2.0,6.0,68.0,5.0,1.0,15.0,13.0,44.0,,1.0,,15.0,5.0,7.0,1.0,61.0,143.0,7.0,8.0,11.0,1.0,60.0,,1.0,,0.0,1.0,2.0,4.0,2.0,3.0,2.0,6.0,,2.0,27.5,6.0,1.0,4.0,,1.0,,32.0,5.0,,212.0,10.0,3.0,23.0,5.0,23.0,3.0,164.0,4.0,1.0,14.0,64.0,12.0,2.0,8.0,5.0,,3.0,4.0,3.0,16.0,,10.0,5.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,2.0,,3.0,,1.0,2.0,3.0,3.0,,,,,2.0,,2.0,4.0,,2.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
38,2210641,2022-05-22 16:00:00,"Emirates Stadium, London",60201,Away,Everton,Arsenal,1,5,L,1,2,0,0,1.0,,1.0,15.0,45.0,,,,18.0,30.0,3.0,1.0,3.0,4.0,1.0,1.0,106.0,4.0,1.0,8.0,1.0,1.0,6.0,2.0,50.0,110.0,52.0,,6.0,1.0,8.0,,,,,1.0,,6.0,8.0,,1.0,30.0,2.0,2.0,32.0,76.0,0.0,80.0,9.0,,4.0,,,,2.0,2.0,39.0,23.0,3.0,41.0,,4.0,16.0,3.0,,,2.0,1.0,110.0,2.0,17.0,37.0,388.0,5.0,8.0,19.0,1.0,134.0,24.0,1.0,13.0,1.0,,1.0,7.0,3.0,13.0,207.0,35.0,,66838,1.0,77.0,1.0,,101.0,2.0,,9.0,8.0,34.0,1.0,1.0,1.0,7.0,9.0,4.0,2.0,53.0,152.0,8.0,7.0,10.0,,48.0,,,2.0,0.0,,12.0,2.0,1.0,5.0,0.0,1.0,1.0,,26.3,9.0,,4.0,,1.0,1.0,17.0,2.0,2.0,234.0,1.0,8.0,11.0,3.0,14.0,2.0,139.0,5.0,,15.0,41.0,10.0,,13.0,21.0,,5.0,6.0,3.0,12.0,,9.0,2.0,1.0,2.0,,,,,1.0,,,,,,,4.0,,,,2.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0
