gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,attLfGoal,attBxRight,attMissHighRight,ptsGainedLosingPos,midfielderGoals,attSvLowLeft,hitWoodwork,sixYardBlock,penaltyConceded,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,attIboxTarget,attSvLowCentre,interceptionsInBox,effectiveBlockedCross,blockedCross,accuratePullBack,attLgCentre,attHdTarget,clearanceOffLine,shotFastbreak,totalFastbreak,contentiousDecision,attObxdRight,accurateThroughBall,errorLeadToShot,attFastbreak,attObxRight,ptsDroppedWinningPos,postScoringAtt,attSvHighRight,attPostLeft,ownGoals,attOboxPost,attIboxOwnGoal,handBall,attGoalLowRight,attFreekickTotal,attIboxPost,cleanSheet,freekickTotal,attCmissHigh,attPostHigh,foulThrowIn,attFreekickMiss,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attFreekickGoal,attLgRight,attFreekickTarget,attGoalLowCentre,attCmissHighRight,attGoalHighCentre,goalsConcededObox,errorLeadToGoal,attGoalHighRight,attHdGoal,attFreekickPost,attPostRight,attObxdLeft,attCmissHighLeft
27,2210537,2022-02-26 12:30:00,"Elland Road, Leeds",36599,Home,Leeds United,Tottenham Hotspur,0,4,L,0,3,0,0,1.0,25.0,50.0,2.0,15.0,6.0,7.0,7.0,12.0,6.0,2.0,125.0,13.0,4.0,5.0,,7.0,12.0,1.0,3.0,142.0,108.0,38.0,19.0,4.0,4.0,,,3.0,25.0,6.0,,6.0,3.0,3.0,20.0,247.0,,0.0,167.0,16.0,4.0,5.0,1.0,78.0,96.0,4.0,47.0,2.0,22.0,20.0,7.0,10.0,2.0,108.0,1.0,13.0,135.0,617.0,9.0,2.0,40.0,9.0,372.0,16.0,,1.0,2.0,,,4.0,3.0,8.0,13.0,434.0,54.0,3.0,87873,10.0,144.0,2.0,7.0,5.0,156.0,13.0,,1.0,20.0,2.0,43.0,2.0,,,8.0,,14.0,2.0,2.0,3.0,24.0,387.0,11.0,13.0,3.0,3.0,,41.0,,1.0,2.0,1.0,0.0,,6.0,5.0,4.0,1.0,0.0,4.0,4.0,49.6,12.0,3.0,7.0,,8.0,6.0,36.0,3.0,1.0,449.0,9.0,6.0,11.0,10.0,32.0,6.0,318.0,8.0,3.0,5.0,125.0,18.0,2.0,17.0,4.0,13.0,3.0,9.0,11.0,3.0,,,2.0,,,2.0,,,,1.0,2.0,1.0,,,,,,,,,,3.0,1.0,,1.0,1.0,,,,1.0,,,,,2.0,,,,,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,
28,2210543,2022-03-05 12:30:00,"King Power Stadium, Leicester",32236,Away,Leeds United,Leicester City,0,1,L,0,0,0,0,2.0,35.0,70.0,2.0,21.0,20.0,3.0,12.0,16.0,3.0,1.0,177.0,16.0,6.0,12.0,,1.0,15.0,,4.0,102.0,150.0,53.0,19.0,1.0,19.0,1.0,,4.0,26.0,8.0,,20.0,9.0,7.0,51.0,167.0,,0.0,134.0,12.0,,1.0,1.0,53.0,80.0,9.0,58.0,2.0,17.0,31.0,3.0,9.0,2.0,150.0,1.0,3.0,96.0,684.0,13.0,3.0,31.0,7.0,335.0,24.0,,3.0,12.0,,1.0,2.0,3.0,6.0,32.0,418.0,77.0,,87873,8.0,187.0,1.0,7.0,,215.0,5.0,,,31.0,2.0,69.0,3.0,,,13.0,,18.0,4.0,2.0,3.0,44.0,348.0,9.0,15.0,2.0,5.0,7.0,58.0,,,1.0,,0.0,2.0,5.0,1.0,1.0,2.0,0.0,3.0,4.0,49.0,30.0,2.0,6.0,1.0,13.0,6.0,33.0,10.0,1.0,433.0,7.0,9.0,20.0,9.0,34.0,7.0,244.0,2.0,6.0,11.0,90.0,26.0,12.0,21.0,1.0,12.0,3.0,26.0,15.0,10.0,,,5.0,,,2.0,,,,1.0,,2.0,,,,1.0,2.0,,,3.0,,4.0,2.0,3.0,3.0,3.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210557,2022-03-13 14:00:00,"Elland Road, Leeds",36321,Home,Leeds United,Norwich City,2,1,W,1,0,0,0,2.0,35.0,84.0,1.0,31.0,14.0,3.0,7.0,10.0,3.0,1.0,174.0,20.0,5.0,9.0,2.0,1.0,11.0,,7.0,96.0,164.0,59.0,13.0,,17.0,1.0,2.0,1.0,21.0,17.0,2.0,14.0,4.0,6.0,44.0,160.0,,0.0,138.0,18.0,1.0,,,72.0,42.0,8.0,55.0,,17.0,29.0,3.0,,,164.0,4.0,5.0,96.0,644.0,7.0,3.0,35.0,14.0,302.0,33.0,,7.0,4.0,2.0,1.0,3.0,4.0,3.0,27.0,402.0,55.0,,87873,5.0,160.0,4.0,17.0,,195.0,14.0,1.0,,29.0,5.0,64.0,7.0,,2.0,4.0,2.0,27.0,7.0,1.0,2.0,69.0,315.0,8.0,17.0,2.0,28.0,3.0,60.0,,,,,0.0,,2.0,2.0,1.0,1.0,0.0,3.0,2.0,52.5,26.0,,10.0,,4.0,1.0,28.0,6.0,,421.0,14.0,5.0,23.0,5.0,30.0,3.0,247.0,4.0,6.0,14.0,92.0,36.0,4.0,28.0,1.0,9.0,3.0,16.0,17.0,6.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,2.0,,,2.0,1.0,,,,,2.0,,3.0,2.0,,,,,,2.0,,2.0,2.0,2.0,,3.0,,2.0,,,2.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,
30,2210570,2022-03-18 20:00:00,"Molineux Stadium, Wolverhampton",31842,Away,Leeds United,Wolverhampton Wanderers,3,2,W,0,2,0,1,1.0,24.0,68.0,3.0,20.0,16.0,4.0,6.0,11.0,6.0,2.0,146.0,11.0,3.0,9.0,3.0,4.0,9.0,1.0,6.0,133.0,134.0,62.0,15.0,1.0,10.0,2.0,1.0,1.0,16.0,17.0,1.0,16.0,4.0,10.0,37.0,136.0,,0.0,91.0,14.0,2.0,2.0,,67.0,34.0,3.0,64.0,2.0,12.0,21.0,4.0,3.0,2.0,134.0,4.0,8.0,105.0,644.0,8.0,2.0,28.0,7.0,342.0,28.0,,3.0,6.0,1.0,2.0,5.0,2.0,6.0,20.0,428.0,56.0,1.0,87873,6.0,227.0,3.0,7.0,1.0,251.0,10.0,2.0,1.0,21.0,5.0,53.0,7.0,1.0,3.0,4.0,2.0,13.0,6.0,4.0,2.0,52.0,360.0,13.0,14.0,,20.0,2.0,60.0,,,1.0,1.0,0.0,,2.0,3.0,2.0,1.0,0.0,2.0,1.0,52.2,18.0,1.0,6.0,,4.0,2.0,32.0,5.0,,448.0,7.0,8.0,15.0,7.0,26.0,3.0,213.0,8.0,8.0,14.0,53.0,30.0,6.0,26.0,2.0,11.0,4.0,16.0,8.0,5.0,3.0,1.0,1.0,,1.0,1.0,,3.0,2.0,1.0,2.0,1.0,,3.0,,,,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,3.0,,,,,2.0,,2.0,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
31,2210575,2022-04-02 15:00:00,"Elland Road, Leeds",36580,Home,Leeds United,Southampton,1,1,D,1,0,0,0,1.0,45.0,84.0,1.0,24.0,33.0,5.0,6.0,7.0,4.0,1.0,214.0,23.0,2.0,4.0,1.0,1.0,8.0,,3.0,99.0,184.0,61.0,12.0,5.0,18.0,,,1.0,11.0,11.0,,33.0,3.0,4.0,45.0,161.0,,0.0,140.0,14.0,3.0,1.0,2.0,45.0,51.0,6.0,61.0,,8.0,23.0,5.0,1.0,,184.0,1.0,10.0,96.0,682.0,7.0,3.0,37.0,10.0,324.0,37.0,,5.0,14.0,,,1.0,4.0,2.0,22.0,457.0,58.0,,87873,6.0,174.0,1.0,6.0,,216.0,8.0,1.0,1.0,23.0,4.0,55.0,,,,7.0,1.0,25.0,4.0,1.0,1.0,55.0,333.0,7.0,14.0,1.0,21.0,1.0,74.0,,,1.0,,0.0,1.0,7.0,4.0,1.0,,0.0,1.0,1.0,55.8,19.0,1.0,6.0,,7.0,7.0,40.0,4.0,2.0,470.0,10.0,5.0,23.0,2.0,35.0,2.0,265.0,5.0,2.0,32.0,78.0,34.0,14.0,19.0,,11.0,3.0,8.0,11.0,4.0,1.0,,2.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,2.0,2.0,1.0,2.0,2.0,,,,1.0,2.0,2.0,,,,,2.0,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
32,2210590,2022-04-09 15:00:00,"Vicarage Road, Watford",20957,Away,Leeds United,Watford,3,0,W,1,0,0,0,,36.0,99.0,,19.0,19.0,4.0,4.0,6.0,1.0,1.0,200.0,16.0,3.0,12.0,3.0,,7.0,,5.0,70.0,207.0,88.0,10.0,,25.0,1.0,2.0,2.0,14.0,27.0,1.0,19.0,6.0,4.0,61.0,112.0,1.0,0.0,113.0,12.0,,,,36.0,86.0,4.0,67.0,1.0,8.0,25.0,4.0,,2.0,207.0,,3.0,75.0,650.0,3.0,3.0,10.0,18.0,251.0,51.0,1.0,1.0,7.0,2.0,1.0,0.0,,3.0,26.0,392.0,65.0,,87873,4.0,154.0,,8.0,,199.0,7.0,,,25.0,7.0,85.0,1.0,,1.0,1.0,3.0,22.0,5.0,3.0,,70.0,263.0,8.0,27.0,2.0,25.0,4.0,87.0,,,,2.0,0.0,,3.0,1.0,,2.0,0.0,1.0,2.0,51.8,23.0,1.0,4.0,,1.0,,37.0,7.0,,412.0,18.0,12.0,17.0,5.0,23.0,3.0,227.0,4.0,4.0,22.0,50.0,43.0,7.0,46.0,,6.0,3.0,21.0,12.0,8.0,1.0,1.0,,,3.0,,1.0,,3.0,1.0,,,,2.0,,1.0,2.0,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,2210593,2022-05-11 19:30:00,"Elland Road, Leeds",36549,Home,Leeds United,Chelsea,0,3,L,0,1,1,0,,22.0,52.0,,19.0,18.0,3.0,3.0,2.0,,,136.0,9.0,3.0,4.0,,2.0,3.0,,,85.0,124.0,43.0,5.0,1.0,12.0,1.0,,,8.0,10.0,,18.0,,6.0,27.0,82.0,,0.0,49.0,10.0,,2.0,,38.0,45.0,,66.0,2.0,8.0,9.0,3.0,2.0,2.0,124.0,1.0,12.0,92.0,546.0,3.0,7.0,8.0,10.0,279.0,23.0,,4.0,8.0,,1.0,1.0,3.0,3.0,17.0,349.0,33.0,,80954,2.0,219.0,1.0,4.0,1.0,248.0,6.0,,,9.0,10.0,53.0,3.0,,,8.0,,19.0,5.0,5.0,1.0,53.0,298.0,13.0,15.0,,19.0,2.0,53.0,,,,,0.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,2.0,32.1,16.0,2.0,1.0,,8.0,1.0,23.0,1.0,,379.0,10.0,11.0,14.0,4.0,15.0,2.0,139.0,,5.0,10.0,22.0,20.0,8.0,16.0,2.0,2.0,3.0,10.0,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
34,2210606,2022-04-25 20:00:00,"Selhurst Park, London",25357,Away,Leeds United,Crystal Palace,0,0,D,0,0,0,0,1.0,29.0,81.0,,17.0,25.0,4.0,4.0,5.0,7.0,,174.0,20.0,2.0,8.0,,,8.0,,2.0,74.0,169.0,68.0,9.0,1.0,26.0,,,1.0,10.0,17.0,1.0,25.0,3.0,6.0,47.0,115.0,,0.0,114.0,13.0,1.0,,1.0,43.0,54.0,5.0,55.0,2.0,7.0,21.0,4.0,2.0,2.0,169.0,,14.0,89.0,616.0,6.0,3.0,11.0,12.0,255.0,31.0,,2.0,12.0,,,2.0,4.0,3.0,25.0,370.0,63.0,,87873,4.0,158.0,,5.0,,196.0,10.0,,,21.0,8.0,76.0,1.0,,1.0,15.0,,20.0,3.0,7.0,1.0,65.0,271.0,12.0,24.0,2.0,22.0,3.0,75.0,,1.0,,1.0,0.0,,6.0,7.0,,1.0,0.0,,3.0,47.5,20.0,2.0,6.0,,16.0,3.0,27.0,3.0,1.0,392.0,12.0,6.0,15.0,4.0,23.0,2.0,206.0,2.0,6.0,19.0,65.0,28.0,12.0,29.0,,5.0,3.0,15.0,8.0,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
35,2210613,2022-04-30 17:30:00,"Elland Road, Leeds",35771,Home,Leeds United,Manchester City,0,4,L,0,1,0,0,1.0,23.0,60.0,,19.0,12.0,,4.0,7.0,2.0,1.0,157.0,10.0,3.0,5.0,,1.0,4.0,,2.0,116.0,128.0,46.0,7.0,,12.0,,,,16.0,13.0,,12.0,2.0,1.0,57.0,91.0,,0.0,78.0,13.0,1.0,1.0,,30.0,30.0,4.0,56.0,,14.0,19.0,,2.0,,128.0,2.0,13.0,92.0,599.0,4.0,1.0,26.0,3.0,314.0,36.0,,2.0,6.0,,,1.0,7.0,,26.0,406.0,36.0,,87873,5.0,241.0,2.0,11.0,,282.0,8.0,,,19.0,6.0,57.0,2.0,,3.0,5.0,,11.0,6.0,6.0,1.0,43.0,329.0,3.0,23.0,,11.0,,43.0,,1.0,,,0.0,,6.0,2.0,4.0,,0.0,3.0,1.0,40.9,26.0,,,,5.0,4.0,27.0,3.0,,421.0,3.0,6.0,26.0,1.0,22.0,1.0,155.0,2.0,1.0,9.0,44.0,19.0,6.0,29.0,3.0,7.0,3.0,8.0,10.0,3.0,,,4.0,,,,,,,,,1.0,,,,,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
36,2210621,2022-05-08 14:00:00,"Emirates Stadium, London",60108,Away,Leeds United,Arsenal,1,2,L,0,2,1,0,,25.0,52.0,3.0,23.0,24.0,1.0,,2.0,7.0,,129.0,15.0,1.0,2.0,1.0,,2.0,,2.0,94.0,110.0,46.0,3.0,1.0,7.0,,,,8.0,15.0,,24.0,2.0,5.0,42.0,44.0,,0.0,29.0,15.0,2.0,,,24.0,16.0,2.0,61.0,,6.0,14.0,1.0,2.0,,110.0,2.0,15.0,80.0,517.0,1.0,1.0,7.0,2.0,259.0,30.0,,1.0,10.0,1.0,,2.0,2.0,,10.0,334.0,20.0,,80954,1.0,242.0,1.0,4.0,1.0,282.0,8.0,1.0,,14.0,13.0,52.0,,1.0,,7.0,,6.0,4.0,10.0,,58.0,285.0,12.0,15.0,,12.0,2.0,42.0,,,,,0.0,1.0,8.0,4.0,2.0,1.0,1.0,,1.0,36.8,9.0,,,,7.0,1.0,16.0,2.0,1.0,364.0,2.0,7.0,16.0,,12.0,,90.0,2.0,3.0,8.0,16.0,14.0,10.0,24.0,2.0,,3.0,11.0,8.0,2.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
37,2210633,2022-05-15 14:00:00,"Elland Road, Leeds",36638,Home,Leeds United,Brighton and Hove Albion,1,1,D,0,1,0,0,2.0,22.0,82.0,2.0,21.0,7.0,5.0,11.0,14.0,5.0,2.0,174.0,9.0,8.0,6.0,1.0,2.0,15.0,2.0,5.0,74.0,168.0,39.0,19.0,,22.0,,1.0,2.0,23.0,7.0,2.0,7.0,7.0,3.0,59.0,129.0,,0.0,119.0,16.0,1.0,2.0,,33.0,55.0,7.0,52.0,3.0,16.0,28.0,5.0,8.0,3.0,168.0,2.0,12.0,94.0,578.0,12.0,6.0,33.0,11.0,264.0,34.0,1.0,3.0,4.0,1.0,,3.0,2.0,8.0,24.0,373.0,54.0,,80954,5.0,155.0,2.0,6.0,2.0,187.0,12.0,,,28.0,10.0,62.0,,,1.0,6.0,1.0,14.0,3.0,4.0,4.0,70.0,276.0,7.0,11.0,2.0,22.0,5.0,74.0,,,,,0.0,,1.0,3.0,1.0,3.0,0.0,6.0,4.0,50.3,18.0,3.0,8.0,,7.0,4.0,31.0,8.0,,394.0,11.0,11.0,30.0,10.0,43.0,7.0,230.0,4.0,3.0,13.0,71.0,29.0,4.0,13.0,1.0,11.0,3.0,8.0,11.0,8.0,1.0,1.0,4.0,,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,,3.0,,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,
38,2210642,2022-05-22 16:00:00,"Gtech Community Stadium, Brentford",16957,Away,Leeds United,Brentford,2,1,W,0,0,0,1,3.0,31.0,75.0,1.0,30.0,8.0,8.0,7.0,5.0,4.0,1.0,165.0,14.0,1.0,8.0,2.0,3.0,6.0,,6.0,109.0,159.0,43.0,14.0,1.0,28.0,1.0,,,14.0,6.0,3.0,8.0,2.0,6.0,51.0,164.0,1.0,0.0,132.0,13.0,1.0,2.0,,39.0,79.0,4.0,59.0,1.0,12.0,12.0,9.0,2.0,4.0,159.0,1.0,12.0,105.0,596.0,6.0,5.0,20.0,14.0,314.0,24.0,1.0,7.0,6.0,,1.0,1.0,1.0,2.0,20.0,416.0,68.0,,80954,3.0,163.0,1.0,8.0,2.0,189.0,9.0,,,12.0,11.0,60.0,4.0,,2.0,5.0,,13.0,2.0,5.0,4.0,71.0,326.0,9.0,7.0,,27.0,1.0,88.0,,,,,0.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,,51.3,15.0,,6.0,,5.0,2.0,41.0,2.0,,438.0,14.0,6.0,26.0,6.0,26.0,2.0,263.0,7.0,4.0,16.0,80.0,35.0,6.0,10.0,1.0,8.0,2.0,14.0,7.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,2.0,,,,,1.0,,1.0,,,,,,1.0,3.0,,,,,,,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0
