gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,saves,attOboxBlocked,attMissLeft,divingSave,attMissRight,crosses18yardplus,errorLeadToShot,totalOffside,attSvLowRight,punches,savedIbox,attCmissHighRight,shieldBallOop,effectiveBlockedCross,blockedCross,savedObox,accuratePullBack,attFreekickTotal,freekickTotal,sixYardBlock,attSvHighCentre,attFreekickMiss,handBall,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,attIboxOwnGoal,bigChanceScored,attGoalLowLeft,attOneOnOne,contentiousDecision,accurateThroughBall,attHdGoal,goalAssistSetplay,ptsGainedLosingPos,foulThrowIn,clearanceOffLine,attCmissRight,hitWoodwork,goalAssistDeadball,attLfGoal,attGoalHighCentre,attFreekickTarget,penaltySave,expectedGoalsOnTargetConceded,secondYellow,expectedAssists,attObxdLeft,attCmissLeft,expectedGoals,attPenTarget,penaltyWon,attHdTarget,attCmissHigh,attPenGoal,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsFreekick,postScoringAtt,attIboxPost,attPostLeft,attOboxPost,attPostRight,ptsDroppedWinningPos,cleanSheet,attLgCentre,attGoalHighRight,attSvHighLeft,attPostHigh,defenderGoals
27,2210538,2022-02-26 15:00:00,"Old Trafford, Manchester",73152,Away,Watford,Manchester United,0,0,D,0,0,0,0,,21.0,71.0,,2.0,28.0,28.0,6.0,2.0,4.0,1.0,157.0,,12.0,3.0,13.0,,,6.0,2.0,54.0,148.0,47.0,10.0,21.0,1.0,,1.0,,1.0,,7.0,12.0,1.0,28.0,3.0,7.0,39.0,106.0,1.0,,0.0,86.0,7.0,,,1.0,,1.0,44.0,49.0,3.0,68.0,2.0,4.0,20.0,6.0,4.0,148.0,,14.0,56.0,545.0,5.0,8.0,11.0,22.0,227.0,38.0,,5.0,8.0,,0.0,5.0,3.0,13.0,310.0,52.0,,9089,1.0,133.0,,2.0,,,158.0,5.0,,,20.0,17.0,58.0,2.0,,20.0,8.0,7.0,,77.0,236.0,2.0,10.0,1.0,24.0,3.0,77.0,,,0.0,,4.0,,,1.0,0.0,2.0,,1.0,32.7,10.0,1.0,5.0,1.0,2.0,3.0,31.0,3.0,,1.0,335.0,,22.0,11.0,19.0,5.0,13.0,1.0,1.0,184.0,7.0,5.0,10.0,44.0,16.0,,8.0,22.0,,7.0,3.0,22.0,15.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,2.0,,2.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
28,2210549,2022-03-06 14:00:00,"Vicarage Road, Watford",21142,Home,Watford,Arsenal,2,3,L,1,2,0,0,1.0,31.0,67.0,1.0,1.0,23.0,17.0,6.0,4.0,7.0,2.0,183.0,,16.0,2.0,13.0,2.0,2.0,10.0,7.0,92.0,146.0,72.0,13.0,9.0,2.0,2.0,1.0,2.0,1.0,,10.0,6.0,3.0,17.0,1.0,7.0,40.0,136.0,,,0.0,124.0,5.0,2.0,1.0,2.0,,1.0,55.0,67.0,7.0,59.0,4.0,9.0,16.0,6.0,1.0,146.0,2.0,11.0,94.0,629.0,8.0,9.0,25.0,16.0,310.0,36.0,,4.0,11.0,2.0,1.0,3.0,3.0,36.0,403.0,64.0,,9089,2.0,192.0,1.0,6.0,1.0,,223.0,3.0,2.0,,16.0,9.0,42.0,2.0,2.0,12.0,5.0,6.0,2.0,62.0,326.0,12.0,8.0,,19.0,,67.0,2.0,,0.0,1.0,5.0,2.0,3.0,2.0,0.0,2.0,2.0,,43.0,35.0,,7.0,2.0,2.0,3.0,32.0,1.0,,1.0,428.0,,16.0,12.0,17.0,3.0,20.0,,2.0,215.0,9.0,6.0,31.0,72.0,18.0,1.0,11.0,17.0,2.0,10.0,2.0,21.0,4.0,1.0,3.0,1.0,2.0,1.0,,,3.0,1.0,2.0,,,1.0,,,1.0,1.0,,,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,
29,2210559,2022-03-13 14:00:00,"St. Mary's Stadium, Southampton",28863,Away,Watford,Southampton,2,1,W,2,1,0,0,,29.0,65.0,1.0,1.0,27.0,32.0,3.0,1.0,6.0,3.0,164.0,,17.0,2.0,8.0,2.0,,7.0,5.0,43.0,156.0,59.0,9.0,23.0,3.0,4.0,,1.0,1.0,,12.0,15.0,,32.0,2.0,1.0,39.0,120.0,1.0,,0.0,119.0,12.0,4.0,,1.0,,,70.0,60.0,4.0,59.0,6.0,10.0,18.0,3.0,3.0,156.0,2.0,10.0,40.0,515.0,6.0,7.0,24.0,20.0,192.0,31.0,,11.0,17.0,1.0,2.0,2.0,3.0,16.0,285.0,71.0,,9089,4.0,85.0,1.0,7.0,,,106.0,10.0,1.0,,18.0,7.0,58.0,3.0,2.0,21.0,3.0,1.0,1.0,72.0,203.0,7.0,7.0,,28.0,,80.0,4.0,,0.0,1.0,11.0,2.0,1.0,1.0,0.0,2.0,1.0,,37.5,12.0,,4.0,2.0,3.0,1.0,28.0,3.0,,,306.0,,20.0,7.0,15.0,3.0,23.0,,,212.0,8.0,1.0,28.0,68.0,23.0,2.0,17.0,18.0,1.0,9.0,3.0,18.0,12.0,3.0,,5.0,,1.0,2.0,,3.0,,,,1.0,5.0,,,2.0,2.0,1.0,,,,,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2210569,2022-05-11 19:45:00,"Vicarage Road, Watford",20653,Home,Watford,Everton,0,0,D,0,0,0,0,,38.0,69.0,,,25.0,19.0,3.0,1.0,3.0,,159.0,,17.0,3.0,17.0,,6.0,2.0,,115.0,141.0,65.0,6.0,26.0,,,1.0,,,,10.0,10.0,,19.0,1.0,10.0,31.0,173.0,,,0.0,97.0,5.0,,,,6.0,1.0,44.0,68.0,,68.0,1.0,9.0,14.0,3.0,2.0,141.0,,11.0,128.0,678.0,,7.0,9.0,12.0,375.0,39.0,1.0,6.0,17.0,,1.0,7.0,2.0,12.0,455.0,51.0,2.0,9089,2.0,215.0,,3.0,5.0,,250.0,3.0,,,14.0,4.0,65.0,2.0,,18.0,5.0,1.0,2.0,59.0,385.0,12.0,10.0,2.0,22.0,,74.0,,,0.0,2.0,13.0,,,2.0,0.0,3.0,,1.0,48.2,10.0,1.0,3.0,,3.0,1.0,42.0,1.0,,1.0,470.0,,12.0,14.0,15.0,5.0,17.0,,3.0,230.0,4.0,9.0,21.0,72.0,18.0,,17.0,15.0,,,2.0,28.0,7.0,1.0,,5.0,1.0,1.0,2.0,1.0,,,1.0,,,4.0,,,2.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
31,2210576,2022-04-02 12:30:00,"Anfield, Liverpool",53104,Away,Watford,Liverpool,0,2,L,0,1,0,0,,24.0,61.0,,1.0,14.0,23.0,1.0,1.0,4.0,,127.0,,12.0,2.0,5.0,,2.0,5.0,2.0,49.0,154.0,50.0,5.0,21.0,2.0,2.0,,,1.0,,9.0,8.0,,23.0,3.0,,35.0,77.0,,1.0,0.0,68.0,8.0,2.0,,,1.0,1.0,45.0,21.0,3.0,37.0,3.0,6.0,16.0,1.0,1.0,154.0,2.0,12.0,50.0,457.0,4.0,2.0,6.0,14.0,160.0,32.0,,,9.0,,1.0,7.0,2.0,15.0,236.0,40.0,,9089,3.0,91.0,2.0,3.0,,1.0,125.0,4.0,,,16.0,15.0,58.0,3.0,,15.0,8.0,1.0,1.0,63.0,166.0,9.0,6.0,1.0,23.0,1.0,61.0,2.0,,0.0,3.0,9.0,,2.0,,0.0,1.0,,2.0,26.9,9.0,,2.0,1.0,3.0,1.0,19.0,3.0,1.0,1.0,263.0,1.0,14.0,14.0,16.0,2.0,15.0,1.0,1.0,147.0,2.0,,13.0,39.0,20.0,,9.0,23.0,2.0,4.0,3.0,14.0,9.0,3.0,1.0,1.0,,,,1.0,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
32,2210590,2022-04-09 15:00:00,"Vicarage Road, Watford",20957,Home,Watford,Leeds United,0,3,L,0,1,0,0,1.0,36.0,91.0,,,20.0,18.0,4.0,4.0,3.0,,172.0,,20.0,4.0,27.0,,5.0,5.0,1.0,81.0,222.0,85.0,8.0,22.0,1.0,,1.0,,,,16.0,15.0,,18.0,3.0,11.0,41.0,144.0,2.0,,0.0,126.0,8.0,,,,3.0,,77.0,44.0,1.0,56.0,,13.0,24.0,5.0,5.0,222.0,2.0,6.0,71.0,659.0,4.0,10.0,13.0,14.0,242.0,43.0,,5.0,10.0,,2.0,,4.0,40.0,357.0,59.0,,9089,1.0,113.0,2.0,7.0,1.0,,145.0,5.0,,,24.0,10.0,88.0,2.0,,23.0,4.0,1.0,2.0,58.0,253.0,12.0,12.0,1.0,25.0,1.0,82.0,,,0.0,6.0,8.0,,3.0,2.0,0.0,2.0,,1.0,48.2,35.0,,7.0,,2.0,,36.0,3.0,,,380.0,,14.0,14.0,22.0,7.0,19.0,2.0,2.0,251.0,3.0,9.0,25.0,73.0,37.0,,10.0,21.0,2.0,5.0,3.0,59.0,11.0,3.0,,2.0,,,2.0,3.0,3.0,,3.0,,,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,
33,2210598,2022-04-16 15:00:00,"Vicarage Road, Watford",20747,Home,Watford,Brentford,1,2,L,0,1,0,0,,29.0,86.0,,3.0,30.0,20.0,4.0,6.0,13.0,2.0,172.0,,18.0,7.0,5.0,1.0,4.0,10.0,4.0,75.0,159.0,52.0,18.0,18.0,1.0,,1.0,1.0,,,22.0,11.0,2.0,20.0,6.0,5.0,33.0,175.0,2.0,,0.0,132.0,11.0,,,1.0,1.0,1.0,51.0,73.0,4.0,59.0,,16.0,17.0,5.0,1.0,159.0,1.0,9.0,89.0,606.0,9.0,8.0,26.0,17.0,291.0,43.0,,12.0,13.0,1.0,2.0,4.0,6.0,24.0,378.0,57.0,,9089,8.0,132.0,2.0,11.0,2.0,,162.0,9.0,1.0,1.0,17.0,5.0,63.0,2.0,1.0,22.0,7.0,1.0,1.0,69.0,300.0,8.0,12.0,,32.0,3.0,71.0,,,0.0,,5.0,1.0,2.0,2.0,0.0,6.0,,3.0,50.8,19.0,2.0,8.0,2.0,2.0,5.0,36.0,6.0,,1.0,395.0,,17.0,13.0,15.0,9.0,34.0,1.0,7.0,255.0,9.0,4.0,26.0,92.0,27.0,1.0,13.0,13.0,2.0,11.0,3.0,14.0,8.0,6.0,1.0,3.0,2.0,3.0,,2.0,4.0,,,1.0,,1.0,,,1.0,1.0,2.0,,2.0,2.0,,,,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,2.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,
34,2210609,2022-04-23 15:00:00,"Etihad Stadium, Manchester",53013,Away,Watford,Manchester City,1,5,L,1,3,0,0,1.0,27.0,50.0,1.0,1.0,17.0,30.0,,1.0,5.0,1.0,110.0,,17.0,3.0,12.0,1.0,1.0,5.0,2.0,46.0,116.0,36.0,5.0,6.0,1.0,,2.0,1.0,1.0,,8.0,7.0,,30.0,3.0,2.0,30.0,76.0,,,0.0,59.0,7.0,,,,1.0,1.0,29.0,32.0,3.0,43.0,3.0,5.0,14.0,,,116.0,1.0,18.0,48.0,428.0,3.0,5.0,10.0,16.0,166.0,31.0,,1.0,16.0,1.0,0.0,5.0,2.0,12.0,223.0,29.0,1.0,9089,2.0,107.0,1.0,1.0,1.0,1.0,129.0,4.0,,1.0,14.0,8.0,46.0,,1.0,16.0,3.0,2.0,1.0,43.0,180.0,9.0,8.0,1.0,7.0,2.0,50.0,,,0.0,,11.0,1.0,5.0,1.0,0.0,2.0,1.0,1.0,26.0,11.0,1.0,1.0,1.0,,1.0,20.0,4.0,1.0,1.0,247.0,1.0,16.0,11.0,12.0,2.0,10.0,1.0,2.0,126.0,3.0,2.0,4.0,36.0,12.0,,16.0,11.0,4.0,2.0,3.0,26.0,7.0,4.0,,4.0,,1.0,3.0,,3.0,,2.0,,,3.0,,,,,,,,,,,,,1.0,1.0,,5.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0
35,2210618,2022-04-30 15:00:00,"Vicarage Road, Watford",20738,Home,Watford,Burnley,1,2,L,1,0,0,0,,26.0,73.0,,2.0,17.0,29.0,3.0,4.0,9.0,1.0,154.0,,10.0,6.0,6.0,1.0,5.0,8.0,1.0,59.0,179.0,61.0,13.0,23.0,1.0,,,,,,26.0,8.0,,29.0,5.0,,38.0,114.0,4.0,,0.0,115.0,13.0,,,,4.0,2.0,42.0,77.0,3.0,55.0,1.0,21.0,21.0,4.0,3.0,179.0,,12.0,66.0,564.0,6.0,6.0,27.0,8.0,208.0,37.0,1.0,8.0,14.0,,1.0,6.0,5.0,29.0,318.0,54.0,2.0,9089,7.0,105.0,,11.0,2.0,,137.0,7.0,,1.0,21.0,8.0,54.0,3.0,,18.0,5.0,1.0,1.0,70.0,213.0,9.0,2.0,2.0,34.0,1.0,82.0,,,0.0,,6.0,1.0,2.0,4.0,0.0,5.0,,2.0,46.5,26.0,2.0,5.0,1.0,3.0,3.0,30.0,5.0,,2.0,334.0,,8.0,11.0,10.0,9.0,32.0,1.0,5.0,223.0,7.0,,30.0,67.0,26.0,,14.0,16.0,2.0,9.0,,11.0,12.0,5.0,,4.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,,1.0,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,3.0,,,,,1.0,
36,2210626,2022-05-07 15:00:00,"Selhurst Park, London",24622,Away,Watford,Crystal Palace,0,1,L,0,1,1,0,,19.0,56.0,,1.0,23.0,21.0,3.0,3.0,3.0,,116.0,,12.0,3.0,5.0,,1.0,4.0,1.0,41.0,116.0,49.0,6.0,14.0,1.0,,,,,,16.0,10.0,,21.0,5.0,5.0,43.0,75.0,,,0.0,64.0,18.0,,,1.0,1.0,2.0,40.0,34.0,3.0,41.0,1.0,11.0,14.0,3.0,1.0,116.0,,12.0,50.0,418.0,1.0,7.0,10.0,11.0,161.0,30.0,,2.0,8.0,,1.0,4.0,1.0,16.0,223.0,46.0,1.0,9089,2.0,101.0,,8.0,1.0,1.0,124.0,9.0,,,14.0,8.0,53.0,4.0,,14.0,3.0,4.0,1.0,60.0,173.0,11.0,12.0,3.0,9.0,2.0,66.0,,,0.0,1.0,8.0,,1.0,1.0,1.0,1.0,,3.0,32.3,14.0,1.0,3.0,,4.0,3.0,31.0,5.0,1.0,2.0,248.0,1.0,11.0,7.0,19.0,2.0,17.0,2.0,1.0,140.0,,4.0,17.0,33.0,12.0,,8.0,16.0,1.0,3.0,3.0,9.0,5.0,5.0,,6.0,2.0,,4.0,1.0,2.0,,,,,6.0,,,3.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
37,2210638,2022-05-15 14:00:00,"Vicarage Road, Watford",20257,Home,Watford,Leicester City,1,5,L,1,2,0,0,,27.0,57.0,,,28.0,10.0,2.0,2.0,11.0,4.0,141.0,1.0,18.0,9.0,12.0,1.0,4.0,10.0,5.0,75.0,136.0,50.0,13.0,19.0,3.0,,2.0,,,,24.0,10.0,1.0,10.0,6.0,3.0,29.0,157.0,1.0,,0.0,116.0,4.0,,,,4.0,,57.0,54.0,4.0,59.0,3.0,18.0,18.0,2.0,1.0,136.0,3.0,10.0,76.0,537.0,6.0,5.0,27.0,16.0,257.0,24.0,2.0,4.0,5.0,,0.0,,6.0,19.0,327.0,52.0,2.0,9089,4.0,125.0,4.0,5.0,1.0,,146.0,2.0,1.0,,18.0,11.0,54.0,3.0,,12.0,3.0,5.0,1.0,56.0,273.0,6.0,5.0,4.0,16.0,6.0,56.0,,,0.0,1.0,3.0,1.0,5.0,3.0,0.0,6.0,,4.0,40.5,18.0,4.0,4.0,1.0,3.0,,33.0,7.0,,,351.0,,16.0,18.0,16.0,8.0,28.0,3.0,6.0,229.0,7.0,2.0,13.0,79.0,23.0,1.0,5.0,19.0,5.0,6.0,2.0,20.0,5.0,7.0,,2.0,,2.0,2.0,1.0,9.0,,3.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,2.0,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,3.0,,,,,1.0,
38,2210645,2022-05-22 16:00:00,"Stamford Bridge, London",32089,Away,Watford,Chelsea,1,2,L,0,1,0,0,,23.0,55.0,,,21.0,16.0,4.0,4.0,3.0,1.0,130.0,,8.0,4.0,7.0,1.0,1.0,6.0,3.0,53.0,120.0,49.0,8.0,15.0,2.0,,1.0,1.0,1.0,,11.0,13.0,,16.0,3.0,4.0,38.0,105.0,,,0.0,69.0,9.0,,,,,,33.0,59.0,5.0,41.0,3.0,8.0,15.0,5.0,2.0,120.0,2.0,12.0,57.0,460.0,5.0,4.0,14.0,14.0,196.0,26.0,,1.0,8.0,1.0,0.0,4.0,1.0,11.0,257.0,35.0,,85624,1.0,108.0,1.0,5.0,1.0,,133.0,6.0,,,15.0,7.0,61.0,4.0,1.0,3.0,7.0,3.0,,48.0,209.0,8.0,6.0,,11.0,,50.0,,1.0,0.0,,3.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,28.3,7.0,,2.0,,4.0,3.0,28.0,3.0,,,281.0,,14.0,18.0,20.0,2.0,17.0,1.0,,159.0,3.0,4.0,9.0,43.0,17.0,,8.0,25.0,2.0,6.0,3.0,21.0,5.0,3.0,1.0,6.0,3.0,1.0,2.0,1.0,3.0,,2.0,1.0,,2.0,,,1.0,1.0,4.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
