gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,goodHighClaim,interceptionsInBox,attMissRight,totalKeeperSweeper,accurateThroughBall,defenderGoals,attFastbreak,punches,attCmissHighRight,totalHighClaim,savedObox,attFreekickTotal,attOboxGoal,freekickTotal,sixYardBlock,attSvLowRight,errorLeadToGoal,attOneOnOne,divingSave,forwardGoals,goalsConcededObox,attCmissRight,ptsGainedLosingPos,attLgCentre,clearanceOffLine,accurateFreekickCross,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attCmissHigh,ptsDroppedWinningPos,attFreekickPost,attPostHigh,attSvHighRight,contentiousDecision,attFreekickTarget,errorLeadToShot,attFreekickMiss,attGoalHighRight,attCmissHighLeft,attSvHighLeft,foulThrowIn,attGoalHighCentre,attHdPost,cleanSheet,attPenTarget
27,2367801,2024-03-02 15:00:00,"Craven Cottage, London",24460,Away,Brighton and Hove Albion,Fulham,0,3,L,0,2,0,0,1.0,,,55.0,,2.0,21.0,12.0,5.0,5.0,10.0,2.0,4.0,213.0,,6.0,11.0,,2.0,13.0,,5.0,218.0,144.0,60.0,15.0,1.0,12.0,3.0,1.0,1.0,,3.0,1.0,28.0,1.0,12.0,2.0,12.0,6.0,10.0,25.0,321.0,2.0,,0.0,195.0,10.0,,2.0,1.0,91.0,78.0,6.0,119.0,22.0,24.0,5.0,6.0,2.0,144.0,1.0,9.0,,,192.0,948.0,12.0,2.0,41.0,1.0,1.0,8.0,635.0,19.0,,1.0,7.0,,2.0,3.0,7.0,17.0,716.0,77.0,83299,7.0,345.0,2.0,15.0,,,362.0,10.0,,,,12.0,6.0,49.0,3.0,4.0,6.0,,11.0,3.0,5.0,2.0,,40.0,660.0,16.0,4.0,1.0,8.0,4.0,84.0,,,0.0,,2.0,,,,3.0,,0.0,3.0,,,2.0,70.5,16.0,1.0,4.0,2.0,,6.0,3.0,62.0,6.0,,742.0,,8.0,14.0,15.0,7.0,1.0,45.0,3.0,4.0,408.0,8.0,10.0,17.0,149.0,24.0,,7.0,16.0,,3.0,11.0,5.0,21.0,,12.0,6.0,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,
28,2367811,2024-03-10 14:00:00,"American Express Stadium, Falmer",31505,Home,Brighton and Hove Albion,Nottingham Forest,1,0,W,1,0,0,0,,2.0,,50.0,,3.0,28.0,19.0,4.0,4.0,6.0,4.0,,207.0,,3.0,8.0,1.0,5.0,6.0,,3.0,160.0,107.0,39.0,10.0,,6.0,2.0,1.0,,,1.0,1.0,16.0,,5.0,1.0,19.0,4.0,15.0,32.0,226.0,,,0.0,117.0,14.0,,1.0,3.0,77.0,61.0,4.0,149.0,12.0,26.0,4.0,2.0,3.0,107.0,,6.0,,,164.0,847.0,4.0,3.0,17.0,1.0,,5.0,600.0,20.0,2.0,2.0,9.0,,4.0,1.0,2.0,7.0,655.0,44.0,83299,4.0,400.0,,7.0,3.0,,420.0,14.0,,,,8.0,10.0,41.0,1.0,1.0,5.0,,19.0,3.0,10.0,,,39.0,623.0,13.0,8.0,2.0,7.0,2.0,70.0,,1.0,0.0,2.0,3.0,2.0,1.0,,,1.0,0.0,1.0,,1.0,3.0,64.0,5.0,,4.0,,1.0,5.0,3.0,57.0,6.0,,680.0,,5.0,8.0,23.0,4.0,,17.0,2.0,1.0,276.0,3.0,15.0,9.0,90.0,21.0,,9.0,9.0,,,5.0,5.0,13.0,,8.0,6.0,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,
29,2367819,2024-04-25 20:00:00,"American Express Stadium, Falmer",31596,Home,Brighton and Hove Albion,Manchester City,0,4,L,0,3,0,0,,1.0,,40.0,,1.0,15.0,14.0,2.0,3.0,5.0,2.0,1.0,110.0,,4.0,7.0,,,4.0,1.0,3.0,123.0,83.0,27.0,7.0,,2.0,2.0,1.0,,,,1.0,12.0,,6.0,1.0,14.0,4.0,5.0,18.0,89.0,,,0.0,53.0,10.0,,,,25.0,30.0,2.0,78.0,8.0,16.0,2.0,2.0,1.0,83.0,1.0,10.0,,,110.0,555.0,3.0,2.0,17.0,1.0,,10.0,362.0,17.0,,5.0,5.0,,2.0,4.0,2.0,9.0,406.0,28.0,83299,2.0,291.0,1.0,6.0,,,310.0,5.0,,,1.0,5.0,6.0,27.0,1.0,5.0,4.0,,14.0,4.0,6.0,1.0,,27.0,376.0,3.0,4.0,1.0,10.0,1.0,29.0,,1.0,0.0,,4.0,1.0,,,4.0,,0.0,2.0,,1.0,1.0,35.3,9.0,,4.0,2.0,1.0,4.0,1.0,17.0,4.0,,421.0,,10.0,8.0,10.0,3.0,,13.0,2.0,2.0,123.0,3.0,5.0,2.0,37.0,14.0,1.0,5.0,15.0,,3.0,6.0,4.0,10.0,1.0,5.0,4.0,,,,3.0,,,,2.0,1.0,3.0,1.0,,,,,,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2367832,2024-03-31 14:00:00,"Anfield, Liverpool",60061,Away,Brighton and Hove Albion,Liverpool,1,2,L,1,1,0,0,1.0,,,58.0,1.0,1.0,19.0,23.0,2.0,4.0,7.0,6.0,,154.0,,3.0,8.0,1.0,2.0,6.0,1.0,3.0,132.0,124.0,64.0,9.0,1.0,10.0,2.0,1.0,,,1.0,1.0,16.0,,14.0,,23.0,4.0,4.0,30.0,116.0,,,0.0,83.0,6.0,,,3.0,63.0,18.0,3.0,73.0,12.0,22.0,2.0,5.0,1.0,124.0,,20.0,,,125.0,694.0,4.0,,15.0,2.0,,9.0,375.0,24.0,2.0,1.0,9.0,,3.0,10.0,3.0,6.0,444.0,35.0,83299,5.0,301.0,,4.0,1.0,,334.0,5.0,,1.0,2.0,8.0,15.0,43.0,,3.0,6.0,1.0,15.0,10.0,15.0,,,41.0,414.0,20.0,10.0,2.0,13.0,1.0,43.0,,,0.0,3.0,8.0,5.0,1.0,,2.0,,0.0,2.0,,,2.0,45.7,6.0,,2.0,1.0,,7.0,2.0,28.0,4.0,,484.0,,9.0,8.0,16.0,4.0,,25.0,1.0,3.0,166.0,3.0,3.0,8.0,59.0,22.0,,9.0,28.0,,2.0,7.0,4.0,19.0,,8.0,4.0,,,,,,,3.0,1.0,1.0,,,,,,,3.0,1.0,,,,,1.0,,,3.0,1.0,,1.0,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,,
31,2367840,2024-04-03 19:30:00,"Gtech Community Stadium, Brentford",17024,Away,Brighton and Hove Albion,Brentford,0,0,D,0,0,0,0,1.0,2.0,,50.0,,3.0,17.0,12.0,11.0,11.0,13.0,2.0,2.0,172.0,,7.0,13.0,,1.0,21.0,,6.0,177.0,105.0,51.0,24.0,4.0,14.0,3.0,,,,2.0,1.0,20.0,,7.0,3.0,12.0,4.0,22.0,25.0,403.0,1.0,,0.0,239.0,12.0,,1.0,,132.0,29.0,11.0,117.0,16.0,13.0,11.0,8.0,4.0,105.0,1.0,4.0,,,196.0,842.0,20.0,4.0,27.0,2.0,,8.0,583.0,9.0,1.0,4.0,8.0,,1.0,1.0,10.0,10.0,639.0,65.0,83299,8.0,209.0,1.0,8.0,,,224.0,12.0,,,,8.0,8.0,47.0,1.0,,6.0,,20.0,1.0,8.0,3.0,,36.0,605.0,8.0,8.0,1.0,15.0,2.0,61.0,,1.0,0.0,,1.0,2.0,,,,2.0,0.0,4.0,,2.0,4.0,67.0,10.0,2.0,3.0,5.0,2.0,6.0,7.0,42.0,5.0,,662.0,,8.0,8.0,16.0,11.0,,30.0,3.0,7.0,458.0,9.0,21.0,16.0,213.0,28.0,2.0,8.0,14.0,,,22.0,4.0,20.0,2.0,8.0,5.0,,,1.0,,,1.0,2.0,1.0,5.0,,1.0,,1.0,,1.0,2.0,,,,,,1.0,,,1.0,,,4.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,
32,2367849,2024-04-06 17:30:00,"American Express Stadium, Falmer",31677,Home,Brighton and Hove Albion,Arsenal,0,3,L,0,1,0,0,1.0,1.0,,41.0,,2.0,15.0,17.0,3.0,4.0,7.0,4.0,1.0,164.0,,2.0,5.0,,4.0,5.0,,2.0,142.0,118.0,45.0,10.0,,11.0,,2.0,,,1.0,2.0,20.0,,9.0,2.0,17.0,7.0,11.0,31.0,219.0,1.0,,0.0,146.0,14.0,,,1.0,96.0,28.0,1.0,84.0,13.0,27.0,3.0,5.0,1.0,118.0,,16.0,,,139.0,711.0,4.0,3.0,21.0,,,10.0,440.0,22.0,1.0,3.0,8.0,,1.0,4.0,4.0,14.0,504.0,43.0,83299,4.0,247.0,,7.0,,1.0,274.0,12.0,,,,13.0,6.0,46.0,,2.0,3.0,,16.0,4.0,6.0,1.0,,34.0,464.0,12.0,9.0,1.0,10.0,4.0,38.0,,,0.0,2.0,7.0,2.0,,,3.0,2.0,0.0,1.0,,,1.0,54.7,13.0,1.0,2.0,1.0,,3.0,2.0,22.0,8.0,1.0,529.0,1.0,10.0,6.0,15.0,6.0,,23.0,1.0,5.0,275.0,5.0,8.0,9.0,121.0,12.0,1.0,8.0,19.0,,3.0,6.0,3.0,13.0,1.0,13.0,8.0,,,,1.0,,,,2.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
33,2367861,2024-04-13 15:00:00,"Turf Moor, Burnley",20687,Away,Brighton and Hove Albion,Burnley,1,1,D,0,0,0,0,1.0,1.0,,63.0,,4.0,24.0,14.0,10.0,4.0,10.0,2.0,7.0,192.0,,4.0,8.0,1.0,2.0,13.0,,8.0,144.0,135.0,55.0,20.0,2.0,9.0,2.0,,,,2.0,4.0,15.0,,8.0,6.0,14.0,5.0,18.0,24.0,184.0,1.0,,0.0,112.0,8.0,,2.0,1.0,43.0,24.0,8.0,98.0,10.0,18.0,10.0,5.0,2.0,135.0,,6.0,,,133.0,761.0,11.0,1.0,36.0,,,5.0,463.0,22.0,,13.0,5.0,,2.0,2.0,5.0,10.0,541.0,45.0,83299,5.0,308.0,,4.0,,,334.0,6.0,,,1.0,9.0,8.0,45.0,2.0,4.0,8.0,,17.0,5.0,8.0,1.0,,57.0,488.0,18.0,7.0,2.0,36.0,2.0,73.0,,2.0,0.0,1.0,4.0,,1.0,,1.0,,0.0,2.0,,2.0,4.0,55.5,9.0,3.0,4.0,3.0,3.0,8.0,6.0,42.0,5.0,,567.0,,5.0,9.0,15.0,6.0,,26.0,2.0,4.0,248.0,12.0,17.0,13.0,87.0,23.0,2.0,5.0,16.0,,1.0,17.0,5.0,21.0,2.0,9.0,5.0,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
34,2367869,2024-05-15 19:45:00,"American Express Stadium, Falmer",31555,Home,Brighton and Hove Albion,Chelsea,1,2,L,0,1,0,1,,1.0,1.0,51.0,,1.0,16.0,11.0,4.0,4.0,8.0,4.0,,142.0,,12.0,8.0,1.0,1.0,10.0,,2.0,149.0,109.0,51.0,12.0,2.0,7.0,,1.0,2.0,1.0,1.0,1.0,31.0,2.0,6.0,1.0,11.0,3.0,11.0,31.0,263.0,1.0,,0.0,145.0,13.0,,,2.0,73.0,59.0,3.0,94.0,28.0,14.0,4.0,10.0,1.0,109.0,2.0,7.0,1.0,1.0,170.0,729.0,9.0,2.0,39.0,,2.0,5.0,485.0,20.0,2.0,1.0,6.0,1.0,2.0,3.0,7.0,15.0,535.0,58.0,83299,4.0,252.0,1.0,16.0,,,267.0,10.0,,1.0,,3.0,3.0,41.0,3.0,1.0,5.0,1.0,19.0,7.0,3.0,,,26.0,503.0,14.0,8.0,,2.0,2.0,39.0,,1.0,0.0,3.0,6.0,1.0,1.0,,2.0,,0.0,11.0,1.0,1.0,2.0,54.7,14.0,1.0,5.0,,,5.0,3.0,30.0,4.0,,555.0,,5.0,4.0,16.0,7.0,,39.0,1.0,4.0,319.0,5.0,10.0,12.0,114.0,19.0,1.0,6.0,17.0,,2.0,10.0,5.0,18.0,1.0,3.0,4.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,1.0,,,3.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,
35,2367878,2024-04-28 14:00:00,"Vitality Stadium, Bournemouth",11188,Away,Brighton and Hove Albion,Bournemouth,0,3,L,0,1,0,0,1.0,,,52.0,,3.0,18.0,18.0,4.0,4.0,9.0,3.0,1.0,203.0,,6.0,9.0,,2.0,11.0,,1.0,154.0,121.0,60.0,13.0,3.0,14.0,1.0,,,,,1.0,25.0,,14.0,,18.0,2.0,13.0,24.0,210.0,3.0,,0.0,146.0,10.0,,,2.0,61.0,48.0,7.0,93.0,23.0,16.0,4.0,11.0,1.0,121.0,1.0,12.0,,,157.0,811.0,11.0,4.0,27.0,,,5.0,520.0,22.0,,4.0,6.0,,2.0,5.0,4.0,21.0,586.0,54.0,83299,6.0,335.0,1.0,10.0,2.0,,359.0,6.0,,,,8.0,4.0,39.0,,1.0,6.0,,21.0,3.0,4.0,,,33.0,539.0,14.0,7.0,,9.0,1.0,50.0,,1.0,0.0,2.0,8.0,1.0,,,3.0,3.0,0.0,5.0,,,3.0,70.0,20.0,2.0,5.0,1.0,,6.0,6.0,34.0,2.0,,607.0,,5.0,4.0,13.0,6.0,,33.0,1.0,5.0,273.0,6.0,12.0,11.0,111.0,16.0,2.0,6.0,26.0,,3.0,10.0,5.0,14.0,2.0,8.0,2.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,1.0,,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
36,2367890,2024-05-05 14:00:00,"American Express Stadium, Falmer",31596,Home,Brighton and Hove Albion,Aston Villa,1,0,W,0,0,0,0,,4.0,1.0,39.0,1.0,2.0,12.0,16.0,4.0,5.0,11.0,1.0,3.0,153.0,,5.0,10.0,1.0,3.0,12.0,,8.0,124.0,107.0,42.0,15.0,2.0,7.0,6.0,,,,1.0,2.0,16.0,,12.0,1.0,16.0,5.0,13.0,29.0,130.0,1.0,1.0,0.0,105.0,13.0,1.0,6.0,1.0,51.0,30.0,9.0,78.0,11.0,11.0,4.0,3.0,1.0,107.0,4.0,1.0,,,135.0,647.0,11.0,2.0,26.0,,,9.0,407.0,16.0,,2.0,6.0,,2.0,,3.0,14.0,472.0,35.0,83299,5.0,298.0,5.0,7.0,1.0,,320.0,6.0,,,1.0,5.0,4.0,43.0,6.0,4.0,4.0,,7.0,1.0,4.0,,,27.0,423.0,8.0,5.0,1.0,7.0,1.0,36.0,,1.0,0.0,,3.0,1.0,1.0,,,1.0,0.0,2.0,,,3.0,52.5,14.0,2.0,1.0,4.0,,4.0,4.0,19.0,7.0,,490.0,,9.0,13.0,14.0,3.0,,26.0,3.0,2.0,186.0,7.0,13.0,7.0,75.0,14.0,1.0,6.0,17.0,1.0,,12.0,4.0,15.0,1.0,5.0,7.0,,,1.0,2.0,,1.0,,1.0,,2.0,4.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0
37,2367903,2024-05-11 15:00:00,"St. James' Park, Newcastle",51997,Away,Brighton and Hove Albion,Newcastle United,1,1,D,1,1,0,0,1.0,,1.0,49.0,1.0,5.0,16.0,27.0,5.0,2.0,10.0,7.0,3.0,166.0,,4.0,7.0,1.0,1.0,10.0,,4.0,122.0,110.0,42.0,15.0,2.0,13.0,1.0,1.0,,,2.0,1.0,11.0,,14.0,2.0,27.0,4.0,15.0,20.0,171.0,,,0.0,105.0,16.0,,,,41.0,28.0,7.0,64.0,7.0,22.0,5.0,3.0,1.0,110.0,2.0,12.0,,,100.0,638.0,8.0,1.0,20.0,,,6.0,362.0,22.0,,6.0,13.0,,4.0,6.0,3.0,11.0,427.0,42.0,83299,5.0,211.0,2.0,4.0,,,234.0,7.0,,1.0,1.0,14.0,10.0,49.0,1.0,1.0,3.0,,18.0,6.0,9.0,2.0,,49.0,378.0,8.0,14.0,2.0,26.0,4.0,56.0,,,0.0,,8.0,4.0,1.0,,1.0,,0.0,2.0,,1.0,3.0,43.8,9.0,1.0,2.0,1.0,,3.0,7.0,24.0,4.0,,452.0,,6.0,4.0,7.0,4.0,,21.0,2.0,3.0,229.0,10.0,14.0,5.0,80.0,12.0,,13.0,22.0,,1.0,11.0,5.0,11.0,,14.0,4.0,,,,3.0,,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,
38,2367910,2024-05-19 16:00:00,"American Express Stadium, Falmer",31662,Home,Brighton and Hove Albion,Manchester United,0,2,L,0,0,0,0,,1.0,,49.0,,6.0,19.0,10.0,4.0,5.0,13.0,2.0,2.0,153.0,,5.0,3.0,,5.0,13.0,1.0,3.0,150.0,98.0,39.0,17.0,3.0,5.0,3.0,1.0,,,2.0,2.0,20.0,,11.0,,10.0,6.0,9.0,30.0,240.0,1.0,,0.0,144.0,10.0,,1.0,2.0,83.0,32.0,11.0,90.0,14.0,19.0,4.0,2.0,1.0,98.0,2.0,8.0,,,155.0,716.0,9.0,2.0,36.0,,,6.0,480.0,16.0,,1.0,5.0,,1.0,5.0,2.0,12.0,532.0,54.0,60307,9.0,260.0,3.0,10.0,2.0,,269.0,5.0,,,1.0,10.0,4.0,50.0,,,6.0,,9.0,3.0,4.0,1.0,,33.0,495.0,9.0,14.0,4.0,4.0,5.0,49.0,,,0.0,,5.0,1.0,,,2.0,2.0,0.0,2.0,,,5.0,54.8,12.0,3.0,6.0,2.0,,6.0,9.0,35.0,7.0,,548.0,,6.0,9.0,13.0,5.0,,35.0,3.0,4.0,299.0,7.0,9.0,5.0,110.0,20.0,1.0,5.0,22.0,,2.0,10.0,4.0,15.0,1.0,10.0,7.0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
