gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attRfTarget,goals,attSvLowCentre,attOboxTarget,attOneOnOne,midfielderGoals,contentiousDecision,goalAssist,accurateThroughBall,attRfGoal,totalThroughBall,totalOffside,goalsOpenplay,attObpGoal,attSvLowRight,attIboxGoal,goalAssistIntentional,attBxLeft,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,cleanSheet,attSvLowLeft,attAssistSetplay,attFreekickTarget,accurateFlickOn,shieldBallOop,handBall,attLfGoal,goalAssistOpenplay,attMissHighRight,punches,attHdMiss,accuratePullBack,totalPullBack,attGoalLowCentre,postScoringAtt,attIboxPost,attSvHighRight,attOboxGoal,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,accurateFreekickCross,defenderGoals,attGoalHighLeft,errorLeadToShot,attSvHighLeft,sixYardBlock,errorLeadToGoal,clearanceOffLine,attObxdRight,attObxLeft,attOboxPost,attPostHigh,attemptsIbox,attemptsObox,touchesInOppBox,attCmissLeft,attCmissHigh,attCmissHighRight,attGoalHighRight,penaltyWon,penaltyConceded,attPenGoal,foulThrowIn,penaltyFaced,penGoalsConceded
29,695181,2014-03-08 15:00:00,"Cardiff City Stadium, Cardiff",26796,Home,Cardiff City,Fulham,3,1,W,1,0,0,0,61.0,2.0,3.0,32.0,43.0,8.0,7.0,5.0,164.0,6.0,9.0,3.0,16.0,,9.0,98.0,151.0,55.0,,19.0,1.0,22.0,4.0,1.0,2.0,,1.0,24.0,8.0,43.0,5.0,6.0,31.0,174.0,0.0,123.0,9.0,1.0,2.0,2.0,2.0,54.0,58.0,10.0,55.0,,3.0,19.0,16.0,,5.0,4.0,151.0,3.0,10.0,74.0,625.0,13.0,16.0,2.0,13.0,294.0,22.0,12.0,28.0,,1.0,2.0,6.0,27.0,370.0,65.0,82403,5.0,139.0,3.0,12.0,1.0,153.0,4.0,16.0,6.0,66.0,5.0,10.0,4.0,1.0,,60.0,307.0,12.0,12.0,26.0,88.0,1.0,0.0,8.0,6.0,3.0,1.0,0.0,4.0,4.0,46.4,24.0,,2.0,,5.0,4.0,50.0,7.0,2.0,391.0,13.0,,15.0,13.0,6.0,20.0,2.0,2.0,262.0,8.0,6.0,22.0,76.0,24.0,28.0,13.0,1.0,13.0,3.0,17.0,7.0,7.0,,3.0,1.0,,,1.0,1.0,2.0,3.0,3.0,3.0,,,,1.0,,1.0,2.0,,,,3.0,3.0,1.0,1.0,,,1.0,,,,2.0,,5.0,,,,,,,1.0,,,2.0,,,,,,,,2.0,,2.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,
30,695192,2014-03-15 15:00:00,"Goodison Park, Liverpool",38018,Away,Cardiff City,Everton,1,2,L,0,0,0,0,53.0,2.0,2.0,14.0,34.0,3.0,3.0,5.0,125.0,7.0,6.0,3.0,7.0,,3.0,47.0,143.0,53.0,,10.0,1.0,7.0,2.0,,1.0,,2.0,22.0,19.0,34.0,5.0,4.0,17.0,90.0,0.0,78.0,10.0,4.0,,3.0,2.0,37.0,42.0,4.0,40.0,7.0,1.0,17.0,12.0,,3.0,2.0,143.0,,12.0,38.0,482.0,4.0,4.0,,16.0,163.0,25.0,5.0,18.0,,3.0,8.0,3.0,25.0,238.0,45.0,82403,5.0,86.0,,11.0,1.0,106.0,2.0,12.0,7.0,53.0,3.0,5.0,7.0,3.0,,46.0,169.0,10.0,13.0,28.0,72.0,,0.0,2.0,10.0,2.0,2.0,0.0,4.0,1.0,32.3,16.0,,1.0,,3.0,3.0,30.0,5.0,2.0,250.0,16.0,,15.0,4.0,4.0,15.0,3.0,2.0,166.0,4.0,3.0,14.0,43.0,19.0,18.0,25.0,2.0,6.0,3.0,15.0,8.0,5.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,,,3.0,,3.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
31,695202,2014-03-22 15:00:00,"Cardiff City Stadium, Cardiff",28018,Home,Cardiff City,Liverpool,3,6,L,2,2,0,0,57.0,1.0,1.0,25.0,15.0,2.0,4.0,3.0,132.0,5.0,13.0,4.0,9.0,,3.0,56.0,133.0,56.0,,9.0,1.0,18.0,,,1.0,,,25.0,15.0,15.0,4.0,4.0,30.0,140.0,0.0,108.0,14.0,1.0,,4.0,,40.0,61.0,5.0,53.0,2.0,1.0,21.0,11.0,,6.0,1.0,133.0,1.0,13.0,60.0,497.0,5.0,5.0,,19.0,222.0,23.0,5.0,8.0,,2.0,4.0,4.0,18.0,286.0,51.0,82403,5.0,97.0,,11.0,,115.0,4.0,11.0,11.0,63.0,2.0,9.0,6.0,5.0,3.0,45.0,232.0,11.0,12.0,14.0,67.0,,0.0,,6.0,2.0,6.0,0.0,4.0,2.0,33.4,11.0,,5.0,,2.0,2.0,33.0,4.0,,301.0,19.0,,13.0,12.0,4.0,16.0,1.0,3.0,211.0,2.0,3.0,11.0,71.0,26.0,8.0,21.0,6.0,7.0,3.0,22.0,9.0,4.0,,,1.0,2.0,,,,,3.0,,,,2.0,,3.0,,,,,3.0,,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,4.0,,1.0,2.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,695220,2014-03-29 15:00:00,"The Hawthorns, West Bromwich",25661,Away,Cardiff City,West Bromwich Albion,3,3,D,1,2,0,0,59.0,1.0,1.0,36.0,26.0,7.0,4.0,3.0,169.0,4.0,10.0,3.0,10.0,,5.0,117.0,170.0,50.0,1.0,11.0,4.0,15.0,1.0,,,,,13.0,11.0,26.0,1.0,1.0,40.0,162.0,0.0,115.0,13.0,2.0,,1.0,1.0,57.0,73.0,9.0,57.0,2.0,1.0,12.0,11.0,1.0,,1.0,170.0,,9.0,114.0,669.0,6.0,5.0,,12.0,335.0,26.0,5.0,14.0,,1.0,3.0,1.0,30.0,440.0,70.0,82403,2.0,191.0,,11.0,1.0,221.0,2.0,11.0,9.0,54.0,7.0,14.0,7.0,3.0,,65.0,349.0,11.0,7.0,17.0,77.0,,0.0,,4.0,2.0,3.0,0.0,4.0,1.0,58.3,20.0,,2.0,,7.0,5.0,38.0,1.0,1.0,457.0,12.0,,13.0,17.0,1.0,14.0,,,249.0,6.0,1.0,14.0,66.0,24.0,14.0,16.0,2.0,9.0,3.0,18.0,4.0,1.0,1.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,3.0,,1.0,2.0,2.0,2.0,,,2.0,2.0,2.0,1.0,4.0,1.0,4.0,,1.0,1.0,,4.0,,2.0,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,
33,695222,2014-04-05 15:00:00,"Cardiff City Stadium, Cardiff",27687,Home,Cardiff City,Crystal Palace,0,3,L,0,1,0,0,59.0,2.0,1.0,37.0,24.0,6.0,3.0,5.0,182.0,9.0,6.0,2.0,8.0,,3.0,135.0,164.0,57.0,1.0,13.0,4.0,19.0,3.0,,1.0,2.0,1.0,35.0,7.0,24.0,9.0,8.0,50.0,204.0,0.0,145.0,5.0,1.0,,1.0,,55.0,98.0,4.0,54.0,2.0,1.0,26.0,13.0,1.0,10.0,2.0,164.0,1.0,8.0,135.0,722.0,7.0,9.0,2.0,12.0,394.0,18.0,,14.0,2.0,2.0,3.0,4.0,28.0,489.0,74.0,82403,4.0,209.0,1.0,15.0,1.0,224.0,1.0,13.0,6.0,52.0,9.0,10.0,5.0,5.0,1.0,62.0,404.0,13.0,9.0,6.0,87.0,,0.0,1.0,3.0,3.0,3.0,0.0,7.0,5.0,63.1,25.0,,1.0,,9.0,5.0,52.0,10.0,,506.0,12.0,1.0,15.0,18.0,5.0,30.0,2.0,3.0,317.0,5.0,6.0,26.0,84.0,30.0,14.0,12.0,2.0,8.0,3.0,12.0,8.0,10.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,695235,2014-04-12 15:07:00,"St. Mary's Stadium, Southampton",30526,Away,Cardiff City,Southampton,1,0,W,0,0,0,0,80.0,4.0,,21.0,40.0,3.0,2.0,7.0,138.0,2.0,8.0,1.0,4.0,,4.0,63.0,142.0,57.0,1.0,6.0,,16.0,1.0,,,,,8.0,16.0,40.0,4.0,2.0,38.0,66.0,0.0,62.0,7.0,4.0,,1.0,4.0,28.0,52.0,2.0,54.0,7.0,2.0,4.0,16.0,1.0,,1.0,142.0,1.0,9.0,70.0,518.0,4.0,5.0,,14.0,218.0,43.0,6.0,22.0,1.0,0.0,4.0,2.0,12.0,306.0,46.0,82403,2.0,162.0,1.0,3.0,1.0,197.0,3.0,16.0,11.0,48.0,3.0,8.0,10.0,6.0,,55.0,226.0,9.0,12.0,19.0,69.0,,0.0,5.0,5.0,3.0,,0.0,1.0,1.0,32.5,8.0,,2.0,,3.0,,24.0,5.0,5.0,325.0,14.0,,9.0,13.0,2.0,11.0,1.0,1.0,136.0,3.0,2.0,19.0,26.0,14.0,22.0,22.0,,4.0,3.0,12.0,8.0,5.0,,1.0,,,1.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,,2.0,,,1.0,,,,,4.0,,4.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
35,695242,2014-04-19 15:00:00,"Cardiff City Stadium, Cardiff",27686,Home,Cardiff City,Stoke City,1,1,D,0,1,0,0,52.0,2.0,3.0,14.0,25.0,5.0,4.0,4.0,132.0,2.0,14.0,3.0,7.0,,4.0,101.0,139.0,49.0,1.0,13.0,3.0,17.0,2.0,,,1.0,,20.0,9.0,25.0,10.0,6.0,35.0,152.0,0.0,117.0,6.0,3.0,,1.0,1.0,51.0,68.0,5.0,61.0,,2.0,10.0,16.0,1.0,1.0,1.0,139.0,1.0,7.0,94.0,599.0,6.0,7.0,,16.0,303.0,26.0,5.0,17.0,1.0,2.0,4.0,2.0,20.0,375.0,42.0,82403,6.0,160.0,2.0,8.0,1.0,177.0,3.0,16.0,10.0,53.0,5.0,8.0,8.0,5.0,,40.0,310.0,12.0,11.0,22.0,62.0,,0.0,2.0,7.0,2.0,1.0,0.0,,1.0,43.3,15.0,,3.0,,5.0,6.0,25.0,12.0,1.0,388.0,16.0,,12.0,11.0,3.0,14.0,2.0,1.0,231.0,7.0,6.0,11.0,78.0,18.0,17.0,14.0,1.0,9.0,3.0,21.0,7.0,12.0,,1.0,1.0,,,,,2.0,1.0,2.0,1.0,,1.0,,,1.0,,2.0,3.0,,,,1.0,,1.0,,4.0,,4.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
36,695258,2014-04-27 12:00:00,"Stadium of Light, Sunderland",42397,Away,Cardiff City,Sunderland,0,4,L,0,2,1,0,46.0,1.0,1.0,9.0,31.0,1.0,2.0,3.0,107.0,5.0,6.0,3.0,3.0,,1.0,67.0,112.0,45.0,1.0,6.0,,11.0,,,,,1.0,24.0,15.0,31.0,5.0,8.0,14.0,147.0,0.0,98.0,11.0,1.0,,3.0,1.0,36.0,60.0,1.0,48.0,,,19.0,10.0,1.0,6.0,,112.0,,13.0,64.0,471.0,2.0,11.0,,7.0,221.0,24.0,3.0,16.0,,3.0,8.0,2.0,23.0,271.0,47.0,82403,1.0,86.0,,10.0,1.0,100.0,3.0,10.0,11.0,42.0,3.0,10.0,8.0,8.0,2.0,25.0,228.0,10.0,6.0,12.0,57.0,,0.0,,11.0,2.0,4.0,1.0,3.0,3.0,40.4,15.0,,,,3.0,1.0,32.0,5.0,1.0,286.0,7.0,,13.0,4.0,4.0,17.0,2.0,4.0,210.0,1.0,6.0,12.0,69.0,14.0,16.0,17.0,4.0,2.0,3.0,7.0,5.0,5.0,,1.0,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,2.0,,3.0,,3.0,,,1.0,1.0,3.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
37,695267,2014-05-03 15:00:00,"St. James' Park, Newcastle",50239,Away,Cardiff City,Newcastle United,0,3,L,0,1,0,0,54.0,,3.0,29.0,29.0,4.0,6.0,3.0,141.0,8.0,12.0,2.0,9.0,,3.0,90.0,147.0,65.0,,16.0,2.0,29.0,3.0,,1.0,,6.0,21.0,14.0,29.0,6.0,4.0,43.0,140.0,0.0,100.0,6.0,2.0,,4.0,2.0,58.0,45.0,5.0,45.0,1.0,1.0,15.0,9.0,,3.0,2.0,147.0,1.0,13.0,75.0,566.0,6.0,6.0,,12.0,246.0,16.0,2.0,23.0,,0.0,10.0,4.0,28.0,340.0,68.0,82403,7.0,122.0,3.0,8.0,2.0,144.0,2.0,9.0,10.0,69.0,2.0,5.0,9.0,8.0,1.0,57.0,254.0,8.0,12.0,10.0,69.0,,0.0,1.0,10.0,3.0,3.0,0.0,5.0,2.0,46.2,23.0,,3.0,,2.0,5.0,34.0,6.0,2.0,351.0,12.0,,13.0,13.0,8.0,22.0,3.0,6.0,228.0,7.0,2.0,29.0,52.0,27.0,23.0,16.0,3.0,10.0,3.0,21.0,1.0,6.0,,1.0,,,,,,2.0,,1.0,,,,,,,,1.0,2.0,,,1.0,,,2.0,,5.0,,5.0,,1.0,3.0,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
38,695271,2014-05-11 15:00:00,"Cardiff City Stadium, Cardiff",27716,Home,Cardiff City,Chelsea,1,2,L,1,0,0,0,61.0,2.0,2.0,20.0,30.0,4.0,7.0,4.0,117.0,1.0,15.0,2.0,8.0,,3.0,71.0,142.0,51.0,,10.0,1.0,12.0,2.0,,2.0,2.0,1.0,18.0,12.0,30.0,3.0,3.0,23.0,112.0,0.0,98.0,7.0,2.0,1.0,3.0,1.0,48.0,53.0,5.0,58.0,,2.0,15.0,13.0,,,2.0,142.0,,20.0,71.0,536.0,6.0,4.0,,8.0,236.0,30.0,4.0,13.0,2.0,1.0,9.0,3.0,19.0,302.0,50.0,78008,2.0,136.0,,12.0,1.0,154.0,2.0,13.0,15.0,58.0,5.0,16.0,8.0,3.0,1.0,48.0,247.0,9.0,18.0,20.0,71.0,,0.0,3.0,8.0,3.0,2.0,0.0,1.0,1.0,36.8,17.0,,3.0,,5.0,3.0,27.0,3.0,1.0,317.0,8.0,,15.0,10.0,4.0,7.0,,2.0,181.0,2.0,3.0,7.0,66.0,19.0,13.0,20.0,2.0,8.0,3.0,21.0,4.0,3.0,,2.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,1.0,,2.0,,2.0,,2.0,,1.0,2.0,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
