gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,attCmissRight,goalAssistOpenplay,divingSave,attSvHighLeft,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,goalsOpenplay,attMissHigh,attSvLowRight,savedIbox,attIboxGoal,goalsConceded,goalAssistIntentional,attHdMiss,attObxRight,forwardGoals,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowCentre,attOboxGoal,penaltyWon,attMissHighLeft,defenderGoals,attPenGoal,attFreekickMiss,postScoringAtt,attFreekickPost,errorLeadToShot,totalPullBack,attOboxPost,shieldBallOop,attPostRight,goalsConcededObox,penaltyConceded,clearanceOffLine,penaltyFaced,accuratePullBack,attPostHigh,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attHdGoal,saves,goalFastbreak,penGoalsConceded,attObxLeft,attGoalHighCentre,attPenTarget,attIboxPost,attGoalHighLeft,attPostLeft,secondYellow,attGoalHighRight,attHdPost,foulThrowIn,ownGoals,attObpGoal,attIboxOwnGoal
28,360742,2012-03-10 15:00:00,"Stamford Bridge, London",40945,Home,Chelsea,Stoke City,1,0,W,0,0,0,1,2.0,45.0,,1.0,29.0,33.0,16.0,8.0,4.0,180.0,6.0,8.0,7.0,18.0,8.0,148.0,148.0,56.0,2.0,23.0,4.0,10.0,1.0,,1.0,2.0,3.0,2.0,35.0,15.0,6.0,18.0,13.0,27.0,23.0,312.0,,1.0,1.0,0.0,197.0,12.0,,1.0,2.0,1.0,75.0,65.0,11.0,75.0,2.0,22.0,2.0,9.0,5.0,133.0,1.0,3.0,135.0,741.0,,15.0,5.0,1.0,3.0,7.0,25.0,4.0,24.0,2.0,1.0,3.0,7.0,29.0,78.0,,8442,6.0,163.0,,11.0,,175.0,7.0,38.0,3.0,2.0,1.0,17.0,5.0,6.0,52.0,469.0,15.0,4.0,2.0,16.0,72.0,,1.0,,0.0,1.0,1.0,1.0,,,0.0,2.0,4.0,71.4,27.0,2.0,,2.0,1.0,5.0,50.0,14.0,1.0,538.0,6.0,11.0,10.0,10.0,23.0,4.0,2.0,398.0,11.0,25.0,14.0,152.0,15.0,,14.0,19.0,17.0,3.0,9.0,,14.0,,,,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,3.0,1.0,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,
29,360753,2012-03-21 19:45:00,"Etihad Stadium, Manchester",46324,Away,Chelsea,Manchester City,1,2,L,0,0,0,0,1.0,52.0,3.0,,30.0,46.0,3.0,3.0,,148.0,,7.0,1.0,6.0,2.0,78.0,155.0,47.0,,7.0,3.0,6.0,1.0,1.0,,,,,19.0,15.0,,31.0,4.0,23.0,18.0,139.0,,,,0.0,80.0,9.0,1.0,1.0,1.0,3.0,33.0,63.0,4.0,59.0,2.0,15.0,,5.0,,139.0,,11.0,78.0,580.0,,6.0,6.0,,,20.0,22.0,9.0,20.0,,2.0,6.0,2.0,14.0,51.0,,8442,2.0,151.0,,9.0,,182.0,13.0,47.0,2.0,,3.0,15.0,10.0,6.0,45.0,290.0,8.0,16.0,,14.0,73.0,1.0,,4.0,0.0,,4.0,11.0,2.0,,0.0,,,39.6,12.0,2.0,2.0,,3.0,3.0,47.0,4.0,3.0,363.0,17.0,11.0,11.0,2.0,10.0,,2.0,200.0,4.0,20.0,13.0,57.0,16.0,4.0,11.0,19.0,6.0,3.0,14.0,5.0,4.0,2.0,,,1.0,,,1.0,,,2.0,,2.0,,1.0,,,,,,1.0,2.0,,,,,2.0,,,1.0,,,,1.0,,,,,1.0,,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,
30,360761,2012-03-24 12:45:00,"Stamford Bridge, London",41830,Home,Chelsea,Tottenham Hotspur,0,0,D,0,0,0,0,,45.0,1.0,1.0,32.0,21.0,4.0,2.0,2.0,129.0,5.0,5.0,4.0,7.0,2.0,110.0,157.0,47.0,2.0,9.0,3.0,9.0,1.0,,1.0,1.0,1.0,,30.0,16.0,1.0,8.0,6.0,11.0,39.0,152.0,,,1.0,0.0,124.0,11.0,,,2.0,1.0,53.0,57.0,5.0,45.0,1.0,24.0,2.0,11.0,,144.0,,12.0,99.0,570.0,1.0,6.0,6.0,,1.0,11.0,20.0,2.0,15.0,2.0,1.0,6.0,2.0,16.0,84.0,,8442,2.0,156.0,,11.0,,167.0,14.0,46.0,3.0,2.0,2.0,10.0,8.0,6.0,54.0,303.0,10.0,10.0,1.0,10.0,69.0,,,,0.0,,2.0,5.0,2.0,,0.0,2.0,1.0,45.4,16.0,1.0,1.0,1.0,2.0,4.0,39.0,6.0,1.0,383.0,9.0,16.0,18.0,3.0,32.0,3.0,2.0,246.0,6.0,8.0,12.0,69.0,20.0,2.0,4.0,20.0,5.0,3.0,6.0,2.0,6.0,1.0,,,,,,2.0,,,2.0,,1.0,,,,,1.0,,3.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,360769,2012-03-31 15:00:00,"Villa Park, Birmingham",34740,Away,Chelsea,Aston Villa,4,2,W,1,0,0,0,1.0,56.0,1.0,1.0,36.0,43.0,4.0,4.0,2.0,192.0,4.0,8.0,1.0,9.0,7.0,92.0,159.0,39.0,1.0,13.0,2.0,11.0,2.0,2.0,1.0,1.0,2.0,1.0,11.0,6.0,1.0,24.0,4.0,18.0,20.0,148.0,,,,0.0,95.0,6.0,3.0,,1.0,3.0,86.0,25.0,7.0,75.0,,7.0,1.0,3.0,1.0,140.0,3.0,8.0,85.0,625.0,,6.0,9.0,,1.0,10.0,18.0,9.0,26.0,1.0,0.0,,2.0,28.0,53.0,,8442,3.0,207.0,1.0,3.0,,232.0,9.0,32.0,5.0,3.0,3.0,14.0,1.0,3.0,62.0,351.0,15.0,2.0,,23.0,92.0,2.0,,,0.0,,2.0,6.0,3.0,,0.0,2.0,2.0,55.6,27.0,,,,4.0,3.0,56.0,4.0,3.0,444.0,7.0,10.0,6.0,3.0,20.0,2.0,1.0,223.0,7.0,17.0,9.0,54.0,27.0,2.0,13.0,7.0,10.0,3.0,11.0,2.0,4.0,,2.0,1.0,4.0,,1.0,2.0,,,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,,2.0,2.0,1.0,3.0,,,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,
32,360781,2012-04-07 15:00:00,"Stamford Bridge, London",40651,Home,Chelsea,Wigan Athletic,2,1,W,0,0,0,0,1.0,71.0,2.0,2.0,32.0,16.0,5.0,9.0,3.0,179.0,9.0,8.0,4.0,15.0,8.0,105.0,143.0,48.0,,20.0,1.0,,5.0,,3.0,2.0,3.0,2.0,24.0,17.0,1.0,10.0,3.0,10.0,35.0,206.0,,,,0.0,153.0,14.0,,1.0,2.0,2.0,67.0,39.0,9.0,65.0,3.0,21.0,,8.0,3.0,137.0,2.0,4.0,85.0,636.0,,13.0,5.0,2.0,1.0,13.0,28.0,9.0,8.0,2.0,2.0,2.0,6.0,18.0,78.0,1.0,8442,6.0,169.0,1.0,11.0,2.0,175.0,11.0,44.0,4.0,3.0,6.0,13.0,7.0,5.0,56.0,366.0,11.0,4.0,1.0,18.0,92.0,,2.0,,0.0,,3.0,3.0,3.0,,0.0,8.0,2.0,54.7,15.0,2.0,3.0,2.0,6.0,3.0,60.0,5.0,2.0,434.0,10.0,20.0,18.0,9.0,24.0,1.0,5.0,283.0,8.0,10.0,9.0,110.0,30.0,2.0,5.0,20.0,17.0,3.0,14.0,2.0,5.0,,1.0,1.0,2.0,1.0,,,,,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,
33,360792,2012-04-09 20:00:00,"Craven Cottage, London",25697,Away,Chelsea,Fulham,1,1,D,1,0,0,0,1.0,58.0,2.0,1.0,38.0,18.0,9.0,3.0,1.0,189.0,9.0,3.0,2.0,10.0,3.0,134.0,141.0,30.0,1.0,15.0,3.0,7.0,1.0,,,,2.0,2.0,25.0,12.0,1.0,13.0,11.0,27.0,34.0,222.0,2.0,,,0.0,134.0,16.0,,,,3.0,89.0,28.0,3.0,87.0,2.0,14.0,1.0,5.0,5.0,136.0,1.0,6.0,129.0,718.0,,9.0,6.0,,,16.0,31.0,7.0,8.0,,3.0,2.0,7.0,17.0,75.0,,78056,5.0,245.0,1.0,9.0,1.0,264.0,6.0,52.0,1.0,2.0,6.0,7.0,4.0,3.0,59.0,458.0,5.0,4.0,1.0,18.0,80.0,,1.0,,0.0,,,7.0,3.0,,0.0,5.0,3.0,53.4,15.0,1.0,,,6.0,4.0,51.0,11.0,3.0,539.0,13.0,22.0,14.0,8.0,18.0,4.0,3.0,300.0,9.0,25.0,6.0,86.0,17.0,1.0,6.0,16.0,10.0,2.0,6.0,1.0,11.0,,1.0,,1.0,,,4.0,,1.0,3.0,,1.0,,1.0,,,2.0,,4.0,1.0,1.0,,3.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,360801,2012-05-02 19:45:00,"Stamford Bridge, London",41559,Home,Chelsea,Newcastle United,0,2,L,0,1,0,0,,65.0,1.0,2.0,27.0,23.0,10.0,5.0,2.0,193.0,7.0,7.0,,13.0,3.0,150.0,159.0,44.0,3.0,18.0,2.0,10.0,1.0,,1.0,2.0,1.0,3.0,27.0,13.0,2.0,14.0,4.0,25.0,31.0,259.0,2.0,,,0.0,173.0,10.0,,1.0,,,96.0,64.0,5.0,83.0,3.0,23.0,3.0,11.0,7.0,150.0,,5.0,123.0,745.0,,11.0,5.0,1.0,,17.0,24.0,1.0,15.0,2.0,0.0,1.0,8.0,16.0,94.0,,8442,4.0,208.0,,10.0,,220.0,9.0,50.0,2.0,3.0,4.0,12.0,8.0,6.0,47.0,460.0,5.0,10.0,2.0,14.0,102.0,,,,0.0,2.0,2.0,4.0,3.0,,0.0,4.0,3.0,63.4,16.0,2.0,1.0,1.0,4.0,4.0,70.0,4.0,,549.0,15.0,15.0,15.0,11.0,31.0,3.0,4.0,356.0,10.0,25.0,14.0,120.0,34.0,3.0,10.0,18.0,,3.0,13.0,3.0,4.0,1.0,,,,,,3.0,,,,,,,,,,2.0,,1.0,,2.0,,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
35,360809,2012-04-21 12:45:00,"Emirates Stadium, London",60111,Away,Chelsea,Arsenal,0,0,D,0,0,0,0,2.0,67.0,1.0,5.0,21.0,28.0,3.0,9.0,,155.0,6.0,6.0,,10.0,2.0,98.0,147.0,44.0,,14.0,2.0,11.0,2.0,,4.0,,,2.0,21.0,17.0,,16.0,7.0,8.0,24.0,165.0,,,1.0,0.0,102.0,11.0,,2.0,,3.0,65.0,45.0,7.0,52.0,2.0,14.0,,5.0,2.0,135.0,1.0,9.0,76.0,576.0,1.0,5.0,1.0,,,14.0,29.0,3.0,17.0,,4.0,3.0,3.0,14.0,64.0,,8442,5.0,152.0,1.0,9.0,1.0,165.0,8.0,53.0,7.0,4.0,5.0,10.0,4.0,2.0,41.0,311.0,12.0,7.0,5.0,16.0,79.0,,,1.0,0.0,,1.0,7.0,,,0.0,2.0,2.0,43.3,10.0,2.0,1.0,,6.0,7.0,46.0,7.0,3.0,381.0,14.0,22.0,10.0,5.0,20.0,4.0,3.0,237.0,1.0,6.0,4.0,60.0,25.0,2.0,10.0,22.0,6.0,3.0,8.0,2.0,7.0,,,,,,,1.0,,,6.0,,2.0,,,,,,,3.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,360819,2012-04-29 13:30:00,"Stamford Bridge, London",41675,Home,Chelsea,Queens Park Rangers,6,1,W,4,0,0,0,3.0,69.0,1.0,4.0,24.0,13.0,13.0,11.0,4.0,192.0,6.0,9.0,2.0,22.0,13.0,112.0,107.0,29.0,1.0,30.0,6.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,19.0,11.0,2.0,7.0,6.0,17.0,19.0,227.0,1.0,,,0.0,137.0,9.0,1.0,,1.0,1.0,55.0,57.0,19.0,86.0,3.0,13.0,1.0,2.0,4.0,101.0,3.0,4.0,134.0,698.0,,17.0,4.0,,,21.0,42.0,6.0,7.0,1.0,0.0,5.0,3.0,14.0,49.0,,8442,7.0,253.0,,10.0,,259.0,5.0,34.0,4.0,3.0,3.0,6.0,9.0,2.0,39.0,474.0,8.0,4.0,2.0,15.0,85.0,1.0,,,0.0,,2.0,5.0,1.0,1.0,0.0,3.0,1.0,56.7,10.0,1.0,1.0,2.0,3.0,10.0,65.0,8.0,1.0,524.0,19.0,13.0,11.0,7.0,22.0,3.0,3.0,284.0,15.0,16.0,1.0,107.0,22.0,4.0,3.0,11.0,23.0,3.0,16.0,4.0,8.0,,1.0,2.0,6.0,1.0,2.0,1.0,,1.0,4.0,3.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,,5.0,1.0,3.0,,,4.0,1.0,,5.0,3.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,
37,360834,2012-05-08 20:00:00,"Anfield, Liverpool",40721,Away,Chelsea,Liverpool,1,4,L,0,3,0,0,,41.0,,1.0,29.0,17.0,5.0,3.0,,163.0,5.0,2.0,5.0,7.0,2.0,80.0,140.0,44.0,2.0,11.0,3.0,16.0,1.0,1.0,,,1.0,,15.0,12.0,,11.0,4.0,13.0,14.0,149.0,,,,0.0,105.0,14.0,1.0,,2.0,1.0,64.0,45.0,4.0,75.0,2.0,11.0,2.0,3.0,2.0,134.0,1.0,13.0,76.0,578.0,,3.0,13.0,1.0,2.0,15.0,18.0,14.0,5.0,,4.0,6.0,3.0,29.0,70.0,1.0,8442,3.0,173.0,1.0,6.0,1.0,185.0,15.0,57.0,,,2.0,14.0,11.0,8.0,49.0,317.0,16.0,7.0,3.0,33.0,80.0,1.0,,1.0,0.0,,1.0,7.0,8.0,,0.0,2.0,2.0,46.8,25.0,2.0,,,2.0,4.0,48.0,4.0,1.0,394.0,11.0,17.0,10.0,5.0,10.0,3.0,1.0,224.0,4.0,12.0,6.0,63.0,15.0,2.0,4.0,20.0,5.0,1.0,6.0,2.0,4.0,1.0,,,1.0,,,2.0,,1.0,4.0,1.0,,,,,,1.0,,3.0,1.0,4.0,1.0,,,,2.0,2.0,,,,,,,,1.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0
38,360839,2012-05-13 15:00:00,"Stamford Bridge, London",40742,Home,Chelsea,Blackburn Rovers,2,1,W,2,0,0,0,1.0,61.0,3.0,1.0,34.0,9.0,10.0,5.0,1.0,198.0,11.0,6.0,,17.0,4.0,126.0,127.0,28.0,,19.0,1.0,,,,2.0,,,6.0,33.0,10.0,2.0,4.0,6.0,38.0,25.0,275.0,1.0,,,0.0,142.0,14.0,,1.0,,1.0,96.0,66.0,6.0,91.0,4.0,27.0,,8.0,5.0,122.0,2.0,3.0,145.0,736.0,,15.0,2.0,,1.0,9.0,32.0,,8.0,,1.0,2.0,11.0,18.0,78.0,,8442,2.0,236.0,2.0,19.0,,245.0,4.0,39.0,2.0,3.0,7.0,10.0,7.0,3.0,43.0,500.0,4.0,4.0,,2.0,76.0,,2.0,1.0,0.0,,2.0,2.0,,,0.0,9.0,3.0,58.4,16.0,3.0,2.0,,7.0,2.0,60.0,8.0,1.0,560.0,8.0,12.0,17.0,13.0,14.0,2.0,7.0,348.0,10.0,36.0,4.0,110.0,18.0,1.0,3.0,14.0,17.0,3.0,16.0,1.0,8.0,1.0,1.0,,2.0,2.0,2.0,1.0,,1.0,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,
