gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attCmissRight,attBxRight,goalAssistOpenplay,attGoalHighRight,attMissRight,attMissHighLeft,goalAssist,attCmissHigh,defenderGoals,goalsOpenplay,attCmissLeft,goalsConceded,accurateFlickOn,goalAssistIntentional,goalsConcededIbox,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,shotFastbreak,totalFastbreak,secondYellow,attFastbreak,attSvHighCentre,errorLeadToGoal,postScoringAtt,attIboxPost,attOboxGoal,contentiousDecision,hitWoodwork,attGoalHighLeft,attPostRight,forwardGoals,attSvHighRight,sixYardBlock,attLfGoal,ptsGainedLosingPos,errorLeadToShot,attObxdLeft,attFreekickTarget,attCmissHighRight,attOneOnOne,subsGoals,attCmissHighLeft,attGoalLowRight,attHdGoal,attGoalHighCentre,attFreekickGoal,attPostHigh,attHdPost,ownGoals,attIboxOwnGoal,attPostLeft,attObxLeft,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,attObxRight
27,2293075,2023-03-11 15:00:00,"King Power Stadium, Leicester",32170.0,Away,Chelsea,Leicester City,3,1,W,2,1,0,1,1.0,26.0,70.0,,1.0,21.0,18.0,3.0,6.0,9.0,5.0,,175.0,12.0,4.0,9.0,3.0,1.0,12.0,6.0,140.0,129.0,52.0,,12.0,2.0,19.0,3.0,,,1.0,11.0,14.0,,18.0,5.0,5.0,40.0,200.0,1.0,,,0.0,96.0,11.0,2.0,,2.0,2.0,1.0,,46.0,80.0,9.0,109.0,,6.0,28.0,3.0,,,1.0,129.0,2.0,8.0,126.0,752.0,6.0,3.0,21.0,2.0,9.0,453.0,30.0,1.0,6.0,,2.0,7.0,3.0,17.0,533.0,44.0,2.0,,91651,6.0,268.0,1.0,5.0,,307.0,6.0,1.0,1.0,17.0,5.0,62.0,2.0,4.0,6.0,12.0,9.0,3.0,,,54.0,464.0,9.0,18.0,3.0,15.0,4.0,68.0,,1.0,0.0,3.0,2.0,4.0,3.0,0.0,1.0,3.0,3.0,51.6,15.0,1.0,6.0,1.0,6.0,3.0,1.0,43.0,5.0,1.0,550.0,9.0,,5.0,20.0,3.0,17.0,3.0,1.0,254.0,3.0,3.0,10.0,71.0,24.0,1.0,6.0,24.0,8.0,5.0,19.0,1.0,17.0,5.0,1.0,1.0,1.0,,,,2.0,2.0,,,,3.0,,,2.0,,1.0,,3.0,,,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,
28,2293084,2023-03-18 17:30:00,"Stamford Bridge, London",40025.0,Home,Chelsea,Everton,2,2,D,0,0,0,0,1.0,17.0,50.0,,7.0,30.0,9.0,4.0,6.0,16.0,1.0,2.0,172.0,6.0,10.0,11.0,2.0,4.0,13.0,7.0,148.0,144.0,57.0,,20.0,3.0,9.0,4.0,,2.0,,29.0,11.0,1.0,9.0,7.0,9.0,47.0,234.0,1.0,,1.0,0.0,147.0,8.0,,,,2.0,2.0,,83.0,53.0,11.0,81.0,,22.0,15.0,4.0,,6.0,,144.0,,7.0,141.0,737.0,9.0,1.0,32.0,1.0,8.0,438.0,23.0,2.0,5.0,,2.0,4.0,2.0,20.0,520.0,70.0,,1.0,91651,8.0,231.0,,14.0,3.0,259.0,6.0,,1.0,6.0,8.0,43.0,1.0,2.0,6.0,12.0,5.0,6.0,1.0,1.0,58.0,455.0,12.0,6.0,4.0,12.0,5.0,66.0,1.0,,0.0,4.0,2.0,,2.0,0.0,7.0,2.0,4.0,68.9,20.0,2.0,4.0,2.0,6.0,10.0,,42.0,8.0,,542.0,8.0,,12.0,27.0,3.0,40.0,3.0,3.0,312.0,9.0,9.0,19.0,109.0,16.0,,5.0,15.0,11.0,4.0,19.0,,6.0,8.0,,,,,,,3.0,,1.0,1.0,,,,,1.0,,2.0,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
29,2293093,2023-04-01 17:30:00,"Stamford Bridge, London",40082.0,Home,Chelsea,Aston Villa,0,2,L,0,1,0,0,,20.0,62.0,,2.0,38.0,4.0,7.0,12.0,19.0,,4.0,168.0,10.0,6.0,18.0,,5.0,23.0,8.0,181.0,127.0,63.0,,27.0,2.0,13.0,7.0,,2.0,2.0,39.0,13.0,1.0,4.0,12.0,8.0,41.0,362.0,,,,0.0,212.0,14.0,,1.0,,2.0,5.0,,57.0,118.0,11.0,99.0,,27.0,16.0,8.0,,10.0,5.0,127.0,2.0,2.0,152.0,815.0,21.0,1.0,51.0,,9.0,526.0,19.0,3.0,1.0,,3.0,,12.0,20.0,582.0,76.0,2.0,,91651,9.0,187.0,3.0,12.0,1.0,198.0,7.0,,,8.0,3.0,62.0,2.0,2.0,5.0,9.0,3.0,3.0,5.0,,50.0,543.0,16.0,11.0,2.0,5.0,7.0,67.0,3.0,,0.0,1.0,2.0,,,0.0,4.0,,4.0,69.0,19.0,4.0,7.0,4.0,5.0,4.0,,52.0,13.0,,600.0,9.0,,5.0,21.0,15.0,55.0,2.0,9.0,441.0,11.0,8.0,11.0,180.0,31.0,1.0,1.0,18.0,19.0,4.0,37.0,1.0,8.0,13.0,2.0,,,,,1.0,3.0,,,6.0,1.0,,1.0,,,,2.0,,,,,4.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
30,2293109,2023-04-08 15:00:00,"Molineux Stadium, Wolverhampton",31614.0,Away,Chelsea,Wolverhampton Wanderers,0,1,L,0,1,0,0,,22.0,60.0,,6.0,14.0,27.0,5.0,3.0,8.0,3.0,1.0,174.0,13.0,6.0,14.0,,3.0,12.0,1.0,133.0,155.0,71.0,,13.0,2.0,9.0,,,1.0,,32.0,15.0,1.0,27.0,8.0,5.0,43.0,258.0,2.0,,,0.0,157.0,10.0,,,,,1.0,,52.0,80.0,8.0,75.0,,24.0,29.0,5.0,,8.0,2.0,155.0,,6.0,148.0,765.0,11.0,3.0,30.0,,3.0,420.0,29.0,,16.0,,5.0,2.0,4.0,23.0,506.0,56.0,,,91651,6.0,191.0,,15.0,2.0,231.0,6.0,,2.0,9.0,6.0,51.0,,1.0,8.0,17.0,3.0,6.0,1.0,,34.0,443.0,14.0,11.0,1.0,6.0,2.0,45.0,,1.0,0.0,,8.0,3.0,,0.0,5.0,1.0,1.0,62.4,21.0,1.0,3.0,,8.0,8.0,,33.0,8.0,,530.0,3.0,,13.0,25.0,4.0,38.0,1.0,2.0,331.0,8.0,4.0,16.0,122.0,19.0,3.0,16.0,27.0,9.0,5.0,23.0,3.0,9.0,8.0,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
31,2293111,2023-04-15 15:00:00,"Stamford Bridge, London",40126.0,Home,Chelsea,Brighton and Hove Albion,1,2,L,1,1,0,0,,26.0,57.0,1.0,1.0,15.0,18.0,4.0,,4.0,9.0,1.0,130.0,14.0,3.0,9.0,1.0,2.0,4.0,2.0,99.0,116.0,47.0,,8.0,,8.0,1.0,2.0,,1.0,13.0,13.0,,18.0,2.0,4.0,43.0,103.0,1.0,,,0.0,78.0,11.0,4.0,,1.0,,1.0,1.0,47.0,37.0,1.0,61.0,4.0,11.0,20.0,4.0,,2.0,3.0,116.0,,17.0,115.0,601.0,3.0,5.0,19.0,,13.0,312.0,26.0,1.0,10.0,2.0,2.0,4.0,3.0,14.0,380.0,30.0,1.0,,91651,3.0,230.0,,8.0,,256.0,7.0,1.0,2.0,10.0,10.0,59.0,1.0,1.0,9.0,6.0,9.0,5.0,1.0,,44.0,330.0,11.0,16.0,,9.0,1.0,41.0,1.0,,0.0,,8.0,5.0,,0.0,3.0,,2.0,42.7,14.0,1.0,4.0,,9.0,1.0,,20.0,2.0,1.0,405.0,13.0,,13.0,18.0,5.0,22.0,,1.0,162.0,6.0,3.0,9.0,52.0,15.0,,10.0,18.0,7.0,5.0,20.0,,10.0,2.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,3.0,,3.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,
32,2293128,2023-05-25 20:00:00,"Old Trafford, Manchester",73561.0,Away,Chelsea,Manchester United,1,4,L,0,2,0,0,,12.0,64.0,1.0,1.0,21.0,8.0,6.0,4.0,7.0,5.0,2.0,179.0,6.0,6.0,19.0,1.0,,12.0,5.0,163.0,107.0,60.0,,14.0,3.0,4.0,2.0,,1.0,2.0,14.0,13.0,2.0,8.0,2.0,6.0,38.0,269.0,1.0,,,0.0,157.0,6.0,2.0,,,1.0,,,40.0,101.0,7.0,96.0,1.0,12.0,25.0,7.0,,1.0,1.0,107.0,3.0,13.0,179.0,818.0,11.0,3.0,39.0,1.0,6.0,536.0,31.0,,1.0,,1.0,5.0,5.0,10.0,594.0,39.0,1.0,,86129,4.0,295.0,3.0,11.0,,313.0,2.0,1.0,1.0,14.0,4.0,43.0,2.0,,7.0,21.0,5.0,4.0,1.0,,37.0,558.0,12.0,14.0,,5.0,2.0,61.0,,,0.0,,3.0,5.0,,0.0,5.0,,2.0,58.9,10.0,1.0,4.0,1.0,7.0,4.0,,50.0,4.0,,617.0,6.0,,7.0,24.0,5.0,24.0,1.0,4.0,318.0,8.0,6.0,8.0,128.0,21.0,,1.0,21.0,12.0,5.0,31.0,,14.0,4.0,,,,,,,2.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,4.0,2.0,,4.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,
33,2293137,2023-04-26 19:45:00,"Stamford Bridge, London",39929.0,Home,Chelsea,Brentford,0,2,L,0,1,0,0,,18.0,56.0,,1.0,25.0,19.0,5.0,3.0,10.0,,3.0,194.0,10.0,5.0,17.0,,4.0,13.0,4.0,179.0,134.0,61.0,,15.0,2.0,15.0,4.0,,3.0,3.0,28.0,6.0,,19.0,4.0,15.0,37.0,422.0,,,,0.0,266.0,5.0,,,,,1.0,,124.0,120.0,6.0,112.0,,24.0,20.0,5.0,,5.0,3.0,134.0,1.0,8.0,211.0,886.0,10.0,3.0,26.0,1.0,9.0,594.0,20.0,3.0,10.0,,1.0,1.0,7.0,21.0,674.0,87.0,,1.0,91651,6.0,197.0,1.0,18.0,2.0,224.0,4.0,,2.0,10.0,3.0,36.0,3.0,,4.0,12.0,,3.0,1.0,,40.0,614.0,13.0,3.0,3.0,6.0,2.0,51.0,,1.0,0.0,1.0,2.0,,,0.0,4.0,1.0,5.0,72.9,18.0,3.0,6.0,1.0,4.0,3.0,,37.0,5.0,,696.0,9.0,,7.0,18.0,8.0,41.0,1.0,5.0,500.0,7.0,15.0,19.0,224.0,25.0,1.0,10.0,12.0,11.0,4.0,23.0,1.0,10.0,5.0,,,,,,2.0,2.0,,,3.0,1.0,,1.0,,,,2.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
34,2293141,2023-05-02 20:00:00,"Emirates Stadium, London",60144.0,Away,Chelsea,Arsenal,1,3,L,0,3,0,0,1.0,15.0,49.0,,1.0,21.0,22.0,2.0,4.0,5.0,6.0,,147.0,7.0,3.0,9.0,1.0,3.0,6.0,4.0,114.0,107.0,52.0,,7.0,1.0,12.0,3.0,,1.0,,11.0,11.0,,22.0,2.0,10.0,41.0,131.0,,,,0.0,75.0,10.0,4.0,,,1.0,2.0,1.0,40.0,36.0,5.0,69.0,2.0,9.0,17.0,2.0,,2.0,1.0,107.0,2.0,13.0,125.0,619.0,4.0,5.0,22.0,,7.0,365.0,32.0,3.0,10.0,,2.0,4.0,1.0,10.0,435.0,29.0,1.0,1.0,91651,2.0,255.0,1.0,5.0,1.0,287.0,8.0,,2.0,9.0,7.0,40.0,3.0,,1.0,12.0,3.0,6.0,,,40.0,383.0,10.0,6.0,1.0,8.0,,49.0,1.0,1.0,0.0,1.0,7.0,6.0,1.0,0.0,3.0,1.0,1.0,45.2,8.0,,4.0,2.0,1.0,2.0,1.0,35.0,2.0,1.0,455.0,7.0,,8.0,20.0,1.0,21.0,,,179.0,1.0,10.0,20.0,51.0,12.0,4.0,10.0,15.0,6.0,5.0,13.0,4.0,9.0,2.0,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,3.0,2.0,1.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
35,2293150,2023-05-06 15:00:00,"Vitality Stadium, Bournemouth",10357.0,Away,Chelsea,Bournemouth,3,1,W,1,1,0,0,2.0,27.0,55.0,3.0,,25.0,10.0,5.0,5.0,6.0,3.0,2.0,181.0,11.0,5.0,15.0,3.0,2.0,5.0,5.0,157.0,125.0,46.0,,11.0,1.0,11.0,1.0,,,2.0,22.0,11.0,1.0,10.0,6.0,3.0,24.0,307.0,,,,0.0,179.0,11.0,1.0,,1.0,1.0,1.0,,50.0,121.0,4.0,101.0,1.0,16.0,15.0,5.0,,3.0,3.0,125.0,2.0,7.0,161.0,792.0,2.0,2.0,41.0,,9.0,511.0,17.0,2.0,4.0,,3.0,2.0,1.0,20.0,582.0,62.0,,1.0,91651,4.0,227.0,,12.0,1.0,247.0,5.0,1.0,2.0,9.0,6.0,44.0,,,6.0,20.0,3.0,6.0,,,39.0,529.0,8.0,8.0,,11.0,1.0,58.0,1.0,1.0,0.0,,7.0,1.0,3.0,0.0,5.0,,2.0,66.0,19.0,1.0,11.0,,6.0,1.0,,43.0,7.0,,600.0,9.0,,6.0,18.0,5.0,41.0,,2.0,375.0,4.0,3.0,11.0,138.0,20.0,,4.0,12.0,9.0,5.0,25.0,,9.0,7.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,3.0,,1.0,2.0,,1.0,1.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
36,2293163,2023-05-13 15:00:00,"Stamford Bridge, London",40030.0,Home,Chelsea,Nottingham Forest,2,2,D,0,1,0,0,1.0,20.0,50.0,,4.0,28.0,17.0,5.0,3.0,8.0,,2.0,194.0,8.0,4.0,15.0,2.0,6.0,11.0,6.0,216.0,137.0,60.0,1.0,14.0,1.0,13.0,1.0,1.0,2.0,,17.0,9.0,3.0,17.0,1.0,8.0,37.0,394.0,,,,0.0,210.0,13.0,,,,1.0,3.0,1.0,91.0,127.0,9.0,95.0,,16.0,11.0,6.0,1.0,6.0,2.0,137.0,1.0,10.0,203.0,908.0,9.0,1.0,32.0,1.0,3.0,607.0,17.0,4.0,12.0,1.0,3.0,1.0,2.0,27.0,684.0,81.0,2.0,1.0,91651,4.0,241.0,1.0,7.0,1.0,259.0,4.0,2.0,4.0,6.0,7.0,56.0,4.0,1.0,5.0,14.0,1.0,7.0,3.0,,45.0,631.0,15.0,5.0,1.0,7.0,,64.0,,1.0,0.0,3.0,5.0,,2.0,0.0,4.0,1.0,3.0,76.1,26.0,1.0,5.0,1.0,5.0,5.0,,52.0,2.0,1.0,708.0,3.0,1.0,16.0,16.0,3.0,35.0,,1.0,466.0,8.0,7.0,16.0,165.0,23.0,,12.0,14.0,12.0,3.0,27.0,,6.0,2.0,,1.0,,,,,,1.0,2.0,,,1.0,1.0,,2.0,,2.0,,1.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
37,2293174,2023-05-21 16:00:00,"Etihad Stadium, Manchester",53490.0,Away,Chelsea,Manchester City,0,1,L,0,1,0,0,,15.0,45.0,,2.0,20.0,13.0,4.0,5.0,9.0,1.0,2.0,129.0,6.0,3.0,10.0,,2.0,11.0,6.0,83.0,80.0,43.0,1.0,13.0,1.0,4.0,3.0,1.0,,,10.0,12.0,3.0,13.0,2.0,,45.0,112.0,,,,0.0,77.0,9.0,,1.0,,1.0,,,31.0,32.0,7.0,68.0,1.0,8.0,12.0,4.0,1.0,,,80.0,2.0,10.0,100.0,522.0,8.0,1.0,24.0,1.0,6.0,311.0,21.0,1.0,5.0,1.0,2.0,6.0,4.0,10.0,357.0,27.0,1.0,,86129,4.0,221.0,2.0,8.0,1.0,244.0,7.0,,,10.0,8.0,28.0,1.0,2.0,2.0,13.0,5.0,8.0,1.0,,42.0,330.0,11.0,7.0,3.0,4.0,2.0,35.0,4.0,,0.0,,5.0,,,0.0,1.0,,4.0,35.4,10.0,2.0,5.0,2.0,2.0,3.0,,23.0,2.0,,380.0,6.0,,1.0,23.0,4.0,22.0,2.0,3.0,146.0,4.0,,5.0,59.0,16.0,1.0,5.0,17.0,9.0,5.0,17.0,1.0,10.0,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,3.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
38,2293183,2023-05-28 16:30:00,"Stamford Bridge, London",40130.0,Home,Chelsea,Newcastle United,1,1,D,1,1,0,0,,12.0,49.0,,4.0,21.0,10.0,9.0,6.0,13.0,3.0,3.0,156.0,6.0,5.0,14.0,1.0,3.0,17.0,5.0,173.0,115.0,52.0,1.0,22.0,4.0,5.0,2.0,2.0,2.0,1.0,27.0,9.0,3.0,10.0,9.0,3.0,33.0,299.0,,,,0.0,209.0,9.0,,,,1.0,,1.0,70.0,76.0,11.0,98.0,1.0,18.0,17.0,9.0,1.0,8.0,2.0,115.0,2.0,8.0,166.0,783.0,14.0,5.0,47.0,,7.0,509.0,23.0,1.0,5.0,2.0,0.0,3.0,6.0,15.0,574.0,52.0,,,91651,7.0,233.0,2.0,10.0,1.0,252.0,7.0,,4.0,7.0,5.0,42.0,1.0,2.0,7.0,10.0,5.0,5.0,5.0,,35.0,527.0,11.0,14.0,3.0,5.0,3.0,38.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,64.4,15.0,1.0,9.0,1.0,7.0,8.0,,29.0,10.0,1.0,593.0,7.0,1.0,5.0,19.0,9.0,40.0,3.0,7.0,368.0,14.0,3.0,6.0,173.0,10.0,1.0,5.0,21.0,17.0,5.0,23.0,1.0,7.0,10.0,,,,,,1.0,2.0,,,2.0,1.0,,2.0,,,,1.0,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
