gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,midfielderGoals,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,attSetpiece,attRfGoal,ownGoals,totalThroughBall,goalsOpenplay,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,shieldBallOop,attHdMiss,effectiveBlockedCross,attIboxOwnGoal,goalsConcededIbox,blockedCross,attGoalLowLeft,shotFastbreak,totalFastbreak,contentiousDecision,errorLeadToShot,defenderGoals,attFastbreak,punches,attOboxTarget,ptsGainedLosingPos,goodHighClaim,attObxdLeft,attSvHighCentre,errorLeadToGoal,goalsConcededObox,attSvHighRight,attGoalHighCentre,attFreekickTarget,savedObox,attHdTarget,attCmissHighLeft,attCmissHigh,goalAssistDeadball,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,penaltyWon,attPenGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attSvHighLeft,expectedAssists,expectedGoalsFreekick,expectedGoals,clearanceOffLine,ptsDroppedWinningPos,foulThrowIn,attPostHigh,attOboxPost,attPostRight,attCmissHighRight,attObxLeft,subsGoals,attLgCentre,attPenMiss
26,2293060,2023-03-04 15:00:00,"Emirates Stadium, London",60222,Home,Arsenal,Bournemouth,3,2,W,0,1,0,0,,3.0,1.0,24.0,65.0,4.0,1.0,15.0,5.0,15.0,20.0,16.0,2.0,188.0,1.0,12.0,6.0,16.0,3.0,3.0,25.0,,,9.0,216.0,153.0,60.0,2.0,31.0,8.0,15.0,3.0,3.0,1.0,48.0,10.0,5.0,10.0,6.0,27.0,541.0,2.0,,0.0,403.0,6.0,1.0,2.0,1.0,113.0,163.0,17.0,103.0,,3.0,38.0,22.0,15.0,2.0,4.0,4.0,153.0,1.0,4.0,233.0,931.0,23.0,4.0,78.0,2.0,640.0,18.0,,2.0,2.0,0.0,,8.0,11.0,724.0,84.0,1.0,85955,6.0,121.0,1.0,33.0,140.0,2.0,3.0,6.0,1.0,41.0,,2.0,11.0,,1.0,23.0,656.0,8.0,4.0,4.0,11.0,50.0,0.0,,1.0,2.0,3.0,1.0,0.0,5.0,2.0,2.0,80.1,11.0,10.0,3.0,2.0,12.0,38.0,17.0,,740.0,2.0,2.0,9.0,17.0,10.0,69.0,1.0,6.0,648.0,9.0,5.0,19.0,352.0,35.0,,2.0,17.0,,18.0,4.0,23.0,6.0,17.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,2.0,,1.0,1.0,3.0,,3.0,1.0,2.0,,,,,2.0,,,1.0,1.0,3.0,,,1.0,,3.0,3.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,
27,2293073,2023-03-12 14:00:00,"Craven Cottage, London",24426,Away,Arsenal,Fulham,3,0,W,3,0,0,0,,2.0,1.0,20.0,62.0,3.0,1.0,18.0,20.0,4.0,8.0,11.0,2.0,166.0,1.0,7.0,5.0,14.0,3.0,3.0,13.0,1.0,1.0,7.0,144.0,117.0,55.0,1.0,15.0,2.0,16.0,3.0,,,18.0,14.0,20.0,8.0,9.0,31.0,216.0,,1.0,0.0,128.0,9.0,2.0,2.0,2.0,43.0,76.0,9.0,79.0,,1.0,10.0,17.0,4.0,1.0,1.0,1.0,117.0,4.0,7.0,150.0,713.0,8.0,,29.0,5.0,458.0,21.0,,7.0,3.0,1.0,4.0,3.0,12.0,523.0,45.0,,85955,8.0,255.0,3.0,7.0,271.0,5.0,1.0,7.0,6.0,49.0,2.0,7.0,12.0,5.0,2.0,47.0,466.0,10.0,10.0,11.0,4.0,60.0,0.0,,4.0,2.0,3.0,,0.0,3.0,3.0,2.0,55.3,9.0,8.0,,7.0,5.0,33.0,8.0,,539.0,5.0,,10.0,11.0,3.0,34.0,2.0,2.0,286.0,5.0,9.0,11.0,97.0,26.0,1.0,7.0,20.0,2.0,10.0,5.0,18.0,7.0,8.0,1.0,1.0,2.0,,1.0,2.0,2.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,2293080,2023-03-19 14:00:00,"Emirates Stadium, London",60247,Home,Arsenal,Crystal Palace,4,1,W,2,0,0,0,,1.0,1.0,21.0,62.0,3.0,,23.0,10.0,5.0,10.0,10.0,4.0,182.0,1.0,11.0,6.0,7.0,4.0,2.0,12.0,,2.0,5.0,159.0,131.0,50.0,,15.0,2.0,11.0,,2.0,1.0,25.0,9.0,10.0,5.0,5.0,37.0,306.0,1.0,,0.0,217.0,8.0,2.0,,1.0,67.0,79.0,8.0,87.0,,2.0,20.0,22.0,5.0,,3.0,2.0,131.0,1.0,8.0,159.0,764.0,5.0,1.0,43.0,4.0,495.0,20.0,3.0,5.0,4.0,0.0,3.0,4.0,14.0,570.0,76.0,1.0,85955,6.0,209.0,,16.0,223.0,4.0,3.0,11.0,3.0,41.0,2.0,1.0,10.0,1.0,2.0,41.0,509.0,10.0,4.0,9.0,2.0,64.0,0.0,2.0,4.0,4.0,4.0,,0.0,4.0,4.0,3.0,62.2,12.0,10.0,,1.0,5.0,49.0,5.0,,587.0,4.0,,8.0,16.0,5.0,40.0,2.0,3.0,389.0,2.0,5.0,18.0,163.0,30.0,3.0,5.0,15.0,,12.0,5.0,17.0,11.0,5.0,1.0,4.0,,,,4.0,,,,,,1.0,,,,1.0,,3.0,1.0,1.0,,,3.0,4.0,,3.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2293091,2023-04-01 15:00:00,"Emirates Stadium, London",60283,Home,Arsenal,Leeds United,4,1,W,1,0,0,0,,,4.0,22.0,56.0,4.0,,21.0,17.0,1.0,3.0,11.0,4.0,187.0,2.0,6.0,6.0,13.0,4.0,2.0,9.0,1.0,,6.0,184.0,137.0,60.0,,13.0,1.0,12.0,1.0,1.0,,11.0,9.0,17.0,4.0,6.0,27.0,323.0,,,0.0,181.0,11.0,2.0,1.0,2.0,134.0,81.0,8.0,97.0,2.0,,7.0,23.0,2.0,,3.0,,137.0,5.0,6.0,168.0,814.0,4.0,1.0,32.0,8.0,530.0,25.0,,9.0,3.0,0.0,1.0,1.0,14.0,620.0,60.0,1.0,85955,7.0,227.0,2.0,2.0,254.0,5.0,2.0,11.0,4.0,50.0,5.0,2.0,12.0,1.0,3.0,39.0,544.0,12.0,6.0,9.0,2.0,74.0,0.0,,3.0,4.0,4.0,,0.0,4.0,3.0,4.0,67.1,12.0,8.0,,2.0,5.0,56.0,4.0,,636.0,8.0,,8.0,8.0,2.0,21.0,2.0,2.0,393.0,6.0,6.0,20.0,130.0,21.0,2.0,9.0,15.0,1.0,10.0,5.0,26.0,11.0,4.0,,,1.0,,,3.0,,,1.0,,,1.0,,,,,,1.0,1.0,,3.0,,2.0,3.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,
30,2293105,2023-04-09 16:30:00,"Anfield, Liverpool",53267,Away,Arsenal,Liverpool,2,2,D,2,1,0,0,1.0,2.0,2.0,27.0,66.0,1.0,,25.0,28.0,3.0,6.0,6.0,4.0,148.0,,11.0,4.0,17.0,2.0,2.0,6.0,,,5.0,87.0,142.0,61.0,,9.0,1.0,14.0,1.0,,,11.0,11.0,28.0,4.0,5.0,54.0,137.0,,,0.0,127.0,11.0,3.0,1.0,2.0,59.0,47.0,4.0,55.0,2.0,1.0,7.0,17.0,3.0,,,,142.0,2.0,19.0,82.0,586.0,4.0,3.0,25.0,10.0,270.0,31.0,1.0,13.0,1.0,4.0,5.0,2.0,12.0,345.0,64.0,,85955,3.0,152.0,1.0,5.0,170.0,6.0,2.0,10.0,11.0,50.0,2.0,2.0,18.0,2.0,5.0,65.0,285.0,10.0,4.0,11.0,1.0,61.0,0.0,4.0,5.0,4.0,2.0,,0.0,2.0,1.0,2.0,41.0,10.0,3.0,2.0,2.0,2.0,30.0,4.0,,372.0,10.0,,9.0,27.0,2.0,18.0,2.0,2.0,213.0,1.0,5.0,13.0,82.0,28.0,2.0,13.0,21.0,1.0,7.0,3.0,30.0,10.0,4.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,
31,2293118,2023-04-16 14:00:00,"London Stadium, London",62475,Away,Arsenal,West Ham United,2,2,D,2,1,0,0,,1.0,2.0,19.0,47.0,2.0,,22.0,24.0,1.0,6.0,10.0,1.0,178.0,2.0,6.0,6.0,11.0,2.0,4.0,6.0,,1.0,5.0,176.0,123.0,52.0,,11.0,,23.0,3.0,1.0,2.0,17.0,9.0,24.0,2.0,6.0,33.0,274.0,,,0.0,176.0,8.0,,,2.0,70.0,63.0,4.0,84.0,,2.0,15.0,12.0,1.0,,3.0,1.0,123.0,2.0,13.0,163.0,773.0,3.0,6.0,23.0,3.0,501.0,25.0,1.0,11.0,2.0,2.0,7.0,2.0,20.0,577.0,59.0,1.0,85955,6.0,255.0,1.0,10.0,282.0,3.0,,7.0,9.0,54.0,1.0,4.0,10.0,3.0,9.0,47.0,523.0,9.0,6.0,15.0,1.0,62.0,0.0,,7.0,1.0,2.0,,0.0,5.0,2.0,3.0,71.5,14.0,2.0,1.0,4.0,2.0,43.0,2.0,,601.0,3.0,,7.0,18.0,4.0,30.0,1.0,3.0,336.0,2.0,6.0,19.0,138.0,16.0,1.0,11.0,13.0,,6.0,5.0,21.0,7.0,2.0,,2.0,1.0,,,2.0,3.0,,,,,1.0,,,,,,,,3.0,,,1.0,2.0,,1.0,,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,1.0
32,2293121,2023-04-21 20:00:00,"Emirates Stadium, London",60175,Home,Arsenal,Southampton,3,3,D,1,2,0,0,,,2.0,18.0,65.0,7.0,,27.0,4.0,7.0,10.0,18.0,3.0,207.0,1.0,5.0,8.0,11.0,3.0,3.0,19.0,3.0,,6.0,178.0,153.0,57.0,,25.0,1.0,11.0,3.0,2.0,3.0,30.0,10.0,4.0,4.0,9.0,48.0,403.0,1.0,,0.0,283.0,10.0,,1.0,3.0,125.0,112.0,10.0,95.0,1.0,2.0,26.0,18.0,7.0,,6.0,4.0,153.0,2.0,6.0,190.0,862.0,16.0,2.0,75.0,4.0,554.0,25.0,,2.0,2.0,1.0,,9.0,25.0,647.0,108.0,,85955,11.0,182.0,1.0,17.0,202.0,6.0,6.0,5.0,3.0,55.0,1.0,3.0,12.0,2.0,3.0,47.0,577.0,14.0,12.0,5.0,6.0,62.0,0.0,1.0,2.0,2.0,2.0,,0.0,6.0,1.0,5.0,74.2,23.0,4.0,2.0,3.0,8.0,42.0,7.0,,670.0,4.0,,10.0,27.0,11.0,57.0,2.0,6.0,498.0,10.0,8.0,15.0,230.0,33.0,2.0,2.0,17.0,,17.0,3.0,23.0,5.0,7.0,1.0,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,,,1.0,,,4.0,2.0,2.0,1.0,,14.0,3.0,4.0,1.0,,2.0,3.0,,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
33,2293138,2023-04-26 20:00:00,"Etihad Stadium, Manchester",53482,Away,Arsenal,Manchester City,1,4,L,0,2,0,0,,1.0,,11.0,44.0,2.0,,15.0,12.0,4.0,4.0,4.0,5.0,137.0,,5.0,,9.0,1.0,2.0,5.0,1.0,2.0,2.0,117.0,102.0,42.0,1.0,8.0,1.0,15.0,,,,8.0,4.0,12.0,3.0,4.0,38.0,124.0,,,0.0,92.0,13.0,5.0,,1.0,29.0,56.0,3.0,78.0,,2.0,5.0,12.0,4.0,1.0,2.0,2.0,102.0,,11.0,125.0,584.0,3.0,5.0,20.0,5.0,371.0,15.0,1.0,3.0,1.0,1.0,2.0,2.0,13.0,435.0,47.0,,85955,4.0,263.0,,2.0,287.0,6.0,1.0,6.0,6.0,46.0,1.0,2.0,8.0,3.0,2.0,39.0,387.0,11.0,7.0,6.0,1.0,52.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,,,1.0,48.1,11.0,1.0,,2.0,3.0,31.0,3.0,,457.0,5.0,1.0,8.0,17.0,3.0,15.0,,1.0,178.0,3.0,4.0,12.0,62.0,25.0,,3.0,10.0,,2.0,5.0,12.0,6.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,4.0,1.0,,,,1.0,1.0,,,4.0,,1.0,1.0,,3.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,2293141,2023-05-02 20:00:00,"Emirates Stadium, London",60144,Home,Arsenal,Chelsea,3,1,W,3,0,0,0,,4.0,2.0,15.0,63.0,3.0,,19.0,12.0,3.0,10.0,13.0,3.0,153.0,,8.0,4.0,6.0,3.0,2.0,11.0,1.0,1.0,10.0,149.0,115.0,40.0,,16.0,,20.0,6.0,2.0,,18.0,4.0,12.0,5.0,6.0,31.0,257.0,,,0.0,162.0,10.0,2.0,2.0,2.0,71.0,69.0,10.0,94.0,,2.0,13.0,21.0,3.0,,1.0,2.0,115.0,1.0,5.0,147.0,707.0,8.0,,42.0,7.0,456.0,15.0,1.0,7.0,2.0,0.0,2.0,1.0,10.0,523.0,56.0,,85955,5.0,217.0,2.0,10.0,237.0,4.0,2.0,8.0,5.0,52.0,1.0,5.0,8.0,2.0,1.0,39.0,470.0,10.0,9.0,9.0,5.0,59.0,0.0,,2.0,3.0,3.0,,0.0,3.0,2.0,2.0,54.8,6.0,2.0,,5.0,3.0,37.0,7.0,,543.0,7.0,,9.0,16.0,3.0,32.0,1.0,1.0,324.0,4.0,6.0,12.0,129.0,36.0,1.0,7.0,12.0,,11.0,5.0,12.0,8.0,7.0,1.0,2.0,1.0,,,2.0,4.0,,,,,2.0,,,,,,2.0,2.0,,1.0,,4.0,3.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,2293155,2023-05-07 16:30:00,"St. James' Park, Newcastle",50267,Away,Arsenal,Newcastle United,2,0,W,1,0,0,0,1.0,2.0,,20.0,65.0,1.0,1.0,9.0,24.0,2.0,5.0,8.0,5.0,131.0,,11.0,,6.0,2.0,1.0,9.0,,,6.0,80.0,122.0,57.0,,10.0,1.0,17.0,5.0,2.0,,5.0,18.0,24.0,2.0,4.0,35.0,114.0,,1.0,0.0,101.0,12.0,2.0,2.0,1.0,33.0,41.0,7.0,59.0,,1.0,3.0,16.0,2.0,,1.0,,122.0,2.0,9.0,76.0,552.0,8.0,1.0,24.0,8.0,265.0,27.0,1.0,9.0,1.0,1.0,3.0,2.0,17.0,318.0,47.0,,85955,2.0,160.0,2.0,1.0,177.0,8.0,,11.0,6.0,58.0,1.0,5.0,20.0,3.0,2.0,41.0,274.0,16.0,12.0,10.0,1.0,49.0,0.0,1.0,9.0,3.0,1.0,,0.0,,,,45.7,12.0,6.0,3.0,5.0,2.0,20.0,4.0,4.0,346.0,8.0,,11.0,12.0,2.0,18.0,,1.0,174.0,5.0,4.0,12.0,64.0,19.0,,9.0,23.0,,8.0,5.0,13.0,11.0,4.0,1.0,1.0,3.0,1.0,,,3.0,1.0,,,1.0,1.0,,,1.0,,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
36,2293160,2023-05-14 16:30:00,"Emirates Stadium, London",60139,Home,Arsenal,Brighton and Hove Albion,0,3,L,0,0,0,0,,,,18.0,52.0,2.0,,14.0,6.0,3.0,5.0,11.0,3.0,138.0,,6.0,2.0,8.0,,3.0,12.0,,4.0,2.0,77.0,120.0,51.0,,14.0,2.0,11.0,2.0,,2.0,11.0,6.0,6.0,5.0,1.0,46.0,129.0,,,0.0,108.0,13.0,1.0,,2.0,32.0,53.0,5.0,48.0,,5.0,6.0,19.0,3.0,,2.0,1.0,120.0,1.0,7.0,97.0,517.0,11.0,1.0,28.0,7.0,255.0,22.0,,4.0,,1.0,1.0,7.0,11.0,332.0,49.0,2.0,85955,5.0,149.0,1.0,2.0,167.0,6.0,2.0,11.0,5.0,52.0,1.0,4.0,9.0,5.0,1.0,43.0,276.0,16.0,13.0,5.0,3.0,54.0,0.0,1.0,2.0,1.0,,,0.0,2.0,,2.0,40.9,10.0,8.0,3.0,4.0,4.0,26.0,5.0,1.0,360.0,7.0,,11.0,15.0,8.0,22.0,,6.0,204.0,7.0,,8.0,64.0,17.0,,4.0,20.0,,10.0,5.0,12.0,11.0,5.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,3.0,,2.0,,,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
37,2293176,2023-05-20 17:30:00,"The City Ground, Nottingham",29514,Away,Arsenal,Nottingham Forest,0,1,L,0,1,0,0,1.0,,,20.0,60.0,1.0,,10.0,12.0,4.0,2.0,7.0,1.0,181.0,,9.0,1.0,5.0,,1.0,8.0,,,3.0,231.0,134.0,48.0,,11.0,,9.0,3.0,2.0,1.0,19.0,3.0,12.0,5.0,2.0,25.0,472.0,,,0.0,316.0,12.0,,,,80.0,167.0,2.0,90.0,,2.0,15.0,17.0,4.0,,6.0,4.0,134.0,,5.0,222.0,881.0,6.0,1.0,32.0,6.0,626.0,23.0,1.0,8.0,,2.0,1.0,6.0,11.0,706.0,82.0,,85955,2.0,173.0,,9.0,205.0,7.0,2.0,4.0,2.0,44.0,1.0,9.0,16.0,1.0,2.0,30.0,644.0,9.0,7.0,13.0,4.0,40.0,0.0,1.0,3.0,1.0,,,0.0,,,1.0,81.7,11.0,5.0,1.0,9.0,1.0,35.0,6.0,2.0,724.0,6.0,,11.0,9.0,7.0,41.0,2.0,2.0,538.0,8.0,2.0,27.0,275.0,23.0,,8.0,8.0,,7.0,3.0,12.0,4.0,6.0,,,3.0,1.0,,,2.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,2.0,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
38,2293180,2023-05-28 16:30:00,"Emirates Stadium, London",60095,Home,Arsenal,Wolverhampton Wanderers,5,0,W,3,0,0,0,,,3.0,17.0,42.0,1.0,,17.0,14.0,3.0,4.0,11.0,,136.0,,9.0,1.0,11.0,5.0,3.0,11.0,,,8.0,133.0,88.0,49.0,1.0,14.0,1.0,12.0,2.0,3.0,2.0,14.0,14.0,14.0,6.0,4.0,33.0,224.0,1.0,1.0,0.0,163.0,8.0,,,2.0,42.0,72.0,8.0,71.0,,1.0,8.0,15.0,3.0,1.0,1.0,1.0,88.0,3.0,4.0,116.0,599.0,7.0,,41.0,2.0,392.0,14.0,1.0,8.0,4.0,0.0,2.0,3.0,11.0,440.0,47.0,,85955,4.0,183.0,1.0,5.0,194.0,4.0,1.0,9.0,5.0,45.0,1.0,2.0,10.0,2.0,5.0,32.0,406.0,10.0,16.0,2.0,1.0,43.0,0.0,2.0,4.0,,5.0,,0.0,1.0,3.0,2.0,51.0,9.0,6.0,1.0,2.0,2.0,33.0,8.0,,456.0,2.0,,5.0,15.0,4.0,36.0,,3.0,276.0,8.0,3.0,11.0,129.0,20.0,2.0,8.0,17.0,2.0,12.0,5.0,15.0,9.0,8.0,2.0,2.0,3.0,,,4.0,1.0,,,,,2.0,,,,,,1.0,,,1.0,,3.0,4.0,,,1.0,,,,,1.0,,,1.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
