gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goals,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,goodHighClaim,bigChanceCreated,attHdTarget,hitWoodwork,goalAssist,totalKeeperSweeper,accurateThroughBall,attBxCentre,bigChanceMissed,attObxdLeft,attRfGoal,goalsOpenplay,attAssistSetplay,attFreekickTarget,attIboxGoal,attOboxPost,attPostHigh,goalAssistIntentional,attHdTotal,attHdMiss,totalHighClaim,attIboxMiss,forwardGoals,accuratePullBack,attCmissRight,attMissHighRight,errorLeadToShot,attSetpiece,totalPullBack,shieldBallOop,attLfTarget,attGoalLowRight,midfielderGoals,accurateFreekickCross,attSvLowRight,accurateCornersIntobox,attHdGoal,goalAssistSetplay,attGoalLowCentre,shotFastbreak,totalFastbreak,attLgCentre,sixYardBlock,defenderGoals,attFastbreak,punches,attPenTarget,penaltyWon,attGoalHighLeft,attGoalHighCentre,goalFastbreak,attSvHighLeft,ownGoals,attIboxOwnGoal,attIboxPost,attGoalHighRight,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,secondYellow,attPostRight,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,attFreekickGoal,attObxLeft,attHdPost,attSvHighCentre,attPenMiss,attCmissHighRight,foulThrowIn,attObxdRight,attCmissHighLeft
28,321932,2011-02-28 20:00:00,"bet365 Stadium, Stoke",25019,Away,West Bromwich Albion,Stoke City,1,1,D,0,0,0,0,,57.0,1.0,1.0,29.0,40.0,6.0,8.0,2.0,169.0,5.0,11.0,4.0,15.0,11.0,107.0,190.0,70.0,1.0,19.0,1.0,22.0,2.0,12.0,18.0,3.0,18.0,,14.0,36.0,189.0,0.0,136.0,17.0,1.0,2.0,5.0,62.0,68.0,10.0,58.0,,,12.0,1.0,4.0,2.0,167.0,4.0,92.0,645.0,13.0,11.0,11.0,20.0,1.0,4.0,28.0,2.0,2.0,5.0,30.0,93.0,6251,133.0,3.0,153.0,6.0,57.0,,2.0,1.0,4.0,17.0,4.0,1.0,2.0,62.0,317.0,16.0,2.0,29.0,87.0,2.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,5.0,59.5,23.0,,1.0,3.0,4.0,2.0,,40.0,,426.0,8.0,,11.0,17.0,6.0,23.0,285.0,7.0,13.0,17.0,76.0,26.0,1.0,12.0,25.0,1.0,16.0,3.0,18.0,,2.0,,2.0,1.0,,1.0,7.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,2.0,3.0,1.0,,,,1.0,1.0,,1.0,6.0,,,1.0,5.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,
29,321938,2011-03-05 12:45:00,"St. Andrew's Stadium, Birmingham",27013,Away,West Bromwich Albion,Birmingham City,3,1,W,0,0,0,0,,74.0,3.0,,26.0,34.0,4.0,2.0,1.0,178.0,5.0,6.0,,8.0,5.0,96.0,177.0,53.0,,10.0,1.0,11.0,1.0,16.0,18.0,1.0,15.0,1.0,26.0,49.0,191.0,0.0,162.0,10.0,,,,83.0,71.0,5.0,79.0,,,15.0,,7.0,1.0,157.0,5.0,99.0,667.0,5.0,7.0,22.0,32.0,1.0,5.0,24.0,1.0,1.0,3.0,27.0,86.0,6251,160.0,8.0,173.0,7.0,51.0,,5.0,2.0,3.0,4.0,7.0,3.0,1.0,64.0,346.0,9.0,6.0,28.0,81.0,,0.0,,7.0,,1.0,2.0,0.0,5.0,49.9,21.0,,5.0,,3.0,1.0,,33.0,3.0,452.0,18.0,,16.0,17.0,4.0,22.0,295.0,5.0,23.0,15.0,95.0,28.0,7.0,11.0,23.0,1.0,9.0,3.0,14.0,,8.0,3.0,,1.0,,3.0,1.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,3.0,,1.0,4.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,2.0,3.0,1.0,2.0,2.0,,,,,1.0,,,,,,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,
30,321955,2011-03-19 15:00:00,"The Hawthorns, West Bromwich",25729,Home,West Bromwich Albion,Arsenal,2,2,D,1,0,0,0,,69.0,1.0,1.0,18.0,44.0,1.0,2.0,,117.0,2.0,7.0,1.0,4.0,2.0,26.0,158.0,36.0,,4.0,,16.0,,11.0,12.0,,21.0,2.0,14.0,14.0,56.0,0.0,57.0,10.0,2.0,,2.0,41.0,23.0,3.0,41.0,1.0,1.0,9.0,,,,135.0,11.0,48.0,445.0,2.0,5.0,28.0,30.0,,7.0,27.0,1.0,4.0,1.0,15.0,52.0,6251,97.0,7.0,121.0,10.0,55.0,,1.0,5.0,,10.0,6.0,4.0,,51.0,151.0,7.0,13.0,36.0,69.0,,0.0,3.0,7.0,3.0,2.0,2.0,0.0,1.0,26.1,11.0,,2.0,,,1.0,,24.0,2.0,232.0,24.0,,13.0,10.0,1.0,8.0,122.0,1.0,12.0,6.0,20.0,21.0,4.0,14.0,16.0,2.0,3.0,2.0,11.0,1.0,4.0,2.0,1.0,,1.0,2.0,,1.0,,,1.0,,,2.0,1.0,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
31,321964,2011-04-02 15:00:00,"The Hawthorns, West Bromwich",26196,Home,West Bromwich Albion,Liverpool,2,1,W,0,0,0,0,,59.0,2.0,1.0,24.0,21.0,10.0,12.0,3.0,150.0,2.0,12.0,6.0,14.0,10.0,93.0,153.0,53.0,2.0,20.0,5.0,10.0,1.0,16.0,15.0,3.0,8.0,,17.0,32.0,214.0,0.0,175.0,10.0,5.0,1.0,3.0,68.0,54.0,12.0,59.0,1.0,1.0,16.0,2.0,4.0,2.0,139.0,11.0,98.0,605.0,12.0,5.0,17.0,23.0,1.0,11.0,18.0,2.0,1.0,2.0,20.0,93.0,6251,112.0,9.0,127.0,8.0,49.0,,1.0,1.0,9.0,9.0,2.0,3.0,,53.0,324.0,14.0,3.0,31.0,69.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,0.0,2.0,50.7,13.0,,4.0,4.0,9.0,6.0,1.0,38.0,,400.0,14.0,1.0,12.0,16.0,4.0,22.0,289.0,7.0,16.0,8.0,125.0,22.0,4.0,6.0,19.0,1.0,15.0,2.0,26.0,,5.0,,,2.0,1.0,2.0,5.0,3.0,,,,4.0,,1.0,,1.0,,,,,2.0,,,,,2.0,,2.0,,,,1.0,,1.0,2.0,,,,1.0,,1.0,,,4.0,,2.0,,1.0,,,,1.0,2.0,2.0,,,,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,,,2.0,,2.0,,,,,,,,,,
32,321974,2011-04-09 15:00:00,"Stadium of Light, Sunderland",41586,Away,West Bromwich Albion,Sunderland,3,2,W,1,2,0,0,1.0,52.0,,,22.0,56.0,6.0,8.0,,170.0,3.0,5.0,1.0,8.0,8.0,55.0,185.0,61.0,1.0,12.0,1.0,17.0,,17.0,18.0,3.0,28.0,2.0,11.0,25.0,150.0,0.0,117.0,11.0,,1.0,2.0,49.0,40.0,8.0,47.0,1.0,1.0,15.0,1.0,5.0,2.0,157.0,6.0,71.0,578.0,4.0,9.0,14.0,22.0,1.0,9.0,32.0,1.0,5.0,,27.0,82.0,6251,103.0,8.0,125.0,13.0,58.0,,2.0,3.0,1.0,14.0,5.0,9.0,1.0,51.0,250.0,10.0,10.0,35.0,93.0,,0.0,1.0,5.0,,2.0,5.0,0.0,2.0,49.7,21.0,,,,2.0,1.0,,44.0,2.0,343.0,10.0,,16.0,15.0,3.0,19.0,235.0,3.0,10.0,22.0,70.0,22.0,3.0,16.0,24.0,1.0,9.0,3.0,10.0,,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,,3.0,,,3.0,,,2.0,2.0,1.0,1.0,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,1.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
33,321984,2011-04-16 15:00:00,"The Hawthorns, West Bromwich",25163,Home,West Bromwich Albion,Chelsea,1,3,L,1,3,0,0,,59.0,2.0,3.0,20.0,27.0,6.0,4.0,,157.0,6.0,4.0,2.0,12.0,2.0,100.0,138.0,30.0,1.0,14.0,1.0,6.0,3.0,15.0,10.0,,16.0,3.0,12.0,34.0,161.0,0.0,125.0,8.0,4.0,,,52.0,36.0,5.0,62.0,3.0,1.0,12.0,1.0,5.0,5.0,127.0,15.0,71.0,589.0,10.0,5.0,21.0,32.0,1.0,3.0,11.0,1.0,2.0,7.0,21.0,74.0,6251,155.0,7.0,175.0,10.0,39.0,1.0,3.0,,10.0,10.0,6.0,9.0,3.0,40.0,310.0,9.0,2.0,12.0,69.0,3.0,0.0,3.0,5.0,3.0,3.0,,0.0,4.0,40.4,20.0,,2.0,1.0,10.0,4.0,,42.0,3.0,390.0,13.0,1.0,9.0,18.0,8.0,14.0,230.0,6.0,12.0,4.0,82.0,13.0,3.0,5.0,13.0,3.0,12.0,3.0,18.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,3.0,6.0,,,1.0,1.0,1.0,,1.0,,,1.0,3.0,2.0,,3.0,1.0,,1.0,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,321995,2011-04-23 15:00:00,"White Hart Lane, London",36160,Away,West Bromwich Albion,Tottenham Hotspur,2,2,D,1,1,0,0,2.0,68.0,,1.0,21.0,32.0,6.0,4.0,,152.0,2.0,5.0,,10.0,3.0,79.0,137.0,35.0,,11.0,1.0,15.0,3.0,7.0,12.0,,19.0,1.0,15.0,24.0,129.0,0.0,93.0,13.0,1.0,1.0,1.0,42.0,30.0,5.0,54.0,,1.0,6.0,,1.0,5.0,124.0,13.0,82.0,559.0,8.0,5.0,16.0,42.0,,5.0,23.0,1.0,10.0,5.0,17.0,63.0,6251,168.0,4.0,188.0,12.0,59.0,,2.0,3.0,6.0,9.0,11.0,8.0,1.0,46.0,295.0,8.0,12.0,21.0,75.0,,0.0,4.0,11.0,1.0,2.0,2.0,0.0,1.0,39.9,11.0,1.0,,,6.0,2.0,,44.0,1.0,367.0,11.0,,13.0,14.0,6.0,13.0,186.0,6.0,14.0,5.0,56.0,20.0,8.0,12.0,17.0,,11.0,3.0,13.0,,8.0,1.0,2.0,,1.0,2.0,1.0,2.0,,,2.0,,,,2.0,1.0,,2.0,,,2.0,2.0,,1.0,2.0,,,1.0,,,,1.0,,,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
35,322005,2011-04-30 15:00:00,"The Hawthorns, West Bromwich",25889,Home,West Bromwich Albion,Aston Villa,2,1,W,0,1,1,0,,37.0,3.0,1.0,15.0,25.0,3.0,3.0,1.0,138.0,2.0,4.0,3.0,8.0,4.0,66.0,141.0,32.0,1.0,11.0,1.0,9.0,1.0,11.0,13.0,1.0,13.0,2.0,10.0,20.0,128.0,0.0,95.0,13.0,3.0,,,31.0,47.0,4.0,29.0,1.0,,9.0,1.0,3.0,1.0,129.0,6.0,68.0,480.0,7.0,3.0,14.0,17.0,,6.0,19.0,2.0,4.0,4.0,24.0,58.0,76358,105.0,6.0,127.0,18.0,50.0,2.0,2.0,2.0,1.0,10.0,7.0,10.0,4.0,34.0,231.0,10.0,4.0,21.0,74.0,,0.0,2.0,7.0,,1.0,,1.0,1.0,41.0,20.0,,,1.0,1.0,2.0,,41.0,3.0,301.0,11.0,1.0,14.0,9.0,5.0,18.0,185.0,6.0,9.0,2.0,62.0,15.0,2.0,10.0,16.0,1.0,5.0,3.0,14.0,,2.0,3.0,,1.0,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,4.0,1.0,,2.0,1.0,1.0,,2.0,,,,2.0,1.0,1.0,4.0,1.0,,,,,4.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
36,322016,2011-05-08 12:00:00,"Molineux Stadium, Wolverhampton",28510,Away,West Bromwich Albion,Wolverhampton Wanderers,1,3,L,0,2,0,0,1.0,60.0,2.0,,24.0,22.0,8.0,3.0,3.0,161.0,3.0,21.0,5.0,11.0,4.0,110.0,171.0,54.0,2.0,15.0,3.0,15.0,1.0,20.0,13.0,1.0,15.0,3.0,12.0,39.0,175.0,0.0,146.0,8.0,3.0,,2.0,58.0,57.0,5.0,44.0,2.0,1.0,17.0,2.0,4.0,4.0,164.0,8.0,104.0,644.0,11.0,9.0,15.0,33.0,,5.0,8.0,1.0,3.0,6.0,32.0,54.0,79843,159.0,11.0,185.0,8.0,60.0,2.0,5.0,2.0,3.0,15.0,6.0,5.0,3.0,38.0,331.0,10.0,8.0,18.0,70.0,1.0,0.0,4.0,8.0,2.0,3.0,3.0,0.0,3.0,54.6,28.0,,1.0,1.0,4.0,3.0,,37.0,4.0,419.0,13.0,2.0,16.0,27.0,8.0,23.0,254.0,11.0,10.0,8.0,107.0,19.0,1.0,4.0,15.0,2.0,11.0,3.0,35.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,,1.0,,2.0,1.0,4.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,3.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,
37,322025,2011-05-14 12:45:00,"The Hawthorns, West Bromwich",25838,Home,West Bromwich Albion,Everton,1,0,W,1,0,0,1,,49.0,,2.0,32.0,38.0,5.0,7.0,2.0,147.0,3.0,8.0,1.0,9.0,4.0,79.0,132.0,45.0,1.0,15.0,2.0,5.0,3.0,16.0,16.0,,28.0,2.0,12.0,22.0,155.0,0.0,117.0,15.0,2.0,,2.0,49.0,57.0,4.0,62.0,,1.0,14.0,1.0,3.0,4.0,122.0,14.0,74.0,564.0,8.0,6.0,10.0,21.0,,7.0,24.0,2.0,8.0,5.0,16.0,50.0,6251,142.0,9.0,155.0,16.0,41.0,1.0,6.0,4.0,4.0,8.0,8.0,8.0,2.0,49.0,294.0,9.0,5.0,23.0,82.0,2.0,0.0,1.0,12.0,2.0,,5.0,0.0,3.0,47.5,12.0,,,3.0,4.0,4.0,,46.0,3.0,362.0,5.0,1.0,12.0,13.0,7.0,18.0,223.0,5.0,12.0,10.0,85.0,16.0,3.0,18.0,18.0,,12.0,3.0,12.0,,3.0,2.0,,1.0,,1.0,3.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,,1.0,,2.0,3.0,3.0,,,1.0,,,1.0,,,1.0,3.0,2.0,4.0,3.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,
38,322032,2011-05-22 16:00:00,"St. James' Park, Newcastle",51678,Away,West Bromwich Albion,Newcastle United,3,3,D,0,2,0,0,,47.0,4.0,,17.0,21.0,3.0,5.0,2.0,134.0,6.0,4.0,1.0,13.0,6.0,88.0,134.0,27.0,,16.0,2.0,9.0,3.0,14.0,9.0,,10.0,6.0,7.0,24.0,141.0,0.0,95.0,9.0,4.0,1.0,1.0,41.0,43.0,7.0,44.0,3.0,1.0,8.0,,1.0,1.0,123.0,13.0,77.0,528.0,8.0,3.0,9.0,26.0,2.0,5.0,9.0,0.0,3.0,6.0,24.0,47.0,79843,148.0,6.0,162.0,14.0,55.0,,2.0,5.0,4.0,12.0,5.0,9.0,1.0,35.0,283.0,3.0,9.0,18.0,62.0,2.0,0.0,1.0,7.0,2.0,3.0,1.0,0.0,3.0,45.4,21.0,,3.0,2.0,4.0,2.0,1.0,44.0,6.0,343.0,8.0,,17.0,18.0,8.0,14.0,195.0,7.0,7.0,9.0,59.0,12.0,5.0,5.0,11.0,3.0,9.0,3.0,16.0,2.0,5.0,6.0,1.0,2.0,,3.0,3.0,1.0,,1.0,2.0,1.0,,1.0,5.0,,,3.0,1.0,2.0,5.0,3.0,,2.0,2.0,2.0,,3.0,,,2.0,4.0,3.0,1.0,7.0,,,,1.0,2.0,2.0,,,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
