gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,ownGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,attSvHighLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attObxdLeft,totalThroughBall,accurateKeeperThrows,attFastbreak,attSvLowRight,savedIbox,shieldBallOop,attHdTotal,attHdMiss,keeperThrows,totalHighClaim,attCmissRight,attFreekickTotal,attObxLeft,attSvHighRight,attSvLowLeft,attMissRight,freekickTotal,attHdTarget,attMissHighLeft,attCmissHighLeft,attAssistSetplay,attCmissLeft,attFreekickMiss,attLfGoal,attPenTarget,postScoringAtt,cleanSheet,penaltyWon,attPostLeft,hitWoodwork,sixYardBlock,attOboxPost,attLgCentre,errorLeadToShot,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,midfielderGoals,totalPullBack,attHdGoal,accuratePullBack,attGoalHighCentre,clearanceOffLine,attGoalHighRight,attPenMiss,defenderGoals,attCmissHighRight,attObxRight,errorLeadToGoal,goalsConcededObox,penaltySave,attOboxGoal,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,goalFastbreak,attIboxPost,attPostHigh,foulThrowIn,attPenGoal,attHdPost,secondYellow,saves,putThrough,blockedPass,attPostRight
28,360744,2012-03-11 14:00:00,"Old Trafford, Manchester",75598,Away,West Bromwich Albion,Manchester United,0,2,L,0,1,1,0,1.0,,48.0,,1.0,29.0,27.0,3.0,,3.0,130.0,4.0,6.0,,1.0,5.0,3.0,88.0,141.0,35.0,7.0,,4.0,1.0,1.0,,,1.0,10.0,15.0,2.0,15.0,5.0,8.0,28.0,148.0,,0.0,92.0,14.0,1.0,56.0,57.0,3.0,49.0,,5.0,,1.0,129.0,18.0,87.0,528.0,3.0,6.0,13.0,25.0,5.0,9.0,,0.0,4.0,2.0,26.0,50.0,9089,2.0,127.0,4.0,,145.0,,9.0,49.0,,,1.0,,14.0,5.0,6.0,,53.0,271.0,5.0,14.0,20.0,68.0,,0.0,1.0,8.0,,2.0,,1.0,2.0,,34.7,23.0,,,1.0,1.0,36.0,5.0,354.0,8.0,9.0,15.0,3.0,12.0,2.0,2.0,219.0,6.0,8.0,6.0,51.0,16.0,,4.0,,4.0,18.0,2.0,5.0,3.0,15.0,4.0,5.0,,,1.0,,,1.0,,,2.0,1.0,,,1.0,,,4.0,,1.0,5.0,,1.0,1.0,4.0,2.0,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
29,360757,2012-03-17 15:00:00,"DW Stadium, Wigan",21379,Away,West Bromwich Albion,Wigan Athletic,1,1,D,0,0,0,0,2.0,,53.0,,2.0,15.0,40.0,3.0,1.0,,110.0,8.0,8.0,1.0,2.0,10.0,1.0,54.0,146.0,46.0,10.0,1.0,10.0,,2.0,,,2.0,20.0,17.0,,22.0,5.0,7.0,22.0,137.0,1.0,0.0,118.0,12.0,2.0,34.0,52.0,4.0,44.0,1.0,15.0,7.0,2.0,128.0,15.0,56.0,478.0,7.0,4.0,18.0,27.0,5.0,22.0,1.0,4.0,2.0,6.0,17.0,67.0,9089,2.0,67.0,6.0,2.0,82.0,,13.0,37.0,1.0,,5.0,,14.0,6.0,5.0,1.0,34.0,196.0,8.0,3.0,13.0,63.0,,0.0,,13.0,1.0,1.0,1.0,0.0,6.0,1.0,39.6,10.0,1.0,1.0,,3.0,29.0,5.0,264.0,14.0,11.0,10.0,6.0,13.0,2.0,4.0,202.0,5.0,7.0,11.0,77.0,14.0,,7.0,,12.0,19.0,1.0,6.0,2.0,11.0,7.0,5.0,1.0,1.0,3.0,1.0,,5.0,1.0,,3.0,1.0,,,,,1.0,5.0,1.0,,1.0,,3.0,2.0,5.0,3.0,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,360768,2012-03-25 16:00:00,"The Hawthorns, West Bromwich",25049,Home,West Bromwich Albion,Newcastle United,1,3,L,0,3,0,0,,1.0,65.0,,2.0,14.0,8.0,7.0,6.0,,183.0,9.0,12.0,1.0,1.0,11.0,2.0,94.0,197.0,56.0,17.0,4.0,8.0,1.0,,,,2.0,31.0,15.0,,4.0,10.0,19.0,36.0,180.0,1.0,0.0,146.0,11.0,,64.0,70.0,2.0,48.0,,21.0,3.0,3.0,193.0,4.0,88.0,620.0,8.0,8.0,10.0,24.0,3.0,6.0,,0.0,1.0,9.0,34.0,54.0,9089,6.0,123.0,18.0,1.0,160.0,,5.0,43.0,,,4.0,1.0,23.0,7.0,3.0,3.0,35.0,294.0,4.0,6.0,14.0,89.0,,0.0,3.0,4.0,1.0,3.0,2.0,0.0,4.0,,51.1,32.0,3.0,2.0,,6.0,48.0,10.0,413.0,4.0,10.0,17.0,9.0,18.0,5.0,6.0,284.0,6.0,17.0,18.0,98.0,35.0,1.0,1.0,,3.0,22.0,3.0,11.0,3.0,20.0,1.0,10.0,1.0,,3.0,,,2.0,,,1.0,,,,,,,2.0,,,1.0,1.0,5.0,5.0,2.0,1.0,,,,,1.0,2.0,,,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,
31,360771,2012-03-31 15:00:00,"Goodison Park, Liverpool",32051,Away,West Bromwich Albion,Everton,0,2,L,0,1,0,0,,,66.0,,2.0,32.0,26.0,5.0,4.0,2.0,162.0,2.0,8.0,,,7.0,2.0,87.0,164.0,36.0,9.0,2.0,6.0,1.0,3.0,,1.0,,17.0,8.0,1.0,14.0,2.0,16.0,19.0,189.0,1.0,0.0,160.0,12.0,,45.0,78.0,4.0,63.0,1.0,15.0,8.0,2.0,152.0,8.0,102.0,619.0,7.0,14.0,16.0,26.0,14.0,13.0,,1.0,4.0,3.0,26.0,86.0,9089,,139.0,7.0,,153.0,,11.0,42.0,,,3.0,,15.0,9.0,4.0,1.0,57.0,326.0,8.0,7.0,38.0,91.0,,0.0,1.0,5.0,,2.0,5.0,0.0,2.0,,46.7,21.0,1.0,,,4.0,53.0,2.0,414.0,13.0,10.0,9.0,3.0,22.0,,1.0,278.0,5.0,15.0,7.0,103.0,24.0,,3.0,,10.0,13.0,,9.0,3.0,15.0,3.0,2.0,,,1.0,,,3.0,,1.0,5.0,,,,1.0,,1.0,11.0,,,4.0,,,,11.0,5.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,
32,360788,2012-04-07 15:00:00,"The Hawthorns, West Bromwich",23414,Home,West Bromwich Albion,Blackburn Rovers,3,0,W,1,0,0,1,1.0,1.0,55.0,,,23.0,17.0,6.0,2.0,2.0,161.0,9.0,5.0,3.0,2.0,11.0,5.0,104.0,152.0,37.0,13.0,3.0,9.0,1.0,,,2.0,1.0,25.0,14.0,2.0,9.0,8.0,19.0,31.0,168.0,1.0,0.0,137.0,7.0,2.0,66.0,70.0,6.0,60.0,,17.0,3.0,1.0,144.0,7.0,74.0,579.0,6.0,12.0,16.0,22.0,8.0,12.0,2.0,1.0,4.0,5.0,14.0,52.0,9089,4.0,151.0,12.0,1.0,179.0,1.0,8.0,37.0,,,7.0,,13.0,9.0,5.0,,40.0,310.0,9.0,11.0,19.0,73.0,2.0,0.0,,4.0,3.0,,5.0,0.0,6.0,1.0,47.2,9.0,2.0,2.0,,3.0,38.0,8.0,399.0,10.0,5.0,15.0,5.0,16.0,3.0,4.0,245.0,6.0,16.0,8.0,101.0,20.0,1.0,1.0,,6.0,15.0,,4.0,3.0,11.0,1.0,8.0,2.0,1.0,2.0,,2.0,3.0,,,,3.0,2.0,1.0,1.0,,4.0,7.0,,1.0,5.0,,5.0,4.0,7.0,,,,,,,3.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
33,360793,2012-04-11 19:45:00,"Etihad Stadium, Manchester",46746,Away,West Bromwich Albion,Manchester City,0,4,L,0,1,0,0,,,59.0,,1.0,21.0,17.0,2.0,2.0,1.0,143.0,1.0,4.0,,,5.0,1.0,98.0,142.0,35.0,5.0,,6.0,,,,1.0,2.0,7.0,13.0,1.0,12.0,2.0,16.0,28.0,142.0,,0.0,101.0,10.0,,55.0,46.0,2.0,61.0,2.0,5.0,3.0,1.0,137.0,12.0,81.0,556.0,4.0,6.0,29.0,32.0,5.0,9.0,,0.0,9.0,3.0,14.0,52.0,98760,1.0,158.0,2.0,,180.0,,10.0,37.0,,,1.0,,21.0,7.0,5.0,1.0,48.0,299.0,8.0,6.0,25.0,80.0,,0.0,2.0,6.0,,4.0,1.0,0.0,,,35.1,11.0,1.0,2.0,,1.0,43.0,2.0,383.0,20.0,9.0,17.0,3.0,12.0,1.0,2.0,210.0,2.0,16.0,3.0,61.0,19.0,,1.0,,6.0,20.0,3.0,4.0,2.0,10.0,1.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,,2.0,5.0,,,3.0,,1.0,1.0,5.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
34,360808,2012-04-14 15:00:00,"The Hawthorns, West Bromwich",25521,Home,West Bromwich Albion,Queens Park Rangers,1,0,W,1,0,0,0,,1.0,53.0,,3.0,14.0,14.0,7.0,5.0,2.0,163.0,7.0,4.0,1.0,2.0,14.0,5.0,69.0,161.0,40.0,15.0,2.0,7.0,1.0,4.0,,1.0,,19.0,14.0,3.0,8.0,5.0,23.0,32.0,183.0,,0.0,152.0,13.0,1.0,50.0,85.0,9.0,57.0,,14.0,6.0,1.0,155.0,11.0,89.0,568.0,13.0,13.0,14.0,17.0,4.0,9.0,1.0,3.0,3.0,5.0,24.0,74.0,9089,3.0,108.0,7.0,,124.0,1.0,15.0,43.0,,,3.0,,15.0,7.0,7.0,,41.0,284.0,10.0,7.0,24.0,91.0,,0.0,2.0,8.0,,,5.0,0.0,5.0,,47.9,19.0,6.0,1.0,,5.0,45.0,6.0,378.0,9.0,12.0,14.0,5.0,15.0,2.0,2.0,273.0,9.0,22.0,9.0,101.0,21.0,,10.0,,4.0,17.0,,11.0,3.0,8.0,10.0,6.0,,,,,,2.0,,,1.0,1.0,,2.0,1.0,,2.0,6.0,,2.0,2.0,2.0,1.0,,6.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,2.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,2.0
35,360814,2012-04-22 16:00:00,"Anfield, Liverpool",43660,Away,West Bromwich Albion,Liverpool,1,0,W,0,0,0,0,,1.0,52.0,,,18.0,48.0,5.0,3.0,1.0,136.0,1.0,3.0,1.0,3.0,6.0,3.0,71.0,172.0,53.0,9.0,2.0,16.0,2.0,,1.0,1.0,1.0,9.0,19.0,,27.0,1.0,14.0,22.0,134.0,2.0,0.0,126.0,8.0,1.0,74.0,43.0,4.0,49.0,1.0,8.0,2.0,3.0,151.0,18.0,76.0,553.0,4.0,10.0,11.0,29.0,6.0,27.0,1.0,0.0,10.0,2.0,20.0,75.0,9089,1.0,104.0,5.0,,123.0,1.0,16.0,46.0,,,4.0,1.0,17.0,12.0,10.0,,52.0,237.0,11.0,8.0,33.0,77.0,2.0,0.0,2.0,15.0,1.0,,4.0,0.0,,,36.7,15.0,1.0,2.0,,2.0,32.0,3.0,332.0,10.0,9.0,10.0,4.0,18.0,1.0,1.0,218.0,6.0,14.0,13.0,69.0,11.0,1.0,6.0,,10.0,26.0,,7.0,3.0,8.0,6.0,3.0,1.0,1.0,2.0,,1.0,4.0,,,1.0,2.0,1.0,,1.0,,,5.0,,1.0,4.0,1.0,,,5.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
36,360827,2012-04-28 15:00:00,"The Hawthorns, West Bromwich",25984,Home,West Bromwich Albion,Aston Villa,0,0,D,0,0,0,0,,,59.0,,7.0,33.0,26.0,6.0,5.0,3.0,147.0,5.0,4.0,,4.0,16.0,3.0,92.0,164.0,57.0,20.0,4.0,13.0,3.0,,,2.0,2.0,23.0,16.0,,15.0,9.0,18.0,38.0,182.0,,0.0,144.0,15.0,2.0,91.0,53.0,12.0,52.0,1.0,14.0,5.0,2.0,153.0,11.0,92.0,574.0,13.0,5.0,8.0,24.0,5.0,17.0,,0.0,4.0,4.0,24.0,69.0,9089,6.0,117.0,7.0,,135.0,,6.0,43.0,1.0,,3.0,,10.0,1.0,1.0,2.0,59.0,294.0,15.0,,27.0,74.0,,0.0,4.0,3.0,,,2.0,0.0,2.0,,55.5,15.0,5.0,2.0,,11.0,37.0,10.0,383.0,6.0,13.0,18.0,6.0,20.0,3.0,4.0,271.0,11.0,15.0,18.0,93.0,20.0,,1.0,,9.0,19.0,,15.0,2.0,6.0,1.0,10.0,,,,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,3.0,,1.0,6.0,1.0,1.0,3.0,,2.0,2.0,6.0,2.0,1.0,,,,,1.0,,,1.0,,3.0,2.0,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,360832,2012-05-06 14:00:00,"University of Bolton Stadium, Bolton",25662,Away,West Bromwich Albion,Bolton Wanderers,2,2,D,0,1,0,0,1.0,2.0,59.0,,3.0,28.0,17.0,4.0,6.0,3.0,219.0,7.0,6.0,2.0,3.0,16.0,10.0,95.0,181.0,45.0,19.0,1.0,7.0,6.0,2.0,2.0,4.0,1.0,23.0,11.0,2.0,11.0,4.0,29.0,38.0,242.0,1.0,0.0,186.0,10.0,1.0,69.0,65.0,13.0,67.0,2.0,19.0,5.0,1.0,175.0,9.0,120.0,694.0,11.0,4.0,8.0,25.0,7.0,11.0,2.0,4.0,4.0,3.0,26.0,84.0,9089,5.0,160.0,13.0,,189.0,1.0,12.0,41.0,,1.0,8.0,2.0,16.0,7.0,9.0,1.0,52.0,395.0,15.0,5.0,24.0,93.0,,0.0,,4.0,2.0,2.0,2.0,0.0,4.0,1.0,62.4,21.0,2.0,2.0,,4.0,53.0,4.0,501.0,5.0,15.0,21.0,5.0,28.0,3.0,4.0,335.0,9.0,26.0,12.0,126.0,24.0,,1.0,1.0,5.0,12.0,2.0,14.0,3.0,11.0,1.0,4.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,,1.0,1.0,,1.0,6.0,,2.0,2.0,2.0,4.0,1.0,7.0,1.0,,,,,2.0,,,3.0,2.0,,3.0,,,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,360847,2012-05-13 15:00:00,"The Hawthorns, West Bromwich",26358,Home,West Bromwich Albion,Arsenal,2,3,L,2,2,0,0,,,59.0,,3.0,20.0,18.0,6.0,1.0,3.0,132.0,7.0,12.0,2.0,3.0,11.0,5.0,77.0,144.0,45.0,13.0,2.0,7.0,2.0,2.0,2.0,,3.0,24.0,11.0,1.0,10.0,8.0,20.0,32.0,133.0,,0.0,104.0,12.0,4.0,41.0,45.0,8.0,49.0,2.0,16.0,2.0,2.0,136.0,9.0,68.0,509.0,7.0,4.0,10.0,29.0,5.0,8.0,2.0,0.0,6.0,3.0,21.0,55.0,7670,1.0,127.0,10.0,,147.0,2.0,7.0,60.0,,,4.0,2.0,4.0,4.0,4.0,,41.0,253.0,10.0,12.0,14.0,62.0,2.0,0.0,3.0,5.0,,3.0,1.0,0.0,3.0,2.0,41.7,18.0,3.0,2.0,1.0,5.0,38.0,9.0,326.0,9.0,19.0,12.0,3.0,16.0,4.0,1.0,203.0,11.0,20.0,7.0,65.0,22.0,1.0,5.0,,2.0,16.0,2.0,10.0,3.0,22.0,5.0,9.0,1.0,2.0,,,,,,,,1.0,,2.0,,,3.0,3.0,,1.0,,,,,3.0,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,2.0,1.0,,2.0,,,,,,,,,,,,,,
