gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goals,fouledFinalThird,attBxRight,goalAssistOpenplay,attMissLeft,divingSave,midfielderGoals,freekickCross,bigChanceCreated,attHdTarget,attMissHighLeft,goalAssist,bigChanceMissed,attSetpiece,attRfGoal,totalThroughBall,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,accurateCrossNocorner,goalAssistIntentional,attSvHighCentre,bigChanceScored,attGoalLowLeft,attLfGoal,accuratePullBack,shotFastbreak,attSvHighRight,cleanSheet,totalFastbreak,accurateThroughBall,attFastbreak,punches,forwardGoals,effectiveBlockedCross,blockedCross,attFreekickTotal,ptsGainedLosingPos,freekickTotal,accurateFreekickCross,defenderGoals,attFreekickMiss,attGoalHighRight,attLgCentre,clearanceOffLine,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLgRight,ownGoals,attIboxOwnGoal,handBall,postScoringAtt,attOboxGoal,attCmissHigh,attOboxPost,attPostHigh,attMissHighRight,attCmissHighRight,attGoalHighCentre,attHdGoal,goalAssistSetplay,contentiousDecision,attGoalHighLeft,attFreekickGoal,attObxLeft,attIboxPost,attOneOnOne,attSvHighLeft,attObxdLeft,attFreekickTarget,goalAssistDeadball,errorLeadToShot,sixYardBlock,goalFastbreak,attPostLeft,attCmissHighLeft,attHdPost,attGoalLowCentre,attPostRight,foulThrowIn,attObxRight,attPenTarget,penaltyWon,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight
27,1059965,2020-02-22 15:00:00,"Selhurst Park, London",25486.0,Away,Newcastle United,Crystal Palace,0,1,L,0,1,1,0,,64.0,1.0,25.0,15.0,6.0,2.0,2.0,8.0,2.0,150.0,5.0,15.0,6.0,,2.0,113.0,158.0,58.0,8.0,2.0,22.0,,,,17.0,7.0,2.0,15.0,5.0,6.0,41.0,121.0,0.0,93.0,11.0,,,46.0,44.0,3.0,66.0,4.0,,12.0,22.0,6.0,4.0,2.0,158.0,12.0,118.0,655.0,5.0,5.0,15.0,,14.0,327.0,26.0,5.0,6.0,,6.0,1.0,3.0,18.0,418.0,33.0,77359,1.0,228.0,8.0,259.0,6.0,,22.0,11.0,68.0,3.0,8.0,14.0,6.0,4.0,1.0,66.0,344.0,14.0,14.0,1.0,18.0,2.0,69.0,0.0,1.0,7.0,6.0,1.0,2.0,1.0,2.0,,55.8,16.0,,2.0,,9.0,3.0,33.0,5.0,,447.0,14.0,9.0,14.0,3.0,22.0,1.0,1.0,205.0,5.0,5.0,13.0,52.0,25.0,6.0,16.0,,6.0,2.0,28.0,11.0,5.0,,2.0,,,1.0,,,3.0,,,,,2.0,,,,,,,,,,4.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,1059977,2020-02-29 15:00:00,"St. James' Park, Newcastle",52219.0,Home,Newcastle United,Burnley,0,0,D,0,0,0,0,1.0,67.0,7.0,21.0,18.0,9.0,7.0,12.0,,3.0,173.0,6.0,5.0,13.0,1.0,4.0,85.0,184.0,54.0,21.0,4.0,34.0,2.0,,2.0,27.0,11.0,2.0,18.0,9.0,5.0,35.0,108.0,0.0,86.0,11.0,1.0,,38.0,48.0,9.0,40.0,,1.0,20.0,17.0,9.0,6.0,3.0,184.0,5.0,78.0,576.0,11.0,13.0,27.0,1.0,7.0,240.0,32.0,7.0,10.0,,4.0,3.0,4.0,29.0,353.0,31.0,77359,7.0,152.0,14.0,197.0,6.0,,17.0,6.0,64.0,2.0,3.0,13.0,2.0,3.0,2.0,69.0,254.0,9.0,7.0,2.0,38.0,6.0,79.0,0.0,1.0,7.0,,,3.0,0.0,1.0,2.0,54.0,18.0,2.0,2.0,1.0,3.0,11.0,28.0,11.0,,376.0,7.0,6.0,14.0,6.0,31.0,3.0,3.0,206.0,12.0,3.0,22.0,60.0,25.0,10.0,19.0,,13.0,1.0,13.0,7.0,11.0,,,,1.0,4.0,,3.0,,,,,,,,,1.0,,,,1.0,3.0,,5.0,,,,,,,2.0,,1.0,2.0,,2.0,2.0,,3.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
29,1059990,2020-03-07 15:00:00,"St. Mary's Stadium, Southampton",30096.0,Away,Newcastle United,Southampton,1,0,W,0,0,0,1,4.0,53.0,2.0,27.0,18.0,3.0,6.0,11.0,3.0,1.0,140.0,4.0,15.0,9.0,,7.0,151.0,161.0,56.0,14.0,2.0,19.0,6.0,,2.0,20.0,7.0,,18.0,6.0,4.0,27.0,225.0,0.0,118.0,15.0,1.0,,87.0,85.0,6.0,56.0,2.0,1.0,14.0,22.0,3.0,3.0,1.0,161.0,4.0,153.0,696.0,7.0,5.0,28.0,,7.0,386.0,23.0,7.0,9.0,,3.0,2.0,3.0,21.0,478.0,58.0,67089,7.0,182.0,10.0,216.0,7.0,1.0,22.0,8.0,61.0,2.0,1.0,23.0,2.0,5.0,1.0,62.0,403.0,13.0,11.0,2.0,26.0,3.0,73.0,0.0,,5.0,1.0,,1.0,0.0,2.0,2.0,62.0,17.0,1.0,1.0,2.0,1.0,4.0,40.0,8.0,,500.0,7.0,6.0,13.0,3.0,25.0,2.0,2.0,304.0,6.0,4.0,14.0,88.0,27.0,9.0,15.0,,10.0,3.0,28.0,5.0,8.0,1.0,2.0,1.0,4.0,,,1.0,,1.0,1.0,3.0,1.0,,,6.0,,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
30,1059997,2020-06-21 14:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Sheffield United,3,0,W,0,0,0,1,3.0,60.0,1.0,29.0,12.0,5.0,4.0,7.0,1.0,1.0,158.0,4.0,9.0,10.0,,8.0,109.0,131.0,50.0,12.0,1.0,22.0,3.0,,3.0,13.0,7.0,2.0,12.0,2.0,3.0,39.0,120.0,0.0,86.0,9.0,1.0,,45.0,53.0,9.0,72.0,1.0,,11.0,15.0,5.0,5.0,1.0,131.0,6.0,103.0,603.0,7.0,8.0,20.0,,6.0,350.0,31.0,7.0,8.0,,2.0,2.0,1.0,21.0,424.0,45.0,67089,5.0,245.0,3.0,271.0,5.0,2.0,15.0,11.0,53.0,3.0,3.0,15.0,1.0,5.0,1.0,65.0,361.0,10.0,6.0,,17.0,1.0,70.0,0.0,3.0,4.0,1.0,,2.0,0.0,,1.0,46.0,17.0,,6.0,1.0,3.0,2.0,32.0,2.0,,442.0,6.0,9.0,16.0,2.0,19.0,1.0,1.0,184.0,6.0,3.0,20.0,57.0,20.0,8.0,11.0,,10.0,5.0,16.0,6.0,2.0,1.0,,3.0,4.0,,3.0,1.0,,2.0,3.0,4.0,1.0,,3.0,2.0,,2.0,2.0,3.0,,,2.0,3.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,
31,1060007,2020-06-24 18:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Aston Villa,1,1,D,0,0,0,0,1.0,52.0,2.0,41.0,32.0,9.0,4.0,4.0,1.0,1.0,154.0,3.0,13.0,12.0,1.0,3.0,107.0,139.0,54.0,13.0,4.0,29.0,,,,18.0,4.0,2.0,32.0,5.0,7.0,46.0,152.0,0.0,108.0,15.0,1.0,4.0,54.0,73.0,9.0,84.0,1.0,1.0,14.0,8.0,9.0,5.0,3.0,139.0,7.0,71.0,595.0,9.0,3.0,14.0,,5.0,303.0,17.0,6.0,18.0,,2.0,5.0,3.0,17.0,389.0,54.0,67089,4.0,171.0,8.0,196.0,6.0,,8.0,11.0,52.0,1.0,9.0,17.0,7.0,6.0,2.0,87.0,320.0,13.0,5.0,2.0,27.0,1.0,86.0,0.0,2.0,9.0,,1.0,1.0,0.0,1.0,1.0,52.1,14.0,1.0,3.0,,9.0,6.0,45.0,6.0,4.0,416.0,5.0,1.0,25.0,4.0,22.0,2.0,1.0,238.0,8.0,7.0,22.0,70.0,20.0,18.0,6.0,1.0,10.0,4.0,17.0,2.0,6.0,,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
32,1060012,2020-07-01 18:00:00,"Vitality Stadium, Bournemouth",,Away,Newcastle United,Bournemouth,4,1,W,2,0,0,0,2.0,53.0,,36.0,13.0,5.0,5.0,7.0,,1.0,173.0,2.0,10.0,9.0,,7.0,73.0,127.0,59.0,12.0,1.0,21.0,1.0,,2.0,7.0,11.0,2.0,13.0,3.0,8.0,31.0,155.0,0.0,115.0,10.0,1.0,,65.0,48.0,6.0,94.0,1.0,,4.0,8.0,5.0,2.0,1.0,127.0,4.0,80.0,571.0,5.0,3.0,21.0,1.0,16.0,319.0,26.0,8.0,8.0,,0.0,5.0,3.0,14.0,391.0,66.0,67089,6.0,180.0,2.0,202.0,7.0,1.0,8.0,10.0,58.0,1.0,,13.0,8.0,2.0,,78.0,333.0,11.0,11.0,,24.0,,87.0,0.0,,6.0,,1.0,,0.0,,,45.1,9.0,,5.0,1.0,,1.0,42.0,3.0,,420.0,16.0,7.0,16.0,4.0,21.0,,2.0,225.0,6.0,8.0,22.0,80.0,18.0,8.0,16.0,1.0,12.0,5.0,19.0,5.0,3.0,,,4.0,,,4.0,1.0,,1.0,,3.0,,2.0,4.0,1.0,,2.0,1.0,4.0,,,4.0,2.0,3.0,,3.0,1.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,1060027,2020-07-05 14:15:00,"St. James' Park, Newcastle",,Home,Newcastle United,West Ham United,2,2,D,1,1,0,0,,60.0,1.0,21.0,20.0,6.0,6.0,5.0,5.0,2.0,181.0,2.0,12.0,8.0,,4.0,146.0,149.0,65.0,11.0,1.0,29.0,,,1.0,19.0,13.0,2.0,20.0,6.0,8.0,20.0,168.0,0.0,112.0,9.0,1.0,1.0,43.0,69.0,5.0,64.0,,1.0,13.0,18.0,6.0,3.0,3.0,149.0,13.0,125.0,704.0,5.0,7.0,18.0,,1.0,410.0,32.0,3.0,12.0,,1.0,4.0,3.0,16.0,499.0,56.0,67089,2.0,257.0,9.0,289.0,6.0,1.0,5.0,4.0,59.0,1.0,9.0,13.0,4.0,2.0,,53.0,423.0,11.0,3.0,1.0,23.0,2.0,62.0,0.0,2.0,4.0,4.0,2.0,1.0,0.0,,1.0,57.4,11.0,1.0,3.0,1.0,9.0,2.0,37.0,6.0,1.0,516.0,1.0,12.0,9.0,5.0,28.0,2.0,2.0,246.0,4.0,8.0,20.0,74.0,16.0,12.0,22.0,2.0,8.0,4.0,18.0,5.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,,1.0,,2.0,,2.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.09365,2.27107,1.3856,0.072032,1.3985,,,,
34,1060038,2020-07-08 18:00:00,"Etihad Stadium, Manchester",,Away,Newcastle United,Manchester City,0,5,L,0,2,0,0,,43.0,2.0,20.0,14.0,3.0,2.0,3.0,5.0,,95.0,3.0,8.0,5.0,,1.0,64.0,112.0,39.0,6.0,3.0,14.0,1.0,,1.0,10.0,11.0,,14.0,1.0,6.0,32.0,64.0,0.0,47.0,7.0,,2.0,26.0,39.0,5.0,57.0,,,9.0,14.0,3.0,4.0,,112.0,17.0,80.0,450.0,4.0,,9.0,,11.0,197.0,25.0,1.0,5.0,,0.0,8.0,,13.0,269.0,23.0,67089,3.0,153.0,2.0,186.0,5.0,,14.0,9.0,40.0,,5.0,16.0,7.0,4.0,,56.0,214.0,11.0,14.0,1.0,16.0,1.0,46.0,0.0,1.0,8.0,3.0,5.0,,0.0,,1.0,26.4,12.0,,,,5.0,5.0,16.0,1.0,2.0,296.0,11.0,5.0,15.0,,12.0,,,120.0,2.0,6.0,5.0,26.0,9.0,5.0,15.0,4.0,4.0,5.0,8.0,7.0,1.0,,2.0,,2.0,,,,2.0,,3.0,,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,3.0,3.0,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,1060050,2020-07-11 12:30:00,"Vicarage Road, Watford",,Away,Newcastle United,Watford,1,2,L,1,0,0,0,1.0,56.0,,33.0,21.0,3.0,3.0,5.0,3.0,2.0,141.0,3.0,8.0,6.0,,4.0,83.0,146.0,68.0,8.0,,35.0,2.0,,2.0,12.0,12.0,1.0,21.0,4.0,5.0,48.0,116.0,0.0,89.0,15.0,,1.0,47.0,54.0,3.0,48.0,1.0,2.0,8.0,13.0,3.0,2.0,2.0,146.0,15.0,81.0,531.0,4.0,6.0,10.0,,9.0,237.0,31.0,7.0,12.0,,4.0,6.0,3.0,17.0,320.0,54.0,67089,2.0,144.0,6.0,173.0,9.0,,13.0,4.0,68.0,3.0,2.0,16.0,2.0,2.0,1.0,75.0,257.0,22.0,7.0,1.0,27.0,3.0,73.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,,2.0,52.3,8.0,2.0,4.0,,2.0,,32.0,4.0,1.0,353.0,9.0,7.0,20.0,4.0,17.0,1.0,2.0,192.0,3.0,5.0,26.0,50.0,15.0,12.0,13.0,2.0,5.0,4.0,13.0,4.0,4.0,,,1.0,2.0,1.0,,1.0,2.0,,,2.0,,,1.0,1.0,,,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,
36,1060059,2020-07-15 18:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Tottenham Hotspur,1,3,L,0,1,0,0,,50.0,3.0,42.0,9.0,9.0,7.0,13.0,2.0,5.0,141.0,5.0,16.0,17.0,1.0,6.0,117.0,107.0,59.0,22.0,3.0,12.0,2.0,,1.0,20.0,8.0,3.0,9.0,5.0,5.0,44.0,204.0,0.0,117.0,6.0,1.0,,89.0,62.0,9.0,97.0,2.0,2.0,15.0,9.0,9.0,8.0,3.0,107.0,5.0,148.0,662.0,15.0,3.0,18.0,1.0,7.0,424.0,22.0,,4.0,,2.0,2.0,8.0,11.0,482.0,48.0,67089,7.0,241.0,6.0,255.0,2.0,,9.0,5.0,45.0,,3.0,10.0,3.0,3.0,4.0,62.0,440.0,13.0,13.0,2.0,5.0,2.0,63.0,0.0,2.0,4.0,1.0,3.0,,0.0,1.0,3.0,52.8,8.0,2.0,2.0,4.0,3.0,6.0,38.0,5.0,,503.0,7.0,12.0,26.0,10.0,26.0,3.0,6.0,268.0,12.0,4.0,17.0,94.0,23.0,4.0,14.0,3.0,18.0,3.0,18.0,4.0,5.0,,1.0,1.0,2.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
37,1060064,2020-07-20 18:00:00,"American Express Stadium, Falmer",,Away,Newcastle United,Brighton and Hove Albion,0,0,D,0,0,0,0,1.0,38.0,4.0,34.0,23.0,3.0,5.0,9.0,3.0,,115.0,6.0,10.0,10.0,,1.0,73.0,118.0,52.0,12.0,3.0,15.0,1.0,,,24.0,8.0,,23.0,6.0,3.0,30.0,121.0,0.0,76.0,12.0,,,56.0,38.0,6.0,55.0,,2.0,18.0,19.0,3.0,3.0,,118.0,8.0,72.0,497.0,6.0,6.0,16.0,,12.0,228.0,15.0,8.0,14.0,,2.0,3.0,4.0,22.0,297.0,31.0,67089,3.0,126.0,12.0,143.0,6.0,1.0,19.0,6.0,44.0,1.0,4.0,7.0,3.0,4.0,1.0,60.0,241.0,13.0,6.0,4.0,23.0,5.0,59.0,0.0,1.0,9.0,2.0,,1.0,0.0,,3.0,37.5,17.0,3.0,2.0,2.0,4.0,7.0,35.0,7.0,,315.0,12.0,9.0,14.0,4.0,31.0,4.0,4.0,196.0,2.0,2.0,14.0,48.0,17.0,14.0,15.0,,5.0,3.0,13.0,7.0,7.0,,1.0,,3.0,1.0,,1.0,3.0,,3.0,1.0,,,,1.0,2.0,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
38,1060079,2020-07-26 16:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Liverpool,1,3,L,1,1,0,0,,65.0,,25.0,23.0,1.0,,1.0,3.0,1.0,120.0,,3.0,3.0,,2.0,48.0,130.0,46.0,3.0,,17.0,,1.0,,7.0,15.0,1.0,23.0,2.0,,31.0,50.0,0.0,48.0,11.0,,1.0,67.0,13.0,2.0,52.0,1.0,,6.0,16.0,2.0,2.0,1.0,130.0,7.0,47.0,428.0,2.0,7.0,2.0,,8.0,166.0,32.0,7.0,13.0,1.0,1.0,3.0,1.0,18.0,245.0,34.0,67089,1.0,125.0,3.0,150.0,6.0,,16.0,8.0,51.0,3.0,2.0,11.0,7.0,1.0,,77.0,175.0,5.0,13.0,,31.0,1.0,65.0,0.0,3.0,4.0,1.0,3.0,,0.0,,,25.3,16.0,,1.0,,2.0,,20.0,2.0,1.0,267.0,8.0,9.0,14.0,1.0,8.0,1.0,,124.0,3.0,,15.0,20.0,19.0,13.0,23.0,2.0,1.0,5.0,6.0,9.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,3.0,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
