gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,goals,fouledFinalThird,attFreekickTotal,shotFastbreak,goalAssistOpenplay,attMissHighRight,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,totalOffside,goalsOpenplay,attemptsConcededObox,attMissHigh,attFastbreak,attIboxGoal,attCmissHighRight,accurateCornersIntobox,postScoringAtt,attIboxPost,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,goalsConceded,attObxRight,attPostRight,goalsConcededIbox,bigChanceScored,attGoalLowRight,attLfGoal,attBxRight,attGoalHighRight,goodHighClaim,attGoalHighCentre,attHdTarget,goalAssistIntentional,foulThrowIn,totalHighClaim,attHdGoal,errorLeadToGoal,goalsConcededObox,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,attOboxPost,attPostHigh,forwardGoals,attMissHighLeft,ownGoals,attIboxOwnGoal,attGoalLowCentre,attSvHighRight,attFreekickMiss,punches,attFreekickTarget,attOneOnOne,attOboxGoal,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,ptsGainedLosingPos,attCmissHigh,goalAssistSetplay,attSvHighCentre,defenderGoals,attObpGoal,goalFastbreak,attHdPost,clearanceOffLine,attObxdRight,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attPostLeft,penaltyWon,attPenGoal
27,1059962,2020-02-23 16:30:00,"Emirates Stadium, London",60296.0,Away,Everton,Arsenal,2,3,L,2,2,0,0,,2.0,60.0,1.0,19.0,8.0,5.0,5.0,12.0,1.0,1.0,141.0,8.0,6.0,14.0,,5.0,112.0,111.0,57.0,17.0,3.0,9.0,3.0,3.0,2.0,23.0,12.0,,8.0,2.0,4.0,31.0,187.0,,0.0,121.0,12.0,,70.0,68.0,7.0,74.0,1.0,2.0,21.0,25.0,5.0,3.0,,111.0,8.0,128.0,632.0,12.0,7.0,29.0,14.0,364.0,20.0,1.0,6.0,4.0,,7.0,19.0,432.0,40.0,59949,6.0,207.0,2.0,15.0,1.0,226.0,7.0,25.0,6.0,41.0,1.0,6.0,9.0,6.0,42.0,386.0,12.0,7.0,1.0,12.0,4.0,58.0,,1.0,0.0,1.0,6.0,1.0,,0.0,7.0,,3.0,48.7,17.0,3.0,10.0,,6.0,4.0,42.0,3.0,455.0,14.0,6.0,21.0,8.0,25.0,6.0,252.0,8.0,3.0,19.0,84.0,22.0,2.0,6.0,21.0,11.0,3.0,13.0,2.0,11.0,3.0,1.0,,2.0,3.0,,,,2.0,,,,3.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,2.0,,1.0,,,2.0,,1.0,,,,,,1.0,3.0,,,3.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,1.0,,,,
28,1059975,2020-03-01 14:00:00,"Goodison Park, Liverpool",39374.0,Home,Everton,Manchester United,1,1,D,1,1,0,0,,1.0,61.0,2.0,33.0,19.0,4.0,2.0,12.0,4.0,2.0,138.0,6.0,12.0,8.0,,5.0,77.0,150.0,51.0,16.0,3.0,15.0,4.0,1.0,1.0,28.0,8.0,,19.0,13.0,3.0,32.0,144.0,,0.0,125.0,11.0,2.0,54.0,58.0,5.0,43.0,3.0,3.0,15.0,20.0,4.0,6.0,,150.0,5.0,69.0,551.0,6.0,9.0,27.0,11.0,228.0,21.0,7.0,9.0,3.0,4.0,3.0,22.0,310.0,54.0,59949,8.0,103.0,4.0,7.0,,123.0,6.0,20.0,7.0,54.0,3.0,4.0,16.0,4.0,60.0,241.0,9.0,13.0,2.0,19.0,3.0,58.0,1.0,1.0,0.0,3.0,8.0,2.0,2.0,0.0,3.0,1.0,4.0,44.1,18.0,3.0,3.0,3.0,4.0,5.0,34.0,13.0,327.0,11.0,13.0,15.0,6.0,34.0,5.0,232.0,10.0,3.0,16.0,75.0,30.0,3.0,9.0,14.0,7.0,3.0,15.0,3.0,10.0,13.0,1.0,2.0,1.0,4.0,2.0,2.0,,,2.0,,1.0,2.0,2.0,,3.0,2.0,,1.0,4.0,1.0,,3.0,1.0,9.0,,2.0,1.0,,3.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,2.0,,1.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,
29,1059984,2020-03-08 14:00:00,"Stamford Bridge, London",40694.0,Away,Everton,Chelsea,0,4,L,0,2,0,0,2.0,1.0,59.0,1.0,22.0,11.0,1.0,2.0,2.0,7.0,,140.0,1.0,11.0,2.0,,1.0,96.0,129.0,53.0,3.0,,17.0,,,,14.0,10.0,1.0,11.0,,4.0,35.0,128.0,,0.0,82.0,10.0,5.0,43.0,64.0,1.0,63.0,1.0,1.0,14.0,10.0,1.0,5.0,,129.0,9.0,116.0,571.0,1.0,3.0,7.0,9.0,312.0,22.0,,5.0,2.0,1.0,1.0,15.0,397.0,44.0,55422,2.0,201.0,1.0,7.0,,223.0,5.0,10.0,4.0,57.0,2.0,11.0,13.0,4.0,48.0,328.0,8.0,20.0,1.0,9.0,,73.0,1.0,,0.0,1.0,6.0,4.0,2.0,0.0,1.0,1.0,,39.8,14.0,,4.0,,11.0,1.0,45.0,1.0,415.0,9.0,10.0,20.0,1.0,19.0,1.0,206.0,1.0,3.0,19.0,47.0,20.0,,5.0,15.0,2.0,3.0,14.0,,4.0,1.0,,3.0,,2.0,,,,,,,,2.0,,,1.0,,,,1.0,,,1.0,,8.0,,,,,,,,,,,,4.0,,,3.0,,,,,,4.0,,,,,4.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,1059995,2020-06-21 19:00:00,"Goodison Park, Liverpool",,Home,Everton,Liverpool,0,0,D,0,0,0,0,3.0,2.0,51.0,1.0,22.0,26.0,1.0,3.0,7.0,3.0,1.0,126.0,2.0,7.0,6.0,1.0,3.0,46.0,117.0,59.0,8.0,1.0,29.0,3.0,1.0,,3.0,14.0,,26.0,1.0,2.0,32.0,52.0,1.0,0.0,54.0,15.0,2.0,23.0,32.0,3.0,32.0,1.0,1.0,2.0,15.0,1.0,,,117.0,5.0,52.0,426.0,5.0,9.0,10.0,11.0,156.0,24.0,6.0,11.0,2.0,3.0,3.0,22.0,226.0,35.0,59949,2.0,122.0,1.0,1.0,2.0,148.0,5.0,15.0,12.0,62.0,,3.0,6.0,6.0,64.0,172.0,11.0,7.0,1.0,21.0,1.0,64.0,1.0,,0.0,1.0,6.0,1.0,4.0,0.0,1.0,,2.0,29.9,15.0,2.0,,,3.0,2.0,23.0,1.0,256.0,11.0,10.0,14.0,3.0,9.0,3.0,111.0,3.0,2.0,22.0,26.0,16.0,2.0,11.0,20.0,6.0,3.0,13.0,2.0,8.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,5.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
31,1060008,2020-06-24 18:00:00,"Carrow Road, Norwich",,Away,Everton,Norwich City,1,0,W,0,0,0,0,,,67.0,3.0,41.0,22.0,5.0,3.0,7.0,1.0,3.0,146.0,7.0,11.0,10.0,1.0,5.0,131.0,146.0,63.0,12.0,1.0,15.0,1.0,2.0,1.0,20.0,15.0,3.0,22.0,5.0,8.0,42.0,167.0,1.0,0.0,105.0,13.0,1.0,55.0,52.0,8.0,86.0,2.0,1.0,15.0,14.0,5.0,2.0,,146.0,3.0,132.0,689.0,7.0,5.0,18.0,11.0,385.0,28.0,9.0,11.0,1.0,6.0,2.0,22.0,481.0,51.0,59949,3.0,236.0,,13.0,4.0,266.0,11.0,14.0,4.0,51.0,1.0,6.0,11.0,3.0,67.0,396.0,7.0,9.0,2.0,21.0,4.0,65.0,,,0.0,4.0,6.0,,,0.0,4.0,,4.0,53.4,19.0,2.0,6.0,2.0,6.0,4.0,43.0,5.0,495.0,11.0,10.0,26.0,3.0,30.0,2.0,249.0,4.0,7.0,26.0,64.0,23.0,,11.0,20.0,7.0,4.0,16.0,,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,,6.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,
32,1060017,2020-07-01 18:00:00,"Goodison Park, Liverpool",,Home,Everton,Leicester City,2,1,W,2,0,0,0,,,53.0,1.0,35.0,34.0,2.0,3.0,5.0,2.0,,133.0,2.0,13.0,5.0,,2.0,70.0,124.0,74.0,7.0,2.0,21.0,,,,6.0,9.0,,34.0,3.0,6.0,40.0,128.0,,0.0,112.0,13.0,1.0,42.0,60.0,3.0,68.0,,1.0,3.0,12.0,2.0,2.0,,124.0,9.0,60.0,524.0,3.0,8.0,9.0,9.0,229.0,24.0,3.0,22.0,1.0,6.0,2.0,21.0,304.0,59.0,59949,3.0,118.0,,,3.0,141.0,7.0,12.0,11.0,65.0,,3.0,10.0,7.0,73.0,244.0,9.0,17.0,1.0,18.0,1.0,69.0,,,0.0,4.0,5.0,1.0,,0.0,1.0,1.0,1.0,34.9,17.0,1.0,2.0,1.0,3.0,3.0,35.0,3.0,331.0,9.0,11.0,24.0,2.0,16.0,2.0,196.0,3.0,6.0,32.0,67.0,18.0,3.0,22.0,20.0,5.0,3.0,17.0,3.0,4.0,3.0,,1.0,2.0,3.0,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,6.0,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0
33,1060030,2020-07-06 20:00:00,"Tottenham Hotspur Stadium, London",,Away,Everton,Tottenham Hotspur,0,1,L,0,1,0,0,1.0,,37.0,1.0,27.0,22.0,8.0,2.0,3.0,2.0,3.0,134.0,1.0,7.0,5.0,,3.0,126.0,129.0,53.0,11.0,3.0,12.0,2.0,2.0,1.0,22.0,8.0,1.0,22.0,6.0,5.0,29.0,138.0,,0.0,91.0,18.0,2.0,53.0,51.0,4.0,47.0,,1.0,17.0,19.0,8.0,2.0,,129.0,5.0,106.0,587.0,4.0,4.0,7.0,10.0,319.0,19.0,4.0,14.0,2.0,4.0,1.0,16.0,389.0,47.0,59949,3.0,204.0,,11.0,,226.0,12.0,19.0,10.0,48.0,1.0,3.0,17.0,9.0,49.0,341.0,14.0,7.0,1.0,13.0,2.0,60.0,,1.0,0.0,,5.0,2.0,3.0,0.0,1.0,,,48.4,12.0,,,,3.0,4.0,39.0,6.0,413.0,10.0,13.0,14.0,4.0,27.0,,209.0,9.0,5.0,22.0,61.0,15.0,1.0,14.0,10.0,6.0,5.0,7.0,1.0,9.0,6.0,,,,5.0,1.0,,,,,,,4.0,1.0,4.0,,,,1.0,2.0,,,2.0,,8.0,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1060037,2020-07-09 18:00:00,"Goodison Park, Liverpool",,Home,Everton,Southampton,1,1,D,1,1,0,0,,1.0,49.0,,24.0,26.0,6.0,6.0,5.0,3.0,1.0,137.0,4.0,10.0,7.0,,4.0,65.0,130.0,56.0,11.0,3.0,20.0,2.0,,1.0,12.0,5.0,1.0,26.0,3.0,4.0,25.0,88.0,,0.0,48.0,13.0,2.0,47.0,29.0,4.0,51.0,3.0,2.0,9.0,17.0,6.0,3.0,,130.0,11.0,77.0,522.0,3.0,2.0,11.0,12.0,227.0,27.0,5.0,14.0,3.0,6.0,2.0,15.0,308.0,31.0,59949,5.0,157.0,2.0,4.0,1.0,193.0,10.0,17.0,8.0,57.0,2.0,2.0,13.0,4.0,53.0,241.0,14.0,11.0,2.0,24.0,2.0,66.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,3.0,38.7,13.0,2.0,2.0,,2.0,3.0,34.0,3.0,330.0,12.0,7.0,15.0,4.0,18.0,2.0,149.0,2.0,3.0,21.0,29.0,16.0,2.0,14.0,12.0,5.0,4.0,16.0,2.0,11.0,3.0,,1.0,1.0,5.0,2.0,,1.0,,,,,2.0,2.0,2.0,3.0,,1.0,,2.0,1.0,,3.0,1.0,5.0,1.0,,1.0,,2.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
35,1060051,2020-07-12 12:00:00,"Molineux Stadium, Wolverhampton",,Away,Everton,Wolverhampton Wanderers,0,3,L,0,1,0,0,,,52.0,2.0,22.0,13.0,1.0,2.0,5.0,4.0,1.0,159.0,2.0,7.0,6.0,1.0,2.0,118.0,114.0,40.0,6.0,1.0,14.0,2.0,2.0,,13.0,8.0,,13.0,2.0,3.0,30.0,155.0,,0.0,83.0,9.0,3.0,71.0,38.0,5.0,65.0,4.0,1.0,11.0,19.0,1.0,5.0,,114.0,10.0,108.0,595.0,6.0,5.0,13.0,14.0,352.0,23.0,6.0,8.0,2.0,3.0,1.0,14.0,431.0,46.0,59949,3.0,217.0,,5.0,1.0,239.0,4.0,19.0,6.0,47.0,1.0,8.0,9.0,6.0,50.0,370.0,9.0,15.0,,16.0,,68.0,,,0.0,2.0,5.0,4.0,3.0,0.0,2.0,3.0,1.0,44.9,12.0,,2.0,1.0,8.0,3.0,45.0,2.0,450.0,14.0,6.0,11.0,1.0,22.0,1.0,224.0,2.0,3.0,14.0,49.0,19.0,1.0,8.0,10.0,5.0,5.0,10.0,1.0,9.0,2.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,3.0,,,3.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
36,1060056,2020-07-16 18:00:00,"Goodison Park, Liverpool",,Home,Everton,Aston Villa,1,1,D,0,0,0,0,,,53.0,1.0,30.0,20.0,4.0,2.0,5.0,,,150.0,7.0,11.0,8.0,,1.0,112.0,117.0,56.0,9.0,1.0,21.0,,,1.0,30.0,6.0,,20.0,4.0,4.0,35.0,171.0,,0.0,119.0,15.0,,50.0,69.0,3.0,55.0,,,26.0,13.0,4.0,5.0,,117.0,7.0,126.0,622.0,6.0,7.0,24.0,14.0,359.0,29.0,4.0,11.0,2.0,7.0,5.0,12.0,418.0,58.0,59949,4.0,217.0,1.0,19.0,,230.0,9.0,13.0,9.0,53.0,,6.0,17.0,8.0,50.0,381.0,13.0,8.0,1.0,9.0,,72.0,,1.0,0.0,2.0,5.0,,2.0,0.0,7.0,,2.0,54.9,8.0,1.0,1.0,,6.0,2.0,48.0,5.0,443.0,14.0,8.0,23.0,6.0,33.0,3.0,243.0,5.0,4.0,23.0,85.0,14.0,2.0,11.0,10.0,8.0,5.0,12.0,2.0,4.0,5.0,,,1.0,,,,1.0,,,,,2.0,,3.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,8.0,5.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
37,1060068,2020-07-20 18:00:00,"Bramall Lane, Sheffield",,Away,Everton,Sheffield United,1,0,W,0,0,0,0,,1.0,59.0,,35.0,29.0,1.0,1.0,4.0,,,171.0,3.0,7.0,5.0,1.0,2.0,136.0,154.0,60.0,5.0,,24.0,1.0,,1.0,7.0,7.0,,29.0,1.0,6.0,42.0,93.0,1.0,0.0,90.0,19.0,,39.0,32.0,2.0,52.0,1.0,1.0,6.0,14.0,1.0,3.0,,154.0,7.0,113.0,660.0,4.0,5.0,11.0,9.0,351.0,35.0,3.0,18.0,3.0,5.0,3.0,24.0,448.0,49.0,59949,1.0,277.0,1.0,2.0,,324.0,7.0,14.0,11.0,68.0,,10.0,19.0,5.0,76.0,367.0,11.0,9.0,,21.0,1.0,63.0,,,0.0,3.0,7.0,,1.0,0.0,3.0,3.0,2.0,49.4,20.0,,2.0,1.0,10.0,,30.0,1.0,472.0,9.0,8.0,22.0,3.0,13.0,1.0,155.0,2.0,5.0,32.0,51.0,11.0,3.0,18.0,10.0,3.0,2.0,16.0,3.0,7.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,
38,1060076,2020-07-26 16:00:00,"Goodison Park, Liverpool",,Home,Everton,Bournemouth,1,3,L,1,2,0,0,1.0,1.0,70.0,2.0,36.0,23.0,2.0,3.0,11.0,4.0,1.0,184.0,10.0,14.0,12.0,,5.0,210.0,145.0,70.0,13.0,1.0,22.0,4.0,4.0,3.0,21.0,16.0,,23.0,2.0,3.0,33.0,280.0,,0.0,165.0,11.0,2.0,82.0,98.0,7.0,106.0,1.0,1.0,19.0,29.0,2.0,5.0,,145.0,8.0,187.0,916.0,10.0,3.0,29.0,6.0,570.0,34.0,4.0,11.0,1.0,4.0,5.0,23.0,667.0,70.0,59949,7.0,319.0,1.0,14.0,,359.0,5.0,29.0,5.0,57.0,1.0,10.0,16.0,5.0,58.0,589.0,9.0,7.0,1.0,16.0,1.0,63.0,,1.0,0.0,1.0,5.0,3.0,1.0,0.0,9.0,1.0,5.0,70.0,22.0,3.0,10.0,1.0,10.0,3.0,48.0,2.0,687.0,6.0,9.0,19.0,5.0,24.0,4.0,349.0,5.0,3.0,21.0,119.0,14.0,1.0,11.0,26.0,12.0,5.0,23.0,1.0,13.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,2.0,,1.0,,,1.0,,,1.0,5.0,1.0,,1.0,,1.0,,,,,,,3.0,,,3.0,1.0,,,2.0,,1.0,,2.0,1.0,,2.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
