gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,postScoringAtt,attMissLeft,attIboxPost,bigChanceCreated,attHdPost,hitWoodwork,outfielderBlock,accurateThroughBall,bigChanceMissed,totalOffside,attMissHigh,attAssistSetplay,attSvLowRight,attPostHigh,attHdMiss,attBxLeft,accurateCornersIntobox,attLfTarget,attGoalLowLeft,savedObox,goals,attBxRight,goalAssistOpenplay,divingSave,goodHighClaim,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,attCmissHigh,goalsOpenplay,attIboxGoal,attCmissHighRight,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attSvHighRight,attSvHighLeft,ptsDroppedWinningPos,attGoalLowCentre,attCmissRight,shotFastbreak,penaltyWon,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,attObxdRight,attObxdLeft,attPenGoal,attFastbreak,attFreekickTarget,attSvHighCentre,goalsConcededObox,accurateKeeperSweeper,attCmissLeft,shieldBallOop,attOneOnOne,cleanSheet,punches,attObxLeft,errorLeadToGoal,foulThrowIn,attLfGoal,accuratePullBack,secondYellow,totalPullBack,attCmissHighLeft,errorLeadToShot,attFreekickMiss,attGoalHighCentre,clearanceOffLine,goalAssistSetplay,attGoalHighRight,attGoalLowRight,goalFastbreak,attPenTarget,attHdGoal,defenderGoals,goalAssistDeadball,attGoalHighLeft,attPostRight,penaltySave
27,1059968,2020-02-23 14:00:00,"Old Trafford, Manchester",73347.0,Away,Watford,Manchester United,0,3,L,0,1,0,0,1.0,68.0,1.0,26.0,6.0,2.0,2.0,4.0,5.0,1.0,158.0,3.0,7.0,2.0,5.0,2.0,88.0,170.0,51.0,1.0,7.0,2.0,18.0,1.0,1.0,21.0,9.0,1.0,6.0,4.0,7.0,37.0,191.0,,0.0,124.0,15.0,,95.0,35.0,4.0,70.0,1.0,,17.0,18.0,3.0,1.0,5.0,,170.0,1.0,15.0,104.0,601.0,3.0,8.0,16.0,,17.0,299.0,21.0,,7.0,1.0,1.0,1.0,21.0,391.0,50.0,,94924,,126.0,12.0,1.0,,145.0,12.0,18.0,14.0,67.0,,,2.0,19.0,6.0,6.0,57.0,314.0,6.0,14.0,21.0,2.0,81.0,0.0,,3.0,4.0,3.0,2.0,0.0,2.0,,42.0,16.0,6.0,2.0,3.0,41.0,5.0,1.0,420.0,17.0,10.0,19.0,2.0,24.0,1.0,296.0,4.0,6.0,22.0,82.0,32.0,,,1.0,16.0,3.0,4.0,3.0,18.0,,9.0,5.0,1.0,1.0,1.0,,,1.0,4.0,,,1.0,,2.0,,1.0,,2.0,1.0,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
28,1059980,2020-02-29 17:30:00,"Vicarage Road, Watford",21634.0,Home,Watford,Liverpool,3,0,W,0,0,0,0,1.0,67.0,2.0,23.0,41.0,4.0,2.0,10.0,1.0,1.0,147.0,3.0,6.0,2.0,10.0,5.0,53.0,143.0,47.0,,14.0,,17.0,1.0,1.0,13.0,7.0,1.0,41.0,2.0,2.0,35.0,110.0,,0.0,91.0,4.0,1.0,67.0,44.0,5.0,49.0,1.0,4.0,11.0,13.0,4.0,,4.0,3.0,143.0,,3.0,50.0,485.0,7.0,14.0,24.0,,17.0,187.0,34.0,,6.0,22.0,0.0,5.0,19.0,270.0,35.0,,94924,5.0,91.0,6.0,,,118.0,3.0,13.0,14.0,37.0,,1.0,1.0,12.0,4.0,5.0,56.0,198.0,8.0,9.0,22.0,,66.0,0.0,1.0,5.0,1.0,,4.0,0.0,2.0,,29.2,13.0,4.0,1.0,2.0,27.0,3.0,1.0,299.0,17.0,4.0,19.0,7.0,21.0,4.0,194.0,12.0,1.0,20.0,55.0,20.0,3.0,,22.0,13.0,,13.0,3.0,10.0,3.0,3.0,3.0,,1.0,,4.0,,,2.0,1.0,3.0,5.0,2.0,,,,,2.0,1.0,1.0,,,3.0,2.0,2.0,1.0,1.0,3.0,,,3.0,1.0,2.0,3.0,,3.0,,,1.0,3.0,,,,2.0,3.0,,,,,2.0,,,,,,,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
29,1059985,2020-03-07 15:00:00,"Selhurst Park, London",25461.0,Away,Watford,Crystal Palace,0,1,L,0,1,0,0,,68.0,4.0,23.0,18.0,3.0,2.0,7.0,2.0,3.0,188.0,3.0,4.0,1.0,7.0,3.0,107.0,184.0,69.0,,10.0,1.0,31.0,2.0,1.0,29.0,11.0,1.0,18.0,8.0,3.0,43.0,187.0,,0.0,158.0,16.0,1.0,60.0,65.0,5.0,76.0,,1.0,21.0,11.0,3.0,,6.0,1.0,184.0,1.0,5.0,93.0,665.0,7.0,8.0,26.0,,6.0,337.0,26.0,,6.0,13.0,4.0,2.0,25.0,443.0,54.0,,9089,4.0,165.0,14.0,1.0,1.0,188.0,12.0,11.0,6.0,82.0,,1.0,3.0,16.0,5.0,2.0,50.0,349.0,11.0,14.0,19.0,1.0,87.0,0.0,1.0,8.0,2.0,1.0,3.0,0.0,3.0,1.0,55.8,21.0,6.0,3.0,5.0,49.0,8.0,,464.0,6.0,12.0,23.0,2.0,44.0,1.0,305.0,7.0,1.0,34.0,105.0,31.0,,,13.0,22.0,,8.0,3.0,13.0,,4.0,8.0,,1.0,,,,,4.0,,,1.0,,,1.0,,1.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1060000,2020-06-20 12:30:00,"Vicarage Road, Watford",,Home,Watford,Leicester City,1,1,D,0,0,0,0,,59.0,1.0,29.0,22.0,1.0,2.0,7.0,1.0,2.0,130.0,4.0,5.0,3.0,6.0,4.0,42.0,162.0,51.0,,8.0,,21.0,3.0,2.0,16.0,9.0,,22.0,2.0,7.0,36.0,120.0,1.0,0.0,120.0,15.0,3.0,41.0,62.0,5.0,39.0,1.0,1.0,14.0,22.0,1.0,,2.0,1.0,162.0,,5.0,43.0,459.0,3.0,3.0,29.0,,10.0,144.0,31.0,,9.0,11.0,0.0,1.0,30.0,224.0,58.0,1.0,9089,5.0,43.0,9.0,1.0,2.0,74.0,11.0,22.0,12.0,68.0,,1.0,,14.0,10.0,4.0,70.0,159.0,12.0,5.0,23.0,2.0,64.0,0.0,,7.0,,1.0,2.0,0.0,3.0,1.0,31.7,17.0,5.0,1.0,1.0,31.0,2.0,1.0,254.0,10.0,13.0,14.0,3.0,34.0,2.0,196.0,4.0,5.0,22.0,76.0,17.0,2.0,,11.0,13.0,1.0,4.0,5.0,19.0,2.0,12.0,2.0,,1.0,,3.0,,,6.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
31,1060002,2020-06-25 18:00:00,"Turf Moor, Burnley",,Away,Watford,Burnley,0,1,L,0,0,0,0,,56.0,,22.0,13.0,3.0,3.0,7.0,3.0,1.0,153.0,7.0,4.0,5.0,6.0,4.0,73.0,188.0,72.0,1.0,10.0,,41.0,4.0,1.0,30.0,9.0,,13.0,7.0,5.0,46.0,119.0,,0.0,133.0,15.0,4.0,48.0,56.0,3.0,36.0,,1.0,23.0,12.0,3.0,1.0,5.0,3.0,188.0,,7.0,67.0,500.0,1.0,12.0,12.0,3.0,4.0,197.0,26.0,1.0,5.0,11.0,0.0,3.0,37.0,310.0,70.0,1.0,9089,5.0,91.0,14.0,,1.0,129.0,7.0,12.0,4.0,69.0,,,2.0,13.0,2.0,,74.0,203.0,12.0,4.0,33.0,6.0,75.0,0.0,,1.0,4.0,1.0,3.0,0.0,3.0,5.0,44.8,23.0,2.0,2.0,,23.0,7.0,,329.0,4.0,8.0,13.0,6.0,47.0,3.0,230.0,2.0,3.0,40.0,72.0,17.0,1.0,,11.0,16.0,1.0,2.0,4.0,7.0,1.0,5.0,7.0,,1.0,,,,,1.0,,,,3.0,5.0,2.0,,2.0,,4.0,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,
32,1060020,2020-06-28 16:30:00,"Vicarage Road, Watford",,Home,Watford,Southampton,1,3,L,0,1,0,0,,76.0,2.0,31.0,10.0,5.0,4.0,3.0,4.0,,171.0,2.0,10.0,2.0,2.0,,76.0,197.0,60.0,,8.0,4.0,38.0,,,22.0,8.0,,10.0,4.0,5.0,46.0,132.0,,0.0,131.0,18.0,1.0,49.0,64.0,2.0,63.0,2.0,1.0,18.0,17.0,5.0,,7.0,1.0,197.0,,6.0,86.0,587.0,2.0,9.0,14.0,,14.0,262.0,32.0,,9.0,5.0,3.0,,28.0,375.0,65.0,,9089,2.0,141.0,10.0,6.0,1.0,180.0,12.0,17.0,5.0,85.0,,,6.0,17.0,5.0,1.0,81.0,271.0,9.0,9.0,38.0,3.0,83.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,2.0,,47.6,19.0,2.0,8.0,6.0,33.0,5.0,,396.0,14.0,11.0,22.0,2.0,30.0,1.0,238.0,4.0,5.0,28.0,76.0,28.0,,,5.0,13.0,1.0,4.0,4.0,19.0,,9.0,5.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
33,1060023,2020-07-04 20:00:00,"Stamford Bridge, London",,Away,Watford,Chelsea,0,3,L,0,2,0,0,,55.0,,27.0,21.0,4.0,2.0,3.0,6.0,1.0,115.0,1.0,6.0,4.0,4.0,3.0,63.0,119.0,50.0,2.0,7.0,,18.0,1.0,1.0,11.0,15.0,2.0,21.0,3.0,6.0,28.0,91.0,,0.0,74.0,12.0,2.0,47.0,31.0,2.0,60.0,1.0,1.0,8.0,13.0,4.0,2.0,2.0,2.0,119.0,,12.0,62.0,480.0,3.0,4.0,13.0,,11.0,216.0,28.0,,6.0,9.0,2.0,2.0,16.0,283.0,43.0,1.0,9089,3.0,140.0,4.0,,1.0,161.0,6.0,13.0,6.0,49.0,,,5.0,14.0,9.0,6.0,53.0,230.0,9.0,7.0,19.0,1.0,51.0,0.0,2.0,5.0,5.0,3.0,,0.0,1.0,2.0,29.6,8.0,5.0,5.0,,29.0,3.0,1.0,300.0,11.0,10.0,13.0,4.0,18.0,2.0,150.0,3.0,4.0,11.0,39.0,14.0,,,9.0,24.0,3.0,3.0,4.0,9.0,,3.0,3.0,,1.0,,1.0,,,8.0,,1.0,2.0,2.0,1.0,1.0,,2.0,,,2.0,,1.0,,,,3.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,
34,1060040,2020-07-07 18:00:00,"Vicarage Road, Watford",,Home,Watford,Norwich City,2,1,W,1,1,0,0,,49.0,,24.0,8.0,2.0,1.0,7.0,2.0,1.0,155.0,5.0,5.0,7.0,6.0,4.0,82.0,160.0,70.0,,9.0,,13.0,2.0,1.0,24.0,10.0,,8.0,3.0,1.0,41.0,159.0,2.0,0.0,134.0,11.0,6.0,66.0,72.0,3.0,63.0,1.0,2.0,21.0,18.0,2.0,,5.0,2.0,160.0,,8.0,75.0,564.0,3.0,9.0,22.0,1.0,14.0,262.0,23.0,,5.0,4.0,2.0,3.0,23.0,353.0,63.0,1.0,9089,4.0,121.0,10.0,,2.0,143.0,5.0,18.0,9.0,58.0,,,3.0,14.0,4.0,4.0,59.0,275.0,15.0,16.0,21.0,2.0,62.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,5.0,43.5,17.0,5.0,3.0,,32.0,4.0,,375.0,14.0,14.0,22.0,5.0,34.0,3.0,256.0,3.0,1.0,30.0,82.0,15.0,2.0,,4.0,21.0,1.0,5.0,2.0,10.0,2.0,7.0,4.0,,,,1.0,,,3.0,,,,1.0,2.0,1.0,,3.0,,2.0,,,1.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,,1.0,1.0,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,,
35,1060050,2020-07-11 12:30:00,"Vicarage Road, Watford",,Home,Watford,Newcastle United,2,1,W,0,1,0,0,1.0,57.0,6.0,27.0,10.0,2.0,2.0,15.0,3.0,2.0,143.0,4.0,7.0,7.0,13.0,5.0,80.0,148.0,68.0,,17.0,1.0,26.0,3.0,1.0,17.0,9.0,,10.0,2.0,1.0,32.0,110.0,,0.0,118.0,23.0,4.0,41.0,47.0,9.0,34.0,1.0,2.0,15.0,13.0,2.0,,7.0,1.0,148.0,1.0,5.0,59.0,488.0,11.0,12.0,36.0,,5.0,203.0,30.0,1.0,10.0,5.0,1.0,4.0,29.0,299.0,58.0,3.0,9089,11.0,110.0,4.0,1.0,7.0,134.0,11.0,13.0,3.0,68.0,,,2.0,16.0,3.0,3.0,57.0,216.0,15.0,8.0,27.0,,63.0,0.0,,4.0,2.0,1.0,1.0,0.0,4.0,4.0,47.7,26.0,6.0,2.0,7.0,33.0,2.0,,316.0,5.0,11.0,16.0,5.0,31.0,4.0,199.0,10.0,1.0,35.0,65.0,17.0,1.0,,5.0,12.0,1.0,8.0,2.0,9.0,1.0,8.0,2.0,,2.0,,1.0,,,,,1.0,3.0,,2.0,,,4.0,2.0,,1.0,,1.0,2.0,,,1.0,,,,,2.0,,,2.0,,,,,2.0,2.0,,1.0,,1.0,,,2.0,3.0,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
36,1060061,2020-07-17 20:00:00,"London Stadium, London",,Away,Watford,West Ham United,1,3,L,0,3,0,0,,57.0,4.0,29.0,18.0,2.0,3.0,12.0,1.0,1.0,186.0,5.0,7.0,1.0,10.0,3.0,102.0,164.0,56.0,,14.0,1.0,40.0,2.0,1.0,28.0,9.0,,18.0,2.0,5.0,40.0,210.0,1.0,0.0,147.0,11.0,1.0,56.0,87.0,5.0,56.0,,,26.0,14.0,2.0,,5.0,1.0,164.0,2.0,5.0,95.0,652.0,9.0,9.0,29.0,1.0,11.0,323.0,27.0,1.0,5.0,12.0,2.0,5.0,31.0,417.0,69.0,,9089,7.0,131.0,20.0,,,163.0,5.0,14.0,6.0,75.0,,,6.0,15.0,5.0,3.0,63.0,336.0,11.0,11.0,22.0,1.0,76.0,0.0,2.0,9.0,,3.0,4.0,0.0,4.0,3.0,59.4,25.0,1.0,6.0,5.0,39.0,3.0,2.0,439.0,11.0,8.0,21.0,6.0,44.0,4.0,304.0,7.0,4.0,22.0,105.0,22.0,7.0,,12.0,16.0,2.0,13.0,4.0,12.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0,,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,3.0,,1.0,2.0,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,
37,1060070,2020-07-21 18:00:00,"Vicarage Road, Watford",,Home,Watford,Manchester City,0,4,L,0,2,0,0,,51.0,,21.0,21.0,,2.0,2.0,6.0,,107.0,,9.0,2.0,1.0,,46.0,130.0,55.0,,2.0,,12.0,,,5.0,9.0,,21.0,,1.0,32.0,49.0,,0.0,60.0,14.0,1.0,40.0,17.0,,38.0,2.0,1.0,5.0,12.0,,,2.0,,130.0,,17.0,41.0,410.0,1.0,6.0,5.0,,11.0,139.0,32.0,,4.0,11.0,2.0,1.0,15.0,200.0,40.0,,9089,,105.0,2.0,,,126.0,4.0,12.0,10.0,61.0,,,1.0,17.0,9.0,3.0,64.0,154.0,11.0,13.0,20.0,,57.0,0.0,1.0,8.0,2.0,4.0,2.0,0.0,,,23.1,12.0,2.0,1.0,,17.0,,3.0,232.0,11.0,15.0,12.0,2.0,14.0,2.0,111.0,,,17.0,27.0,8.0,2.0,,11.0,18.0,4.0,1.0,3.0,16.0,2.0,7.0,,,1.0,,,,,10.0,,,4.0,,,,,,1.0,,,,4.0,,1.0,,5.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,1060072,2020-07-26 16:00:00,"Emirates Stadium, London",,Away,Watford,Arsenal,2,3,L,1,3,0,0,,47.0,4.0,27.0,6.0,3.0,5.0,16.0,2.0,4.0,146.0,13.0,9.0,4.0,13.0,6.0,110.0,131.0,48.0,1.0,19.0,2.0,14.0,4.0,3.0,38.0,5.0,,6.0,8.0,2.0,32.0,219.0,,0.0,158.0,12.0,2.0,38.0,87.0,8.0,53.0,2.0,2.0,30.0,20.0,3.0,1.0,10.0,1.0,131.0,,11.0,89.0,589.0,8.0,7.0,44.0,,10.0,322.0,21.0,2.0,6.0,,3.0,5.0,24.0,383.0,57.0,1.0,9089,12.0,127.0,18.0,,1.0,140.0,7.0,20.0,5.0,56.0,,,4.0,19.0,2.0,2.0,47.0,333.0,9.0,16.0,16.0,4.0,50.0,0.0,1.0,4.0,2.0,3.0,3.0,0.0,8.0,4.0,48.9,21.0,6.0,4.0,6.0,35.0,8.0,1.0,398.0,10.0,9.0,23.0,7.0,47.0,6.0,296.0,8.0,2.0,23.0,121.0,15.0,,,,7.0,3.0,10.0,4.0,14.0,,5.0,8.0,,1.0,,5.0,,,4.0,,5.0,3.0,2.0,4.0,,,4.0,1.0,5.0,,,,2.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,
