gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,goalAssistDeadball,goodHighClaim,interceptionsInBox,attGoalHighCentre,attLgCentre,errorLeadToShot,punches,lostCorners,shieldBallOop,totalHighClaim,effectiveBlockedCross,attHdGoal,blockedCross,accuratePullBack,attCmissRight,contentiousDecision,accurateThroughBall,totalPullBack,attCmissLeft,overrun,handBall,shotFastbreak,postScoringAtt,attIboxPost,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,freekickCross,attPostLeft,hitWoodwork,attPenGoal,attFastbreak,attSvHighCentre,ptsDroppedWinningPos,attGoalLowCentre,goalFastbreak,cleanSheet,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,secondYellow,attSetpiece,attPostHigh,accurateFreekickCross,penaltyConceded,penaltyFaced,penGoalsConceded,rescindedRedCard,attOneOnOne,attGoalHighRight,defenderGoals,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,penaltySave,attPenTarget,attCmissHighRight
27,1059964,2020-02-22 12:30:00,"Stamford Bridge, London",40608.0,Away,Tottenham Hotspur,Chelsea,1,2,L,0,1,0,0,,,72.0,,,1.0,1.0,,23.0,15.0,2.0,2.0,3.0,5.0,,1.0,178.0,4.0,16.0,1.0,1.0,4.0,3.0,156.0,172.0,74.0,1.0,5.0,1.0,15.0,2.0,,,,,14.0,15.0,1.0,15.0,5.0,7.0,34.0,218.0,,,0.0,94.0,14.0,,4.0,,1.0,50.0,56.0,4.0,82.0,,9.0,21.0,2.0,1.0,4.0,,172.0,,8.0,156.0,794.0,,3.0,11.0,8.0,2.0,8.0,446.0,22.0,,3.0,9.0,,2.0,2.0,,30.0,546.0,45.0,95715,2.0,257.0,,4.0,,294.0,10.0,,21.0,9.0,66.0,,2.0,,5.0,,,19.0,9.0,9.0,,54.0,471.0,14.0,12.0,1.0,20.0,2.0,77.0,,0.0,,4.0,1.0,2.0,3.0,0.0,2.0,,2.0,50.9,20.0,,2.0,1.0,5.0,2.0,51.0,5.0,572.0,8.0,,19.0,16.0,,16.0,2.0,,292.0,1.0,7.0,20.0,64.0,42.0,,9.0,24.0,1.0,2.0,3.0,23.0,,5.0,5.0,,,,,,,,3.0,1.0,,2.0,,2.0,,,1.0,,,,6.0,1.0,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
28,1059979,2020-03-01 14:00:00,"Tottenham Hotspur Stadium, London",58064.0,Home,Tottenham Hotspur,Wolverhampton Wanderers,2,3,L,2,1,0,0,,1.0,56.0,,,,4.0,,25.0,19.0,3.0,4.0,10.0,1.0,1.0,2.0,178.0,4.0,11.0,2.0,1.0,9.0,5.0,181.0,151.0,68.0,,13.0,2.0,18.0,3.0,1.0,1.0,1.0,,22.0,12.0,,19.0,2.0,2.0,35.0,255.0,1.0,,0.0,147.0,12.0,,1.0,1.0,,43.0,91.0,7.0,84.0,1.0,20.0,14.0,3.0,,7.0,1.0,151.0,1.0,11.0,178.0,824.0,,7.0,5.0,23.0,1.0,6.0,508.0,25.0,,6.0,9.0,1.0,3.0,2.0,2.0,23.0,593.0,55.0,95715,6.0,281.0,2.0,12.0,,299.0,6.0,1.0,14.0,9.0,68.0,,1.0,,2.0,,2.0,13.0,3.0,8.0,,48.0,532.0,14.0,14.0,1.0,16.0,2.0,86.0,,0.0,,1.0,2.0,3.0,1.0,0.0,3.0,,2.0,65.5,18.0,1.0,1.0,2.0,2.0,6.0,62.0,4.0,621.0,6.0,,12.0,15.0,2.0,37.0,1.0,1.0,344.0,7.0,1.0,21.0,99.0,28.0,1.0,9.0,22.0,3.0,11.0,3.0,24.0,1.0,7.0,4.0,,,,,,,,5.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,2.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
29,1059983,2020-03-07 17:30:00,"Turf Moor, Burnley",20496.0,Away,Tottenham Hotspur,Burnley,1,1,D,0,1,0,0,1.0,1.0,61.0,,1.0,3.0,2.0,,27.0,36.0,9.0,7.0,4.0,6.0,,,189.0,1.0,9.0,1.0,3.0,8.0,2.0,120.0,177.0,54.0,,13.0,3.0,29.0,,1.0,,,3.0,20.0,8.0,1.0,36.0,4.0,1.0,44.0,184.0,1.0,,0.0,125.0,11.0,1.0,4.0,,,85.0,46.0,5.0,61.0,,16.0,8.0,9.0,,5.0,5.0,177.0,,13.0,109.0,692.0,,8.0,9.0,16.0,,8.0,339.0,25.0,1.0,7.0,9.0,,4.0,10.0,3.0,19.0,451.0,49.0,95715,2.0,173.0,,8.0,,214.0,7.0,1.0,8.0,9.0,75.0,,,,7.0,,,7.0,8.0,6.0,1.0,76.0,356.0,15.0,12.0,,30.0,3.0,90.0,,0.0,,4.0,1.0,1.0,3.0,0.0,,,,55.0,16.0,,,1.0,7.0,5.0,45.0,5.0,479.0,8.0,,16.0,17.0,6.0,29.0,1.0,1.0,285.0,6.0,1.0,17.0,88.0,25.0,1.0,9.0,14.0,1.0,9.0,3.0,17.0,,2.0,5.0,,1.0,1.0,,,1.0,1.0,4.0,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
30,1059999,2020-06-19 20:15:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Manchester United,1,1,D,1,0,0,0,,,58.0,,1.0,2.0,1.0,,23.0,30.0,6.0,,4.0,6.0,,1.0,142.0,1.0,10.0,1.0,3.0,6.0,3.0,84.0,146.0,56.0,2.0,10.0,3.0,19.0,1.0,1.0,1.0,,1.0,16.0,9.0,1.0,30.0,7.0,7.0,31.0,126.0,,,0.0,96.0,17.0,,3.0,1.0,1.0,71.0,46.0,5.0,51.0,,9.0,16.0,6.0,2.0,,2.0,146.0,,7.0,88.0,566.0,,5.0,6.0,11.0,1.0,12.0,249.0,32.0,1.0,5.0,20.0,1.0,0.0,2.0,1.0,24.0,335.0,46.0,93264,3.0,148.0,,8.0,4.0,176.0,9.0,1.0,16.0,7.0,66.0,,,1.0,2.0,,1.0,16.0,5.0,7.0,1.0,58.0,273.0,18.0,14.0,,25.0,2.0,68.0,,0.0,,3.0,1.0,1.0,1.0,0.0,1.0,,2.0,38.8,19.0,1.0,,,2.0,4.0,36.0,7.0,365.0,12.0,,5.0,15.0,3.0,20.0,,1.0,205.0,8.0,7.0,14.0,63.0,19.0,,20.0,14.0,1.0,6.0,2.0,21.0,,6.0,7.0,,,2.0,,,1.0,,6.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
31,1060010,2020-06-23 20:15:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,West Ham United,2,0,W,0,0,0,0,,1.0,63.0,,1.0,1.0,,,21.0,10.0,7.0,2.0,8.0,2.0,,3.0,191.0,4.0,13.0,2.0,,12.0,4.0,200.0,142.0,51.0,,15.0,,23.0,1.0,1.0,1.0,1.0,3.0,19.0,4.0,2.0,10.0,7.0,5.0,30.0,310.0,1.0,1.0,0.0,179.0,12.0,,,,,88.0,59.0,3.0,86.0,4.0,12.0,15.0,7.0,,3.0,4.0,142.0,1.0,6.0,185.0,826.0,,10.0,2.0,24.0,,8.0,552.0,28.0,1.0,2.0,6.0,1.0,2.0,1.0,9.0,11.0,641.0,75.0,95715,4.0,265.0,2.0,9.0,,285.0,6.0,1.0,15.0,8.0,63.0,1.0,2.0,3.0,5.0,1.0,1.0,10.0,4.0,7.0,2.0,46.0,571.0,7.0,9.0,1.0,10.0,2.0,70.0,1.0,0.0,,1.0,1.0,,,0.0,3.0,1.0,1.0,64.5,9.0,1.0,4.0,1.0,5.0,,47.0,9.0,662.0,8.0,,13.0,13.0,11.0,33.0,1.0,7.0,396.0,11.0,5.0,22.0,133.0,25.0,1.0,6.0,9.0,,13.0,3.0,21.0,,7.0,9.0,,,,,,,,4.0,,,2.0,,2.0,,3.0,2.0,1.0,,,,,3.0,,,,,4.0,,,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
32,1060019,2020-07-02 18:00:00,"Bramall Lane, Sheffield",,Away,Tottenham Hotspur,Sheffield United,1,3,L,0,1,0,0,,1.0,58.0,,1.0,2.0,1.0,,38.0,10.0,3.0,2.0,6.0,2.0,,1.0,172.0,3.0,9.0,1.0,5.0,7.0,2.0,202.0,162.0,54.0,2.0,9.0,1.0,24.0,,1.0,1.0,,,28.0,11.0,1.0,10.0,6.0,3.0,35.0,263.0,3.0,,0.0,179.0,13.0,,1.0,,,70.0,64.0,3.0,68.0,1.0,22.0,19.0,3.0,2.0,2.0,1.0,162.0,1.0,5.0,195.0,826.0,,4.0,6.0,31.0,,15.0,521.0,29.0,,3.0,4.0,1.0,0.0,,4.0,21.0,612.0,55.0,95715,1.0,283.0,,17.0,2.0,312.0,2.0,1.0,19.0,7.0,61.0,,2.0,1.0,6.0,,1.0,23.0,2.0,7.0,1.0,69.0,543.0,12.0,8.0,2.0,14.0,3.0,77.0,1.0,0.0,,,1.0,3.0,1.0,0.0,1.0,1.0,2.0,67.5,21.0,2.0,3.0,,6.0,2.0,57.0,6.0,637.0,15.0,1.0,15.0,19.0,5.0,44.0,2.0,4.0,353.0,5.0,3.0,19.0,132.0,16.0,1.0,4.0,14.0,3.0,4.0,4.0,12.0,,5.0,6.0,,,2.0,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
33,1060030,2020-07-06 20:00:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Everton,1,0,W,1,0,0,0,1.0,,37.0,,,1.0,1.0,,19.0,23.0,8.0,5.0,4.0,3.0,,1.0,142.0,2.0,7.0,1.0,9.0,6.0,2.0,123.0,125.0,48.0,2.0,12.0,3.0,22.0,2.0,1.0,,2.0,3.0,14.0,7.0,,23.0,4.0,7.0,32.0,187.0,,,0.0,118.0,14.0,,,,,81.0,56.0,2.0,82.0,1.0,10.0,17.0,8.0,2.0,3.0,5.0,125.0,,3.0,101.0,630.0,,6.0,3.0,12.0,,7.0,352.0,14.0,,5.0,14.0,,3.0,4.0,4.0,25.0,423.0,47.0,95715,1.0,185.0,,4.0,,212.0,12.0,,17.0,8.0,53.0,1.0,,2.0,5.0,,,16.0,8.0,5.0,2.0,48.0,370.0,17.0,7.0,,17.0,1.0,63.0,,0.0,,2.0,1.0,,,0.0,2.0,,,51.6,18.0,,4.0,2.0,5.0,4.0,38.0,5.0,448.0,7.0,1.0,6.0,11.0,6.0,22.0,,1.0,250.0,7.0,7.0,12.0,83.0,13.0,,14.0,13.0,,8.0,3.0,11.0,,7.0,5.0,,1.0,,,,,,6.0,,1.0,3.0,,3.0,,1.0,,,,1.0,,,,,,,,,,3.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
34,1060032,2020-07-09 18:00:00,"Vitality Stadium, Bournemouth",,Away,Tottenham Hotspur,Bournemouth,0,0,D,0,0,0,0,,,60.0,,,1.0,3.0,,30.0,38.0,4.0,2.0,5.0,2.0,,,171.0,6.0,4.0,,1.0,4.0,,139.0,148.0,64.0,1.0,9.0,2.0,16.0,,1.0,,,1.0,28.0,16.0,,38.0,12.0,5.0,35.0,221.0,3.0,,0.0,156.0,14.0,,1.0,,,40.0,87.0,2.0,77.0,,16.0,26.0,4.0,1.0,6.0,2.0,148.0,,7.0,112.0,715.0,,3.0,3.0,24.0,,12.0,393.0,30.0,,8.0,25.0,,2.0,3.0,2.0,17.0,486.0,52.0,95715,4.0,190.0,,10.0,,218.0,11.0,,26.0,1.0,51.0,,3.0,,3.0,,,14.0,2.0,1.0,,62.0,405.0,10.0,6.0,1.0,20.0,3.0,65.0,,0.0,,1.0,,,1.0,0.0,4.0,,2.0,64.3,16.0,2.0,5.0,,3.0,5.0,39.0,12.0,499.0,12.0,,8.0,15.0,4.0,33.0,2.0,2.0,309.0,4.0,3.0,29.0,110.0,21.0,,25.0,21.0,,5.0,4.0,11.0,,15.0,12.0,,2.0,1.0,,,,,8.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,1060049,2020-07-12 16:30:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Arsenal,2,1,W,1,1,0,0,2.0,1.0,49.0,,,,3.0,1.0,33.0,21.0,5.0,5.0,9.0,3.0,1.0,5.0,125.0,1.0,10.0,2.0,1.0,14.0,9.0,98.0,110.0,60.0,,15.0,2.0,12.0,4.0,1.0,,1.0,,13.0,13.0,3.0,21.0,6.0,2.0,39.0,154.0,1.0,,0.0,86.0,16.0,3.0,1.0,,1.0,58.0,53.0,13.0,65.0,,7.0,15.0,6.0,,3.0,1.0,110.0,3.0,8.0,90.0,542.0,,13.0,5.0,15.0,,5.0,287.0,13.0,,6.0,13.0,1.0,5.0,3.0,1.0,16.0,352.0,49.0,95715,4.0,153.0,3.0,4.0,,164.0,9.0,,15.0,10.0,55.0,,1.0,2.0,3.0,,1.0,10.0,5.0,8.0,,67.0,306.0,11.0,15.0,,19.0,2.0,69.0,3.0,0.0,,3.0,2.0,1.0,1.0,0.0,,1.0,1.0,37.3,14.0,,7.0,4.0,3.0,5.0,40.0,6.0,378.0,5.0,,6.0,18.0,1.0,21.0,1.0,,227.0,9.0,2.0,17.0,53.0,22.0,1.0,13.0,22.0,,13.0,3.0,16.0,,6.0,6.0,1.0,,,,,,,5.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,1.0
36,1060059,2020-07-15 18:00:00,"St. James' Park, Newcastle",,Away,Tottenham Hotspur,Newcastle United,3,1,W,1,0,0,0,1.0,2.0,50.0,1.0,1.0,3.0,1.0,,30.0,21.0,3.0,2.0,5.0,5.0,,1.0,154.0,3.0,13.0,3.0,1.0,6.0,5.0,113.0,106.0,45.0,,8.0,1.0,17.0,1.0,,2.0,1.0,,11.0,5.0,1.0,21.0,4.0,6.0,22.0,218.0,1.0,,0.0,124.0,13.0,,2.0,,,66.0,74.0,6.0,73.0,,7.0,9.0,3.0,,1.0,1.0,106.0,2.0,13.0,116.0,623.0,,3.0,3.0,16.0,,5.0,379.0,17.0,,2.0,8.0,2.0,3.0,6.0,,20.0,436.0,48.0,95715,1.0,179.0,1.0,6.0,1.0,190.0,7.0,1.0,9.0,8.0,59.0,,2.0,1.0,4.0,,3.0,14.0,9.0,7.0,,51.0,394.0,6.0,16.0,1.0,7.0,1.0,68.0,,0.0,,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,47.2,16.0,,1.0,,4.0,2.0,45.0,4.0,456.0,5.0,,10.0,10.0,1.0,21.0,2.0,,277.0,3.0,6.0,12.0,98.0,22.0,3.0,8.0,14.0,1.0,6.0,3.0,17.0,1.0,3.0,4.0,,1.0,,,,,1.0,5.0,1.0,2.0,2.0,2.0,2.0,,,,,1.0,,3.0,,2.0,,,1.0,,2.0,,,,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
37,1060069,2020-07-19 16:00:00,"Tottenham Hotspur Stadium, London",,Home,Tottenham Hotspur,Leicester City,3,0,W,3,0,0,0,,1.0,54.0,,2.0,4.0,2.0,,27.0,30.0,1.0,2.0,6.0,6.0,1.0,1.0,115.0,2.0,12.0,3.0,1.0,7.0,3.0,53.0,118.0,53.0,,7.0,1.0,22.0,1.0,1.0,2.0,,1.0,10.0,12.0,,30.0,4.0,6.0,24.0,73.0,,,0.0,48.0,15.0,,4.0,,,28.0,36.0,6.0,43.0,,6.0,17.0,1.0,,2.0,,118.0,1.0,13.0,74.0,465.0,,4.0,1.0,7.0,,7.0,193.0,25.0,,9.0,19.0,2.0,2.0,9.0,1.0,14.0,267.0,22.0,95715,2.0,134.0,,3.0,,169.0,11.0,1.0,17.0,7.0,55.0,,5.0,4.0,5.0,,2.0,10.0,11.0,4.0,,59.0,205.0,10.0,7.0,1.0,28.0,,50.0,,0.0,,2.0,3.0,,,0.0,2.0,1.0,1.0,29.0,10.0,1.0,,3.0,5.0,3.0,23.0,4.0,285.0,7.0,,5.0,8.0,1.0,12.0,,1.0,126.0,4.0,5.0,14.0,30.0,22.0,2.0,19.0,17.0,,6.0,4.0,19.0,,5.0,4.0,,2.0,2.0,,,1.0,1.0,13.0,,3.0,2.0,,2.0,,,1.0,3.0,,1.0,,,3.0,,,,,4.0,,1.0,,,,3.0,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
38,1060075,2020-07-26 16:00:00,"Selhurst Park, London",,Away,Tottenham Hotspur,Crystal Palace,1,1,D,1,0,0,0,1.0,,57.0,1.0,,1.0,1.0,,27.0,17.0,2.0,2.0,5.0,1.0,,,170.0,2.0,9.0,1.0,3.0,4.0,2.0,126.0,142.0,59.0,,7.0,1.0,17.0,1.0,,1.0,,1.0,11.0,21.0,,17.0,2.0,7.0,33.0,191.0,,,0.0,102.0,13.0,,,,1.0,53.0,85.0,1.0,73.0,1.0,9.0,16.0,2.0,,2.0,1.0,142.0,,10.0,120.0,693.0,,1.0,3.0,9.0,,22.0,384.0,27.0,,1.0,9.0,1.0,2.0,2.0,3.0,24.0,464.0,49.0,95715,2.0,217.0,,5.0,,239.0,10.0,1.0,16.0,12.0,60.0,1.0,,,2.0,,1.0,17.0,3.0,10.0,1.0,54.0,406.0,11.0,8.0,2.0,12.0,1.0,75.0,,0.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,52.8,17.0,1.0,5.0,2.0,3.0,2.0,47.0,2.0,489.0,22.0,,13.0,14.0,3.0,19.0,1.0,2.0,261.0,4.0,5.0,13.0,67.0,19.0,1.0,9.0,26.0,1.0,5.0,4.0,18.0,,9.0,2.0,,,2.0,,,1.0,,7.0,,,1.0,,1.0,,1.0,,,,,3.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
