gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attCmissRight,attMissHighRight,attOboxGoal,divingSave,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,totalPullBack,defenderGoals,accurateGoalKicks,attCmissLeft,overrun,savedIbox,attBxLeft,attSvHighCentre,clearanceOffLine,attFreekickMiss,goalAssistOpenplay,midfielderGoals,contentiousDecision,attMissHighLeft,goalAssist,attCmissHighRight,attGoalLowLeft,accuratePullBack,goalFastbreak,attSvHighLeft,attHdTarget,accurateFreekickCross,attSetpiece,attRfGoal,attAssistSetplay,goalAssistIntentional,shieldBallOop,goalAssistSetplay,cleanSheet,goalsConcededObox,attHdGoal,errorLeadToGoal,attOneOnOne,attSvHighRight,goalAssistDeadball,attCmissHigh,attemptsIbox,saves,attGoalLowCentre,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,ptsDroppedWinningPos,attCmissHighLeft,attOboxPost,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,attGoalHighCentre,attGoalHighLeft,attGoalHighRight,attObxLeft,attCorner,attObxRight,attPostRight,attFreekickPost,attObxdRight
27,442268,2013-02-25 20:00:00,"Boleyn Ground, London",35005,Away,Tottenham Hotspur,West Ham United,3,2,W,1,1,0,0,1.0,4.0,1.0,58.0,1.0,2.0,20.0,52.0,14.0,11.0,2.0,1.0,147.0,11.0,9.0,3.0,3.0,19.0,13.0,131.0,160.0,53.0,3.0,27.0,2.0,19.0,7.0,,4.0,,3.0,7.0,4.0,27.0,,13.0,3.0,25.0,11.0,15.0,10.0,197.0,0.0,92.0,8.0,1.0,,3.0,5.0,59.0,41.0,15.0,73.0,1.0,2.0,16.0,3.0,6.0,7.0,133.0,8.0,,117.0,,712.0,13.0,4.0,2.0,11.0,20.0,7.0,24.0,3.0,1.0,5.0,4.0,22.0,50.0,1.0,93464,6.0,208.0,7.0,1.0,227.0,6.0,57.0,2.0,2.0,13.0,2.0,9.0,6.0,,35.0,394.0,12.0,6.0,26.0,79.0,,1.0,1.0,0.0,,6.0,1.0,,2.0,,0.0,6.0,5.0,61.7,17.0,,,13.0,5.0,48.0,12.0,1.0,5.0,468.0,1.0,8.0,14.0,5.0,9.0,10.0,5.0,2.0,268.0,10.0,13.0,15.0,65.0,21.0,,3.0,12.0,17.0,2.0,14.0,3.0,20.0,3.0,12.0,3.0,,1.0,2.0,2.0,3.0,1.0,3.0,,2.0,,4.0,,,2.0,1.0,2.0,,3.0,1.0,3.0,,2.0,2.0,1.0,1.0,1.0,,,5.0,2.0,2.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
28,442277,2013-03-03 16:00:00,"White Hart Lane, London",36170,Home,Tottenham Hotspur,Arsenal,2,1,W,2,0,0,0,3.0,2.0,2.0,61.0,1.0,,29.0,35.0,4.0,8.0,2.0,,137.0,3.0,6.0,2.0,2.0,7.0,4.0,87.0,138.0,57.0,1.0,11.0,1.0,25.0,,,2.0,,3.0,2.0,1.0,14.0,,15.0,2.0,17.0,4.0,7.0,21.0,99.0,0.0,69.0,21.0,1.0,,1.0,2.0,27.0,57.0,3.0,40.0,5.0,2.0,10.0,1.0,1.0,2.0,138.0,7.0,,73.0,,528.0,5.0,2.0,,17.0,27.0,8.0,20.0,3.0,3.0,5.0,4.0,20.0,48.0,3.0,93464,3.0,147.0,8.0,,168.0,9.0,69.0,6.0,5.0,6.0,2.0,8.0,4.0,2.0,61.0,243.0,13.0,12.0,34.0,86.0,,,1.0,0.0,1.0,6.0,2.0,,1.0,1.0,0.0,3.0,,39.5,15.0,,,6.0,2.0,44.0,4.0,,2.0,337.0,,14.0,7.0,14.0,5.0,16.0,,3.0,183.0,3.0,6.0,17.0,27.0,24.0,1.0,2.0,9.0,21.0,1.0,9.0,3.0,13.0,2.0,4.0,1.0,,,,1.0,3.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,2.0,3.0,,,,,,3.0,,,,6.0,1.0,1.0,5.0,14.0,232.0,316.0,,,,,,,,,,,1.0,1.0,,,,
29,442281,2013-03-10 16:00:00,"Anfield, Liverpool",44752,Away,Tottenham Hotspur,Liverpool,2,3,L,1,1,0,0,1.0,3.0,,58.0,,1.0,32.0,24.0,7.0,8.0,1.0,2.0,152.0,3.0,15.0,2.0,3.0,12.0,7.0,113.0,179.0,71.0,2.0,16.0,3.0,13.0,3.0,,2.0,,3.0,3.0,2.0,19.0,,24.0,2.0,13.0,4.0,12.0,20.0,195.0,0.0,120.0,9.0,,,3.0,1.0,61.0,64.0,7.0,68.0,,,15.0,2.0,4.0,3.0,168.0,8.0,,119.0,,679.0,11.0,5.0,,21.0,21.0,5.0,12.0,4.0,1.0,2.0,5.0,30.0,77.0,,93464,4.0,168.0,8.0,1.0,184.0,11.0,52.0,,,3.0,1.0,13.0,4.0,2.0,58.0,360.0,9.0,4.0,30.0,101.0,,1.0,1.0,0.0,1.0,1.0,2.0,,3.0,1.0,0.0,3.0,2.0,53.5,19.0,1.0,2.0,4.0,3.0,57.0,4.0,1.0,1.0,452.0,1.0,19.0,18.0,8.0,6.0,16.0,,3.0,287.0,6.0,11.0,14.0,70.0,28.0,,1.0,6.0,33.0,3.0,13.0,2.0,24.0,1.0,4.0,,,1.0,,,,1.0,,,,2.0,5.0,1.0,2.0,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
30,442297,2013-03-17 15:00:00,"White Hart Lane, London",36004,Home,Tottenham Hotspur,Fulham,0,1,L,0,0,0,0,,1.0,,56.0,,1.0,26.0,36.0,8.0,5.0,,2.0,155.0,12.0,6.0,,2.0,12.0,3.0,143.0,175.0,31.0,,15.0,3.0,18.0,2.0,,,,2.0,3.0,3.0,37.0,,11.0,1.0,17.0,5.0,18.0,27.0,218.0,0.0,143.0,10.0,1.0,,2.0,,104.0,59.0,6.0,74.0,2.0,2.0,32.0,,16.0,5.0,156.0,3.0,,131.0,,729.0,9.0,4.0,,18.0,18.0,3.0,23.0,2.0,1.0,,6.0,35.0,74.0,,93464,4.0,208.0,14.0,,217.0,7.0,55.0,3.0,1.0,4.0,,10.0,4.0,2.0,53.0,414.0,5.0,7.0,20.0,85.0,,,,0.0,,5.0,,,1.0,1.0,0.0,9.0,3.0,59.5,29.0,3.0,2.0,5.0,4.0,46.0,5.0,,,503.0,,15.0,11.0,11.0,8.0,23.0,3.0,3.0,323.0,6.0,15.0,7.0,91.0,29.0,,3.0,11.0,13.0,1.0,11.0,3.0,15.0,3.0,5.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,3.0,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
31,442306,2013-03-30 15:00:00,"Swansea.com Stadium, Swansea",20604,Away,Tottenham Hotspur,Swansea City,2,1,W,2,0,0,0,,1.0,1.0,62.0,,,21.0,50.0,3.0,6.0,2.0,3.0,141.0,,7.0,2.0,1.0,7.0,7.0,74.0,177.0,56.0,,10.0,1.0,13.0,5.0,2.0,1.0,1.0,,4.0,1.0,10.0,1.0,15.0,,23.0,2.0,12.0,17.0,144.0,0.0,91.0,10.0,2.0,,1.0,1.0,61.0,51.0,7.0,76.0,3.0,,8.0,,2.0,1.0,150.0,11.0,1.0,86.0,,606.0,5.0,10.0,1.0,21.0,24.0,6.0,23.0,,4.0,4.0,,19.0,47.0,2.0,7958,3.0,150.0,5.0,,173.0,15.0,56.0,3.0,,3.0,2.0,7.0,4.0,,40.0,294.0,5.0,3.0,19.0,80.0,2.0,,,0.0,,5.0,1.0,,1.0,2.0,0.0,,1.0,37.3,12.0,,1.0,3.0,1.0,37.0,2.0,,1.0,377.0,,15.0,16.0,12.0,2.0,9.0,,,214.0,3.0,12.0,20.0,60.0,27.0,,3.0,8.0,24.0,1.0,10.0,2.0,21.0,3.0,2.0,,,,1.0,,2.0,,1.0,,,1.0,3.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,,,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
32,442317,2013-04-07 14:05:00,"White Hart Lane, London",36192,Home,Tottenham Hotspur,Everton,2,2,D,1,1,0,0,1.0,,2.0,57.0,1.0,1.0,38.0,44.0,15.0,6.0,,5.0,137.0,4.0,9.0,2.0,2.0,18.0,7.0,158.0,179.0,50.0,,20.0,5.0,19.0,1.0,,1.0,1.0,3.0,2.0,3.0,31.0,1.0,18.0,4.0,25.0,7.0,17.0,23.0,303.0,0.0,205.0,17.0,1.0,1.0,2.0,3.0,96.0,87.0,11.0,71.0,2.0,2.0,24.0,,11.0,6.0,160.0,4.0,,150.0,,791.0,17.0,3.0,2.0,22.0,17.0,3.0,23.0,3.0,1.0,1.0,7.0,31.0,79.0,1.0,93464,2.0,149.0,11.0,,158.0,9.0,72.0,4.0,2.0,8.0,2.0,16.0,5.0,,56.0,448.0,8.0,4.0,11.0,60.0,,2.0,,0.0,,6.0,2.0,,2.0,2.0,0.0,3.0,,61.9,27.0,,,8.0,5.0,36.0,7.0,,3.0,516.0,,14.0,18.0,12.0,8.0,27.0,1.0,1.0,389.0,14.0,14.0,14.0,159.0,28.0,1.0,2.0,16.0,19.0,2.0,20.0,2.0,25.0,2.0,7.0,,1.0,1.0,,,1.0,1.0,,,,,5.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
33,442336,2013-04-21 13:30:00,"White Hart Lane, London",36121,Home,Tottenham Hotspur,Manchester City,3,1,W,0,1,0,0,2.0,1.0,2.0,60.0,1.0,2.0,34.0,30.0,4.0,4.0,2.0,2.0,151.0,4.0,5.0,3.0,2.0,8.0,6.0,95.0,174.0,62.0,1.0,11.0,1.0,20.0,1.0,,,,1.0,3.0,,21.0,,19.0,2.0,13.0,4.0,13.0,25.0,172.0,0.0,108.0,12.0,,,2.0,2.0,43.0,80.0,6.0,69.0,2.0,,17.0,1.0,4.0,1.0,157.0,3.0,,79.0,,615.0,3.0,13.0,,20.0,22.0,8.0,15.0,1.0,3.0,3.0,2.0,31.0,65.0,4.0,7958,4.0,137.0,11.0,,157.0,5.0,55.0,5.0,4.0,7.0,3.0,16.0,8.0,2.0,52.0,305.0,10.0,5.0,28.0,86.0,,,1.0,0.0,,5.0,3.0,,1.0,5.0,0.0,2.0,2.0,45.3,25.0,2.0,3.0,7.0,2.0,49.0,4.0,,2.0,394.0,,16.0,7.0,14.0,3.0,19.0,2.0,2.0,258.0,5.0,11.0,23.0,67.0,24.0,2.0,1.0,8.0,24.0,1.0,8.0,3.0,18.0,1.0,4.0,1.0,,,,2.0,3.0,,1.0,1.0,1.0,,3.0,,3.0,1.0,1.0,,,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,1.0,2.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
33,442321,2013-05-08 19:45:00,"Stamford Bridge, London",41581,Away,Tottenham Hotspur,Chelsea,2,2,D,1,2,0,0,1.0,1.0,,63.0,1.0,2.0,41.0,44.0,6.0,6.0,,2.0,148.0,2.0,6.0,2.0,4.0,13.0,5.0,108.0,163.0,51.0,1.0,14.0,,15.0,1.0,1.0,4.0,,1.0,,1.0,15.0,,16.0,2.0,21.0,5.0,25.0,27.0,182.0,0.0,114.0,17.0,4.0,1.0,3.0,,80.0,54.0,6.0,78.0,4.0,2.0,10.0,1.0,1.0,3.0,140.0,9.0,,103.0,,675.0,10.0,7.0,,21.0,32.0,5.0,28.0,1.0,2.0,4.0,7.0,25.0,55.0,3.0,93464,2.0,186.0,6.0,,198.0,9.0,65.0,5.0,3.0,10.0,2.0,7.0,6.0,1.0,59.0,366.0,6.0,5.0,15.0,81.0,1.0,1.0,2.0,0.0,1.0,6.0,1.0,,2.0,3.0,0.0,1.0,,55.9,21.0,,2.0,10.0,2.0,46.0,5.0,,,437.0,,17.0,20.0,16.0,7.0,14.0,1.0,4.0,254.0,8.0,24.0,18.0,78.0,14.0,1.0,4.0,13.0,21.0,2.0,11.0,2.0,15.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,1.0,,5.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
35,442348,2013-04-27 15:00:00,"DW Stadium, Wigan",22326,Away,Tottenham Hotspur,Wigan Athletic,2,2,D,1,1,0,0,1.0,1.0,,45.0,,,37.0,30.0,8.0,4.0,,1.0,148.0,4.0,3.0,2.0,5.0,10.0,3.0,146.0,145.0,43.0,2.0,15.0,2.0,6.0,1.0,,1.0,1.0,,2.0,3.0,13.0,,13.0,1.0,18.0,3.0,21.0,46.0,235.0,0.0,137.0,11.0,1.0,,3.0,1.0,63.0,67.0,3.0,84.0,2.0,,10.0,2.0,3.0,5.0,133.0,4.0,,147.0,,712.0,9.0,2.0,1.0,15.0,18.0,2.0,12.0,,1.0,,7.0,28.0,69.0,2.0,93464,4.0,218.0,4.0,,228.0,5.0,44.0,5.0,5.0,5.0,1.0,12.0,3.0,3.0,61.0,449.0,12.0,4.0,13.0,72.0,,,3.0,0.0,1.0,3.0,2.0,,2.0,,0.0,4.0,2.0,61.0,23.0,2.0,4.0,5.0,4.0,49.0,3.0,,1.0,525.0,,10.0,14.0,28.0,8.0,21.0,,2.0,310.0,9.0,21.0,13.0,86.0,18.0,,,7.0,15.0,1.0,9.0,3.0,13.0,,3.0,2.0,,1.0,,,,,,1.0,2.0,,4.0,3.0,1.0,3.0,,,,,,1.0,2.0,,,1.0,,,,,,3.0,4.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0
36,442356,2013-05-04 15:00:00,"White Hart Lane, London",36190,Home,Tottenham Hotspur,Southampton,1,0,W,0,0,0,0,1.0,,,53.0,,1.0,47.0,43.0,4.0,2.0,1.0,,119.0,5.0,3.0,1.0,,5.0,1.0,98.0,185.0,44.0,,6.0,2.0,7.0,,,,,,,1.0,23.0,,17.0,,20.0,5.0,10.0,38.0,156.0,0.0,100.0,10.0,,,2.0,3.0,82.0,53.0,3.0,76.0,4.0,1.0,18.0,,3.0,1.0,162.0,5.0,,100.0,,630.0,3.0,7.0,,28.0,21.0,5.0,20.0,,1.0,2.0,2.0,44.0,73.0,2.0,93464,1.0,148.0,13.0,,168.0,9.0,44.0,6.0,5.0,6.0,1.0,10.0,3.0,1.0,77.0,299.0,10.0,7.0,30.0,81.0,,,,0.0,,5.0,,,,1.0,0.0,2.0,1.0,49.5,38.0,1.0,1.0,6.0,2.0,38.0,5.0,,3.0,393.0,,23.0,12.0,24.0,3.0,18.0,3.0,2.0,248.0,3.0,8.0,13.0,57.0,22.0,,3.0,11.0,18.0,,5.0,3.0,12.0,3.0,5.0,,1.0,,1.0,2.0,,,,,,,3.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,442367,2013-05-12 13:30:00,"bet365 Stadium, Stoke",27531,Away,Tottenham Hotspur,Stoke City,2,1,W,1,1,0,1,1.0,3.0,1.0,44.0,,,34.0,53.0,15.0,12.0,1.0,1.0,141.0,8.0,5.0,2.0,4.0,18.0,7.0,144.0,147.0,37.0,3.0,25.0,8.0,25.0,3.0,2.0,2.0,,,,1.0,25.0,,10.0,2.0,25.0,9.0,24.0,16.0,325.0,0.0,188.0,6.0,2.0,,3.0,1.0,77.0,97.0,11.0,89.0,1.0,2.0,16.0,3.0,4.0,4.0,119.0,4.0,,142.0,,746.0,13.0,4.0,,16.0,16.0,4.0,23.0,,1.0,2.0,7.0,25.0,59.0,2.0,93464,4.0,139.0,9.0,,153.0,7.0,58.0,5.0,4.0,7.0,2.0,7.0,2.0,3.0,48.0,456.0,11.0,3.0,15.0,60.0,2.0,2.0,1.0,0.0,,2.0,1.0,,1.0,2.0,0.0,5.0,2.0,67.3,22.0,1.0,2.0,7.0,10.0,37.0,11.0,,2.0,516.0,,13.0,14.0,6.0,8.0,19.0,3.0,4.0,388.0,11.0,23.0,10.0,159.0,16.0,2.0,4.0,12.0,11.0,1.0,17.0,3.0,16.0,4.0,11.0,2.0,1.0,,1.0,,3.0,1.0,2.0,,,,4.0,,,,3.0,2.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
38,442375,2013-05-19 16:00:00,"White Hart Lane, London",36063,Home,Tottenham Hotspur,Sunderland,1,0,W,0,0,0,1,1.0,6.0,,45.0,,,59.0,37.0,14.0,13.0,1.0,5.0,130.0,14.0,17.0,1.0,6.0,22.0,14.0,155.0,171.0,73.0,3.0,35.0,5.0,14.0,6.0,,2.0,,1.0,6.0,1.0,46.0,,14.0,7.0,27.0,12.0,15.0,36.0,222.0,0.0,167.0,7.0,1.0,4.0,3.0,,80.0,78.0,18.0,55.0,,3.0,34.0,3.0,7.0,2.0,161.0,5.0,,127.0,,728.0,16.0,7.0,1.0,15.0,20.0,5.0,23.0,1.0,1.0,2.0,4.0,31.0,85.0,1.0,7958,14.0,174.0,24.0,,183.0,5.0,45.0,2.0,4.0,2.0,1.0,6.0,3.0,3.0,79.0,382.0,13.0,2.0,13.0,65.0,,3.0,2.0,0.0,2.0,1.0,,,,1.0,0.0,6.0,5.0,68.2,23.0,3.0,,2.0,14.0,35.0,14.0,,,467.0,,14.0,12.0,21.0,7.0,24.0,8.0,5.0,330.0,16.0,15.0,25.0,111.0,21.0,,,16.0,18.0,,24.0,3.0,29.0,,14.0,9.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,5.0,1.0,2.0,3.0,3.0,,,1.0,1.0,1.0,2.0,,1.0,,,,,,2.0,,2.0,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
